actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
89,PT03M58.00S,2021-11-11T00:54:52.2Z,1,REGULAR,block,,[],1630173,,,1610612738,21,19,2021-11-11T00:54:54Z,890000,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M54.00S,2021-11-11T00:54:56.2Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,21,19,2021-11-11T00:55:00Z,900000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,88.0,2.0,2.0,0.0,,,,,,
91,PT03M53.00S,2021-11-11T00:54:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629004,7.5722733245729295,46.32352941176471,1610612761,21,19,2021-11-11T00:55:09Z,910000,18.0,19.0,1,left,MISS S. Mykhailiuk running Layup - blocked,"[1629004, 1626196]",1610612761.0,TOR,running,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,2.62,Missed,,,,,,,,,,Richardson,1626196.0,,,
92,PT03M53.00S,2021-11-11T00:54:57.0Z,1,REGULAR,block,,[],1626196,,,1610612761,21,19,2021-11-11T00:54:59Z,920000,,,0,,J. Richardson BLOCK (1 BLK),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M53.00S,2021-11-11T00:54:57.0Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612738,21,19,2021-11-11T00:55:09Z,930000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,,,
94,PT03M47.00S,2021-11-11T00:55:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629641,91.93495400788436,46.81372549019608,1610612738,21,19,2021-11-11T00:55:19Z,940000,-16.0,23.0,1,right,MISS R. Langford running Layup,[1629641],1610612738.0,BOS,running,,,Langford,R. Langford,,,,,,,,,,2.82,Missed,,,,,,,,,,,,,,
95,PT03M45.00S,2021-11-11T00:55:05.0Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,21,19,2021-11-11T00:55:19Z,950000,,,0,,R. Williams III REBOUND (Off:3 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,94.0,3.0,0.0,3.0,,,,,,
96,PT03M44.00S,2021-11-11T00:55:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'fastbreak']",1629057,92.59198423127464,49.754901960784316,1610612738,23,19,2021-11-11T00:55:29Z,960000,-1.0,17.0,1,right,R. Williams III tip Layup (6 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,,,,,,1.71,Made,6.0,,,,,,,,,,,,,
97,PT03M33.00S,2021-11-11T00:55:16.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,14.931011826544022,35.78431372549019,1610612761,23,19,2021-11-11T00:55:39Z,970000,71.0,88.0,1,left,MISS F. VanVleet 11' driving floating Shot,[1627832],1610612761.0,TOR,driving floating,,,VanVleet,F. VanVleet,,,,,,,,,,11.31,Missed,,,,,,,,,,,,,,
98,PT03M33.00S,2021-11-11T00:55:16.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,23,19,2021-11-11T00:58:35Z,980000,,,0,,J. Tatum REBOUND (Off:1 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,97.0,5.0,4.0,1.0,,,,,,
99,PT03M27.00S,2021-11-11T00:55:25.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,23,19,2021-11-11T00:55:25Z,990000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M27.00S,2021-11-11T00:55:36.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612738,23,19,2021-11-11T00:55:40Z,1000000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M27.00S,2021-11-11T00:55:36.1Z,1,REGULAR,substitution,in,[],1630625,,,1610612738,23,19,2021-11-11T00:55:40Z,1010000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M18.00S,2021-11-11T00:55:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629641,91.80354796320631,96.32352941176471,1610612738,26,19,2021-11-11T00:56:03Z,1020000,232.0,25.0,1,right,R. Langford 3PT  (6 PTS) (J. Tatum 3 AST),"[1629641, 1628369]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,23.29,Made,6.0,J. Tatum,1628369.0,3.0,,,,,,,,,,
104,PT02M58.00S,2021-11-11T00:56:23.6Z,1,REGULAR,foul,technical,['1freethrow'],1629057,,,1610612761,26,19,2021-11-11T00:59:34Z,1040000,,,0,,R. Williams III defensive-3-second technical FOUL (1 Tech),[1629057],1610612738.0,BOS,defensive-3-second,,,Williams III,R. Williams III,,,,,2003.0,0.0,1.0,,,,,,,,,,,,,,,,,,
105,PT02M58.00S,2021-11-11T00:56:38.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,26,19,2021-11-11T00:56:38Z,1050000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,out,[],203935,,,1610612761,26,19,2021-11-11T00:59:28Z,1060000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,out,[],1629057,,,1610612761,26,19,2021-11-11T00:59:28Z,1070000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,26,19,2021-11-11T00:59:28Z,1080000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,in,[],201143,,,1610612761,26,19,2021-11-11T00:59:28Z,1090000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,in,[],203471,,,1610612761,26,19,2021-11-11T00:59:28Z,1100000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M58.00S,2021-11-11T00:59:02.0Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,26,19,2021-11-11T00:59:28Z,1110000,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M58.00S,2021-11-11T00:59:40.5Z,1,REGULAR,freethrow,1 of 1,[],1628384,,,1610612761,26,19,2021-11-11T00:59:45Z,1120000,,,0,,MISS O. Anunoby technical Free Throw 1 of 1,[1628384],1610612761.0,TOR,technical,,,Anunoby,O. Anunoby,,,,,,,,,,,Missed,,,,,,,,,,,,,,
113,PT02M58.00S,2021-11-11T00:59:40.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612761,26,19,2021-11-11T00:59:45Z,1130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,
114,PT02M45.00S,2021-11-11T01:00:10.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630173,16.376478318002626,40.931372549019606,1610612761,26,19,2021-11-11T01:00:16Z,1140000,45.0,101.0,1,left,MISS P. Achiuwa 11' driving Hook,[1630173],1610612761.0,TOR,driving,,,Achiuwa,P. Achiuwa,,,,,,,,,,11.11,Missed,,,,,,,,,,,,,,
115,PT02M43.00S,2021-11-11T01:00:12.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,26,19,2021-11-11T01:00:16Z,1150000,,,0,,P. Achiuwa REBOUND (Off:1 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,114.0,2.0,1.0,1.0,,,,,,
116,PT02M42.00S,2021-11-11T01:00:13.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630173,9.806176084099869,74.26470588235294,1610612761,26,19,2021-11-11T01:00:20Z,1160000,-121.0,40.0,1,left,MISS P. Achiuwa 12' turnaround Shot,[1630173],1610612761.0,TOR,turnaround,,,Achiuwa,P. Achiuwa,,,,,,,,,,12.76,Missed,,,,,,,,,,,,,,
117,PT02M39.00S,2021-11-11T01:00:16.3Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,26,19,2021-11-11T01:00:16Z,1170000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,116.0,1.0,1.0,0.0,,,,,,
118,PT02M25.00S,2021-11-11T01:00:31.0Z,1,REGULAR,3pt,Jump Shot,[],1629641,91.40932982917214,94.6078431372549,1610612738,26,19,2021-11-11T01:00:37Z,1180000,223.0,28.0,1,right,MISS R. Langford 3PT - blocked,"[1629641, 1630625]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,22.48,Missed,,,,,,,,,,Banton,1630625.0,,,
119,PT02M25.00S,2021-11-11T01:00:31.0Z,1,REGULAR,block,,[],1630625,,,1610612738,26,19,2021-11-11T01:00:33Z,1190000,,,0,,D. Banton BLOCK (1 BLK),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M25.00S,2021-11-11T01:00:31.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,26,19,2021-11-11T01:00:37Z,1200000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,
121,PT02M25.00S,2021-11-11T01:00:35.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,26,19,2021-11-11T01:00:35Z,1210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M20.00S,2021-11-11T01:01:25.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,81.02825229960578,84.31372549019608,1610612738,26,19,2021-11-11T01:02:16Z,1220000,172.0,126.0,1,right,MISS J. Tatum 21' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,,,,,,21.28,Missed,,,,,,,,,,,,,,
123,PT02M16.00S,2021-11-11T01:01:29.6Z,1,REGULAR,rebound,defensive,[],1630625,,,1610612761,26,19,2021-11-11T01:01:31Z,1230000,,,0,,D. Banton REBOUND (Off:0 Def:1),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,122.0,1.0,1.0,0.0,,,,,,
124,PT02M08.00S,2021-11-11T01:01:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,8.229303547963205,55.392156862745104,1610612761,26,19,2021-11-11T01:01:44Z,1240000,-27.0,25.0,1,left,MISS O. Anunoby driving Layup,[1628384],1610612761.0,TOR,driving,,,Anunoby,O. Anunoby,,,,,,,,,,3.67,Missed,,,,,,,,,,,,,,
125,PT02M07.00S,2021-11-11T01:01:42.4Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,26,19,2021-11-11T01:01:42Z,1250000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,124.0,1.0,0.0,1.0,,,,,,
128,PT02M07.00S,2021-11-11T01:01:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612761,26,19,2021-11-11T01:01:53Z,1280000,,,0,,J. Richardson shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1626196, 1628384]",1610612738.0,BOS,shooting,,,Richardson,J. Richardson,,,,,202056.0,1.0,0.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,
130,PT02M07.00S,2021-11-11T01:02:03.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628384,,,1610612761,26,20,2021-11-11T01:02:03Z,1300000,,,0,,O. Anunoby Free Throw 1 of 2 (5 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
131,PT02M07.00S,2021-11-11T01:02:04.5Z,1,REGULAR,substitution,out,[],1628369,,,1610612761,26,20,2021-11-11T01:02:14Z,1310000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M07.00S,2021-11-11T01:02:04.5Z,1,REGULAR,substitution,in,[],1630174,,,1610612761,26,20,2021-11-11T01:02:14Z,1320000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M07.00S,2021-11-11T01:02:21.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628384,,,1610612761,26,21,2021-11-11T01:02:21Z,1330000,,,0,,O. Anunoby Free Throw 2 of 2 (6 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
134,PT01M42.00S,2021-11-11T01:02:47.1Z,1,REGULAR,2pt,Jump Shot,[],1626196,79.31997371879106,19.607843137254903,1610612738,28,21,2021-11-11T01:02:52Z,1340000,-152.0,142.0,1,right,J. Richardson 20' pullup Jump Shot (2 PTS),[1626196],1610612738.0,BOS,pullup,,,Richardson,J. Richardson,,,,,,,,,,20.79,Made,2.0,,,,,,,,,,,,,
135,PT01M22.00S,2021-11-11T01:03:07.3Z,1,REGULAR,2pt,Jump Shot,[],1629004,7.966491458607096,33.82352941176471,1610612761,28,23,2021-11-11T01:03:12Z,1350000,81.0,22.0,1,left,S. Mykhailiuk 8' turnaround fadeaway Jump Shot (2 PTS) (S. Barnes 1 AST),"[1629004, 1630567]",1610612761.0,TOR,turnaround fadeaway,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,8.39,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
137,PT00M59.30S,2021-11-11T01:03:30.4Z,1,REGULAR,3pt,Jump Shot,[],203471,70.51576872536137,20.588235294117645,1610612738,31,23,2021-11-11T01:03:37Z,1370000,-147.0,225.0,1,right,D. Schroder 26' 3PT  (6 PTS) (A. Horford 1 AST),"[203471, 201143]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,26.86,Made,6.0,A. Horford,201143.0,1.0,,,,,,,,,,
139,PT00M38.90S,2021-11-11T01:03:55.5Z,1,REGULAR,turnover,lost ball,[],1628384,,,1610612761,31,23,2021-11-11T01:03:59Z,1390000,,,0,,O. Anunoby lost ball TURNOVER (1 TO),"[1628384, 201143]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,1.0,,,Horford,201143.0,
140,PT00M38.90S,2021-11-11T01:03:55.5Z,1,REGULAR,steal,,[],201143,,,1610612738,31,23,2021-11-11T01:03:57Z,1400000,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M22.40S,2021-11-11T01:04:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",203471,92.9862023653088,55.392156862745104,1610612738,33,23,2021-11-11T01:05:25Z,1410000,27.0,13.0,1,right,D. Schroder driving Layup (8 PTS),[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,,,3.01,Made,8.0,,,,,,,,,,,,,
142,PT00M22.40S,2021-11-11T01:04:18.2Z,1,REGULAR,violation,defensive goaltending,[],1630173,,,1610612738,33,23,2021-11-11T01:05:41Z,1420000,,,0,,P. Achiuwa defensive goaltending VIOLATION,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,201638.0,,,,,,,,,,,,,,,,,,,,
143,PT00M04.90S,2021-11-11T01:04:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,7.835085413929041,47.549019607843135,1610612761,33,25,2021-11-11T01:05:47Z,1430000,12.0,21.0,1,left,S. Barnes driving reverse Layup (6 PTS) (P. Achiuwa 2 AST),"[1630567, 1630173]",1610612761.0,TOR,driving reverse,,,Barnes,S. Barnes,,,,,,,,,,2.44,Made,6.0,P. Achiuwa,1630173.0,2.0,,,,,,,,,,
145,PT00M00.00S,2021-11-11T01:04:49.0Z,1,REGULAR,period,end,[],0,,,1610612738,33,25,2021-11-11T01:04:49Z,1450000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2021-11-11T01:06:57.2Z,2,REGULAR,substitution,out,['startperiod'],1628384,,,1610612738,33,25,2021-11-11T01:07:26Z,1460000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2021-11-11T01:06:57.2Z,2,REGULAR,substitution,in,['startperiod'],1627832,,,1610612738,33,25,2021-11-11T01:07:26Z,1470000,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-11-11T01:07:34.9Z,2,REGULAR,period,start,[],0,,,1610612761,33,25,2021-11-11T01:07:34Z,1480000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT11M43.00S,2021-11-11T01:07:51.1Z,2,REGULAR,3pt,Jump Shot,[],1629004,32.670827858081466,60.5392156862745,1610612761,33,25,2021-11-11T01:07:55Z,1490000,-53.0,255.0,1,left,MISS S. Mykhailiuk 26' 3PT,[1629004],1610612761.0,TOR,,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,26.0,Missed,,,,,,,,,,,,,,
150,PT11M40.00S,2021-11-11T01:07:54.1Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,33,25,2021-11-11T01:07:55Z,1500000,,,0,,D. Schroder REBOUND (Off:0 Def:2),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,149.0,2.0,2.0,0.0,,,,,,
151,PT11M28.00S,2021-11-11T01:08:05.8Z,2,REGULAR,turnover,lost ball,[],203471,,,1610612738,33,25,2021-11-11T01:08:13Z,1510000,,,0,,D. Schroder lost ball TURNOVER (1 TO),"[203471, 1627832]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,1.0,,,VanVleet,1627832.0,
152,PT11M28.00S,2021-11-11T01:08:05.8Z,2,REGULAR,steal,,[],1627832,,,1610612761,33,25,2021-11-11T01:08:07Z,1520000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M24.00S,2021-11-11T01:08:09.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629004,7.178055190538765,48.03921568627451,1610612761,33,27,2021-11-11T01:09:05Z,1530000,10.0,15.0,1,left,S. Mykhailiuk alley-oop Layup (4 PTS) (P. Achiuwa 3 AST),"[1629004, 1630173]",1610612761.0,TOR,alley-oop,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,1.79,Made,4.0,P. Achiuwa,1630173.0,3.0,,,,,,,,,,
155,PT11M07.00S,2021-11-11T01:08:26.8Z,2,REGULAR,turnover,lost ball,[],203471,,,1610612738,33,27,2021-11-11T01:08:31Z,1550000,,,0,,D. Schroder lost ball TURNOVER (2 TO),"[203471, 1627832]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,2.0,,,VanVleet,1627832.0,
156,PT11M07.00S,2021-11-11T01:08:26.8Z,2,REGULAR,steal,,[],1627832,,,1610612761,33,27,2021-11-11T01:08:28Z,1560000,,,0,,F. VanVleet STEAL (2 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M05.00S,2021-11-11T01:08:29.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629004,6.1268068331143235,50.49019607843137,1610612761,33,29,2021-11-11T01:08:38Z,1570000,-2.0,5.0,1,left,S. Mykhailiuk running Layup (6 PTS) (F. VanVleet 4 AST),"[1629004, 1627832]",1610612761.0,TOR,running,,,Mykhailiuk,S. Mykhailiuk,,,,,,,,,,0.57,Made,6.0,F. VanVleet,1627832.0,4.0,,,,,,,,,,
159,PT11M05.00S,2021-11-11T01:08:36.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,33,29,2021-11-11T01:08:36Z,1590000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M05.00S,2021-11-11T01:11:01.7Z,2,REGULAR,substitution,out,[],1626196,,,1610612738,33,29,2021-11-11T01:11:16Z,1600000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M05.00S,2021-11-11T01:11:01.7Z,2,REGULAR,substitution,in,[],1629684,,,1610612738,33,29,2021-11-11T01:11:16Z,1610000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT10M54.00S,2021-11-11T01:11:44.0Z,2,REGULAR,foul,personal,[],1630567,,,1610612738,33,29,2021-11-11T01:11:52Z,1620000,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 1629684]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,202056.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,,
164,PT10M44.00S,2021-11-11T01:12:10.9Z,2,REGULAR,turnover,out-of-bounds,[],203471,,,1610612738,33,29,2021-11-11T01:12:17Z,1640000,,,0,,D. Schroder bad pass out-of-bounds TURNOVER (3 TO),[203471],1610612738.0,BOS,bad pass,,,Schroder,D. Schroder,,,,,201638.0,,,,,,,,,,,,,,,3.0,,,,,
165,PT10M35.00S,2021-11-11T01:12:25.8Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630567,11.12023653088042,37.254901960784316,1610612761,33,31,2021-11-11T01:12:32Z,1650000,64.0,52.0,1,left,S. Barnes 8' driving bank Hook (8 PTS),[1630567],1610612761.0,TOR,driving bank,,,Barnes,S. Barnes,,,,,,,,,,8.22,Made,8.0,,,,,,,,,,,,,
166,PT10M17.00S,2021-11-11T01:12:44.6Z,2,REGULAR,3pt,Jump Shot,[],201143,65.78515111695138,41.911764705882355,1610612738,33,31,2021-11-11T01:12:50Z,1660000,-40.0,269.0,1,right,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,27.21,Missed,,,,,,,,,,,,,,
167,PT10M13.00S,2021-11-11T01:12:48.6Z,2,REGULAR,rebound,defensive,[],1630567,,,1610612761,33,31,2021-11-11T01:12:50Z,1670000,,,0,,S. Barnes REBOUND (Off:0 Def:5),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,166.0,5.0,5.0,0.0,,,,,,
168,PT10M08.00S,2021-11-11T01:12:53.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627832,8.09789750328515,44.36274509803921,1610612761,33,31,2021-11-11T01:12:59Z,1680000,28.0,24.0,1,left,MISS F. VanVleet running finger roll Layup,[1627832],1610612761.0,TOR,running finger roll,,,VanVleet,F. VanVleet,,,,,,,,,,3.68,Missed,,,,,,,,,,,,,,
169,PT10M05.00S,2021-11-11T01:12:56.4Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,33,31,2021-11-11T01:12:59Z,1690000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,168.0,1.0,1.0,0.0,,,,,,
170,PT09M54.00S,2021-11-11T01:13:07.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],201143,83.26215505913272,48.529411764705884,1610612738,35,31,2021-11-11T01:13:14Z,1700000,-7.0,105.0,1,right,A. Horford 10' turnaround Hook (6 PTS),[201143],1610612738.0,BOS,turnaround,,,Horford,A. Horford,,,,,,,,,,10.51,Made,6.0,,,,,,,,,,,,,
171,PT09M32.00S,2021-11-11T01:13:30.3Z,2,REGULAR,3pt,Jump Shot,[],1627832,28.991458607095925,25.0,1610612761,35,31,2021-11-11T01:13:37Z,1710000,125.0,220.0,1,left,MISS F. VanVleet 25' fadeaway 3PT,[1627832],1610612761.0,TOR,fadeaway,,,VanVleet,F. VanVleet,,,,,,,,,,25.3,Missed,,,,,,,,,,,,,,
172,PT09M26.00S,2021-11-11T01:13:36.3Z,2,REGULAR,rebound,defensive,[],203471,,,1610612738,35,31,2021-11-11T01:13:37Z,1720000,,,0,,D. Schroder REBOUND (Off:0 Def:3),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,171.0,3.0,3.0,0.0,,,,,,
173,PT09M10.00S,2021-11-11T01:13:51.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203471,93.29829172141918,55.170036764705884,1610612738,35,31,2021-11-11T01:13:59Z,1730000,26.0,10.0,1,right,MISS D. Schroder driving Layup,[203471],1610612738.0,BOS,driving,,,Schroder,D. Schroder,,,,,,,,,,2.79,Missed,,,,,,,,,,,,,,
174,PT09M07.00S,2021-11-11T01:13:54.0Z,2,REGULAR,rebound,defensive,[],1630173,,,1610612761,35,31,2021-11-11T01:13:59Z,1740000,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,173.0,3.0,2.0,1.0,,,,,,
