actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
94,PT05M35.00S,2022-03-04T01:04:51.9Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,16,10,2022-03-04T01:04:59Z,900000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,,,,,,Melton,D. Melton,93.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
95,PT05M29.00S,2022-03-04T01:04:57.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,67.23061760840999,31.127450980392158,1610612763,16,10,2022-03-04T01:05:09Z,910000,-94.0,256.0,1,right,MISS Z. Williams 27' 3PT,[1630533],1610612763.0,MEM,,,,,,,27.24,Missed,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,
96,PT05M29.00S,2022-03-04T01:04:57.1Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,16,10,2022-03-04T01:05:09Z,920000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,,,,,,Williams,G. Williams,95.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
97,PT05M19.00S,2022-03-04T01:05:06.8Z,1,REGULAR,turnover,bad pass,[],203935,,,1610612738,16,10,2022-03-04T01:05:12Z,930000,,,0,,M. Smart bad pass TURNOVER (1 TO),"[203935, 203937]",1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,1.0,Anderson,203937.0,
98,PT05M19.00S,2022-03-04T01:05:06.8Z,1,REGULAR,steal,,[],203937,,,1610612763,16,10,2022-03-04T01:05:08Z,940000,,,0,,K. Anderson STEAL (1 STL),[203937],1610612763.0,MEM,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
99,PT05M16.00S,2022-03-04T01:05:10.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630533,93.51182654402102,48.529411764705884,1610612763,16,12,2022-03-04T01:05:49Z,950000,-7.0,8.0,1,right,Z. Williams running DUNK (5 PTS) (K. Anderson 2 AST),"[1630533, 203937]",1610612763.0,MEM,running,,,,,,1.13,Made,Williams,Z. Williams,,,,,5.0,K. Anderson,203937.0,2.0,,,,,,,,,,,
101,PT04M57.00S,2022-03-04T01:05:29.7Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,16,12,2022-03-04T01:05:45Z,970000,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 1629001]",1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,2.0,Melton,1629001.0,
102,PT04M57.00S,2022-03-04T01:05:29.7Z,1,REGULAR,steal,,[],1629001,,,1610612763,16,12,2022-03-04T01:17:34Z,980000,,,0,,D. Melton STEAL (1 STL),[1629001],1610612763.0,MEM,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
103,PT04M54.00S,2022-03-04T01:05:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629001,92.72339027595268,49.01960784313725,1610612763,16,14,2022-03-04T01:05:38Z,990000,-5.0,16.0,1,right,D. Melton running finger roll Layup (2 PTS) (J. Morant 2 AST),"[1629001, 1629630]",1610612763.0,MEM,running finger roll,,,,,,1.66,Made,Melton,D. Melton,,,,,2.0,J. Morant,1629630.0,2.0,,,,,,,,,,,
105,PT04M40.00S,2022-03-04T01:05:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629684,5.863994743758213,3.9215686274509802,1610612738,19,14,2022-03-04T01:05:52Z,1010000,230.0,3.0,1,left,G. Williams 3PT  (3 PTS) (M. Smart 2 AST),"[1629684, 203935]",1610612738.0,BOS,,,,,,,23.04,Made,Williams,G. Williams,,,,,3.0,M. Smart,203935.0,2.0,,,,,,,,,,,
107,PT04M28.00S,2022-03-04T01:05:58.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,92.46057818659659,57.35294117647059,1610612763,19,16,2022-03-04T01:06:03Z,1030000,37.0,18.0,1,right,J. Jackson Jr. driving bank Hook (7 PTS) (Z. Williams 1 AST),"[1628991, 1630533]",1610612763.0,MEM,driving bank,,,,,,4.11,Made,Jackson Jr.,J. Jackson Jr.,,,,,7.0,Z. Williams,1630533.0,1.0,,,,,,,,,,,
109,PT04M17.00S,2022-03-04T01:06:09.5Z,1,REGULAR,turnover,lost ball,[],201143,,,1610612738,19,16,2022-03-04T01:06:15Z,1050000,,,0,,A. Horford lost ball TURNOVER (1 TO),"[201143, 203937]",1610612738.0,BOS,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,1.0,Anderson,203937.0,
110,PT04M17.00S,2022-03-04T01:06:09.5Z,1,REGULAR,steal,,[],203937,,,1610612763,19,16,2022-03-04T01:06:11Z,1060000,,,0,,K. Anderson STEAL (2 STL),[203937],1610612763.0,MEM,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
111,PT04M14.00S,2022-03-04T01:06:12.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203937,92.32917214191852,46.32352941176471,1610612763,19,18,2022-03-04T01:06:20Z,1070000,-18.0,20.0,1,right,K. Anderson running DUNK (2 PTS),[203937],1610612763.0,MEM,running,,,,,,2.69,Made,Anderson,K. Anderson,,,,,2.0,,,,,,,,,,,,,,
112,PT03M52.00S,2022-03-04T01:06:33.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629057,11.383048620236531,50.0,1610612738,19,18,2022-03-04T01:06:39Z,1080000,0.0,55.0,1,left,MISS R. Williams III turnaround Hook,[1629057],1610612738.0,BOS,turnaround,,,,,,5.45,Missed,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,
113,PT03M50.00S,2022-03-04T01:06:35.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,19,18,2022-03-04T01:06:39Z,1090000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:2),[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,112.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
114,PT03M44.00S,2022-03-04T01:06:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,87.86136662286465,52.450980392156865,1610612763,19,18,2022-03-04T01:06:49Z,1100000,12.0,62.0,1,right,MISS J. Morant 6' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,,,,6.28,Missed,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
115,PT03M41.00S,2022-03-04T01:06:45.6Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,19,18,2022-03-04T01:06:49Z,1110000,,,0,,R. Williams III REBOUND (Off:1 Def:4),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,114.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
116,PT03M34.00S,2022-03-04T01:06:52.5Z,1,REGULAR,2pt,Jump Shot,[],1628401,22.28975032851511,63.23529411764706,1610612738,19,18,2022-03-04T01:07:03Z,1120000,-66.0,157.0,1,left,MISS D. White 17' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,,,,17.04,Missed,White,D. White,,,,,,,,,,,,,,,,,,,
117,PT03M31.00S,2022-03-04T01:06:55.5Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,19,18,2022-03-04T01:07:03Z,1130000,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612763.0,MEM,,,,,,,,,Melton,D. Melton,116.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
118,PT03M17.00S,2022-03-04T01:07:09.6Z,1,REGULAR,3pt,Jump Shot,[],1629001,68.67608409986859,69.6078431372549,1610612763,19,18,2022-03-04T01:07:18Z,1140000,98.0,242.0,1,right,MISS D. Melton 26' 3PT,[1629001],1610612763.0,MEM,,,,,,,26.1,Missed,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
119,PT03M14.00S,2022-03-04T01:07:12.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,19,18,2022-03-04T01:07:18Z,1150000,,,0,,A. Horford REBOUND (Off:2 Def:3),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,118.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
120,PT02M57.00S,2022-03-04T01:07:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,13.748357424441524,40.19607843137255,1610612738,19,18,2022-03-04T01:07:39Z,1160000,49.0,77.0,1,left,MISS M. Smart 9' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,,,,9.1,Missed,Smart,M. Smart,,,,,,,,,,,,,,,,,,,
121,PT02M55.00S,2022-03-04T01:07:31.7Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,19,18,2022-03-04T01:07:31Z,1170000,,,0,,A. Horford REBOUND (Off:3 Def:3),[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,120.0,6.0,3.0,3.0,,,,,,,,,,,,,,,
122,PT02M55.00S,2022-03-04T01:07:41.3Z,1,REGULAR,foul,personal,[],1629630,,,1610612738,19,18,2022-03-04T01:07:50Z,1180000,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 201143]",1610612763.0,MEM,,,,,,,,,Morant,J. Morant,,,,,,,,,101283.0,1.0,0.0,Horford,201143.0,,,,,,
124,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,out,[],201143,,,1610612738,19,18,2022-03-04T01:07:58Z,1200000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
125,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,out,[],1630533,,,1610612738,19,18,2022-03-04T01:07:58Z,1210000,,,0,,SUB out: Z. Williams,[1630533],1610612763.0,MEM,,,,,,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,
126,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,out,[],1628991,,,1610612738,19,18,2022-03-04T01:07:58Z,1220000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
127,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,in,[],1628369,,,1610612738,19,18,2022-03-04T01:07:58Z,1230000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
128,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,in,[],1629723,,,1610612738,19,18,2022-03-04T01:07:58Z,1240000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,,,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,
129,PT02M55.00S,2022-03-04T01:07:47.5Z,1,REGULAR,substitution,in,[],1629634,,,1610612738,19,18,2022-03-04T01:07:58Z,1250000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,,,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,
130,PT02M47.00S,2022-03-04T01:08:15.4Z,1,REGULAR,foul,technical,['1freethrow'],1629634,,,1610612738,19,18,2022-03-04T01:08:20Z,1260000,,,0,,B. Clarke defensive-3-second technical FOUL (1 Tech),[1629634],1610612763.0,MEM,defensive-3-second,,,,,,,,Clarke,B. Clarke,,,,,,,,,2003.0,0.0,1.0,,,,,,,,
131,PT02M47.00S,2022-03-04T01:08:28.5Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,20,18,2022-03-04T01:08:28Z,1270000,,,0,,J. Tatum technical Free Throw 1 of 1 (4 PTS),[1628369],1610612738.0,BOS,technical,,,,,,,Made,Tatum,J. Tatum,,,,,4.0,,,,,,,,,,,,,,
132,PT02M43.00S,2022-03-04T01:08:42.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628369,13.61695137976347,40.19607843137255,1610612738,22,18,2022-03-04T01:08:49Z,1280000,49.0,75.0,1,left,J. Tatum 9' driving floating Jump Shot (6 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,driving floating,,,,,,9.0,Made,Tatum,J. Tatum,,,,,6.0,D. White,1628401.0,1.0,,,,,,,,,,,
134,PT02M21.00S,2022-03-04T01:09:04.2Z,1,REGULAR,turnover,bad pass,[],1629001,,,1610612763,22,18,2022-03-04T01:09:08Z,1300000,,,0,,D. Melton bad pass TURNOVER (1 TO),"[1629001, 1629057]",1610612763.0,MEM,,,,,,,,,Melton,D. Melton,,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,
135,PT02M21.00S,2022-03-04T01:09:04.2Z,1,REGULAR,steal,,[],1629057,,,1610612738,22,18,2022-03-04T01:09:05Z,1310000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,
136,PT02M20.00S,2022-03-04T01:09:06.6Z,1,REGULAR,turnover,bad pass,[],1629057,,,1610612738,22,18,2022-03-04T01:09:17Z,1320000,,,0,,R. Williams III bad pass TURNOVER (1 TO),"[1629057, 1629723]",1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,1.0,Konchar,1629723.0,
137,PT02M20.00S,2022-03-04T01:09:06.6Z,1,REGULAR,steal,,[],1629723,,,1610612763,22,18,2022-03-04T01:09:08Z,1330000,,,0,,J. Konchar STEAL (1 STL),[1629723],1610612763.0,MEM,,,,,,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,
138,PT02M20.00S,2022-03-04T01:09:14.5Z,1,REGULAR,foul,personal,[],203935,,,1610612763,22,18,2022-03-04T01:17:08Z,1340000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 1629723]",1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,1628172.0,1.0,0.0,Konchar,1629723.0,,,,,,
140,PT02M20.00S,2022-03-04T01:09:22.6Z,1,REGULAR,substitution,out,[],203935,,,1610612763,22,18,2022-03-04T01:09:36Z,1360000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,,,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,
141,PT02M20.00S,2022-03-04T01:09:22.6Z,1,REGULAR,substitution,out,[],1629630,,,1610612763,22,18,2022-03-04T01:09:36Z,1370000,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
142,PT02M20.00S,2022-03-04T01:09:22.6Z,1,REGULAR,substitution,in,[],1630202,,,1610612763,22,18,2022-03-04T01:09:36Z,1380000,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,
143,PT02M20.00S,2022-03-04T01:09:22.6Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,22,18,2022-03-04T01:09:36Z,1390000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,,,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,
144,PT02M15.00S,2022-03-04T01:09:48.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629001,67.23061760840999,29.65686274509804,1610612763,22,18,2022-03-04T01:09:53Z,1400000,-102.0,256.0,1,right,MISS D. Melton 27' 3PT,[1629001],1610612763.0,MEM,,,,,,,27.5,Missed,Melton,D. Melton,,,,,,,,,,,,,,,,,,,
145,PT02M12.00S,2022-03-04T01:09:51.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,22,18,2022-03-04T01:09:53Z,1410000,,,0,,R. Williams III REBOUND (Off:1 Def:5),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,144.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
146,PT02M02.00S,2022-03-04T01:10:02.5Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,22,18,2022-03-04T01:10:10Z,1420000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,bad pass,,,,,,,,Tatum,J. Tatum,,,,,,,,,2003.0,,,,,,,2.0,,,
147,PT01M44.00S,2022-03-04T01:10:34.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203937,83.52496714848883,95.83333333333334,1610612763,22,18,2022-03-04T01:10:40Z,1430000,229.0,102.0,1,right,MISS K. Anderson 25' 3PT,[203937],1610612763.0,MEM,,,,,,,25.1,Missed,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
148,PT01M41.00S,2022-03-04T01:10:37.3Z,1,REGULAR,rebound,offensive,[],1629634,,,1610612763,22,18,2022-03-04T01:10:56Z,1440000,,,0,,B. Clarke REBOUND (Off:1 Def:0),[1629634],1610612763.0,MEM,,,,,,,,,Clarke,B. Clarke,147.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
149,PT01M41.00S,2022-03-04T01:10:38.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629634,94.40999984741211,50.0,1610612763,22,20,2022-03-04T01:11:00Z,1450000,0.0,0.0,1,right,B. Clarke tip Layup (2 PTS),[1629634],1610612763.0,MEM,tip,,,,,,0.0,Made,Clarke,B. Clarke,,,,,2.0,,,,,,,,,,,,,,
150,PT01M25.00S,2022-03-04T01:10:54.8Z,1,REGULAR,foul,personal,['2freethrow'],1629001,,,1610612738,22,20,2022-03-04T01:11:01Z,1460000,,,0,,D. Melton shooting personal FOUL (1 PF) (White 2 FT),"[1629001, 1628401]",1610612763.0,MEM,shooting,,,,,,,,Melton,D. Melton,,,,,,,,,1628172.0,1.0,0.0,White,1628401.0,,,,,,
152,PT01M25.00S,2022-03-04T01:11:23.4Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,23,20,2022-03-04T01:11:23Z,1480000,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,,,,,Made,White,D. White,,,,,1.0,,,,,,,,,,,,,,
153,PT01M25.00S,2022-03-04T01:11:40.0Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,24,20,2022-03-04T01:11:40Z,1490000,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,,,,,Made,White,D. White,,,,,2.0,,,,,,,,,,,,,,
154,PT01M08.00S,2022-03-04T01:11:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203937,87.07293035479631,44.85294117647059,1610612763,24,20,2022-03-04T01:12:06Z,1500000,-26.0,69.0,1,right,MISS K. Anderson 7' driving Layup,[203937],1610612763.0,MEM,driving,,,,,,7.36,Missed,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
155,PT01M06.00S,2022-03-04T01:12:01.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,24,20,2022-03-04T01:12:06Z,1510000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,
156,PT01M06.00S,2022-03-04T01:12:04.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,24,20,2022-03-04T01:12:04Z,1520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT01M06.00S,2022-03-04T01:12:26.6Z,1,REGULAR,foul,personal,[],1630202,,,1610612763,24,20,2022-03-04T01:12:32Z,1530000,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 1629634]",1610612738.0,BOS,,,,,,,,,Pritchard,P. Pritchard,,,,,,,,,1628172.0,1.0,0.0,Clarke,1629634.0,,,,,,
159,PT01M00.00S,2022-03-04T01:12:47.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626145,73.01248357424441,57.35294117647059,1610612763,24,20,2022-03-04T01:12:52Z,1550000,37.0,201.0,1,right,MISS T. Jones 20' pullup Shot,[1626145],1610612763.0,MEM,pullup,,,,,,20.45,Missed,Jones,T. Jones,,,,,,,,,,,,,,,,,,,
160,PT00M58.60S,2022-03-04T01:12:49.1Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,24,20,2022-03-04T01:12:52Z,1560000,,,0,,R. Williams III REBOUND (Off:1 Def:6),[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,159.0,7.0,6.0,1.0,,,,,,,,,,,,,,,
161,PT00M51.50S,2022-03-04T01:12:57.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.225361366622867,65.19607843137256,1610612738,24,20,2022-03-04T01:13:02Z,1570000,-76.0,241.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,25.27,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
162,PT00M49.60S,2022-03-04T01:12:59.2Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612763,24,20,2022-03-04T01:13:02Z,1580000,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612763.0,MEM,,,,,,,,,Jones,T. Jones,161.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
163,PT00M44.60S,2022-03-04T01:13:04.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,72.09264126149803,80.14705882352942,1610612763,24,20,2022-03-04T01:13:15Z,1590000,151.0,210.0,1,right,MISS T. Jones 25' 3PT,[1626145],1610612763.0,MEM,,,,,,,25.83,Missed,Jones,T. Jones,,,,,,,,,,,,,,,,,,,
164,PT00M42.80S,2022-03-04T01:13:06.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,24,20,2022-03-04T01:13:15Z,1600000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,
165,PT00M42.80S,2022-03-04T01:13:10.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612763,24,20,2022-03-04T01:13:17Z,1610000,,,0,,G. Williams loose ball personal FOUL (1 PF) (Clarke 2 FT),"[1629684, 1629634]",1610612738.0,BOS,loose ball,,,,,,,,Williams,G. Williams,,,,,,,,,101283.0,1.0,0.0,Clarke,1629634.0,,,,,,
167,PT00M42.80S,2022-03-04T01:13:35.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629634,,,1610612763,24,20,2022-03-04T01:13:35Z,1630000,,,0,,MISS B. Clarke Free Throw 1 of 2,[1629634],1610612763.0,MEM,,,,,,,,Missed,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,
168,PT00M42.80S,2022-03-04T01:13:35.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,24,20,2022-03-04T01:13:35Z,1640000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,
169,PT00M42.80S,2022-03-04T01:13:36.1Z,1,REGULAR,substitution,out,[],203937,,,1610612763,24,20,2022-03-04T01:13:40Z,1650000,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,,,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,
170,PT00M42.80S,2022-03-04T01:13:36.1Z,1,REGULAR,substitution,in,[],1630217,,,1610612763,24,20,2022-03-04T01:13:40Z,1660000,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
171,PT00M42.80S,2022-03-04T01:13:35.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629634,,,1610612763,24,20,2022-03-04T01:14:01Z,1670000,,,0,,MISS B. Clarke Free Throw 2 of 2,[1629634],1610612763.0,MEM,,,,,,,,Missed,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,
172,PT00M42.80S,2022-03-04T01:13:35.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,24,20,2022-03-04T01:14:01Z,1680000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,,,,,,White,D. White,171.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
173,PT00M36.60S,2022-03-04T01:13:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,8.623521681997373,46.07843137254902,1610612738,26,20,2022-03-04T01:14:11Z,1690000,20.0,29.0,1,left,D. White running Layup (4 PTS),[1628401],1610612738.0,BOS,running,,,,,,3.47,Made,White,D. White,,,,,4.0,,,,,,,,,,,,,,
174,PT00M18.60S,2022-03-04T01:14:20.1Z,1,REGULAR,3pt,Jump Shot,[],1626145,74.58935611038108,15.196078431372548,1610612763,26,20,2022-03-04T01:14:27Z,1700000,-174.0,186.0,1,right,MISS T. Jones 25' 3PT,[1626145],1610612763.0,MEM,,,,,,,25.5,Missed,Jones,T. Jones,,,,,,,,,,,,,,,,,,,
175,PT00M15.90S,2022-03-04T01:14:22.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,26,20,2022-03-04T01:14:22Z,1710000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,,,,,,Tatum,J. Tatum,174.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
176,PT00M03.60S,2022-03-04T01:14:36.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,35.69316688567674,17.401960784313726,1610612738,26,20,2022-03-04T01:15:13Z,1720000,163.0,283.0,1,left,MISS P. Pritchard 32' 3PT,[1630202],1610612738.0,BOS,,,,,,,32.66,Missed,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,
177,PT00M00.60S,2022-03-04T01:14:39.0Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,26,20,2022-03-04T01:15:13Z,1730000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,,,,,,Bane,D. Bane,176.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
178,PT00M00.00S,2022-03-04T01:14:41.4Z,1,REGULAR,period,end,[],0,,,1610612763,26,20,2022-03-04T01:14:41Z,1740000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-03-04T01:17:47.2Z,2,REGULAR,substitution,out,['startperiod'],1629684,,,1610612763,26,20,2022-03-04T01:18:04Z,1750000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,,,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2022-03-04T01:17:47.2Z,2,REGULAR,substitution,out,['startperiod'],1629057,,,1610612763,26,20,2022-03-04T01:18:04Z,1760000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,,,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,
