actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
175,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,in,[],1630613,,,1610612754,27,18,2022-01-11T01:12:29Z,1730000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,in,[],203200,,,1610612754,27,18,2022-01-11T01:12:29Z,1740000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M20.00S,2022-01-11T01:12:02.3Z,2,REGULAR,substitution,in,[],1626208,,,1610612754,27,18,2022-01-11T01:12:29Z,1750000,,,0,,SUB in: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT09M56.00S,2022-01-11T01:13:04.1Z,2,REGULAR,turnover,bad pass,[],203200,,,1610612754,27,18,2022-01-11T01:13:10Z,1760000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 203471]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,1.0,,,,Schroder,203471.0,,,
179,PT09M56.00S,2022-01-11T01:13:04.1Z,2,REGULAR,steal,,[],203471,,,1610612738,27,18,2022-01-11T01:13:06Z,1770000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT09M47.00S,2022-01-11T01:13:13.4Z,2,REGULAR,turnover,bad pass,[],203471,,,1610612738,27,18,2022-01-11T01:13:42Z,1780000,,,0,,D. Schroder bad pass TURNOVER (1 TO),"[203471, 1627734]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,1.0,,,,Sabonis,1627734.0,,,
181,PT09M47.00S,2022-01-11T01:13:13.4Z,2,REGULAR,steal,,[],1627734,,,1610612754,27,18,2022-01-11T01:14:46Z,1790000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT09M41.00S,2022-01-11T01:13:31.4Z,2,REGULAR,turnover,bad pass,[],203200,,,1610612754,27,18,2022-01-11T01:14:40Z,1800000,,,0,,J. Holiday bad pass TURNOVER (2 TO),"[203200, 1629684]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,2.0,,,,Williams,1629684.0,,,
183,PT09M41.00S,2022-01-11T01:13:31.4Z,2,REGULAR,steal,,[],1629684,,,1610612738,27,18,2022-01-11T01:14:22Z,1810000,,,0,,G. Williams STEAL (2 STL),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT09M41.00S,2022-01-11T01:13:41.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,27,18,2022-01-11T01:13:41Z,1820000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M21.00S,2022-01-11T01:16:46.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626196,86.5473061760841,49.50980392156863,1610612738,27,18,2022-01-11T01:16:56Z,1830000,-2.0,74.0,1,right,MISS J. Richardson 7' driving floating Shot,[1626196],1610612738.0,BOS,driving floating,,,Richardson,J. Richardson,,,,,7.4,Missed,,,,,,,,,,,,,,,,,,,
186,PT09M19.00S,2022-01-11T01:16:48.7Z,2,REGULAR,rebound,defensive,[],1626208,,,1610612754,27,18,2022-01-11T01:16:56Z,1840000,,,0,,K. Sykes REBOUND (Off:0 Def:1),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,185.0,1.0,1.0,0.0,,,,,,,,,,,
187,PT09M14.00S,2022-01-11T01:16:57.1Z,2,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612754,27,18,2022-01-11T01:17:09Z,1850000,,,0,,G. Williams shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1629684, 1627734]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,,,,202058.0,1.0,0.0,,,,,Sabonis,1627734.0,,,,,,,,,
189,PT09M14.00S,2022-01-11T01:17:24.9Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1627734,,,1610612754,27,19,2022-01-11T01:17:24Z,1870000,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
190,PT09M14.00S,2022-01-11T01:17:43.8Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1627734,,,1610612754,27,20,2022-01-11T01:17:43Z,1880000,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
192,PT08M59.00S,2022-01-11T01:18:09.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.29829172141918,35.692401960784316,1610612738,29,20,2022-01-11T01:18:32Z,1900000,-72.0,10.0,1,right,J. Tatum 7' Layup (6 PTS) (G. Williams 1 AST),"[1628369, 1629684]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,7.23,Made,6.0,,,,,,,,,,,G. Williams,1629684.0,1.0,,,,,
193,PT08M59.00S,2022-01-11T01:18:13.8Z,2,REGULAR,foul,personal,['1freethrow'],203200,,,1610612738,29,20,2022-01-11T01:18:22Z,1910000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Tatum 1 FT),"[203200, 1628369]",1610612754.0,IND,shooting,,,Holiday,J. Holiday,,,,,,,,202007.0,1.0,0.0,,,,,Tatum,1628369.0,,,,,,,,,
196,PT08M59.00S,2022-01-11T01:18:25.2Z,2,REGULAR,substitution,out,[],1626196,,,1610612738,29,20,2022-01-11T01:18:28Z,1930000,,,0,,SUB out: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT08M59.00S,2022-01-11T01:18:25.2Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,29,20,2022-01-11T01:18:28Z,1940000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M59.00S,2022-01-11T01:18:36.5Z,2,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,30,20,2022-01-11T01:18:36Z,1950000,,,0,,J. Tatum Free Throw 1 of 1 (7 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
199,PT08M36.00S,2022-01-11T01:19:00.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.307490144546649,63.013174019607845,1610612754,30,22,2022-01-11T01:19:08Z,1960000,-65.0,7.0,1,left,D. Sabonis 6' Layup (4 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,6.55,Made,4.0,,,,,,,,,,,,,,,,,,
200,PT08M19.00S,2022-01-11T01:19:18.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,91.5407358738502,49.26470588235294,1610612738,30,22,2022-01-11T01:19:51Z,1970000,-4.0,27.0,1,right,MISS J. Tatum driving finger roll Layup,[1628369],1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,,
201,PT08M17.00S,2022-01-11T01:19:20.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,30,22,2022-01-11T01:19:32Z,1980000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,
202,PT08M17.00S,2022-01-11T01:19:27.0Z,2,REGULAR,foul,personal,[],1628369,,,1610612754,30,22,2022-01-11T01:19:37Z,1990000,,,0,,J. Tatum loose ball personal FOUL (2 PF),"[1628369, 1627734]",1610612738.0,BOS,loose ball,,,Tatum,J. Tatum,,,,,,,,202058.0,2.0,0.0,,,,,Sabonis,1627734.0,,,,,,,,,
204,PT08M05.00S,2022-01-11T01:19:58.4Z,2,REGULAR,2pt,Jump Shot,[],203087,10.11826544021025,72.81709558823529,1610612754,30,24,2022-01-11T01:20:11Z,2010000,-114.0,43.0,1,left,J. Lamb 12' fadeaway Jump Shot (9 PTS),[203087],1610612754.0,IND,fadeaway,,,Lamb,J. Lamb,,,,,12.18,Made,9.0,,,,,,,,,,,,,,,,,,
205,PT07M37.00S,2022-01-11T01:20:26.6Z,2,REGULAR,3pt,Jump Shot,[],1627759,68.54467805519053,22.794117647058822,1610612738,30,24,2022-01-11T01:21:29Z,2020000,-136.0,243.0,1,right,MISS J. Brown 27' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,27.86,Missed,,,,,,,,,,,,,,,,,,,
206,PT07M34.00S,2022-01-11T01:20:29.6Z,2,REGULAR,rebound,defensive,[],203200,,,1610612754,30,24,2022-01-11T01:20:43Z,2030000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,205.0,2.0,2.0,0.0,,,,,,,,,,,
207,PT07M27.00S,2022-01-11T01:20:39.1Z,2,REGULAR,turnover,traveling,[],1626208,,,1610612754,30,24,2022-01-11T01:20:49Z,2040000,,,0,,K. Sykes traveling TURNOVER (2 TO),[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,202058.0,,,,,,,,,2.0,,,,,,,,
208,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,30,24,2022-01-11T01:21:14Z,2050000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,out,[],202683,,,1610612738,30,24,2022-01-11T01:21:14Z,2060000,,,0,,SUB out: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,out,[],203471,,,1610612738,30,24,2022-01-11T01:21:14Z,2070000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,in,[],1626196,,,1610612738,30,24,2022-01-11T01:21:14Z,2080000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,in,[],203935,,,1610612738,30,24,2022-01-11T01:21:14Z,2090000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M27.00S,2022-01-11T01:20:43.8Z,2,REGULAR,substitution,in,[],1629057,,,1610612738,30,24,2022-01-11T01:21:14Z,2100000,,,0,,SUB in: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M11.00S,2022-01-11T01:21:16.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203935,67.8712220762155,62.24724264705882,1610612738,30,24,2022-01-11T01:21:45Z,2110000,61.0,250.0,1,right,MISS M. Smart 25' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.69,Missed,,,,,,,,,,,,,,,,,,,
215,PT07M07.00S,2022-01-11T01:21:20.2Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612754,30,24,2022-01-11T01:21:45Z,2120000,,,0,,D. Sabonis REBOUND (Off:2 Def:4),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,214.0,6.0,4.0,2.0,,,,,,,,,,,
216,PT07M07.00S,2022-01-11T01:21:28.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630613,7.440867279894875,39.46078431372549,1610612754,30,24,2022-01-11T01:22:36Z,2130000,53.0,17.0,1,left,MISS D. Washington Jr. Layup - blocked,"[1630613, 1629057]",1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,5.55,Missed,,,,,,,,,,,,,,,,,Williams III,1629057.0,
217,PT07M07.00S,2022-01-11T01:21:28.1Z,2,REGULAR,block,,[],1629057,,,1610612754,30,24,2022-01-11T01:22:36Z,2140000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M05.00S,2022-01-11T01:21:30.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612754,30,24,2022-01-11T01:22:36Z,2150000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,
219,PT07M05.00S,2022-01-11T01:21:32.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,30,24,2022-01-11T01:21:32Z,2160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M50.00S,2022-01-11T01:21:56.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1626208,10.5946123521682,2.450980392156863,1610612754,30,24,2022-01-11T01:23:14Z,2170000,238.0,47.0,1,left,MISS K. Sykes 24' 3PT,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,24.23,Missed,,,,,,,,,,,,,,,,,,,
221,PT06M46.00S,2022-01-11T01:22:00.4Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,30,24,2022-01-11T01:22:00Z,2180000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,220.0,4.0,4.0,0.0,,,,,,,,,,,
222,PT06M46.00S,2022-01-11T01:22:08.4Z,2,REGULAR,foul,personal,[],1626208,,,1610612738,30,24,2022-01-11T01:22:14Z,2190000,,,0,,K. Sykes personal FOUL (1 PF),"[1626208, 203935]",1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,202007.0,1.0,0.0,,,,,Smart,203935.0,,,,,,,,,
224,PT06M46.00S,2022-01-11T01:22:17.2Z,2,REGULAR,substitution,out,[],1627734,,,1610612738,30,24,2022-01-11T01:22:26Z,2210000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M46.00S,2022-01-11T01:22:17.2Z,2,REGULAR,substitution,out,[],203087,,,1610612738,30,24,2022-01-11T01:22:26Z,2220000,,,0,,SUB out: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M46.00S,2022-01-11T01:22:17.2Z,2,REGULAR,substitution,in,[],1626167,,,1610612738,30,24,2022-01-11T01:22:26Z,2230000,,,0,,SUB in: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M46.00S,2022-01-11T01:22:17.2Z,2,REGULAR,substitution,in,[],1629052,,,1610612738,30,24,2022-01-11T01:22:26Z,2240000,,,0,,SUB in: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M34.00S,2022-01-11T01:22:41.9Z,2,REGULAR,turnover,bad pass,[],1626196,,,1610612738,30,24,2022-01-11T01:23:22Z,2250000,,,0,,J. Richardson bad pass TURNOVER (1 TO),"[1626196, 1630613]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,1.0,,,,Washington Jr.,1630613.0,,,
229,PT06M34.00S,2022-01-11T01:22:41.9Z,2,REGULAR,steal,,[],1630613,,,1610612754,30,24,2022-01-11T01:22:44Z,2260000,,,0,,D. Washington Jr. STEAL (1 STL),[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M30.00S,2022-01-11T01:22:46.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626208,4.681340341655716,43.872549019607845,1610612754,30,26,2022-01-11T01:23:30Z,2270000,31.0,-8.0,1,left,K. Sykes running Layup (2 PTS) (D. Washington Jr. 1 AST),"[1626208, 1630613]",1610612754.0,IND,running,,,Sykes,K. Sykes,,,,,3.18,Made,2.0,,,,,,,,,,,D. Washington Jr.,1630613.0,1.0,,,,,
232,PT06M30.00S,2022-01-11T01:22:53.2Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,30,26,2022-01-11T01:22:53Z,2290000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M30.00S,2022-01-11T01:23:47.3Z,2,REGULAR,substitution,out,[],1629684,,,1610612738,30,26,2022-01-11T01:24:20Z,2300000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M30.00S,2022-01-11T01:23:47.3Z,2,REGULAR,substitution,in,[],201143,,,1610612738,30,26,2022-01-11T01:24:20Z,2310000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M08.00S,2022-01-11T01:24:42.0Z,2,REGULAR,2pt,Jump Shot,[],1627759,88.38699080157687,17.892156862745097,1610612738,30,26,2022-01-11T01:24:51Z,2320000,-161.0,57.0,1,right,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,17.02,Missed,,,,,,,,,,,,,,,,,,,
236,PT06M04.00S,2022-01-11T01:24:46.0Z,2,REGULAR,rebound,offensive,[],201143,,,1610612738,30,26,2022-01-11T01:24:51Z,2330000,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,235.0,5.0,4.0,1.0,,,,,,,,,,,
237,PT05M54.00S,2022-01-11T01:24:57.0Z,2,REGULAR,foul,personal,[],1629052,,,1610612738,30,26,2022-01-11T01:25:06Z,2340000,,,0,,O. Brissett personal FOUL (2 PF),"[1629052, 203935]",1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,203591.0,2.0,0.0,,,,,Smart,203935.0,,,,,,,,,
239,PT05M47.00S,2022-01-11T01:25:19.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203935,84.7568988173456,62.768075980392155,1610612738,30,26,2022-01-11T01:25:35Z,2360000,64.0,91.0,1,right,MISS M. Smart 11' turnaround Shot,[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,11.1,Missed,,,,,,,,,,,,,,,,,,,
240,PT05M45.00S,2022-01-11T01:25:21.9Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,30,26,2022-01-11T01:25:35Z,2370000,,,0,,R. Williams III REBOUND (Off:2 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,239.0,2.0,0.0,2.0,,,,,,,,,,,
241,PT05M45.00S,2022-01-11T01:25:27.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,30,26,2022-01-11T01:25:27Z,2380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M37.00S,2022-01-11T01:25:44.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203935,89.43823915900131,53.92156862745098,1610612738,30,26,2022-01-11T01:26:52Z,2390000,20.0,47.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,5.07,Missed,,,,,,,,,,,,,,,,,,,
243,PT05M35.00S,2022-01-11T01:25:46.0Z,2,REGULAR,rebound,offensive,[],1629057,,,1610612738,30,26,2022-01-11T01:26:52Z,2400000,,,0,,R. Williams III REBOUND (Off:3 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,242.0,3.0,0.0,3.0,,,,,,,,,,,
244,PT05M35.00S,2022-01-11T01:25:48.2Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629057,94.40999984741211,50.0,1610612738,32,26,2022-01-11T01:26:59Z,2410000,0.0,0.0,1,right,R. Williams III tip DUNK (8 PTS),[1629057],1610612738.0,BOS,tip,,,Williams III,R. Williams III,,,,,0.0,Made,8.0,,,,,,,,,,,,,,,,,,
245,PT05M17.00S,2022-01-11T01:26:00.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,11.383048620236531,41.66666666666667,1610612754,32,28,2022-01-11T01:26:11Z,2420000,42.0,55.0,1,left,M. Turner 6' driving floating bank Jump Shot (2 PTS) (K. Sykes 2 AST),"[1626167, 1626208]",1610612754.0,IND,driving floating bank,,,Turner,M. Turner,,,,,6.86,Made,2.0,,,,,,,,,,,K. Sykes,1626208.0,2.0,,,,,
246,PT05M07.00S,2022-01-11T01:26:16.0Z,2,REGULAR,foul,offensive,[],201143,,,1610612738,32,28,2022-01-11T01:26:29Z,2430000,,,0,,A. Horford offensive FOUL (1 PF),"[201143, 1626208]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,202007.0,1.0,0.0,,,,,Sykes,1626208.0,,,,,,,,,
248,PT05M07.00S,2022-01-11T01:26:16.0Z,2,REGULAR,turnover,offensive foul,[],201143,,,1610612738,32,28,2022-01-11T01:26:16Z,2450000,,,0,,A. Horford offensive foul TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,202007.0,,,,,,,,,1.0,,,,,,,,
250,PT04M55.00S,2022-01-11T01:26:35.0Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1626208,22.421156373193167,31.372549019607842,1610612754,32,30,2022-01-11T01:26:42Z,2460000,93.0,158.0,1,left,K. Sykes 18' pullup Jump Shot (4 PTS),[1626208],1610612754.0,IND,pullup,,,Sykes,K. Sykes,,,,,18.36,Made,4.0,,,,,,,,,,,,,,,,,,
251,PT04M28.00S,2022-01-11T01:27:02.7Z,2,REGULAR,3pt,Jump Shot,[],1626196,75.29566360052561,8.356311274509803,1610612738,32,30,2022-01-11T01:27:14Z,2470000,-208.0,180.0,1,right,MISS J. Richardson 27' 3PT,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,27.5,Missed,,,,,,,,,,,,,,,,,,,
252,PT04M26.00S,2022-01-11T01:27:04.7Z,2,REGULAR,rebound,defensive,[],1626167,,,1610612754,32,30,2022-01-11T01:27:14Z,2480000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,251.0,1.0,1.0,0.0,,,,,,,,,,,
253,PT04M18.00S,2022-01-11T01:27:15.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203935,,,1610612754,32,30,2022-01-11T01:27:26Z,2490000,,,0,,M. Smart personal FOUL (1 PF) (Turner 2 FT),"[203935, 1626167]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,202058.0,1.0,0.0,,,,,Turner,1626167.0,,,,,,,,,
255,PT04M18.00S,2022-01-11T01:27:35.1Z,2,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,32,31,2022-01-11T01:27:35Z,2510000,,,0,,M. Turner Free Throw 1 of 2 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
256,PT04M18.00S,2022-01-11T01:27:36.0Z,2,REGULAR,substitution,out,[],201143,,,1610612754,32,31,2022-01-11T01:27:41Z,2520000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M18.00S,2022-01-11T01:27:36.0Z,2,REGULAR,substitution,in,[],1628369,,,1610612754,32,31,2022-01-11T01:27:41Z,2530000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M18.00S,2022-01-11T01:27:55.2Z,2,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,32,32,2022-01-11T01:27:55Z,2540000,,,0,,M. Turner Free Throw 2 of 2 (4 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
259,PT04M06.00S,2022-01-11T01:28:09.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,85.15111695137976,39.87821691176471,1610612738,34,32,2022-01-11T01:28:31Z,2550000,-51.0,87.0,1,right,M. Smart 10' turnaround Jump Shot (5 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,10.07,Made,5.0,,,,,,,,,,,,,,,,,,
260,PT04M06.00S,2022-01-11T01:28:14.0Z,2,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612738,34,32,2022-01-11T01:28:24Z,2560000,,,0,,M. Turner shooting personal FOUL (1 PF) (Smart 1 FT),"[1626167, 203935]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,,,,202058.0,1.0,0.0,,,,,Smart,203935.0,,,,,,,,,
262,PT04M06.00S,2022-01-11T01:28:35.8Z,2,REGULAR,freethrow,1 of 1,[],203935,,,1610612738,35,32,2022-01-11T01:28:35Z,2580000,,,0,,M. Smart Free Throw 1 of 1 (6 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
263,PT03M49.00S,2022-01-11T01:28:54.2Z,2,REGULAR,2pt,Jump Shot,[],1626208,14.71747700394218,67.91513480392157,1610612754,35,32,2022-01-11T01:29:03Z,2590000,-90.0,86.0,1,left,MISS K. Sykes 12' driving floating Shot,[1626208],1610612754.0,IND,driving floating,,,Sykes,K. Sykes,,,,,12.41,Missed,,,,,,,,,,,,,,,,,,,
264,PT03M47.00S,2022-01-11T01:28:56.2Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,35,32,2022-01-11T01:29:03Z,2600000,,,0,,J. Tatum REBOUND (Off:0 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,263.0,5.0,5.0,0.0,,,,,,,,,,,
