actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
99,PT05M57.00S,2023-12-14T00:52:25.5Z,1,REGULAR,freethrow,1 of 1,[],203992,,,1610612737,19,16,2023-12-14T00:54:56Z,825000,False,,,0,,MISS B. Bogdanovic Free Throw 1 of 1,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
100,PT05M57.00S,2023-12-14T00:52:25.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,19,16,2023-12-14T00:54:56Z,827500,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,99.0,3.0,2.0,1.0,,,,,,,,,,,,
87,PT05M43.00S,2023-12-14T00:52:52.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,68.28186596583443,67.8921568627451,1610612761,22,16,2023-12-14T00:52:58Z,830000,False,89.0,246.0,1,right,P. Siakam 26' 3PT  (11 PTS) (O. Anunoby 3 AST),"[1627783, 1628384]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,26.15,Made,11.0,,,,,,,,,,,O. Anunoby,1628384.0,3.0,,,,
89,PT05M27.00S,2023-12-14T00:53:08.6Z,1,REGULAR,3pt,Jump Shot,[],1630168,5.601182654402102,95.09803921568627,1610612737,22,19,2023-12-14T00:53:13Z,850000,False,-225.0,0.0,1,left,O. Okongwu 3PT  (3 PTS) (D. Murray 1 AST),"[1630168, 1627749]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,22.55,Made,3.0,,,,,,,,,,,D. Murray,1627749.0,1.0,,,,
91,PT05M15.00S,2023-12-14T00:53:20.4Z,1,REGULAR,2pt,Jump Shot,[],1628384,82.07950065703022,24.754901960784316,1610612761,24,19,2023-12-14T00:53:27Z,870000,False,-126.0,116.0,1,right,O. Anunoby 17' pullup Jump Shot (4 PTS) (J. Poeltl 2 AST),"[1628384, 1627751]",1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,17.14,Made,4.0,,,,,,,,,,,J. Poeltl,1627751.0,2.0,,,,
92,PT04M57.00S,2023-12-14T00:53:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,6.521024967148489,43.627450980392155,1610612737,24,21,2023-12-14T02:13:44Z,880000,False,32.0,9.0,1,left,D. Murray driving finger roll Layup (7 PTS) (C. Capela 1 AST),"[1627749, 203991]",1610612737.0,ATL,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,3.31,Made,7.0,,,,,,,,,,,C. Capela,203991.0,1.0,,,,
93,PT04M47.00S,2023-12-14T00:53:51.6Z,1,REGULAR,foul,offensive,[],1628384,,,1610612761,24,21,2023-12-14T00:54:00Z,890000,False,,,0,,O. Anunoby charge offensive FOUL (1 PF),"[1628384, 203991]",1610612761.0,TOR,charge,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1204.0,,,,,,,,,,,,,1.0,0.0,Capela,203991.0
95,PT04M47.00S,2023-12-14T00:53:51.6Z,1,REGULAR,turnover,offensive foul,[],1628384,,,1610612761,24,21,2023-12-14T00:53:51Z,910000,False,,,0,,O. Anunoby offensive foul TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1204.0,,,,,1.0,,,,,,,,,,,
96,PT04M34.00S,2023-12-14T00:54:15.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203991,6.258212877792378,49.50980392156863,1610612737,24,23,2023-12-14T00:54:26Z,920000,False,2.0,6.0,1,left,C. Capela cutting DUNK (5 PTS) (B. Bogdanovic 1 AST),"[203991, 203992]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.68,Made,5.0,,,,,,,,,,,B. Bogdanovic,203992.0,1.0,,,,
98,PT04M34.00S,2023-12-14T00:54:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,24,23,2023-12-14T00:54:22Z,940000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M34.00S,2023-12-14T00:54:50.7Z,1,REGULAR,substitution,out,[],1627751,,,1610612761,24,23,2023-12-14T00:56:58Z,950000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M34.00S,2023-12-14T00:54:50.7Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,24,23,2023-12-14T00:56:58Z,960000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M14.00S,2023-12-14T00:57:32.5Z,1,REGULAR,2pt,Jump Shot,[],1630173,75.24638633377135,49.754901960784316,1610612761,26,23,2023-12-14T02:14:13Z,970000,False,-1.0,180.0,1,right,P. Achiuwa 18' pullup Jump Shot (2 PTS) (G. Trent Jr. 1 AST),"[1630173, 1629018]",1610612761.0,TOR,pullup,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Center,18.02,Made,2.0,,,,,,,,,,,G. Trent Jr.,1629018.0,1.0,,,,
106,PT04M02.00S,2023-12-14T00:57:44.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,14.931011826544022,71.32352941176471,1610612737,26,23,2023-12-14T00:57:50Z,990000,False,-107.0,88.0,1,left,MISS D. Murray 13' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,13.82,Missed,,,,,,,,,,,,,,,,,,
107,PT04M00.00S,2023-12-14T00:57:46.7Z,1,REGULAR,rebound,defensive,[],203471,,,1610612761,26,23,2023-12-14T00:58:18Z,1000000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Left,,,,,106.0,1.0,1.0,0.0,,,,,,,,,,,,
108,PT03M51.00S,2023-12-14T00:57:54.9Z,1,REGULAR,3pt,Jump Shot,[],1628384,74.72076215505913,11.76470588235294,1610612761,26,23,2023-12-14T00:58:01Z,1010000,False,-191.0,185.0,1,right,MISS O. Anunoby 26' 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,26.61,Missed,,,,,,,,,,,,,,,,,,
109,PT03M48.00S,2023-12-14T00:57:57.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,26,23,2023-12-14T00:58:48Z,1020000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,,,108.0,3.0,2.0,1.0,,,,,,,,,,,,
110,PT03M43.00S,2023-12-14T00:58:06.4Z,1,REGULAR,foul,personal,[],1628384,,,1610612737,26,23,2023-12-14T00:58:19Z,1030000,False,,,0,,O. Anunoby personal FOUL (2 PF),"[1628384, 1630168]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1162.0,,,,,,,,,,,,,2.0,0.0,Okongwu,1630168.0
112,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,out,[],1628384,,,1610612737,26,23,2023-12-14T00:58:29Z,1050000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,out,[],203471,,,1610612737,26,23,2023-12-14T00:58:29Z,1060000,False,,,0,,SUB out: D. Schroder,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,out,[],1627749,,,1610612737,26,23,2023-12-14T00:58:29Z,1070000,False,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,out,[],203991,,,1610612737,26,23,2023-12-14T00:58:29Z,1080000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,in,[],1630201,,,1610612737,26,23,2023-12-14T00:58:29Z,1090000,False,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,in,[],1628449,,,1610612737,26,23,2023-12-14T00:58:29Z,1100000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,in,[],1629027,,,1610612737,26,23,2023-12-14T00:58:29Z,1110000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M43.00S,2023-12-14T00:58:14.1Z,1,REGULAR,substitution,in,[],1630180,,,1610612737,26,23,2023-12-14T00:58:29Z,1120000,False,,,0,,SUB in: S. Bey,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M35.00S,2023-12-14T00:58:51.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203992,14.536793692509855,50.73529411764706,1610612737,26,25,2023-12-14T00:58:56Z,1130000,False,-4.0,84.0,1,left,B. Bogdanovic 8' driving floating Jump Shot (7 PTS) (T. Young 6 AST),"[203992, 1629027]",1610612737.0,ATL,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,8.42,Made,7.0,,,,,,,,,,,T. Young,1629027.0,6.0,,,,
122,PT03M10.00S,2023-12-14T00:59:15.6Z,1,REGULAR,3pt,Jump Shot,[],1627783,92.59198423127464,3.431372549019608,1610612761,29,25,2023-12-14T00:59:19Z,1150000,False,-233.0,17.0,1,right,P. Siakam 3PT  (14 PTS) (M. Flynn 1 AST),"[1627783, 1630201]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.34,Made,14.0,,,,,,,,,,,M. Flynn,1630201.0,1.0,,,,
124,PT03M02.00S,2023-12-14T00:59:24.0Z,1,REGULAR,3pt,Jump Shot,[],1629726,29.6484888304862,13.480392156862745,1610612737,29,28,2023-12-14T00:59:28Z,1170000,False,183.0,226.0,1,left,G. Mathews 29' 3PT  (3 PTS) (T. Young 7 AST),"[1629726, 1629027]",1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,29.07,Made,3.0,,,,,,,,,,,T. Young,1629027.0,7.0,,,,
127,PT02M52.00S,2023-12-14T00:59:51.3Z,1,REGULAR,substitution,out,[],1627783,,,1610612761,29,28,2023-12-14T01:00:01Z,1200000,False,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M52.00S,2023-12-14T00:59:51.3Z,1,REGULAR,substitution,in,[],1630567,,,1610612761,29,28,2023-12-14T01:00:01Z,1210000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M45.00S,2023-12-14T01:00:17.3Z,1,REGULAR,2pt,Jump Shot,[],1629018,75.24638633377135,48.529411764705884,1610612761,29,28,2023-12-14T01:00:21Z,1220000,False,-7.0,180.0,1,right,MISS G. Trent Jr. 18' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Center,18.04,Missed,,,,,,,,,,,,,,,,,,
131,PT02M41.00S,2023-12-14T01:00:21.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,29,28,2023-12-14T01:00:21Z,1230000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Center,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,,,
132,PT02M30.00S,2023-12-14T01:00:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,5.206964520367937,45.83333333333333,1610612737,29,28,2023-12-14T01:00:35Z,1240000,False,21.0,-4.0,1,left,MISS O. Okongwu cutting Layup - blocked,"[1630168, 1630173]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,Achiuwa,1630173.0,,,,,,,
133,PT02M30.00S,2023-12-14T01:00:31.7Z,1,REGULAR,block,,[],1630173,,,1610612737,29,28,2023-12-14T01:00:33Z,1250000,False,,,0,,P. Achiuwa BLOCK (1 BLK),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
134,PT02M28.00S,2023-12-14T01:00:33.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,29,28,2023-12-14T01:00:35Z,1260000,False,,,0,,S. Barnes REBOUND (Off:1 Def:4),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,132.0,5.0,4.0,1.0,,,,,,,,,,,,
135,PT02M20.00S,2023-12-14T01:00:42.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,94.82588699080158,4.6568627450980395,1610612761,29,28,2023-12-14T01:00:49Z,1270000,False,-227.0,-4.0,1,right,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
136,PT02M18.00S,2023-12-14T01:00:44.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,29,28,2023-12-14T01:00:49Z,1280000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Left Corner 3,24+ Left,,,,,135.0,,,,,,,,,,,,,,,
138,PT02M06.00S,2023-12-14T01:01:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.469776609724048,47.30392156862745,1610612737,29,30,2023-12-14T01:01:15Z,1300000,False,13.0,-1.0,1,left,T. Young driving finger roll Layup (2 PTS),[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,,,,,,,,
139,PT01M54.00S,2023-12-14T01:01:22.0Z,1,REGULAR,turnover,bad pass,[],1630201,,,1610612761,29,30,2023-12-14T01:01:25Z,1310000,False,,,0,,M. Flynn bad pass TURNOVER (1 TO),"[1630201, 1629726]",1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Mathews,1629726.0,,,,,,,,,
140,PT01M54.00S,2023-12-14T01:01:22.0Z,1,REGULAR,steal,,[],1629726,,,1610612737,29,30,2023-12-14T01:01:24Z,1320000,False,,,0,,G. Mathews STEAL (1 STL),[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
141,PT01M49.00S,2023-12-14T01:01:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630180,6.521024967148489,44.36274509803921,1610612737,29,32,2023-12-14T01:01:36Z,1330000,False,28.0,9.0,1,left,S. Bey running Layup (2 PTS),[1630180],1610612737.0,ATL,running,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,2.95,Made,2.0,,,,,,,,,,,,,,,,,
142,PT01M48.00S,2023-12-14T01:01:33.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612761,29,32,2023-12-14T01:01:33Z,1340000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M32.00S,2023-12-14T01:03:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630201,66.83639947437582,61.029411764705884,1610612761,29,32,2023-12-14T01:03:32Z,1350000,False,55.0,259.0,1,right,MISS M. Flynn 26' 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Center,26.5,Missed,,,,,,,,,,,,,,,,,,
144,PT01M27.00S,2023-12-14T01:03:31.7Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,29,32,2023-12-14T01:03:32Z,1360000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,
145,PT01M15.00S,2023-12-14T01:03:42.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,5.469776609724048,95.34313725490196,1610612737,29,32,2023-12-14T01:03:46Z,1370000,False,-227.0,-1.0,1,left,MISS S. Bey 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,22.67,Missed,,,,,,,,,,,,,,,,,,
146,PT01M13.00S,2023-12-14T01:03:44.9Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,29,32,2023-12-14T01:03:46Z,1380000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Left Corner 3,24+ Left,,,,,145.0,2.0,1.0,1.0,,,,,,,,,,,,
147,PT01M11.00S,2023-12-14T01:03:47.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630180,6.521024967148489,50.73529411764706,1610612737,29,32,2023-12-14T01:03:52Z,1390000,False,-4.0,9.0,1,left,MISS S. Bey cutting DUNK,[1630180],1610612737.0,ATL,cutting,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
148,PT01M08.00S,2023-12-14T01:03:50.1Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,29,32,2023-12-14T01:03:52Z,1400000,False,,,0,,S. Barnes REBOUND (Off:1 Def:5),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,147.0,6.0,5.0,1.0,,,,,,,,,,,,
149,PT01M05.00S,2023-12-14T01:03:53.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630567,93.11760840998686,53.67647058823529,1610612761,31,32,2023-12-14T01:03:58Z,1410000,False,18.0,12.0,1,right,S. Barnes running Layup (6 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.21,Made,6.0,,,,,,,,,,,,,,,,,
150,PT00M50.10S,2023-12-14T01:04:08.4Z,1,REGULAR,3pt,Jump Shot,[],1629027,33.459264126149804,64.70588235294117,1610612737,31,35,2023-12-14T01:04:13Z,1420000,False,-74.0,262.0,1,left,T. Young 27' 3PT pullup (5 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,27.21,Made,5.0,,,,,,,,,,,,,,,,,
151,PT00M39.20S,2023-12-14T01:04:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,86.81011826544021,50.98039215686274,1610612761,31,35,2023-12-14T01:04:32Z,1430000,False,5.0,71.0,1,right,MISS G. Trent Jr. 7' driving floating bank Shot,[1629018],1610612761.0,TOR,driving floating bank,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.17,Missed,,,,,,,,,,,,,,,,,,
152,PT00M37.40S,2023-12-14T01:04:25.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,31,35,2023-12-14T01:04:32Z,1440000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,151.0,3.0,2.0,1.0,,,,,,,,,,,,
154,PT00M31.90S,2023-12-14T01:04:49.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.389618922470433,49.26470588235294,1610612737,31,37,2023-12-14T01:04:54Z,1460000,False,4.0,8.0,1,left,T. Young driving finger roll Layup (7 PTS) (O. Okongwu 1 AST),"[1629027, 1630168]",1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.85,Made,7.0,,,,,,,,,,,O. Okongwu,1630168.0,1.0,,,,
156,PT00M23.20S,2023-12-14T01:05:03.0Z,1,REGULAR,turnover,out-of-bounds,[],1630173,,,1610612761,31,37,2023-12-14T01:05:09Z,1480000,False,,,0,,P. Achiuwa bad pass out-of-bounds TURNOVER (1 TO),[1630173],1610612761.0,TOR,bad pass,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Left Center,,,,1204.0,,,,,1.0,,,,,,,,,,,
157,PT00M07.00S,2023-12-14T01:05:29.9Z,1,REGULAR,foul,personal,[],1630201,,,1610612737,31,37,2023-12-14T01:05:37Z,1490000,False,,,0,,M. Flynn personal FOUL (1 PF),"[1630201, 1629027]",1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Right Center,,,,202026.0,,,,,,,,,,,,,1.0,0.0,Young,1629027.0
159,PT00M01.30S,2023-12-14T01:05:53.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630168,5.995400788436268,46.07843137254902,1610612737,31,37,2023-12-14T01:06:07Z,1510000,False,20.0,4.0,1,left,MISS O. Okongwu driving DUNK - blocked,"[1630168, 1628449]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.0,Missed,,,,,,,,,,Boucher,1628449.0,,,,,,,
160,PT00M01.30S,2023-12-14T01:05:53.4Z,1,REGULAR,block,,[],1628449,,,1610612737,31,37,2023-12-14T01:05:55Z,1520000,False,,,0,,C. Boucher BLOCK (1 BLK),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
161,PT00M01.30S,2023-12-14T01:05:53.4Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612737,31,37,2023-12-14T01:06:07Z,1530000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,159.0,1.0,0.0,1.0,,,,,,,,,,,,
162,PT00M00.00S,2023-12-14T01:05:58.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629027,9.149145860709593,74.01960784313727,1610612737,31,39,2023-12-14T03:08:13Z,1540000,False,-120.0,34.0,1,left,T. Young 12' fadeaway bank Jump Shot (9 PTS) (S. Bey 1 AST),"[1629027, 1630180]",1610612737.0,ATL,fadeaway bank,,,Young,T. Young,,,,,Mid-Range,8-16 Left,12.47,Made,9.0,,,,,,,,,,,S. Bey,1630180.0,1.0,,,,
165,PT00M00.00S,2023-12-14T01:06:29.6Z,1,REGULAR,period,end,[],0,,,1610612761,31,39,2023-12-14T01:06:29Z,1570000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2023-12-14T01:07:15.9Z,2,REGULAR,substitution,out,['startperiod'],1629018,,,1610612761,31,39,2023-12-14T01:08:32Z,1580000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2023-12-14T01:07:15.9Z,2,REGULAR,substitution,in,['startperiod'],1628384,,,1610612761,31,39,2023-12-14T01:08:32Z,1590000,False,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2023-12-14T01:08:39.1Z,2,REGULAR,period,start,[],0,,,1610612737,31,39,2023-12-14T01:08:39Z,1600000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT11M41.00S,2023-12-14T01:08:56.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,6.783837056504599,57.84313725490197,1610612737,31,41,2023-12-14T01:09:01Z,1610000,False,-39.0,11.0,1,left,T. Young driving finger roll Layup (11 PTS),[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,4.08,Made,11.0,,,,,,,,,,,,,,,,,
170,PT11M17.00S,2023-12-14T01:09:20.5Z,2,REGULAR,3pt,Jump Shot,[],1630201,75.3777923784494,12.5,1610612761,31,41,2023-12-14T01:09:25Z,1620000,False,-188.0,179.0,1,right,MISS M. Flynn 25' 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
171,PT11M14.00S,2023-12-14T01:09:23.5Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,31,41,2023-12-14T01:09:25Z,1630000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,170.0,4.0,3.0,1.0,,,,,,,,,,,,
172,PT11M05.00S,2023-12-14T01:09:33.2Z,2,REGULAR,turnover,bad pass,[],1629027,,,1610612737,31,41,2023-12-14T01:09:36Z,1640000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630173]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,Achiuwa,1630173.0,,,,,,,,,
173,PT11M05.00S,2023-12-14T01:09:33.2Z,2,REGULAR,steal,,[],1630173,,,1610612761,31,41,2023-12-14T01:09:34Z,1650000,False,,,0,,P. Achiuwa STEAL (1 STL),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
