actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
43,PT08M27.00S,2024-02-29T00:45:36.9Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,12,10,2024-02-29T00:45:40Z,430000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 202681]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,1.0,,,,,,,,,,,,,,,,,Irving,202681.0
44,PT08M27.00S,2024-02-29T00:45:36.9Z,1,REGULAR,steal,,[],202681,,,1610612742,12,10,2024-02-29T00:45:38Z,440000,False,,,0,,K. Irving STEAL (1 STL),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
45,PT08M21.00S,2024-02-29T00:45:42.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",202681,23.603810775295663,33.33333333333333,1610612742,12,12,2024-02-29T00:45:57Z,450000,False,83.0,169.0,1,left,K. Irving 18' running pullup Jump Shot (4 PTS),[202681],1610612742.0,DAL,running pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right Center,,,18.88,Made,4.0,,,,,,,,,,,,,,,
46,PT08M07.00S,2024-02-29T00:45:57.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,93.64323258869908,45.34313725490196,1610612761,14,12,2024-02-29T00:46:01Z,460000,False,-23.0,7.0,1,right,I. Quickley reverse Layup (2 PTS) (J. Poeltl 2 AST),"[1630193, 1627751]",1610612761.0,TOR,reverse,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,2.44,Made,2.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,
48,PT07M50.00S,2024-02-29T00:46:14.3Z,1,REGULAR,turnover,bad pass,[],1630182,,,1610612742,14,12,2024-02-29T00:46:18Z,480000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630182, 1629018]",1610612742.0,DAL,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,,,,,,,Trent Jr.,1629018.0
49,PT07M50.00S,2024-02-29T00:46:14.3Z,1,REGULAR,steal,,[],1629018,,,1610612761,14,12,2024-02-29T00:46:16Z,490000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M44.00S,2024-02-29T00:46:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,93.77463863337714,47.05882352941176,1610612761,14,12,2024-02-29T00:46:26Z,500000,False,-15.0,6.0,1,right,MISS R. Barrett running Layup - blocked,"[1629628, 1629023]",1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,1.59,Missed,,,,,,,,,Washington,1629023.0,,,,,,
51,PT07M44.00S,2024-02-29T00:46:20.7Z,1,REGULAR,block,,[],1629023,,,1610612761,14,12,2024-02-29T00:46:22Z,510000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M41.00S,2024-02-29T00:46:23.7Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612742,14,12,2024-02-29T00:46:26Z,520000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,
53,PT07M30.00S,2024-02-29T00:46:35.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612742,14,12,2024-02-29T00:46:52Z,530000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Doncic 2 FT),"[1627751, 1629029]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Right Center,202901.0,,,,,,,,,,,,,,1.0,0.0,Doncic,1629029.0,,
