actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
85,PT05M22.00S,2025-03-30T00:23:05.3Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,14,22,2025-03-30T00:23:05Z,850000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,,,2.0,1.0,1.0,,,,,,,,,,,,
86,PT05M06.00S,2025-03-30T00:23:21.2Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612738,14,22,2025-03-30T00:23:29Z,860000,False,,,0,,K. Porziņģis bad pass TURNOVER (1 TO),"[204001, 1631110]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Sochan,1631110.0,,,,
87,PT05M06.00S,2025-03-30T00:23:21.2Z,1,REGULAR,steal,,[],1631110,,,1610612759,14,22,2025-03-30T00:23:22Z,870000,False,,,0,,J. Sochan STEAL (2 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
88,PT05M02.00S,2025-03-30T00:23:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629640,93.77463863337714,46.32352941176471,1610612759,16,22,2025-03-30T00:23:36Z,880000,False,-18.0,6.0,1,right,K. Johnson running reverse Layup (2 PTS) (C. Paul 2 AST),"[1629640, 101108]",1610612759.0,SAS,running reverse,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,1.94,Made,,,,,,,,2.0,C. Paul,101108.0,2.0,,,,,,,
90,PT04M49.00S,2025-03-30T00:23:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,7.046649145860711,48.77450980392157,1610612738,16,24,2025-03-30T00:29:54Z,900000,False,6.0,14.0,1,left,K. Porziņģis cutting finger roll Layup (7 PTS) (J. Tatum 3 AST),"[204001, 1628369]",1610612738.0,BOS,cutting finger roll,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,1.5,Made,,,,,,,,7.0,J. Tatum,1628369.0,3.0,,,,,,,
92,PT04M35.00S,2025-03-30T00:23:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,94.1688567674113,45.09803921568628,1610612759,16,24,2025-03-30T00:23:56Z,920000,False,-25.0,2.0,1,right,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,2.46,Missed,,,,,,,,,,,,,,,,,,
93,PT04M33.00S,2025-03-30T00:23:54.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,16,24,2025-03-30T00:23:56Z,930000,False,,,0,,J. Tatum REBOUND (Off:0 Def:4),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,92.0,,,4.0,4.0,0.0,,,,,,,,,,,,
94,PT04M30.00S,2025-03-30T00:23:57.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,3.235873850197109,4.6568627450980395,1610612738,16,27,2025-03-30T00:24:07Z,940000,False,227.0,-22.0,1,left,J. Holiday 3PT running (8 PTS) (D. White 2 AST),"[201950, 1628401]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.78,Made,,,,,,,,8.0,D. White,1628401.0,2.0,,,,,,,
96,PT04M15.00S,2025-03-30T00:24:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,83.52496714848883,57.84313725490197,1610612759,16,27,2025-03-30T00:32:08Z,960000,False,39.0,102.0,1,right,MISS D. Vassell 10' step back Shot,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,10.96,Missed,,,,,,,,,,,,,,,,,,
97,PT04M13.00S,2025-03-30T00:24:14.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,16,27,2025-03-30T00:24:17Z,970000,False,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,96.0,,,3.0,3.0,0.0,,,,,,,,,,,,
98,PT04M07.00S,2025-03-30T00:24:20.5Z,1,REGULAR,3pt,Jump Shot,[],201950,13.354139290407357,3.9215686274509802,1610612738,16,27,2025-03-30T00:24:26Z,980000,False,230.0,73.0,1,left,MISS J. Holiday 24' step back 3PT,[201950],1610612738.0,BOS,step back,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,24.17,Missed,,,,,,,,,,,,,,,,,,
99,PT04M03.00S,2025-03-30T00:24:24.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,16,27,2025-03-30T00:24:26Z,990000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,98.0,,,1.0,1.0,0.0,,,,,,,,,,,,
100,PT03M55.00S,2025-03-30T00:24:33.4Z,1,REGULAR,3pt,Jump Shot,[],203084,74.58935611038108,84.06862745098039,1610612759,19,27,2025-03-30T00:24:36Z,1000000,False,170.0,186.0,1,right,H. Barnes 25' 3PT  (5 PTS) (C. Paul 3 AST),"[203084, 101108]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,,,,5.0,C. Paul,101108.0,3.0,,,,,,,
102,PT03M54.00S,2025-03-30T00:24:37.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,19,27,2025-03-30T00:24:37Z,1020000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],101108,,,1610612738,19,27,2025-03-30T00:27:23Z,1030000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],1631110,,,1610612738,19,27,2025-03-30T00:27:23Z,1040000,False,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],203084,,,1610612738,19,27,2025-03-30T00:27:23Z,1050000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,19,27,2025-03-30T00:27:23Z,1060000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],204001,,,1610612738,19,27,2025-03-30T00:27:23Z,1070000,False,,,0,,SUB out: K. Porziņģis,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,19,27,2025-03-30T00:27:23Z,1080000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1631104,,,1610612738,19,27,2025-03-30T00:27:23Z,1090000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1630577,,,1610612738,19,27,2025-03-30T00:27:23Z,1100000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1630572,,,1610612738,19,27,2025-03-30T00:27:23Z,1110000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,19,27,2025-03-30T00:27:23Z,1120000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1631248,,,1610612738,19,27,2025-03-30T00:27:23Z,1130000,False,,,0,,SUB in: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M54.00S,2025-03-30T00:27:04.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,19,27,2025-03-30T00:27:23Z,1140000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M35.00S,2025-03-30T00:27:56.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.09395532194481,66.91176470588235,1610612738,19,27,2025-03-30T00:28:08Z,1150000,False,-85.0,240.0,1,left,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.43,Missed,,,,,,,,,,,,,,,,,,
116,PT03M33.00S,2025-03-30T00:27:58.4Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,19,27,2025-03-30T00:28:08Z,1160000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Above the Break 3,24+ Left Center,,,115.0,,,1.0,0.0,1.0,,,,,,,,,,,,
117,PT03M31.00S,2025-03-30T00:28:00.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,30.962549277266753,27.450980392156865,1610612738,19,30,2025-03-30T00:28:11Z,1170000,False,113.0,239.0,1,left,J. Holiday 26' 3PT  (11 PTS) (L. Kornet 1 AST),"[201950, 1628436]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,26.38,Made,,,,,,,,11.0,L. Kornet,1628436.0,1.0,,,,,,,
119,PT03M16.00S,2025-03-30T00:28:15.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,67.62483574244416,32.59803921568628,1610612759,22,30,2025-03-30T00:28:27Z,1190000,False,-87.0,252.0,1,right,K. Johnson 26' 3PT  (5 PTS) (J. Champagnie 1 AST),"[1629640, 1630577]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,26.64,Made,,,,,,,,5.0,J. Champagnie,1630577.0,1.0,,,,,,,
121,PT03M04.00S,2025-03-30T00:28:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630573,26.231931668856767,16.176470588235293,1610612738,22,30,2025-03-30T00:28:37Z,1210000,False,169.0,194.0,1,left,MISS S. Hauser 25' pullup 3PT,[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
122,PT03M02.00S,2025-03-30T00:28:29.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,22,30,2025-03-30T00:28:37Z,1220000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,121.0,,,1.0,1.0,0.0,,,,,,,,,,,,
123,PT02M54.00S,2025-03-30T00:28:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,93.24901445466492,45.34313725490196,1610612759,24,30,2025-03-30T00:33:43Z,1230000,False,-23.0,11.0,1,right,K. Johnson driving Layup (7 PTS),[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.58,Made,,,,,,,,7.0,,,,,,,,,,
124,PT02M38.00S,2025-03-30T00:28:53.1Z,1,REGULAR,3pt,Jump Shot,[],1631248,7.966491458607096,4.166666666666666,1610612738,24,33,2025-03-30T00:28:57Z,1240000,False,229.0,22.0,1,left,B. Scheierman 3PT  (3 PTS) (L. Kornet 2 AST),"[1631248, 1628436]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Right Corner 3,24+ Right,23.03,Made,,,,,,,,3.0,L. Kornet,1628436.0,2.0,,,,,,,
126,PT02M22.00S,2025-03-30T00:29:10.4Z,1,REGULAR,3pt,Jump Shot,[],1630577,94.1688567674113,94.36274509803921,1610612759,24,33,2025-03-30T00:29:13Z,1260000,False,222.0,2.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,22.18,Missed,,,,,,,,,,,,,,,,,,
127,PT02M19.00S,2025-03-30T00:29:13.4Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,24,33,2025-03-30T00:29:13Z,1270000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,126.0,,,2.0,2.0,0.0,,,,,,,,,,,,
128,PT02M07.00S,2025-03-30T00:29:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,13.61695137976347,49.50980392156863,1610612738,24,33,2025-03-30T00:34:55Z,1280000,False,2.0,75.0,1,left,MISS J. Tatum 7' fadeaway Shot,[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,7.55,Missed,,,,,,,,,,,,,,,,,,
129,PT02M05.00S,2025-03-30T00:29:25.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,24,33,2025-03-30T00:34:55Z,1290000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,128.0,,,2.0,2.0,0.0,,,,,,,,,,,,
130,PT01M53.00S,2025-03-30T00:29:38.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,95.0886990801577,3.431372549019608,1610612759,24,33,2025-03-30T00:29:58Z,1300000,False,-233.0,-6.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
131,PT01M51.00S,2025-03-30T00:29:40.9Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,24,33,2025-03-30T00:29:58Z,1310000,False,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Left Corner 3,24+ Left,,,130.0,,,2.0,1.0,1.0,,,,,,,,,,,,
132,PT01M35.00S,2025-03-30T00:29:56.5Z,1,REGULAR,2pt,Jump Shot,[],201950,14.536793692509855,65.93137254901961,1610612738,24,33,2025-03-30T00:30:00Z,1320000,False,-80.0,84.0,1,left,MISS J. Holiday 11' turnaround Shot,[201950],1610612738.0,BOS,turnaround,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Left,11.59,Missed,,,,,,,,,,,,,,,,,,
133,PT01M35.00S,2025-03-30T00:29:56.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,24,33,2025-03-30T00:30:00Z,1330000,False,,,0,,D. Vassell REBOUND (Off:0 Def:3),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,,,132.0,,,3.0,3.0,0.0,,,,,,,,,,,,
134,PT01M24.00S,2025-03-30T00:30:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,70.77858081471747,76.7156862745098,1610612759,27,33,2025-03-30T00:30:11Z,1340000,False,134.0,222.0,1,right,D. Vassell 25' 3PT pullup (8 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.93,Made,,,,,,,,8.0,,,,,,,,,,
135,PT01M00.00S,2025-03-30T00:30:30.9Z,1,REGULAR,3pt,Jump Shot,[],1630573,30.436925098554536,74.75490196078431,1610612738,27,36,2025-03-30T00:30:36Z,1350000,False,-124.0,234.0,1,left,S. Hauser 26' 3PT  (3 PTS) (B. Scheierman 1 AST),"[1630573, 1631248]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,26.44,Made,,,,,,,,3.0,B. Scheierman,1631248.0,1.0,,,,,,,
137,PT00M35.60S,2025-03-30T00:30:59.5Z,1,REGULAR,2pt,Jump Shot,[],1630170,90.09526938239159,87.25490196078431,1610612759,27,36,2025-03-30T00:31:02Z,1370000,False,186.0,41.0,1,right,MISS D. Vassell 19' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right,19.07,Missed,,,,,,,,,,,,,,,,,,
138,PT00M33.60S,2025-03-30T00:31:01.5Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,27,36,2025-03-30T00:31:02Z,1380000,False,,,0,,J. Holiday REBOUND (Off:0 Def:3),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right,,,137.0,,,3.0,3.0,0.0,,,,,,,,,,,,
139,PT00M29.80S,2025-03-30T00:31:05.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,20.581471747700395,7.8431372549019605,1610612738,27,36,2025-03-30T00:31:39Z,1390000,False,211.0,141.0,1,left,MISS S. Hauser 25' running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,25.36,Missed,,,,,,,,,,,,,,,,,,
140,PT00M27.80S,2025-03-30T00:31:07.3Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,27,36,2025-03-30T00:31:07Z,1400000,False,,,0,,S. Hauser REBOUND (Off:1 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,139.0,,,1.0,0.0,1.0,,,,,,,,,,,,
141,PT00M17.60S,2025-03-30T00:31:17.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,31.61957950065703,39.21568627450981,1610612738,27,36,2025-03-30T00:37:38Z,1410000,False,54.0,245.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.06,Missed,,,,,,,,,,,,,,,,,,
142,PT00M15.70S,2025-03-30T00:31:19.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,36,2025-03-30T00:37:44Z,1420000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,141.0,,,,,,,,,,,,,,,,,
144,PT00M15.70S,2025-03-30T00:31:25.6Z,1,REGULAR,foul,personal,[],1630572,,,1610612738,27,36,2025-03-30T00:37:50Z,1440000,False,,,0,,S. Mamukelashvili loose ball personal FOUL (1 PF),"[1630572, 1628436]",1610612759.0,SAS,loose ball,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,,,,,,,,,2534.0,,,,,,,,1.0,0.0,Kornet,1628436.0
146,PT00M04.20S,2025-03-30T00:31:54.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631248,6.783837056504599,95.58823529411765,1610612738,27,36,2025-03-30T00:32:02Z,1460000,False,-228.0,11.0,1,left,MISS B. Scheierman 3PT - blocked,"[1631248, 1630572]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Left Corner 3,24+ Left,22.82,Missed,,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,
147,PT00M04.20S,2025-03-30T00:31:54.0Z,1,REGULAR,block,,[],1630572,,,1610612738,27,36,2025-03-30T00:31:57Z,1470000,False,,,0,,S. Mamukelashvili BLOCK (1 BLK),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
148,PT00M04.20S,2025-03-30T00:31:54.0Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,27,36,2025-03-30T00:32:02Z,1480000,False,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,146.0,,,2.0,2.0,0.0,,,,,,,,,,,,
149,PT00M00.00S,2025-03-30T00:32:03.8Z,1,REGULAR,period,end,[],0,,,1610612759,27,36,2025-03-30T00:32:03Z,1490000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,out,['startperiod'],1630170,,,1610612759,27,36,2025-03-30T00:34:51Z,1500000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612759,27,36,2025-03-30T00:34:51Z,1510000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,out,['startperiod'],201950,,,1610612759,27,36,2025-03-30T00:34:51Z,1520000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,in,['startperiod'],1642264,,,1610612759,27,36,2025-03-30T00:34:51Z,1530000,False,,,0,,SUB in: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,in,['startperiod'],204001,,,1610612759,27,36,2025-03-30T00:34:51Z,1540000,False,,,0,,SUB in: K. Porziņģis,[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-03-30T00:34:22.4Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612759,27,36,2025-03-30T00:34:51Z,1550000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2025-03-30T00:34:51.3Z,2,REGULAR,period,start,[],0,,,1610612759,27,36,2025-03-30T00:34:51Z,1560000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M40.00S,2025-03-30T00:35:10.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,86.81011826544021,49.01960784313725,1610612759,29,36,2025-03-30T00:38:51Z,1570000,False,-5.0,71.0,1,right,K. Johnson 7' driving floating Jump Shot (9 PTS) (S. Castle 3 AST),"[1629640, 1642264]",1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,,,,,,,,9.0,S. Castle,1642264.0,3.0,,,,,,,
159,PT11M22.00S,2025-03-30T00:35:27.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628436,6.258212877792378,50.98039215686274,1610612738,29,38,2025-03-30T00:35:32Z,1590000,False,-5.0,6.0,1,left,L. Kornet cutting DUNK (2 PTS) (K. Porziņģis 1 AST),"[1628436, 204001]",1610612738.0,BOS,cutting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,,,,2.0,K. Porziņģis,204001.0,1.0,,,,,,,
161,PT11M08.00S,2025-03-30T00:35:42.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,93.51182654402102,46.81372549019608,1610612759,29,38,2025-03-30T00:39:54Z,1610000,False,-16.0,8.0,1,right,MISS S. Mamukelashvili cutting Layup - blocked,"[1630572, 204001]",1610612759.0,SAS,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,1.8,Missed,,Porziņģis,204001.0,,,,,,,,,,,,,,,
162,PT11M08.00S,2025-03-30T00:35:42.7Z,2,REGULAR,block,,[],204001,,,1610612759,29,38,2025-03-30T00:35:45Z,1620000,False,,,0,,K. Porziņģis BLOCK (2 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
163,PT11M04.00S,2025-03-30T00:35:46.7Z,2,REGULAR,rebound,defensive,[],1628436,,,1610612738,29,38,2025-03-30T00:35:53Z,1630000,False,,,0,,L. Kornet REBOUND (Off:1 Def:2),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,161.0,,,3.0,2.0,1.0,,,,,,,,,,,,
164,PT10M54.00S,2025-03-30T00:35:56.6Z,2,REGULAR,2pt,Jump Shot,[],1630573,21.369908015768726,53.431372549019606,1610612738,29,40,2025-03-30T00:40:25Z,1640000,False,-17.0,148.0,1,left,S. Hauser 14' pullup Jump Shot (5 PTS),[1630573],1610612738.0,BOS,pullup,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Center,14.94,Made,,,,,,,,5.0,,,,,,,,,,
165,PT10M53.00S,2025-03-30T00:36:03.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,29,40,2025-03-30T00:36:03Z,1650000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT10M35.00S,2025-03-30T00:39:13.1Z,2,REGULAR,2pt,Jump Shot,[],1631104,76.2976346911958,41.42156862745098,1610612759,29,40,2025-03-30T00:39:31Z,1660000,False,-43.0,170.0,1,right,MISS B. Wesley 17' pullup Shot,[1631104],1610612759.0,SAS,pullup,,,Wesley,B. Wesley,,,,,Mid-Range,16-24 Center,17.56,Missed,,,,,,,,,,,,,,,,,,
