actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
62,PT06M33.00S,2024-12-28T02:22:25.6Z,1,REGULAR,3pt,Jump Shot,[],1631128,32.276609724047304,37.254901960784316,1610612743,14,19,2024-12-28T02:22:33Z,620000,False,64.0,251.0,1,left,MISS C. Braun 25' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,25.89,Missed,,,,,,,,,,,,,,,,,,
63,PT06M29.00S,2024-12-28T02:22:29.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,14,19,2024-12-28T02:22:33Z,630000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,62.0,1.0,1.0,0.0,,,,,
64,PT06M25.00S,2024-12-28T02:22:33.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629636,84.44480946123521,70.58823529411765,1610612739,14,21,2024-12-28T02:24:13Z,640000,False,103.0,94.0,1,right,D. Garland 13' running pullup Jump Shot (4 PTS),[1629636],1610612739.0,CLE,running pullup,,,Garland,D. Garland,,,,,Mid-Range,8-16 Right,13.92,Made,4.0,,,,,,,,,,,,,,,,,
65,PT06M07.00S,2024-12-28T02:22:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,32.276609724047304,49.754901960784316,1610612743,17,21,2024-12-28T02:22:57Z,650000,False,1.0,251.0,1,left,M. Porter Jr. 25' 3PT  (7 PTS) (J. Murray 2 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.09,Made,7.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,,,
67,PT05M59.00S,2024-12-28T02:22:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629636,73.53810775295663,17.892156862745097,1610612739,17,21,2024-12-28T02:23:07Z,670000,False,-161.0,196.0,1,right,MISS D. Garland 25' pullup 3PT,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
68,PT05M57.00S,2024-12-28T02:23:01.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,17,21,2024-12-28T02:23:07Z,680000,False,,,0,,N. Jokić REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,67.0,2.0,1.0,1.0,,,,,
69,PT05M47.00S,2024-12-28T02:23:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,10.988830486202366,43.13725490196079,1610612743,17,21,2024-12-28T02:23:18Z,690000,False,34.0,51.0,1,left,MISS J. Murray 6' driving finger roll Layup,[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.13,Missed,,,,,,,,,,,,,,,,,,
70,PT05M44.00S,2024-12-28T02:23:15.6Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,17,21,2024-12-28T02:23:18Z,700000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,
71,PT05M38.00S,2024-12-28T02:23:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,92.19776609724047,50.73529411764706,1610612739,17,23,2024-12-28T02:23:25Z,710000,False,4.0,21.0,1,right,J. Allen Layup (4 PTS) (M. Strus 1 AST),"[1628386, 1629622]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.11,Made,4.0,M. Strus,1629622.0,1.0,,,,,,,,,,,,,,
73,PT05M29.00S,2024-12-28T02:23:29.6Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,17,23,2024-12-28T02:23:34Z,730000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1628386]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,Allen,1628386.0,,
74,PT05M29.00S,2024-12-28T02:23:29.6Z,1,REGULAR,steal,,[],1628386,,,1610612739,17,23,2024-12-28T02:23:31Z,740000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M25.00S,2024-12-28T02:23:33.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628386,93.51182654402102,49.754901960784316,1610612739,17,25,2024-12-28T02:23:44Z,750000,False,-1.0,8.0,1,right,J. Allen running DUNK (6 PTS) (D. Wade 2 AST),"[1628386, 1629731]",1610612739.0,CLE,running,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.86,Made,6.0,D. Wade,1629731.0,2.0,,,,,,,,,,,,,,
77,PT05M25.00S,2024-12-28T02:23:37.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,17,25,2024-12-28T02:23:37Z,770000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2024-12-28T02:25:54.7Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,17,25,2024-12-28T02:26:15Z,780000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M25.00S,2024-12-28T02:25:54.7Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,17,25,2024-12-28T02:26:15Z,790000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M25.00S,2024-12-28T02:25:54.7Z,1,REGULAR,substitution,in,[],1641816,,,1610612743,17,25,2024-12-28T02:26:15Z,800000,False,,,0,,SUB in: H. Tyson,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M25.00S,2024-12-28T02:25:54.7Z,1,REGULAR,substitution,in,[],1631124,,,1610612743,17,25,2024-12-28T02:26:15Z,810000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M13.00S,2024-12-28T02:26:35.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.488173455978973,49.26470588235294,1610612743,20,25,2024-12-28T02:26:43Z,820000,False,4.0,243.0,1,left,M. Porter Jr. 24' 3PT  (10 PTS) (R. Westbrook 2 AST),"[1629008, 201566]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,24.35,Made,10.0,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,
