actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
92,PT04M07.00S,2025-03-27T01:26:05.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203999,88.43626806833115,55.02450980392157,1610612743,31,16,2025-03-27T01:27:08Z,910000,False,25.0,56.0,1,right,N. Jokić 6' driving DUNK (12 PTS),[203999],1610612743.0,DEN,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.16,Made,12.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
93,PT03M51.00S,2025-03-27T01:26:20.1Z,1,REGULAR,3pt,Jump Shot,[],201572,33.72412943495401,62.36596200980392,1610612749,31,19,2025-03-27T01:27:44Z,920000,False,-62.0,265.0,1,left,B. Lopez 27' 3PT  (7 PTS) (K. Porter Jr. 4 AST),"[201572, 1629645]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,27.16,Made,7.0,Lopez,B. Lopez,K. Porter Jr.,1629645.0,4.0,,,,,,,,,,,,,,
95,PT03M38.00S,2025-03-27T01:26:35.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627750,91.19579500657031,44.829963235294116,1610612743,33,19,2025-03-27T01:28:08Z,940000,False,-26.0,30.0,1,right,J. Murray driving DUNK (2 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,driving,,,,,,Restricted Area,0-8 Center,3.99,Made,2.0,Murray,J. Murray,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
97,PT03M25.00S,2025-03-27T01:26:47.6Z,1,REGULAR,3pt,Jump Shot,[],1631260,6.307490144546648,96.30055147058823,1610612749,33,19,2025-03-27T01:28:27Z,960000,False,-232.0,7.0,1,left,MISS A. Green 3PT,[1631260],1610612749.0,MIL,,,,,,,Left Corner 3,24+ Left,23.16,Missed,,Green,A. Green,,,,,,,,,,,,,,,,,
98,PT03M23.00S,2025-03-27T01:26:49.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,33,19,2025-03-27T01:28:27Z,970000,False,,,0,,N. Jokić REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,,,,Left Corner 3,24+ Left,,,,Jokić,N. Jokić,,,,,,,,97.0,3.0,2.0,1.0,,,,,,
99,PT03M20.00S,2025-03-27T01:26:51.7Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,33,19,2025-03-27T01:28:41Z,980000,False,,,0,,N. Jokić bad pass TURNOVER (2 TO),"[203999, 1627752]",1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Jokić,N. Jokić,,,,,2.0,Prince,1627752.0,,,,,,,,,,
100,PT03M20.00S,2025-03-27T01:26:51.7Z,1,REGULAR,steal,,[],1627752,,,1610612749,33,19,2025-03-27T01:26:53Z,990000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,
101,PT03M06.00S,2025-03-27T01:27:07.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,29.61563731931669,19.362745098039213,1610612749,33,19,2025-03-27T01:29:03Z,1000000,False,153.0,226.0,1,left,MISS K. Porter Jr. 27' 3PT,[1629645],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,27.29,Missed,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
102,PT03M01.00S,2025-03-27T01:27:12.4Z,1,REGULAR,rebound,offensive,[],1631260,,,1610612749,33,19,2025-03-27T01:29:03Z,1010000,False,,,0,,A. Green REBOUND (Off:1 Def:0),[1631260],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Green,A. Green,,,,,,,,101.0,1.0,0.0,1.0,,,,,,
103,PT02M56.00S,2025-03-27T01:27:16.4Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612749,33,19,2025-03-27T01:29:19Z,1020000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[1631212, 1629645]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,,,Watson,P. Watson,,,,1628951.0,,,,,,,,1.0,0.0,Porter Jr.,1629645.0,,
105,PT02M56.00S,2025-03-27T01:27:28.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,33,19,2025-03-27T01:27:28Z,1040000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M56.00S,2025-03-27T01:29:43.8Z,1,REGULAR,substitution,out,[],1627750,,,1610612749,33,19,2025-03-27T01:30:01Z,1050000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,
107,PT02M56.00S,2025-03-27T01:29:43.8Z,1,REGULAR,substitution,out,[],1627752,,,1610612749,33,19,2025-03-27T01:30:01Z,1060000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,,,,,,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,
108,PT02M56.00S,2025-03-27T01:29:43.8Z,1,REGULAR,substitution,in,[],1629618,,,1610612749,33,19,2025-03-27T01:30:01Z,1070000,False,,,0,,SUB in: J. Pickett,[1629618],1610612743.0,DEN,,,,,,,,,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,
109,PT02M56.00S,2025-03-27T01:29:43.8Z,1,REGULAR,substitution,in,[],1628398,,,1610612749,33,19,2025-03-27T01:30:01Z,1080000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,,,,,,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
110,PT02M56.00S,2025-03-27T01:30:21.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1629645,,,1610612749,33,20,2025-03-27T01:30:21Z,1090000,False,,,0,,K. Porter Jr. Free Throw 1 of 2 (5 PTS),[1629645],1610612749.0,MIL,,,,,,,,,,Made,5.0,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
111,PT02M56.00S,2025-03-27T01:30:38.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1629645,,,1610612749,33,21,2025-03-27T01:30:38Z,1100000,False,,,0,,K. Porter Jr. Free Throw 2 of 2 (6 PTS),[1629645],1610612749.0,MIL,,,,,,,,,,Made,6.0,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
112,PT02M40.00S,2025-03-27T01:30:57.7Z,1,REGULAR,3pt,Jump Shot,[],201566,76.34691195795006,9.78094362745098,1610612743,33,21,2025-03-27T01:31:30Z,1110000,False,-201.0,170.0,1,right,MISS R. Westbrook 26' 3PT,[201566],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
113,PT02M38.00S,2025-03-27T01:30:59.7Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,33,21,2025-03-27T01:31:30Z,1120000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Porter Jr.,K. Porter Jr.,,,,,,,,112.0,2.0,2.0,0.0,,,,,,
114,PT02M15.00S,2025-03-27T01:31:22.8Z,1,REGULAR,2pt,Jump Shot,[],1626192,13.140604467805517,70.20909926470588,1610612749,33,23,2025-03-27T01:31:43Z,1130000,False,-101.0,71.0,1,left,P. Connaughton 12' driving floating Jump Shot (2 PTS) (A. Green 1 AST),"[1626192, 1631260]",1610612749.0,MIL,driving floating,,,,,,Mid-Range,8-16 Left,12.35,Made,2.0,Connaughton,P. Connaughton,A. Green,1631260.0,1.0,,,,,,,,,,,,,,
116,PT01M59.00S,2025-03-27T01:31:37.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,75.68988173455979,87.23192401960785,1610612743,36,23,2025-03-27T01:32:03Z,1150000,False,186.0,176.0,1,right,M. Porter Jr. 25' 3PT  (14 PTS) (R. Westbrook 2 AST),"[1629008, 201566]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.62,Made,14.0,Porter Jr.,M. Porter Jr.,R. Westbrook,201566.0,2.0,,,,,,,,,,,,,,
118,PT01M45.00S,2025-03-27T01:31:53.2Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612749,36,23,2025-03-27T01:32:36Z,1170000,False,,,0,,K. Porter Jr. bad pass TURNOVER (2 TO),"[1629645, 201566]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Porter Jr.,K. Porter Jr.,,,,,2.0,Westbrook,201566.0,,,,,,,,,,
119,PT01M45.00S,2025-03-27T01:31:53.2Z,1,REGULAR,steal,,[],201566,,,1610612743,36,23,2025-03-27T01:31:54Z,1180000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
120,PT01M42.00S,2025-03-27T01:31:55.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201566,88.30486202365309,56.02405024509804,1610612743,38,23,2025-03-27T01:32:45Z,1190000,False,30.0,57.0,1,right,R. Westbrook 6' running DUNK (2 PTS),[201566],1610612743.0,DEN,running,,,,,,In The Paint (Non-RA),0-8 Center,6.48,Made,2.0,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
121,PT01M28.00S,2025-03-27T01:32:08.7Z,1,REGULAR,2pt,Jump Shot,[],201572,23.65308804204993,53.36626838235294,1610612749,38,25,2025-03-27T01:32:58Z,1200000,False,-17.0,170.0,1,left,B. Lopez 17' floating Jump Shot (9 PTS) (K. Porter Jr. 5 AST),"[201572, 1629645]",1610612749.0,MIL,floating,,,,,,Mid-Range,16-24 Center,17.06,Made,9.0,Lopez,B. Lopez,K. Porter Jr.,1629645.0,5.0,,,,,,,,,,,,,,
123,PT01M08.00S,2025-03-27T01:32:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.50985545335085,46.15502450980392,1610612743,38,25,2025-03-27T01:33:27Z,1220000,False,-19.0,18.0,1,right,MISS N. Jokić cutting Layup,[203999],1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,2.62,Missed,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
124,PT01M06.00S,2025-03-27T01:32:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,38,25,2025-03-27T01:33:27Z,1230000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,123.0,,,,,,,,,
126,PT01M06.00S,2025-03-27T01:32:35.4Z,1,REGULAR,substitution,out,[],1629645,,,1610612743,38,25,2025-03-27T01:32:39Z,1250000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,,,,,,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
127,PT01M06.00S,2025-03-27T01:32:35.4Z,1,REGULAR,substitution,in,[],1631157,,,1610612743,38,25,2025-03-27T01:32:39Z,1260000,False,,,0,,SUB in: R. Rollins,[1631157],1610612749.0,MIL,,,,,,,,,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
128,PT01M04.00S,2025-03-27T01:32:51.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,88.43626806833115,45.3201593137255,1610612743,38,25,2025-03-27T01:34:09Z,1270000,False,-23.0,56.0,1,right,MISS N. Jokić 6' driving floating Shot,[203999],1610612743.0,DEN,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,6.09,Missed,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
129,PT01M02.00S,2025-03-27T01:32:53.1Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,38,25,2025-03-27T01:34:23Z,1280000,False,,,0,,N. Jokić REBOUND (Off:2 Def:2),[203999],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jokić,N. Jokić,,,,,,,,128.0,4.0,2.0,2.0,,,,,,
326,PT01M01.00S,2025-03-27T01:32:58.4Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,38,25,2025-03-27T02:06:04Z,1300000,False,,,0,,N. Jokić lost ball TURNOVER (3 TO),"[203999, 1631157]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Jokić,N. Jokić,,,,,3.0,Rollins,1631157.0,,,,,,,,,,
327,PT01M01.00S,2025-03-27T01:32:58.4Z,1,REGULAR,steal,,[],1631157,,,1610612749,38,25,2025-03-27T02:06:04Z,1310000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,,,,In The Paint (Non-RA),8-16 Left,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
133,PT00M48.20S,2025-03-27T01:33:05.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201572,11.541146517739818,57.57506127450981,1610612749,38,27,2025-03-27T02:06:04Z,1320000,False,-38.0,56.0,1,left,B. Lopez 6' cutting Layup (11 PTS) (A. Green 2 AST),"[201572, 1631260]",1610612749.0,MIL,cutting,,,,,,In The Paint (Non-RA),0-8 Center,6.76,Made,11.0,Lopez,B. Lopez,A. Green,1631260.0,2.0,,,,,,,,,,,,,,
135,PT00M34.10S,2025-03-27T01:33:22.9Z,1,REGULAR,3pt,Jump Shot,[],1629618,76.47831800262813,87.9672181372549,1610612743,38,27,2025-03-27T01:36:16Z,1340000,False,190.0,169.0,1,right,MISS J. Pickett 25' 3PT,[1629618],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,
136,PT00M31.20S,2025-03-27T01:33:25.8Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,38,27,2025-03-27T01:36:16Z,1350000,False,,,0,,A. Green REBOUND (Off:1 Def:1),[1631260],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,,,,Green,A. Green,,,,,,,,135.0,2.0,1.0,1.0,,,,,,
137,PT00M09.20S,2025-03-27T01:33:47.9Z,1,REGULAR,3pt,Jump Shot,[],1631157,21.265193823915894,94.09466911764706,1610612749,38,27,2025-03-27T01:37:01Z,1360000,False,-220.0,147.0,1,left,MISS R. Rollins 26' 3PT,[1631157],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
138,PT00M06.40S,2025-03-27T01:33:50.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,38,27,2025-03-27T01:37:01Z,1370000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:4),[1629008],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,137.0,4.0,4.0,0.0,,,,,,
139,PT00M01.60S,2025-03-27T01:33:56.7Z,1,REGULAR,3pt,Jump Shot,[],203999,56.15555190538765,28.163296568627445,1610612743,38,27,2025-03-27T01:37:21Z,1380000,False,-109.0,360.0,1,right,MISS N. Jokić 37' pullup 3PT - blocked,"[203999, 1626192]",1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Center,37.58,Missed,,Jokić,N. Jokić,,,,,,,,,,,,,,,,Connaughton,1626192.0
140,PT00M01.60S,2025-03-27T01:33:56.7Z,1,REGULAR,block,,[],1626192,,,1610612743,38,27,2025-03-27T01:33:59Z,1390000,False,,,0,,P. Connaughton BLOCK (1 BLK),[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,
141,PT00M00.20S,2025-03-27T01:33:58.1Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,38,27,2025-03-27T01:37:42Z,1400000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Connaughton,P. Connaughton,,,,,,,,139.0,1.0,1.0,0.0,,,,,,
142,PT00M00.00S,2025-03-27T01:34:09.0Z,1,REGULAR,period,end,[],0,,,1610612749,38,27,2025-03-27T01:34:09Z,1410000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,out,['startperiod'],1629008,,,1610612749,38,27,2025-03-27T01:36:24Z,1420000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,,,,,,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,out,['startperiod'],1631212,,,1610612749,38,27,2025-03-27T01:36:24Z,1430000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,out,['startperiod'],203999,,,1610612749,38,27,2025-03-27T01:36:24Z,1440000,False,,,0,,SUB out: N. Jokić,[203999],1610612743.0,DEN,,,,,,,,,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,out,['startperiod'],1629618,,,1610612749,38,27,2025-03-27T01:36:24Z,1450000,False,,,0,,SUB out: J. Pickett,[1629618],1610612743.0,DEN,,,,,,,,,,,,Pickett,J. Pickett,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,out,['startperiod'],201572,,,1610612749,38,27,2025-03-27T01:36:24Z,1460000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,,,,,,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,in,['startperiod'],203932,,,1610612749,38,27,2025-03-27T01:36:24Z,1470000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,in,['startperiod'],1627750,,,1610612749,38,27,2025-03-27T01:36:24Z,1480000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,,,,,,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,in,['startperiod'],1631128,,,1610612749,38,27,2025-03-27T01:36:24Z,1490000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,,,,,,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,in,['startperiod'],201599,,,1610612749,38,27,2025-03-27T01:36:24Z,1500000,False,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,,,,,,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-03-27T01:36:04.6Z,2,REGULAR,substitution,in,['startperiod'],1629018,,,1610612749,38,27,2025-03-27T01:36:24Z,1510000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,,,,,,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-03-27T01:36:47.4Z,2,REGULAR,period,start,[],0,,,1610612749,38,27,2025-03-27T01:36:47Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M48.00S,2025-03-27T01:37:01.6Z,2,REGULAR,foul,personal,['2freethrow'],203932,,,1610612749,38,27,2025-03-27T01:38:16Z,1530000,False,,,0,,A. Gordon shooting personal FOUL (3 PF) (Rollins 2 FT),"[203932, 1631157]",1610612743.0,DEN,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Gordon,A. Gordon,,,,2004.0,,,,,,,,3.0,0.0,Rollins,1631157.0,,
156,PT11M48.00S,2025-03-27T01:37:28.1Z,2,REGULAR,freethrow,1 of 2,[],1631157,,,1610612749,38,28,2025-03-27T01:38:00Z,1550000,False,,,0,,R. Rollins Free Throw 1 of 2 (1 PTS),[1631157],1610612749.0,MIL,,,,,,,,,,Made,1.0,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
157,PT11M48.00S,2025-03-27T01:37:29.6Z,2,REGULAR,substitution,out,[],203932,,,1610612749,38,28,2025-03-27T01:37:35Z,1560000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,
158,PT11M48.00S,2025-03-27T01:37:29.6Z,2,REGULAR,substitution,in,[],1631212,,,1610612749,38,28,2025-03-27T01:37:35Z,1570000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,
159,PT11M48.00S,2025-03-27T01:37:28.1Z,2,REGULAR,freethrow,2 of 2,[],1631157,,,1610612749,38,28,2025-03-27T01:37:55Z,1580000,False,,,0,,MISS R. Rollins Free Throw 2 of 2,[1631157],1610612749.0,MIL,,,,,,,,,,Missed,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,
160,PT11M47.00S,2025-03-27T01:37:29.1Z,2,REGULAR,rebound,defensive,[],1631212,,,1610612743,38,28,2025-03-27T01:38:27Z,1590000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,159.0,1.0,1.0,0.0,,,,,,
161,PT11M36.00S,2025-03-27T01:38:05.7Z,2,REGULAR,3pt,Jump Shot,[],1627750,72.24868593955321,15.418198529411768,1610612743,38,28,2025-03-27T01:38:41Z,1600000,False,-173.0,208.0,1,right,MISS J. Murray 27' 3PT,[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,27.08,Missed,,Murray,J. Murray,,,,,,,,,,,,,,,,,
162,PT11M34.00S,2025-03-27T01:38:07.7Z,2,REGULAR,rebound,defensive,[],1631157,,,1610612749,38,28,2025-03-27T01:38:41Z,1610000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Rollins,R. Rollins,,,,,,,,161.0,1.0,1.0,0.0,,,,,,
165,PT11M25.00S,2025-03-27T01:38:28.3Z,2,REGULAR,turnover,offensive goaltending,[],1628398,,,1610612749,38,28,2025-03-27T01:45:29Z,1640000,False,,,0,,K. Kuzma offensive goaltending TURNOVER (2 TO),[1628398],1610612749.0,MIL,,,,,,,Restricted Area,0-8 Center,,,,Kuzma,K. Kuzma,,,,2004.0,2.0,,,,,,,,,,,,
166,PT11M15.00S,2025-03-27T01:38:44.0Z,2,REGULAR,turnover,offensive goaltending,[],201599,,,1610612743,38,28,2025-03-27T01:39:36Z,1650000,False,,,0,,D. Jordan offensive goaltending TURNOVER (1 TO),[201599],1610612743.0,DEN,,,,,,,Restricted Area,0-8 Center,,,,Jordan,D. Jordan,,,,1628951.0,1.0,,,,,,,,,,,,
167,PT10M59.00S,2025-03-27T01:39:08.9Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629018,11.563731931668855,58.63204656862745,1610612749,38,30,2025-03-27T01:39:53Z,1660000,False,-43.0,56.0,1,left,G. Trent Jr. 7' driving floating Jump Shot (7 PTS) (R. Rollins 1 AST),"[1629018, 1631157]",1610612749.0,MIL,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.09,Made,7.0,Trent Jr.,G. Trent Jr.,R. Rollins,1631157.0,1.0,,,,,,,,,,,,,,
169,PT10M45.00S,2025-03-27T01:39:23.0Z,2,REGULAR,3pt,Jump Shot,[],201566,76.60972404730617,10.516237745098039,1610612743,38,30,2025-03-27T01:40:05Z,1680000,False,-197.0,167.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,25.88,Missed,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,
170,PT10M43.00S,2025-03-27T01:39:25.0Z,2,REGULAR,rebound,defensive,[],1631260,,,1610612749,38,30,2025-03-27T01:40:05Z,1690000,False,,,0,,A. Green REBOUND (Off:1 Def:2),[1631260],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,,,,Green,A. Green,,,,,,,,169.0,3.0,2.0,1.0,,,,,,
171,PT10M37.00S,2025-03-27T01:39:31.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631260,31.84954007884363,27.941176470588232,1610612749,38,30,2025-03-27T01:40:26Z,1700000,False,110.0,247.0,1,left,MISS A. Green 27' running pullup 3PT,[1631260],1610612749.0,MIL,running pullup,,,,,,Above the Break 3,24+ Right Center,27.04,Missed,,Green,A. Green,,,,,,,,,,,,,,,,,
172,PT10M34.00S,2025-03-27T01:39:34.5Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,38,30,2025-03-27T01:40:26Z,1710000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Jordan,D. Jordan,,,,,,,,171.0,1.0,1.0,0.0,,,,,,
173,PT10M28.00S,2025-03-27T01:39:39.9Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631212,88.96189224704337,50.61274509803921,1610612743,40,30,2025-03-27T01:40:45Z,1720000,False,3.0,51.0,1,right,P. Watson running Layup (2 PTS) (D. Jordan 1 AST),"[1631212, 201599]",1610612743.0,DEN,running,,,,,,In The Paint (Non-RA),0-8 Center,5.14,Made,2.0,Watson,P. Watson,D. Jordan,201599.0,1.0,,,,,,,,,,,,,,
175,PT10M12.00S,2025-03-27T01:39:56.1Z,2,REGULAR,3pt,Jump Shot,[],1631157,27.989487516425754,18.11427696078431,1610612749,40,33,2025-03-27T01:41:06Z,1740000,False,159.0,211.0,1,left,R. Rollins 26' 3PT step back (4 PTS) (K. Kuzma 2 AST),"[1631157, 1628398]",1610612749.0,MIL,step back,,,,,,Above the Break 3,24+ Right Center,26.41,Made,4.0,Rollins,R. Rollins,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,,
177,PT10M04.00S,2025-03-27T01:40:05.6Z,2,REGULAR,3pt,Jump Shot,[],1631128,94.34954007884363,4.388786764705884,1610612743,40,33,2025-03-27T01:41:19Z,1760000,False,-228.0,1.0,1,right,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,,,,Left Corner 3,24+ Left,22.81,Missed,,Braun,C. Braun,,,,,,,,,,,,,,,,,
