actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
90,PT06M31.00S,2025-02-07T02:26:25.0Z,1,REGULAR,substitution,in,[],1628371,,,1610612743,10,12,2025-02-07T02:26:53Z,900000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT06M21.00S,2025-02-07T02:27:02.7Z,1,REGULAR,turnover,bad pass,[],203932,,,1610612743,10,12,2025-02-07T02:27:06Z,910000,False,,,0,,A. Gordon bad pass TURNOVER (1 TO),"[203932, 1628976]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Carter Jr.,1628976.0
92,PT06M21.00S,2025-02-07T02:27:02.7Z,1,REGULAR,steal,,[],1628976,,,1610612753,10,12,2025-02-07T02:27:04Z,920000,False,,,0,,W. Carter Jr. STEAL (1 STL),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
93,PT06M16.00S,2025-02-07T02:27:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,8.754927726675426,40.19607843137255,1610612753,10,12,2025-02-07T02:29:26Z,930000,False,49.0,30.0,1,left,MISS F. Wagner running Layup - blocked,"[1630532, 203932]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,Gordon,203932.0,,,,,,,,,,,,,,,,
94,PT06M16.00S,2025-02-07T02:27:07.9Z,1,REGULAR,block,,[],203932,,,1610612753,10,12,2025-02-07T02:27:09Z,940000,False,,,0,,A. Gordon BLOCK (1 BLK),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
95,PT06M14.00S,2025-02-07T02:27:09.9Z,1,REGULAR,rebound,offensive,[],1641710,,,1610612753,10,12,2025-02-07T02:27:14Z,950000,False,,,0,,A. Black REBOUND (Off:1 Def:0),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,93.0,,,,,,,,,,1.0,0.0,1.0,,,
96,PT06M11.00S,2025-02-07T02:27:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203484,10.200394218134035,46.81372549019608,1610612753,10,12,2025-02-07T02:27:17Z,960000,False,16.0,43.0,1,left,MISS K. Caldwell-Pope Layup,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,4.62,Missed,,,,,,,,,,,,,,,,,,
97,PT06M10.00S,2025-02-07T02:27:14.3Z,1,REGULAR,rebound,offensive,[],203484,,,1610612753,10,12,2025-02-07T02:27:14Z,970000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:2),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,96.0,,,,,,,,,,3.0,2.0,1.0,,,
98,PT06M08.00S,2025-02-07T02:27:15.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203484,8.09789750328515,21.07843137254902,1610612753,10,12,2025-02-07T02:27:20Z,980000,False,145.0,24.0,1,left,MISS K. Caldwell-Pope 14' Jump Shot,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Right,14.65,Missed,,,,,,,,,,,,,,,,,,
99,PT06M08.00S,2025-02-07T02:27:15.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,12,2025-02-07T02:27:20Z,990000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Right,,,,,98.0,,,,,,,,,,2.0,2.0,0.0,,,
100,PT06M02.00S,2025-02-07T02:27:21.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629618,78.05519053876479,82.86611519607843,1610612743,10,12,2025-02-07T02:27:31Z,1000000,False,164.0,154.0,1,right,MISS J. Pickett 22' running Shot,[1629618],1610612743.0,DEN,running,,,Pickett,J. Pickett,,,,,Mid-Range,16-24 Right Center,22.51,Missed,,,,,,,,,,,,,,,,,,
101,PT06M01.00S,2025-02-07T02:27:22.5Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,10,12,2025-02-07T02:30:39Z,1010000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,100.0,,,,,,,,,,1.0,0.0,1.0,,,
102,PT05M58.00S,2025-02-07T02:27:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,86.81011826544021,58.82352941176471,1610612743,12,12,2025-02-07T02:27:38Z,1020000,False,44.0,71.0,1,right,N. Jokić 8' Layup (7 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,8.4,Made,,,,,,,,,7.0,M. Porter Jr.,1629008.0,1.0,,,,,,
105,PT05M33.00S,2025-02-07T02:27:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.652431011826544,44.11764705882353,1610612753,12,14,2025-02-07T02:27:56Z,1050000,False,29.0,10.0,1,left,W. Carter Jr. cutting Layup (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.11,Made,,,,,,,,,2.0,F. Wagner,1630532.0,1.0,,,,,,
107,PT05M17.00S,2025-02-07T02:28:06.4Z,1,REGULAR,2pt,Jump Shot,[],203932,80.76544021024968,29.411764705882355,1610612743,12,14,2025-02-07T02:28:11Z,1070000,False,-103.0,128.0,1,right,MISS A. Gordon 16' turnaround fadeaway Shot,[203932],1610612743.0,DEN,turnaround fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,16.45,Missed,,,,,,,,,,,,,,,,,,
108,PT05M15.00S,2025-02-07T02:28:08.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,14,2025-02-07T02:28:11Z,1080000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Left Center,,,,,107.0,,,,,,,,,,1.0,1.0,0.0,,,
109,PT05M04.00S,2025-02-07T02:28:19.3Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.14520367936925,35.78431372549019,1610612753,12,17,2025-02-07T02:28:24Z,1090000,False,71.0,250.0,1,left,W. Carter Jr. 25' 3PT  (5 PTS) (A. Black 1 AST),"[1628976, 1641710]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,25.96,Made,,,,,,,,,5.0,A. Black,1641710.0,1.0,,,,,,
111,PT04M50.00S,2025-02-07T02:28:33.4Z,1,REGULAR,3pt,Jump Shot,[],1629008,67.09921156373193,45.34313725490196,1610612743,12,17,2025-02-07T02:28:39Z,1110000,False,-23.0,257.0,1,right,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.79,Missed,,,,,,,,,,,,,,,,,,
112,PT04M48.00S,2025-02-07T02:28:35.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,12,17,2025-02-07T02:28:39Z,1120000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Center,,,,,111.0,,,,,,,,,,,,,,,
114,PT04M43.00S,2025-02-07T02:28:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630532,12.697109067017081,2.2058823529411766,1610612753,12,17,2025-02-07T02:32:18Z,1140000,False,239.0,67.0,1,left,MISS F. Wagner 24' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,24.82,Missed,,,,,,,,,,,,,,,,,,
115,PT04M40.00S,2025-02-07T02:28:46.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,12,17,2025-02-07T02:32:18Z,1150000,False,,,0,,N. Jokić REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Right Corner 3,24+ Right,,,,,114.0,,,,,,,,,,3.0,3.0,0.0,,,
116,PT04M31.00S,2025-02-07T02:28:57.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641710,,,1610612743,12,17,2025-02-07T02:29:08Z,1160000,False,,,0,,A. Black shooting personal FOUL (1 PF) (Gordon 2 FT),"[1641710, 203932]",1610612753.0,ORL,shooting,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1626300.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
118,PT04M31.00S,2025-02-07T02:29:19.1Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,13,17,2025-02-07T02:29:43Z,1180000,False,,,0,,A. Gordon Free Throw 1 of 2 (1 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
119,PT04M31.00S,2025-02-07T02:29:24.1Z,1,REGULAR,substitution,out,[],203484,,,1610612743,13,17,2025-02-07T02:29:34Z,1190000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT04M31.00S,2025-02-07T02:29:24.1Z,1,REGULAR,substitution,in,[],1641783,,,1610612743,13,17,2025-02-07T02:29:34Z,1200000,False,,,0,,SUB in: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M31.00S,2025-02-07T02:29:19.1Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,13,17,2025-02-07T02:29:43Z,1210000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
122,PT04M29.00S,2025-02-07T02:29:21.1Z,1,REGULAR,rebound,defensive,[],1628371,,,1610612753,13,17,2025-02-07T02:29:43Z,1220000,False,,,0,,J. Isaac REBOUND (Off:0 Def:1),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,121.0,,,,,,,,,,1.0,1.0,0.0,,,
123,PT04M17.00S,2025-02-07T02:29:54.1Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,13,17,2025-02-07T02:30:58Z,1230000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 203999]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Jokić,203999.0
124,PT04M17.00S,2025-02-07T02:29:54.1Z,1,REGULAR,steal,,[],203999,,,1610612743,13,17,2025-02-07T02:29:55Z,1240000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
125,PT04M07.00S,2025-02-07T02:30:03.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,75.24638633377135,13.23529411764706,1610612743,13,17,2025-02-07T02:30:11Z,1250000,False,-184.0,180.0,1,right,MISS M. Porter Jr. 25' step back 3PT,[1629008],1610612743.0,DEN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
126,PT04M05.00S,2025-02-07T02:30:05.9Z,1,REGULAR,rebound,defensive,[],1628371,,,1610612753,13,17,2025-02-07T02:30:11Z,1260000,False,,,0,,J. Isaac REBOUND (Off:0 Def:2),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Above the Break 3,24+ Left Center,,,,,125.0,,,,,,,,,,2.0,2.0,0.0,,,
127,PT03M57.00S,2025-02-07T02:30:17.9Z,1,REGULAR,foul,personal,[],203999,,,1610612753,13,17,2025-02-07T02:30:21Z,1270000,False,,,0,,N. Jokić personal FOUL (1 PF),"[203999, 1628976]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,101283.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,
129,PT03M57.00S,2025-02-07T02:30:23.2Z,1,REGULAR,substitution,out,[],1629008,,,1610612753,13,17,2025-02-07T02:30:28Z,1290000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M57.00S,2025-02-07T02:30:23.2Z,1,REGULAR,substitution,out,[],203932,,,1610612753,13,17,2025-02-07T02:30:28Z,1300000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M57.00S,2025-02-07T02:30:23.2Z,1,REGULAR,substitution,in,[],1630192,,,1610612753,13,17,2025-02-07T02:30:28Z,1310000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M57.00S,2025-02-07T02:30:23.2Z,1,REGULAR,substitution,in,[],1641816,,,1610612753,13,17,2025-02-07T02:30:28Z,1320000,False,,,0,,SUB in: H. Tyson,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M46.00S,2025-02-07T02:30:47.0Z,1,REGULAR,3pt,Jump Shot,[],1628371,32.276609724047304,38.72549019607843,1610612753,13,17,2025-02-07T02:30:51Z,1330000,False,56.0,251.0,1,left,MISS J. Isaac 25' 3PT,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
134,PT03M43.00S,2025-02-07T02:30:50.0Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,13,17,2025-02-07T02:30:51Z,1340000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,133.0,,,,,,,,,,2.0,2.0,0.0,,,
135,PT03M34.00S,2025-02-07T02:30:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,83.26215505913272,41.911764705882355,1610612743,13,17,2025-02-07T03:15:16Z,1350000,False,-40.0,105.0,1,right,MISS C. Braun 11' driving Layup,[1631128],1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
136,PT03M30.00S,2025-02-07T02:31:03.1Z,1,REGULAR,rebound,offensive,[],1630192,,,1610612743,13,17,2025-02-07T02:31:03Z,1360000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:0),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),8-16 Center,,,,,135.0,,,,,,,,,,1.0,0.0,1.0,,,
137,PT03M29.00S,2025-02-07T02:31:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630192,93.51182654402102,55.88235294117647,1610612743,13,17,2025-02-07T02:31:09Z,1370000,False,29.0,8.0,1,right,MISS Z. Nnaji putback Layup - blocked,"[1630192, 1628371]",1610612743.0,DEN,putback,,,Nnaji,Z. Nnaji,,,,,Restricted Area,0-8 Center,3.06,Missed,Isaac,1628371.0,,,,,,,,,,,,,,,,
138,PT03M29.00S,2025-02-07T02:31:03.7Z,1,REGULAR,block,,[],1628371,,,1610612743,13,17,2025-02-07T02:31:05Z,1380000,False,,,0,,J. Isaac BLOCK (1 BLK),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
139,PT03M27.00S,2025-02-07T02:31:05.7Z,1,REGULAR,rebound,defensive,[],1628371,,,1610612753,13,17,2025-02-07T02:31:09Z,1390000,False,,,0,,J. Isaac REBOUND (Off:0 Def:3),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Restricted Area,0-8 Center,,,,,137.0,,,,,,,,,,3.0,3.0,0.0,,,
140,PT03M18.00S,2025-02-07T02:31:14.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,12.302890932982917,55.63725490196079,1610612753,13,19,2025-02-07T02:31:22Z,1400000,False,-28.0,63.0,1,left,F. Wagner 6' floating Jump Shot (6 PTS),[1630532],1610612753.0,ORL,floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,,,,,,,,,6.0,,,,,,,,,
141,PT03M10.00S,2025-02-07T02:31:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,91.93495400788436,49.50980392156863,1610612743,15,19,2025-02-07T02:31:28Z,1410000,False,-2.0,23.0,1,right,C. Braun cutting finger roll Layup (4 PTS) (N. Jokić 1 AST),"[1631128, 203999]",1610612743.0,DEN,cutting finger roll,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,,,,,4.0,N. Jokić,203999.0,1.0,,,,,,
143,PT02M53.00S,2025-02-07T02:31:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,6.783837056504599,54.65686274509803,1610612753,15,21,2025-02-07T02:31:43Z,1430000,False,-23.0,11.0,1,left,W. Carter Jr. driving Layup (7 PTS) (F. Wagner 2 AST),"[1628976, 1630532]",1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.59,Made,,,,,,,,,7.0,F. Wagner,1630532.0,2.0,,,,,,
145,PT02M40.00S,2025-02-07T02:31:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.46057818659659,50.0,1610612743,17,21,2025-02-07T02:31:56Z,1450000,False,0.0,18.0,1,right,N. Jokić driving reverse Layup (9 PTS),[203999],1610612743.0,DEN,driving reverse,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,9.0,,,,,,,,,
146,PT02M25.00S,2025-02-07T02:32:06.6Z,1,REGULAR,3pt,Jump Shot,[],1641783,6.915243101182654,2.696078431372549,1610612753,17,21,2025-02-07T02:32:13Z,1460000,False,237.0,13.0,1,left,MISS T. da Silva 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,,
147,PT02M22.00S,2025-02-07T02:32:09.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,17,21,2025-02-07T02:32:13Z,1470000,False,,,0,,N. Jokić REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Right Corner 3,24+ Right,,,,,146.0,,,,,,,,,,4.0,4.0,0.0,,,
148,PT02M15.00S,2025-02-07T02:32:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.20433639947439,51.225490196078425,1610612743,19,21,2025-02-07T02:32:24Z,1480000,False,6.0,68.0,1,right,N. Jokić 6' floating Jump Shot (11 PTS) (J. Pickett 1 AST),"[203999, 1629618]",1610612743.0,DEN,floating,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,,,,,,,,,11.0,J. Pickett,1629618.0,1.0,,,,,,
150,PT02M15.00S,2025-02-07T02:32:24.6Z,1,REGULAR,timeout,full,['team'],0,,,1610612753,19,21,2025-02-07T02:32:24Z,1500000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT02M15.00S,2025-02-07T02:33:25.1Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,19,21,2025-02-07T02:33:59Z,1510000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT02M15.00S,2025-02-07T02:33:25.1Z,1,REGULAR,substitution,in,[],1631094,,,1610612753,19,21,2025-02-07T02:33:59Z,1520000,False,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT01M58.00S,2025-02-07T02:34:18.4Z,1,REGULAR,turnover,bad pass,[],1641710,,,1610612753,19,21,2025-02-07T02:34:22Z,1530000,False,,,0,,A. Black bad pass TURNOVER (1 TO),"[1641710, 1630192]",1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Nnaji,1630192.0
154,PT01M58.00S,2025-02-07T02:34:18.4Z,1,REGULAR,steal,,[],1630192,,,1610612743,19,21,2025-02-07T02:34:20Z,1540000,False,,,0,,Z. Nnaji STEAL (1 STL),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
155,PT01M55.00S,2025-02-07T02:34:23.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631094,,,1610612743,19,21,2025-02-07T02:34:32Z,1550000,False,,,0,,P. Banchero shooting personal FOUL (2 PF) (Tyson 2 FT),"[1631094, 1641816]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,101283.0,2.0,0.0,Tyson,1641816.0,,,,,,,,,,
157,PT01M55.00S,2025-02-07T02:34:53.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641816,,,1610612743,20,21,2025-02-07T02:35:32Z,1570000,False,,,0,,H. Tyson Free Throw 1 of 2 (1 PTS),[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
158,PT01M55.00S,2025-02-07T02:34:53.7Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,20,21,2025-02-07T02:34:57Z,1580000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT01M55.00S,2025-02-07T02:34:53.7Z,1,REGULAR,substitution,in,[],1631124,,,1610612743,20,21,2025-02-07T02:34:57Z,1590000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT01M55.00S,2025-02-07T02:34:53.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641816,,,1610612743,20,21,2025-02-07T02:35:32Z,1600000,False,,,0,,MISS H. Tyson Free Throw 2 of 2,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
161,PT01M53.00S,2025-02-07T02:34:55.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,20,21,2025-02-07T02:35:32Z,1610000,False,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,160.0,,,,,,,,,,3.0,3.0,0.0,,,
162,PT01M40.00S,2025-02-07T02:35:31.9Z,1,REGULAR,turnover,out-of-bounds,[],1641710,,,1610612753,20,21,2025-02-07T02:42:04Z,1620000,False,,,0,,A. Black lost ball out-of-bounds TURNOVER (2 TO),[1641710],1610612753.0,ORL,lost ball,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,,,,,,101283.0,,,,,,,,,,,,2.0,,
163,PT01M32.00S,2025-02-07T02:35:52.4Z,1,REGULAR,foul,offensive,[],1629618,,,1610612743,20,21,2025-02-07T02:36:00Z,1630000,False,,,0,,J. Pickett offensive FOUL (1 PF),"[1629618, 1628976]",1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Mid-Range,16-24 Right Center,,,,,,1626300.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,
165,PT01M32.00S,2025-02-07T02:35:52.4Z,1,REGULAR,turnover,offensive foul,[],1629618,,,1610612743,20,21,2025-02-07T02:35:52Z,1650000,False,,,0,,J. Pickett offensive foul TURNOVER (1 TO),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Mid-Range,16-24 Right Center,,,,,,1626300.0,,,,,,,,,,,,1.0,,
166,PT01M21.00S,2025-02-07T02:36:11.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641710,9.806176084099869,40.19607843137255,1610612753,20,21,2025-02-07T02:36:18Z,1660000,False,49.0,40.0,1,left,MISS A. Black 6' driving floating bank Shot,[1641710],1610612753.0,ORL,driving floating bank,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,,,,,,,,,,,,,,
167,PT01M18.00S,2025-02-07T02:36:14.4Z,1,REGULAR,rebound,defensive,[],1641816,,,1610612743,20,21,2025-02-07T02:36:18Z,1670000,False,,,0,,H. Tyson REBOUND (Off:0 Def:1),[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,In The Paint (Non-RA),0-8 Center,,,,,166.0,,,,,,,,,,1.0,1.0,0.0,,,
168,PT01M14.00S,2025-02-07T02:36:18.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629618,78.40013140604468,91.17647058823529,1610612743,23,21,2025-02-07T02:36:25Z,1680000,False,206.0,151.0,1,right,J. Pickett 25' 3PT running (3 PTS) (N. Jokić 2 AST),"[1629618, 203999]",1610612743.0,DEN,running,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Right Center,25.5,Made,,,,,,,,,3.0,N. Jokić,203999.0,2.0,,,,,,
204,PT00M55.30S,2025-02-07T02:36:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,12.532851511169525,65.19607843137254,1610612753,23,21,2025-02-07T02:42:38Z,1705000,False,-76.0,65.0,1,left,MISS P. Banchero 10' driving Layup - blocked,"[1631094, 1630192]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Left,10.02,Missed,Nnaji,1630192.0,,,,,,,,,,,,,,,,
