actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
83,PT05M06.00S,2025-02-12T00:26:38.9Z,1,REGULAR,foul,personal,['2freethrow'],1642367,,,1610612755,10,19,2025-02-12T00:26:46Z,770000,False,,,0,,J. Mogbo shooting personal FOUL (2 PF) (Embiid 2 FT),"[1642367, 203954]",1610612761.0,TOR,shooting,,,Mogbo,J. Mogbo,,,,,In The Paint (Non-RA),8-16 Center,1627963.0,,,,,,,,2.0,0.0,Embiid,203954.0,,,,,,,,
85,PT05M06.00S,2025-02-12T00:27:07.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,11,19,2025-02-12T00:27:07Z,790000,False,,,0,,J. Embiid Free Throw 1 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
86,PT05M06.00S,2025-02-12T00:27:33.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,12,19,2025-02-12T00:27:33Z,800000,False,,,0,,J. Embiid Free Throw 2 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
87,PT04M55.00S,2025-02-12T00:27:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641711,90.45663600525624,48.529411764705884,1610612761,12,19,2025-02-12T00:33:50Z,810000,False,-7.0,37.0,1,right,MISS G. Dick driving floating bank Shot,[1641711],1610612761.0,TOR,driving floating bank,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,,,3.79,Missed,,,,,,,,,,,,,,,,
88,PT04M53.00S,2025-02-12T00:27:49.8Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,12,19,2025-02-12T00:27:54Z,820000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:3),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,87.0,3.0,3.0,0.0,,
89,PT04M50.00S,2025-02-12T00:27:53.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,6.619579500657039,49.01960784313726,1610612755,14,19,2025-02-12T00:28:01Z,830000,False,5.0,10.0,1,left,K. Oubre Jr. running finger roll Layup (4 PTS),[1626162],1610612755.0,PHI,running finger roll,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,1.09,Made,4.0,,,,,,,,,,,,,,,
90,PT04M50.00S,2025-02-12T00:28:00.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,19,2025-02-12T00:28:03Z,840000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M50.00S,2025-02-12T00:30:22.4Z,1,REGULAR,substitution,out,[],1642367,,,1610612761,14,19,2025-02-12T00:30:26Z,850000,False,,,0,,SUB out: J. Mogbo,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M50.00S,2025-02-12T00:30:22.4Z,1,REGULAR,substitution,in,[],1631115,,,1610612761,14,19,2025-02-12T00:30:26Z,860000,False,,,0,,SUB in: O. Robinson,[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M30.00S,2025-02-12T00:31:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642347,86.25164257555848,53.92156862745098,1610612761,14,19,2025-02-12T00:35:13Z,870000,False,20.0,77.0,1,right,MISS J. Shead 7' driving floating Shot,[1642347],1610612761.0,TOR,driving floating,,,Shead,J. Shead,,,,,In The Paint (Non-RA),0-8 Center,,,7.92,Missed,,,,,,,,,,,,,,,,
94,PT04M26.00S,2025-02-12T00:31:14.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,14,19,2025-02-12T00:31:14Z,880000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:4),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,93.0,4.0,4.0,0.0,,
95,PT04M17.00S,2025-02-12T00:31:23.2Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,14,19,2025-02-12T00:31:27Z,890000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1631115]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,2.0,,,,,,,,,,,,,,,,,Robinson,1631115.0
96,PT04M17.00S,2025-02-12T00:31:23.2Z,1,REGULAR,steal,,[],1631115,,,1610612761,14,19,2025-02-12T00:31:26Z,900000,False,,,0,,O. Robinson STEAL (1 STL),[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
97,PT04M14.00S,2025-02-12T00:31:26.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630534,94.26741130091985,50.49019607843137,1610612761,14,21,2025-02-12T00:41:12Z,910000,False,2.0,1.0,1,right,O. Agbaji driving DUNK (5 PTS),[1630534],1610612761.0,TOR,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,,,0.29,Made,5.0,,,,,,,,,,,,,,,
99,PT03M58.00S,2025-02-12T00:31:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,6.225361366622863,49.754901960784316,1610612755,16,21,2025-02-12T00:37:31Z,930000,False,1.0,6.0,1,left,P. George driving Layup (4 PTS) (J. Embiid 2 AST),"[202331, 203954]",1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,,,0.61,Made,4.0,J. Embiid,203954.0,2.0,,,,,,,,,,,,
101,PT03M40.00S,2025-02-12T00:32:01.7Z,1,REGULAR,turnover,out-of-bounds,[],1641711,,,1610612761,16,21,2025-02-12T00:32:08Z,950000,False,,,0,,G. Dick bad pass out-of-bounds TURNOVER (1 TO),[1641711],1610612761.0,TOR,bad pass,,,Dick,G. Dick,,,,,Mid-Range,16-24 Right Center,1626300.0,1.0,,,,,,,,,,,,,,,,,,
102,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612755,16,21,2025-02-12T00:32:16Z,960000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,out,[],203954,,,1610612755,16,21,2025-02-12T00:32:16Z,970000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,out,[],1641711,,,1610612755,16,21,2025-02-12T00:32:16Z,980000,False,,,0,,SUB out: G. Dick,[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,in,[],1627824,,,1610612755,16,21,2025-02-12T00:32:16Z,990000,False,,,0,,SUB in: G. Yabusele,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,in,[],1641741,,,1610612755,16,21,2025-02-12T00:32:16Z,1000000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M40.00S,2025-02-12T00:32:05.0Z,1,REGULAR,substitution,in,[],1642266,,,1610612755,16,21,2025-02-12T00:32:16Z,1010000,False,,,0,,SUB in: J. Walter,[1642266],1610612761.0,TOR,,,,Walter,J. Walter,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M27.00S,2025-02-12T00:32:32.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,8.722076215505908,81.86274509803921,1610612755,16,21,2025-02-12T00:32:36Z,1020000,False,-159.0,29.0,1,left,MISS P. George 16' step back Shot,[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,16-24 Left,,,16.2,Missed,,,,,,,,,,,,,,,,
109,PT03M24.00S,2025-02-12T00:32:35.4Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,16,21,2025-02-12T00:32:36Z,1030000,False,,,0,,C. Boucher REBOUND (Off:0 Def:1),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,108.0,1.0,1.0,0.0,,
110,PT03M14.00S,2025-02-12T00:32:54.1Z,1,REGULAR,turnover,bad pass,[],1642347,,,1610612761,16,21,2025-02-12T00:33:01Z,1040000,False,,,0,,J. Shead bad pass TURNOVER (1 TO),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Left Center,,1.0,,,,,,,,,,,,,,,,,,
111,PT03M14.00S,2025-02-12T00:32:59.2Z,1,REGULAR,foul,personal,[],1630534,,,1610612755,16,21,2025-02-12T00:34:37Z,1050000,False,,,0,,O. Agbaji personal FOUL (1 PF),"[1630534, 1627824]",1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,Mid-Range,16-24 Left,1627963.0,,,,,,,,1.0,0.0,Yabusele,1627824.0,,,,,,,,
113,PT03M14.00S,2025-02-12T00:33:08.7Z,1,REGULAR,substitution,out,[],1630534,,,1610612755,16,21,2025-02-12T00:33:11Z,1070000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M14.00S,2025-02-12T00:33:08.7Z,1,REGULAR,substitution,in,[],1630567,,,1610612755,16,21,2025-02-12T00:33:11Z,1080000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M01.00S,2025-02-12T00:33:24.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627824,32.24375821287779,29.166666666666657,1610612755,16,21,2025-02-12T00:33:35Z,1090000,False,104.0,251.0,1,left,MISS G. Yabusele 27' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,27.14,Missed,,,,,,,,,,,,,,,,
116,PT02M54.00S,2025-02-12T00:33:31.8Z,1,REGULAR,rebound,defensive,[],1642347,,,1610612761,16,21,2025-02-12T00:33:35Z,1100000,False,,,0,,J. Shead REBOUND (Off:0 Def:1),[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,115.0,1.0,1.0,0.0,,
117,PT02M40.00S,2025-02-12T00:33:45.6Z,1,REGULAR,3pt,Jump Shot,[],1628449,67.19776609724047,52.450980392156865,1610612761,16,21,2025-02-12T00:33:58Z,1110000,False,12.0,256.0,1,right,MISS C. Boucher 25' 3PT,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,,,25.61,Missed,,,,,,,,,,,,,,,,
118,PT02M39.00S,2025-02-12T00:33:46.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,16,21,2025-02-12T00:33:58Z,1120000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,117.0,,,,,
119,PT02M39.00S,2025-02-12T00:33:58.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631115,,,1610612755,16,21,2025-02-12T00:34:05Z,1130000,False,,,0,,O. Robinson loose ball personal FOUL (1 PF) (Yabusele 2 FT),"[1631115, 1627824]",1610612761.0,TOR,loose ball,,,Robinson,O. Robinson,,,,,Restricted Area,0-8 Center,1626300.0,,,,,,,,1.0,0.0,Yabusele,1627824.0,,,,,,,,
121,PT02M39.00S,2025-02-12T00:34:29.2Z,1,REGULAR,freethrow,1 of 2,[],1627824,,,1610612755,17,21,2025-02-12T00:34:29Z,1150000,False,,,0,,G. Yabusele Free Throw 1 of 2 (1 PTS),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
122,PT02M39.00S,2025-02-12T00:34:45.6Z,1,REGULAR,freethrow,2 of 2,[],1627824,,,1610612755,18,21,2025-02-12T00:34:45Z,1160000,False,,,0,,G. Yabusele Free Throw 2 of 2 (2 PTS),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
123,PT02M16.00S,2025-02-12T00:35:11.8Z,1,REGULAR,2pt,Jump Shot,[],1630567,92.16491458607096,26.225490196078425,1610612761,18,21,2025-02-12T00:41:47Z,1170000,False,-119.0,21.0,1,right,MISS S. Barnes 12' step back Shot,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,12.08,Missed,,,,,,,,,,,,,,,,
124,PT02M11.00S,2025-02-12T00:35:16.8Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,18,21,2025-02-12T00:35:17Z,1180000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,123.0,1.0,1.0,0.0,,
125,PT02M08.00S,2025-02-12T00:35:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,14.898160315374511,54.65686274509804,1610612755,18,21,2025-02-12T00:40:00Z,1190000,False,-23.0,88.0,1,left,MISS T. Maxey 9' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,9.05,Missed,,,,,,,,,,,,,,,,
126,PT02M08.00S,2025-02-12T00:35:22.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,18,21,2025-02-12T00:40:00Z,1200000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,125.0,,,,,
127,PT02M06.00S,2025-02-12T00:35:27.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627824,,,1610612761,18,21,2025-02-12T00:35:44Z,1210000,False,,,0,,G. Yabusele loose ball personal FOUL (1 PF) (Barnes 2 FT),"[1627824, 1630567]",1610612755.0,PHI,loose ball,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,2530.0,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,,,
129,PT02M06.00S,2025-02-12T00:35:35.5Z,1,REGULAR,substitution,out,[],1642347,,,1610612761,18,21,2025-02-12T00:35:43Z,1230000,False,,,0,,SUB out: J. Shead,[1642347],1610612761.0,TOR,,,,Shead,J. Shead,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M06.00S,2025-02-12T00:35:35.5Z,1,REGULAR,substitution,in,[],1630193,,,1610612761,18,21,2025-02-12T00:35:43Z,1240000,False,,,0,,SUB in: I. Quickley,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M06.00S,2025-02-12T00:35:57.5Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,18,21,2025-02-12T00:35:57Z,1250000,False,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
132,PT02M06.00S,2025-02-12T00:35:57.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,18,21,2025-02-12T00:35:57Z,1260000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,
133,PT02M06.00S,2025-02-12T00:35:57.5Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,18,21,2025-02-12T00:36:13Z,1270000,False,,,0,,MISS S. Barnes Free Throw 2 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
134,PT02M04.00S,2025-02-12T00:35:59.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,18,21,2025-02-12T00:36:13Z,1280000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,133.0,1.0,1.0,0.0,,
135,PT01M48.00S,2025-02-12T00:36:31.5Z,1,REGULAR,violation,kicked ball,[],1628449,,,1610612755,18,21,2025-02-12T00:36:37Z,1290000,False,,,0,,C. Boucher kicked ball VIOLATION,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,1627963.0,,,,,,,,,,,,,,,,,,,
136,PT01M35.00S,2025-02-12T00:36:56.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,8.196452036793687,36.029411764705884,1610612755,18,21,2025-02-12T00:37:00Z,1300000,False,70.0,25.0,1,left,MISS G. Yabusele 7' turnaround Hook,[1627824],1610612755.0,PHI,turnaround,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,7.41,Missed,,,,,,,,,,,,,,,,
137,PT01M33.00S,2025-02-12T00:36:58.8Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,18,21,2025-02-12T00:37:00Z,1310000,False,,,0,,C. Boucher REBOUND (Off:0 Def:2),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,136.0,2.0,2.0,0.0,,
138,PT01M22.00S,2025-02-12T00:37:10.5Z,1,REGULAR,3pt,Jump Shot,[],1630193,68.9060446780552,26.960784313725497,1610612761,18,24,2025-02-12T00:37:14Z,1320000,False,-115.0,240.0,1,right,I. Quickley 26' 3PT step back (6 PTS),[1630193],1610612761.0,TOR,step back,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,26.6,Made,6.0,,,,,,,,,,,,,,,
139,PT01M03.00S,2025-02-12T00:37:28.9Z,1,REGULAR,3pt,Jump Shot,[],1627824,34.21484888304862,48.529411764705884,1610612755,18,24,2025-02-12T00:37:33Z,1330000,False,7.0,269.0,1,left,MISS G. Yabusele 26' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,,,26.92,Missed,,,,,,,,,,,,,,,,
140,PT00M59.60S,2025-02-12T00:37:32.3Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,18,24,2025-02-12T00:37:33Z,1340000,False,,,0,,C. Boucher REBOUND (Off:0 Def:3),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,139.0,3.0,3.0,0.0,,
141,PT00M38.10S,2025-02-12T00:37:54.7Z,1,REGULAR,3pt,Jump Shot,[],1642266,69.30026281208936,28.186274509803923,1610612761,18,24,2025-02-12T00:37:58Z,1350000,False,-109.0,236.0,1,right,MISS J. Walter 26' step back 3PT,[1642266],1610612761.0,TOR,step back,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,,,26.01,Missed,,,,,,,,,,,,,,,,
142,PT00M35.30S,2025-02-12T00:37:57.4Z,1,REGULAR,rebound,offensive,[],1630193,,,1610612761,18,24,2025-02-12T00:37:57Z,1360000,False,,,0,,I. Quickley REBOUND (Off:1 Def:0),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,141.0,1.0,0.0,1.0,,
143,PT00M23.30S,2025-02-12T00:38:09.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630193,81.65243101182654,30.882352941176478,1610612761,18,26,2025-02-12T00:38:13Z,1370000,False,-96.0,120.0,1,right,I. Quickley 15' pullup Jump Shot (8 PTS),[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,15.34,Made,8.0,,,,,,,,,,,,,,,
144,PT00M01.80S,2025-02-12T00:38:35.6Z,1,REGULAR,3pt,Jump Shot,[],1641741,37.63140604467805,53.67647058823529,1610612755,18,26,2025-02-12T00:38:42Z,1380000,False,-18.0,301.0,1,left,MISS R. Council IV 30' 3PT,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Above the Break 3,24+ Center,,,30.18,Missed,,,,,,,,,,,,,,,,
145,PT00M01.80S,2025-02-12T00:38:35.6Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,18,26,2025-02-12T00:39:24Z,1390000,False,,,0,,C. Boucher REBOUND (Off:0 Def:4),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,144.0,4.0,4.0,0.0,,
146,PT00M00.00S,2025-02-12T00:38:46.5Z,1,REGULAR,period,end,[],0,,,1610612761,18,26,2025-02-12T00:39:24Z,1400000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612761,18,26,2025-02-12T00:41:27Z,1410000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,out,['startperiod'],202331,,,1610612761,18,26,2025-02-12T00:41:27Z,1420000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,out,['startperiod'],1641741,,,1610612761,18,26,2025-02-12T00:41:27Z,1430000,False,,,0,,SUB out: R. Council IV,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,out,['startperiod'],1631115,,,1610612761,18,26,2025-02-12T00:41:27Z,1440000,False,,,0,,SUB out: O. Robinson,[1631115],1610612761.0,TOR,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,in,['startperiod'],1630215,,,1610612761,18,26,2025-02-12T00:41:27Z,1450000,False,,,0,,SUB in: J. Butler,[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,in,['startperiod'],1626162,,,1610612761,18,26,2025-02-12T00:41:27Z,1460000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,in,['startperiod'],203954,,,1610612761,18,26,2025-02-12T00:41:27Z,1470000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2025-02-12T00:40:02.9Z,2,REGULAR,substitution,in,['startperiod'],1642279,,,1610612761,18,26,2025-02-12T00:41:27Z,1480000,False,,,0,,SUB in: U. Chomche,[1642279],1610612761.0,TOR,,,,Chomche,U. Chomche,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2025-02-12T00:41:24.7Z,2,REGULAR,period,start,[],0,,,1610612761,18,26,2025-02-12T00:41:28Z,1490000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M54.00S,2025-02-12T00:41:34.3Z,2,REGULAR,foul,personal,['2freethrow'],1630215,,,1610612761,18,26,2025-02-12T00:41:42Z,1500000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (Quickley 2 FT),"[1630215, 1630193]",1610612755.0,PHI,shooting,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,1627963.0,,,,,,,,1.0,0.0,Quickley,1630193.0,,,,,,,,
158,PT11M54.00S,2025-02-12T00:41:58.3Z,2,REGULAR,freethrow,1 of 2,[],1630193,,,1610612761,18,27,2025-02-12T00:41:58Z,1520000,False,,,0,,I. Quickley Free Throw 1 of 2 (9 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
159,PT11M54.00S,2025-02-12T00:42:18.5Z,2,REGULAR,freethrow,2 of 2,[],1630193,,,1610612761,18,28,2025-02-12T00:42:18Z,1530000,False,,,0,,I. Quickley Free Throw 2 of 2 (10 PTS),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
160,PT11M32.00S,2025-02-12T00:42:45.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630215,13.18988173455979,47.549019607843135,1610612755,20,28,2025-02-12T00:42:52Z,1540000,False,12.0,71.0,1,left,J. Butler 7' driving floating Jump Shot (2 PTS) (K. Oubre Jr. 1 AST),"[1630215, 1626162]",1610612755.0,PHI,driving floating,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,7.26,Made,2.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,
162,PT11M10.00S,2025-02-12T00:43:08.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,85.46320630749014,61.029411764705884,1610612761,20,30,2025-02-12T00:45:52Z,1560000,False,55.0,84.0,1,right,S. Barnes 10' floating Jump Shot (11 PTS),[1630567],1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Right,,,10.05,Made,11.0,,,,,,,,,,,,,,,
163,PT10M52.00S,2025-02-12T00:43:25.1Z,2,REGULAR,3pt,Jump Shot,[],1629656,31.32391590013141,24.264705882352942,1610612755,20,30,2025-02-12T00:43:29Z,1570000,False,129.0,242.0,1,left,MISS Q. Grimes 27' 3PT,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,27.4,Missed,,,,,,,,,,,,,,,,
