actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
85,PT04M43.00S,2024-12-14T00:26:46.9Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,9,14,2024-12-14T00:26:51Z,850000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,,Toppin,O. Toppin,,,,84.0,1.0,1.0,0.0,,,,,,,,,,
86,PT04M40.00S,2024-12-14T00:26:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,94.79303547963207,53.18627450980392,1610612754,9,16,2024-12-14T00:26:59Z,860000,False,16.0,-4.0,1,right,A. Nembhard running reverse Layup (2 PTS) (O. Toppin 1 AST),"[1629614, 1630167]",1610612754.0,IND,running reverse,,,,,,Restricted Area,0-8 Center,1.63,Made,2.0,Nembhard,A. Nembhard,O. Toppin,1630167.0,1.0,,,,,,,,,,,,,,
88,PT04M31.00S,2024-12-14T00:26:58.3Z,1,REGULAR,2pt,Jump Shot,[],1642272,21.468462549277262,54.90196078431372,1610612755,9,16,2024-12-14T00:27:03Z,880000,False,-25.0,149.0,1,left,MISS J. McCain 15' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,,,,Mid-Range,8-16 Center,15.13,Missed,,McCain,J. McCain,,,,,,,,,,,,,,,,,
89,PT04M29.00S,2024-12-14T00:27:00.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,9,16,2024-12-14T00:27:03Z,890000,False,,,0,,M. Turner REBOUND (Off:1 Def:3),[1626167],1610612754.0,IND,,,,,,,Mid-Range,8-16 Center,,,,Turner,M. Turner,,,,88.0,4.0,3.0,1.0,,,,,,,,,,
90,PT04M20.00S,2024-12-14T00:27:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,74.03088042049934,19.607843137254903,1610612754,9,16,2024-12-14T00:27:16Z,900000,False,-152.0,192.0,1,right,MISS T. Haliburton 24' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,,,,Above the Break 3,24+ Left Center,24.46,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
91,PT04M16.00S,2024-12-14T00:27:13.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,9,16,2024-12-14T00:27:16Z,910000,False,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,George,P. George,,,,90.0,3.0,3.0,0.0,,,,,,,,,,
92,PT04M07.00S,2024-12-14T00:27:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,6.225361366622863,52.205882352941174,1610612755,11,16,2024-12-14T00:27:31Z,920000,False,-11.0,6.0,1,left,K. Martin Layup (2 PTS) (J. Embiid 3 AST),"[1630231, 203954]",1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,1.25,Made,2.0,Martin,K. Martin,J. Embiid,203954.0,3.0,,,,,,,,,,,,,,
94,PT04M07.00S,2024-12-14T00:27:36.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,11,16,2024-12-14T00:27:36Z,940000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M07.00S,2024-12-14T00:27:47.1Z,1,REGULAR,substitution,out,[],1626162,,,1610612754,11,16,2024-12-14T00:30:04Z,950000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,,,,,,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,
96,PT04M07.00S,2024-12-14T00:27:47.1Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,11,16,2024-12-14T00:30:04Z,960000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,
97,PT04M07.00S,2024-12-14T00:27:47.1Z,1,REGULAR,substitution,in,[],1641741,,,1610612754,11,16,2024-12-14T00:30:04Z,970000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
98,PT04M07.00S,2024-12-14T00:27:47.1Z,1,REGULAR,substitution,in,[],204456,,,1610612754,11,16,2024-12-14T00:30:04Z,980000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
99,PT03M47.00S,2024-12-14T00:30:39.8Z,1,REGULAR,3pt,Jump Shot,[],1630167,78.23587385019711,6.617647058823522,1610612754,11,19,2024-12-14T00:30:45Z,990000,False,-217.0,152.0,1,right,O. Toppin 26' 3PT  (3 PTS) (T. Haliburton 2 AST),"[1630167, 1630169]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,26.49,Made,3.0,Toppin,O. Toppin,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
101,PT03M35.00S,2024-12-14T00:30:50.2Z,1,REGULAR,3pt,Jump Shot,[],203954,33.6892247043364,49.754901960784316,1610612755,14,19,2024-12-14T00:30:55Z,1010000,False,1.0,264.0,1,left,J. Embiid 26' 3PT  (3 PTS) (J. McCain 1 AST),"[203954, 1642272]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,26.42,Made,3.0,Embiid,J. Embiid,J. McCain,1642272.0,1.0,,,,,,,,,,,,,,
103,PT03M12.00S,2024-12-14T00:31:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,68.11760840998686,70.58823529411765,1610612754,14,22,2024-12-14T00:31:19Z,1030000,False,103.0,247.0,1,right,T. Haliburton 26' 3PT step back (9 PTS) (M. Turner 1 AST),"[1630169, 1626167]",1610612754.0,IND,step back,,,,,,Above the Break 3,24+ Right Center,26.78,Made,9.0,Haliburton,T. Haliburton,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
105,PT02M50.00S,2024-12-14T00:31:35.4Z,1,REGULAR,3pt,Jump Shot,[],1642272,31.586727989487514,28.186274509803923,1610612755,17,22,2024-12-14T00:31:40Z,1050000,False,109.0,244.0,1,left,J. McCain 26' 3PT  (3 PTS) (J. Embiid 4 AST),"[1642272, 203954]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,26.76,Made,3.0,McCain,J. McCain,J. Embiid,203954.0,4.0,,,,,,,,,,,,,,
107,PT02M26.00S,2024-12-14T00:32:00.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,94.66162943495401,50.98039215686275,1610612754,17,24,2024-12-14T00:32:06Z,1070000,False,5.0,-2.0,1,right,M. Turner DUNK (5 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,0.54,Made,5.0,Turner,M. Turner,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,,
110,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,out,[],202331,,,1610612755,17,24,2024-12-14T00:32:31Z,1100000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,,
111,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,out,[],203954,,,1610612755,17,24,2024-12-14T00:32:31Z,1110000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,,,,,,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
112,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,out,[],1626167,,,1610612755,17,24,2024-12-14T00:32:31Z,1120000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,,,,,,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,
113,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,17,24,2024-12-14T00:32:31Z,1130000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,,,,,,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
114,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,in,[],203083,,,1610612755,17,24,2024-12-14T00:32:31Z,1140000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
115,PT02M11.00S,2024-12-14T00:32:19.1Z,1,REGULAR,substitution,in,[],1641716,,,1610612755,17,24,2024-12-14T00:32:31Z,1150000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,,,,,,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,
116,PT02M11.00S,2024-12-14T00:33:00.2Z,1,REGULAR,substitution,out,[],1631097,,,1610612755,17,24,2024-12-14T00:33:07Z,1160000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,,,,,,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
117,PT02M11.00S,2024-12-14T00:33:00.2Z,1,REGULAR,substitution,in,[],1627783,,,1610612755,17,24,2024-12-14T00:33:07Z,1170000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
118,PT02M00.00S,2024-12-14T00:33:13.0Z,1,REGULAR,2pt,Jump Shot,[],1642272,19.49737187910644,75.98039215686275,1610612755,19,24,2024-12-14T00:33:55Z,1180000,False,-130.0,131.0,1,left,J. McCain 18' step back Jump Shot (5 PTS),[1642272],1610612755.0,PHI,step back,,,,,,Mid-Range,16-24 Left Center,18.43,Made,5.0,McCain,J. McCain,,,,,,,,,,,,,,,,,
119,PT01M45.00S,2024-12-14T00:33:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.00854139290408,78.18627450980392,1610612754,19,27,2024-12-14T00:33:32Z,1190000,False,141.0,220.0,1,right,T. Haliburton 26' 3PT step back (12 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,step back,,,,,,Above the Break 3,24+ Right Center,26.13,Made,12.0,Haliburton,T. Haliburton,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
120,PT01M31.00S,2024-12-14T00:33:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.276609724047319,50.49019607843137,1610612755,21,27,2024-12-14T00:33:45Z,1200000,False,-2.0,16.0,1,left,T. Maxey driving Layup (2 PTS),[1630178],1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
121,PT01M26.00S,2024-12-14T00:33:45.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,70.22010512483574,77.20588235294117,1610612754,21,27,2024-12-14T00:34:19Z,1210000,False,136.0,227.0,1,right,MISS T. Haliburton 26' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,,,,Above the Break 3,24+ Right Center,26.5,Missed,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
122,PT01M23.00S,2024-12-14T00:33:48.8Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612755,21,27,2024-12-14T00:33:59Z,1220000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,McCain,J. McCain,,,,121.0,1.0,1.0,0.0,,,,,,,,,,
123,PT01M17.00S,2024-12-14T00:33:54.8Z,1,REGULAR,turnover,lost ball,[],1642272,,,1610612755,21,27,2024-12-14T00:34:01Z,1230000,False,,,0,,J. McCain lost ball TURNOVER (1 TO),"[1642272, 204456]",1610612755.0,PHI,,,,,,,Mid-Range,8-16 Left,,,,McCain,J. McCain,,,,,,,,,1.0,,,,,McConnell,204456.0,,
124,PT01M17.00S,2024-12-14T00:33:54.8Z,1,REGULAR,steal,,[],204456,,,1610612754,21,27,2024-12-14T00:33:57Z,1240000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
125,PT01M09.00S,2024-12-14T00:34:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,21,27,2024-12-14T00:34:18Z,1250000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Siakam 2 FT),"[1630178, 1627783]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),8-16 Center,,,,Maxey,T. Maxey,,,,,,,,1627534.0,,1.0,0.0,Siakam,1627783.0,,,,
128,PT01M09.00S,2024-12-14T00:34:38.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627783,,,1610612754,21,28,2024-12-14T00:34:38Z,1270000,False,,,0,,P. Siakam Free Throw 1 of 2 (4 PTS),[1627783],1610612754.0,IND,,,,,,,,,,Made,4.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
129,PT01M09.00S,2024-12-14T00:34:41.9Z,1,REGULAR,substitution,out,[],1630169,,,1610612754,21,28,2024-12-14T00:34:48Z,1280000,False,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,,,,,,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,
130,PT01M09.00S,2024-12-14T00:34:41.9Z,1,REGULAR,substitution,in,[],1642277,,,1610612754,21,28,2024-12-14T00:34:48Z,1290000,False,,,0,,SUB in: J. Furphy,[1642277],1610612754.0,IND,,,,,,,,,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,
131,PT01M09.00S,2024-12-14T00:34:38.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627783,,,1610612754,21,28,2024-12-14T00:35:06Z,1300000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,,,,,,,,,Missed,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
132,PT01M04.00S,2024-12-14T00:34:43.3Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,21,28,2024-12-14T00:35:06Z,1310000,False,,,0,,R. Council IV REBOUND (Off:0 Def:1),[1641741],1610612755.0,PHI,,,,,,,,,,,,Council IV,R. Council IV,,,,131.0,1.0,1.0,0.0,,,,,,,,,,
133,PT01M02.00S,2024-12-14T00:35:08.3Z,1,REGULAR,foul,personal,['2freethrow'],1642277,,,1610612755,21,28,2024-12-14T00:35:16Z,1320000,False,,,0,,J. Furphy shooting personal FOUL (1 PF) (Council IV 2 FT),"[1642277, 1641741]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,,Furphy,J. Furphy,,,,,,,,1627534.0,,1.0,0.0,Council IV,1641741.0,,,,
135,PT01M02.00S,2024-12-14T00:35:38.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641741,,,1610612755,21,28,2024-12-14T00:35:54Z,1340000,False,,,0,,MISS R. Council IV Free Throw 1 of 2,[1641741],1610612755.0,PHI,,,,,,,,,,Missed,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
136,PT01M02.00S,2024-12-14T00:35:38.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,21,28,2024-12-14T00:35:54Z,1350000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,
137,PT01M02.00S,2024-12-14T00:35:38.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641741,,,1610612755,21,28,2024-12-14T00:35:54Z,1360000,False,,,0,,MISS R. Council IV Free Throw 2 of 2,[1641741],1610612755.0,PHI,,,,,,,,,,Missed,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
138,PT00M59.80S,2024-12-14T00:35:40.6Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,21,28,2024-12-14T00:35:54Z,1370000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,,,,,,,,,Drummond,A. Drummond,,,,137.0,1.0,0.0,1.0,,,,,,,,,,
139,PT00M58.80S,2024-12-14T00:35:57.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630167,,,1610612755,21,28,2024-12-14T00:36:05Z,1380000,False,,,0,,O. Toppin shooting personal FOUL (1 PF) (Drummond 2 FT),"[1630167, 203083]",1610612754.0,IND,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Toppin,O. Toppin,,,,,,,,203591.0,,1.0,0.0,Drummond,203083.0,,,,
141,PT00M58.80S,2024-12-14T00:36:23.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203083,,,1610612755,22,28,2024-12-14T00:36:23Z,1400000,False,,,0,,A. Drummond Free Throw 1 of 2 (1 PTS),[203083],1610612755.0,PHI,,,,,,,,,,Made,1.0,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
142,PT00M58.80S,2024-12-14T00:36:41.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203083,,,1610612755,22,28,2024-12-14T00:36:41Z,1410000,False,,,0,,MISS A. Drummond Free Throw 2 of 2,[203083],1610612755.0,PHI,,,,,,,,,,Missed,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,
143,PT00M57.10S,2024-12-14T00:36:42.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,22,28,2024-12-14T00:36:42Z,1420000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,,,,,,,,,Siakam,P. Siakam,,,,142.0,2.0,2.0,0.0,,,,,,,,,,
144,PT00M49.50S,2024-12-14T00:36:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,94.13600525624179,51.96078431372549,1610612754,22,28,2024-12-14T00:36:55Z,1430000,False,10.0,3.0,1,right,MISS T. McConnell driving floating Shot,[204456],1610612754.0,IND,driving floating,,,,,,Restricted Area,0-8 Center,1.01,Missed,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
145,PT00M47.20S,2024-12-14T00:36:52.9Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,22,28,2024-12-14T00:36:55Z,1440000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Maxey,T. Maxey,,,,144.0,1.0,1.0,0.0,,,,,,,,,,
146,PT00M40.90S,2024-12-14T00:36:59.2Z,1,REGULAR,2pt,Jump Shot,[],1630178,25.410643889618925,49.01960784313726,1610612755,22,28,2024-12-14T00:37:06Z,1450000,False,5.0,186.0,1,left,MISS T. Maxey 18' step back Shot,[1630178],1610612755.0,PHI,step back,,,,,,Mid-Range,16-24 Center,18.65,Missed,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
147,PT00M39.30S,2024-12-14T00:37:03.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,22,28,2024-12-14T00:37:03Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Center,,,,,,,,,146.0,,,,,,,,,,,,,
149,PT00M26.80S,2024-12-14T00:37:34.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642272,21.994086727989497,64.70588235294117,1610612755,22,28,2024-12-14T00:37:39Z,1480000,False,-74.0,154.0,1,left,MISS J. McCain 17' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Left Center,17.08,Missed,,McCain,J. McCain,,,,,,,,,,,,,,,,,
150,PT00M23.30S,2024-12-14T00:37:38.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,22,28,2024-12-14T00:40:12Z,1490000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,,Siakam,P. Siakam,,,,149.0,3.0,3.0,0.0,,,,,,,,,,
151,PT00M06.00S,2024-12-14T00:37:58.1Z,1,REGULAR,2pt,Jump Shot,[],1627783,83.49211563731932,72.79411764705883,1610612754,22,30,2024-12-14T00:38:12Z,1500000,False,114.0,103.0,1,right,P. Siakam 15' pullup bank Jump Shot (6 PTS),[1627783],1610612754.0,IND,pullup bank,,,,,,Mid-Range,8-16 Right,15.34,Made,6.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
153,PT00M06.00S,2024-12-14T00:38:08.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630231,,,1610612754,22,30,2024-12-14T00:38:16Z,1520000,False,,,0,,K. Martin shooting personal FOUL (1 PF) (Siakam 1 FT),"[1630231, 1627783]",1610612755.0,PHI,shooting,,,,,,Mid-Range,8-16 Right,,,,Martin,K. Martin,,,,,,,,1627539.0,,1.0,0.0,Siakam,1627783.0,,,,
155,PT00M06.00S,2024-12-14T00:38:26.7Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612754,22,31,2024-12-14T00:38:26Z,1540000,False,,,0,,P. Siakam Free Throw 1 of 1 (7 PTS),[1627783],1610612754.0,IND,,,,,,,,,,Made,7.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
156,PT00M01.60S,2024-12-14T00:38:33.5Z,1,REGULAR,turnover,lost ball,[],1642272,,,1610612755,22,31,2024-12-14T00:38:39Z,1550000,False,,,0,,J. McCain lost ball TURNOVER (2 TO),"[1642272, 1642277]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,McCain,J. McCain,,,,,,,,,2.0,,,,,Furphy,1642277.0,,
157,PT00M01.60S,2024-12-14T00:38:33.5Z,1,REGULAR,steal,,[],1642277,,,1610612754,22,31,2024-12-14T00:38:35Z,1560000,False,,,0,,J. Furphy STEAL (1 STL),[1642277],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Furphy,J. Furphy,,,,,,,,,,,,,,,,,
158,PT00M00.30S,2024-12-14T00:38:37.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204456,53.79434954007885,19.362745098039213,1610612754,22,31,2024-12-14T00:40:24Z,1570000,False,-153.0,382.0,1,right,MISS T. McConnell 41' 3PT - blocked,"[204456, 1630178]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,41.14,Missed,,McConnell,T. McConnell,,,,,,,,,,,,,,,,Maxey,1630178.0
159,PT00M00.30S,2024-12-14T00:38:37.2Z,1,REGULAR,block,,[],1630178,,,1610612754,22,31,2024-12-14T00:38:40Z,1580000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,
160,PT00M00.10S,2024-12-14T00:38:37.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,22,31,2024-12-14T00:38:53Z,1590000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,158.0,,,,,,,,,,,,,
161,PT00M00.00S,2024-12-14T00:38:46.6Z,1,REGULAR,period,end,[],0,,,1610612754,22,31,2024-12-14T00:38:46Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2024-12-14T00:41:21.3Z,2,REGULAR,period,start,[],0,,,1610612754,22,31,2024-12-14T00:41:21Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT11M46.00S,2024-12-14T00:41:36.5Z,2,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,22,31,2024-12-14T00:41:45Z,1620000,False,,,0,,T. Maxey shooting personal FOUL (2 PF) (Toppin 2 FT),"[1630178, 1630167]",1610612755.0,PHI,shooting,,,,,,Restricted Area,0-8 Center,,,,Maxey,T. Maxey,,,,,,,,1627534.0,,2.0,0.0,Toppin,1630167.0,,,,
165,PT11M46.00S,2024-12-14T00:42:01.0Z,2,REGULAR,freethrow,1 of 2,[],1630167,,,1610612754,22,32,2024-12-14T00:42:01Z,1640000,False,,,0,,O. Toppin Free Throw 1 of 2 (4 PTS),[1630167],1610612754.0,IND,,,,,,,,,,Made,4.0,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
166,PT11M46.00S,2024-12-14T00:42:17.8Z,2,REGULAR,freethrow,2 of 2,[],1630167,,,1610612754,22,33,2024-12-14T00:42:17Z,1650000,False,,,0,,O. Toppin Free Throw 2 of 2 (5 PTS),[1630167],1610612754.0,IND,,,,,,,,,,Made,5.0,Toppin,O. Toppin,,,,,,,,,,,,,,,,,
167,PT11M34.00S,2024-12-14T00:42:33.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,8.722076215505908,50.73529411764706,1610612755,22,33,2024-12-14T00:42:43Z,1660000,False,-4.0,29.0,1,left,MISS K. Martin cutting Layup - blocked,"[1630231, 1627783]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,2.97,Missed,,Martin,K. Martin,,,,,,,,,,,,,,,,Siakam,1627783.0
168,PT11M34.00S,2024-12-14T00:42:33.3Z,2,REGULAR,block,,[],1627783,,,1610612755,22,33,2024-12-14T00:42:36Z,1670000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,
169,PT11M34.00S,2024-12-14T00:42:33.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,22,33,2024-12-14T00:42:43Z,1680000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,,,,,,167.0,,,,,,,,,,,,,
171,PT11M27.00S,2024-12-14T00:42:53.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641741,13.18988173455979,48.0392156862745,1610612755,24,33,2024-12-14T00:42:57Z,1700000,False,10.0,71.0,1,left,R. Council IV 7' driving floating Jump Shot (2 PTS),[1641741],1610612755.0,PHI,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,7.22,Made,2.0,Council IV,R. Council IV,,,,,,,,,,,,,,,,,
172,PT11M16.00S,2024-12-14T00:43:03.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.74178712220763,51.22549019607843,1610612754,24,35,2024-12-14T01:18:40Z,1710000,False,6.0,6.0,1,right,T. McConnell driving finger roll Layup (2 PTS),[204456],1610612754.0,IND,driving finger roll,,,,,,Restricted Area,0-8 Center,0.88,Made,2.0,McConnell,T. McConnell,,,,,,,,,,,,,,,,,
173,PT11M07.00S,2024-12-14T00:43:11.8Z,2,REGULAR,turnover,bad pass,[],1630178,,,1610612755,24,35,2024-12-14T00:43:17Z,1720000,False,,,0,,T. Maxey bad pass TURNOVER (2 TO),"[1630178, 1630167]",1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Maxey,T. Maxey,,,,,,,,,2.0,,,,,Toppin,1630167.0,,
