actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
88,PT05M10.00S,2025-02-05T00:25:28.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,27.020367936925098,17.15686274509804,1610612755,16,12,2025-02-05T00:25:32Z,870000,False,164.0,201.0,1,left,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,25.99,Missed,,,,,,,,,,,,,,,,,,
89,PT05M07.00S,2025-02-05T00:25:31.7Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,16,12,2025-02-05T00:25:32Z,880000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,
90,PT04M54.00S,2025-02-05T00:25:44.8Z,1,REGULAR,3pt,Jump Shot,[],203915,72.22404730617609,85.5392156862745,1610612742,16,15,2025-02-05T00:25:48Z,890000,False,178.0,209.0,1,right,S. Dinwiddie 27' 3PT  (3 PTS) (N. Marshall 1 AST),"[203915, 1630230]",1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,27.4,Made,3.0,,,,,,N. Marshall,1630230.0,1.0,,,,,,,,,
93,PT04M40.00S,2025-02-05T00:26:02.9Z,1,REGULAR,substitution,out,[],203954,,,1610612755,16,15,2025-02-05T00:26:13Z,920000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M40.00S,2025-02-05T00:26:02.9Z,1,REGULAR,substitution,in,[],1641741,,,1610612755,16,15,2025-02-05T00:26:13Z,930000,False,,,0,,SUB in: R. Council IV,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M40.00S,2025-02-05T00:26:23.1Z,1,REGULAR,substitution,out,[],1629655,,,1610612755,16,15,2025-02-05T00:26:26Z,940000,False,,,0,,SUB out: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M40.00S,2025-02-05T00:26:23.1Z,1,REGULAR,substitution,in,[],1630283,,,1610612755,16,15,2025-02-05T00:26:26Z,950000,False,,,0,,SUB in: K. Kelley,[1630283],1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2025-02-05T00:26:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,5.732588699080158,47.549019607843135,1610612755,18,15,2025-02-05T00:26:48Z,960000,False,12.0,1.0,1,left,T. Maxey driving finger roll Layup (4 PTS) (G. Yabusele 1 AST),"[1630178, 1627824]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.24,Made,4.0,,,,,,G. Yabusele,1627824.0,1.0,,,,,,,,,
99,PT04M18.00S,2025-02-05T00:26:57.8Z,1,REGULAR,3pt,Jump Shot,[],202681,72.48685939553219,84.55882352941177,1610612742,18,15,2025-02-05T00:27:01Z,980000,False,173.0,206.0,1,right,MISS K. Irving 26' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,26.9,Missed,,,,,,,,,,,,,,,,,,
100,PT04M15.00S,2025-02-05T00:27:00.8Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,18,15,2025-02-05T00:27:01Z,990000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,99.0,2.0,1.0,1.0,,,,,,,,,,,,,
101,PT04M07.00S,2025-02-05T00:27:08.2Z,1,REGULAR,3pt,Jump Shot,[],1642348,30.305519053876477,25.735294117647058,1610612755,21,15,2025-02-05T00:27:12Z,1000000,False,121.0,232.0,1,left,J. Edwards 26' 3PT  (3 PTS) (T. Maxey 4 AST),"[1642348, 1630178]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,26.22,Made,3.0,,,,,,T. Maxey,1630178.0,4.0,,,,,,,,,
103,PT03M57.00S,2025-02-05T00:27:20.5Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612742,21,15,2025-02-05T00:27:27Z,1020000,False,,,0,,K. Oubre Jr. shooting personal FOUL (2 PF) (Irving 2 FT),"[1626162, 202681]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,,,,,2.0,0.0,Irving,202681.0
105,PT03M57.00S,2025-02-05T00:27:54.4Z,1,REGULAR,freethrow,1 of 2,[],202681,,,1610612742,21,16,2025-02-05T00:27:54Z,1040000,False,,,0,,K. Irving Free Throw 1 of 2 (6 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
106,PT03M57.00S,2025-02-05T00:28:02.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612742,21,16,2025-02-05T00:28:07Z,1050000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M57.00S,2025-02-05T00:28:02.0Z,1,REGULAR,substitution,in,[],202704,,,1610612742,21,16,2025-02-05T00:28:07Z,1060000,False,,,0,,SUB in: R. Jackson,[202704],1610612755.0,PHI,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M57.00S,2025-02-05T00:28:23.7Z,1,REGULAR,freethrow,2 of 2,[],202681,,,1610612742,21,17,2025-02-05T00:28:23Z,1070000,False,,,0,,K. Irving Free Throw 2 of 2 (7 PTS),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
109,PT03M41.00S,2025-02-05T00:28:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,15.588042049934298,47.30392156862745,1610612755,23,17,2025-02-05T00:28:44Z,1080000,False,13.0,94.0,1,left,T. Maxey 9' driving floating Jump Shot (6 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,9.5,Made,6.0,,,,,,,,,,,,,,,,,
110,PT03M27.00S,2025-02-05T00:28:55.3Z,1,REGULAR,3pt,Jump Shot,[],1631108,72.88107752956637,83.57843137254902,1610612742,23,20,2025-02-05T00:28:59Z,1090000,False,168.0,202.0,1,right,M. Christie 26' 3PT  (4 PTS) (K. Irving 1 AST),"[1631108, 202681]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,26.3,Made,4.0,,,,,,K. Irving,202681.0,1.0,,,,,,,,,
112,PT03M13.00S,2025-02-05T00:29:07.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,25.837713534822605,84.31372549019608,1610612755,26,20,2025-02-05T00:29:21Z,1110000,False,-172.0,190.0,1,left,T. Maxey 25' 3PT step back (9 PTS),[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.63,Made,9.0,,,,,,,,,,,,,,,,,
113,PT02M54.00S,2025-02-05T00:29:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631108,89.83245729303549,53.92156862745098,1610612742,26,20,2025-02-05T00:31:12Z,1120000,False,20.0,43.0,1,right,MISS M. Christie driving floating bank Shot,[1631108],1610612742.0,DAL,driving floating bank,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,,,,,,,,,,
114,PT02M53.00S,2025-02-05T00:29:27.7Z,1,REGULAR,rebound,offensive,[],203915,,,1610612742,26,20,2025-02-05T00:29:30Z,1130000,False,,,0,,S. Dinwiddie REBOUND (Off:1 Def:0),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,113.0,1.0,0.0,1.0,,,,,,,,,,,,,
115,PT02M51.00S,2025-02-05T00:29:30.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,66.44218134034165,49.01960784313725,1610612742,26,23,2025-02-05T00:29:33Z,1140000,False,-5.0,263.0,1,right,S. Dinwiddie 26' 3PT  (6 PTS),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,26.29,Made,6.0,,,,,,,,,,,,,,,,,
116,PT02M34.00S,2025-02-05T00:29:47.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.802233902759525,52.20588235294118,1610612755,26,23,2025-02-05T00:29:50Z,1150000,False,-11.0,256.0,1,left,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,25.6,Missed,,,,,,,,,,,,,,,,,,
117,PT02M32.00S,2025-02-05T00:29:49.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,26,23,2025-02-05T00:29:50Z,1160000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,116.0,1.0,1.0,0.0,,,,,,,,,,,,,
118,PT02M25.00S,2025-02-05T00:29:59.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641741,,,1610612742,26,23,2025-02-05T00:30:06Z,1170000,False,,,0,,R. Council IV shooting personal FOUL (1 PF) (Marshall 2 FT),"[1641741, 1630230]",1610612755.0,PHI,shooting,,,Council IV,R. Council IV,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202007.0,,,,,,,,,1.0,0.0,Marshall,1630230.0
120,PT02M25.00S,2025-02-05T00:30:10.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,26,23,2025-02-05T00:30:15Z,1190000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M25.00S,2025-02-05T00:32:59.2Z,1,REGULAR,substitution,out,[],1627824,,,1610612742,26,23,2025-02-05T00:33:02Z,1200000,False,,,0,,SUB out: G. Yabusele,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M25.00S,2025-02-05T00:32:59.2Z,1,REGULAR,substitution,in,[],1641737,,,1610612742,26,23,2025-02-05T00:33:02Z,1210000,False,,,0,,SUB in: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M25.00S,2025-02-05T00:33:14.3Z,1,REGULAR,freethrow,1 of 2,[],1630230,,,1610612742,26,24,2025-02-05T00:33:14Z,1220000,False,,,0,,N. Marshall Free Throw 1 of 2 (1 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
124,PT02M25.00S,2025-02-05T00:33:23.1Z,1,REGULAR,freethrow,2 of 2,[],1630230,,,1610612742,26,25,2025-02-05T00:33:23Z,1230000,False,,,0,,N. Marshall Free Throw 2 of 2 (2 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
125,PT02M10.00S,2025-02-05T00:33:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641741,5.469776609724048,46.32352941176471,1610612755,28,25,2025-02-05T00:33:48Z,1240000,False,18.0,-1.0,1,left,R. Council IV driving finger roll Layup (2 PTS) (A. Bona 1 AST),"[1641741, 1641737]",1610612755.0,PHI,driving finger roll,,,Council IV,R. Council IV,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,A. Bona,1641737.0,1.0,,,,,,,,,
127,PT01M55.00S,2025-02-05T00:33:56.4Z,1,REGULAR,3pt,Jump Shot,[],203915,71.96123521681997,14.215686274509803,1610612742,28,25,2025-02-05T00:34:00Z,1260000,False,-179.0,211.0,1,right,MISS S. Dinwiddie 27' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,27.67,Missed,,,,,,,,,,,,,,,,,,
128,PT01M52.00S,2025-02-05T00:33:59.4Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,28,25,2025-02-05T00:34:00Z,1270000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,
129,PT01M44.00S,2025-02-05T00:34:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.521024967148489,47.30392156862745,1610612755,30,25,2025-02-05T00:34:10Z,1280000,False,13.0,9.0,1,left,T. Maxey driving reverse Layup (11 PTS),[1630178],1610612755.0,PHI,driving reverse,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.61,Made,11.0,,,,,,,,,,,,,,,,,
130,PT01M29.00S,2025-02-05T00:34:20.9Z,1,REGULAR,2pt,Jump Shot,[],202681,96.40275952693824,66.42156862745098,1610612742,30,27,2025-02-05T00:34:27Z,1290000,False,82.0,-19.0,1,right,K. Irving 8' turnaround fadeaway Jump Shot (9 PTS),[202681],1610612742.0,DAL,turnaround fadeaway,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,8.42,Made,9.0,,,,,,,,,,,,,,,,,
131,PT01M16.00S,2025-02-05T00:34:34.1Z,1,REGULAR,3pt,Jump Shot,[],1641741,7.5722733245729295,2.2058823529411766,1610612755,33,27,2025-02-05T00:34:38Z,1300000,False,239.0,19.0,1,left,R. Council IV 3PT  (5 PTS) (T. Maxey 5 AST),"[1641741, 1630178]",1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Right Corner 3,24+ Right,23.97,Made,5.0,,,,,,T. Maxey,1630178.0,5.0,,,,,,,,,
133,PT01M05.00S,2025-02-05T00:34:44.8Z,1,REGULAR,3pt,Jump Shot,[],1630230,95.0886990801577,2.2058823529411766,1610612742,33,27,2025-02-05T00:34:50Z,1320000,False,-239.0,-6.0,1,right,MISS N. Marshall 3PT,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,23.91,Missed,,,,,,,,,,,,,,,,,,
134,PT01M05.00S,2025-02-05T00:34:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,33,27,2025-02-05T00:34:50Z,1330000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Left Corner 3,24+ Left,,,,133.0,,,,,,,,,,,,,,,,
135,PT01M05.00S,2025-02-05T00:34:51.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641737,,,1610612742,33,27,2025-02-05T00:34:58Z,1340000,False,,,0,,A. Bona loose ball personal FOUL (1 PF) (Kelley 2 FT),"[1641737, 1630283]",1610612755.0,PHI,loose ball,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,,2005.0,,,,,,,,,1.0,0.0,Kelley,1630283.0
137,PT01M05.00S,2025-02-05T00:35:15.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630283,,,1610612742,33,27,2025-02-05T00:35:15Z,1360000,False,,,0,,MISS K. Kelley Free Throw 1 of 2,[1630283],1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
138,PT01M05.00S,2025-02-05T00:35:15.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,33,27,2025-02-05T00:35:15Z,1370000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,137.0,,,,,,,,,,,,,,,,
139,PT01M05.00S,2025-02-05T00:35:32.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630283,,,1610612742,33,28,2025-02-05T00:35:32Z,1380000,False,,,0,,K. Kelley Free Throw 2 of 2 (1 PTS),[1630283],1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
140,PT00M44.70S,2025-02-05T00:36:02.8Z,1,REGULAR,3pt,Jump Shot,[],1642348,9.937582128777924,3.6764705882352944,1610612755,36,28,2025-02-05T00:36:07Z,1390000,False,232.0,41.0,1,left,J. Edwards 3PT  (6 PTS) (R. Jackson 1 AST),"[1642348, 202704]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Right Corner 3,24+ Right,23.52,Made,6.0,,,,,,R. Jackson,202704.0,1.0,,,,,,,,,
142,PT00M38.30S,2025-02-05T00:36:12.5Z,1,REGULAR,3pt,Jump Shot,[],202681,80.50262812089356,3.6764705882352944,1610612742,36,28,2025-02-05T00:36:18Z,1410000,False,-232.0,131.0,1,right,MISS K. Irving 26' pullup 3PT,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,26.6,Missed,,,,,,,,,,,,,,,,,,
143,PT00M34.40S,2025-02-05T00:36:16.4Z,1,REGULAR,rebound,offensive,[],1631108,,,1610612742,36,28,2025-02-05T00:36:16Z,1420000,False,,,0,,M. Christie REBOUND (Off:1 Def:0),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,142.0,1.0,0.0,1.0,,,,,,,,,,,,,
144,PT00M33.10S,2025-02-05T00:36:17.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,69.07030223390277,72.30392156862744,1610612742,36,28,2025-02-05T00:36:22Z,1430000,False,112.0,238.0,1,right,MISS S. Dinwiddie 26' 3PT,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,,,,,,,,,,,,,,,,,
145,PT00M29.80S,2025-02-05T00:36:21.0Z,1,REGULAR,rebound,offensive,[],1630283,,,1610612742,36,28,2025-02-05T00:36:22Z,1440000,False,,,0,,K. Kelley REBOUND (Off:1 Def:0),[1630283],1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,Above the Break 3,24+ Right Center,,,,144.0,1.0,0.0,1.0,,,,,,,,,,,,,
146,PT00M23.80S,2025-02-05T00:36:27.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630230,87.99277266754271,48.77450980392157,1610612742,36,28,2025-02-05T00:36:32Z,1450000,False,-6.0,60.0,1,right,MISS N. Marshall 6' driving finger roll Layup,[1630230],1610612742.0,DAL,driving finger roll,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,6.07,Missed,,,,,,,,,,,,,,,,,,
147,PT00M19.00S,2025-02-05T00:36:31.8Z,1,REGULAR,rebound,offensive,[],202681,,,1610612742,36,28,2025-02-05T00:36:31Z,1460000,False,,,0,,K. Irving REBOUND (Off:2 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,146.0,3.0,1.0,2.0,,,,,,,,,,,,,
148,PT00M18.70S,2025-02-05T00:36:33.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202681,78.40013140604468,4.901960784313726,1610612742,36,31,2025-02-05T00:36:40Z,1470000,False,-225.0,151.0,1,right,K. Irving 27' 3PT  (12 PTS) (S. Dinwiddie 1 AST),"[202681, 203915]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,27.11,Made,12.0,,,,,,S. Dinwiddie,203915.0,1.0,,,,,,,,,
150,PT00M08.80S,2025-02-05T00:36:48.9Z,1,REGULAR,foul,personal,[],1631108,,,1610612755,36,31,2025-02-05T00:37:38Z,1490000,False,,,0,,M. Christie take personal FOUL (1 PF),"[1631108, 1630178]",1610612742.0,DAL,take,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Maxey,1630178.0
152,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,out,[],1641737,,,1610612755,36,31,2025-02-05T00:37:17Z,1510000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,out,[],202681,,,1610612755,36,31,2025-02-05T00:37:17Z,1520000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,out,[],203915,,,1610612755,36,31,2025-02-05T00:37:17Z,1530000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,out,[],1630283,,,1610612755,36,31,2025-02-05T00:37:17Z,1540000,False,,,0,,SUB out: K. Kelley,[1630283],1610612742.0,DAL,,,,Kelley,K. Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,in,[],203954,,,1610612755,36,31,2025-02-05T00:37:17Z,1550000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,in,[],1630556,,,1610612755,36,31,2025-02-05T00:37:17Z,1560000,False,,,0,,SUB in: K. Edwards,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,in,[],203957,,,1610612755,36,31,2025-02-05T00:37:17Z,1570000,False,,,0,,SUB in: D. Exum,[203957],1610612742.0,DAL,,,,Exum,D. Exum,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M08.80S,2025-02-05T00:36:57.8Z,1,REGULAR,substitution,in,[],1629655,,,1610612755,36,31,2025-02-05T00:37:17Z,1580000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M00.40S,2025-02-05T00:37:38.6Z,1,REGULAR,2pt,Jump Shot,[],202704,4.812746386333772,84.80392156862744,1610612755,36,31,2025-02-05T00:37:48Z,1590000,False,-174.0,-7.0,1,left,MISS R. Jackson 17' turnaround fadeaway Shot,[202704],1610612755.0,PHI,turnaround fadeaway,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left,17.42,Missed,,,,,,,,,,,,,,,,,,
161,PT00M00.10S,2025-02-05T00:37:38.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,36,31,2025-02-05T00:37:48Z,1600000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,16-24 Left,,,,160.0,,,,,,,,,,,,,,,,
162,PT00M00.00S,2025-02-05T00:37:43.3Z,1,REGULAR,period,end,[],0,,,1610612755,36,31,2025-02-05T00:37:43Z,1610000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,out,['startperiod'],1630178,,,1610612755,36,31,2025-02-05T00:40:13Z,1620000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,out,['startperiod'],1642348,,,1610612755,36,31,2025-02-05T00:40:13Z,1630000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,out,['startperiod'],1630230,,,1610612755,36,31,2025-02-05T00:40:13Z,1640000,False,,,0,,SUB out: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,in,['startperiod'],1626162,,,1610612755,36,31,2025-02-05T00:40:13Z,1650000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,in,['startperiod'],1630288,,,1610612755,36,31,2025-02-05T00:40:13Z,1660000,False,,,0,,SUB in: J. Dowtin Jr.,[1630288],1610612755.0,PHI,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2025-02-05T00:37:56.7Z,2,REGULAR,substitution,in,['startperiod'],202691,,,1610612755,36,31,2025-02-05T00:40:13Z,1670000,False,,,0,,SUB in: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2025-02-05T00:40:23.8Z,2,REGULAR,period,start,[],0,,,1610612755,36,31,2025-02-05T00:40:23Z,1680000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M38.00S,2025-02-05T00:40:45.0Z,2,REGULAR,3pt,Jump Shot,[],1626162,4.812746386333772,96.56862745098039,1610612755,36,31,2025-02-05T00:40:48Z,1690000,False,-233.0,-7.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
171,PT11M35.00S,2025-02-05T00:40:48.0Z,2,REGULAR,rebound,defensive,[],1631108,,,1610612742,36,31,2025-02-05T00:40:48Z,1700000,False,,,0,,M. Christie REBOUND (Off:1 Def:1),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,170.0,2.0,1.0,1.0,,,,,,,,,,,,,
