actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
193,PT11M07.00S,2022-11-19T23:40:03.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,92.06636005256242,48.77450980392157,1610612737,31,35,2022-11-19T23:40:09Z,1880000,False,-6.0,22.0,1,right,MISS O. Okongwu cutting Layup,[1630168],1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,,
194,PT11M04.00S,2022-11-19T23:40:06.8Z,2,REGULAR,rebound,defensive,[],1630201,,,1610612761,31,35,2022-11-19T23:40:09Z,1890000,False,,,0,,M. Flynn REBOUND (Off:0 Def:1),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Restricted Area,0-8 Center,,,193.0,,,1.0,1.0,0.0,,,,,,,,,,,,
195,PT10M52.00S,2022-11-19T23:40:19.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,7.5722733245729295,44.36274509803921,1610612761,31,35,2022-11-19T23:40:23Z,1900000,False,28.0,19.0,1,left,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.38,Missed,,,,,,,,,,,,,,,,,,
196,PT10M49.00S,2022-11-19T23:40:22.1Z,2,REGULAR,rebound,defensive,[],1630168,,,1610612737,31,35,2022-11-19T23:40:23Z,1910000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,195.0,,,1.0,1.0,0.0,,,,,,,,,,,,
197,PT10M47.00S,2022-11-19T23:40:23.4Z,2,REGULAR,turnover,bad pass,[],1627749,,,1610612737,31,35,2022-11-19T23:40:26Z,1920000,False,,,0,,D. Murray bad pass TURNOVER (2 TO),"[1627749, 201152]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2.0,Young,201152.0,,,,,
198,PT10M47.00S,2022-11-19T23:40:23.4Z,2,REGULAR,steal,,[],201152,,,1610612761,31,35,2022-11-19T23:40:25Z,1930000,False,,,0,,T. Young STEAL (2 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
199,PT10M40.00S,2022-11-19T23:40:29.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201152,5.732588699080158,49.50980392156863,1610612761,31,37,2022-11-19T23:40:36Z,1940000,False,2.0,1.0,1,left,T. Young running Layup (4 PTS) (S. Barnes 4 AST),"[201152, 1630567]",1610612761.0,TOR,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.29,Made,,,,,,,4.0,S. Barnes,1630567.0,4.0,,,,,,,,
201,PT10M29.00S,2022-11-19T23:40:49.1Z,2,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612737,31,37,2022-11-19T23:40:55Z,1960000,False,,,0,,C. Koloko shooting personal FOUL (2 PF) (Murray 2 FT),"[1631132, 1627749]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203177.0,2.0,0.0,Murray,1627749.0
203,PT10M29.00S,2022-11-19T23:41:14.0Z,2,REGULAR,freethrow,1 of 2,[],1627749,,,1610612737,32,37,2022-11-19T23:41:14Z,1980000,False,,,0,,D. Murray Free Throw 1 of 2 (6 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,,
204,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,out,[],1628988,,,1610612737,32,37,2022-11-19T23:41:28Z,1990000,False,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,out,[],1630567,,,1610612737,32,37,2022-11-19T23:41:28Z,2000000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,out,[],1630288,,,1610612737,32,37,2022-11-19T23:41:28Z,2010000,False,,,0,,SUB out: J. Dowtin Jr.,[1630288],1610612761.0,TOR,,,,Dowtin Jr.,J. Dowtin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,out,[],1631132,,,1610612737,32,37,2022-11-19T23:41:28Z,2020000,False,,,0,,SUB out: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,in,[],1629631,,,1610612737,32,37,2022-11-19T23:41:28Z,2030000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,in,[],1627832,,,1610612737,32,37,2022-11-19T23:41:28Z,2040000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,in,[],1627823,,,1610612737,32,37,2022-11-19T23:41:28Z,2050000,False,,,0,,SUB in: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT10M29.00S,2022-11-19T23:41:15.0Z,2,REGULAR,substitution,in,[],203920,,,1610612737,32,37,2022-11-19T23:41:28Z,2060000,False,,,0,,SUB in: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT10M29.00S,2022-11-19T23:41:34.9Z,2,REGULAR,freethrow,2 of 2,[],1627749,,,1610612737,33,37,2022-11-19T23:41:35Z,2070000,False,,,0,,D. Murray Free Throw 2 of 2 (7 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
213,PT10M11.00S,2022-11-19T23:41:57.3Z,2,REGULAR,foul,personal,['2freethrow'],1630552,,,1610612761,33,37,2022-11-19T23:42:14Z,2080000,False,,,0,,J. Johnson shooting personal FOUL (1 PF) (VanVleet 2 FT),"[1630552, 1627832]",1610612737.0,ATL,shooting,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,VanVleet,1627832.0
215,PT10M11.00S,2022-11-19T23:42:17.8Z,2,REGULAR,freethrow,1 of 2,[],1627832,,,1610612761,33,38,2022-11-19T23:42:17Z,2100000,False,,,0,,F. VanVleet Free Throw 1 of 2 (7 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,,
216,PT10M11.00S,2022-11-19T23:42:28.5Z,2,REGULAR,freethrow,2 of 2,[],1627832,,,1610612761,33,39,2022-11-19T23:42:28Z,2110000,False,,,0,,F. VanVleet Free Throw 2 of 2 (8 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,,
217,PT10M00.00S,2022-11-19T23:42:41.0Z,2,REGULAR,2pt,Jump Shot,[],1629631,71.43561103810775,38.48039215686275,1610612737,33,39,2022-11-19T23:42:46Z,2120000,False,-58.0,216.0,1,right,MISS D. Hunter 22' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,22.35,Missed,,,,,,,,,,,,,,,,,,
218,PT09M56.00S,2022-11-19T23:42:45.0Z,2,REGULAR,rebound,defensive,[],1627823,,,1610612761,33,39,2022-11-19T23:42:46Z,2130000,False,,,0,,J. Hernangomez REBOUND (Off:1 Def:2),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Mid-Range,16-24 Center,,,217.0,,,3.0,2.0,1.0,,,,,,,,,,,,
219,PT09M40.00S,2022-11-19T23:43:01.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,9.280551905387648,46.07843137254902,1610612761,33,41,2022-11-19T23:43:26Z,2140000,False,20.0,35.0,1,left,F. VanVleet driving finger roll Layup (10 PTS),[1627832],1610612761.0,TOR,driving finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,3.99,Made,,,,,,,10.0,,,,,,,,,,,
220,PT09M40.00S,2022-11-19T23:43:07.9Z,2,REGULAR,foul,personal,['1freethrow'],1630168,,,1610612761,33,41,2022-11-19T23:43:31Z,2150000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (VanVleet 1 FT),"[1630168, 1627832]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203177.0,1.0,0.0,VanVleet,1627832.0
222,PT09M40.00S,2022-11-19T23:43:16.6Z,2,REGULAR,substitution,out,[],1630552,,,1610612761,33,41,2022-11-19T23:44:00Z,2170000,False,,,0,,SUB out: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT09M40.00S,2022-11-19T23:43:16.6Z,2,REGULAR,substitution,in,[],1628381,,,1610612761,33,41,2022-11-19T23:44:00Z,2180000,False,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT09M40.00S,2022-11-19T23:43:34.9Z,2,REGULAR,freethrow,1 of 1,[],1627832,,,1610612761,33,42,2022-11-19T23:43:35Z,2190000,False,,,0,,F. VanVleet Free Throw 1 of 1 (11 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,Made,,,,,,,11.0,,,,,,,,,,,
225,PT09M20.00S,2022-11-19T23:43:57.1Z,2,REGULAR,2pt,Jump Shot,[],1627749,78.0059132720105,30.88235294117647,1610612737,33,42,2022-11-19T23:44:01Z,2200000,False,-96.0,154.0,1,right,MISS D. Murray 18' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,18.14,Missed,,,,,,,,,,,,,,,,,,
226,PT09M16.00S,2022-11-19T23:44:01.1Z,2,REGULAR,rebound,defensive,[],1627823,,,1610612761,33,42,2022-11-19T23:44:01Z,2210000,False,,,0,,J. Hernangomez REBOUND (Off:1 Def:3),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Mid-Range,16-24 Left Center,,,225.0,,,4.0,3.0,1.0,,,,,,,,,,,,
227,PT09M00.00S,2022-11-19T23:44:15.9Z,2,REGULAR,3pt,Jump Shot,[],1630201,31.488173455978973,20.833333333333336,1610612761,33,42,2022-11-19T23:44:21Z,2220000,False,146.0,243.0,1,left,MISS M. Flynn 28' 3PT,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Above the Break 3,24+ Right Center,28.38,Missed,,,,,,,,,,,,,,,,,,
228,PT08M56.00S,2022-11-19T23:44:19.9Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,33,42,2022-11-19T23:44:21Z,2230000,False,,,0,,J. Collins REBOUND (Off:0 Def:4),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,227.0,,,4.0,4.0,0.0,,,,,,,,,,,,
229,PT08M50.00S,2022-11-19T23:44:25.7Z,2,REGULAR,turnover,bad pass,[],1629631,,,1610612737,33,42,2022-11-19T23:44:31Z,2240000,False,,,0,,D. Hunter bad pass TURNOVER (1 TO),"[1629631, 201152]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Young,201152.0,,,,,
230,PT08M50.00S,2022-11-19T23:44:25.7Z,2,REGULAR,steal,,[],201152,,,1610612761,33,42,2022-11-19T23:44:28Z,2250000,False,,,0,,T. Young STEAL (3 STL),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
231,PT08M47.00S,2022-11-19T23:44:29.4Z,2,REGULAR,turnover,lost ball,[],201152,,,1610612761,33,42,2022-11-19T23:44:35Z,2260000,False,,,0,,T. Young lost ball TURNOVER (1 TO),"[201152, 1628381]",1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Collins,1628381.0,,,,,
232,PT08M47.00S,2022-11-19T23:44:29.4Z,2,REGULAR,steal,,[],1628381,,,1610612737,33,42,2022-11-19T23:47:03Z,2270000,False,,,0,,J. Collins STEAL (1 STL),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
233,PT08M43.00S,2022-11-19T23:44:32.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627749,92.19776609724047,49.01960784313725,1610612737,35,42,2022-11-19T23:44:39Z,2280000,False,-5.0,21.0,1,right,D. Murray Layup (9 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,9.0,,,,,,,,,,,
234,PT08M32.00S,2022-11-19T23:44:44.0Z,2,REGULAR,3pt,Jump Shot,[],1627832,26.62614980289093,18.627450980392158,1610612761,35,42,2022-11-19T23:44:48Z,2290000,False,157.0,198.0,1,left,MISS F. VanVleet 25' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,25.25,Missed,,,,,,,,,,,,,,,,,,
235,PT08M30.00S,2022-11-19T23:44:46.0Z,2,REGULAR,rebound,defensive,[],1628381,,,1610612737,35,42,2022-11-19T23:44:48Z,2300000,False,,,0,,J. Collins REBOUND (Off:0 Def:5),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,234.0,,,5.0,5.0,0.0,,,,,,,,,,,,
236,PT08M17.00S,2022-11-19T23:45:00.3Z,2,REGULAR,3pt,Jump Shot,[],1631100,89.43823915900131,95.09803921568627,1610612737,35,42,2022-11-19T23:45:05Z,2310000,False,225.0,47.0,1,right,MISS A. Griffin 3PT,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Right Corner 3,24+ Right,23.03,Missed,,,,,,,,,,,,,,,,,,
237,PT08M13.00S,2022-11-19T23:45:04.3Z,2,REGULAR,rebound,defensive,[],1630201,,,1610612761,35,42,2022-11-19T23:45:05Z,2320000,False,,,0,,M. Flynn REBOUND (Off:0 Def:2),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,Right Corner 3,24+ Right,,,236.0,,,2.0,2.0,0.0,,,,,,,,,,,,
238,PT08M07.00S,2022-11-19T23:45:09.4Z,2,REGULAR,3pt,Jump Shot,[],1627823,8.360709592641262,3.6764705882352944,1610612761,35,42,2022-11-19T23:45:14Z,2330000,False,232.0,26.0,1,left,MISS J. Hernangomez 3PT,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
239,PT08M04.00S,2022-11-19T23:45:12.4Z,2,REGULAR,rebound,defensive,[],1631100,,,1610612737,35,42,2022-11-19T23:45:14Z,2340000,False,,,0,,A. Griffin REBOUND (Off:0 Def:1),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Right Corner 3,24+ Right,,,238.0,,,1.0,1.0,0.0,,,,,,,,,,,,
240,PT07M53.00S,2022-11-19T23:45:24.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,87.72996057818659,50.245098039215684,1610612737,35,42,2022-11-19T23:45:29Z,2350000,False,1.0,63.0,1,right,MISS D. Murray 6' driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,,,
241,PT07M50.00S,2022-11-19T23:45:27.0Z,2,REGULAR,rebound,defensive,[],203920,,,1610612761,35,42,2022-11-19T23:45:29Z,2360000,False,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,In The Paint (Non-RA),0-8 Center,,,240.0,,,1.0,1.0,0.0,,,,,,,,,,,,
242,PT07M41.00S,2022-11-19T23:45:35.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,7.966491458607096,45.588235294117645,1610612761,35,42,2022-11-19T23:45:40Z,2370000,False,22.0,22.0,1,left,MISS F. VanVleet driving Layup,[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,3.15,Missed,,,,,,,,,,,,,,,,,,
243,PT07M38.00S,2022-11-19T23:45:38.9Z,2,REGULAR,rebound,defensive,[],1631100,,,1610612737,35,42,2022-11-19T23:45:40Z,2380000,False,,,0,,A. Griffin REBOUND (Off:0 Def:2),[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Restricted Area,0-8 Center,,,242.0,,,2.0,2.0,0.0,,,,,,,,,,,,
244,PT07M34.00S,2022-11-19T23:45:42.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631100,92.06636005256242,50.98039215686274,1610612737,37,42,2022-11-19T23:45:48Z,2390000,False,5.0,22.0,1,right,A. Griffin running Layup (7 PTS),[1631100],1610612737.0,ATL,running,,,Griffin,A. Griffin,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,,,7.0,,,,,,,,,,,
245,PT07M21.00S,2022-11-19T23:45:58.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,37,42,2022-11-19T23:45:58Z,2400000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M21.00S,2022-11-19T23:48:09.1Z,2,REGULAR,substitution,out,[],1631100,,,1610612761,37,42,2022-11-19T23:48:29Z,2410000,False,,,0,,SUB out: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M21.00S,2022-11-19T23:48:09.1Z,2,REGULAR,substitution,out,[],1630201,,,1610612761,37,42,2022-11-19T23:48:29Z,2420000,False,,,0,,SUB out: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M21.00S,2022-11-19T23:48:09.1Z,2,REGULAR,substitution,in,[],1629027,,,1610612761,37,42,2022-11-19T23:48:29Z,2430000,False,,,0,,SUB in: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M21.00S,2022-11-19T23:48:09.1Z,2,REGULAR,substitution,in,[],1628384,,,1610612761,37,42,2022-11-19T23:48:29Z,2440000,False,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M09.00S,2022-11-19T23:49:04.9Z,2,REGULAR,3pt,Jump Shot,[],1627832,30.831143232588698,74.26470588235294,1610612761,37,42,2022-11-19T23:49:10Z,2450000,False,-121.0,237.0,1,left,MISS F. VanVleet 26' pullup 3PT,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,26.65,Missed,,,,,,,,,,,,,,,,,,
251,PT07M06.00S,2022-11-19T23:49:07.9Z,2,REGULAR,rebound,offensive,[],201152,,,1610612761,37,42,2022-11-19T23:49:10Z,2460000,False,,,0,,T. Young REBOUND (Off:1 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,250.0,,,2.0,1.0,1.0,,,,,,,,,,,,
252,PT07M05.00S,2022-11-19T23:49:08.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201152,6.1268068331143235,47.05882352941176,1610612761,37,44,2022-11-19T23:49:15Z,2470000,False,15.0,5.0,1,left,T. Young putback Layup (6 PTS),[201152],1610612761.0,TOR,putback,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,,,6.0,,,,,,,,,,,
253,PT06M53.00S,2022-11-19T23:49:22.2Z,2,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612737,37,44,2022-11-19T23:50:16Z,2480000,False,,,0,,O. Anunoby shooting personal FOUL (2 PF) (Collins 2 FT),"[1628384, 1628381]",1610612761.0,TOR,shooting,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Collins,1628381.0
255,PT06M53.00S,2022-11-19T23:49:49.2Z,2,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,38,44,2022-11-19T23:50:23Z,2500000,False,,,0,,J. Collins Free Throw 1 of 2 (2 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
256,PT06M53.00S,2022-11-19T23:49:56.6Z,2,REGULAR,substitution,out,[],203920,,,1610612737,38,44,2022-11-19T23:50:01Z,2510000,False,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT06M53.00S,2022-11-19T23:49:56.6Z,2,REGULAR,substitution,in,[],1630567,,,1610612737,38,44,2022-11-19T23:50:01Z,2520000,False,,,0,,SUB in: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT06M53.00S,2022-11-19T23:49:49.2Z,2,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,39,44,2022-11-19T23:50:23Z,2530000,False,,,0,,J. Collins Free Throw 2 of 2 (3 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
259,PT06M34.00S,2022-11-19T23:50:33.2Z,2,REGULAR,3pt,Jump Shot,[],1630567,31.225361366622867,36.76470588235294,1610612761,39,47,2022-11-19T23:50:37Z,2540000,False,66.0,241.0,1,left,S. Barnes 24' 3PT  (9 PTS) (O. Anunoby 2 AST),"[1630567, 1628384]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,24.99,Made,,,,,,,9.0,O. Anunoby,1628384.0,2.0,,,,,,,,
261,PT06M15.00S,2022-11-19T23:50:51.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,93.51182654402102,49.754901960784316,1610612737,41,47,2022-11-19T23:50:55Z,2560000,False,-1.0,8.0,1,right,O. Okongwu alley-oop DUNK (2 PTS) (T. Young 3 AST),"[1630168, 1629027]",1610612737.0,ATL,alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,,,2.0,T. Young,1629027.0,3.0,,,,,,,,
263,PT06M00.00S,2022-11-19T23:51:05.8Z,2,REGULAR,3pt,Jump Shot,[],1630567,33.590670170827856,38.72549019607843,1610612761,41,47,2022-11-19T23:51:10Z,2580000,False,56.0,263.0,1,left,MISS S. Barnes 26' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
264,PT05M57.00S,2022-11-19T23:51:08.8Z,2,REGULAR,rebound,defensive,[],1627749,,,1610612737,41,47,2022-11-19T23:51:10Z,2590000,False,,,0,,D. Murray REBOUND (Off:0 Def:4),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,263.0,,,4.0,4.0,0.0,,,,,,,,,,,,
265,PT05M50.00S,2022-11-19T23:51:17.2Z,2,REGULAR,foul,offensive,[],1629631,,,1610612737,41,47,2022-11-19T23:51:26Z,2600000,False,,,0,,D. Hunter charge offensive FOUL (1 PF),"[1629631, 201152]",1610612737.0,ATL,charge,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,203177.0,1.0,0.0,Young,201152.0
267,PT05M50.00S,2022-11-19T23:51:17.2Z,2,REGULAR,turnover,offensive foul,[],1629631,,,1610612737,41,47,2022-11-19T23:51:17Z,2620000,False,,,0,,D. Hunter offensive foul TURNOVER (2 TO),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2.0,,,203177.0,,,,
268,PT05M50.00S,2022-11-19T23:51:26.7Z,2,REGULAR,substitution,out,[],1630168,,,1610612761,41,47,2022-11-19T23:51:29Z,2630000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M50.00S,2022-11-19T23:51:26.7Z,2,REGULAR,substitution,in,[],203991,,,1610612761,41,47,2022-11-19T23:51:29Z,2640000,False,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT05M37.00S,2022-11-19T23:51:51.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201152,5.601182654402102,49.754901960784316,1610612761,41,49,2022-11-19T23:52:01Z,2650000,False,1.0,0.0,1,left,T. Young reverse Layup (8 PTS) (O. Anunoby 3 AST),"[201152, 1628384]",1610612761.0,TOR,reverse,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.12,Made,,,,,,,8.0,O. Anunoby,1628384.0,3.0,,,,,,,,
272,PT05M25.00S,2022-11-19T23:52:03.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,86.94152431011827,55.88235294117647,1610612737,43,49,2022-11-19T23:52:11Z,2670000,False,29.0,70.0,1,right,D. Murray 7' driving floating Jump Shot (11 PTS),[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,7.61,Made,,,,,,,11.0,,,,,,,,,,,
