actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT05M21.00S,2022-10-21T23:52:59.1Z,1,REGULAR,substitution,out,[],1630591,,,1610612737,8,10,2022-10-21T23:53:05Z,820000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M21.00S,2022-10-21T23:52:59.1Z,1,REGULAR,substitution,in,[],1630175,,,1610612737,8,10,2022-10-21T23:53:05Z,830000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M21.00S,2022-10-21T23:53:13.5Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,9,10,2022-10-21T23:53:13Z,840000,,,0,,O. Okongwu Free Throw 2 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
86,PT05M11.00S,2022-10-21T23:53:24.5Z,1,REGULAR,3pt,Jump Shot,[],203082,30.305519053876477,34.068627450980394,1610612753,9,10,2022-10-21T23:53:30Z,850000,80.0,232.0,1,left,MISS T. Ross 24' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
87,PT05M07.00S,2022-10-21T23:53:28.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,9,10,2022-10-21T23:53:30Z,860000,,,0,,J. Collins REBOUND (Off:1 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,86.0,4.0,3.0,1.0,,,,,,,,,,,,,,
88,PT05M01.00S,2022-10-21T23:53:34.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628381,92.85479632063075,50.0,1610612737,11,10,2022-10-21T23:53:42Z,870000,0.0,15.0,1,right,J. Collins alley-oop DUNK (4 PTS) (T. Young 3 AST),"[1628381, 1629027]",1610612737.0,ATL,alley-oop,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,,,4.0,T. Young,1629027.0,3.0,,,,,,
90,PT04M48.00S,2022-10-21T23:53:47.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,7.966491458607096,42.64705882352941,1610612753,11,12,2022-10-21T23:53:57Z,890000,37.0,22.0,1,left,F. Wagner driving Hook (4 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,4.31,Made,,,,,,,,,4.0,,,,,,,,,
91,PT04M34.00S,2022-10-21T23:54:00.6Z,1,REGULAR,2pt,Jump Shot,[],1629631,75.90341655716163,53.431372549019606,1610612737,11,12,2022-10-21T23:56:48Z,900000,17.0,174.0,1,right,MISS D. Hunter 17' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,17.48,Missed,,,,,,,,,,,,,,,,,,
92,PT04M31.00S,2022-10-21T23:54:03.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,11,12,2022-10-21T23:54:06Z,910000,,,0,,P. Banchero REBOUND (Off:0 Def:5),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,91.0,5.0,5.0,0.0,,,,,,,,,,,,,,
93,PT04M23.00S,2022-10-21T23:54:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612753,11,12,2022-10-21T23:54:42Z,920000,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Carter Jr. 2 FT),"[1630168, 1628976]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,2534.0,,,,,,1.0,0.0,Carter Jr.,1628976.0,,
95,PT04M23.00S,2022-10-21T23:54:47.6Z,1,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,11,13,2022-10-21T23:54:47Z,940000,,,0,,W. Carter Jr. Free Throw 1 of 2 (3 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
96,PT04M23.00S,2022-10-21T23:54:48.4Z,1,REGULAR,substitution,out,[],1627749,,,1610612753,11,13,2022-10-21T23:54:56Z,950000,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M23.00S,2022-10-21T23:54:48.4Z,1,REGULAR,substitution,out,[],1628381,,,1610612753,11,13,2022-10-21T23:54:56Z,960000,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M23.00S,2022-10-21T23:54:48.4Z,1,REGULAR,substitution,in,[],203200,,,1610612753,11,13,2022-10-21T23:54:56Z,970000,,,0,,SUB in: J. Holiday,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M23.00S,2022-10-21T23:54:48.4Z,1,REGULAR,substitution,in,[],1630552,,,1610612753,11,13,2022-10-21T23:54:56Z,980000,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M23.00S,2022-10-21T23:55:12.6Z,1,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,11,14,2022-10-21T23:55:12Z,990000,,,0,,W. Carter Jr. Free Throw 2 of 2 (4 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
101,PT04M08.00S,2022-10-21T23:55:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629027,64.99671484888306,46.32352941176471,1610612737,11,14,2022-10-21T23:55:36Z,1000000,-18.0,277.0,1,right,MISS T. Young 27' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Center,27.71,Missed,,,,,,,,,,,,,,,,,,
102,PT04M03.00S,2022-10-21T23:55:33.9Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,11,14,2022-10-21T23:55:36Z,1010000,,,0,,P. Banchero REBOUND (Off:0 Def:6),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,101.0,6.0,6.0,0.0,,,,,,,,,,,,,,
103,PT03M58.00S,2022-10-21T23:55:39.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,5.206964520367937,48.77450980392157,1610612753,11,16,2022-10-21T23:55:48Z,1020000,6.0,-4.0,1,left,W. Carter Jr. DUNK (6 PTS) (P. Banchero 2 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.71,Made,,,,,,,,,6.0,P. Banchero,1631094.0,2.0,,,,,,
105,PT03M49.00S,2022-10-21T23:55:50.3Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612737,11,16,2022-10-21T23:56:12Z,1040000,,,0,,C. Anthony shooting personal FOUL (1 PF) (Young 2 FT),"[1630175, 1629027]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,203592.0,,,,,,1.0,0.0,Young,1629027.0,,
107,PT03M49.00S,2022-10-21T23:56:13.8Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,12,16,2022-10-21T23:56:13Z,1060000,,,0,,T. Young Free Throw 1 of 2 (1 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
108,PT03M49.00S,2022-10-21T23:56:16.3Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,12,16,2022-10-21T23:56:22Z,1070000,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M49.00S,2022-10-21T23:56:16.3Z,1,REGULAR,substitution,in,[],203991,,,1610612737,12,16,2022-10-21T23:56:22Z,1080000,,,0,,SUB in: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M49.00S,2022-10-21T23:56:30.7Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,13,16,2022-10-21T23:56:30Z,1090000,,,0,,T. Young Free Throw 2 of 2 (2 PTS),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
111,PT03M30.00S,2022-10-21T23:56:55.7Z,1,REGULAR,foul,offensive,[],1628976,,,1610612753,13,16,2022-10-21T23:57:02Z,1100000,,,0,,W. Carter Jr. off-the-ball offensive FOUL (1 PF),"[1628976, 1630552]",1610612753.0,ORL,off-the-ball,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628171.0,,,,,,1.0,0.0,Johnson,1630552.0,,
113,PT03M30.00S,2022-10-21T23:56:55.7Z,1,REGULAR,turnover,offensive foul,[],1628976,,,1610612753,13,16,2022-10-21T23:56:55Z,1120000,,,0,,W. Carter Jr. offensive foul TURNOVER (1 TO),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1628171.0,1.0,,,,,,,,,,
114,PT03M30.00S,2022-10-21T23:57:02.0Z,1,REGULAR,substitution,out,[],1631094,,,1610612737,13,16,2022-10-21T23:57:28Z,1130000,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M30.00S,2022-10-21T23:57:02.0Z,1,REGULAR,substitution,out,[],1628976,,,1610612737,13,16,2022-10-21T23:57:28Z,1140000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M30.00S,2022-10-21T23:57:02.0Z,1,REGULAR,substitution,in,[],1629643,,,1610612737,13,16,2022-10-21T23:57:28Z,1150000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M30.00S,2022-10-21T23:57:02.0Z,1,REGULAR,substitution,in,[],1628964,,,1610612737,13,16,2022-10-21T23:57:28Z,1160000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M30.00S,2022-10-21T23:57:29.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612737,13,16,2022-10-21T23:57:38Z,1170000,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,203592.0,,,,,,,,,,,
119,PT03M10.00S,2022-10-21T23:57:47.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203991,87.59855453350855,48.77450980392157,1610612737,13,16,2022-10-21T23:57:56Z,1180000,-6.0,64.0,1,right,MISS C. Capela 6' turnaround Shot,[203991],1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,,,,,,,,,,,,,,,,,
120,PT03M08.00S,2022-10-21T23:57:49.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,13,16,2022-10-21T23:57:56Z,1190000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,119.0,,,,,,,,,,,,,,,,,
122,PT03M00.00S,2022-10-21T23:58:21.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1629631,90.88370565045992,32.1078431372549,1610612737,15,16,2022-10-21T23:58:26Z,1210000,-89.0,33.0,1,right,D. Hunter 9' pullup Jump Shot (8 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,9.55,Made,,,,,,,,,8.0,,,,,,,,,
123,PT02M43.00S,2022-10-21T23:58:39.2Z,1,REGULAR,2pt,Jump Shot,[],1630175,7.30946123521682,71.32352941176471,1610612753,15,18,2022-10-21T23:58:46Z,1220000,-107.0,16.0,1,left,C. Anthony 10' pullup Jump Shot (2 PTS),[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Left,10.78,Made,,,,,,,,,2.0,,,,,,,,,
124,PT02M43.00S,2022-10-21T23:58:46.1Z,1,REGULAR,foul,personal,['1freethrow'],1629027,,,1610612753,15,18,2022-10-22T00:01:58Z,1230000,,,0,,T. Young shooting personal FOUL (1 PF) (Anthony 1 FT),"[1629027, 1630175]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,Mid-Range,8-16 Left,,,,,,,,,2534.0,,,,,,1.0,0.0,Anthony,1630175.0,,
126,PT02M43.00S,2022-10-21T23:58:54.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,15,18,2022-10-21T23:58:55Z,1250000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M43.00S,2022-10-22T00:01:59.6Z,1,REGULAR,freethrow,1 of 1,[],1630175,,,1610612753,15,19,2022-10-22T00:01:59Z,1260000,,,0,,C. Anthony Free Throw 1 of 1 (3 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
128,PT02M29.00S,2022-10-22T00:02:14.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,92.46057818659659,49.754901960784316,1610612737,17,19,2022-10-22T00:02:20Z,1270000,-1.0,18.0,1,right,C. Capela DUNK (2 PTS) (T. Young 4 AST),"[203991, 1629027]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,2.0,T. Young,1629027.0,4.0,,,,,,
130,PT02M08.00S,2022-10-22T00:02:35.6Z,1,REGULAR,2pt,Jump Shot,[],1628964,27.283180026281208,59.55882352941176,1610612753,17,19,2022-10-22T00:02:41Z,1290000,-48.0,204.0,1,left,MISS M. Bamba 20' Jump Shot,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Mid-Range,16-24 Center,20.95,Missed,,,,,,,,,,,,,,,,,,
131,PT02M04.00S,2022-10-22T00:02:39.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,17,19,2022-10-22T00:02:39Z,1300000,,,0,,D. Hunter REBOUND (Off:0 Def:4),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,,,130.0,4.0,4.0,0.0,,,,,,,,,,,,,,
132,PT01M53.00S,2022-10-22T00:02:49.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,71.56701708278581,21.323529411764707,1610612737,17,19,2022-10-22T00:02:56Z,1310000,-143.0,215.0,1,right,MISS T. Young 25' step back 3PT,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
133,PT01M50.00S,2022-10-22T00:02:52.7Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,17,19,2022-10-22T00:02:56Z,1320000,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,132.0,1.0,0.0,1.0,,,,,,,,,,,,,,
134,PT01M41.00S,2022-10-22T00:03:02.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630552,90.75229960578186,36.27450980392157,1610612737,17,19,2022-10-22T00:03:08Z,1330000,-69.0,34.0,1,right,MISS J. Johnson 7' turnaround fadeaway Shot,[1630552],1610612737.0,ATL,turnaround fadeaway,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
135,PT01M39.00S,2022-10-22T00:03:04.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,17,19,2022-10-22T00:03:08Z,1340000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,,,134.0,1.0,1.0,0.0,,,,,,,,,,,,,,
136,PT01M36.00S,2022-10-22T00:03:08.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630175,17.0335085413929,57.107843137254896,1610612753,17,21,2022-10-22T00:04:27Z,1350000,-36.0,108.0,1,left,C. Anthony 11' driving floating Jump Shot (5 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,11.33,Made,,,,,,,,,5.0,,,,,,,,,
137,PT01M36.00S,2022-10-22T00:03:15.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629027,,,1610612753,17,21,2022-10-22T00:03:43Z,1360000,,,0,,T. Young shooting personal FOUL (2 PF) (Anthony 1 FT),"[1629027, 1630175]",1610612737.0,ATL,shooting,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1628171.0,,,,,,2.0,0.0,Anthony,1630175.0,,
139,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,out,[],1629631,,,1610612753,17,21,2022-10-22T00:03:41Z,1380000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,17,21,2022-10-22T00:03:41Z,1390000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,out,[],203082,,,1610612753,17,21,2022-10-22T00:03:41Z,1400000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,in,[],1628988,,,1610612753,17,21,2022-10-22T00:03:41Z,1410000,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,in,[],1629626,,,1610612753,17,21,2022-10-22T00:03:41Z,1420000,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M36.00S,2022-10-22T00:03:22.5Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,17,21,2022-10-22T00:03:41Z,1430000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M36.00S,2022-10-22T00:03:44.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630175,,,1610612753,17,22,2022-10-22T00:03:44Z,1440000,,,0,,C. Anthony Free Throw 1 of 1 (6 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,Made,,,,,,,,,6.0,,,,,,,,,
146,PT01M23.00S,2022-10-22T00:03:58.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203991,91.80354796320631,49.26470588235294,1610612737,19,22,2022-10-22T00:04:07Z,1450000,-4.0,25.0,1,right,C. Capela alley-oop DUNK (4 PTS) (T. Young 5 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,2.48,Made,,,,,,,,,4.0,T. Young,1629027.0,5.0,,,,,,
148,PT01M04.00S,2022-10-22T00:04:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,18.084756898817346,53.67647058823529,1610612753,19,24,2022-10-22T00:05:23Z,1470000,-18.0,117.0,1,left,C. Anthony 11' driving floating bank Jump Shot (8 PTS),[1630175],1610612753.0,ORL,driving floating bank,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,11.89,Made,,,,,,,,,8.0,,,,,,,,,
149,PT00M52.70S,2022-10-22T00:04:28.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,65.91655716162943,44.36274509803921,1610612737,19,24,2022-10-22T00:06:15Z,1480000,-28.0,268.0,1,right,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
150,PT00M49.40S,2022-10-22T00:04:32.1Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,19,24,2022-10-22T00:04:34Z,1490000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Center,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT00M36.40S,2022-10-22T00:04:46.1Z,1,REGULAR,3pt,Jump Shot,[],1628964,31.61957950065703,43.38235294117647,1610612753,19,27,2022-10-22T00:04:52Z,1500000,33.0,245.0,1,left,M. Bamba 24' 3PT  (3 PTS) (C. Anthony 1 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Center,24.69,Made,,,,,,,,,3.0,C. Anthony,1630175.0,1.0,,,,,,
153,PT00M30.90S,2022-10-22T00:04:57.5Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,19,27,2022-10-22T00:05:06Z,1520000,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,,,,203592.0,1.0,,,,,,,,,,
154,PT00M13.70S,2022-10-22T00:05:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,27.808804204993432,75.24509803921569,1610612753,19,27,2022-10-22T00:05:33Z,1530000,-126.0,209.0,1,left,MISS M. Bamba 24' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,24.41,Missed,,,,,,,,,,,,,,,,,,
155,PT00M09.70S,2022-10-22T00:05:30.2Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612737,19,27,2022-10-22T00:05:30Z,1540000,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Left Center,,,154.0,1.0,1.0,0.0,,,,,,,,,,,,,,
156,PT00M05.00S,2022-10-22T00:05:37.2Z,1,REGULAR,foul,personal,[],1630181,,,1610612737,19,27,2022-10-22T00:05:46Z,1550000,,,0,,R. Hampton personal FOUL (1 PF),"[1630181, 1629027]",1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Center,,,,,,,,,203592.0,,,,,,1.0,0.0,Young,1629027.0,,
158,PT00M00.80S,2022-10-22T00:06:04.5Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,19,27,2022-10-22T00:06:13Z,1570000,,,0,,T. Young bad pass out-of-bounds TURNOVER (2 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,,,203592.0,2.0,,,,,,,,,,
159,PT00M00.00S,2022-10-22T00:06:14.8Z,1,REGULAR,period,end,[],0,,,1610612753,19,27,2022-10-22T00:06:14Z,1580000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-10-22T00:08:30.5Z,2,REGULAR,substitution,out,['startperiod'],1629027,,,1610612753,19,27,2022-10-22T00:08:53Z,1590000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2022-10-22T00:08:30.5Z,2,REGULAR,substitution,out,['startperiod'],203991,,,1610612753,19,27,2022-10-22T00:08:53Z,1600000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-10-22T00:08:30.5Z,2,REGULAR,substitution,in,['startperiod'],1630168,,,1610612753,19,27,2022-10-22T00:08:53Z,1610000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-10-22T00:08:30.5Z,2,REGULAR,substitution,in,['startperiod'],1627749,,,1610612753,19,27,2022-10-22T00:08:53Z,1620000,,,0,,SUB in: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-10-22T00:09:08.2Z,2,REGULAR,period,start,[],0,,,1610612737,19,27,2022-10-22T00:09:08Z,1630000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2022-10-22T00:09:09.1Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612737,19,27,2022-10-22T00:09:21Z,1640000,,,0,,TEAM delay-of-game VIOLATION,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,203592.0,,,,,,,,,,,
166,PT11M43.00S,2022-10-22T00:09:24.1Z,2,REGULAR,2pt,Jump Shot,[],1627749,78.79434954007884,48.28431372549019,1610612737,19,27,2022-10-22T00:09:31Z,1650000,-9.0,147.0,1,right,MISS D. Murray 14' turnaround Shot,[1627749],1610612737.0,ATL,turnaround,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,14.71,Missed,,,,,,,,,,,,,,,,,,
167,PT11M39.00S,2022-10-22T00:09:28.1Z,2,REGULAR,rebound,defensive,[],1628964,,,1610612753,19,27,2022-10-22T00:12:39Z,1660000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Mid-Range,8-16 Center,,,166.0,2.0,2.0,0.0,,,,,,,,,,,,,,
