actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
85,PT05M27.00S,2022-10-19T23:54:19.0Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,14,16,2022-10-19T23:54:25Z,850000,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2022-10-19T23:54:41.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629631,91.67214191852825,54.90196078431373,1610612737,16,16,2022-10-19T23:54:47Z,860000,25.0,26.0,1,right,D. Hunter driving Layup (6 PTS) (T. Young 4 AST),"[1629631, 1629027]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,3.56,Made,6.0,,,,,,,T. Young,1629027.0,4.0,,,,,,,,
88,PT04M49.00S,2022-10-19T23:55:06.5Z,1,REGULAR,2pt,Jump Shot,[],1628981,25.706307490144546,45.83333333333333,1610612745,16,18,2022-10-19T23:55:12Z,880000,21.0,189.0,1,left,B. Fernando 19' pullup Jump Shot (4 PTS),[1628981],1610612745.0,HOU,pullup,,,Fernando,B. Fernando,,,,,Mid-Range,16-24 Center,19.02,Made,4.0,,,,,,,,,,,,,,,,,
89,PT04M39.00S,2022-10-19T23:55:18.2Z,1,REGULAR,foul,offensive,[],203991,,,1610612737,16,18,2022-10-19T23:55:32Z,890000,,,0,,C. Capela off-the-ball offensive FOUL (1 PF),"[203991, 1628981]",1610612737.0,ATL,off-the-ball,,,Capela,C. Capela,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Fernando,1628981.0,,,
91,PT04M39.00S,2022-10-19T23:55:18.2Z,1,REGULAR,turnover,offensive foul,[],203991,,,1610612737,16,18,2022-10-19T23:55:18Z,910000,,,0,,C. Capela offensive foul TURNOVER (1 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2530.0,,,,,1.0,,
92,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,out,[],1627749,,,1610612745,16,18,2022-10-19T23:55:41Z,920000,,,0,,SUB out: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,out,[],203991,,,1610612745,16,18,2022-10-19T23:55:41Z,930000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,out,[],1631095,,,1610612745,16,18,2022-10-19T23:55:41Z,940000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,in,[],1628988,,,1610612745,16,18,2022-10-19T23:55:41Z,950000,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,in,[],1630168,,,1610612745,16,18,2022-10-19T23:55:41Z,960000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,16,18,2022-10-19T23:55:41Z,970000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,out,[],1629631,,,1610612745,16,18,2022-10-19T23:55:49Z,980000,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M39.00S,2022-10-19T23:55:31.4Z,1,REGULAR,substitution,in,[],203200,,,1610612745,16,18,2022-10-19T23:55:49Z,990000,,,0,,SUB in: J. Holiday,[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M25.00S,2022-10-19T23:56:12.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630224,17.69053876478318,48.03921568627451,1610612745,16,18,2022-10-19T23:56:20Z,1000000,10.0,114.0,1,left,MISS J. Green 11' driving floating Shot,[1630224],1610612745.0,HOU,driving floating,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,11.42,Missed,,,,,,,,,,,,,,,,,,
101,PT04M20.00S,2022-10-19T23:56:17.8Z,1,REGULAR,rebound,defensive,[],203200,,,1610612737,16,18,2022-10-19T23:56:23Z,1010000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,100.0,1.0,1.0,0.0,,,,,,,,,,,,,
102,PT04M15.00S,2022-10-19T23:56:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1630224,,,1610612737,16,18,2022-10-19T23:56:45Z,1020000,,,0,,J. Green shooting personal FOUL (2 PF) (Johnson 2 FT),"[1630224, 1630552]",1610612745.0,HOU,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,2.0,0.0,Johnson,1630552.0,,,
104,PT04M15.00S,2022-10-19T23:56:48.6Z,1,REGULAR,freethrow,1 of 2,[],1630552,,,1610612737,16,18,2022-10-20T00:05:11Z,1045000,,,0,,MISS J. Johnson Free Throw 1 of 2,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
105,PT04M15.00S,2022-10-19T23:56:48.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,16,18,2022-10-20T00:05:11Z,1052500,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,
108,PT04M15.00S,2022-10-19T23:56:48.6Z,1,REGULAR,freethrow,2 of 2,[],1630552,,,1610612737,17,18,2022-10-20T00:05:11Z,1056250,,,0,,J. Johnson Free Throw 2 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
106,PT04M15.00S,2022-10-19T23:56:51.7Z,1,REGULAR,substitution,out,[],1628981,,,1610612745,17,18,2022-10-20T00:05:11Z,1060000,,,0,,SUB out: B. Fernando,[1628981],1610612745.0,HOU,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M15.00S,2022-10-19T23:56:51.7Z,1,REGULAR,substitution,in,[],1630578,,,1610612745,17,18,2022-10-20T00:05:11Z,1070000,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M00.00S,2022-10-19T23:57:27.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,9.806176084099869,51.71568627450981,1610612745,17,18,2022-10-19T23:57:42Z,1075000,-9.0,40.0,1,left,MISS A. Sengun cutting Layup - blocked,"[1630578, 1629027]",1610612745.0,HOU,cutting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,Young,1629027.0,,,,,,,,,,,
110,PT04M00.00S,2022-10-19T23:57:27.4Z,1,REGULAR,block,,[],1629027,,,1610612745,17,18,2022-10-19T23:57:31Z,1077500,,,0,,T. Young BLOCK (1 BLK),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
111,PT03M59.00S,2022-10-19T23:57:28.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,17,18,2022-10-19T23:57:42Z,1078750,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,109.0,,,,,,,,,,,,,,,,
113,PT03M54.00S,2022-10-19T23:57:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1631106,,,1610612737,17,18,2022-10-19T23:58:05Z,1130000,,,0,,T. Eason shooting personal FOUL (1 PF) (Okongwu 2 FT),"[1631106, 1630168]",1610612745.0,HOU,shooting,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Okongwu,1630168.0,,,
115,PT03M54.00S,2022-10-19T23:58:06.3Z,1,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,17,18,2022-10-19T23:59:41Z,1150000,,,0,,MISS O. Okongwu Free Throw 1 of 2,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
116,PT03M54.00S,2022-10-19T23:58:06.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,17,18,2022-10-19T23:59:41Z,1160000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,
117,PT03M54.00S,2022-10-19T23:58:06.3Z,1,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,18,18,2022-10-19T23:59:41Z,1170000,,,0,,O. Okongwu Free Throw 2 of 2 (1 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
118,PT03M49.00S,2022-10-19T23:58:23.0Z,1,REGULAR,turnover,lost ball,[],1629645,,,1610612745,18,18,2022-10-19T23:58:28Z,1180000,,,0,,K. Porter Jr. lost ball TURNOVER (2 TO),"[1629645, 1628988]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,2.0,Holiday,1628988.0
119,PT03M49.00S,2022-10-19T23:58:23.0Z,1,REGULAR,steal,,[],1628988,,,1610612737,18,18,2022-10-19T23:58:25Z,1190000,,,0,,A. Holiday STEAL (1 STL),[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
120,PT03M45.00S,2022-10-19T23:58:26.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628988,92.72339027595268,48.77450980392157,1610612737,20,18,2022-10-19T23:58:34Z,1200000,-6.0,16.0,1,right,A. Holiday driving Layup (2 PTS),[1628988],1610612737.0,ATL,driving,,,Holiday,A. Holiday,,,,,Restricted Area,0-8 Center,1.7,Made,2.0,,,,,,,,,,,,,,,,,
121,PT03M31.00S,2022-10-19T23:58:39.9Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,20,18,2022-10-19T23:58:44Z,1210000,,,0,,J. Green bad pass TURNOVER (2 TO),"[1630224, 1628988]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,Holiday,1628988.0
122,PT03M31.00S,2022-10-19T23:58:39.9Z,1,REGULAR,steal,,[],1628988,,,1610612737,20,18,2022-10-19T23:58:42Z,1220000,,,0,,A. Holiday STEAL (2 STL),[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
123,PT03M29.00S,2022-10-19T23:58:46.2Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,20,18,2022-10-19T23:58:57Z,1230000,,,0,,J. Johnson lost ball out-of-bounds TURNOVER (1 TO),[1630552],1610612737.0,ATL,lost ball,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628168.0,,,,,1.0,,
124,PT03M12.00S,2022-10-19T23:59:21.5Z,1,REGULAR,foul,personal,[],1630168,,,1610612745,20,18,2022-10-19T23:59:27Z,1240000,,,0,,O. Okongwu personal FOUL (1 PF),"[1630168, 1630578]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628168.0,1.0,0.0,Sengun,1630578.0,,,
127,PT02M56.00S,2022-10-20T00:00:05.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630224,24.64889947437582,74.77787990196079,1610612745,20,18,2022-10-20T00:13:14Z,1270000,-124.0,179.0,1,left,MISS J. Green 21' Jump Shot,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,21.79,Missed,,,,,,,,,,,,,,,,,,
128,PT02M53.00S,2022-10-20T00:00:08.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,20,18,2022-10-20T00:00:11Z,1280000,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Left Center,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,
129,PT02M44.00S,2022-10-20T00:00:20.7Z,1,REGULAR,2pt,Jump Shot,[],1629027,78.26872536136662,32.59803921568628,1610612737,22,18,2022-10-20T00:00:26Z,1290000,-87.0,152.0,1,right,T. Young 17' step back Jump Shot (4 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,17.5,Made,4.0,,,,,,,,,,,,,,,,,
130,PT02M44.00S,2022-10-20T00:00:26.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,22,18,2022-10-20T00:00:26Z,1300000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M44.00S,2022-10-20T00:02:38.4Z,1,REGULAR,substitution,out,[],1629645,,,1610612745,22,18,2022-10-20T00:03:00Z,1310000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M44.00S,2022-10-20T00:02:38.4Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,22,18,2022-10-20T00:03:00Z,1320000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M44.00S,2022-10-20T00:02:38.4Z,1,REGULAR,substitution,in,[],1629726,,,1610612745,22,18,2022-10-20T00:03:00Z,1330000,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M44.00S,2022-10-20T00:02:38.4Z,1,REGULAR,substitution,in,[],201569,,,1610612745,22,18,2022-10-20T00:03:00Z,1340000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M27.00S,2022-10-20T00:03:33.6Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,22,18,2022-10-20T00:03:38Z,1350000,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1629027]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Young,1629027.0
136,PT02M27.00S,2022-10-20T00:03:33.6Z,1,REGULAR,steal,,[],1629027,,,1610612737,22,18,2022-10-20T00:03:36Z,1360000,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
137,PT02M14.00S,2022-10-20T00:03:47.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630168,82.07950065703022,49.26470588235294,1610612737,24,18,2022-10-20T00:03:58Z,1370000,-4.0,116.0,1,right,O. Okongwu 11' bank Hook (3 PTS),[1630168],1610612737.0,ATL,bank,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,11.61,Made,3.0,,,,,,,,,,,,,,,,,
138,PT02M00.00S,2022-10-20T00:04:00.5Z,1,REGULAR,3pt,Jump Shot,[],201569,35.29894875164258,35.78431372549019,1610612745,24,18,2022-10-20T00:04:12Z,1380000,71.0,279.0,1,left,MISS E. Gordon 28' 3PT,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,28.82,Missed,,,,,,,,,,,,,,,,,,
139,PT01M56.00S,2022-10-20T00:04:04.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,24,18,2022-10-20T00:04:12Z,1390000,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,138.0,2.0,2.0,0.0,,,,,,,,,,,,,
140,PT01M47.00S,2022-10-20T00:04:14.8Z,1,REGULAR,3pt,Jump Shot,[],1629027,90.48948751642575,96.07843137254902,1610612737,24,18,2022-10-20T00:04:22Z,1400000,230.0,37.0,1,right,MISS T. Young pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Right Corner 3,24+ Right,23.33,Missed,,,,,,,,,,,,,,,,,,
141,PT01M44.00S,2022-10-20T00:04:17.8Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,18,2022-10-20T00:04:22Z,1410000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Right Corner 3,24+ Right,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,
142,PT01M35.00S,2022-10-20T00:04:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,5.338370565045992,48.03921568627451,1610612745,24,18,2022-10-20T00:04:42Z,1420000,10.0,-2.0,1,left,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
143,PT01M30.00S,2022-10-20T00:04:31.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,24,18,2022-10-20T00:06:52Z,1430000,,,0,,O. Okongwu REBOUND (Off:0 Def:3),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,142.0,3.0,3.0,0.0,,,,,,,,,,,,,
144,PT01M30.00S,2022-10-20T00:04:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1630231,,,1610612737,24,18,2022-10-20T00:04:59Z,1440000,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Johnson 2 FT),"[1630231, 1630552]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Johnson,1630552.0,,,
146,PT01M30.00S,2022-10-20T00:05:00.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630552,,,1610612737,25,18,2022-10-20T00:05:00Z,1460000,,,0,,J. Johnson Free Throw 1 of 2 (2 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
147,PT01M30.00S,2022-10-20T00:05:12.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630552,,,1610612737,26,18,2022-10-20T00:05:12Z,1470000,,,0,,J. Johnson Free Throw 2 of 2 (3 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
148,PT01M12.00S,2022-10-20T00:05:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,5.469776609724048,49.01960784313725,1610612745,26,18,2022-10-20T00:05:38Z,1480000,5.0,-1.0,1,left,MISS K. Martin Jr. cutting Layup - blocked,"[1630231, 203200]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,0.5,Missed,,,,,,Holiday,203200.0,,,,,,,,,,,
149,PT01M12.00S,2022-10-20T00:05:31.1Z,1,REGULAR,block,,[],203200,,,1610612745,26,18,2022-10-20T00:05:34Z,1490000,,,0,,J. Holiday BLOCK (1 BLK),[203200],1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
150,PT01M09.00S,2022-10-20T00:05:34.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,26,18,2022-10-20T00:05:38Z,1500000,,,0,,O. Okongwu REBOUND (Off:0 Def:4),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,148.0,4.0,4.0,0.0,,,,,,,,,,,,,
151,PT01M07.00S,2022-10-20T00:05:36.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,68.15045992115637,30.392156862745097,1610612737,26,18,2022-10-20T00:05:44Z,1510000,-98.0,247.0,1,right,MISS T. Young 26' running pullup 3PT,[1629027],1610612737.0,ATL,running pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
152,PT01M03.00S,2022-10-20T00:05:40.3Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,26,18,2022-10-20T00:05:44Z,1520000,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Above the Break 3,24+ Left Center,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,
153,PT00M59.10S,2022-10-20T00:05:47.4Z,1,REGULAR,foul,personal,[],1630552,,,1610612745,26,18,2022-10-20T00:05:55Z,1530000,,,0,,J. Johnson personal FOUL (1 PF),"[1630552, 201569]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Gordon,201569.0,,,
155,PT00M48.00S,2022-10-20T00:06:16.8Z,1,REGULAR,3pt,Jump Shot,[],1629726,27.54599211563732,81.37254901960785,1610612745,26,18,2022-10-20T00:06:21Z,1550000,-157.0,206.0,1,left,MISS G. Mathews 25' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
156,PT00M44.70S,2022-10-20T00:06:20.1Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,26,18,2022-10-20T00:06:21Z,1560000,,,0,,O. Okongwu REBOUND (Off:0 Def:5),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,155.0,5.0,5.0,0.0,,,,,,,,,,,,,
157,PT00M30.50S,2022-10-20T00:06:34.4Z,1,REGULAR,2pt,Jump Shot,[],1629027,70.25295663600527,39.950980392156865,1610612737,26,18,2022-10-20T00:06:40Z,1570000,-50.0,227.0,1,right,MISS T. Young 23' step back Shot,[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Mid-Range,16-24 Center,23.26,Missed,,,,,,,,,,,,,,,,,,
158,PT00M27.80S,2022-10-20T00:06:37.0Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,26,18,2022-10-20T00:06:37Z,1580000,,,0,,T. Eason REBOUND (Off:0 Def:2),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Mid-Range,16-24 Center,,,,157.0,2.0,2.0,0.0,,,,,,,,,,,,,
159,PT00M09.80S,2022-10-20T00:06:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630231,28.728646517739815,73.2843137254902,1610612745,26,18,2022-10-20T00:07:00Z,1590000,-116.0,218.0,1,left,MISS K. Martin Jr. 24' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
160,PT00M05.90S,2022-10-20T00:06:58.9Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,26,18,2022-10-20T00:06:58Z,1600000,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,159.0,2.0,1.0,1.0,,,,,,,,,,,,,
161,PT00M05.10S,2022-10-20T00:07:02.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203200,,,1610612745,26,18,2022-10-20T00:07:32Z,1610000,,,0,,J. Holiday personal FOUL (1 PF) (Sengun 2 FT),"[203200, 1630578]",1610612737.0,ATL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2530.0,1.0,0.0,Sengun,1630578.0,,,
163,PT00M05.10S,2022-10-20T00:07:34.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630578,,,1610612745,26,19,2022-10-20T00:07:34Z,1630000,,,0,,A. Sengun Free Throw 1 of 2 (1 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
164,PT00M05.10S,2022-10-20T00:07:53.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630578,,,1610612745,26,20,2022-10-20T00:07:53Z,1640000,,,0,,A. Sengun Free Throw 2 of 2 (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
165,PT00M00.00S,2022-10-20T00:08:02.2Z,1,REGULAR,period,end,[],0,,,1610612737,26,20,2022-10-20T00:08:02Z,1650000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2022-10-20T00:10:21.4Z,2,REGULAR,substitution,out,['startperiod'],1629027,,,1610612737,26,20,2022-10-20T00:10:43Z,1660000,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2022-10-20T00:10:21.4Z,2,REGULAR,substitution,out,['startperiod'],1630231,,,1610612737,26,20,2022-10-20T00:10:43Z,1670000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2022-10-20T00:10:21.4Z,2,REGULAR,substitution,in,['startperiod'],1627749,,,1610612737,26,20,2022-10-20T00:10:43Z,1680000,,,0,,SUB in: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
