actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
90,PT04M41.00S,2023-01-09T00:25:33.3Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630198,,,1610612742,18,26,2023-01-09T00:26:27Z,900000,False,,,0,,I. Joe shooting personal FOUL (2 PF) (Wood 1 FT),"[1630198, 1626174]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,,202035.0,,,,,,2.0,0.0,Wood,1626174.0,,,,
92,PT04M41.00S,2023-01-09T00:25:43.9Z,1,REGULAR,substitution,out,[],1629026,,,1610612742,18,26,2023-01-09T00:25:53Z,920000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M41.00S,2023-01-09T00:25:43.9Z,1,REGULAR,substitution,out,[],203493,,,1610612742,18,26,2023-01-09T00:25:53Z,930000,False,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M41.00S,2023-01-09T00:25:43.9Z,1,REGULAR,substitution,in,[],1630322,,,1610612742,18,26,2023-01-09T00:25:53Z,940000,False,,,0,,SUB in: L. Waters III,[1630322],1610612760.0,OKC,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M41.00S,2023-01-09T00:25:43.9Z,1,REGULAR,substitution,in,[],1628373,,,1610612742,18,26,2023-01-09T00:25:53Z,950000,False,,,0,,SUB in: F. Ntilikina,[1628373],1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M41.00S,2023-01-09T00:26:17.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1626174,,,1610612742,18,27,2023-01-09T00:26:17Z,960000,False,,,0,,C. Wood Free Throw 1 of 1 (10 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2023-01-09T00:26:32.5Z,1,REGULAR,foul,personal,['2freethrow'],1628373,,,1610612760,18,27,2023-01-09T00:26:39Z,970000,False,,,0,,F. Ntilikina shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1628373, 1628983]",1610612742.0,DAL,shooting,,,Ntilikina,F. Ntilikina,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,2530.0,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,
99,PT04M32.00S,2023-01-09T00:26:48.3Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,19,27,2023-01-09T00:26:48Z,990000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
100,PT04M32.00S,2023-01-09T00:27:02.5Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,20,27,2023-01-09T00:27:02Z,1000000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
101,PT04M21.00S,2023-01-09T00:27:23.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630647,,,1610612742,20,27,2023-01-09T00:27:33Z,1010000,False,,,0,,E. Omoruyi personal FOUL (1 PF) (Wood 2 FT),"[1630647, 1626174]",1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2530.0,,,,,,1.0,0.0,Wood,1626174.0,,,,
103,PT04M21.00S,2023-01-09T00:27:43.4Z,1,REGULAR,freethrow,1 of 2,[],1626174,,,1610612742,20,28,2023-01-09T00:28:04Z,1030000,False,,,0,,C. Wood Free Throw 1 of 2 (11 PTS),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
104,PT04M21.00S,2023-01-09T00:27:43.4Z,1,REGULAR,freethrow,2 of 2,[],1626174,,,1610612742,20,28,2023-01-09T00:28:04Z,1040000,False,,,0,,MISS C. Wood Free Throw 2 of 2,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
105,PT04M18.00S,2023-01-09T00:27:46.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,20,28,2023-01-09T00:28:04Z,1050000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,
106,PT04M07.00S,2023-01-09T00:28:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630647,6.1268068331143235,50.49019607843137,1610612760,20,28,2023-01-09T00:28:19Z,1060000,False,-2.0,5.0,1,left,MISS E. Omoruyi driving Layup,[1630647],1610612760.0,OKC,driving,,,Omoruyi,E. Omoruyi,,,,,Restricted Area,0-8 Center,0.57,Missed,,,,,,,,,,,,,,,,,,
107,PT04M05.00S,2023-01-09T00:28:16.6Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,20,28,2023-01-09T00:28:19Z,1070000,False,,,0,,C. Wood REBOUND (Off:1 Def:3),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,106.0,4.0,3.0,1.0,,,,,,,,,
108,PT03M56.00S,2023-01-09T00:28:26.2Z,1,REGULAR,3pt,Jump Shot,[],1630702,80.6340341655716,5.637254901960785,1610612742,20,31,2023-01-09T00:28:31Z,1080000,False,-222.0,130.0,1,right,J. Hardy 25' 3PT  (3 PTS) (S. Dinwiddie 2 AST),"[1630702, 203915]",1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,Above the Break 3,24+ Left Center,25.68,Made,3.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,,
110,PT03M54.00S,2023-01-09T00:28:34.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,20,31,2023-01-09T00:28:34Z,1100000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M54.00S,2023-01-09T00:30:56.3Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,20,31,2023-01-09T00:31:13Z,1110000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M54.00S,2023-01-09T00:30:56.3Z,1,REGULAR,substitution,out,[],1630647,,,1610612760,20,31,2023-01-09T00:31:13Z,1120000,False,,,0,,SUB out: E. Omoruyi,[1630647],1610612760.0,OKC,,,,Omoruyi,E. Omoruyi,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M54.00S,2023-01-09T00:30:56.3Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,20,31,2023-01-09T00:31:13Z,1130000,False,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M54.00S,2023-01-09T00:30:56.3Z,1,REGULAR,substitution,in,[],203488,,,1610612760,20,31,2023-01-09T00:31:13Z,1140000,False,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M41.00S,2023-01-09T00:31:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,14.011169513797633,43.627450980392155,1610612760,20,31,2023-01-09T00:31:45Z,1150000,False,32.0,79.0,1,left,MISS S. Gilgeous-Alexander 8' fadeaway Shot,[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,8.54,Missed,,,,,,,,,,,,,,,,,,
116,PT03M38.00S,2023-01-09T00:31:38.2Z,1,REGULAR,rebound,defensive,[],203501,,,1610612742,20,31,2023-01-09T00:31:45Z,1160000,False,,,0,,T. Hardaway Jr. REBOUND (Off:0 Def:2),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,115.0,2.0,2.0,0.0,,,,,,,,,
117,PT03M26.00S,2023-01-09T00:31:49.8Z,1,REGULAR,3pt,Jump Shot,[],1626174,63.81406044678055,44.36274509803921,1610612742,20,31,2023-01-09T00:31:54Z,1170000,False,-28.0,288.0,1,right,MISS C. Wood 28' 3PT,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Center,28.9,Missed,,,,,,,,,,,,,,,,,,
118,PT03M23.00S,2023-01-09T00:31:52.8Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,20,31,2023-01-09T00:31:54Z,1180000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Center,,,,,,,,117.0,1.0,1.0,0.0,,,,,,,,,
119,PT03M15.00S,2023-01-09T00:32:01.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.258212877792378,44.6078431372549,1610612760,20,31,2023-01-09T00:32:19Z,1190000,False,27.0,6.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,,,,,,,,,,,,,,,
120,PT03M15.00S,2023-01-09T00:32:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,20,31,2023-01-09T00:32:09Z,1200000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,119.0,,,,,,,,,,,,
121,PT03M15.00S,2023-01-09T00:32:10.3Z,1,REGULAR,foul,personal,[],203915,,,1610612760,20,31,2023-01-09T00:32:15Z,1210000,False,,,0,,S. Dinwiddie loose ball personal FOUL (1 PF),"[203915, 203488]",1610612742.0,DAL,loose ball,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,1627963.0,,,,,,1.0,0.0,Muscala,203488.0,,,,
123,PT03M15.00S,2023-01-09T00:32:17.0Z,1,REGULAR,substitution,out,[],203915,,,1610612760,20,31,2023-01-09T00:32:20Z,1230000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M15.00S,2023-01-09T00:32:17.0Z,1,REGULAR,substitution,in,[],1630593,,,1610612760,20,31,2023-01-09T00:32:20Z,1240000,False,,,0,,SUB in: M. Wright IV,[1630593],1610612742.0,DAL,,,,Wright IV,M. Wright IV,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M11.00S,2023-01-09T00:32:30.9Z,1,REGULAR,turnover,traveling,[],1630544,,,1610612760,20,31,2023-01-09T00:32:38Z,1250000,False,,,0,,T. Mann traveling TURNOVER (1 TO),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Left Center,,,,,,,1627963.0,,,,,1.0,,,,,,,,
126,PT03M00.00S,2023-01-09T00:32:52.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630593,91.27792378449409,54.90196078431373,1610612742,20,31,2023-01-09T00:32:57Z,1260000,False,25.0,29.0,1,right,MISS M. Wright IV driving Layup - blocked,"[1630593, 203488]",1610612742.0,DAL,driving,,,Wright IV,M. Wright IV,,,,,Restricted Area,0-8 Center,3.83,Missed,,,,,,,,,,,,,,,,,Muscala,203488.0
127,PT03M00.00S,2023-01-09T00:32:52.7Z,1,REGULAR,block,,[],203488,,,1610612742,20,31,2023-01-09T00:32:54Z,1270000,False,,,0,,M. Muscala BLOCK (1 BLK),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
128,PT02M59.00S,2023-01-09T00:32:53.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,20,31,2023-01-09T00:32:57Z,1280000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,126.0,2.0,2.0,0.0,,,,,,,,,
129,PT02M59.00S,2023-01-09T00:33:01.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630593,,,1610612760,20,31,2023-01-09T00:33:14Z,1290000,False,,,0,,M. Wright IV personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630593, 1628983]",1610612742.0,DAL,,,,Wright IV,M. Wright IV,,,,,Above the Break 3,24+ Right Center,,,,,,,1627963.0,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,
131,PT02M59.00S,2023-01-09T00:33:23.1Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,20,31,2023-01-09T00:33:23Z,1310000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
132,PT02M59.00S,2023-01-09T00:33:23.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,20,31,2023-01-09T00:33:23Z,1320000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,
133,PT02M59.00S,2023-01-09T00:33:23.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,20,31,2023-01-09T00:33:39Z,1330000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
134,PT02M55.00S,2023-01-09T00:33:27.1Z,1,REGULAR,rebound,offensive,[],1630322,,,1610612760,20,31,2023-01-09T00:33:39Z,1340000,False,,,0,,L. Waters III REBOUND (Off:1 Def:0),[1630322],1610612760.0,OKC,,,,Waters III,L. Waters III,,,,,,,,,,,,,,133.0,1.0,0.0,1.0,,,,,,,,,
135,PT02M55.00S,2023-01-09T00:33:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630322,5.590000152587891,50.0,1610612760,22,31,2023-01-09T00:33:37Z,1350000,False,0.0,0.0,1,left,L. Waters III tip Layup (2 PTS),[1630322],1610612760.0,OKC,tip,,,Waters III,L. Waters III,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
136,PT02M40.00S,2023-01-09T00:33:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,91.14651773981603,63.48039215686274,1610612742,22,31,2023-01-09T00:33:57Z,1360000,False,67.0,31.0,1,right,MISS T. Hardaway Jr. 7' turnaround Shot,[203501],1610612742.0,DAL,turnaround,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
137,PT02M39.00S,2023-01-09T00:33:53.0Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,22,31,2023-01-09T00:33:57Z,1370000,False,,,0,,I. Joe REBOUND (Off:0 Def:2),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,136.0,2.0,2.0,0.0,,,,,,,,,
138,PT02M32.00S,2023-01-09T00:34:00.6Z,1,REGULAR,3pt,Jump Shot,[],203488,31.09395532194481,68.38235294117648,1610612760,25,31,2023-01-09T00:34:04Z,1380000,False,-92.0,240.0,1,left,M. Muscala 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[203488, 1628983]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Left Center,25.68,Made,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,,
140,PT02M15.00S,2023-01-09T00:34:22.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203488,,,1610612742,25,31,2023-01-09T00:34:32Z,1400000,False,,,0,,M. Muscala personal FOUL (1 PF) (Hardy 2 FT),"[203488, 1630702]",1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,Mid-Range,16-24 Left Center,,,,,,,202035.0,,,,,,1.0,0.0,Hardy,1630702.0,,,,
142,PT02M15.00S,2023-01-09T00:34:43.9Z,1,REGULAR,freethrow,1 of 2,[],1630702,,,1610612742,25,32,2023-01-09T00:34:43Z,1420000,False,,,0,,J. Hardy Free Throw 1 of 2 (4 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
143,PT02M15.00S,2023-01-09T00:34:43.9Z,1,REGULAR,freethrow,2 of 2,[],1630702,,,1610612742,25,32,2023-01-09T00:35:06Z,1430000,False,,,0,,MISS J. Hardy Free Throw 2 of 2,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
144,PT02M13.00S,2023-01-09T00:34:45.9Z,1,REGULAR,rebound,defensive,[],203488,,,1610612760,25,32,2023-01-09T00:35:06Z,1440000,False,,,0,,M. Muscala REBOUND (Off:0 Def:1),[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,
145,PT02M07.00S,2023-01-09T00:35:04.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628373,,,1610612760,25,32,2023-01-09T00:35:28Z,1450000,False,,,0,,F. Ntilikina shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1628373, 1628983]",1610612742.0,DAL,shooting,,,Ntilikina,F. Ntilikina,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,
147,PT02M07.00S,2023-01-09T00:35:29.5Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,26,32,2023-01-09T00:35:29Z,1470000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
148,PT02M07.00S,2023-01-09T00:35:39.3Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,27,32,2023-01-09T00:35:39Z,1480000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (6 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
149,PT01M54.00S,2023-01-09T00:35:53.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,92.46057818659659,43.627450980392155,1610612742,27,34,2023-01-09T00:36:01Z,1490000,False,-32.0,18.0,1,right,C. Wood Layup (13 PTS) (T. Hardaway Jr. 2 AST),"[1626174, 203501]",1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,3.68,Made,13.0,T. Hardaway Jr.,203501.0,2.0,,,,,,,,,,,,,,
151,PT01M30.00S,2023-01-09T00:36:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.389618922470433,48.03921568627451,1610612760,29,34,2023-01-09T00:36:26Z,1510000,False,10.0,8.0,1,left,S. Gilgeous-Alexander driving finger roll Layup (8 PTS) (I. Joe 1 AST),"[1628983, 1630198]",1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.24,Made,8.0,I. Joe,1630198.0,1.0,,,,,,,,,,,,,,
153,PT01M20.00S,2023-01-09T00:36:31.0Z,1,REGULAR,turnover,out-of-bounds,[],1630702,,,1610612742,29,34,2023-01-09T00:36:41Z,1530000,False,,,0,,J. Hardy lost ball out-of-bounds TURNOVER (1 TO),[1630702],1610612742.0,DAL,lost ball,,,Hardy,J. Hardy,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202035.0,,,,,1.0,,,,,,,,
154,PT01M05.00S,2023-01-09T00:36:54.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630544,21.23850197109067,61.51960784313726,1610612760,31,34,2023-01-09T00:37:02Z,1540000,False,-58.0,147.0,1,left,T. Mann 15' step back Jump Shot (2 PTS),[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,Mid-Range,8-16 Center,15.8,Made,2.0,,,,,,,,,,,,,,,,,
155,PT00M49.80S,2023-01-09T00:37:10.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203501,92.85479632063075,54.65686274509803,1610612742,31,34,2023-01-09T00:37:16Z,1550000,False,23.0,15.0,1,right,MISS T. Hardaway Jr. driving finger roll Layup,[203501],1610612742.0,DAL,driving finger roll,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
156,PT00M47.00S,2023-01-09T00:37:13.4Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,31,34,2023-01-09T00:37:16Z,1560000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,
157,PT00M33.50S,2023-01-09T00:37:26.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,4.02431011826544,76.7156862745098,1610612760,31,34,2023-01-09T00:37:33Z,1570000,False,-134.0,-15.0,1,left,MISS S. Gilgeous-Alexander 13' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,13.44,Missed,,,,,,,,,,,,,,,,,,
158,PT00M30.30S,2023-01-09T00:37:30.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612742,31,34,2023-01-09T00:37:33Z,1580000,False,,,0,,C. Wood REBOUND (Off:1 Def:4),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Mid-Range,8-16 Left,,,,,,,,157.0,5.0,4.0,1.0,,,,,,,,,
159,PT00M13.00S,2023-01-09T00:37:47.2Z,1,REGULAR,3pt,Jump Shot,[],203501,94.69448094612353,96.56862745098039,1610612742,31,34,2023-01-09T00:37:53Z,1590000,False,233.0,-3.0,1,right,MISS T. Hardaway Jr. 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
160,PT00M10.50S,2023-01-09T00:37:49.9Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,31,34,2023-01-09T00:37:49Z,1600000,False,,,0,,I. Joe REBOUND (Off:0 Def:3),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Right Corner 3,24+ Right,,,,,,,,159.0,3.0,3.0,0.0,,,,,,,,,
161,PT00M03.50S,2023-01-09T00:37:59.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630593,,,1610612760,31,34,2023-01-09T00:38:23Z,1610000,False,,,0,,M. Wright IV shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1630593, 1628983]",1610612742.0,DAL,shooting,,,Wright IV,M. Wright IV,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2530.0,,,,,,2.0,0.0,Gilgeous-Alexander,1628983.0,,,,
163,PT00M03.50S,2023-01-09T00:38:23.9Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,32,34,2023-01-09T00:38:23Z,1630000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (9 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
164,PT00M03.50S,2023-01-09T00:38:24.4Z,1,REGULAR,substitution,out,[],1630198,,,1610612760,32,34,2023-01-09T00:38:31Z,1640000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M03.50S,2023-01-09T00:38:24.4Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,32,34,2023-01-09T00:38:31Z,1650000,False,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M03.50S,2023-01-09T00:38:24.4Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,32,34,2023-01-09T00:38:31Z,1660000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M03.50S,2023-01-09T00:38:24.4Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,32,34,2023-01-09T00:38:31Z,1670000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M03.50S,2023-01-09T00:38:40.4Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,33,34,2023-01-09T00:38:40Z,1680000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (10 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
169,PT00M00.00S,2023-01-09T00:38:56.9Z,1,REGULAR,period,end,[],0,,,1610612742,33,34,2023-01-09T00:38:56Z,1690000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2023-01-09T00:41:13.7Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612742,33,34,2023-01-09T00:41:36Z,1700000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2023-01-09T00:41:13.7Z,2,REGULAR,substitution,out,['startperiod'],203488,,,1610612742,33,34,2023-01-09T00:41:36Z,1710000,False,,,0,,SUB out: M. Muscala,[203488],1610612760.0,OKC,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
