actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
183,PT00M43.60S,2023-02-16T01:42:30.5Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,34,17,2023-02-16T01:42:30Z,1830000,False,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (7 PTS),[1628983],1610612760.0,OKC,technical,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,7.0,,,,,,,,,,,,,
184,PT00M43.60S,2023-02-16T01:42:40.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203967,,,1610612760,35,17,2023-02-16T01:42:40Z,1840000,False,,,0,,D. Saric Free Throw 1 of 1 (5 PTS),[203967],1610612760.0,OKC,,,,,,,,,,Made,Saric,D. Saric,,,,,5.0,,,,,,,,,,,,,
185,PT00M36.00S,2023-02-16T01:42:54.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628983,,,1610612745,35,17,2023-02-16T01:43:01Z,1850000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF) (Christopher 2 FT),"[1628983, 1630528]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,203591.0,1.0,1.0,Christopher,1630528.0,,,,,,
187,PT00M36.00S,2023-02-16T01:43:18.1Z,1,REGULAR,freethrow,1 of 2,[],1630528,,,1610612745,35,17,2023-02-16T01:43:18Z,1870000,False,,,0,,MISS J. Christopher Free Throw 1 of 2,[1630528],1610612745.0,HOU,,,,,,,,,,Missed,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
188,PT00M36.00S,2023-02-16T01:43:18.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612745,35,17,2023-02-16T01:43:18Z,1880000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,187.0,,,,,,,,,,,,,,,,,
189,PT00M36.00S,2023-02-16T01:43:19.2Z,1,REGULAR,substitution,out,[],1630526,,,1610612745,35,17,2023-02-16T01:43:24Z,1890000,False,,,0,,SUB out: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
190,PT00M36.00S,2023-02-16T01:43:19.2Z,1,REGULAR,substitution,in,[],1630322,,,1610612745,35,17,2023-02-16T01:43:24Z,1900000,False,,,0,,SUB in: L. Waters III,[1630322],1610612760.0,OKC,,,,,,,,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
191,PT00M36.00S,2023-02-16T01:43:40.4Z,1,REGULAR,freethrow,2 of 2,[],1630528,,,1610612745,35,18,2023-02-16T01:43:40Z,1910000,False,,,0,,J. Christopher Free Throw 2 of 2 (1 PTS),[1630528],1610612745.0,HOU,,,,,,,,,,Made,Christopher,J. Christopher,,,,,1.0,,,,,,,,,,,,,
192,PT00M30.50S,2023-02-16T01:43:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,8.886333771353483,60.29411764705882,1610612760,37,18,2023-02-16T01:43:53Z,1920000,False,-51.0,31.0,1,left,S. Gilgeous-Alexander 6' pullup bank Jump Shot (9 PTS),[1628983],1610612760.0,OKC,pullup bank,,,,,,In The Paint (Non-RA),0-8 Center,6.01,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,9.0,,,,,,,,,,,,,
193,PT00M30.50S,2023-02-16T01:43:51.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630528,,,1610612760,37,18,2023-02-16T01:44:02Z,1930000,False,,,0,,J. Christopher shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1630528, 1628983]",1610612745.0,HOU,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Christopher,J. Christopher,,,,,,,,203591.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
195,PT00M30.50S,2023-02-16T01:44:13.9Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,38,18,2023-02-16T01:44:13Z,1950000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 1 (10 PTS),[1628983],1610612760.0,OKC,,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,10.0,,,,,,,,,,,,,
196,PT00M14.50S,2023-02-16T01:44:32.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203967,,,1610612745,38,18,2023-02-16T01:44:51Z,1960000,False,,,0,,D. Saric shooting personal FOUL (2 PF) (Eason 2 FT),"[203967, 1631106]",1610612760.0,OKC,shooting,,,,,,Restricted Area,0-8 Center,,,Saric,D. Saric,,,,,,,,1627962.0,2.0,0.0,Eason,1631106.0,,,,,,
198,PT00M14.50S,2023-02-16T01:44:57.3Z,1,REGULAR,freethrow,1 of 2,[],1631106,,,1610612745,38,19,2023-02-16T01:44:57Z,1980000,False,,,0,,T. Eason Free Throw 1 of 2 (2 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,2.0,,,,,,,,,,,,,
199,PT00M14.50S,2023-02-16T01:45:13.2Z,1,REGULAR,freethrow,2 of 2,[],1631106,,,1610612745,38,20,2023-02-16T01:45:13Z,1990000,False,,,0,,T. Eason Free Throw 2 of 2 (3 PTS),[1631106],1610612745.0,HOU,,,,,,,,,,Made,Eason,T. Eason,,,,,3.0,,,,,,,,,,,,,
200,PT00M14.50S,2023-02-16T01:45:24.4Z,1,REGULAR,foul,technical,"['team', 'inpenalty', '1freethrow']",0,,,1610612760,38,20,2023-02-16T01:45:32Z,2000000,False,,,0,,TEAM foul technical,[],1610612760.0,OKC,bench,,,,,,,,,,,,,,,,,,,202056.0,,,,,,,,,,
201,PT00M14.50S,2023-02-16T01:45:45.9Z,1,REGULAR,freethrow,1 of 1,[],1631095,,,1610612760,38,21,2023-02-16T01:45:45Z,2010000,False,,,0,,J. Smith Jr. technical Free Throw 1 of 1 (4 PTS),[1631095],1610612745.0,HOU,technical,,,,,,,,,Made,Smith Jr.,J. Smith Jr.,,,,,4.0,,,,,,,,,,,,,
202,PT00M04.10S,2023-02-16T01:46:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629026,12.302890932982917,3.6764705882352944,1610612760,38,21,2023-02-16T01:46:14Z,2020000,False,232.0,63.0,1,left,MISS K. Williams 24' 3PT,[1629026],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,24.0,Missed,Williams,K. Williams,,,,,,,,,,,,,,,,,,
203,PT00M00.60S,2023-02-16T01:46:11.5Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,38,21,2023-02-16T01:46:11Z,2030000,False,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Tate,J. Tate,202.0,1.0,1.0,0.0,,,,,,,,,,,,,,
204,PT00M00.00S,2023-02-16T01:46:12.2Z,1,REGULAR,3pt,Jump Shot,[],1630256,42.000657030223394,52.69607843137255,1610612745,38,21,2023-02-16T01:47:00Z,2040000,False,13.0,493.0,1,right,MISS J. Tate 49' pullup 3PT,[1630256],1610612745.0,HOU,pullup,,,,,,Above the Break 3,24+ Center,49.29,Missed,Tate,J. Tate,,,,,,,,,,,,,,,,,,
205,PT00M00.00S,2023-02-16T01:46:14.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,38,21,2023-02-16T01:46:14Z,2050000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,,,,,204.0,,,,,,,,,,,,,,,,,
206,PT00M00.00S,2023-02-16T01:46:19.4Z,1,REGULAR,period,end,[],0,,,1610612745,38,21,2023-02-16T01:46:19Z,2060000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612745,38,21,2023-02-16T01:48:49Z,2070000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,,,,,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
208,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,out,['startperiod'],1630198,,,1610612745,38,21,2023-02-16T01:48:49Z,2080000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,,,,,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,
209,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,out,['startperiod'],1630322,,,1610612745,38,21,2023-02-16T01:48:49Z,2090000,False,,,0,,SUB out: L. Waters III,[1630322],1610612760.0,OKC,,,,,,,,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
210,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,out,['startperiod'],1630256,,,1610612745,38,21,2023-02-16T01:48:49Z,2100000,False,,,0,,SUB out: J. Tate,[1630256],1610612745.0,HOU,,,,,,,,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,
211,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,in,['startperiod'],1630526,,,1610612745,38,21,2023-02-16T01:48:49Z,2110000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,,,,,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
212,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,in,['startperiod'],1630581,,,1610612745,38,21,2023-02-16T01:48:49Z,2120000,False,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,,,,,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
213,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,in,['startperiod'],1631114,,,1610612745,38,21,2023-02-16T01:48:49Z,2130000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,,,,,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,
214,PT12M00.00S,2023-02-16T01:47:40.7Z,2,REGULAR,substitution,in,['startperiod'],1631102,,,1610612745,38,21,2023-02-16T01:48:49Z,2140000,False,,,0,,SUB in: T. Washington Jr.,[1631102],1610612745.0,HOU,,,,,,,,,,,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
215,PT12M00.00S,2023-02-16T01:48:58.1Z,2,REGULAR,period,start,[],0,,,1610612760,38,21,2023-02-16T01:48:58Z,2150000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT11M47.00S,2023-02-16T01:49:10.4Z,2,REGULAR,3pt,Jump Shot,[],203967,32.802233902759525,52.94117647058824,1610612760,38,21,2023-02-16T01:49:17Z,2160000,False,-15.0,256.0,1,left,MISS D. Saric 25' 3PT,[203967],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,25.62,Missed,Saric,D. Saric,,,,,,,,,,,,,,,,,,
217,PT11M42.00S,2023-02-16T01:49:15.4Z,2,REGULAR,rebound,offensive,[],1631114,,,1610612760,38,21,2023-02-16T01:49:17Z,2170000,False,,,0,,J. Williams REBOUND (Off:2 Def:0),[1631114],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,,,Williams,J. Williams,216.0,2.0,0.0,2.0,,,,,,,,,,,,,,
218,PT11M42.00S,2023-02-16T01:49:14.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631114,5.590000152587891,50.0,1610612760,38,21,2023-02-16T01:49:14Z,2180000,False,0.0,0.0,1,left,MISS J. Williams tip Layup,[1631114],1610612760.0,OKC,tip,,,,,,Mid-Range,8-16 Left,0.0,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
219,PT11M41.00S,2023-02-16T01:49:15.7Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,38,21,2023-02-16T01:49:15Z,2190000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:3),[1631095],1610612745.0,HOU,,,,,,,Mid-Range,8-16 Left,,,Smith Jr.,J. Smith Jr.,218.0,3.0,3.0,0.0,,,,,,,,,,,,,,
220,PT11M36.00S,2023-02-16T01:49:21.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631102,87.86136662286465,63.48039215686274,1610612745,38,21,2023-02-16T01:50:58Z,2200000,False,67.0,62.0,1,right,MISS T. Washington Jr. 9' driving floating Shot,[1631102],1610612745.0,HOU,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,9.13,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
221,PT11M33.00S,2023-02-16T01:49:24.0Z,2,REGULAR,rebound,defensive,[],203967,,,1610612760,38,21,2023-02-16T01:49:29Z,2210000,False,,,0,,D. Saric REBOUND (Off:1 Def:3),[203967],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),8-16 Right,,,Saric,D. Saric,220.0,4.0,3.0,1.0,,,,,,,,,,,,,,
222,PT11M28.00S,2023-02-16T01:49:30.1Z,2,REGULAR,foul,personal,['2freethrow'],1630586,,,1610612760,38,21,2023-02-16T01:49:38Z,2220000,False,,,0,,U. Garuba shooting personal FOUL (2 PF) (Robinson-Earl 2 FT),"[1630586, 1630526]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Garuba,U. Garuba,,,,,,,,203591.0,2.0,1.0,Robinson-Earl,1630526.0,,,,,,
224,PT11M28.00S,2023-02-16T01:49:58.7Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630526,,,1610612760,39,21,2023-02-16T01:51:27Z,2240000,False,,,0,,J. Robinson-Earl Free Throw 1 of 2 (1 PTS),[1630526],1610612760.0,OKC,,,,,,,,,,Made,Robinson-Earl,J. Robinson-Earl,,,,,1.0,,,,,,,,,,,,,
225,PT11M28.00S,2023-02-16T01:49:58.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630526,,,1610612760,40,21,2023-02-16T01:51:27Z,2250000,False,,,0,,J. Robinson-Earl Free Throw 2 of 2 (2 PTS),[1630526],1610612760.0,OKC,,,,,,,,,,Made,Robinson-Earl,J. Robinson-Earl,,,,,2.0,,,,,,,,,,,,,
226,PT11M05.00S,2023-02-16T01:50:35.2Z,2,REGULAR,3pt,Jump Shot,[],1631102,63.02562417871223,63.970588235294116,1610612745,40,21,2023-02-16T01:50:40Z,2260000,False,70.0,295.0,1,right,MISS T. Washington Jr. 30' 3PT,[1631102],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Center,30.33,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
227,PT11M02.00S,2023-02-16T01:50:38.2Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,40,21,2023-02-16T01:50:40Z,2270000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Center,,,Williams,K. Williams,226.0,1.0,1.0,0.0,,,,,,,,,,,,,,
228,PT10M56.00S,2023-02-16T01:50:44.8Z,2,REGULAR,3pt,Jump Shot,[],203967,28.86005256241787,73.2843137254902,1610612760,43,21,2023-02-16T01:50:49Z,2280000,False,-116.0,219.0,1,left,D. Saric 24' 3PT  (8 PTS) (J. Giddey 2 AST),"[203967, 1630581]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,24.78,Made,Saric,D. Saric,,,,,8.0,,,,,,,,J. Giddey,1630581.0,2.0,,,
230,PT10M40.00S,2023-02-16T01:51:03.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631095,92.06636005256242,40.44117647058824,1610612745,43,23,2023-02-16T01:52:56Z,2300000,False,-48.0,22.0,1,right,J. Smith Jr. driving floating bank Jump Shot (6 PTS) (T. Eason 1 AST),"[1631095, 1631106]",1610612745.0,HOU,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,5.27,Made,Smith Jr.,J. Smith Jr.,,,,,6.0,,,,,,,,T. Eason,1631106.0,1.0,,,
231,PT10M40.00S,2023-02-16T01:51:06.4Z,2,REGULAR,foul,personal,['1freethrow'],1630526,,,1610612745,43,23,2023-02-16T01:51:13Z,2310000,False,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Smith Jr. 1 FT),"[1630526, 1631095]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,202056.0,1.0,1.0,Smith Jr.,1631095.0,,,,,,
233,PT10M40.00S,2023-02-16T01:51:31.7Z,2,REGULAR,freethrow,1 of 1,[],1631095,,,1610612745,43,24,2023-02-16T01:51:31Z,2330000,False,,,0,,J. Smith Jr. Free Throw 1 of 1 (7 PTS),[1631095],1610612745.0,HOU,,,,,,,,,,Made,Smith Jr.,J. Smith Jr.,,,,,7.0,,,,,,,,,,,,,
234,PT10M29.00S,2023-02-16T01:51:43.1Z,2,REGULAR,turnover,bad pass,[],1629026,,,1610612760,43,24,2023-02-16T01:51:47Z,2340000,False,,,0,,K. Williams bad pass TURNOVER (1 TO),"[1629026, 1631106]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,,,Williams,K. Williams,,,,,,,,,,,,,,,,1.0,Eason,1631106.0
235,PT10M29.00S,2023-02-16T01:51:43.1Z,2,REGULAR,steal,,[],1631106,,,1610612745,43,24,2023-02-16T01:51:45Z,2350000,False,,,0,,T. Eason STEAL (1 STL),[1631106],1610612745.0,HOU,,,,,,,Above the Break 3,24+ Left Center,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,
236,PT10M22.00S,2023-02-16T01:51:49.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631095,76.82325886990802,72.05882352941177,1610612745,43,24,2023-02-16T01:51:54Z,2360000,False,110.0,165.0,1,right,MISS J. Smith Jr. 19' pullup Shot,[1631095],1610612745.0,HOU,pullup,,,,,,Mid-Range,16-24 Right Center,19.88,Missed,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,
237,PT10M18.00S,2023-02-16T01:51:53.6Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,43,24,2023-02-16T02:03:16Z,2370000,False,,,0,,K. Williams REBOUND (Off:0 Def:2),[1629026],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Right Center,,,Williams,K. Williams,236.0,2.0,2.0,0.0,,,,,,,,,,,,,,
240,PT10M13.00S,2023-02-16T01:51:59.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,5.995400788436268,50.0,1610612760,43,24,2023-02-16T01:52:05Z,2400000,False,0.0,4.0,1,left,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,0.39,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
241,PT10M09.00S,2023-02-16T01:52:03.6Z,2,REGULAR,rebound,offensive,[],1631114,,,1610612760,43,24,2023-02-16T01:52:05Z,2410000,False,,,0,,J. Williams REBOUND (Off:3 Def:0),[1631114],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,240.0,3.0,0.0,3.0,,,,,,,,,,,,,,
242,PT10M09.00S,2023-02-16T01:52:02.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631114,5.590000152587891,50.0,1610612760,45,24,2023-02-16T01:52:02Z,2420000,False,0.0,0.0,1,left,J. Williams tip Layup (8 PTS),[1631114],1610612760.0,OKC,tip,,,,,,Mid-Range,8-16 Left,0.0,Made,Williams,J. Williams,,,,,8.0,,,,,,,,,,,,,
243,PT09M56.00S,2023-02-16T01:52:18.4Z,2,REGULAR,turnover,traveling,[],1631106,,,1610612745,45,24,2023-02-16T01:52:23Z,2430000,False,,,0,,T. Eason traveling TURNOVER (1 TO),[1631106],1610612745.0,HOU,,,,,,,Right Corner 3,24+ Right,,,Eason,T. Eason,,,,,,,,202056.0,,,,,,,,1.0,,
244,PT09M36.00S,2023-02-16T01:52:46.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630526,6.258212877792378,52.20588235294118,1610612760,47,24,2023-02-16T01:52:54Z,2440000,False,-11.0,6.0,1,left,J. Robinson-Earl reverse Layup (4 PTS) (J. Giddey 3 AST),"[1630526, 1630581]",1610612760.0,OKC,reverse,,,,,,Restricted Area,0-8 Center,1.27,Made,Robinson-Earl,J. Robinson-Earl,,,,,4.0,,,,,,,,J. Giddey,1630581.0,3.0,,,
246,PT09M11.00S,2023-02-16T01:53:10.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631102,92.9862023653088,63.23529411764706,1610612745,47,24,2023-02-16T01:55:15Z,2460000,False,66.0,13.0,1,right,MISS T. Washington Jr. 6' turnaround Shot,[1631102],1610612745.0,HOU,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.75,Missed,Washington Jr.,T. Washington Jr.,,,,,,,,,,,,,,,,,,
247,PT09M09.00S,2023-02-16T01:53:12.1Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,47,24,2023-02-16T01:53:15Z,2470000,False,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Giddey,J. Giddey,246.0,3.0,3.0,0.0,,,,,,,,,,,,,,
248,PT09M04.00S,2023-02-16T01:53:17.6Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629026,5.206964520367937,48.28431372549019,1610612760,47,24,2023-02-16T01:56:06Z,2480000,False,9.0,-4.0,1,left,MISS K. Williams running Layup - blocked,"[1629026, 1630528]",1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,0.93,Missed,Williams,K. Williams,,,,,,Christopher,1630528.0,,,,,,,,,,,
249,PT09M04.00S,2023-02-16T01:53:17.6Z,2,REGULAR,block,,[],1630528,,,1610612760,47,24,2023-02-16T01:53:20Z,2490000,False,,,0,,J. Christopher BLOCK (1 BLK),[1630528],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,
250,PT09M02.00S,2023-02-16T01:53:19.6Z,2,REGULAR,rebound,defensive,[],1630586,,,1610612745,47,24,2023-02-16T01:53:23Z,2500000,False,,,0,,U. Garuba REBOUND (Off:0 Def:2),[1630586],1610612745.0,HOU,,,,,,,Restricted Area,0-8 Center,,,Garuba,U. Garuba,248.0,2.0,2.0,0.0,,,,,,,,,,,,,,
251,PT08M57.00S,2023-02-16T01:53:24.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631102,96.66557161629436,95.34313725490196,1610612745,47,27,2023-02-16T01:57:30Z,2510000,False,227.0,-21.0,1,right,T. Washington Jr. 3PT running (3 PTS) (J. Christopher 1 AST),"[1631102, 1630528]",1610612745.0,HOU,running,,,,,,Right Corner 3,24+ Right,22.77,Made,Washington Jr.,T. Washington Jr.,,,,,3.0,,,,,,,,J. Christopher,1630528.0,1.0,,,
253,PT08M38.00S,2023-02-16T01:53:46.5Z,2,REGULAR,foul,personal,['2freethrow'],1630528,,,1610612760,47,27,2023-02-16T01:53:51Z,2530000,False,,,0,,J. Christopher shooting personal FOUL (2 PF) (Robinson-Earl 2 FT),"[1630528, 1630526]",1610612745.0,HOU,shooting,,,,,,Restricted Area,0-8 Center,,,Christopher,J. Christopher,,,,,,,,203591.0,2.0,0.0,Robinson-Earl,1630526.0,,,,,,
255,PT08M38.00S,2023-02-16T01:54:12.6Z,2,REGULAR,freethrow,1 of 2,[],1630526,,,1610612760,48,27,2023-02-16T01:54:40Z,2550000,False,,,0,,J. Robinson-Earl Free Throw 1 of 2 (5 PTS),[1630526],1610612760.0,OKC,,,,,,,,,,Made,Robinson-Earl,J. Robinson-Earl,,,,,5.0,,,,,,,,,,,,,
256,PT08M38.00S,2023-02-16T01:54:18.8Z,2,REGULAR,substitution,out,[],203967,,,1610612760,48,27,2023-02-16T01:54:24Z,2560000,False,,,0,,SUB out: D. Saric,[203967],1610612760.0,OKC,,,,,,,,,,,Saric,D. Saric,,,,,,,,,,,,,,,,,,
257,PT08M38.00S,2023-02-16T01:54:18.8Z,2,REGULAR,substitution,in,[],1630322,,,1610612760,48,27,2023-02-16T01:54:24Z,2570000,False,,,0,,SUB in: L. Waters III,[1630322],1610612760.0,OKC,,,,,,,,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,
258,PT08M38.00S,2023-02-16T01:54:12.6Z,2,REGULAR,freethrow,2 of 2,[],1630526,,,1610612760,48,27,2023-02-16T01:54:40Z,2580000,False,,,0,,MISS J. Robinson-Earl Free Throw 2 of 2,[1630526],1610612760.0,OKC,,,,,,,,,,Missed,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,
259,PT08M36.00S,2023-02-16T01:54:14.6Z,2,REGULAR,rebound,defensive,[],1631095,,,1610612745,48,27,2023-02-16T01:54:40Z,2590000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:4),[1631095],1610612745.0,HOU,,,,,,,,,,,Smith Jr.,J. Smith Jr.,258.0,4.0,4.0,0.0,,,,,,,,,,,,,,
260,PT08M19.00S,2023-02-16T01:54:55.8Z,2,REGULAR,turnover,bad pass,[],1630528,,,1610612745,48,27,2023-02-16T01:54:59Z,2600000,False,,,0,,J. Christopher bad pass TURNOVER (1 TO),"[1630528, 1630581]",1610612745.0,HOU,,,,,,,Above the Break 3,24+ Right Center,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,1.0,Giddey,1630581.0
261,PT08M19.00S,2023-02-16T01:54:55.8Z,2,REGULAR,steal,,[],1630581,,,1610612760,48,27,2023-02-16T01:54:57Z,2610000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
262,PT08M15.00S,2023-02-16T01:55:00.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630581,5.206964520367937,51.470588235294116,1610612760,50,27,2023-02-16T01:55:04Z,2620000,False,-7.0,-4.0,1,left,J. Giddey running Layup (8 PTS),[1630581],1610612760.0,OKC,running,,,,,,Restricted Area,0-8 Center,0.82,Made,Giddey,J. Giddey,,,,,8.0,,,,,,,,,,,,,
263,PT08M15.00S,2023-02-16T01:55:03.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,50,27,2023-02-16T01:55:03Z,2630000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT08M15.00S,2023-02-16T01:56:59.3Z,2,REGULAR,substitution,out,[],1630586,,,1610612745,50,27,2023-02-16T01:57:41Z,2640000,False,,,0,,SUB out: U. Garuba,[1630586],1610612745.0,HOU,,,,,,,,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,
