actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
89,PT04M36.00S,2022-10-28T00:27:51.3Z,1,REGULAR,turnover,bad pass,[],201587,,,1610612746,21,10,2022-10-28T00:27:55Z,870000,,,0,,N. Batum bad pass TURNOVER (1 TO),"[201587, 1630598]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Wiggins,1630598.0,,,,,,
90,PT04M36.00S,2022-10-28T00:27:51.3Z,1,REGULAR,steal,,[],1630598,,,1610612760,21,10,2022-10-28T00:27:53Z,880000,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT04M29.00S,2022-10-28T00:27:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,91.93495400788436,45.34313725490196,1610612760,21,10,2022-10-28T00:28:07Z,890000,-23.0,23.0,1,right,MISS S. Gilgeous-Alexander Layup,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,3.3,Missed,,,,,,,,,,,,,,,,,,
92,PT04M24.00S,2022-10-28T00:28:04.2Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,21,10,2022-10-28T00:34:22Z,900000,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,91.0,2.0,1.0,1.0,,
93,PT04M21.00S,2022-10-28T00:28:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629647,90.75229960578186,48.529411764705884,1610612760,21,10,2022-10-28T00:28:13Z,910000,-7.0,34.0,1,right,MISS D. Bazley driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,3.52,Missed,,,,,,,,,,,,,,,,,,
94,PT04M18.00S,2022-10-28T00:28:09.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,21,10,2022-10-28T00:28:13Z,920000,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,93.0,3.0,3.0,0.0,,
95,PT04M01.00S,2022-10-28T00:28:26.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,8.229303547963205,52.69607843137255,1610612746,21,10,2022-10-28T00:28:30Z,930000,-13.0,25.0,1,left,MISS I. Zubac DUNK - blocked,"[1627826, 1629647]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,,,,,Bazley,1629647.0
96,PT04M01.00S,2022-10-28T00:28:26.6Z,1,REGULAR,block,,[],1629647,,,1610612746,21,10,2022-10-28T00:28:28Z,940000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
97,PT03M58.00S,2022-10-28T00:28:29.6Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,21,10,2022-10-28T00:28:30Z,950000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,95.0,2.0,2.0,0.0,,
98,PT03M51.00S,2022-10-28T00:28:36.5Z,1,REGULAR,3pt,Jump Shot,[],1630598,65.65374507227332,23.52941176470588,1610612760,24,10,2022-10-28T00:28:42Z,960000,-132.0,270.0,1,right,A. Wiggins 30' 3PT  (8 PTS) (L. Dort 2 AST),"[1630598, 1629652]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,30.11,Made,8.0,,,,,,L. Dort,1629652.0,2.0,,,,,,,,,
100,PT03M31.00S,2022-10-28T00:28:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,18.478975032851512,35.049019607843135,1610612746,24,12,2022-10-28T00:29:05Z,980000,75.0,121.0,1,left,P. George 14' step back Jump Shot (2 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,14.24,Made,2.0,,,,,,,,,,,,,,,,,
101,PT03M15.00S,2022-10-28T00:29:13.3Z,1,REGULAR,3pt,Jump Shot,[],1629647,90.3580814717477,3.1862745098039214,1610612760,27,12,2022-10-28T00:29:18Z,990000,-234.0,38.0,1,right,D. Bazley 3PT  (3 PTS) (L. Dort 3 AST),"[1629647, 1629652]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Left Corner 3,24+ Left,23.72,Made,3.0,,,,,,L. Dort,1629652.0,3.0,,,,,,,,,
103,PT03M02.00S,2022-10-28T00:29:27.0Z,1,REGULAR,turnover,out-of-bounds,[],1628379,,,1610612746,27,12,2022-10-28T00:29:38Z,1010000,,,0,,L. Kennard bad pass out-of-bounds TURNOVER (2 TO),[1628379],1610612746.0,LAC,bad pass,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Right,,,,1162.0,,,,,,,,2.0,,,,,,,,
104,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,27,12,2022-10-28T00:29:48Z,1020000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,out,[],202704,,,1610612760,27,12,2022-10-28T00:29:48Z,1030000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,out,[],202331,,,1610612760,27,12,2022-10-28T00:29:48Z,1040000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,out,[],1627826,,,1610612760,27,12,2022-10-28T00:29:48Z,1050000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,in,[],1631172,,,1610612760,27,12,2022-10-28T00:29:48Z,1060000,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,in,[],203496,,,1610612760,27,12,2022-10-28T00:29:48Z,1070000,,,0,,SUB in: R. Covington,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,in,[],1626181,,,1610612760,27,12,2022-10-28T00:29:48Z,1080000,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M02.00S,2022-10-28T00:29:32.3Z,1,REGULAR,substitution,in,[],202322,,,1610612760,27,12,2022-10-28T00:29:48Z,1090000,,,0,,SUB in: J. Wall,[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M50.00S,2022-10-28T00:29:56.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,81.8166885676741,58.57843137254902,1610612760,27,12,2022-10-28T00:30:02Z,1100000,43.0,118.0,1,right,MISS S. Gilgeous-Alexander 12' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,12.59,Missed,,,,,,,,,,,,,,,,,,
113,PT02M46.00S,2022-10-28T00:30:00.2Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,27,12,2022-10-28T00:30:02Z,1110000,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,112.0,2.0,1.0,1.0,,
114,PT02M45.00S,2022-10-28T00:30:01.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628983,68.54467805519053,76.22549019607843,1610612760,30,12,2022-10-28T00:30:07Z,1120000,131.0,243.0,1,right,S. Gilgeous-Alexander 27' 3PT  (7 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,27.63,Made,7.0,,,,,,,,,,,,,,,,,
115,PT02M37.00S,2022-10-28T00:30:08.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626181,7.440867279894875,3.1862745098039214,1610612746,30,15,2022-10-28T00:35:42Z,1130000,234.0,17.0,1,left,N. Powell 3PT running (3 PTS) (J. Wall 1 AST),"[1626181, 202322]",1610612746.0,LAC,running,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,23.47,Made,3.0,,,,,,J. Wall,202322.0,1.0,,,,,,,,,
117,PT02M25.00S,2022-10-28T00:30:22.8Z,1,REGULAR,turnover,out-of-bounds,[],1630197,,,1610612760,30,15,2022-10-28T00:30:31Z,1150000,,,0,,A. Pokusevski bad pass out-of-bounds TURNOVER (1 TO),[1630197],1610612760.0,OKC,bad pass,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,,,,101283.0,,,,,,,,1.0,,,,,,,,
118,PT02M13.00S,2022-10-28T00:30:41.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628379,29.6484888304862,73.77450980392157,1610612746,30,18,2022-10-28T00:30:47Z,1160000,-119.0,226.0,1,left,L. Kennard 25' 3PT  (7 PTS) (N. Batum 1 AST),"[1628379, 201587]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,25.55,Made,7.0,,,,,,N. Batum,201587.0,1.0,,,,,,,,,
120,PT01M56.00S,2022-10-28T00:30:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,92.46057818659659,45.83333333333333,1610612760,32,18,2022-10-28T00:31:04Z,1180000,-21.0,18.0,1,right,L. Dort driving finger roll Layup (6 PTS),[1629652],1610612760.0,OKC,driving finger roll,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,2.78,Made,6.0,,,,,,,,,,,,,,,,,
121,PT01M37.00S,2022-10-28T00:31:17.9Z,1,REGULAR,foul,offensive,[],201587,,,1610612746,32,18,2022-10-28T00:45:06Z,1182500,,,0,,N. Batum offensive FOUL (1 PF),"[201587, 1629652]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,,,,101283.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,
123,PT01M37.00S,2022-10-28T00:31:17.9Z,1,REGULAR,turnover,offensive foul,[],201587,,,1610612746,32,18,2022-10-28T00:45:06Z,1184375,,,0,,N. Batum offensive foul TURNOVER (2 TO),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Left Corner 3,24+ Left,,,,101283.0,,,,,,,,2.0,,,,,,,,
124,PT01M37.00S,2022-10-28T00:31:32.7Z,1,REGULAR,substitution,out,[],1628983,,,1610612760,32,18,2022-10-28T00:37:00Z,1185000,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M37.00S,2022-10-28T00:31:32.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,32,18,2022-10-28T00:37:00Z,1187500,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M37.00S,2022-10-28T00:31:32.7Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,32,18,2022-10-28T00:37:00Z,1188750,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT01M37.00S,2022-10-28T00:31:32.7Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,32,18,2022-10-28T00:37:00Z,1189375,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M36.00S,2022-10-28T00:31:49.9Z,1,REGULAR,turnover,bad pass,[],1629647,,,1610612760,32,18,2022-10-28T00:44:32Z,1270000,,,0,,D. Bazley bad pass TURNOVER (1 TO),"[1629647, 201587]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,Batum,201587.0,,,,,,
130,PT01M36.00S,2022-10-28T00:31:49.9Z,1,REGULAR,steal,,[],201587,,,1610612746,32,18,2022-10-28T00:31:53Z,1280000,,,0,,N. Batum STEAL (1 STL),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
131,PT01M35.00S,2022-10-28T00:31:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201587,8.886333771353483,48.03921568627451,1610612746,32,20,2022-10-28T00:44:39Z,1290000,10.0,31.0,1,left,N. Batum Layup (2 PTS),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,3.25,Made,2.0,,,,,,,,,,,,,,,,,
132,PT01M20.00S,2022-10-28T00:31:58.9Z,1,REGULAR,turnover,out-of-bounds,[],1630197,,,1610612760,32,20,2022-10-28T00:32:21Z,1300000,,,0,,A. Pokusevski bad pass out-of-bounds TURNOVER (2 TO),[1630197],1610612760.0,OKC,bad pass,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),0-8 Center,,,,1162.0,,,,,,,,2.0,,,,,,,,
133,PT01M12.00S,2022-10-28T00:32:22.5Z,1,REGULAR,foul,offensive,[],1628379,,,1610612746,32,20,2022-10-28T00:46:06Z,1310000,,,0,,L. Kennard offensive FOUL (1 PF),"[1628379, 1629026]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right,,,,1627539.0,1.0,0.0,Williams,1629026.0,,,,,,,,,,,,
135,PT01M12.00S,2022-10-28T00:32:22.5Z,1,REGULAR,turnover,offensive foul,[],1628379,,,1610612746,32,20,2022-10-28T00:32:22Z,1330000,,,0,,L. Kennard offensive foul TURNOVER (3 TO),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right,,,,1627539.0,,,,,,,,3.0,,,,,,,,
136,PT01M12.00S,2022-10-28T00:32:33.9Z,1,REGULAR,substitution,out,[],1631172,,,1610612760,32,20,2022-10-28T00:32:37Z,1340000,,,0,,SUB out: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M12.00S,2022-10-28T00:32:33.9Z,1,REGULAR,substitution,in,[],1630198,,,1610612760,32,20,2022-10-28T00:32:37Z,1350000,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M03.00S,2022-10-28T00:32:53.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630544,67.23061760840999,58.333333333333336,1610612760,32,20,2022-10-28T00:53:47Z,1360000,42.0,256.0,1,right,MISS T. Mann 25' pullup 3PT,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,25.89,Missed,,,,,,,,,,,,,,,,,,
139,PT00M57.80S,2022-10-28T00:32:58.7Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,32,20,2022-10-28T00:33:02Z,1370000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,138.0,1.0,1.0,0.0,,
140,PT00M44.40S,2022-10-28T00:33:28.7Z,1,REGULAR,turnover,lost ball,[],1628379,,,1610612746,32,20,2022-10-28T00:33:38Z,1380000,,,0,,L. Kennard lost ball TURNOVER (4 TO),"[1628379, 1630544]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,4.0,Mann,1630544.0,,,,,,
141,PT00M44.40S,2022-10-28T00:33:28.7Z,1,REGULAR,steal,,[],1630544,,,1610612760,32,20,2022-10-28T00:33:31Z,1390000,,,0,,T. Mann STEAL (2 STL),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
142,PT00M44.40S,2022-10-28T00:33:32.0Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612760,32,20,2022-10-28T00:33:43Z,1400000,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 1628379]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Kennard,1628379.0,,,,,,
143,PT00M44.40S,2022-10-28T00:33:32.0Z,1,REGULAR,steal,,[],1628379,,,1610612746,32,20,2022-10-28T00:33:33Z,1410000,,,0,,L. Kennard STEAL (1 STL),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
144,PT00M30.00S,2022-10-28T00:33:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202322,11.514454664914586,54.166666666666664,1610612746,32,22,2022-10-28T00:34:02Z,1420000,-21.0,56.0,1,left,J. Wall Layup (2 PTS),[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,2.0,,,,,,,,,,,,,,,,,
145,PT00M30.00S,2022-10-28T00:33:52.1Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630544,,,1610612746,32,22,2022-10-28T00:34:03Z,1430000,,,0,,T. Mann shooting personal FOUL (1 PF) (Wall 1 FT),"[1630544, 202322]",1610612760.0,OKC,shooting,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,101283.0,1.0,0.0,Wall,202322.0,,,,,,,,,,,,
147,PT00M30.00S,2022-10-28T00:34:14.3Z,1,REGULAR,substitution,out,[],1630544,,,1610612746,32,22,2022-10-28T00:34:22Z,1450000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M30.00S,2022-10-28T00:34:14.3Z,1,REGULAR,substitution,in,[],1631172,,,1610612746,32,22,2022-10-28T00:34:22Z,1460000,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT00M30.00S,2022-10-28T00:34:28.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202322,,,1610612746,32,23,2022-10-28T00:34:28Z,1470000,,,0,,J. Wall Free Throw 1 of 1 (3 PTS),[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
150,PT00M20.20S,2022-10-28T00:34:45.1Z,1,REGULAR,foul,personal,[],203496,,,1610612760,32,23,2022-10-28T00:34:55Z,1480000,,,0,,R. Covington personal FOUL (1 PF),"[203496, 1630197]",1610612746.0,LAC,,,,Covington,R. Covington,,,,,Mid-Range,8-16 Right,,,,101283.0,1.0,0.0,Pokusevski,1630197.0,,,,,,,,,,,,
152,PT00M10.40S,2022-10-28T00:35:11.6Z,1,REGULAR,2pt,Jump Shot,[],1629026,75.24638633377135,30.637254901960787,1610612760,34,23,2022-10-28T00:54:50Z,1500000,-97.0,180.0,1,right,K. Williams 20' pullup Jump Shot (2 PTS) (A. Pokusevski 1 AST),"[1629026, 1630197]",1610612760.0,OKC,pullup,,,Williams,K. Williams,,,,,Mid-Range,16-24 Left Center,20.46,Made,2.0,,,,,,A. Pokusevski,1630197.0,1.0,,,,,,,,,
154,PT00M02.10S,2022-10-28T00:35:26.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630198,,,1610612746,34,23,2022-10-28T00:35:36Z,1520000,,,0,,I. Joe shooting personal FOUL (1 PF) (Wall 2 FT),"[1630198, 202322]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,In The Paint (Non-RA),8-16 Right,,,,1627539.0,1.0,0.0,Wall,202322.0,,,,,,,,,,,,
156,PT00M02.10S,2022-10-28T00:35:49.0Z,1,REGULAR,freethrow,1 of 2,[],202322,,,1610612746,34,23,2022-10-28T00:35:49Z,1540000,,,0,,MISS J. Wall Free Throw 1 of 2,[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
157,PT00M02.10S,2022-10-28T00:35:49.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,34,23,2022-10-28T00:35:49Z,1550000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,
158,PT00M02.10S,2022-10-28T00:35:52.4Z,1,REGULAR,substitution,out,[],1630198,,,1610612746,34,23,2022-10-28T00:35:56Z,1560000,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M02.10S,2022-10-28T00:35:52.4Z,1,REGULAR,substitution,in,[],1630544,,,1610612746,34,23,2022-10-28T00:35:56Z,1570000,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT00M02.10S,2022-10-28T00:36:06.9Z,1,REGULAR,freethrow,2 of 2,[],202322,,,1610612746,34,24,2022-10-28T00:36:06Z,1580000,,,0,,J. Wall Free Throw 2 of 2 (4 PTS),[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
161,PT00M00.00S,2022-10-28T00:36:17.6Z,1,REGULAR,period,end,[],0,,,1610612760,34,24,2022-10-28T00:36:17Z,1590000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2022-10-28T00:38:37.3Z,2,REGULAR,substitution,out,['startperiod'],1628379,,,1610612760,34,24,2022-10-28T00:38:50Z,1600000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2022-10-28T00:38:37.3Z,2,REGULAR,substitution,in,['startperiod'],1629599,,,1610612760,34,24,2022-10-28T00:38:50Z,1610000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2022-10-28T00:39:08.8Z,2,REGULAR,period,start,[],0,,,1610612746,34,24,2022-10-28T00:39:08Z,1620000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M49.00S,2022-10-28T00:39:19.6Z,2,REGULAR,turnover,bad pass,[],203496,,,1610612746,34,24,2022-10-28T00:57:23Z,1630000,,,0,,R. Covington bad pass TURNOVER (1 TO),"[203496, 1629026]",1610612746.0,LAC,,,,Covington,R. Covington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Williams,1629026.0,,,,,,
166,PT11M49.00S,2022-10-28T00:39:19.6Z,2,REGULAR,steal,,[],1629026,,,1610612760,34,24,2022-10-28T00:39:27Z,1640000,,,0,,K. Williams STEAL (1 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
167,PT11M34.00S,2022-10-28T00:39:34.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630197,67.49342969776609,21.813725490196077,1610612760,37,24,2022-10-28T00:39:39Z,1650000,-141.0,253.0,1,right,A. Pokusevski 28' 3PT  (5 PTS) (T. Mann 2 AST),"[1630197, 1630544]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,28.97,Made,5.0,,,,,,T. Mann,1630544.0,2.0,,,,,,,,,
169,PT11M22.00S,2022-10-28T00:39:53.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201587,10.5946123521682,55.392156862745104,1610612746,37,26,2022-10-28T00:59:10Z,1670000,-27.0,47.0,1,left,N. Batum driving finger roll Layup (4 PTS) (J. Wall 2 AST),"[201587, 202322]",1610612746.0,LAC,driving finger roll,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,5.43,Made,4.0,,,,,,J. Wall,202322.0,2.0,,,,,,,,,
170,PT11M05.00S,2022-10-28T00:40:02.4Z,2,REGULAR,3pt,Jump Shot,[],1631172,67.36202365308804,64.95098039215686,1610612760,37,26,2022-10-28T00:40:09Z,1680000,75.0,254.0,1,right,MISS O. Dieng 26' 3PT,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,Above the Break 3,24+ Center,26.51,Missed,,,,,,,,,,,,,,,,,,
171,PT11M02.00S,2022-10-28T00:40:05.4Z,2,REGULAR,rebound,offensive,[],1630197,,,1610612760,37,26,2022-10-28T00:40:09Z,1690000,,,0,,A. Pokusevski REBOUND (Off:1 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,170.0,1.0,0.0,1.0,,
172,PT10M56.00S,2022-10-28T00:40:11.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629647,92.06636005256242,44.11764705882353,1610612760,39,26,2022-10-28T01:01:05Z,1700000,-29.0,22.0,1,right,D. Bazley driving Layup (5 PTS) (K. Williams 1 AST),"[1629647, 1629026]",1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,Restricted Area,0-8 Center,3.68,Made,5.0,,,,,,K. Williams,1629026.0,1.0,,,,,,,,,
