actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
91,PT05M16.00S,2023-01-19T01:27:14.9Z,1,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,24,9,2023-01-19T01:27:14Z,910000,False,,,0,,O. Brissett Free Throw 1 of 2 (1 PTS),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,,,,Made,1.0,,,,,,,,,,,,,,,,
92,PT05M16.00S,2023-01-19T01:27:16.1Z,1,REGULAR,substitution,out,[],1630581,,,1610612754,24,9,2023-01-19T01:27:19Z,920000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,
93,PT05M16.00S,2023-01-19T01:27:16.1Z,1,REGULAR,substitution,in,[],1630198,,,1610612754,24,9,2023-01-19T01:27:19Z,930000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,
94,PT05M16.00S,2023-01-19T01:27:32.7Z,1,REGULAR,freethrow,2 of 2,[],1629052,,,1610612754,24,10,2023-01-19T01:27:32Z,940000,False,,,0,,O. Brissett Free Throw 2 of 2 (2 PTS),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,,,,Made,2.0,,,,,,,,,,,,,,,,
95,PT04M58.00S,2023-01-19T01:27:51.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629652,93.64323258869908,49.754901960784316,1610612760,26,10,2023-01-19T01:27:55Z,950000,False,-1.0,7.0,1,right,L. Dort cutting DUNK (7 PTS) (S. Gilgeous-Alexander 2 AST),"[1629652, 1628983]",1610612760.0,OKC,,Dort,L. Dort,cutting,Restricted Area,0-8 Center,0.74,Made,7.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,,,,
97,PT04M41.00S,2023-01-19T01:28:08.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,5.469776609724048,50.245098039215684,1610612754,26,12,2023-01-19T01:28:13Z,970000,False,-1.0,-1.0,1,left,I. Jackson DUNK (2 PTS) (B. Hield 1 AST),"[1630543, 1627741]",1610612754.0,IND,,Jackson,I. Jackson,,Restricted Area,0-8 Center,0.16,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,
98,PT04M33.00S,2023-01-19T01:28:20.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612760,26,12,2023-01-19T01:28:20Z,980000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M33.00S,2023-01-19T01:29:39.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,26,12,2023-01-19T01:29:49Z,990000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,
100,PT04M33.00S,2023-01-19T01:29:39.2Z,1,REGULAR,substitution,out,[],1627741,,,1610612760,26,12,2023-01-19T01:29:49Z,1000000,False,,,0,,SUB out: B. Hield,[1627741],1610612754.0,IND,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,
101,PT04M33.00S,2023-01-19T01:29:39.2Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,26,12,2023-01-19T01:29:49Z,1010000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,
102,PT04M33.00S,2023-01-19T01:29:39.2Z,1,REGULAR,substitution,in,[],1630174,,,1610612760,26,12,2023-01-19T01:29:49Z,1020000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,
103,PT04M26.00S,2023-01-19T01:29:58.5Z,1,REGULAR,3pt,Jump Shot,[],1630198,91.27792378449409,4.6568627450980395,1610612760,29,12,2023-01-19T01:30:02Z,1030000,False,-227.0,29.0,1,right,I. Joe 3PT  (3 PTS) (J. Williams 1 AST),"[1630198, 1631114]",1610612760.0,OKC,,Joe,I. Joe,,Left Corner 3,24+ Left,22.86,Made,3.0,J. Williams,1631114.0,1.0,,,,,,,,,,,,,
105,PT04M17.00S,2023-01-19T01:30:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629052,28.465834428383708,22.058823529411764,1610612754,29,12,2023-01-19T01:30:14Z,1050000,False,140.0,215.0,1,left,MISS O. Brissett 25' 3PT,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,
106,PT04M15.00S,2023-01-19T01:30:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,29,12,2023-01-19T01:30:14Z,1060000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,Above the Break 3,24+ Right Center,,,,,,,105.0,,,,,,,,,,,,
107,PT04M15.00S,2023-01-19T01:30:13.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631119,,,1610612754,29,12,2023-01-19T01:30:29Z,1070000,False,,,0,,J. Williams loose ball personal FOUL (2 PF) (Jackson 2 FT),"[1631119, 1630543]",1610612760.0,OKC,201639.0,Williams,J. Williams,loose ball,Restricted Area,0-8 Center,,,,,,,,,,,2.0,0.0,Jackson,1630543.0,,,,,
109,PT04M15.00S,2023-01-19T01:30:38.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630543,,,1610612754,29,13,2023-01-19T01:30:38Z,1090000,False,,,0,,I. Jackson Free Throw 1 of 2 (3 PTS),[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,Made,3.0,,,,,,,,,,,,,,,,
110,PT04M15.00S,2023-01-19T01:30:38.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630543,,,1610612754,29,13,2023-01-19T01:30:56Z,1100000,False,,,0,,MISS I. Jackson Free Throw 2 of 2,[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,Missed,,,,,,,,,,,,,,,,,
111,PT04M13.00S,2023-01-19T01:30:40.9Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,29,13,2023-01-19T01:30:56Z,1110000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,Williams,J. Williams,,,,,,,,,,110.0,2.0,2.0,0.0,,,,,,,,,
112,PT04M02.00S,2023-01-19T01:31:06.6Z,1,REGULAR,3pt,Jump Shot,[],1630198,64.33968462549278,35.78431372549019,1610612760,29,13,2023-01-19T01:31:12Z,1120000,False,-71.0,283.0,1,right,MISS I. Joe 29' 3PT,[1630198],1610612760.0,OKC,,Joe,I. Joe,,Above the Break 3,24+ Center,29.15,Missed,,,,,,,,,,,,,,,,,
113,PT03M58.00S,2023-01-19T01:31:10.6Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,29,13,2023-01-19T01:31:12Z,1130000,False,,,0,,C. Duarte REBOUND (Off:0 Def:2),[1630537],1610612754.0,IND,,Duarte,C. Duarte,,Above the Break 3,24+ Center,,,,,,,112.0,2.0,2.0,0.0,,,,,,,,,
114,PT03M54.00S,2023-01-19T01:31:17.5Z,1,REGULAR,foul,offensive,[],1630543,,,1610612754,29,13,2023-01-19T01:31:24Z,1140000,False,,,0,,I. Jackson offensive FOUL (1 PF),"[1630543, 1631114]",1610612754.0,IND,203591.0,Jackson,I. Jackson,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Williams,1631114.0,,,,,
116,PT03M54.00S,2023-01-19T01:31:17.5Z,1,REGULAR,turnover,offensive foul,[],1630543,,,1610612754,29,13,2023-01-19T01:31:17Z,1160000,False,,,0,,I. Jackson offensive foul TURNOVER (1 TO),[1630543],1610612754.0,IND,203591.0,Jackson,I. Jackson,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,,,,
117,PT03M45.00S,2023-01-19T01:31:39.4Z,1,REGULAR,foul,personal,['2freethrow'],1630537,,,1610612760,29,13,2023-01-19T01:31:44Z,1170000,False,,,0,,C. Duarte shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630537, 1628983]",1610612754.0,IND,1627519.0,Duarte,C. Duarte,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
119,PT03M45.00S,2023-01-19T01:31:58.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,30,13,2023-01-19T01:31:58Z,1190000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (8 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,8.0,,,,,,,,,,,,,,,,
120,PT03M45.00S,2023-01-19T01:32:11.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628983,,,1610612760,31,13,2023-01-19T01:32:11Z,1200000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (9 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,9.0,,,,,,,,,,,,,,,,
121,PT03M36.00S,2023-01-19T01:32:22.7Z,1,REGULAR,turnover,lost ball,[],1630537,,,1610612754,31,13,2023-01-19T01:32:25Z,1210000,False,,,0,,C. Duarte lost ball TURNOVER (1 TO),"[1630537, 1628983]",1610612754.0,IND,,Duarte,C. Duarte,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,
122,PT03M36.00S,2023-01-19T01:32:22.7Z,1,REGULAR,steal,,[],1628983,,,1610612760,31,13,2023-01-19T01:32:24Z,1220000,False,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
123,PT03M21.00S,2023-01-19T01:32:37.8Z,1,REGULAR,turnover,out-of-bounds,[],1631119,,,1610612760,31,13,2023-01-19T01:32:43Z,1230000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631119],1610612760.0,OKC,201639.0,Williams,J. Williams,bad pass,Restricted Area,0-8 Center,,,,,,,,,,,,,,,1.0,,,,
124,PT03M21.00S,2023-01-19T01:32:40.3Z,1,REGULAR,substitution,out,[],1630537,,,1610612754,31,13,2023-01-19T01:32:45Z,1240000,False,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,
125,PT03M21.00S,2023-01-19T01:32:40.3Z,1,REGULAR,substitution,in,[],1630243,,,1610612754,31,13,2023-01-19T01:32:45Z,1250000,False,,,0,,SUB in: T. Queen,[1630243],1610612754.0,IND,,Queen,T. Queen,,,,,,,,,,,,,,,,,,,,,,
126,PT03M03.00S,2023-01-19T01:33:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630174,6.521024967148489,44.6078431372549,1610612754,31,15,2023-01-19T01:33:10Z,1260000,False,27.0,9.0,1,left,A. Nesmith driving Layup (3 PTS),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,driving,Restricted Area,0-8 Center,2.84,Made,3.0,,,,,,,,,,,,,,,,
127,PT02M46.00S,2023-01-19T01:33:23.0Z,1,REGULAR,3pt,Jump Shot,[],1630198,76.82325886990802,89.70588235294117,1610612760,34,15,2023-01-19T01:33:27Z,1270000,False,199.0,165.0,1,right,I. Joe 25' 3PT  (6 PTS) (A. Wiggins 1 AST),"[1630198, 1630598]",1610612760.0,OKC,,Joe,I. Joe,,Above the Break 3,24+ Right Center,25.84,Made,6.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,,,,
129,PT02M34.00S,2023-01-19T01:33:35.2Z,1,REGULAR,2pt,Jump Shot,[],1630243,22.946780551905388,49.754901960784316,1610612754,34,15,2023-01-19T01:33:39Z,1290000,False,1.0,163.0,1,left,MISS T. Queen 16' pullup Shot,[1630243],1610612754.0,IND,,Queen,T. Queen,pullup,Mid-Range,16-24 Center,16.32,Missed,,,,,,,,,,,,,,,,,
130,PT02M32.00S,2023-01-19T01:33:37.8Z,1,REGULAR,rebound,offensive,[],1629052,,,1610612754,34,15,2023-01-19T01:33:37Z,1300000,False,,,0,,O. Brissett REBOUND (Off:2 Def:0),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Mid-Range,16-24 Center,,,,,,,129.0,2.0,0.0,2.0,,,,,,,,,
131,PT02M30.00S,2023-01-19T01:33:39.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629052,5.601182654402102,46.568627450980394,1610612754,34,15,2023-01-19T01:33:43Z,1310000,False,17.0,0.0,1,left,MISS O. Brissett putback Layup,[1629052],1610612754.0,IND,,Brissett,O. Brissett,putback,Restricted Area,0-8 Center,1.72,Missed,,,,,,,,,,,,,,,,,
132,PT02M28.00S,2023-01-19T01:33:41.2Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,34,15,2023-01-19T01:33:43Z,1320000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,Joe,I. Joe,,Restricted Area,0-8 Center,,,,,,,131.0,1.0,1.0,0.0,,,,,,,,,
136,PT02M24.00S,2023-01-19T01:33:54.3Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,34,15,2023-01-19T01:43:17Z,1360000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,
137,PT02M24.00S,2023-01-19T01:33:54.3Z,1,REGULAR,substitution,in,[],1630544,,,1610612760,34,15,2023-01-19T01:43:17Z,1370000,False,,,0,,SUB in: T. Mann,[1630544],1610612760.0,OKC,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,
138,PT02M12.00S,2023-01-19T01:34:21.1Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,34,15,2023-01-19T01:34:24Z,1380000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 204456]",1610612760.0,OKC,,Wiggins,A. Wiggins,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,McConnell,204456.0,,
139,PT02M12.00S,2023-01-19T01:34:21.1Z,1,REGULAR,steal,,[],204456,,,1610612754,34,15,2023-01-19T01:34:22Z,1390000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,McConnell,T. McConnell,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
140,PT02M08.00S,2023-01-19T01:34:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630543,5.469776609724048,52.69607843137255,1610612754,34,17,2023-01-19T01:34:31Z,1400000,False,-13.0,-1.0,1,left,I. Jackson alley-oop Layup (5 PTS) (T. McConnell 1 AST),"[1630543, 204456]",1610612754.0,IND,,Jackson,I. Jackson,alley-oop,Restricted Area,0-8 Center,1.35,Made,5.0,T. McConnell,204456.0,1.0,,,,,,,,,,,,,
142,PT01M51.00S,2023-01-19T01:34:44.4Z,1,REGULAR,turnover,out-of-bounds,[],1631119,,,1610612760,34,17,2023-01-19T01:34:49Z,1420000,False,,,0,,J. Williams bad pass out-of-bounds TURNOVER (2 TO),[1631119],1610612760.0,OKC,1627519.0,Williams,J. Williams,bad pass,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,2.0,,,,
143,PT01M48.00S,2023-01-19T01:34:51.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629052,25.04927726675427,15.931372549019606,1610612754,34,17,2023-01-19T01:35:00Z,1430000,False,170.0,183.0,1,left,MISS O. Brissett 25' 3PT,[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Above the Break 3,24+ Right Center,25.0,Missed,,,,,,,,,,,,,,,,,
144,PT01M42.00S,2023-01-19T01:34:57.4Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,34,17,2023-01-19T01:34:57Z,1440000,False,,,0,,I. Joe REBOUND (Off:0 Def:2),[1630198],1610612760.0,OKC,,Joe,I. Joe,,Above the Break 3,24+ Right Center,,,,,,,143.0,2.0,2.0,0.0,,,,,,,,,
145,PT01M35.00S,2023-01-19T01:35:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,89.83245729303549,48.77450980392157,1610612760,34,17,2023-01-19T01:35:10Z,1450000,False,-6.0,43.0,1,right,MISS T. Mann driving Layup - blocked,"[1630544, 1629052]",1610612760.0,OKC,,Mann,T. Mann,driving,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,,,,,,,,Brissett,1629052.0
146,PT01M35.00S,2023-01-19T01:35:03.7Z,1,REGULAR,block,,[],1629052,,,1610612760,34,17,2023-01-19T01:35:06Z,1460000,False,,,0,,O. Brissett BLOCK (1 BLK),[1629052],1610612754.0,IND,,Brissett,O. Brissett,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
147,PT01M32.00S,2023-01-19T01:35:06.7Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612760,34,17,2023-01-19T01:35:10Z,1470000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1630544],1610612760.0,OKC,,Mann,T. Mann,,Restricted Area,0-8 Center,,,,,,,145.0,1.0,0.0,1.0,,,,,,,,,
148,PT01M32.00S,2023-01-19T01:35:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630544,93.38042049934296,50.245098039215684,1610612760,34,17,2023-01-19T01:35:13Z,1480000,False,1.0,10.0,1,right,MISS T. Mann putback Layup,[1630544],1610612760.0,OKC,,Mann,T. Mann,putback,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,
149,PT01M31.00S,2023-01-19T01:35:08.2Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,34,17,2023-01-19T01:39:50Z,1490000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,Restricted Area,0-8 Center,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,
150,PT01M29.00S,2023-01-19T01:35:10.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],204456,24.917871222076215,73.0392156862745,1610612754,34,19,2023-01-19T01:40:42Z,1500000,False,-115.0,182.0,1,left,T. McConnell 21' pullup Jump Shot (4 PTS),[204456],1610612754.0,IND,,McConnell,T. McConnell,pullup,Mid-Range,16-24 Left Center,21.51,Made,4.0,,,,,,,,,,,,,,,,
151,PT01M16.00S,2023-01-19T01:35:27.4Z,1,REGULAR,foul,personal,[],1630243,,,1610612760,34,19,2023-01-19T01:35:31Z,1510000,False,,,0,,T. Queen personal FOUL (1 PF),"[1630243, 1628983]",1610612754.0,IND,1627519.0,Queen,T. Queen,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
153,PT01M16.00S,2023-01-19T01:35:31.9Z,1,REGULAR,substitution,out,[],1631119,,,1610612760,34,19,2023-01-19T01:35:46Z,1530000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,
154,PT01M16.00S,2023-01-19T01:35:31.9Z,1,REGULAR,substitution,in,[],203488,,,1610612760,34,19,2023-01-19T01:35:46Z,1540000,False,,,0,,SUB in: M. Muscala,[203488],1610612760.0,OKC,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,
156,PT01M06.00S,2023-01-19T01:36:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628983,69.85873850197109,25.0,1610612760,34,19,2023-01-19T01:36:06Z,1550000,False,-125.0,231.0,1,right,MISS S. Gilgeous-Alexander 26' 3PT,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,Above the Break 3,24+ Left Center,26.25,Missed,,,,,,,,,,,,,,,,,
157,PT01M03.00S,2023-01-19T01:36:05.1Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,34,19,2023-01-19T01:36:06Z,1560000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,Jackson,I. Jackson,,Above the Break 3,24+ Left Center,,,,,,,156.0,1.0,1.0,0.0,,,,,,,,,
158,PT00M57.20S,2023-01-19T01:36:12.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,20.844283837056505,92.15686274509804,1610612754,34,19,2023-01-19T01:36:18Z,1570000,False,-211.0,143.0,1,left,MISS A. Nesmith 25' 3PT,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,
159,PT00M52.70S,2023-01-19T01:36:16.6Z,1,REGULAR,rebound,offensive,[],1630243,,,1610612754,34,19,2023-01-19T01:36:16Z,1580000,False,,,0,,T. Queen REBOUND (Off:1 Def:0),[1630243],1610612754.0,IND,,Queen,T. Queen,,Above the Break 3,24+ Left Center,,,,,,,158.0,1.0,0.0,1.0,,,,,,,,,
160,PT00M51.50S,2023-01-19T01:36:21.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630198,,,1610612754,34,19,2023-01-19T01:36:28Z,1590000,False,,,0,,I. Joe personal FOUL (1 PF) (Nesmith 2 FT),"[1630198, 1630174]",1610612760.0,OKC,201639.0,Joe,I. Joe,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,0.0,Nesmith,1630174.0,,,,,
162,PT00M51.50S,2023-01-19T01:36:48.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630174,,,1610612754,34,20,2023-01-19T01:37:00Z,1610000,False,,,0,,A. Nesmith Free Throw 1 of 2 (4 PTS),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,Made,4.0,,,,,,,,,,,,,,,,
163,PT00M51.50S,2023-01-19T01:36:48.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630174,,,1610612754,34,20,2023-01-19T01:37:00Z,1620000,False,,,0,,MISS A. Nesmith Free Throw 2 of 2,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,Missed,,,,,,,,,,,,,,,,,
164,PT00M49.90S,2023-01-19T01:36:50.3Z,1,REGULAR,rebound,defensive,[],203488,,,1610612760,34,20,2023-01-19T01:37:00Z,1630000,False,,,0,,M. Muscala REBOUND (Off:0 Def:1),[203488],1610612760.0,OKC,,Muscala,M. Muscala,,,,,,,,,,163.0,1.0,1.0,0.0,,,,,,,,,
165,PT00M31.60S,2023-01-19T01:37:21.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630174,,,1610612760,34,20,2023-01-19T01:37:32Z,1640000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630174, 1628983]",1610612754.0,IND,201639.0,Nesmith,A. Nesmith,shooting,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,
167,PT00M31.60S,2023-01-19T01:37:46.5Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,35,20,2023-01-19T01:37:46Z,1660000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (10 PTS),[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Made,10.0,,,,,,,,,,,,,,,,
168,PT00M31.60S,2023-01-19T01:37:46.5Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,35,20,2023-01-19T01:38:03Z,1670000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Missed,,,,,,,,,,,,,,,,,
169,PT00M29.90S,2023-01-19T01:37:48.2Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,35,20,2023-01-19T01:38:03Z,1680000,False,,,0,,I. Jackson REBOUND (Off:0 Def:2),[1630543],1610612754.0,IND,,Jackson,I. Jackson,,,,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,,
170,PT00M13.30S,2023-01-19T01:38:19.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,19.66162943495401,35.78431372549019,1610612754,35,20,2023-01-19T01:38:23Z,1690000,False,71.0,132.0,1,left,MISS T. McConnell 15' pullup Shot,[204456],1610612754.0,IND,,McConnell,T. McConnell,pullup,In The Paint (Non-RA),8-16 Center,15.02,Missed,,,,,,,,,,,,,,,,,
171,PT00M10.70S,2023-01-19T01:38:21.8Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,35,20,2023-01-19T01:38:21Z,1700000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:1),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,In The Paint (Non-RA),8-16 Center,,,,,,,170.0,2.0,1.0,1.0,,,,,,,,,
172,PT00M08.90S,2023-01-19T01:38:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630174,6.258212877792378,50.0,1610612754,35,20,2023-01-19T01:38:27Z,1710000,False,0.0,6.0,1,left,MISS A. Nesmith Layup,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,Restricted Area,0-8 Center,0.63,Missed,,,,,,,,,,,,,,,,,
173,PT00M07.40S,2023-01-19T01:38:25.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,35,20,2023-01-19T01:38:27Z,1720000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,Restricted Area,0-8 Center,,,,,,,172.0,,,,,,,,,,,,
174,PT00M07.40S,2023-01-19T01:38:35.4Z,1,REGULAR,substitution,out,[],1630198,,,1610612754,35,20,2023-01-19T01:38:45Z,1730000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,
175,PT00M07.40S,2023-01-19T01:38:35.4Z,1,REGULAR,substitution,out,[],1630544,,,1610612754,35,20,2023-01-19T01:38:45Z,1740000,False,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,
176,PT00M07.40S,2023-01-19T01:38:35.4Z,1,REGULAR,substitution,in,[],1629647,,,1610612754,35,20,2023-01-19T01:38:45Z,1750000,False,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,
177,PT00M07.40S,2023-01-19T01:38:35.4Z,1,REGULAR,substitution,in,[],1629026,,,1610612754,35,20,2023-01-19T01:38:45Z,1760000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,
