actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
82,PT05M47.00S,2024-03-21T00:23:18.9Z,1,REGULAR,3pt,Jump Shot,[],1641707,7.966491458607096,2.696078431372549,1610612762,18,8,2024-03-21T00:23:22Z,810000,False,237.0,22.0,1,left,MISS T. Hendricks 3PT,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.76,,,,,,,,,,,,
83,PT05M45.00S,2024-03-21T00:23:20.9Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,18,8,2024-03-21T00:23:22Z,820000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:6),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,82.0,6.0,6.0,0.0,,,
84,PT05M35.00S,2024-03-21T00:23:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,92.9862023653088,51.9607843137255,1610612760,20,8,2024-03-21T00:23:36Z,830000,False,10.0,13.0,1,right,S. Gilgeous-Alexander driving finger roll Layup (2 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.66,,,,,,,,,,,,
85,PT05M24.00S,2024-03-21T00:23:42.6Z,1,REGULAR,3pt,Jump Shot,[],1628381,28.86005256241787,19.607843137254903,1610612762,20,11,2024-03-21T00:23:46Z,840000,False,152.0,219.0,1,left,J. Collins 26' 3PT  (3 PTS) (C. Sexton 1 AST),"[1628381, 1629012]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,26.64,C. Sexton,1629012.0,1.0,,,,,,,,,
87,PT05M01.00S,2024-03-21T00:24:05.0Z,1,REGULAR,3pt,Jump Shot,[],1631114,75.1149802890933,12.745098039215685,1610612760,20,11,2024-03-21T00:24:11Z,860000,False,-186.0,181.0,1,right,MISS J. Williams 26' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.0,,,,,,,,,,,,
88,PT04M59.00S,2024-03-21T00:24:07.0Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,20,11,2024-03-21T00:24:11Z,870000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:6),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,87.0,7.0,6.0,1.0,,,
89,PT04M56.00S,2024-03-21T00:24:10.0Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,20,11,2024-03-21T00:24:14Z,880000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1629012]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Sexton,1629012.0
90,PT04M56.00S,2024-03-21T00:24:10.0Z,1,REGULAR,steal,,[],1629012,,,1610612762,20,11,2024-03-21T00:24:12Z,890000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
91,PT04M45.00S,2024-03-21T00:24:21.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629012,7.440867279894875,65.44117647058823,1610612762,20,11,2024-03-21T00:36:21Z,900000,False,-77.0,17.0,1,left,MISS C. Sexton 7' driving floating bank Shot,[1629012],1610612762.0,UTA,driving floating bank,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,7.91,,,,,,,,,,,,
92,PT04M43.00S,2024-03-21T00:24:23.7Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,20,11,2024-03-21T00:24:28Z,910000,False,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,91.0,2.0,1.0,1.0,,,
93,PT04M33.00S,2024-03-21T00:24:33.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,96.7969776609724,75.98039215686273,1610612760,20,11,2024-03-21T00:24:41Z,920000,False,130.0,-22.0,1,right,MISS S. Gilgeous-Alexander 13' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,,,,Missed,,13.18,,,,,,,,,,,,
94,PT04M31.00S,2024-03-21T00:24:35.8Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,20,11,2024-03-21T00:24:41Z,930000,False,,,0,,K. George REBOUND (Off:0 Def:3),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,93.0,3.0,3.0,0.0,,,
95,PT04M22.00S,2024-03-21T00:24:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,9.280551905387648,38.970588235294116,1610612762,20,11,2024-03-21T00:36:44Z,940000,False,55.0,35.0,1,left,MISS K. George 6' driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.51,,,,,,,,,,,,
96,PT04M20.00S,2024-03-21T00:24:46.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,20,11,2024-03-21T00:24:54Z,950000,False,,,0,,J. Giddey REBOUND (Off:1 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,95.0,4.0,3.0,1.0,,,
97,PT04M15.00S,2024-03-21T00:24:52.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1631114,93.51182654402102,48.77450980392157,1610612760,22,11,2024-03-21T00:26:13Z,960000,False,-6.0,8.0,1,right,J. Williams running alley-oop DUNK (4 PTS) (J. Giddey 4 AST),"[1631114, 1630581]",1610612760.0,OKC,running alley-oop,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,1.05,J. Giddey,1630581.0,4.0,,,,,,,,,
99,PT04M14.00S,2024-03-21T00:25:07.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,22,11,2024-03-21T00:25:07Z,980000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1630581,,,1610612762,22,11,2024-03-21T00:27:42Z,990000,False,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612762,22,11,2024-03-21T00:27:42Z,1000000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1631096,,,1610612762,22,11,2024-03-21T00:27:42Z,1010000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1631114,,,1610612762,22,11,2024-03-21T00:27:42Z,1020000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1641707,,,1610612762,22,11,2024-03-21T00:27:42Z,1030000,False,,,0,,SUB out: T. Hendricks,[1641707],1610612762.0,UTA,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1641718,,,1610612762,22,11,2024-03-21T00:27:42Z,1040000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1627739,,,1610612762,22,11,2024-03-21T00:27:42Z,1050000,False,,,0,,SUB out: K. Dunn,[1627739],1610612762.0,UTA,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,out,[],1628381,,,1610612762,22,11,2024-03-21T00:27:42Z,1060000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],202330,,,1610612762,22,11,2024-03-21T00:27:42Z,1070000,False,,,0,,SUB in: G. Hayward,[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1631119,,,1610612762,22,11,2024-03-21T00:27:42Z,1080000,False,,,0,,SUB in: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1641717,,,1610612762,22,11,2024-03-21T00:27:42Z,1090000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1630198,,,1610612762,22,11,2024-03-21T00:27:42Z,1100000,False,,,0,,SUB in: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1631117,,,1610612762,22,11,2024-03-21T00:27:42Z,1110000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1630695,,,1610612762,22,11,2024-03-21T00:27:42Z,1120000,False,,,0,,SUB in: M. Potter,[1630695],1610612762.0,UTA,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1630548,,,1610612762,22,11,2024-03-21T00:27:42Z,1130000,False,,,0,,SUB in: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT04M14.00S,2024-03-21T00:27:14.7Z,1,REGULAR,substitution,in,[],1629659,,,1610612762,22,11,2024-03-21T00:27:42Z,1140000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M53.00S,2024-03-21T00:28:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,6.652431011826544,43.38235294117647,1610612762,22,13,2024-03-21T02:29:17Z,1150000,False,33.0,10.0,1,left,T. Horton-Tucker driving Layup (2 PTS),[1629659],1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.46,,,,,,,,,,,,
117,PT03M53.00S,2024-03-21T00:28:15.8Z,1,REGULAR,foul,personal,['1freethrow'],1630198,,,1610612762,22,13,2024-03-21T00:28:27Z,1160000,False,,,0,,I. Joe shooting personal FOUL (1 PF) (Horton-Tucker 1 FT),"[1630198, 1629659]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,,
120,PT03M53.00S,2024-03-21T00:28:37.6Z,1,REGULAR,freethrow,1 of 1,[],1629659,,,1610612762,22,14,2024-03-21T00:28:37Z,1180000,False,,,0,,T. Horton-Tucker Free Throw 1 of 1 (3 PTS),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
121,PT03M36.00S,2024-03-21T00:28:55.6Z,1,REGULAR,3pt,Jump Shot,[],1630198,71.43561103810775,77.69607843137256,1610612760,22,14,2024-03-21T00:29:00Z,1190000,False,138.0,216.0,1,right,MISS I. Joe 25' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.66,,,,,,,,,,,,
122,PT03M33.00S,2024-03-21T00:28:58.6Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,22,14,2024-03-21T00:29:00Z,1200000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,121.0,1.0,1.0,0.0,,,
123,PT03M22.00S,2024-03-21T00:29:09.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,5.995400788436268,51.225490196078425,1610612762,22,16,2024-03-21T00:29:13Z,1210000,False,-6.0,4.0,1,left,W. Kessler alley-oop DUNK (2 PTS) (C. Sexton 2 AST),"[1631117, 1629012]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.72,C. Sexton,1629012.0,2.0,,,,,,,,,
125,PT03M07.00S,2024-03-21T00:29:24.4Z,1,REGULAR,3pt,Jump Shot,[],1631119,75.24638633377135,12.990196078431374,1610612760,22,16,2024-03-21T00:29:28Z,1230000,False,-185.0,180.0,1,right,MISS J. Williams 25' 3PT,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.83,,,,,,,,,,,,
126,PT03M05.00S,2024-03-21T00:29:26.4Z,1,REGULAR,rebound,offensive,[],202330,,,1610612760,22,16,2024-03-21T00:29:28Z,1240000,False,,,0,,G. Hayward REBOUND (Off:1 Def:0),[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,125.0,1.0,0.0,1.0,,,
127,PT03M00.00S,2024-03-21T00:29:31.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628983,78.26872536136662,55.14705882352941,1610612760,24,16,2024-03-21T00:29:36Z,1250000,False,26.0,152.0,1,right,S. Gilgeous-Alexander 15' pullup Jump Shot (4 PTS) (G. Hayward 1 AST),"[1628983, 202330]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,,,,,,Made,4.0,15.4,G. Hayward,202330.0,1.0,,,,,,,,,
129,PT02M43.00S,2024-03-21T00:29:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,6.389618922470433,45.09803921568628,1610612762,24,18,2024-03-21T00:29:53Z,1270000,False,25.0,8.0,1,left,C. Sexton driving finger roll Layup (2 PTS),[1629012],1610612762.0,UTA,driving finger roll,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,2.57,,,,,,,,,,,,
130,PT02M33.00S,2024-03-21T00:29:58.5Z,1,REGULAR,2pt,Jump Shot,[],1628983,87.07293035479631,28.676470588235293,1610612760,24,18,2024-03-21T00:30:02Z,1280000,False,-107.0,69.0,1,right,MISS S. Gilgeous-Alexander 12' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,Missed,,12.7,,,,,,,,,,,,
131,PT02M30.00S,2024-03-21T00:30:01.5Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,24,18,2024-03-21T00:30:02Z,1290000,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,130.0,1.0,1.0,0.0,,,
132,PT02M21.00S,2024-03-21T00:30:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629659,10.068988173455978,63.725490196078425,1610612762,24,18,2024-03-21T00:30:53Z,1300000,False,-69.0,42.0,1,left,MISS T. Horton-Tucker 8' driving floating bank Shot,[1629659],1610612762.0,UTA,driving floating bank,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Missed,,8.05,,,,,,,,,,,,
133,PT02M18.00S,2024-03-21T00:30:13.7Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,24,18,2024-03-21T00:30:53Z,1310000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,132.0,1.0,1.0,0.0,,,
134,PT02M15.00S,2024-03-21T00:30:16.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641717,85.10183968462549,94.11764705882352,1610612760,24,18,2024-03-21T00:31:20Z,1320000,False,221.0,88.0,1,right,MISS C. Wallace running 3PT,[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,,,,,,Missed,,23.73,,,,,,,,,,,,
135,PT02M12.00S,2024-03-21T00:30:19.2Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,24,18,2024-03-21T00:30:22Z,1330000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,134.0,1.0,1.0,0.0,,,
136,PT02M03.00S,2024-03-21T00:30:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630695,10.85742444152431,4.166666666666666,1610612762,24,21,2024-03-21T00:30:34Z,1340000,False,229.0,50.0,1,left,M. Potter 3PT  (3 PTS) (C. Sexton 3 AST),"[1630695, 1629012]",1610612762.0,UTA,,,,Potter,M. Potter,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.45,C. Sexton,1629012.0,3.0,,,,,,,,,
138,PT01M47.00S,2024-03-21T00:30:44.9Z,1,REGULAR,3pt,Jump Shot,[],1631119,95.6143232588699,3.9215686274509802,1610612760,27,21,2024-03-21T00:30:50Z,1360000,False,-230.0,-11.0,1,right,J. Williams 3PT  (3 PTS) (S. Gilgeous-Alexander 3 AST),"[1631119, 1628983]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.07,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,
140,PT01M29.00S,2024-03-21T00:31:02.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,12.828515111695138,35.294117647058826,1610612762,27,23,2024-03-21T00:31:06Z,1380000,False,74.0,68.0,1,left,C. Sexton 10' driving floating Jump Shot (4 PTS),[1629012],1610612762.0,UTA,driving floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Made,4.0,10.02,,,,,,,,,,,,
141,PT01M13.00S,2024-03-21T00:31:18.5Z,1,REGULAR,3pt,Jump Shot,[],1628983,72.88107752956637,15.931372549019606,1610612760,27,23,2024-03-21T00:31:23Z,1390000,False,-170.0,202.0,1,right,MISS S. Gilgeous-Alexander 26' pullup 3PT,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,26.45,,,,,,,,,,,,
142,PT01M10.00S,2024-03-21T00:31:21.5Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,27,23,2024-03-21T00:31:23Z,1400000,False,,,0,,W. Kessler REBOUND (Off:0 Def:2),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,141.0,2.0,2.0,0.0,,,
143,PT00M59.60S,2024-03-21T00:31:57.1Z,1,REGULAR,jumpball,recovered,[],202330,,,1610612762,27,23,2024-03-21T00:31:57Z,1410000,False,,,0,,Jump Ball C. Wallace vs. T. Horton-Tucker: Tip to G. Hayward,"[202330, 1641717, 1629659]",1610612760.0,OKC,heldball,G. Hayward,202330.0,Hayward,G. Hayward,Wallace,1641717.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,,,,,,,,,
146,PT00M59.60S,2024-03-21T00:31:57.1Z,1,REGULAR,turnover,lost ball,[],1629659,,,1610612762,27,23,2024-03-21T00:31:57Z,1440000,False,,,0,,T. Horton-Tucker lost ball TURNOVER (1 TO),"[1629659, 1641717]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,1.0,Wallace,1641717.0
147,PT00M59.60S,2024-03-21T00:31:57.1Z,1,REGULAR,steal,,[],1641717,,,1610612760,27,23,2024-03-21T00:31:57Z,1450000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M48.90S,2024-03-21T00:32:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1630695,,,1610612760,27,23,2024-03-21T00:32:18Z,1460000,False,,,0,,M. Potter shooting personal FOUL (1 PF) (Hayward 2 FT),"[1630695, 202330]",1610612762.0,UTA,shooting,,,Potter,M. Potter,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,1.0,0.0,Hayward,202330.0,,,,,,,,,,,,,,,
150,PT00M48.90S,2024-03-21T00:32:34.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202330,,,1610612760,28,23,2024-03-21T00:32:51Z,1480000,False,,,0,,G. Hayward Free Throw 1 of 2 (1 PTS),[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
151,PT00M48.90S,2024-03-21T00:32:34.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202330,,,1610612760,28,23,2024-03-21T00:32:51Z,1490000,False,,,0,,MISS G. Hayward Free Throw 2 of 2,[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
152,PT00M46.60S,2024-03-21T00:32:36.7Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,28,23,2024-03-21T00:32:51Z,1500000,False,,,0,,W. Kessler REBOUND (Off:0 Def:3),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,151.0,3.0,3.0,0.0,,,
153,PT00M35.90S,2024-03-21T00:33:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,6.915243101182654,47.794117647058826,1610612762,28,25,2024-03-21T00:33:08Z,1510000,False,11.0,13.0,1,left,C. Sexton driving Layup (6 PTS),[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,Made,6.0,1.67,,,,,,,,,,,,
154,PT00M31.40S,2024-03-21T00:33:07.9Z,1,REGULAR,3pt,Jump Shot,[],1628983,68.01905387647832,70.09803921568627,1610612760,31,25,2024-03-21T00:33:33Z,1520000,False,100.0,248.0,1,right,S. Gilgeous-Alexander 26' 3PT pullup (7 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,,,Made,7.0,26.77,,,,,,,,,,,,
155,PT00M14.10S,2024-03-21T00:33:28.6Z,1,REGULAR,foul,personal,[],1628983,,,1610612762,31,25,2024-03-21T00:33:34Z,1530000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1629012]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right Center,202056.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,,,,
157,PT00M05.90S,2024-03-21T00:33:59.4Z,1,REGULAR,3pt,Jump Shot,[],1629012,29.517082785808146,24.754901960784316,1610612762,31,25,2024-03-21T00:34:11Z,1550000,False,126.0,225.0,1,left,MISS C. Sexton 25' pullup 3PT,[1629012],1610612762.0,UTA,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.8,,,,,,,,,,,,
158,PT00M00.30S,2024-03-21T00:34:09.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,31,25,2024-03-21T00:34:09Z,1560000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,157.0,,,,,,
160,PT00M00.30S,2024-03-21T00:34:14.5Z,1,REGULAR,substitution,out,[],1630198,,,1610612762,31,25,2024-03-21T00:34:21Z,1580000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT00M00.30S,2024-03-21T00:34:14.5Z,1,REGULAR,substitution,in,[],1631096,,,1610612762,31,25,2024-03-21T00:34:21Z,1590000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M00.00S,2024-03-21T00:34:45.7Z,1,REGULAR,period,end,[],0,,,1610612762,31,25,2024-03-21T00:34:45Z,1600000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-03-21T00:34:48.1Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612762,31,25,2024-03-21T00:37:27Z,1610000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-03-21T00:34:48.1Z,2,REGULAR,substitution,out,['startperiod'],1631119,,,1610612762,31,25,2024-03-21T00:37:27Z,1620000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
