actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,in,[],1626181,,,1610612760,16,23,2024-02-23T01:25:43Z,830000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M50.00S,2024-02-23T01:25:10.7Z,1,REGULAR,substitution,in,[],203486,,,1610612760,16,23,2024-02-23T01:25:43Z,840000,False,,,0,,SUB in: M. Plumlee,[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2024-02-23T01:25:54.3Z,1,REGULAR,3pt,Jump Shot,[],1629026,96.40275952693824,95.34313725490196,1610612760,16,23,2024-02-23T01:25:58Z,850000,False,227.0,-19.0,1,right,MISS K. Williams 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,22.75,Missed,,,,,,,,,,,,,,,,,,
89,PT04M32.00S,2024-02-23T01:25:59.3Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,16,23,2024-02-23T01:25:58Z,860000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Right Corner 3,24+ Right,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,
90,PT04M28.00S,2024-02-23T01:26:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201566,5.601182654402102,43.627450980392155,1610612746,16,23,2024-02-23T01:26:10Z,870000,False,32.0,0.0,1,left,MISS R. Westbrook running Layup,[201566],1610612746.0,LAC,running,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
91,PT04M26.00S,2024-02-23T01:26:05.1Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,16,23,2024-02-23T01:26:10Z,880000,False,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT04M21.00S,2024-02-23T01:26:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641717,74.19513797634691,11.519607843137255,1610612760,19,23,2024-02-23T04:44:24Z,890000,False,-192.0,190.0,1,right,C. Wallace 27' 3PT running (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1641717, 1628983]",1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,27.05,Made,3.0,,,,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
94,PT03M58.00S,2024-02-23T01:26:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,11.251642575558476,37.745098039215684,1610612746,19,25,2024-02-23T01:26:36Z,910000,False,61.0,53.0,1,left,K. Leonard 8' driving bank Jump Shot (6 PTS),[202695],1610612746.0,LAC,driving bank,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Right,8.12,Made,6.0,,,,,,,,,,,,,,,,,
95,PT03M50.00S,2024-02-23T01:26:43.3Z,1,REGULAR,foul,personal,['2freethrow'],203486,,,1610612760,19,25,2024-02-23T01:28:47Z,920000,False,,,0,,M. Plumlee shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[203486, 1628983]",1610612746.0,LAC,shooting,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Gilgeous-Alexander,1628983.0
97,PT03M50.00S,2024-02-23T01:27:05.7Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,20,25,2024-02-23T01:27:05Z,940000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
98,PT03M50.00S,2024-02-23T01:27:07.0Z,1,REGULAR,substitution,out,[],1629611,,,1610612760,20,25,2024-02-23T01:27:14Z,950000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M50.00S,2024-02-23T01:27:07.0Z,1,REGULAR,substitution,in,[],1629599,,,1610612760,20,25,2024-02-23T01:27:14Z,960000,False,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M50.00S,2024-02-23T01:27:24.3Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,21,25,2024-02-23T01:27:24Z,970000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (5 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
101,PT03M34.00S,2024-02-23T01:27:42.9Z,1,REGULAR,3pt,Jump Shot,[],201566,4.812746386333772,96.32352941176471,1610612746,21,25,2024-02-23T01:27:48Z,980000,False,-232.0,-7.0,1,left,MISS R. Westbrook 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
102,PT03M30.00S,2024-02-23T01:27:46.9Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,21,25,2024-02-23T01:27:48Z,990000,False,,,0,,K. Williams REBOUND (Off:0 Def:2),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Left Corner 3,24+ Left,,,,,,,101.0,2.0,2.0,0.0,,,,,,,,,,
103,PT03M24.00S,2024-02-23T01:27:52.2Z,1,REGULAR,3pt,Jump Shot,[],1630598,88.91261498028909,4.6568627450980395,1610612760,24,25,2024-02-23T01:27:56Z,1000000,False,-227.0,52.0,1,right,A. Wiggins 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,23.25,Made,3.0,,,,,,,,,,S. Gilgeous-Alexander,1628983.0,2.0,,,,,
105,PT03M12.00S,2024-02-23T01:28:04.7Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612746,24,25,2024-02-23T02:07:59Z,1020000,False,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 1628983]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,
106,PT03M12.00S,2024-02-23T01:28:04.7Z,1,REGULAR,steal,,[],1628983,,,1610612760,24,25,2024-02-23T01:35:25Z,1030000,False,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
107,PT03M08.00S,2024-02-23T01:28:08.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630598,96.66557161629436,1.9607843137254901,1610612760,24,25,2024-02-23T01:31:09Z,1040000,False,-240.0,-21.0,1,right,MISS A. Wiggins 24' running 3PT,[1630598],1610612760.0,OKC,running,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,24.11,Missed,,,,,,,,,,,,,,,,,,
108,PT03M04.00S,2024-02-23T01:28:12.1Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,24,25,2024-02-23T01:28:12Z,1050000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Left Corner 3,24+ Left,,,,,,,107.0,1.0,0.0,1.0,,,,,,,,,,
109,PT02M57.00S,2024-02-23T01:28:22.1Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612760,24,25,2024-02-23T01:28:31Z,1060000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1626181, 1628983]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Gilgeous-Alexander,1628983.0
111,PT02M57.00S,2024-02-23T01:28:42.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1628983,,,1610612760,25,25,2024-02-23T01:28:42Z,1080000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (6 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
112,PT02M57.00S,2024-02-23T01:28:42.5Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1628983,,,1610612760,25,25,2024-02-23T01:29:01Z,1090000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 2 of 2,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
113,PT02M54.00S,2024-02-23T01:28:45.5Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,25,25,2024-02-23T01:29:01Z,1100000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,112.0,1.0,0.0,1.0,,,,,,,,,,
114,PT02M51.00S,2024-02-23T01:29:03.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628983,75.24638633377135,85.7843137254902,1610612760,28,25,2024-02-23T01:29:08Z,1110000,False,179.0,180.0,1,right,S. Gilgeous-Alexander 25' 3PT pullup (9 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,25.39,Made,9.0,,,,,,,,,,,,,,,,,
115,PT02M26.00S,2024-02-23T01:29:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.440867279894875,42.8921568627451,1610612746,28,25,2024-02-23T01:29:34Z,1120000,False,36.0,17.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612746.0,LAC,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.95,Missed,,,,,,,,,,,,,,,,,,
116,PT02M24.00S,2024-02-23T01:29:29.7Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,28,25,2024-02-23T01:29:34Z,1130000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,,115.0,1.0,1.0,0.0,,,,,,,,,,
117,PT02M22.00S,2024-02-23T01:29:32.2Z,1,REGULAR,turnover,bad pass,[],1630198,,,1610612760,28,25,2024-02-23T01:29:36Z,1140000,False,,,0,,I. Joe bad pass TURNOVER (1 TO),"[1630198, 1629599]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Mid-Range,16-24 Left Center,,,,1.0,Coffey,1629599.0,,,,,,,,,,,,,,
118,PT02M22.00S,2024-02-23T01:29:32.2Z,1,REGULAR,steal,,[],1629599,,,1610612746,28,25,2024-02-23T01:29:33Z,1150000,False,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
119,PT02M13.00S,2024-02-23T01:29:40.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202695,17.95335085413929,43.872549019607845,1610612746,28,27,2024-02-23T01:36:23Z,1160000,False,31.0,116.0,1,left,K. Leonard 12' driving Hook (8 PTS) (A. Coffey 1 AST),"[202695, 1629599]",1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,12.03,Made,8.0,,,,,,,,,,A. Coffey,1629599.0,1.0,,,,,
121,PT01M58.00S,2024-02-23T01:29:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,92.85479632063075,45.588235294117645,1610612760,30,27,2024-02-23T01:30:00Z,1180000,False,-22.0,15.0,1,right,S. Gilgeous-Alexander driving finger roll Layup (11 PTS),[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.65,Made,11.0,,,,,,,,,,,,,,,,,
122,PT01M45.00S,2024-02-23T01:30:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,5.075558475689881,45.588235294117645,1610612746,30,27,2024-02-23T01:30:17Z,1190000,False,22.0,-5.0,1,left,MISS M. Plumlee reverse Layup - blocked,"[203486, 1628983]",1610612746.0,LAC,reverse,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,
123,PT01M45.00S,2024-02-23T01:30:09.2Z,1,REGULAR,block,,[],1628983,,,1610612746,30,27,2024-02-23T01:30:12Z,1200000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
124,PT01M41.00S,2024-02-23T01:30:13.2Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,30,27,2024-02-23T01:30:17Z,1210000,False,,,0,,K. Williams REBOUND (Off:0 Def:3),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,,,122.0,3.0,3.0,0.0,,,,,,,,,,
125,PT01M37.00S,2024-02-23T01:30:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629026,93.38042049934296,50.0,1610612760,32,27,2024-02-23T01:30:22Z,1220000,False,0.0,10.0,1,right,K. Williams running Layup (2 PTS) (C. Wallace 1 AST),"[1629026, 1641717]",1610612760.0,OKC,running,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,0.97,Made,2.0,,,,,,,,,,C. Wallace,1641717.0,1.0,,,,,
127,PT01M22.00S,2024-02-23T01:30:32.1Z,1,REGULAR,turnover,lost ball,[],1626181,,,1610612746,32,27,2024-02-23T01:30:35Z,1240000,False,,,0,,N. Powell lost ball TURNOVER (2 TO),"[1626181, 1641717]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,2.0,Wallace,1641717.0,,,,,,,,,,,,,,
128,PT01M22.00S,2024-02-23T01:30:32.1Z,1,REGULAR,steal,,[],1641717,,,1610612760,32,27,2024-02-23T01:39:40Z,1250000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
129,PT01M17.00S,2024-02-23T01:30:36.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630198,95.74572930354796,3.6764705882352944,1610612760,32,27,2024-02-23T01:39:15Z,1260000,False,-232.0,-13.0,1,right,MISS I. Joe running 3PT,[1630198],1610612760.0,OKC,running,,,Joe,I. Joe,,,,,Left Corner 3,24+ Left,23.19,Missed,,,,,,,,,,,,,,,,,,
130,PT01M15.00S,2024-02-23T01:30:38.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612746,32,27,2024-02-23T01:30:41Z,1270000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Left Corner 3,24+ Left,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,,,
131,PT01M03.00S,2024-02-23T01:30:51.2Z,1,REGULAR,3pt,Jump Shot,[],1629599,9.149145860709593,3.431372549019608,1610612746,32,30,2024-02-23T01:30:55Z,1280000,False,233.0,34.0,1,left,A. Coffey 3PT  (3 PTS) (R. Westbrook 3 AST),"[1629599, 201566]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Right Corner 3,24+ Right,23.52,Made,3.0,,,,,,,,,,R. Westbrook,201566.0,3.0,,,,,
133,PT00M50.50S,2024-02-23T01:31:08.9Z,1,REGULAR,2pt,Jump Shot,[],1628983,78.66294349540078,28.921568627450984,1610612760,32,30,2024-02-23T01:39:54Z,1300000,False,-105.0,148.0,1,right,MISS S. Gilgeous-Alexander 18' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,18.18,Missed,,,,,,,,,,,,,,,,,,
134,PT00M47.90S,2024-02-23T01:31:11.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612746,32,30,2024-02-23T01:31:13Z,1310000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Mid-Range,16-24 Left Center,,,,,,,133.0,2.0,2.0,0.0,,,,,,,,,,
135,PT00M44.90S,2024-02-23T01:31:15.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629599,5.601182654402102,53.67647058823529,1610612746,32,32,2024-02-23T01:40:23Z,1320000,False,-18.0,0.0,1,left,A. Coffey running Layup (5 PTS) (M. Plumlee 1 AST),"[1629599, 203486]",1610612746.0,LAC,running,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,1.84,Made,5.0,,,,,,,,,,M. Plumlee,203486.0,1.0,,,,,
137,PT00M44.90S,2024-02-23T01:31:18.4Z,1,REGULAR,foul,personal,['1freethrow'],1630198,,,1610612746,32,32,2024-02-23T01:31:31Z,1340000,False,,,0,,I. Joe shooting personal FOUL (1 PF) (Coffey 1 FT),"[1630198, 1629599]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Coffey,1629599.0
139,PT00M44.90S,2024-02-23T01:31:31.9Z,1,REGULAR,substitution,out,[],1630598,,,1610612746,32,32,2024-02-23T01:32:44Z,1360000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M44.90S,2024-02-23T01:31:31.9Z,1,REGULAR,substitution,out,[],203486,,,1610612746,32,32,2024-02-23T01:32:44Z,1370000,False,,,0,,SUB out: M. Plumlee,[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M44.90S,2024-02-23T01:31:31.9Z,1,REGULAR,substitution,in,[],1631114,,,1610612746,32,32,2024-02-23T01:32:44Z,1380000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M44.90S,2024-02-23T01:31:31.9Z,1,REGULAR,substitution,in,[],1629611,,,1610612746,32,32,2024-02-23T01:32:44Z,1390000,False,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M44.90S,2024-02-23T01:31:55.7Z,1,REGULAR,freethrow,1 of 1,[],1629599,,,1610612746,32,33,2024-02-23T01:31:55Z,1400000,False,,,0,,A. Coffey Free Throw 1 of 1 (6 PTS),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
144,PT00M26.20S,2024-02-23T01:32:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,92.19776609724047,46.81372549019608,1610612760,34,33,2024-02-23T01:32:23Z,1410000,False,-16.0,21.0,1,right,J. Williams driving Layup (2 PTS) (S. Gilgeous-Alexander 3 AST),"[1631114, 1628983]",1610612760.0,OKC,driving,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,,,,,,,,,,S. Gilgeous-Alexander,1628983.0,3.0,,,,,
146,PT00M05.40S,2024-02-23T01:32:42.6Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612746,34,33,2024-02-23T01:32:47Z,1430000,False,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 1631114]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Right Center,,,,1.0,Williams,1631114.0,,,,,,,,,,,,,,
147,PT00M05.40S,2024-02-23T01:32:42.6Z,1,REGULAR,steal,,[],1631114,,,1610612760,34,33,2024-02-23T01:42:08Z,1440000,False,,,0,,J. Williams STEAL (1 STL),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
148,PT00M02.50S,2024-02-23T01:32:47.6Z,1,REGULAR,foul,personal,['2freethrow'],201566,,,1610612760,34,33,2024-02-23T01:32:54Z,1450000,False,,,0,,R. Westbrook shooting personal FOUL (1 PF) (Williams 2 FT),"[201566, 1631114]",1610612746.0,LAC,shooting,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Williams,1631114.0
150,PT00M02.50S,2024-02-23T01:33:26.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631114,,,1610612760,34,33,2024-02-23T01:33:26Z,1470000,False,,,0,,MISS J. Williams Free Throw 1 of 2,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
151,PT00M02.50S,2024-02-23T01:33:26.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,34,33,2024-02-23T01:33:26Z,1480000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,
152,PT00M02.50S,2024-02-23T01:33:27.4Z,1,REGULAR,substitution,out,[],1630198,,,1610612760,34,33,2024-02-23T01:33:32Z,1490000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M02.50S,2024-02-23T01:33:27.4Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,34,33,2024-02-23T01:33:32Z,1500000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M02.50S,2024-02-23T01:33:26.7Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1631114,,,1610612760,35,33,2024-02-23T01:41:57Z,1510000,False,,,0,,J. Williams Free Throw 2 of 2 (3 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
157,PT00M00.00S,2024-02-23T01:34:17.1Z,1,REGULAR,period,end,[],0,,,1610612746,35,33,2024-02-23T01:43:18Z,1540000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612746,35,33,2024-02-23T01:43:18Z,1550000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,out,['startperiod'],1629026,,,1610612746,35,33,2024-02-23T01:43:18Z,1560000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,out,['startperiod'],201566,,,1610612746,35,33,2024-02-23T01:43:18Z,1570000,False,,,0,,SUB out: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,out,['startperiod'],202695,,,1610612746,35,33,2024-02-23T01:43:18Z,1580000,False,,,0,,SUB out: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,out,['startperiod'],1629611,,,1610612746,35,33,2024-02-23T01:43:18Z,1590000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,in,['startperiod'],1631096,,,1610612746,35,33,2024-02-23T01:43:18Z,1600000,False,,,0,,SUB in: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,in,['startperiod'],202330,,,1610612746,35,33,2024-02-23T01:43:18Z,1610000,False,,,0,,SUB in: G. Hayward,[202330],1610612760.0,OKC,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612746,35,33,2024-02-23T01:43:18Z,1630000,False,,,0,,SUB in: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,in,['startperiod'],202331,,,1610612746,35,33,2024-02-23T01:43:18Z,1640000,False,,,0,,SUB in: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-02-23T01:34:23.9Z,2,REGULAR,substitution,in,['startperiod'],1627826,,,1610612746,35,33,2024-02-23T01:43:18Z,1645000,False,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2024-02-23T01:36:45.1Z,2,REGULAR,period,start,[],0,,,1610612746,35,33,2024-02-23T01:36:45Z,1650000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
