actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
80,PT04M50.00S,2025-03-31T01:21:10.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,93.38042049934296,50.245098039215684,1610612745,18,18,2025-03-31T01:21:13Z,780000,False,1.0,10.0,1,right,S. Adams cutting DUNK (2 PTS) (J. Green 1 AST),"[203500, 1630224]",1610612745.0,HOU,cutting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,,,,,,,,,,,,J. Green,1630224.0,1.0,,,
82,PT04M32.00S,2025-03-31T01:21:28.2Z,1,REGULAR,3pt,Jump Shot,[],1642346,8.754927726675426,94.11764705882352,1610612756,18,18,2025-03-31T01:21:34Z,800000,False,-221.0,30.0,1,left,MISS R. Dunn 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,22.26,Missed,,,,,,,,,,,,,,,,,,
83,PT04M30.00S,2025-03-31T01:21:30.2Z,1,REGULAR,rebound,defensive,[],203500,,,1610612745,18,18,2025-03-31T01:21:34Z,810000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Left Corner 3,24+ Left,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,
84,PT04M19.00S,2025-03-31T01:21:42.5Z,1,REGULAR,foul,personal,['2freethrow'],1642346,,,1610612745,18,18,2025-03-31T01:21:49Z,820000,False,,,0,,R. Dunn shooting personal FOUL (1 PF) (Green 2 FT),"[1642346, 1630224]",1610612756.0,PHX,shooting,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,,1628954.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,
86,PT04M19.00S,2025-03-31T01:22:13.4Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,18,19,2025-03-31T01:22:13Z,840000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
87,PT04M19.00S,2025-03-31T01:22:14.3Z,1,REGULAR,substitution,out,[],1642346,,,1610612745,18,19,2025-03-31T01:22:19Z,850000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M19.00S,2025-03-31T01:22:14.3Z,1,REGULAR,substitution,out,[],1631221,,,1610612745,18,19,2025-03-31T01:22:19Z,860000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M19.00S,2025-03-31T01:22:14.3Z,1,REGULAR,substitution,in,[],1628960,,,1610612745,18,19,2025-03-31T01:22:19Z,870000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M19.00S,2025-03-31T01:22:14.3Z,1,REGULAR,substitution,in,[],1626145,,,1610612745,18,19,2025-03-31T01:22:19Z,880000,False,,,0,,SUB in: T. Jones,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M19.00S,2025-03-31T01:22:13.4Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,18,19,2025-03-31T01:22:37Z,890000,False,,,0,,MISS J. Green Free Throw 2 of 2,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
92,PT04M17.00S,2025-03-31T01:22:15.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612745,18,19,2025-03-31T01:22:37Z,900000,False,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,91.0,2.0,1.0,1.0,,,,,,,,
93,PT04M06.00S,2025-03-31T01:22:46.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627832,82.47371879106439,59.31372549019608,1610612745,18,21,2025-03-31T01:22:50Z,910000,False,47.0,112.0,1,right,F. VanVleet 12' fadeaway Jump Shot (2 PTS),[1627832],1610612745.0,HOU,fadeaway,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,12.15,Made,2.0,,,,,,,,,,,,,,,,,
94,PT03M47.00S,2025-03-31T01:23:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,15.719448094612352,38.970588235294116,1610612756,20,21,2025-03-31T01:23:10Z,920000,False,55.0,95.0,1,left,K. Durant 11' pullup Jump Shot (6 PTS) (O. Ighodaro 1 AST),"[201142, 1642345]",1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,11.01,Made,6.0,,,,,,,,,,,,O. Ighodaro,1642345.0,1.0,,,
96,PT03M29.00S,2025-03-31T01:23:24.1Z,1,REGULAR,3pt,Jump Shot,[],1631095,97.05978975032852,1.715686274509804,1610612745,20,21,2025-03-31T01:23:29Z,940000,False,-241.0,-25.0,1,right,MISS J. Smith Jr. 24' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,24.27,Missed,,,,,,,,,,,,,,,,,,
97,PT03M26.00S,2025-03-31T01:23:27.1Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,20,21,2025-03-31T01:23:29Z,950000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Left Corner 3,24+ Left,,,,,,,,,96.0,1.0,1.0,0.0,,,,,,,,
98,PT03M17.00S,2025-03-31T01:23:38.6Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612756,20,21,2025-03-31T01:23:47Z,960000,False,,,0,,S. Adams shooting personal FOUL (1 PF) (Ighodaro 2 FT),"[203500, 1642345]",1610612745.0,HOU,shooting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,1628954.0,1.0,0.0,Ighodaro,1642345.0,,,,,,,,,,,,
100,PT03M17.00S,2025-03-31T01:24:07.4Z,1,REGULAR,freethrow,1 of 2,[],1642345,,,1610612756,21,21,2025-03-31T01:24:07Z,980000,False,,,0,,O. Ighodaro Free Throw 1 of 2 (3 PTS),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
101,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,out,[],1626164,,,1610612756,21,21,2025-03-31T01:24:18Z,990000,False,,,0,,SUB out: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612756,21,21,2025-03-31T01:24:18Z,1000000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,out,[],1628415,,,1610612756,21,21,2025-03-31T01:24:18Z,1010000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,in,[],1628998,,,1610612756,21,21,2025-03-31T01:24:18Z,1020000,False,,,0,,SUB in: C. Martin,[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,in,[],1630578,,,1610612756,21,21,2025-03-31T01:24:18Z,1030000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT03M17.00S,2025-03-31T01:24:08.1Z,1,REGULAR,substitution,in,[],1641708,,,1610612756,21,21,2025-03-31T01:24:18Z,1040000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M17.00S,2025-03-31T01:24:35.7Z,1,REGULAR,freethrow,2 of 2,[],1642345,,,1610612756,22,21,2025-03-31T01:24:35Z,1050000,False,,,0,,O. Ighodaro Free Throw 2 of 2 (4 PTS),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
108,PT02M59.00S,2025-03-31T01:24:55.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,73.9323258869908,35.049019607843135,1610612745,22,21,2025-03-31T01:25:02Z,1060000,False,-75.0,193.0,1,right,MISS J. Green 20' pullup Shot,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,20.65,Missed,,,,,,,,,,,,,,,,,,
109,PT02M55.00S,2025-03-31T01:24:59.0Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,22,21,2025-03-31T01:25:02Z,1070000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:2),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,
110,PT02M44.00S,2025-03-31T01:25:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,5.863994743758213,49.01960784313725,1610612756,24,21,2025-03-31T01:25:13Z,1080000,False,5.0,3.0,1,left,G. Allen driving Layup (2 PTS) (O. Ighodaro 2 AST),"[1628960, 1642345]",1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,0.55,Made,2.0,,,,,,,,,,,,O. Ighodaro,1642345.0,2.0,,,
112,PT02M34.00S,2025-03-31T01:25:22.1Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612745,24,21,2025-03-31T01:25:34Z,1100000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Adams 2 FT),"[201142, 203500]",1610612756.0,PHX,shooting,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,1628954.0,1.0,0.0,Adams,203500.0,,,,,,,,,,,,
114,PT02M34.00S,2025-03-31T01:25:38.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,24,21,2025-03-31T01:25:38Z,1120000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M34.00S,2025-03-31T01:28:39.5Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,24,21,2025-03-31T01:28:53Z,1130000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M34.00S,2025-03-31T01:28:39.5Z,1,REGULAR,substitution,in,[],1628988,,,1610612745,24,21,2025-03-31T01:28:53Z,1140000,False,,,0,,SUB in: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M34.00S,2025-03-31T01:28:55.0Z,1,REGULAR,freethrow,1 of 2,[],203500,,,1610612745,24,22,2025-03-31T01:28:55Z,1150000,False,,,0,,S. Adams Free Throw 1 of 2 (3 PTS),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
118,PT02M34.00S,2025-03-31T01:29:02.4Z,1,REGULAR,freethrow,2 of 2,[],203500,,,1610612745,24,23,2025-03-31T01:29:02Z,1160000,False,,,0,,S. Adams Free Throw 2 of 2 (4 PTS),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
119,PT02M24.00S,2025-03-31T01:29:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,17.16491458607096,39.705882352941174,1610612756,24,23,2025-03-31T01:29:19Z,1170000,False,51.0,109.0,1,left,MISS T. Jones 12' driving floating Shot,[1626145],1610612756.0,PHX,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,12.05,Missed,,,,,,,,,,,,,,,,,,
120,PT02M19.00S,2025-03-31T01:29:19.0Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612745,24,23,2025-03-31T01:29:19Z,1180000,False,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,
121,PT02M15.00S,2025-03-31T01:29:22.9Z,1,REGULAR,2pt,Jump Shot,[],1631095,88.64980289093299,71.07843137254902,1610612745,24,25,2025-03-31T01:29:31Z,1190000,False,105.0,54.0,1,right,J. Smith Jr. 11' turnaround Jump Shot (2 PTS),[1631095],1610612745.0,HOU,turnaround,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,11.85,Made,2.0,,,,,,,,,,,,,,,,,
122,PT01M56.00S,2025-03-31T01:29:41.9Z,1,REGULAR,3pt,Jump Shot,[],1626145,34.11629434954008,47.05882352941176,1610612756,24,25,2025-03-31T01:29:48Z,1200000,False,15.0,268.0,1,left,MISS T. Jones 26' 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,26.86,Missed,,,,,,,,,,,,,,,,,,
123,PT01M52.00S,2025-03-31T01:29:45.9Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,24,25,2025-03-31T01:29:48Z,1210000,False,,,0,,A. Thompson REBOUND (Off:4 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,122.0,5.0,1.0,4.0,,,,,,,,
124,PT01M51.00S,2025-03-31T01:29:47.4Z,1,REGULAR,turnover,lost ball,[],1641708,,,1610612745,24,25,2025-03-31T01:29:51Z,1220000,False,,,0,,A. Thompson lost ball TURNOVER (1 TO),"[1641708, 1628998]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Martin,1628998.0
125,PT01M51.00S,2025-03-31T01:29:47.4Z,1,REGULAR,steal,,[],1628998,,,1610612756,24,25,2025-03-31T01:29:49Z,1230000,False,,,0,,C. Martin STEAL (1 STL),[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
126,PT01M48.00S,2025-03-31T01:29:50.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,30.17411300919842,9.558823529411764,1610612756,24,25,2025-03-31T01:29:54Z,1240000,False,202.0,231.0,1,left,MISS G. Allen 30' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,30.71,Missed,,,,,,,,,,,,,,,,,,
127,PT01M45.00S,2025-03-31T01:29:53.1Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,24,25,2025-03-31T01:29:54Z,1250000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,
128,PT01M40.00S,2025-03-31T01:29:58.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641708,84.1819973718791,58.57843137254902,1610612745,24,27,2025-03-31T01:30:50Z,1260000,False,43.0,96.0,1,right,A. Thompson 10' driving floating Jump Shot (8 PTS),[1641708],1610612745.0,HOU,driving floating,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),8-16 Center,10.53,Made,8.0,,,,,,,,,,,,,,,,,
129,PT01M28.00S,2025-03-31T01:30:09.4Z,1,REGULAR,3pt,Jump Shot,[],1626145,28.86005256241787,80.14705882352942,1610612756,24,27,2025-03-31T01:31:26Z,1270000,False,-151.0,219.0,1,left,MISS T. Jones 26' pullup 3PT,[1626145],1610612756.0,PHX,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
130,PT01M25.00S,2025-03-31T01:30:12.4Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,27,2025-03-31T01:30:13Z,1280000,False,,,0,,A. Sengun REBOUND (Off:1 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,129.0,3.0,2.0,1.0,,,,,,,,
132,PT01M11.00S,2025-03-31T01:30:39.8Z,1,REGULAR,2pt,Jump Shot,[],1641708,76.95466491458606,42.40196078431372,1610612745,24,27,2025-03-31T01:30:44Z,1300000,False,-38.0,164.0,1,right,MISS A. Thompson 16' pullup Shot,[1641708],1610612745.0,HOU,pullup,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Center,16.84,Missed,,,,,,,,,,,,,,,,,,
133,PT01M10.00S,2025-03-31T01:30:40.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,24,27,2025-03-31T01:30:44Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,,,132.0,,,,,,,,,,,
134,PT01M10.00S,2025-03-31T01:30:44.5Z,1,REGULAR,foul,personal,[],1628998,,,1610612745,24,27,2025-03-31T01:30:51Z,1320000,False,,,0,,C. Martin loose ball personal FOUL (1 PF),"[1628998, 203500]",1610612756.0,PHX,loose ball,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,203593.0,1.0,0.0,Adams,203500.0,,,,,,,,,,,,
136,PT01M05.00S,2025-03-31T01:31:16.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631095,79.58278580814718,24.754901960784316,1610612745,24,27,2025-03-31T01:32:10Z,1340000,False,-126.0,139.0,1,right,MISS J. Smith Jr. 18' step back Shot,[1631095],1610612745.0,HOU,step back,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Left Center,18.8,Missed,,,,,,,,,,,,,,,,,,
137,PT01M01.00S,2025-03-31T01:31:20.0Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,24,27,2025-03-31T01:31:21Z,1350000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:3),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Mid-Range,16-24 Left Center,,,,,,,,,136.0,3.0,3.0,0.0,,,,,,,,
156,PT00M45.90S,2025-03-31T01:31:26.1Z,1,REGULAR,turnover,lost ball,[],1626145,,,1610612756,24,27,2025-03-31T01:35:51Z,1360000,False,,,0,,T. Jones lost ball TURNOVER (1 TO),"[1626145, 1641708]",1610612756.0,PHX,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Thompson,1641708.0
157,PT00M45.90S,2025-03-31T01:31:26.1Z,1,REGULAR,steal,,[],1641708,,,1610612745,24,27,2025-03-31T01:35:51Z,1365000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
141,PT00M41.60S,2025-03-31T01:31:42.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631095,92.72339027595268,50.245098039215684,1610612745,24,29,2025-03-31T01:35:56Z,1390000,False,1.0,16.0,1,right,J. Smith Jr. running DUNK (4 PTS) (A. Thompson 3 AST),"[1631095, 1641708]",1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,1.59,Made,4.0,,,,,,,,,,,,A. Thompson,1641708.0,3.0,,,
143,PT00M27.90S,2025-03-31T01:31:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,13.748357424441524,46.07843137254902,1610612756,24,29,2025-03-31T01:33:07Z,1410000,False,20.0,77.0,1,left,MISS O. Ighodaro 7' floating Shot,[1642345],1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,,,,,,,,
144,PT00M25.10S,2025-03-31T01:32:01.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,24,29,2025-03-31T01:32:03Z,1420000,False,,,0,,A. Sengun REBOUND (Off:1 Def:3),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,143.0,4.0,3.0,1.0,,,,,,,,
145,PT00M04.40S,2025-03-31T01:32:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628988,72.61826544021025,78.92156862745098,1610612745,24,32,2025-03-31T01:32:29Z,1430000,False,145.0,205.0,1,right,A. Holiday 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1628988, 1630578]",1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Right Center,25.08,Made,3.0,,,,,,,,,,,,A. Sengun,1630578.0,1.0,,,
147,PT00M01.00S,2025-03-31T01:32:30.8Z,1,REGULAR,foul,personal,[],1641708,,,1610612756,24,32,2025-03-31T01:32:47Z,1450000,False,,,0,,A. Thompson personal FOUL (1 PF),"[1641708, 1626145]",1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,203593.0,1.0,0.0,Jones,1626145.0,,,,,,,,,,,,
149,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,out,[],203500,,,1610612756,24,32,2025-03-31T01:32:54Z,1470000,False,,,0,,SUB out: S. Adams,[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,out,[],1630578,,,1610612756,24,32,2025-03-31T01:32:54Z,1480000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,in,[],1627832,,,1610612756,24,32,2025-03-31T01:32:54Z,1490000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,in,[],1628415,,,1610612756,24,32,2025-03-31T01:32:54Z,1500000,False,,,0,,SUB in: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,out,[],1628998,,,1610612756,24,32,2025-03-31T01:32:59Z,1510000,False,,,0,,SUB out: C. Martin,[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT00M01.00S,2025-03-31T01:32:45.4Z,1,REGULAR,substitution,in,[],1626164,,,1610612756,24,32,2025-03-31T01:32:59Z,1520000,False,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M00.00S,2025-03-31T01:33:20.7Z,1,REGULAR,period,end,[],0,,,1610612756,24,32,2025-03-31T01:33:20Z,1530000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1628960,,,1610612756,24,32,2025-03-31T01:36:09Z,1540000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],201142,,,1610612756,24,32,2025-03-31T01:36:09Z,1550000,False,,,0,,SUB out: K. Durant,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1641708,,,1610612756,24,32,2025-03-31T01:36:09Z,1560000,False,,,0,,SUB out: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1628415,,,1610612756,24,32,2025-03-31T01:36:09Z,1570000,False,,,0,,SUB out: D. Brooks,[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1626220,,,1610612756,24,32,2025-03-31T01:36:09Z,1580000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1628998,,,1610612756,24,32,2025-03-31T01:36:09Z,1590000,False,,,0,,SUB in: C. Martin,[1628998],1610612756.0,PHX,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],201145,,,1610612756,24,32,2025-03-31T01:36:09Z,1600000,False,,,0,,SUB in: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-03-31T01:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1630578,,,1610612756,24,32,2025-03-31T01:36:09Z,1610000,False,,,0,,SUB in: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2025-03-31T01:36:04.6Z,2,REGULAR,period,start,[],0,,,1610612745,24,32,2025-03-31T01:36:10Z,1620000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M50.00S,2025-03-31T01:36:15.4Z,2,REGULAR,foul,personal,[],1626220,,,1610612745,24,32,2025-03-31T01:36:23Z,1630000,False,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 1630578]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,203593.0,1.0,0.0,Sengun,1630578.0,,,,,,,,,,,,
