actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
198,PT09M40.00S,2025-01-07T03:43:25.3Z,2,REGULAR,steal,,[],1629639,,,1610612748,27,28,2025-01-07T03:43:27Z,1880000,False,,,0,,T. Herro STEAL (2 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
199,PT09M36.00S,2025-01-07T03:43:31.9Z,2,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612748,27,28,2025-01-07T04:12:13Z,1882500,False,,,0,,K. Huerter shooting personal FOUL (1 PF) (Herro 2 FT),"[1628989, 1629639]",1610612758.0,SAC,shooting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,1830.0,,,,,,,,,,1.0,0.0,Herro,1629639.0,,,,,,
201,PT09M36.00S,2025-01-07T03:44:13.0Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631107,,,1610612748,27,29,2025-01-07T04:12:34Z,1884375,False,,,0,,N. Jović Free Throw 1 of 2 (5 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,Made,,,,,,,,,,,5.0,,,,,
208,PT09M36.00S,2025-01-07T03:44:13.0Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631107,,,1610612748,27,30,2025-01-07T04:12:34Z,1884687,False,,,0,,N. Jović Free Throw 2 of 2 (6 PTS),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,Made,,,,,,,,,,,6.0,,,,,
202,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,out,[],1642269,,,1610612758,27,30,2025-01-07T04:12:34Z,1885000,False,,,0,,SUB out: D. Carter,[1642269],1610612758.0,SAC,,,,Carter,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,out,[],1628989,,,1610612758,27,30,2025-01-07T04:12:34Z,1887500,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,out,[],203458,,,1610612758,27,30,2025-01-07T04:12:34Z,1888750,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,in,[],1628370,,,1610612758,27,30,2025-01-07T04:12:34Z,1889375,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,27,30,2025-01-07T04:12:34Z,1889687,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M36.00S,2025-01-07T03:44:15.9Z,2,REGULAR,substitution,in,[],1631165,,,1610612758,27,30,2025-01-07T04:12:34Z,1889843,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT09M23.00S,2025-01-07T03:45:16.1Z,2,REGULAR,violation,kicked ball,[],1642276,,,1610612758,27,30,2025-01-07T03:45:27Z,1990000,False,,,0,,K. Ware kicked ball VIOLATION,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,1830.0,,,,,,,,,,,,,,,,,,,
212,PT09M10.00S,2025-01-07T03:45:35.8Z,2,REGULAR,2pt,Jump Shot,[],1631165,13.485545335085414,33.57843137254902,1610612758,27,30,2025-01-07T03:45:41Z,2000000,False,82.0,74.0,1,left,MISS K. Ellis 11' driving floating Shot,[1631165],1610612758.0,SAC,driving floating,,,Ellis,K. Ellis,,,,,Mid-Range,8-16 Right,,,11.07,Missed,,,,,,,,,,,,,,,,
213,PT09M07.00S,2025-01-07T03:45:38.8Z,2,REGULAR,rebound,offensive,[],1627734,,,1610612758,27,30,2025-01-07T03:45:41Z,2010000,False,,,0,,D. Sabonis REBOUND (Off:2 Def:4),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Right,,,,,212.0,6.0,4.0,2.0,,,,,,,,,,,,
214,PT09M06.00S,2025-01-07T03:45:42.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,8.541392904073588,43.65042892156863,1610612758,29,30,2025-01-07T03:51:07Z,2020000,False,32.0,28.0,1,left,D. Sabonis putback Layup (6 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,4.22,Made,,,,,,,,,,,6.0,,,,,
215,PT09M06.00S,2025-01-07T03:45:47.2Z,2,REGULAR,foul,personal,['1freethrow'],1642276,,,1610612758,29,30,2025-01-07T03:46:01Z,2030000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1642276, 1627734]",1610612748.0,MIA,shooting,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,1830.0,,,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,,,
217,PT09M06.00S,2025-01-07T03:46:02.5Z,2,REGULAR,substitution,out,[],201942,,,1610612758,29,30,2025-01-07T03:46:22Z,2050000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT09M06.00S,2025-01-07T03:46:02.5Z,2,REGULAR,substitution,in,[],1626168,,,1610612758,29,30,2025-01-07T03:46:22Z,2060000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT09M06.00S,2025-01-07T03:46:20.3Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1627734,,,1610612758,29,30,2025-01-07T03:46:23Z,2070000,False,,,0,,MISS D. Sabonis Free Throw 1 of 1,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
220,PT09M05.00S,2025-01-07T03:46:21.3Z,2,REGULAR,rebound,defensive,[],1631107,,,1610612748,29,30,2025-01-07T03:51:56Z,2080000,False,,,0,,N. Jović REBOUND (Off:0 Def:2),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,219.0,2.0,2.0,0.0,,,,,,,,,,,,
221,PT08M54.00S,2025-01-07T03:46:30.4Z,2,REGULAR,3pt,Jump Shot,[],1629639,65.25952693823915,49.50980392156863,1610612748,29,30,2025-01-07T03:46:36Z,2090000,False,-2.0,274.0,1,right,MISS T. Herro 27' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,27.41,Missed,,,,,,,,,,,,,,,,
222,PT08M50.00S,2025-01-07T03:46:34.4Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,29,30,2025-01-07T03:54:06Z,2100000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Center,,,,,221.0,1.0,1.0,0.0,,,,,,,,,,,,
225,PT08M43.00S,2025-01-07T03:46:41.3Z,2,REGULAR,3pt,Jump Shot,[],1631099,24.392247043363994,13.725490196078432,1610612758,29,30,2025-01-07T03:46:47Z,2110000,False,181.0,177.0,1,left,MISS K. Murray 25' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,25.33,Missed,,,,,,,,,,,,,,,,
226,PT08M42.00S,2025-01-07T03:46:42.3Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,29,30,2025-01-07T03:53:12Z,2120000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,,,225.0,1.0,1.0,0.0,,,,,,,,,,,,
227,PT08M31.00S,2025-01-07T03:46:54.7Z,2,REGULAR,3pt,Jump Shot,[],1642276,74.85216819973719,84.80392156862744,1610612748,29,30,2025-01-07T03:46:59Z,2130000,False,174.0,184.0,1,right,MISS K. Ware 25' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,,,25.32,Missed,,,,,,,,,,,,,,,,
228,PT08M28.00S,2025-01-07T03:46:57.7Z,2,REGULAR,rebound,defensive,[],1631099,,,1610612758,29,30,2025-01-07T03:53:30Z,2140000,False,,,0,,K. Murray REBOUND (Off:1 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,227.0,3.0,2.0,1.0,,,,,,,,,,,,
229,PT08M20.00S,2025-01-07T03:47:05.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.258212877792378,43.872549019607845,1610612758,31,30,2025-01-07T03:54:01Z,2150000,False,31.0,6.0,1,left,D. Sabonis reverse Layup (8 PTS) (M. Monk 1 AST),"[1627734, 1628370]",1610612758.0,SAC,reverse,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,3.12,Made,,,,,,,,,,,8.0,M. Monk,1628370.0,1.0,,
231,PT07M57.00S,2025-01-07T03:47:28.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,89.56964520367937,37.745098039215684,1610612748,31,30,2025-01-07T03:54:14Z,2170000,False,-61.0,46.0,1,right,MISS T. Herro 7' driving finger roll Layup,[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,7.63,Missed,,,,,,,,,,,,,,,,
232,PT07M54.00S,2025-01-07T03:47:31.5Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,31,30,2025-01-07T03:54:14Z,2180000,False,,,0,,K. Ellis REBOUND (Off:0 Def:2),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,,,231.0,2.0,2.0,0.0,,,,,,,,,,,,
233,PT07M48.00S,2025-01-07T03:47:36.9Z,2,REGULAR,3pt,Jump Shot,[],1626168,32.013797634691194,58.57843137254902,1610612758,31,30,2025-01-07T03:47:45Z,2190000,False,-43.0,248.0,1,left,MISS T. Lyles 25' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Center,,,25.21,Missed,,,,,,,,,,,,,,,,
234,PT07M45.00S,2025-01-07T03:47:39.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612748,31,30,2025-01-07T03:47:45Z,2200000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Center,,,,,233.0,,,,,,,,,,,,,,,
236,PT07M45.00S,2025-01-07T03:47:46.7Z,2,REGULAR,substitution,out,[],1642276,,,1610612748,31,30,2025-01-07T03:48:02Z,2220000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M45.00S,2025-01-07T03:47:46.7Z,2,REGULAR,substitution,out,[],1641796,,,1610612748,31,30,2025-01-07T03:48:02Z,2230000,False,,,0,,SUB out: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M45.00S,2025-01-07T03:47:46.7Z,2,REGULAR,substitution,in,[],1631170,,,1610612748,31,30,2025-01-07T03:48:02Z,2240000,False,,,0,,SUB in: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT07M45.00S,2025-01-07T03:47:46.7Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,31,30,2025-01-07T03:48:02Z,2250000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT07M28.00S,2025-01-07T03:48:18.7Z,2,REGULAR,3pt,Jump Shot,[],1629130,67.62483574244416,26.225490196078432,1610612748,31,33,2025-01-07T03:54:56Z,2260000,False,-119.0,252.0,1,right,D. Robinson 27' 3PT pullup (3 PTS) (T. Herro 2 AST),"[1629130, 1629639]",1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,27.85,Made,,,,,,,,,,,3.0,T. Herro,1629639.0,2.0,,
242,PT07M08.00S,2025-01-07T03:48:38.4Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628370,9.806176084099869,47.05882352941176,1610612758,31,33,2025-01-07T04:51:22Z,2280000,False,15.0,40.0,1,left,MISS M. Monk turnaround Hook,[1628370],1610612758.0,SAC,turnaround,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,4.23,Missed,,,,,,,,,,,,,,,,
243,PT07M06.00S,2025-01-07T03:48:40.4Z,2,REGULAR,rebound,defensive,[],1628389,,,1610612748,31,33,2025-01-07T03:48:41Z,2290000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:3),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,242.0,3.0,3.0,0.0,,,,,,,,,,,,
250,PT06M53.00S,2025-01-07T03:48:48.9Z,2,REGULAR,2pt,Jump Shot,[],1629639,79.84559789750328,66.91176470588235,1610612748,31,33,2025-01-07T03:56:06Z,2295000,False,85.0,137.0,1,right,MISS T. Herro 16' step back Shot,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,16.1,Missed,,,,,,,,,,,,,,,,
254,PT06M52.00S,2025-01-07T03:48:49.9Z,2,REGULAR,rebound,offensive,[],1631170,,,1610612748,31,33,2025-01-07T03:55:51Z,2298750,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:3),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Mid-Range,16-24 Right Center,,,,,250.0,4.0,3.0,1.0,,,,,,,,,,,,
244,PT06M48.00S,2025-01-07T03:48:59.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629639,71.17279894875165,74.50980392156863,1610612748,31,36,2025-01-07T03:56:31Z,2300000,False,123.0,218.0,1,right,T. Herro 25' 3PT step back (15 PTS) (J. Jaquez Jr. 4 AST),"[1629639, 1631170]",1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,25.05,Made,,,,,,,,,,,15.0,J. Jaquez Jr.,1631170.0,4.0,,
246,PT06M47.00S,2025-01-07T03:50:44.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,31,36,2025-01-07T03:50:44Z,2310000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M47.00S,2025-01-07T03:51:32.1Z,2,REGULAR,substitution,out,[],1631099,,,1610612758,31,36,2025-01-07T03:51:51Z,2320000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M47.00S,2025-01-07T03:51:32.1Z,2,REGULAR,substitution,in,[],1628989,,,1610612758,31,36,2025-01-07T03:51:51Z,2330000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT06M33.00S,2025-01-07T03:52:13.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628370,15.719448094612352,43.627450980392155,1610612758,33,36,2025-01-07T03:57:00Z,2340000,False,32.0,95.0,1,left,M. Monk 10' driving floating Jump Shot (5 PTS),[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,,,10.05,Made,,,,,,,,,,,5.0,,,,,
252,PT06M14.00S,2025-01-07T03:52:32.4Z,2,REGULAR,3pt,Jump Shot,[],1629130,72.09264126149803,79.90196078431373,1610612748,33,36,2025-01-07T03:57:15Z,2350000,False,150.0,210.0,1,right,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,25.76,Missed,,,,,,,,,,,,,,,,
253,PT06M14.00S,2025-01-07T03:52:32.4Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,33,36,2025-01-07T03:52:52Z,2360000,False,,,0,,D. Sabonis REBOUND (Off:2 Def:5),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,252.0,7.0,5.0,2.0,,,,,,,,,,,,
255,PT06M01.00S,2025-01-07T03:52:46.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,6.1268068331143235,60.5392156862745,1610612758,33,36,2025-01-07T03:57:42Z,2370000,False,-53.0,5.0,1,left,MISS D. Sabonis Hook,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,5.29,Missed,,,,,,,,,,,,,,,,
256,PT05M59.00S,2025-01-07T03:52:48.8Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,33,36,2025-01-07T03:57:42Z,2380000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:4),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,255.0,5.0,4.0,1.0,,,,,,,,,,,,
257,PT05M38.00S,2025-01-07T03:53:08.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,85.89027595269383,48.529411764705884,1610612748,33,36,2025-01-07T05:00:33Z,2390000,False,-7.0,80.0,1,right,MISS B. Adebayo 8' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,8.04,Missed,,,,,,,,,,,,,,,,
258,PT05M36.00S,2025-01-07T03:53:10.1Z,2,REGULAR,rebound,defensive,[],1631165,,,1610612758,33,36,2025-01-07T03:53:11Z,2400000,False,,,0,,K. Ellis REBOUND (Off:0 Def:3),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Center,,,,,257.0,3.0,3.0,0.0,,,,,,,,,,,,
259,PT05M25.00S,2025-01-07T03:53:23.3Z,2,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612758,33,36,2025-01-07T03:53:43Z,2410000,False,,,0,,T. Herro shooting personal FOUL (2 PF) (Monk 2 FT),"[1629639, 1628370]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,1830.0,,,,,,,,,,2.0,1.0,Monk,1628370.0,,,,,,
261,PT05M25.00S,2025-01-07T03:53:54.1Z,2,REGULAR,freethrow,1 of 2,[],1628370,,,1610612758,34,36,2025-01-07T03:53:54Z,2430000,False,,,0,,M. Monk Free Throw 1 of 2 (6 PTS),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,Made,,,,,,,,,,,6.0,,,,,
262,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,out,[],1628989,,,1610612758,34,36,2025-01-07T03:54:14Z,2440000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,out,[],1631107,,,1610612758,34,36,2025-01-07T03:54:14Z,2450000,False,,,0,,SUB out: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,out,[],1629639,,,1610612758,34,36,2025-01-07T03:54:14Z,2460000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,in,[],201942,,,1610612758,34,36,2025-01-07T03:54:14Z,2470000,False,,,0,,SUB in: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,in,[],1626179,,,1610612758,34,36,2025-01-07T03:54:14Z,2480000,False,,,0,,SUB in: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT05M25.00S,2025-01-07T03:53:55.6Z,2,REGULAR,substitution,in,[],1629312,,,1610612758,34,36,2025-01-07T03:54:14Z,2490000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT05M25.00S,2025-01-07T03:54:17.8Z,2,REGULAR,freethrow,2 of 2,[],1628370,,,1610612758,35,36,2025-01-07T03:54:17Z,2500000,False,,,0,,M. Monk Free Throw 2 of 2 (7 PTS),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,Made,,,,,,,,,,,7.0,,,,,
269,PT05M14.00S,2025-01-07T03:54:28.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,93.16688567674113,46.036305147058826,1610612748,35,38,2025-01-07T03:54:35Z,2510000,False,-20.0,12.0,1,right,B. Adebayo alley-oop Layup (4 PTS) (D. Robinson 2 AST),"[1628389, 1629130]",1610612748.0,MIA,alley-oop,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,2.3,Made,,,,,,,,,,,4.0,D. Robinson,1629130.0,2.0,,
271,PT05M05.00S,2025-01-07T03:54:37.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,7.178055190538765,57.35294117647059,1610612758,37,38,2025-01-07T03:54:42Z,2530000,False,-37.0,15.0,1,left,M. Monk cutting Layup (9 PTS) (D. Sabonis 4 AST),"[1628370, 1627734]",1610612758.0,SAC,cutting,,,Monk,M. Monk,,,,,Restricted Area,0-8 Center,,,3.97,Made,,,,,,,,,,,9.0,D. Sabonis,1627734.0,4.0,,
273,PT04M50.00S,2025-01-07T03:54:52.1Z,2,REGULAR,3pt,Jump Shot,[],1629130,81.8166885676741,94.36274509803921,1610612748,37,38,2025-01-07T03:58:57Z,2550000,False,222.0,118.0,1,right,MISS D. Robinson 25' step back 3PT,[1629130],1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,25.14,Missed,,,,,,,,,,,,,,,,
274,PT04M47.00S,2025-01-07T03:54:55.1Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,37,38,2025-01-07T03:54:57Z,2560000,False,,,0,,D. Sabonis REBOUND (Off:2 Def:6),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Right Center,,,,,273.0,8.0,6.0,2.0,,,,,,,,,,,,
275,PT04M46.00S,2025-01-07T03:54:57.0Z,2,REGULAR,turnover,bad pass,[],1627734,,,1610612758,37,38,2025-01-07T03:55:02Z,2570000,False,,,0,,D. Sabonis bad pass TURNOVER (3 TO),"[1627734, 1628389]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,3.0,,,,,,,Adebayo,1628389.0,,,,,,,,,,
276,PT04M46.00S,2025-01-07T03:54:57.0Z,2,REGULAR,steal,,[],1628389,,,1610612748,37,38,2025-01-07T03:54:59Z,2580000,False,,,0,,B. Adebayo STEAL (4 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
277,PT04M41.00S,2025-01-07T03:55:01.6Z,2,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628389,86.94152431011827,52.69607843137255,1610612748,37,40,2025-01-07T03:59:36Z,2590000,False,13.0,70.0,1,right,B. Adebayo 7' driving floating Jump Shot (6 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,7.15,Made,,,,,,,,,,,6.0,,,,,
278,PT04M24.00S,2025-01-07T03:55:20.0Z,2,REGULAR,foul,personal,['2freethrow'],1631170,,,1610612758,37,40,2025-01-07T03:55:30Z,2600000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Lyles 2 FT),"[1631170, 1626168]",1610612748.0,MIA,shooting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,1.0,0.0,Lyles,1626168.0,,,,,,
280,PT04M24.00S,2025-01-07T03:55:50.8Z,2,REGULAR,freethrow,1 of 2,[],1626168,,,1610612758,38,40,2025-01-07T03:56:21Z,2620000,False,,,0,,T. Lyles Free Throw 1 of 2 (3 PTS),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,Made,,,,,,,,,,,3.0,,,,,
281,PT04M24.00S,2025-01-07T03:55:50.8Z,2,REGULAR,freethrow,2 of 2,[],1626168,,,1610612758,38,40,2025-01-07T03:56:21Z,2630000,False,,,0,,MISS T. Lyles Free Throw 2 of 2,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
282,PT04M23.00S,2025-01-07T03:55:51.8Z,2,REGULAR,rebound,defensive,[],1629312,,,1610612748,38,40,2025-01-07T04:00:01Z,2640000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,281.0,1.0,1.0,0.0,,,,,,,,,,,,
283,PT04M11.00S,2025-01-07T03:56:22.6Z,2,REGULAR,3pt,Jump Shot,[],1629130,65.78515111695138,45.83333333333333,1610612748,38,40,2025-01-07T03:56:28Z,2650000,False,-21.0,269.0,1,right,MISS D. Robinson 26' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,26.99,Missed,,,,,,,,,,,,,,,,
