actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
84,PT04M29.00S,2025-02-09T03:22:19.5Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612758,9,24,2025-02-09T03:22:24Z,830000,False,,,0,,D. DeRozan lost ball TURNOVER (2 TO),"[201942, 1629750]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,Mid-Range,8-16 Right,,,,,,,,2.0,Green,1629750.0,,,,,,,,,
85,PT04M29.00S,2025-02-09T03:22:19.5Z,1,REGULAR,steal,,[],1629750,,,1610612740,9,24,2025-02-09T03:22:21Z,840000,False,,,0,,J. Green STEAL (1 STL),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,
86,PT04M26.00S,2025-02-09T03:22:25.7Z,1,REGULAR,foul,personal,[],203897,,,1610612740,9,24,2025-02-09T03:22:39Z,850000,False,,,0,,Z. LaVine personal FOUL (1 PF),"[203897, 203468]",1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,101284.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,0.0,McCollum,203468.0
89,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,out,[],1628370,,,1610612740,9,24,2025-02-09T03:23:02Z,870000,False,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,out,[],1630631,,,1610612740,9,24,2025-02-09T03:23:02Z,880000,False,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,out,[],1642274,,,1610612740,9,24,2025-02-09T03:23:02Z,890000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,in,[],1631165,,,1610612740,9,24,2025-02-09T03:23:02Z,900000,False,,,0,,SUB in: K. Ellis,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,9,24,2025-02-09T03:23:02Z,910000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M26.00S,2025-02-09T03:22:40.2Z,1,REGULAR,substitution,in,[],1631255,,,1610612740,9,24,2025-02-09T03:23:02Z,920000,False,,,0,,SUB in: K. Matković,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M18.00S,2025-02-09T03:23:09.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,27.414586070959263,82.84313725490196,1610612740,9,24,2025-02-09T03:23:17Z,930000,False,-164.0,205.0,1,left,MISS C. McCollum 26' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,
96,PT04M16.00S,2025-02-09T03:23:11.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,9,24,2025-02-09T03:25:59Z,940000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,Above the Break 3,24+ Left Center,,,95.0,2.0,2.0,0.0,,,,,,,,,,,,,
97,PT04M14.00S,2025-02-09T03:23:15.1Z,1,REGULAR,foul,personal,[],1630530,,,1610612758,9,24,2025-02-09T03:24:28Z,950000,False,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 203897]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,1627524.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,1.0,0.0,LaVine,203897.0
99,PT04M04.00S,2025-02-09T03:23:50.1Z,1,REGULAR,turnover,lost ball,[],1631099,,,1610612758,9,24,2025-02-09T03:23:53Z,970000,False,,,0,,K. Murray lost ball TURNOVER (1 TO),"[1631099, 203468]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,McCollum,203468.0,,,,,,,,,
100,PT04M04.00S,2025-02-09T03:23:50.1Z,1,REGULAR,steal,,[],203468,,,1610612740,9,24,2025-02-09T03:23:52Z,980000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
101,PT04M01.00S,2025-02-09T03:23:53.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630530,5.995400788436268,49.754901960784316,1610612740,9,26,2025-02-09T03:28:45Z,990000,False,1.0,4.0,1,left,T. Murphy III running DUNK (8 PTS),[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,8.0,,,,,,,,,,,,
103,PT03M56.00S,2025-02-09T03:24:01.9Z,1,REGULAR,foul,personal,[],1631255,,,1610612758,9,26,2025-02-09T03:26:23Z,1010000,False,,,0,,K. Matković personal FOUL (1 PF),"[1631255, 1627734]",1610612740.0,NOP,,,,Matković,K. Matković,,,,,202053.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,0.0,Sabonis,1627734.0
105,PT03M47.00S,2025-02-09T03:24:29.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,69.99014454664915,77.69607843137256,1610612758,9,26,2025-02-09T03:24:51Z,1030000,False,138.0,230.0,1,right,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,
106,PT03M44.00S,2025-02-09T03:24:32.1Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,9,26,2025-02-09T03:24:51Z,1040000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:3),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Right Center,,,105.0,3.0,3.0,0.0,,,,,,,,,,,,,
107,PT03M29.00S,2025-02-09T03:24:47.6Z,1,REGULAR,3pt,Jump Shot,[],203468,19.267411300919843,91.66666666666666,1610612740,9,29,2025-02-09T03:25:06Z,1050000,False,-208.0,129.0,1,left,C. McCollum 24' 3PT  (9 PTS) (T. Murphy III 1 AST),"[203468, 1630530]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,Above the Break 3,24+ Left Center,24.48,Made,,,,,9.0,,,,T. Murphy III,1630530.0,1.0,,,,,,
109,PT03M20.00S,2025-02-09T03:24:58.6Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,9,29,2025-02-09T03:25:32Z,1070000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,101284.0,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,,,,,,,
110,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,out,[],203897,,,1610612740,9,29,2025-02-09T03:25:19Z,1080000,False,,,0,,SUB out: Z. LaVine,[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,out,[],201942,,,1610612740,9,29,2025-02-09T03:25:19Z,1090000,False,,,0,,SUB out: D. DeRozan,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612740,9,29,2025-02-09T03:25:19Z,1100000,False,,,0,,SUB out: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,out,[],1631099,,,1610612740,9,29,2025-02-09T03:25:19Z,1110000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,in,[],1626168,,,1610612740,9,29,2025-02-09T03:25:19Z,1120000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,in,[],1628370,,,1610612740,9,29,2025-02-09T03:25:19Z,1130000,False,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,in,[],202685,,,1610612740,9,29,2025-02-09T03:25:19Z,1140000,False,,,0,,SUB in: J. Valančiūnas,[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M20.00S,2025-02-09T03:25:03.9Z,1,REGULAR,substitution,in,[],1631222,,,1610612740,9,29,2025-02-09T03:25:19Z,1150000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M07.00S,2025-02-09T03:25:30.8Z,1,REGULAR,turnover,bad pass,[],1631255,,,1610612740,9,29,2025-02-09T03:40:41Z,1160000,False,,,0,,K. Matković bad pass TURNOVER (1 TO),"[1631255, 1631222]",1610612740.0,NOP,,,,Matković,K. Matković,,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,LaRavia,1631222.0,,,,,,,,,
119,PT03M07.00S,2025-02-09T03:25:30.8Z,1,REGULAR,steal,,[],1631222,,,1610612758,9,29,2025-02-09T03:25:36Z,1170000,False,,,0,,J. LaRavia STEAL (1 STL),[1631222],1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,
120,PT02M59.00S,2025-02-09T03:25:37.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631222,88.12417871222075,51.225490196078425,1610612758,11,29,2025-02-09T03:25:52Z,1180000,False,6.0,59.0,1,right,J. LaRavia running Layup (2 PTS),[1631222],1610612758.0,SAC,running,,,LaRavia,J. LaRavia,,,,,,In The Paint (Non-RA),0-8 Center,5.94,Made,,,,,2.0,,,,,,,,,,,,
121,PT02M46.00S,2025-02-09T03:25:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629750,10.200394218134035,3.9215686274509802,1610612740,11,29,2025-02-09T03:25:55Z,1190000,False,230.0,43.0,1,left,MISS J. Green 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,Right Corner 3,24+ Right,23.45,Missed,,,,,,,,,,,,,,,,,
122,PT02M43.00S,2025-02-09T03:25:54.1Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612758,11,29,2025-02-09T03:25:55Z,1200000,False,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,Right Corner 3,24+ Right,,,121.0,1.0,1.0,0.0,,,,,,,,,,,,,
123,PT02M35.00S,2025-02-09T03:26:02.5Z,1,REGULAR,3pt,Jump Shot,[],1631222,75.1149802890933,12.009803921568627,1610612758,14,29,2025-02-09T03:30:24Z,1210000,False,-190.0,181.0,1,right,J. LaRavia 26' 3PT bank (5 PTS) (M. Monk 2 AST),"[1631222, 1628370]",1610612758.0,SAC,bank,,,LaRavia,J. LaRavia,,,,,,Above the Break 3,24+ Left Center,26.27,Made,,,,,5.0,,,,M. Monk,1628370.0,2.0,,,,,,
125,PT02M15.00S,2025-02-09T03:26:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,8.360709592641262,46.32352941176471,1610612740,14,29,2025-02-09T03:30:43Z,1230000,False,18.0,26.0,1,left,MISS C. McCollum driving floating Shot - blocked,"[203468, 1631222]",1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,LaRavia,1631222.0,,,,
126,PT02M15.00S,2025-02-09T03:26:24.7Z,1,REGULAR,block,,[],1631222,,,1610612740,14,29,2025-02-09T03:26:27Z,1240000,False,,,0,,J. LaRavia BLOCK (1 BLK),[1631222],1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
127,PT02M15.00S,2025-02-09T03:26:24.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,14,29,2025-02-09T03:26:39Z,1250000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,Restricted Area,0-8 Center,,,125.0,,,,,,,,,,,,,,,,
128,PT02M15.00S,2025-02-09T03:26:39.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,14,29,2025-02-09T03:27:09Z,1260000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M15.00S,2025-02-09T03:27:15.2Z,1,REGULAR,substitution,out,[],203468,,,1610612758,14,29,2025-02-09T03:28:59Z,1270000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M15.00S,2025-02-09T03:27:15.2Z,1,REGULAR,substitution,out,[],1630530,,,1610612758,14,29,2025-02-09T03:28:59Z,1280000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M15.00S,2025-02-09T03:27:15.2Z,1,REGULAR,substitution,in,[],1630527,,,1610612758,14,29,2025-02-09T03:28:59Z,1290000,False,,,0,,SUB in: B. Boston,[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M15.00S,2025-02-09T03:27:15.2Z,1,REGULAR,substitution,in,[],1629627,,,1610612758,14,29,2025-02-09T03:28:59Z,1300000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M58.00S,2025-02-09T03:29:36.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631222,90.09526938239159,52.450980392156865,1610612758,16,29,2025-02-09T03:31:33Z,1310000,False,12.0,41.0,1,right,J. LaRavia cutting DUNK (7 PTS) (T. Lyles 1 AST),"[1631222, 1626168]",1610612758.0,SAC,cutting,,,LaRavia,J. LaRavia,,,,,,Restricted Area,0-8 Center,4.24,Made,,,,,7.0,,,,T. Lyles,1626168.0,1.0,,,,,,
135,PT01M49.00S,2025-02-09T03:29:45.7Z,1,REGULAR,2pt,Jump Shot,[],1641722,21.50131406044678,69.11764705882352,1610612740,16,29,2025-02-09T03:31:48Z,1330000,False,-96.0,150.0,1,left,MISS J. Hawkins 17' pullup Shot,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,,Mid-Range,16-24 Left Center,17.75,Missed,,,,,,,,,,,,,,,,,
136,PT01M49.00S,2025-02-09T03:29:45.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612758,16,29,2025-02-09T03:30:06Z,1340000,False,,,0,,J. Valančiūnas REBOUND (Off:0 Def:1),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,,Mid-Range,16-24 Left Center,,,135.0,1.0,1.0,0.0,,,,,,,,,,,,,
137,PT01M43.00S,2025-02-09T03:29:52.1Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612758,16,29,2025-02-09T03:30:18Z,1350000,False,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1630527]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Boston,1630527.0,,,,,,,,,
138,PT01M43.00S,2025-02-09T03:29:52.1Z,1,REGULAR,steal,,[],1630527,,,1610612740,16,29,2025-02-09T03:29:53Z,1360000,False,,,0,,B. Boston STEAL (1 STL),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
139,PT01M39.00S,2025-02-09T03:29:58.6Z,1,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,16,29,2025-02-09T03:33:42Z,1370000,False,,,0,,Z. Williamson bad pass out-of-bounds TURNOVER (1 TO),[1629627],1610612740.0,NOP,bad pass,,,Williamson,Z. Williamson,,,,,101284.0,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,,,
141,PT01M16.00S,2025-02-09T03:30:25.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626168,67.7562417871222,28.676470588235293,1610612758,19,29,2025-02-09T03:31:02Z,1390000,False,-107.0,251.0,1,right,T. Lyles 27' 3PT  (3 PTS) (J. LaRavia 1 AST),"[1626168, 1631222]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Above the Break 3,24+ Left Center,27.23,Made,,,,,3.0,,,,J. LaRavia,1631222.0,1.0,,,,,,
143,PT01M09.00S,2025-02-09T03:30:33.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629627,7.440867279894875,42.15686274509804,1610612740,19,31,2025-02-09T03:33:12Z,1410000,False,39.0,17.0,1,left,Z. Williamson turnaround Hook (11 PTS),[1629627],1610612740.0,NOP,turnaround,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,4.29,Made,,,,,11.0,,,,,,,,,,,,
144,PT00M59.60S,2025-02-09T03:30:43.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,93.51182654402102,45.83333333333333,1610612758,21,31,2025-02-09T03:33:26Z,1420000,False,-21.0,8.0,1,right,J. Valančiūnas cutting DUNK (2 PTS) (M. Monk 3 AST),"[202685, 1628370]",1610612758.0,SAC,cutting,,,Valančiūnas,J. Valančiūnas,,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,2.0,,,,M. Monk,1628370.0,3.0,,,,,,
147,PT00M50.60S,2025-02-09T03:30:55.1Z,1,REGULAR,3pt,Jump Shot,[],1641722,28.86005256241787,25.98039215686275,1610612740,21,31,2025-02-09T03:31:06Z,1440000,False,120.0,219.0,1,left,MISS J. Hawkins 24' 3PT,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,,
148,PT00M50.60S,2025-02-09T03:30:55.1Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,21,31,2025-02-09T03:31:06Z,1450000,False,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Above the Break 3,24+ Right Center,,,147.0,1.0,1.0,0.0,,,,,,,,,,,,,
149,PT00M38.90S,2025-02-09T03:31:06.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628370,68.41327201051249,66.66666666666666,1610612758,21,31,2025-02-09T03:34:03Z,1460000,False,83.0,244.0,1,right,MISS M. Monk 25' running pullup 3PT - blocked,"[1628370, 1631255]",1610612758.0,SAC,running pullup,,,Monk,M. Monk,,,,,,Above the Break 3,24+ Right Center,25.82,Missed,,,,,,,,,,,,Matković,1631255.0,,,,
150,PT00M38.90S,2025-02-09T03:31:06.8Z,1,REGULAR,block,,[],1631255,,,1610612758,21,31,2025-02-09T03:31:09Z,1470000,False,,,0,,K. Matković BLOCK (1 BLK),[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
151,PT00M35.30S,2025-02-09T03:31:10.4Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612740,21,31,2025-02-09T03:31:13Z,1480000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,Above the Break 3,24+ Right Center,,,149.0,2.0,2.0,0.0,,,,,,,,,,,,,
152,PT00M31.70S,2025-02-09T03:31:13.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641722,13.485545335085414,96.81372549019608,1610612740,21,31,2025-02-09T03:34:26Z,1490000,False,-234.0,74.0,1,left,MISS J. Hawkins 24' running 3PT,[1641722],1610612740.0,NOP,running,,,Hawkins,J. Hawkins,,,,,,Left Corner 3,24+ Left,24.56,Missed,,,,,,,,,,,,,,,,,
153,PT00M28.60S,2025-02-09T03:31:17.0Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612758,21,31,2025-02-09T03:32:02Z,1500000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612758.0,SAC,,,,LaRavia,J. LaRavia,,,,,,Left Corner 3,24+ Left,,,152.0,1.0,1.0,0.0,,,,,,,,,,,,,
154,PT00M28.60S,2025-02-09T03:31:19.7Z,1,REGULAR,foul,personal,[],1629750,,,1610612758,21,31,2025-02-09T03:31:23Z,1510000,False,,,0,,J. Green personal FOUL (1 PF),"[1629750, 1631222]",1610612740.0,NOP,,,,Green,J. Green,,,,,1627524.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,LaRavia,1631222.0
156,PT00M13.30S,2025-02-09T03:31:49.3Z,1,REGULAR,3pt,Jump Shot,[],1631165,92.85479632063075,0.9803921568627451,1610612758,24,31,2025-02-09T03:32:05Z,1530000,False,-245.0,15.0,1,right,K. Ellis 24' 3PT  (3 PTS) (M. Monk 4 AST),"[1631165, 1628370]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,Left Corner 3,24+ Left,24.55,Made,,,,,3.0,,,,M. Monk,1628370.0,4.0,,,,,,
159,PT00M00.10S,2025-02-09T03:32:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630527,27.414586070959263,18.38235294117647,1610612740,24,31,2025-02-09T03:35:06Z,1560000,False,158.0,205.0,1,left,MISS B. Boston 25' step back 3PT,[1630527],1610612740.0,NOP,step back,,,Boston,B. Boston,,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,
160,PT00M00.10S,2025-02-09T03:32:33.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,24,31,2025-02-09T03:32:49Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,Above the Break 3,24+ Right Center,,,159.0,,,,,,,,,,,,,,,,
161,PT00M00.00S,2025-02-09T03:32:51.4Z,1,REGULAR,period,end,[],0,,,1610612740,24,31,2025-02-09T03:32:51Z,1580000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-02-09T03:33:24.8Z,2,REGULAR,substitution,out,['startperiod'],1629750,,,1610612740,24,31,2025-02-09T03:34:30Z,1590000,False,,,0,,SUB out: J. Green,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-02-09T03:33:24.8Z,2,REGULAR,substitution,in,['startperiod'],1641810,,,1610612740,24,31,2025-02-09T03:34:30Z,1600000,False,,,0,,SUB in: A. Reeves,[1641810],1610612740.0,NOP,,,,Reeves,A. Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-02-09T03:34:44.7Z,2,REGULAR,period,start,[],0,,,1610612758,24,31,2025-02-09T03:34:44Z,1610000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M47.00S,2025-02-09T03:34:57.1Z,2,REGULAR,2pt,Jump Shot,[],1626168,78.79434954007884,66.91176470588235,1610612758,26,31,2025-02-09T03:35:03Z,1620000,False,85.0,147.0,1,right,T. Lyles 16' Jump Shot (5 PTS) (J. LaRavia 2 AST),"[1626168, 1631222]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Mid-Range,16-24 Right Center,16.94,Made,,,,,5.0,,,,J. LaRavia,1631222.0,2.0,,,,,,
169,PT11M23.00S,2025-02-09T03:35:43.4Z,2,REGULAR,3pt,Jump Shot,[],1630527,27.414586070959263,20.34313725490196,1610612740,26,34,2025-02-09T03:35:48Z,1660000,False,148.0,205.0,1,left,B. Boston 25' 3PT  (3 PTS) (Z. Williamson 1 AST),"[1630527, 1629627]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Above the Break 3,24+ Right Center,25.32,Made,,,,,3.0,,,,Z. Williamson,1629627.0,1.0,,,,,,
171,PT11M13.00S,2025-02-09T03:36:01.0Z,2,REGULAR,foul,personal,[],1630527,,,1610612758,26,34,2025-02-09T03:36:44Z,1680000,False,,,0,,B. Boston personal FOUL (1 PF),"[1630527, 1631165]",1610612740.0,NOP,,,,Boston,B. Boston,,,,,101284.0,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,1.0,0.0,Ellis,1631165.0
173,PT11M03.00S,2025-02-09T03:36:23.3Z,2,REGULAR,3pt,Jump Shot,[],1626168,70.90998685939553,18.627450980392158,1610612758,26,34,2025-02-09T03:36:27Z,1700000,False,-157.0,221.0,1,right,MISS T. Lyles 27' 3PT,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,Above the Break 3,24+ Left Center,27.1,Missed,,,,,,,,,,,,,,,,,
174,PT11M00.00S,2025-02-09T03:36:25.6Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612740,26,34,2025-02-09T03:36:25Z,1710000,False,,,0,,B. Boston REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,Boston,B. Boston,,,,,,Above the Break 3,24+ Left Center,,,173.0,1.0,1.0,0.0,,,,,,,,,,,,,
175,PT10M56.00S,2025-02-09T03:36:32.1Z,2,REGULAR,foul,personal,['2freethrow'],1631165,,,1610612740,26,34,2025-02-09T03:36:40Z,1720000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Boston 2 FT),"[1631165, 1630527]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,1627524.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Boston,1630527.0
