actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
87,PT06M12.00S,2024-11-19T03:21:14.9Z,1,REGULAR,rebound,defensive,[],1631115,,,1610612758,6,17,2024-11-19T03:21:39Z,870000,False,,,0,,O. Robinson REBOUND (Off:0 Def:1),[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,,,,,,,
88,PT05M59.00S,2024-11-19T03:21:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,15.850854139290407,37.99019607843137,1610612758,6,17,2024-11-19T03:22:31Z,880000,False,60.0,96.0,1,left,MISS K. Murray 11' driving floating Shot - blocked,"[1631099, 1629631]",1610612758.0,SAC,driving floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Right,,,,,11.36,Missed,,,,,,,,,,,,,Hunter,1629631.0
89,PT05M59.00S,2024-11-19T03:21:46.2Z,1,REGULAR,block,,[],1629631,,,1610612758,6,17,2024-11-19T03:21:55Z,890000,False,,,0,,D. Hunter BLOCK (1 BLK),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
90,PT05M56.00S,2024-11-19T03:21:49.2Z,1,REGULAR,rebound,offensive,[],1631165,,,1610612758,6,17,2024-11-19T03:22:31Z,900000,False,,,0,,K. Ellis REBOUND (Off:1 Def:0),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,88.0,1.0,0.0,1.0,,,,,,,,,,
91,PT05M51.00S,2024-11-19T03:21:56.9Z,1,REGULAR,turnover,out-of-bounds,[],1631099,,,1610612758,6,17,2024-11-19T03:23:08Z,910000,False,,,0,,K. Murray lost ball out-of-bounds TURNOVER (2 TO),[1631099],1610612758.0,SAC,lost ball,,,Murray,K. Murray,,,,,Left Corner 3,24+ Left,2003.0,2.0,,,,,,,,,,,,,,,,,,
93,PT05M51.00S,2024-11-19T03:22:04.6Z,1,REGULAR,substitution,out,[],1630700,,,1610612737,6,17,2024-11-19T03:22:15Z,930000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M51.00S,2024-11-19T03:22:04.6Z,1,REGULAR,substitution,out,[],203991,,,1610612737,6,17,2024-11-19T03:22:15Z,940000,False,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M51.00S,2024-11-19T03:22:04.6Z,1,REGULAR,substitution,in,[],1631223,,,1610612737,6,17,2024-11-19T03:22:15Z,950000,False,,,0,,SUB in: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M51.00S,2024-11-19T03:22:04.6Z,1,REGULAR,substitution,in,[],1630168,,,1610612737,6,17,2024-11-19T03:22:15Z,960000,False,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M38.00S,2024-11-19T03:22:23.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631223,88.25558475689881,95.34313725490196,1610612737,6,20,2024-11-19T03:22:48Z,970000,False,227.0,58.0,1,right,D. Roddy 3PT  (3 PTS) (T. Young 4 AST),"[1631223, 1629027]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Right Corner 3,24+ Right,,,,,23.4,Made,,,,,3.0,T. Young,1629027.0,4.0,,,,,,
99,PT05M21.00S,2024-11-19T03:22:41.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631165,6.521024967148489,50.98039215686274,1610612758,6,20,2024-11-19T03:24:41Z,990000,False,-5.0,9.0,1,left,MISS K. Ellis turnaround Shot,[1631165],1610612758.0,SAC,turnaround,,,Ellis,K. Ellis,,,,,Restricted Area,0-8 Center,,,,,1.01,Missed,,,,,,,,,,,,,,
100,PT05M19.00S,2024-11-19T03:22:43.9Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,6,20,2024-11-19T03:24:41Z,1000000,False,,,0,,B. Bogdanović REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Restricted Area,0-8 Center,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,
101,PT05M16.00S,2024-11-19T03:22:47.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630168,92.9862023653088,49.26470588235294,1610612737,6,22,2024-11-19T03:25:08Z,1010000,False,-4.0,13.0,1,right,O. Okongwu running alley-oop Layup (2 PTS) (T. Young 5 AST),"[1630168, 1629027]",1610612737.0,ATL,running alley-oop,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,1.39,Made,,,,,2.0,T. Young,1629027.0,5.0,,,,,,
103,PT05M14.00S,2024-11-19T03:22:57.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,6,22,2024-11-19T03:22:57Z,1030000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M03.00S,2024-11-19T03:25:58.5Z,1,REGULAR,3pt,Jump Shot,[],1631165,2.7102496714848883,95.58823529411765,1610612758,9,22,2024-11-19T03:26:06Z,1040000,False,-228.0,-27.0,1,left,K. Ellis 3PT  (3 PTS) (K. Murray 1 AST),"[1631165, 1631099]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,,,,,22.95,Made,,,,,3.0,K. Murray,1631099.0,1.0,,,,,,
106,PT04M47.00S,2024-11-19T03:26:13.1Z,1,REGULAR,turnover,bad pass,[],1631223,,,1610612737,9,22,2024-11-19T03:26:50Z,1060000,False,,,0,,D. Roddy bad pass TURNOVER (1 TO),"[1631223, 1631115]",1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,Mid-Range,16-24 Center,,1.0,Robinson,1631115.0,,,,,,,,,,,,,,,,
107,PT04M47.00S,2024-11-19T03:26:13.1Z,1,REGULAR,steal,,[],1631115,,,1610612758,9,22,2024-11-19T03:26:16Z,1070000,False,,,0,,O. Robinson STEAL (1 STL),[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
167,PT04M34.00S,2024-11-19T03:26:31.3Z,1,REGULAR,turnover,lost ball,[],1631115,,,1610612758,9,22,2024-11-19T03:35:50Z,1085000,False,,,0,,O. Robinson lost ball TURNOVER (1 TO),"[1631115, 1630168]",1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,Restricted Area,0-8 Center,,1.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,
168,PT04M34.00S,2024-11-19T03:26:31.3Z,1,REGULAR,steal,,[],1630168,,,1610612737,9,22,2024-11-19T03:35:50Z,1087500,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
112,PT04M20.00S,2024-11-19T03:26:57.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630168,91.5407358738502,47.05882352941176,1610612737,9,22,2024-11-19T03:36:01Z,1120000,False,-15.0,27.0,1,right,MISS O. Okongwu driving reverse Layup,[1630168],1610612737.0,ATL,driving reverse,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,3.07,Missed,,,,,,,,,,,,,,
113,PT04M18.00S,2024-11-19T03:26:59.8Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,9,22,2024-11-19T03:27:03Z,1130000,False,,,0,,K. Murray REBOUND (Off:0 Def:2),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,,,,112.0,2.0,2.0,0.0,,,,,,,,,,
114,PT04M13.00S,2024-11-19T03:27:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631099,30.831143232588698,25.735294117647058,1610612758,12,22,2024-11-19T03:27:18Z,1140000,False,121.0,237.0,1,left,K. Murray 26' 3PT running (3 PTS) (J. McLaughlin 1 AST),"[1631099, 1629162]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,,,,,26.65,Made,,,,,3.0,J. McLaughlin,1629162.0,1.0,,,,,,
116,PT04M02.00S,2024-11-19T03:27:14.5Z,1,REGULAR,3pt,Jump Shot,[],203992,87.20433639947439,5.392156862745098,1610612737,12,25,2024-11-19T03:27:24Z,1160000,False,-223.0,68.0,1,right,B. Bogdanović 3PT  (3 PTS) (T. Young 6 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Left Corner 3,24+ Left,,,,,23.31,Made,,,,,3.0,T. Young,1629027.0,6.0,,,,,,
118,PT03M49.00S,2024-11-19T03:27:27.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,15.850854139290407,42.15686274509804,1610612758,14,25,2024-11-19T03:28:42Z,1180000,False,39.0,96.0,1,left,K. Huerter 10' driving floating Jump Shot (2 PTS),[1628989],1610612758.0,SAC,driving floating,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.42,Made,,,,,2.0,,,,,,,,,
119,PT03M44.00S,2024-11-19T03:27:41.3Z,1,REGULAR,violation,kicked ball,[],1631165,,,1610612737,14,25,2024-11-19T03:27:55Z,1190000,False,,,0,,K. Ellis kicked ball VIOLATION,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,,,2003.0,,,,,,,,,,,,,,,,,,,
120,PT03M44.00S,2024-11-19T03:27:44.0Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,14,25,2024-11-19T03:27:51Z,1200000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M44.00S,2024-11-19T03:27:44.0Z,1,REGULAR,substitution,in,[],1641723,,,1610612737,14,25,2024-11-19T03:27:51Z,1210000,False,,,0,,SUB in: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M40.00S,2024-11-19T03:28:04.0Z,1,REGULAR,3pt,Jump Shot,[],1629631,69.59592641261499,25.98039215686275,1610612737,14,25,2024-11-19T03:28:11Z,1220000,False,-120.0,233.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,26.24,Missed,,,,,,,,,,,,,,
123,PT03M34.00S,2024-11-19T03:28:10.0Z,1,REGULAR,rebound,defensive,[],1631115,,,1610612758,14,25,2024-11-19T03:28:11Z,1230000,False,,,0,,O. Robinson REBOUND (Off:0 Def:2),[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,122.0,2.0,2.0,0.0,,,,,,,,,,
124,PT03M26.00S,2024-11-19T03:28:19.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631165,20.05584756898817,37.99019607843137,1610612758,14,25,2024-11-19T03:29:24Z,1240000,False,60.0,136.0,1,left,MISS K. Ellis 14' pullup bank Shot,[1631165],1610612758.0,SAC,pullup bank,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),8-16 Center,,,,,14.86,Missed,,,,,,,,,,,,,,
125,PT03M23.00S,2024-11-19T03:28:22.8Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,14,25,2024-11-19T03:29:24Z,1250000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,
126,PT03M18.00S,2024-11-19T03:28:27.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641723,96.5341655716163,96.81372549019608,1610612737,14,25,2024-11-19T03:29:50Z,1260000,False,234.0,-20.0,1,right,MISS K. Bufkin running 3PT,[1641723],1610612737.0,ATL,running,,,Bufkin,K. Bufkin,,,,,Right Corner 3,24+ Right,,,,,23.49,Missed,,,,,,,,,,,,,,
127,PT03M16.00S,2024-11-19T03:28:29.1Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,14,25,2024-11-19T03:29:50Z,1270000,False,,,0,,K. Murray REBOUND (Off:0 Def:3),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,,,,,126.0,3.0,3.0,0.0,,,,,,,,,,
128,PT03M00.00S,2024-11-19T03:28:46.4Z,1,REGULAR,foul,personal,[],1629631,,,1610612758,14,25,2024-11-19T03:28:58Z,1280000,False,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1631099]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,1626302.0,,,,,,,,,,,,,,1.0,0.0,Murray,1631099.0,,
130,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,out,[],1628989,,,1610612758,14,25,2024-11-19T03:29:15Z,1300000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,out,[],1631099,,,1610612758,14,25,2024-11-19T03:29:15Z,1310000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,out,[],1631115,,,1610612758,14,25,2024-11-19T03:29:15Z,1320000,False,,,0,,SUB out: O. Robinson,[1631115],1610612758.0,SAC,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,in,[],1628368,,,1610612758,14,25,2024-11-19T03:29:15Z,1330000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,in,[],1626168,,,1610612758,14,25,2024-11-19T03:29:15Z,1340000,False,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT03M00.00S,2024-11-19T03:28:54.6Z,1,REGULAR,substitution,in,[],203926,,,1610612758,14,25,2024-11-19T03:29:15Z,1350000,False,,,0,,SUB in: D. McDermott,[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M51.00S,2024-11-19T03:29:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,10.068988173455978,49.26470588235294,1610612758,16,25,2024-11-19T03:29:36Z,1360000,False,4.0,42.0,1,left,D. Fox driving Layup (3 PTS),[1628368],1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,4.23,Made,,,,,3.0,,,,,,,,,
137,PT02M51.00S,2024-11-19T03:29:26.6Z,1,REGULAR,foul,personal,['1freethrow'],1641723,,,1610612758,16,25,2024-11-19T03:29:57Z,1370000,False,,,0,,K. Bufkin shooting personal FOUL (1 PF) (Fox 1 FT),"[1641723, 1628368]",1610612737.0,ATL,shooting,,,Bufkin,K. Bufkin,,,,,Restricted Area,0-8 Center,2002.0,,,,,,,,,,,,,,1.0,0.0,Fox,1628368.0,,
140,PT02M51.00S,2024-11-19T03:29:49.6Z,1,REGULAR,substitution,out,[],1631223,,,1610612758,16,25,2024-11-19T03:29:52Z,1400000,False,,,0,,SUB out: D. Roddy,[1631223],1610612737.0,ATL,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M51.00S,2024-11-19T03:29:49.6Z,1,REGULAR,substitution,in,[],1630700,,,1610612758,16,25,2024-11-19T03:29:52Z,1410000,False,,,0,,SUB in: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT02M51.00S,2024-11-19T03:29:58.8Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,17,25,2024-11-19T03:29:58Z,1420000,False,,,0,,D. Fox Free Throw 1 of 1 (4 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
143,PT02M36.00S,2024-11-19T03:30:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,81.68528252299606,47.05882352941176,1610612737,17,25,2024-11-19T03:32:18Z,1430000,False,-15.0,120.0,1,right,MISS D. Daniels 12' driving floating Shot,[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.06,Missed,,,,,,,,,,,,,,
144,PT02M34.00S,2024-11-19T03:30:14.8Z,1,REGULAR,rebound,defensive,[],203926,,,1610612758,17,25,2024-11-19T03:32:18Z,1440000,False,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,
145,PT02M14.00S,2024-11-19T03:30:34.5Z,1,REGULAR,3pt,Jump Shot,[],1628368,29.122864651773984,73.2843137254902,1610612758,20,25,2024-11-19T03:36:29Z,1450000,False,-116.0,221.0,1,left,D. Fox 25' 3PT pullup (7 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,,,25.0,Made,,,,,7.0,,,,,,,,,
146,PT02M01.00S,2024-11-19T03:30:47.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,73.27529566360053,17.401960784313726,1610612737,20,28,2024-11-19T03:30:55Z,1460000,False,-163.0,199.0,1,right,D. Hunter 25' 3PT pullup (3 PTS) (B. Bogdanović 1 AST),"[1629631, 203992]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,25.7,Made,,,,,3.0,B. Bogdanović,203992.0,1.0,,,,,,
148,PT01M46.00S,2024-11-19T03:31:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.863994743758213,51.470588235294116,1610612758,22,28,2024-11-19T03:31:08Z,1480000,False,-7.0,3.0,1,left,D. Fox cutting Layup (9 PTS) (T. Lyles 2 AST),"[1628368, 1626168]",1610612758.0,SAC,cutting,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,0.78,Made,,,,,9.0,T. Lyles,1626168.0,2.0,,,,,,
150,PT01M32.00S,2024-11-19T03:31:19.0Z,1,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612737,22,28,2024-11-19T03:31:26Z,1500000,False,,,0,,T. Lyles shooting personal FOUL (1 PF) (Bufkin 2 FT),"[1626168, 1641723]",1610612758.0,SAC,shooting,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),0-8 Center,2002.0,,,,,,,,,,,,,,1.0,0.0,Bufkin,1641723.0,,
152,PT01M32.00S,2024-11-19T03:31:53.0Z,1,REGULAR,freethrow,1 of 2,[],1641723,,,1610612737,22,29,2024-11-19T03:31:53Z,1520000,False,,,0,,K. Bufkin Free Throw 1 of 2 (1 PTS),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
153,PT01M32.00S,2024-11-19T03:32:16.0Z,1,REGULAR,freethrow,2 of 2,[],1641723,,,1610612737,22,30,2024-11-19T03:32:16Z,1530000,False,,,0,,K. Bufkin Free Throw 2 of 2 (2 PTS),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
154,PT01M17.00S,2024-11-19T03:32:31.8Z,1,REGULAR,3pt,Jump Shot,[],1631165,29.517082785808146,27.205882352941174,1610612758,25,30,2024-11-19T03:32:39Z,1540000,False,114.0,225.0,1,left,K. Ellis 25' 3PT  (6 PTS) (D. Fox 2 AST),"[1631165, 1628368]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Right Center,,,,,25.22,Made,,,,,6.0,D. Fox,1628368.0,2.0,,,,,,
156,PT01M04.00S,2024-11-19T03:32:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,85.62746386333771,44.11764705882353,1610612737,25,30,2024-11-19T03:34:21Z,1560000,False,-29.0,83.0,1,right,MISS D. Hunter 8' turnaround Shot,[1629631],1610612737.0,ATL,turnaround,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.77,Missed,,,,,,,,,,,,,,
157,PT01M02.00S,2024-11-19T03:32:48.8Z,1,REGULAR,rebound,defensive,[],1626168,,,1610612758,25,30,2024-11-19T03:34:21Z,1570000,False,,,0,,T. Lyles REBOUND (Off:1 Def:1),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,156.0,2.0,1.0,1.0,,,,,,,,,,
158,PT00M46.40S,2024-11-19T03:33:02.7Z,1,REGULAR,3pt,Jump Shot,[],1629162,28.597240473061763,73.77450980392157,1610612758,28,30,2024-11-19T03:34:41Z,1580000,False,-119.0,216.0,1,left,J. McLaughlin 24' 3PT pullup (3 PTS),[1629162],1610612758.0,SAC,pullup,,,McLaughlin,J. McLaughlin,,,,,Above the Break 3,24+ Left Center,,,,,24.68,Made,,,,,3.0,,,,,,,,,
159,PT00M38.00S,2024-11-19T03:33:14.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,91.67214191852825,4.411764705882353,1610612737,28,30,2024-11-19T03:33:22Z,1590000,False,-228.0,26.0,1,right,MISS D. Hunter 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,22.94,Missed,,,,,,,,,,,,,,
160,PT00M34.30S,2024-11-19T03:33:18.4Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,28,30,2024-11-19T03:33:22Z,1600000,False,,,0,,K. Ellis REBOUND (Off:1 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Left Corner 3,24+ Left,,,,,,,159.0,2.0,1.0,1.0,,,,,,,,,,
161,PT00M19.10S,2024-11-19T03:33:34.2Z,1,REGULAR,3pt,Jump Shot,[],203926,7.178055190538765,97.54901960784314,1610612758,31,30,2024-11-19T03:33:40Z,1610000,False,-238.0,15.0,1,left,D. McDermott 3PT  (3 PTS) (J. McLaughlin 2 AST),"[203926, 1629162]",1610612758.0,SAC,,,,McDermott,D. McDermott,,,,,Left Corner 3,24+ Left,,,,,23.82,Made,,,,,3.0,J. McLaughlin,1629162.0,2.0,,,,,,
163,PT00M03.20S,2024-11-19T03:33:52.4Z,1,REGULAR,3pt,Jump Shot,[],1630168,93.38042049934296,97.05882352941177,1610612737,31,30,2024-11-19T03:33:59Z,1630000,False,235.0,10.0,1,right,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,,,23.55,Missed,,,,,,,,,,,,,,
164,PT00M02.20S,2024-11-19T03:33:53.4Z,1,REGULAR,rebound,offensive,[],1629631,,,1610612737,31,30,2024-11-19T03:35:58Z,1640000,False,,,0,,D. Hunter REBOUND (Off:1 Def:0),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,,,,,,,163.0,1.0,0.0,1.0,,,,,,,,,,
165,PT00M00.10S,2024-11-19T03:34:05.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629631,94.69448094612353,38.72549019607843,1610612737,31,32,2024-11-19T03:41:19Z,1650000,False,-56.0,-3.0,1,right,D. Hunter fadeaway Jump Shot (5 PTS),[1629631],1610612737.0,ATL,fadeaway,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.65,Made,,,,,5.0,,,,,,,,,
166,PT00M00.00S,2024-11-19T03:34:17.8Z,1,REGULAR,period,end,[],0,,,1610612758,31,32,2024-11-19T03:34:17Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2024-11-19T03:36:35.7Z,2,REGULAR,substitution,out,['startperiod'],1629162,,,1610612758,31,32,2024-11-19T03:36:58Z,1670000,False,,,0,,SUB out: J. McLaughlin,[1629162],1610612758.0,SAC,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2024-11-19T03:36:35.7Z,2,REGULAR,substitution,out,['startperiod'],1629631,,,1610612758,31,32,2024-11-19T03:36:58Z,1680000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2024-11-19T03:36:35.7Z,2,REGULAR,substitution,in,['startperiod'],1641732,,,1610612758,31,32,2024-11-19T03:36:58Z,1690000,False,,,0,,SUB in: C. Jones,[1641732],1610612758.0,SAC,,,,Jones,C. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2024-11-19T03:36:35.7Z,2,REGULAR,substitution,in,['startperiod'],1642258,,,1610612758,31,32,2024-11-19T03:36:58Z,1700000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2024-11-19T03:37:01.9Z,2,REGULAR,period,start,[],0,,,1610612737,31,32,2024-11-19T03:37:01Z,1710000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT11M43.00S,2024-11-19T03:37:18.0Z,2,REGULAR,3pt,Jump Shot,[],1641723,69.59592641261499,27.941176470588236,1610612737,31,32,2024-11-19T03:37:25Z,1720000,False,-110.0,233.0,1,right,MISS K. Bufkin 25' 3PT,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Left Center,,,,,25.81,Missed,,,,,,,,,,,,,,
