actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
93,PT04M26.00S,2024-01-20T00:27:26.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,19,23,2024-01-20T00:27:26Z,930000,False,,,0,,J. Embiid Free Throw 1 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
94,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,out,[],1629643,,,1610612755,19,23,2024-01-20T00:27:40Z,940000,False,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,out,[],1630591,,,1610612755,19,23,2024-01-20T00:27:40Z,950000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,out,[],202699,,,1610612755,19,23,2024-01-20T00:27:40Z,960000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,in,[],204060,,,1610612755,19,23,2024-01-20T00:27:40Z,970000,False,,,0,,SUB in: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,in,[],1628365,,,1610612755,19,23,2024-01-20T00:27:40Z,980000,False,,,0,,SUB in: M. Fultz,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M26.00S,2024-01-20T00:27:28.8Z,1,REGULAR,substitution,in,[],202694,,,1610612755,19,23,2024-01-20T00:27:40Z,990000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M26.00S,2024-01-20T00:27:53.6Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,19,24,2024-01-20T00:27:53Z,1000000,False,,,0,,J. Embiid Free Throw 2 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
101,PT04M12.00S,2024-01-20T00:28:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,12.828515111695138,38.970588235294116,1610612753,19,24,2024-01-20T00:28:31Z,1010000,False,55.0,68.0,1,left,MISS C. Anthony 8' driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Right,8.76,Missed,,,,,,,,,,,,,,,,,,
102,PT04M09.00S,2024-01-20T00:28:13.2Z,1,REGULAR,rebound,defensive,[],202694,,,1610612755,19,24,2024-01-20T00:28:18Z,1020000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,
103,PT04M06.00S,2024-01-20T00:28:16.6Z,1,REGULAR,turnover,backcourt,[],202694,,,1610612755,19,24,2024-01-20T00:28:25Z,1030000,False,,,0,,M. Morris Sr. backcourt TURNOVER (1 TO),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,,,101284.0,,,,
104,PT03M58.00S,2024-01-20T00:28:39.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628976,22.683968462549277,52.450980392156865,1610612753,21,24,2024-01-20T00:28:45Z,1040000,False,-12.0,161.0,1,left,W. Carter Jr. 16' Jump Shot (4 PTS) (P. Banchero 2 AST),"[1628976, 1631094]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Center,16.12,Made,4.0,P. Banchero,1631094.0,2.0,,,,,,,,,,,,,,
106,PT03M42.00S,2024-01-20T00:28:55.7Z,1,REGULAR,3pt,Jump Shot,[],201587,80.1084099868594,93.87254901960785,1610612755,21,24,2024-01-20T00:29:00Z,1060000,False,219.0,134.0,1,right,MISS N. Batum 25' 3PT,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,25.73,Missed,,,,,,,,,,,,,,,,,,
107,PT03M40.00S,2024-01-20T00:28:57.7Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,21,24,2024-01-20T00:29:00Z,1070000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,106.0,3.0,2.0,1.0,,,,,,,,,,
108,PT03M36.00S,2024-01-20T00:29:08.1Z,1,REGULAR,foul,personal,[],201587,,,1610612753,21,24,2024-01-20T00:29:18Z,1080000,False,,,0,,N. Batum personal FOUL (1 PF),"[201587, 1630175]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Anthony,1630175.0
110,PT03M36.00S,2024-01-20T00:29:15.9Z,1,REGULAR,substitution,out,[],1626162,,,1610612753,21,24,2024-01-20T00:29:28Z,1100000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M36.00S,2024-01-20T00:29:15.9Z,1,REGULAR,substitution,out,[],201587,,,1610612753,21,24,2024-01-20T00:29:28Z,1110000,False,,,0,,SUB out: N. Batum,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M36.00S,2024-01-20T00:29:15.9Z,1,REGULAR,substitution,in,[],1627863,,,1610612753,21,24,2024-01-20T00:29:28Z,1120000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M36.00S,2024-01-20T00:29:15.9Z,1,REGULAR,substitution,in,[],1630178,,,1610612753,21,24,2024-01-20T00:29:28Z,1130000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
