actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
84,PT05M33.00S,2023-12-12T00:24:15.4Z,1,REGULAR,foul,personal,[],1628386,,,1610612753,10,14,2023-12-12T00:24:26Z,840000,False,,,0,,J. Allen loose ball personal FOUL (1 PF),"[1628386, 1629048]",1610612739.0,CLE,loose ball,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627961.0,1.0,0.0,Bitadze,1629048.0,,,,,
86,PT05M23.00S,2023-12-12T00:24:46.0Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612753,10,14,2023-12-12T00:24:56Z,860000,False,,,0,,M. Strus shooting personal FOUL (2 PF) (Bitadze 2 FT),"[1629622, 1629048]",1610612739.0,CLE,shooting,,,Strus,M. Strus,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627961.0,2.0,0.0,Bitadze,1629048.0,,,,,
88,PT05M23.00S,2023-12-12T00:25:12.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629048,,,1610612753,11,14,2023-12-12T00:25:42Z,880000,False,,,0,,G. Bitadze Free Throw 1 of 2 (3 PTS),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
89,PT05M23.00S,2023-12-12T00:25:13.3Z,1,REGULAR,substitution,out,[],1629622,,,1610612753,11,14,2023-12-12T00:25:16Z,890000,False,,,0,,SUB out: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M23.00S,2023-12-12T00:25:13.3Z,1,REGULAR,substitution,in,[],1630241,,,1610612753,11,14,2023-12-12T00:25:16Z,900000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M23.00S,2023-12-12T00:25:12.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629048,,,1610612753,11,14,2023-12-12T00:25:42Z,910000,False,,,0,,MISS G. Bitadze Free Throw 2 of 2,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
92,PT05M17.00S,2023-12-12T00:25:18.6Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,11,14,2023-12-12T00:25:42Z,920000,False,,,0,,S. Merrill REBOUND (Off:0 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,91.0,,,,,,,,,,,,,1.0,1.0,0.0,,
93,PT05M01.00S,2023-12-12T00:25:54.7Z,1,REGULAR,3pt,Jump Shot,[],1627777,87.33574244415243,4.166666666666666,1610612739,11,14,2023-12-12T00:25:59Z,930000,False,-229.0,67.0,1,right,MISS G. Niang 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Left Corner 3,24+ Left,23.87,Missed,,,,,,,,,,,,,,,,,,
94,PT04M57.00S,2023-12-12T00:25:58.7Z,1,REGULAR,rebound,defensive,[],204060,,,1610612753,11,14,2023-12-12T00:25:59Z,940000,False,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,Left Corner 3,24+ Left,,,93.0,,,,,,,,,,,,,1.0,1.0,0.0,,
95,PT04M50.00S,2023-12-12T00:26:05.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641710,9.017739816031538,47.05882352941176,1610612753,11,14,2023-12-12T00:26:14Z,950000,False,15.0,32.0,1,left,MISS A. Black cutting DUNK,[1641710],1610612753.0,ORL,cutting,,,Black,A. Black,,,,,Restricted Area,0-8 Center,3.55,Missed,,,,,,,,,,,,,,,,,,
97,PT04M45.00S,2023-12-12T00:26:10.9Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,11,14,2023-12-12T00:26:14Z,970000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,95.0,,,,,,,,,,,,,1.0,1.0,0.0,,
98,PT04M44.00S,2023-12-12T00:26:12.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,69.72733245729303,21.323529411764707,1610612739,11,14,2023-12-12T00:26:19Z,980000,False,-143.0,232.0,1,right,MISS D. Mitchell 27' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,27.28,Missed,,,,,,,,,,,,,,,,,,
99,PT04M44.00S,2023-12-12T00:26:12.1Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612739,11,14,2023-12-12T00:26:19Z,990000,False,,,0,,I. Okoro REBOUND (Off:1 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,98.0,,,,,,,,,,,,,2.0,1.0,1.0,,
100,PT04M39.00S,2023-12-12T00:26:19.5Z,1,REGULAR,turnover,out-of-bounds,[],1630241,,,1610612739,11,14,2023-12-12T00:26:32Z,1000000,False,,,0,,S. Merrill step out-of-bounds TURNOVER (1 TO),[1630241],1610612739.0,CLE,step,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,,,201639.0,,,,,,,,,
101,PT04M24.00S,2023-12-12T00:26:52.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630591,8.09789750328515,50.98039215686274,1610612753,13,14,2023-12-12T00:26:58Z,1010000,False,-5.0,24.0,1,left,J. Suggs cutting Layup (2 PTS) (G. Bitadze 1 AST),"[1630591, 1629048]",1610612753.0,ORL,cutting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,2.41,Made,,2.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,
103,PT04M09.00S,2023-12-12T00:27:10.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627777,92.32917214191852,60.5392156862745,1610612739,13,14,2023-12-12T00:35:36Z,1030000,False,53.0,20.0,1,right,MISS G. Niang driving floating Shot,[1627777],1610612739.0,CLE,driving floating,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,,,,,,,,,,,,,,,,,,
104,PT04M07.00S,2023-12-12T00:27:12.0Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,13,14,2023-12-12T00:35:36Z,1040000,False,,,0,,J. Allen REBOUND (Off:2 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,103.0,,,,,,,,,,,,,2.0,0.0,2.0,,
105,PT04M06.00S,2023-12-12T00:27:13.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628386,94.40999984741211,50.0,1610612739,13,16,2023-12-12T00:35:44Z,1050000,False,0.0,0.0,1,right,J. Allen tip Layup (4 PTS),[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.0,Made,,4.0,,,,,,,,,,,,,,,,
107,PT03M53.00S,2023-12-12T00:27:41.8Z,1,REGULAR,foul,technical,['1freethrow'],1628386,,,1610612753,13,16,2023-12-12T00:27:51Z,1070000,False,,,0,,J. Allen defensive-3-second technical FOUL (1 Tech),[1628386],1610612739.0,CLE,defensive-3-second,,,Allen,J. Allen,,,,,,,,,,,,,,,,,204058.0,1.0,1.0,,,,,,,
108,PT03M53.00S,2023-12-12T00:27:51.8Z,1,REGULAR,freethrow,1 of 1,[],204060,,,1610612753,14,16,2023-12-12T00:27:51Z,1080000,False,,,0,,J. Ingles technical Free Throw 1 of 1 (1 PTS),[204060],1610612753.0,ORL,technical,,,Ingles,J. Ingles,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
109,PT03M53.00S,2023-12-12T00:27:52.9Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,14,16,2023-12-12T00:27:59Z,1090000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M53.00S,2023-12-12T00:27:52.9Z,1,REGULAR,substitution,out,[],1628378,,,1610612753,14,16,2023-12-12T00:27:59Z,1100000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M53.00S,2023-12-12T00:27:52.9Z,1,REGULAR,substitution,in,[],203914,,,1610612753,14,16,2023-12-12T00:27:59Z,1110000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M53.00S,2023-12-12T00:27:52.9Z,1,REGULAR,substitution,in,[],1629636,,,1610612753,14,16,2023-12-12T00:27:59Z,1120000,False,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M46.00S,2023-12-12T00:28:13.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,5.995400788436268,49.50980392156863,1610612753,16,16,2023-12-12T00:28:19Z,1130000,False,2.0,4.0,1,left,G. Bitadze alley-oop DUNK (5 PTS) (J. Ingles 1 AST),"[1629048, 204060]",1610612753.0,ORL,alley-oop,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.46,Made,,5.0,J. Ingles,204060.0,1.0,,,,,,,,,,,,,
115,PT03M28.00S,2023-12-12T00:28:31.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627777,92.59198423127464,59.31372549019608,1610612739,16,16,2023-12-12T00:36:42Z,1150000,False,47.0,17.0,1,right,MISS G. Niang driving Hook,[1627777],1610612739.0,CLE,driving,,,Niang,G. Niang,,,,,In The Paint (Non-RA),0-8 Center,4.96,Missed,,,,,,,,,,,,,,,,,,
116,PT03M28.00S,2023-12-12T00:28:31.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,16,16,2023-12-12T00:28:41Z,1160000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,115.0,,,,,,,,,,,,,,,,,
117,PT03M28.00S,2023-12-12T00:28:38.0Z,1,REGULAR,foul,personal,[],1629048,,,1610612739,16,16,2023-12-12T00:28:54Z,1170000,False,,,0,,G. Bitadze loose ball personal FOUL (2 PF),"[1629048, 1628386]",1610612753.0,ORL,loose ball,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627961.0,2.0,0.0,Allen,1628386.0,,,,,
119,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,out,[],1641710,,,1610612739,16,16,2023-12-12T00:29:11Z,1190000,False,,,0,,SUB out: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,out,[],1629048,,,1610612739,16,16,2023-12-12T00:29:11Z,1200000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,16,16,2023-12-12T00:29:11Z,1210000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,in,[],1629021,,,1610612739,16,16,2023-12-12T00:29:11Z,1220000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,in,[],1630175,,,1610612739,16,16,2023-12-12T00:29:11Z,1230000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M28.00S,2023-12-12T00:28:47.2Z,1,REGULAR,substitution,in,[],202684,,,1610612739,16,16,2023-12-12T00:29:11Z,1240000,False,,,0,,SUB in: T. Thompson,[202684],1610612739.0,CLE,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M22.00S,2023-12-12T00:29:12.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630241,69.20170827858082,26.96078431372549,1610612739,16,19,2023-12-12T00:29:16Z,1250000,False,-115.0,237.0,1,right,S. Merrill 26' 3PT  (3 PTS) (D. Garland 1 AST),"[1630241, 1629636]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,26.35,Made,,3.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,
127,PT03M08.00S,2023-12-12T00:29:28.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630171,,,1610612753,16,19,2023-12-12T00:29:38Z,1270000,False,,,0,,I. Okoro personal FOUL (1 PF) (Ingles 2 FT),"[1630171, 204060]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,201639.0,1.0,0.0,Ingles,204060.0,,,,,
129,PT03M08.00S,2023-12-12T00:30:10.8Z,1,REGULAR,freethrow,1 of 2,[],204060,,,1610612753,17,19,2023-12-12T00:30:10Z,1290000,False,,,0,,J. Ingles Free Throw 1 of 2 (2 PTS),[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
130,PT03M08.00S,2023-12-12T00:30:31.5Z,1,REGULAR,freethrow,2 of 2,[],204060,,,1610612753,18,19,2023-12-12T00:30:31Z,1300000,False,,,0,,J. Ingles Free Throw 2 of 2 (3 PTS),[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
131,PT02M43.00S,2023-12-12T00:30:58.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202684,90.62089356110381,57.59803921568627,1610612739,18,21,2023-12-12T00:31:41Z,1310000,False,38.0,36.0,1,right,T. Thompson Hook (2 PTS),[202684],1610612739.0,CLE,,,,Thompson,T. Thompson,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,,2.0,,,,,,,,,,,,,,,,
132,PT02M42.00S,2023-12-12T00:31:07.1Z,1,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1627777,,,1610612753,18,21,2023-12-12T00:34:02Z,1320000,False,,,0,,G. Niang technical FOUL (1 Tech),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,201639.0,0.0,1.0,,,,,,,
133,PT02M42.00S,2023-12-12T00:31:25.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,18,21,2023-12-12T00:31:25Z,1330000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M42.00S,2023-12-12T00:34:20.8Z,1,REGULAR,freethrow,1 of 1,[],204060,,,1610612753,19,21,2023-12-12T00:34:20Z,1340000,False,,,0,,J. Ingles technical Free Throw 1 of 1 (4 PTS),[204060],1610612753.0,ORL,technical,,,Ingles,J. Ingles,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
137,PT02M33.00S,2023-12-12T00:34:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.966491458607096,46.32352941176471,1610612753,19,21,2023-12-12T00:38:33Z,1350000,False,18.0,22.0,1,left,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,2.9,Missed,,,,,,,,,,,,,,,,,,
138,PT02M31.00S,2023-12-12T00:34:47.1Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,19,21,2023-12-12T00:38:33Z,1360000,False,,,0,,P. Banchero REBOUND (Off:3 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,137.0,,,,,,,,,,,,,3.0,0.0,3.0,,
139,PT02M31.00S,2023-12-12T00:34:48.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631094,9.543363994743759,47.549019607843135,1610612753,19,21,2023-12-12T00:38:48Z,1370000,False,12.0,37.0,1,left,MISS P. Banchero putback Layup,[1631094],1610612753.0,ORL,putback,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.92,Missed,,,,,,,,,,,,,,,,,,
140,PT02M28.00S,2023-12-12T00:34:51.9Z,1,REGULAR,rebound,offensive,[],204060,,,1610612753,19,21,2023-12-12T00:38:48Z,1380000,False,,,0,,J. Ingles REBOUND (Off:1 Def:1),[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,Restricted Area,0-8 Center,,,139.0,,,,,,,,,,,,,2.0,1.0,1.0,,
141,PT02M22.00S,2023-12-12T00:34:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631094,29.6484888304862,73.0392156862745,1610612753,19,21,2023-12-12T00:35:01Z,1390000,False,-115.0,226.0,1,left,MISS P. Banchero 25' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,25.38,Missed,,,,,,,,,,,,,,,,,,
142,PT02M22.00S,2023-12-12T00:34:53.9Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,19,21,2023-12-12T00:35:01Z,1400000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,,,141.0,,,,,,,,,,,,,1.0,1.0,0.0,,
143,PT02M10.00S,2023-12-12T00:35:06.2Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,19,21,2023-12-12T00:35:10Z,1410000,False,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 1629021]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Wagner,1629021.0,,,,,,,,,,
144,PT02M10.00S,2023-12-12T00:35:06.2Z,1,REGULAR,steal,,[],1629021,,,1610612753,19,21,2023-12-12T00:35:08Z,1420000,False,,,0,,M. Wagner STEAL (1 STL),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
145,PT02M00.00S,2023-12-12T00:35:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204060,26.757555847568987,81.37254901960785,1610612753,22,21,2023-12-12T00:35:23Z,1430000,False,-157.0,199.0,1,left,J. Ingles 25' 3PT  (7 PTS) (C. Anthony 1 AST),"[204060, 1630175]",1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,Above the Break 3,24+ Left Center,25.34,Made,,7.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,
147,PT01M39.00S,2023-12-12T00:35:36.5Z,1,REGULAR,3pt,Jump Shot,[],1627777,76.69185282522996,90.68627450980392,1610612739,22,21,2023-12-12T00:35:42Z,1450000,False,203.0,167.0,1,right,MISS G. Niang 26' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,26.29,Missed,,,,,,,,,,,,,,,,,,
148,PT01M35.00S,2023-12-12T00:35:40.5Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,22,21,2023-12-12T00:35:42Z,1460000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Right Center,,,147.0,,,,,,,,,,,,,1.0,1.0,0.0,,
149,PT01M29.00S,2023-12-12T00:35:46.9Z,1,REGULAR,2pt,Jump Shot,[],1630175,5.075558475689881,67.64705882352942,1610612753,22,21,2023-12-12T00:40:01Z,1470000,False,-88.0,-5.0,1,left,MISS C. Anthony 8' step back Shot,[1630175],1610612753.0,ORL,step back,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Left,8.83,Missed,,,,,,,,,,,,,,,,,,
150,PT01M26.00S,2023-12-12T00:35:49.9Z,1,REGULAR,rebound,defensive,[],202684,,,1610612739,22,21,2023-12-12T00:35:52Z,1480000,False,,,0,,T. Thompson REBOUND (Off:0 Def:1),[202684],1610612739.0,CLE,,,,Thompson,T. Thompson,,,,,Mid-Range,8-16 Left,,,149.0,,,,,,,,,,,,,1.0,1.0,0.0,,
151,PT01M16.00S,2023-12-12T00:35:59.2Z,1,REGULAR,3pt,Jump Shot,[],1630241,71.43561103810775,80.63725490196079,1610612739,22,24,2023-12-12T00:36:04Z,1490000,False,153.0,216.0,1,right,S. Merrill 26' 3PT  (6 PTS) (D. Garland 2 AST),"[1630241, 1629636]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,26.48,Made,,6.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,
153,PT00M53.30S,2023-12-12T00:36:23.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629021,9.329829172141919,45.48866421568628,1610612753,22,24,2023-12-12T00:36:31Z,1510000,False,23.0,35.0,1,left,MISS M. Wagner turnaround bank Hook,[1629021],1610612753.0,ORL,turnaround bank,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,,,,,,,,
154,PT00M52.00S,2023-12-12T00:36:24.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612739,22,24,2023-12-12T00:36:31Z,1520000,False,,,0,,T. Thompson REBOUND (Off:0 Def:2),[202684],1610612739.0,CLE,,,,Thompson,T. Thompson,,,,,Restricted Area,0-8 Center,,,153.0,,,,,,,,,,,,,2.0,2.0,0.0,,
155,PT00M35.50S,2023-12-12T00:36:41.3Z,1,REGULAR,3pt,Jump Shot,[],1629636,67.36202365308804,54.41176470588235,1610612739,22,27,2023-12-12T00:36:49Z,1530000,False,22.0,254.0,1,right,D. Garland 25' 3PT step back (5 PTS),[1629636],1610612739.0,CLE,step back,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,25.53,Made,,5.0,,,,,,,,,,,,,,,,
156,PT00M15.90S,2023-12-12T00:37:03.6Z,1,REGULAR,2pt,Jump Shot,[],1631094,10.463206307490145,68.62745098039215,1610612753,22,27,2023-12-12T00:37:09Z,1540000,False,-93.0,46.0,1,left,MISS P. Banchero 10' driving floating bank Shot,[1631094],1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,10.38,Missed,,,,,,,,,,,,,,,,,,
157,PT00M13.70S,2023-12-12T00:37:05.8Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,22,27,2023-12-12T00:37:05Z,1550000,False,,,0,,D. Garland REBOUND (Off:0 Def:2),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,8-16 Left,,,156.0,,,,,,,,,,,,,2.0,2.0,0.0,,
158,PT00M02.20S,2023-12-12T00:37:18.9Z,1,REGULAR,foul,personal,['2freethrow'],1630175,,,1610612739,22,27,2023-12-12T00:37:29Z,1560000,False,,,0,,C. Anthony shooting personal FOUL (1 PF) (Garland 2 FT),"[1630175, 1629636]",1610612753.0,ORL,shooting,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1627961.0,1.0,0.0,Garland,1629636.0,,,,,
160,PT00M02.20S,2023-12-12T00:37:47.4Z,1,REGULAR,freethrow,1 of 2,[],1629636,,,1610612739,22,28,2023-12-12T00:37:47Z,1580000,False,,,0,,D. Garland Free Throw 1 of 2 (6 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
161,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,out,[],1631094,,,1610612739,22,28,2023-12-12T00:38:09Z,1590000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,out,[],1630241,,,1610612739,22,28,2023-12-12T00:38:09Z,1600000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,out,[],1627777,,,1610612739,22,28,2023-12-12T00:38:09Z,1610000,False,,,0,,SUB out: G. Niang,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,in,[],1628371,,,1610612739,22,28,2023-12-12T00:38:09Z,1620000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,in,[],1629731,,,1610612739,22,28,2023-12-12T00:38:09Z,1630000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M02.20S,2023-12-12T00:37:48.1Z,1,REGULAR,substitution,in,[],1628386,,,1610612739,22,28,2023-12-12T00:38:09Z,1640000,False,,,0,,SUB in: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M02.20S,2023-12-12T00:38:17.0Z,1,REGULAR,freethrow,2 of 2,[],1629636,,,1610612739,22,29,2023-12-12T00:38:17Z,1650000,False,,,0,,D. Garland Free Throw 2 of 2 (7 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
168,PT00M00.00S,2023-12-12T00:38:24.7Z,1,REGULAR,period,end,[],0,,,1610612753,22,29,2023-12-12T00:38:24Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2023-12-12T00:38:30.2Z,2,REGULAR,substitution,out,['startperiod'],204060,,,1610612753,22,29,2023-12-12T00:41:04Z,1670000,False,,,0,,SUB out: J. Ingles,[204060],1610612753.0,ORL,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,
