actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
88,PT03M54.00S,2024-12-31T02:27:05.0Z,1,REGULAR,substitution,out,[],1629012,,,1610612762,24,23,2024-12-31T02:27:08Z,870000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M54.00S,2024-12-31T02:27:05.0Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,24,23,2024-12-31T02:27:08Z,880000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M46.00S,2024-12-31T02:27:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628374,70.25295663600527,28.186274509803923,1610612762,24,23,2024-12-31T02:27:32Z,890000,False,-109.0,227.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.19,Missed,,,,,,,,,,,,,,,,,,
91,PT03M43.00S,2024-12-31T02:27:30.8Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,24,23,2024-12-31T02:27:32Z,900000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,90.0,1.0,1.0,0.0,,,,,,,,,,,,,
92,PT03M38.00S,2024-12-31T02:27:38.2Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612743,24,23,2024-12-31T02:27:46Z,910000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Jokić 2 FT),"[1631117, 203999]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Jokić,203999.0
94,PT03M38.00S,2024-12-31T02:28:14.1Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,24,24,2024-12-31T02:28:14Z,930000,False,,,0,,N. Jokić Free Throw 1 of 2 (6 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
95,PT03M38.00S,2024-12-31T02:28:15.0Z,1,REGULAR,substitution,out,[],1631128,,,1610612743,24,24,2024-12-31T02:28:21Z,940000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT03M38.00S,2024-12-31T02:28:15.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,24,24,2024-12-31T02:28:21Z,950000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M38.00S,2024-12-31T02:28:15.0Z,1,REGULAR,substitution,in,[],1641816,,,1610612743,24,24,2024-12-31T02:28:21Z,960000,False,,,0,,SUB in: H. Tyson,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M38.00S,2024-12-31T02:28:15.0Z,1,REGULAR,substitution,in,[],1631212,,,1610612743,24,24,2024-12-31T02:28:21Z,970000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M38.00S,2024-12-31T02:28:35.9Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,24,25,2024-12-31T02:28:35Z,980000,False,,,0,,N. Jokić Free Throw 2 of 2 (7 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
100,PT03M29.00S,2024-12-31T02:28:48.0Z,1,REGULAR,3pt,Jump Shot,[],203903,70.90998685939553,75.98039215686273,1610612762,24,25,2024-12-31T02:28:53Z,990000,False,130.0,221.0,1,right,MISS J. Clarkson 25' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
101,PT03M25.00S,2024-12-31T02:28:52.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,24,25,2024-12-31T02:28:53Z,1000000,False,,,0,,N. Jokić REBOUND (Off:2 Def:3),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,,100.0,5.0,3.0,2.0,,,,,,,,,,,,,
102,PT03M20.00S,2024-12-31T02:28:57.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,9.017739816031538,44.11764705882353,1610612743,24,27,2024-12-31T02:29:52Z,1010000,False,29.0,32.0,1,left,R. Westbrook running Layup (4 PTS),[201566],1610612743.0,DEN,running,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,4.37,Made,4.0,,,,,,,,,,,,,,,,,
103,PT03M12.00S,2024-12-31T02:29:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,86.02168199737189,41.911764705882355,1610612762,24,27,2024-12-31T02:29:09Z,1020000,False,-40.0,79.0,1,right,MISS J. Clarkson 8' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,8.86,Missed,,,,,,,,,,,,,,,,,,
104,PT03M10.00S,2024-12-31T02:29:07.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,24,27,2024-12-31T02:29:09Z,1030000,False,,,0,,N. Jokić REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,103.0,6.0,4.0,2.0,,,,,,,,,,,,,
105,PT02M55.00S,2024-12-31T02:29:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,9.017739816031538,44.6078431372549,1610612743,24,29,2024-12-31T02:29:26Z,1040000,False,27.0,32.0,1,left,N. Jokić driving Layup (9 PTS) (P. Watson 1 AST),"[203999, 1631212]",1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,4.21,Made,9.0,,,,,,,P. Watson,1631212.0,1.0,,,,,,,,
108,PT02M41.00S,2024-12-31T02:29:39.7Z,1,REGULAR,substitution,out,[],1628374,,,1610612762,24,29,2024-12-31T02:29:46Z,1070000,False,,,0,,SUB out: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M41.00S,2024-12-31T02:29:39.7Z,1,REGULAR,substitution,out,[],201566,,,1610612762,24,29,2024-12-31T02:29:46Z,1080000,False,,,0,,SUB out: R. Westbrook,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M41.00S,2024-12-31T02:29:39.7Z,1,REGULAR,substitution,in,[],1630548,,,1610612762,24,29,2024-12-31T02:29:46Z,1090000,False,,,0,,SUB in: J. Juzang,[1630548],1610612762.0,UTA,,,,Juzang,J. Juzang,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M41.00S,2024-12-31T02:29:39.7Z,1,REGULAR,substitution,in,[],1627750,,,1610612762,24,29,2024-12-31T02:29:46Z,1100000,False,,,0,,SUB in: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M39.00S,2024-12-31T02:30:04.8Z,1,REGULAR,foul,personal,['3freethrow'],1641816,,,1610612762,24,29,2024-12-31T02:30:09Z,1110000,False,,,0,,H. Tyson shooting personal FOUL (1 PF) (Clarkson 3 FT),"[1641816, 203903]",1610612743.0,DEN,shooting,,,Tyson,H. Tyson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Clarkson,203903.0
114,PT02M39.00S,2024-12-31T02:30:29.9Z,1,REGULAR,freethrow,1 of 3,[],203903,,,1610612762,25,29,2024-12-31T02:30:29Z,1130000,False,,,0,,J. Clarkson Free Throw 1 of 3 (1 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
115,PT02M39.00S,2024-12-31T02:30:45.6Z,1,REGULAR,freethrow,2 of 3,[],203903,,,1610612762,26,29,2024-12-31T02:30:45Z,1140000,False,,,0,,J. Clarkson Free Throw 2 of 3 (2 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
116,PT02M39.00S,2024-12-31T02:31:04.5Z,1,REGULAR,freethrow,3 of 3,[],203903,,,1610612762,27,29,2024-12-31T02:31:04Z,1150000,False,,,0,,J. Clarkson Free Throw 3 of 3 (3 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
117,PT02M27.00S,2024-12-31T02:31:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631124,6.783837056504599,43.627450980392155,1610612743,27,31,2024-12-31T02:37:37Z,1160000,False,32.0,11.0,1,left,J. Strawther driving Layup (2 PTS) (N. Jokić 3 AST),"[1631124, 203999]",1610612743.0,DEN,driving,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,3.38,Made,2.0,,,,,,,N. Jokić,203999.0,3.0,,,,,,,,
118,PT02M09.00S,2024-12-31T02:31:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,86.5473061760841,50.73529411764706,1610612762,29,31,2024-12-31T02:31:40Z,1170000,False,4.0,74.0,1,right,J. Clarkson 7' turnaround Jump Shot (5 PTS),[203903],1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,7.41,Made,5.0,,,,,,,,,,,,,,,,,
120,PT01M53.00S,2024-12-31T02:31:52.6Z,1,REGULAR,3pt,Jump Shot,[],1641816,30.831143232588698,35.78431372549019,1610612743,29,31,2024-12-31T02:31:59Z,1180000,False,71.0,237.0,1,left,MISS H. Tyson 24' 3PT,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,Above the Break 3,24+ Center,24.77,Missed,,,,,,,,,,,,,,,,,,
121,PT01M51.00S,2024-12-31T02:31:54.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,29,31,2024-12-31T02:31:59Z,1190000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,120.0,,,,,,,,,,,,,,,,
122,PT01M51.00S,2024-12-31T02:31:58.0Z,1,REGULAR,foul,personal,[],1631117,,,1610612743,29,31,2024-12-31T02:32:23Z,1200000,False,,,0,,W. Kessler loose ball personal FOUL (2 PF),"[1631117, 203999]",1610612762.0,UTA,loose ball,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Jokić,203999.0
124,PT01M45.00S,2024-12-31T02:32:26.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203999,31.750985545335087,55.88235294117647,1610612743,29,31,2024-12-31T02:32:32Z,1220000,False,-29.0,246.0,1,left,MISS N. Jokić 24' 3PT,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,24.78,Missed,,,,,,,,,,,,,,,,,,
125,PT01M42.00S,2024-12-31T02:32:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,29,31,2024-12-31T02:32:32Z,1230000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,124.0,,,,,,,,,,,,,,,,
127,PT01M37.00S,2024-12-31T02:32:47.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631124,3.7614980289093296,95.09803921568627,1610612743,29,31,2024-12-31T02:32:51Z,1250000,False,-225.0,-17.0,1,left,MISS J. Strawther 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Left Corner 3,24+ Left,22.61,Missed,,,,,,,,,,,,,,,,,,
128,PT01M34.00S,2024-12-31T02:32:50.1Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,29,31,2024-12-31T02:32:51Z,1260000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Left Corner 3,24+ Left,,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,
129,PT01M23.00S,2024-12-31T02:33:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1631124,,,1610612762,29,31,2024-12-31T02:33:12Z,1270000,False,,,0,,J. Strawther shooting personal FOUL (1 PF) (Clarkson 2 FT),"[1631124, 203903]",1610612743.0,DEN,shooting,,,Strawther,J. Strawther,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Clarkson,203903.0
131,PT01M23.00S,2024-12-31T02:33:26.7Z,1,REGULAR,freethrow,1 of 2,[],203903,,,1610612762,30,31,2024-12-31T02:33:26Z,1290000,False,,,0,,J. Clarkson Free Throw 1 of 2 (6 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
132,PT01M23.00S,2024-12-31T02:33:41.4Z,1,REGULAR,freethrow,2 of 2,[],203903,,,1610612762,31,31,2024-12-31T02:33:41Z,1300000,False,,,0,,J. Clarkson Free Throw 2 of 2 (7 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
133,PT01M13.00S,2024-12-31T02:33:57.2Z,1,REGULAR,3pt,Jump Shot,[],1627750,31.225361366622867,57.84313725490197,1610612743,31,34,2024-12-31T02:34:02Z,1310000,False,-39.0,241.0,1,left,J. Murray 24' 3PT pullup (5 PTS) (J. Strawther 1 AST),"[1627750, 1631124]",1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,24.42,Made,5.0,,,,,,,J. Strawther,1631124.0,1.0,,,,,,,,
134,PT00M56.60S,2024-12-31T02:34:14.2Z,1,REGULAR,3pt,Jump Shot,[],203903,69.33311432325887,31.61764705882353,1610612762,34,34,2024-12-31T02:34:19Z,1320000,False,-92.0,236.0,1,right,J. Clarkson 25' 3PT  (10 PTS) (W. Kessler 2 AST),"[203903, 1631117]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,25.31,Made,10.0,,,,,,,W. Kessler,1631117.0,2.0,,,,,,,,
136,PT00M37.30S,2024-12-31T02:34:37.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,11.514454664914586,21.813725490196077,1610612743,34,36,2024-12-31T02:34:42Z,1340000,False,141.0,56.0,1,left,J. Murray 15' fadeaway Jump Shot (7 PTS),[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,15.15,Made,7.0,,,,,,,,,,,,,,,,,
137,PT00M31.70S,2024-12-31T02:34:49.3Z,1,REGULAR,3pt,Jump Shot,[],203903,64.99671484888306,60.78431372549019,1610612762,37,36,2024-12-31T02:34:54Z,1350000,False,54.0,277.0,1,right,J. Clarkson 28' 3PT  (13 PTS) (I. Collier 1 AST),"[203903, 1642268]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Center,28.17,Made,13.0,,,,,,,I. Collier,1642268.0,1.0,,,,,,,,
139,PT00M21.80S,2024-12-31T02:35:07.7Z,1,REGULAR,3pt,Jump Shot,[],1627750,31.225361366622867,57.59803921568627,1610612743,37,36,2024-12-31T02:35:11Z,1370000,False,-38.0,241.0,1,left,MISS J. Murray 24' pullup 3PT,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,24.4,Missed,,,,,,,,,,,,,,,,,,
140,PT00M20.10S,2024-12-31T02:35:09.4Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,37,36,2024-12-31T02:35:09Z,1380000,False,,,0,,W. Kessler REBOUND (Off:0 Def:5),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,,139.0,5.0,5.0,0.0,,,,,,,,,,,,,
141,PT00M01.50S,2024-12-31T02:35:30.7Z,1,REGULAR,3pt,Jump Shot,[],1642262,92.32917214191852,95.34313725490196,1610612762,37,36,2024-12-31T02:38:18Z,1390000,False,227.0,20.0,1,right,MISS C. Williams 3PT,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,Right Corner 3,24+ Right,22.75,Missed,,,,,,,,,,,,,,,,,,
142,PT00M00.10S,2024-12-31T02:35:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,37,36,2024-12-31T02:38:18Z,1400000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Right Corner 3,24+ Right,,,,141.0,,,,,,,,,,,,,,,,
143,PT00M00.00S,2024-12-31T02:35:34.8Z,1,REGULAR,period,end,[],0,,,1610612762,37,36,2024-12-31T02:35:34Z,1410000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,out,['startperiod'],1642262,,,1610612762,37,36,2024-12-31T02:38:07Z,1420000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,out,['startperiod'],1631117,,,1610612762,37,36,2024-12-31T02:38:07Z,1430000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,out,['startperiod'],1641816,,,1610612762,37,36,2024-12-31T02:38:07Z,1440000,False,,,0,,SUB out: H. Tyson,[1641816],1610612743.0,DEN,,,,Tyson,H. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,out,['startperiod'],203999,,,1610612762,37,36,2024-12-31T02:38:07Z,1450000,False,,,0,,SUB out: N. Jokić,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,in,['startperiod'],1642271,,,1610612762,37,36,2024-12-31T02:38:07Z,1460000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,in,['startperiod'],1641729,,,1610612762,37,36,2024-12-31T02:38:07Z,1470000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,in,['startperiod'],1629008,,,1610612762,37,36,2024-12-31T02:38:07Z,1480000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2024-12-31T02:37:43.0Z,2,REGULAR,substitution,in,['startperiod'],201599,,,1610612762,37,36,2024-12-31T02:38:07Z,1490000,False,,,0,,SUB in: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2024-12-31T02:38:24.8Z,2,REGULAR,period,start,[],0,,,1610612743,37,36,2024-12-31T02:38:24Z,1500000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT11M46.00S,2024-12-31T02:38:37.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,6.915243101182654,49.26470588235294,1610612743,37,38,2024-12-31T02:40:11Z,1510000,False,4.0,13.0,1,left,D. Jordan cutting DUNK (2 PTS) (J. Murray 2 AST),"[201599, 1627750]",1610612743.0,DEN,cutting,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,,,,,,,J. Murray,1627750.0,2.0,,,,,,,,
156,PT11M28.00S,2024-12-31T02:38:57.8Z,2,REGULAR,turnover,out-of-bounds,[],1641729,,,1610612762,37,38,2024-12-31T02:39:04Z,1530000,False,,,0,,B. Sensabaugh bad pass out-of-bounds TURNOVER (1 TO),[1641729],1610612762.0,UTA,bad pass,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,101283.0,,,,
157,PT11M14.00S,2024-12-31T02:39:19.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631212,31.61957950065703,56.86274509803921,1610612743,37,41,2024-12-31T02:39:23Z,1540000,False,-34.0,245.0,1,left,P. Watson 24' 3PT  (3 PTS) (J. Murray 3 AST),"[1631212, 1627750]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,24.71,Made,3.0,,,,,,,J. Murray,1627750.0,3.0,,,,,,,,
159,PT10M58.00S,2024-12-31T02:39:35.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,89.96386333771353,45.34313725490196,1610612762,39,41,2024-12-31T02:41:57Z,1560000,False,-23.0,42.0,1,right,K. Filipowski cutting finger roll Layup (2 PTS) (I. Collier 2 AST),"[1642271, 1642268]",1610612762.0,UTA,cutting finger roll,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,4.79,Made,2.0,,,,,,,I. Collier,1642268.0,2.0,,,,,,,,
161,PT10M40.00S,2024-12-31T02:39:58.1Z,2,REGULAR,foul,personal,[],1641729,,,1610612743,39,41,2024-12-31T02:40:08Z,1580000,False,,,0,,B. Sensabaugh personal FOUL (1 PF),"[1641729, 201599]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Jordan,201599.0
163,PT10M30.00S,2024-12-31T02:40:26.4Z,2,REGULAR,3pt,Jump Shot,[],1629008,7.835085413929041,3.6764705882352944,1610612743,39,41,2024-12-31T02:42:36Z,1600000,False,232.0,21.0,1,left,MISS M. Porter Jr. pullup 3PT,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Right Corner 3,24+ Right,23.26,Missed,,,,,,,,,,,,,,,,,,
164,PT10M27.00S,2024-12-31T02:40:29.4Z,2,REGULAR,rebound,defensive,[],1642268,,,1610612762,39,41,2024-12-31T02:40:31Z,1610000,False,,,0,,I. Collier REBOUND (Off:0 Def:2),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Right Corner 3,24+ Right,,,,163.0,2.0,2.0,0.0,,,,,,,,,,,,,
167,PT10M14.00S,2024-12-31T02:41:02.9Z,2,REGULAR,3pt,Jump Shot,[],1641729,81.94809461235218,3.1862745098039214,1610612762,39,41,2024-12-31T02:41:09Z,1640000,False,-234.0,117.0,1,right,MISS B. Sensabaugh 26' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,26.18,Missed,,,,,,,,,,,,,,,,,,
168,PT10M11.00S,2024-12-31T02:41:05.9Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,39,41,2024-12-31T02:41:09Z,1650000,False,,,0,,J. Clarkson REBOUND (Off:1 Def:0),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,167.0,1.0,0.0,1.0,,,,,,,,,,,,,
169,PT10M08.00S,2024-12-31T02:41:07.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,92.06636005256242,43.627450980392155,1610612762,39,41,2024-12-31T02:44:49Z,1660000,False,-32.0,22.0,1,right,MISS J. Clarkson putback Layup,[203903],1610612762.0,UTA,putback,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,3.88,Missed,,,,,,,,,,,,,,,,,,
170,PT10M08.00S,2024-12-31T02:41:07.3Z,2,REGULAR,rebound,defensive,[],201599,,,1610612743,39,41,2024-12-31T02:41:15Z,1670000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,169.0,1.0,1.0,0.0,,,,,,,,,,,,,
171,PT10M03.00S,2024-12-31T02:41:13.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631212,6.521024967148489,42.15686274509804,1610612743,39,43,2024-12-31T02:41:23Z,1680000,False,39.0,9.0,1,left,P. Watson running alley-oop DUNK (5 PTS) (J. Murray 4 AST),"[1631212, 1627750]",1610612743.0,DEN,running alley-oop,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,4.02,Made,5.0,,,,,,,J. Murray,1627750.0,4.0,,,,,,,,
173,PT09M39.00S,2024-12-31T02:41:37.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,88.51839684625493,40.68627450980392,1610612762,39,43,2024-12-31T02:41:41Z,1700000,False,-47.0,55.0,1,right,MISS J. Clarkson 7' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,7.24,Missed,,,,,,,,,,,,,,,,,,
174,PT09M37.00S,2024-12-31T02:41:39.0Z,2,REGULAR,rebound,defensive,[],1631212,,,1610612743,39,43,2024-12-31T02:41:41Z,1710000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,173.0,1.0,1.0,0.0,,,,,,,,,,,,,
175,PT09M27.00S,2024-12-31T02:41:54.5Z,2,REGULAR,foul,personal,[],203903,,,1610612743,39,43,2024-12-31T02:42:08Z,1720000,False,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1627750]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Murray,1627750.0
