actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT06M15.00S,2025-01-16T02:22:43.9Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,7,18,2025-01-16T02:22:49Z,850000,False,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,85.0,1.0,1.0,0.0,,,,,,
87,PT06M02.00S,2025-01-16T02:22:57.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,8.09789750328515,44.11764705882353,1610612766,7,18,2025-01-16T02:23:01Z,860000,False,29.0,24.0,1,left,MISS M. Bridges driving DUNK,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,,,,,,,,,,,,,,
88,PT06M01.00S,2025-01-16T02:22:58.8Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,7,18,2025-01-16T02:23:01Z,870000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:1),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,
89,PT05M55.00S,2025-01-16T02:23:09.3Z,1,REGULAR,turnover,out-of-bounds,[],1641729,,,1610612762,7,18,2025-01-16T02:23:15Z,880000,False,,,0,,B. Sensabaugh bad pass out-of-bounds TURNOVER (1 TO),[1641729],1610612762.0,UTA,bad pass,,,Sensabaugh,B. Sensabaugh,,,,,Mid-Range,16-24 Center,,,,,,,203591.0,1.0,,,,,,,,,,,,
90,PT05M55.00S,2025-01-16T02:23:12.1Z,1,REGULAR,substitution,out,[],1642262,,,1610612766,7,18,2025-01-16T02:23:22Z,890000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M55.00S,2025-01-16T02:23:12.1Z,1,REGULAR,substitution,in,[],1641989,,,1610612766,7,18,2025-01-16T02:23:22Z,900000,False,,,0,,SUB in: E. Harkless,[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M55.00S,2025-01-16T02:23:33.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,7,18,2025-01-16T02:23:33Z,910000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M55.00S,2025-01-16T02:25:46.2Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,7,18,2025-01-16T02:26:16Z,920000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M55.00S,2025-01-16T02:25:46.2Z,1,REGULAR,substitution,out,[],1641706,,,1610612766,7,18,2025-01-16T02:26:16Z,930000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M55.00S,2025-01-16T02:25:46.2Z,1,REGULAR,substitution,in,[],1642275,,,1610612766,7,18,2025-01-16T02:26:16Z,940000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M55.00S,2025-01-16T02:25:46.2Z,1,REGULAR,substitution,in,[],1641733,,,1610612766,7,18,2025-01-16T02:26:16Z,950000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M43.00S,2025-01-16T02:26:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,7,18,2025-01-16T02:26:41Z,960000,False,,,0,,L. Ball lost ball out-of-bounds TURNOVER (3 TO),[1630163],1610612766.0,CHA,lost ball,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1627964.0,3.0,,,,,,,,,,,,
98,PT05M32.00S,2025-01-16T02:26:56.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641729,72.22404730617609,76.7156862745098,1610612762,10,18,2025-01-16T02:27:01Z,970000,False,134.0,209.0,1,right,B. Sensabaugh 24' 3PT  (3 PTS) (E. Harkless 1 AST),"[1641729, 1641989]",1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Right Center,24.77,Made,3.0,E. Harkless,1641989.0,1.0,,,,,,,,,,,,,,
100,PT05M19.00S,2025-01-16T02:27:09.0Z,1,REGULAR,3pt,Jump Shot,[],1641733,28.728646517739815,18.137254901960784,1610612766,10,18,2025-01-16T02:27:14Z,990000,False,159.0,218.0,1,left,MISS N. Smith Jr. 26' 3PT,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
101,PT05M15.00S,2025-01-16T02:27:13.0Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,10,18,2025-01-16T02:27:14Z,1000000,False,,,0,,K. George REBOUND (Off:1 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,100.0,2.0,1.0,1.0,,,,,,
102,PT05M12.00S,2025-01-16T02:27:18.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641729,90.75229960578186,36.51960784313725,1610612762,12,18,2025-01-16T02:27:52Z,1010000,False,-67.0,34.0,1,right,B. Sensabaugh 7' running Layup (5 PTS) (K. George 1 AST),"[1641729, 1641718]",1610612762.0,UTA,running,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,7.57,Made,5.0,K. George,1641718.0,1.0,,,,,,,,,,,,,,
104,PT05M12.00S,2025-01-16T02:27:21.5Z,1,REGULAR,foul,personal,['1freethrow'],1642275,,,1610612762,12,18,2025-01-16T02:27:38Z,1030000,False,,,0,,T. Salaün shooting personal FOUL (1 PF) (Sensabaugh 1 FT),"[1642275, 1641729]",1610612766.0,CHA,shooting,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,,,,,,,,,,1.0,0.0,Sensabaugh,1641729.0
106,PT05M12.00S,2025-01-16T02:27:41.7Z,1,REGULAR,freethrow,1 of 1,[],1641729,,,1610612762,13,18,2025-01-16T02:27:41Z,1050000,False,,,0,,B. Sensabaugh Free Throw 1 of 1 (6 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
107,PT05M04.00S,2025-01-16T02:27:55.9Z,1,REGULAR,foul,personal,[],1642271,,,1610612766,13,18,2025-01-16T02:28:16Z,1060000,False,,,0,,K. Filipowski personal FOUL (1 PF),"[1642271, 1630163]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Ball,1630163.0
109,PT04M53.00S,2025-01-16T02:28:28.4Z,1,REGULAR,turnover,traveling,[],1642275,,,1610612766,13,18,2025-01-16T02:28:34Z,1080000,False,,,0,,T. Salaün traveling TURNOVER (1 TO),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,203591.0,1.0,,,,,,,,,,,,
110,PT04M39.00S,2025-01-16T02:28:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641989,78.13731931668858,89.95098039215686,1610612762,13,18,2025-01-16T02:28:58Z,1090000,False,200.0,153.0,1,right,MISS E. Harkless 25' 3PT,[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
111,PT04M37.00S,2025-01-16T02:28:55.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,13,18,2025-01-16T02:28:58Z,1100000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,110.0,,,,,,,,,
113,PT04M21.00S,2025-01-16T02:29:19.3Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,13,18,2025-01-16T02:29:25Z,1120000,False,,,0,,L. Ball step out-of-bounds TURNOVER (4 TO),[1630163],1610612766.0,CHA,step,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,203591.0,4.0,,,,,,,,,,,,
114,PT04M07.00S,2025-01-16T02:29:47.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631117,92.06636005256242,42.15686274509804,1610612762,15,18,2025-01-16T02:29:51Z,1130000,False,-39.0,22.0,1,right,W. Kessler alley-oop DUNK (4 PTS) (K. Filipowski 1 AST),"[1631117, 1642271]",1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,4.5,Made,4.0,K. Filipowski,1642271.0,1.0,,,,,,,,,,,,,,
116,PT03M47.00S,2025-01-16T02:30:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,5.075558475689881,54.41176470588235,1610612766,15,20,2025-01-16T02:30:56Z,1150000,False,-22.0,-5.0,1,left,L. Ball driving reverse Layup (8 PTS),[1630163],1610612766.0,CHA,driving reverse,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,2.26,Made,8.0,,,,,,,,,,,,,,,,,
117,PT03M35.00S,2025-01-16T02:30:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,92.46057818659659,56.61764705882353,1610612762,17,20,2025-01-16T02:30:23Z,1160000,False,33.0,18.0,1,right,W. Kessler cutting Layup (6 PTS) (K. George 2 AST),"[1631117, 1641718]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.79,Made,6.0,K. George,1641718.0,2.0,,,,,,,,,,,,,,
119,PT03M20.00S,2025-01-16T02:30:34.5Z,1,REGULAR,3pt,Jump Shot,[],1642275,5.601182654402102,3.6764705882352944,1610612766,17,20,2025-01-16T02:30:39Z,1180000,False,232.0,0.0,1,left,MISS T. Salaün 3PT,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Right Corner 3,24+ Right,23.16,Missed,,,,,,,,,,,,,,,,,,
120,PT03M18.00S,2025-01-16T02:30:36.5Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,17,20,2025-01-16T02:30:39Z,1190000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:2),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Right Corner 3,24+ Right,,,,,,,,,,,119.0,2.0,2.0,0.0,,,,,,
121,PT03M14.00S,2025-01-16T02:30:42.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641718,89.83245729303549,60.049019607843135,1610612762,19,20,2025-01-16T02:31:47Z,1200000,False,50.0,43.0,1,right,K. George 6' running Layup (7 PTS) (B. Sensabaugh 1 AST),"[1641718, 1641729]",1610612762.0,UTA,running,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,6.62,Made,7.0,B. Sensabaugh,1641729.0,1.0,,,,,,,,,,,,,,
122,PT03M14.00S,2025-01-16T02:30:44.9Z,1,REGULAR,foul,personal,['1freethrow'],201959,,,1610612762,19,20,2025-01-16T02:31:17Z,1210000,False,,,0,,T. Gibson shooting personal FOUL (1 PF) (George 1 FT),"[201959, 1641718]",1610612766.0,CHA,shooting,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,203591.0,,,,,,,,,,1.0,0.0,George,1641718.0
124,PT03M14.00S,2025-01-16T02:30:56.4Z,1,REGULAR,substitution,out,[],1631117,,,1610612762,19,20,2025-01-16T02:31:10Z,1230000,False,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M14.00S,2025-01-16T02:30:56.4Z,1,REGULAR,substitution,out,[],1630163,,,1610612762,19,20,2025-01-16T02:31:10Z,1240000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M14.00S,2025-01-16T02:30:56.4Z,1,REGULAR,substitution,in,[],1629234,,,1610612762,19,20,2025-01-16T02:31:10Z,1250000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612762.0,UTA,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M14.00S,2025-01-16T02:30:56.4Z,1,REGULAR,substitution,in,[],203995,,,1610612762,19,20,2025-01-16T02:31:10Z,1260000,False,,,0,,SUB in: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M14.00S,2025-01-16T02:31:29.0Z,1,REGULAR,freethrow,1 of 1,[],1641718,,,1610612762,20,20,2025-01-16T02:31:29Z,1270000,False,,,0,,K. George Free Throw 1 of 1 (8 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
129,PT02M57.00S,2025-01-16T02:31:47.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,7.046649145860711,56.372549019607845,1610612766,20,20,2025-01-16T02:31:51Z,1280000,False,-32.0,14.0,1,left,MISS C. Martin driving Layup - blocked,"[1628998, 1629234]",1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,Eubanks,1629234.0,,,,,,,,,,
130,PT02M57.00S,2025-01-16T02:31:47.0Z,1,REGULAR,block,,[],1629234,,,1610612766,20,20,2025-01-16T02:31:49Z,1290000,False,,,0,,D. Eubanks BLOCK (1 BLK),[1629234],1610612762.0,UTA,,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
131,PT02M54.00S,2025-01-16T02:31:50.0Z,1,REGULAR,rebound,defensive,[],1641729,,,1610612762,20,20,2025-01-16T02:31:51Z,1300000,False,,,0,,B. Sensabaugh REBOUND (Off:0 Def:3),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,,,,,,,,,,,129.0,3.0,3.0,0.0,,,,,,
132,PT02M52.00S,2025-01-16T02:31:54.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1641729,85.75886990801577,44.85294117647059,1610612762,22,20,2025-01-16T02:33:39Z,1310000,False,-26.0,81.0,1,right,B. Sensabaugh 8' driving floating Jump Shot (8 PTS),[1641729],1610612762.0,UTA,driving floating,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),8-16 Center,8.54,Made,8.0,,,,,,,,,,,,,,,,,
133,PT02M52.00S,2025-01-16T02:31:57.0Z,1,REGULAR,foul,personal,['1freethrow'],1641733,,,1610612762,22,20,2025-01-16T02:32:08Z,1320000,False,,,0,,N. Smith Jr. shooting personal FOUL (1 PF) (Sensabaugh 1 FT),"[1641733, 1641729]",1610612766.0,CHA,shooting,,,Smith Jr.,N. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627964.0,,,,,,,,,,1.0,0.0,Sensabaugh,1641729.0
135,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,out,[],1641718,,,1610612762,22,20,2025-01-16T02:33:13Z,1340000,False,,,0,,SUB out: K. George,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,in,[],1642268,,,1610612762,22,20,2025-01-16T02:33:13Z,1350000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,out,[],1628998,,,1610612762,22,20,2025-01-16T02:33:13Z,1360000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,out,[],201959,,,1610612762,22,20,2025-01-16T02:33:13Z,1370000,False,,,0,,SUB out: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,in,[],1641706,,,1610612762,22,20,2025-01-16T02:33:13Z,1380000,False,,,0,,SUB in: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT02M52.00S,2025-01-16T02:32:09.1Z,1,REGULAR,substitution,in,[],1631109,,,1610612762,22,20,2025-01-16T02:33:13Z,1390000,False,,,0,,SUB in: M. Williams,[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT02M52.00S,2025-01-16T02:32:24.4Z,1,REGULAR,foul,technical,['1freethrow'],201959,,,1610612762,22,20,2025-01-16T02:33:13Z,1400000,False,,,0,,T. Gibson technical FOUL (1 Tech),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,1627964.0,,,,,,,,,,1.0,1.0,,
142,PT02M52.00S,2025-01-16T02:32:41.8Z,1,REGULAR,freethrow,1 of 1,[],1641729,,,1610612762,23,20,2025-01-16T02:33:13Z,1410000,False,,,0,,B. Sensabaugh technical Free Throw 1 of 1 (9 PTS),[1641729],1610612762.0,UTA,technical,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
143,PT02M52.00S,2025-01-16T02:32:57.5Z,1,REGULAR,freethrow,1 of 1,[],1641729,,,1610612762,24,20,2025-01-16T02:32:57Z,1420000,False,,,0,,B. Sensabaugh Free Throw 1 of 1 (10 PTS),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
144,PT02M39.00S,2025-01-16T02:33:11.1Z,1,REGULAR,turnover,lost ball,[],1641706,,,1610612766,24,20,2025-01-16T02:33:16Z,1430000,False,,,0,,B. Miller lost ball TURNOVER (1 TO),"[1641706, 1641989]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,,,Harkless,1641989.0,,,,
145,PT02M39.00S,2025-01-16T02:33:11.1Z,1,REGULAR,steal,,[],1641989,,,1610612762,24,20,2025-01-16T02:33:13Z,1440000,False,,,0,,E. Harkless STEAL (1 STL),[1641989],1610612762.0,UTA,,,,Harkless,E. Harkless,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
146,PT02M35.00S,2025-01-16T02:33:14.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641729,91.5407358738502,45.588235294117645,1610612762,26,20,2025-01-16T02:33:21Z,1450000,False,-22.0,27.0,1,right,B. Sensabaugh running Layup (12 PTS) (I. Collier 2 AST),"[1641729, 1642268]",1610612762.0,UTA,running,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,3.49,Made,12.0,I. Collier,1642268.0,2.0,,,,,,,,,,,,,,
148,PT02M27.00S,2025-01-16T02:33:25.8Z,1,REGULAR,foul,offensive,[],1641706,,,1610612766,26,20,2025-01-16T02:34:12Z,1470000,False,,,0,,B. Miller offensive FOUL (2 PF),"[1641706, 1641989]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,,,,,203591.0,,,,,,,,,,2.0,0.0,Harkless,1641989.0
150,PT02M27.00S,2025-01-16T02:33:25.8Z,1,REGULAR,turnover,offensive foul,[],1641706,,,1610612766,26,20,2025-01-16T02:33:54Z,1490000,False,,,0,,B. Miller offensive foul TURNOVER (2 TO),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,,,,,1627964.0,2.0,,,,,,,,,,,,
151,PT02M15.00S,2025-01-16T02:33:56.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641729,72.7496714848883,19.852941176470587,1610612762,26,20,2025-01-16T02:34:02Z,1500000,False,-151.0,204.0,1,right,MISS B. Sensabaugh 25' 3PT,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,Above the Break 3,24+ Left Center,25.34,Missed,,,,,,,,,,,,,,,,,,
152,PT02M13.00S,2025-01-16T02:34:02.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,26,20,2025-01-16T02:34:02Z,1510000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,151.0,,,,,,,,,
154,PT01M58.00S,2025-01-16T02:34:26.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612762,26,20,2025-01-16T02:34:35Z,1530000,False,,,0,,UTA shot clock Team TURNOVER,[],1610612762.0,UTA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627964.0,,,,,,,,,,,,,
155,PT01M48.00S,2025-01-16T02:34:48.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,19.66162943495401,55.14705882352941,1610612766,26,22,2025-01-16T02:36:10Z,1540000,False,-26.0,132.0,1,left,B. Miller 13' Jump Shot (5 PTS) (V. Micić 1 AST),"[1641706, 203995]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,13.48,Made,5.0,V. Micić,203995.0,1.0,,,,,,,,,,,,,,
157,PT01M36.00S,2025-01-16T02:35:00.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641989,79.84559789750328,34.80392156862745,1610612762,26,22,2025-01-16T02:35:04Z,1560000,False,-76.0,137.0,1,right,MISS E. Harkless 15' driving floating Shot,[1641989],1610612762.0,UTA,driving floating,,,Harkless,E. Harkless,,,,,In The Paint (Non-RA),8-16 Center,15.67,Missed,,,,,,,,,,,,,,,,,,
158,PT01M34.00S,2025-01-16T02:35:02.4Z,1,REGULAR,rebound,defensive,[],203995,,,1610612766,26,22,2025-01-16T02:35:04Z,1570000,False,,,0,,V. Micić REBOUND (Off:0 Def:1),[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,157.0,1.0,1.0,0.0,,,,,,
160,PT01M24.00S,2025-01-16T02:35:12.9Z,1,REGULAR,3pt,Jump Shot,[],1641733,32.14520367936925,52.20588235294118,1610612766,26,22,2025-01-16T02:35:19Z,1580000,False,-11.0,250.0,1,left,MISS N. Smith Jr. 24' 3PT,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Center,24.99,Missed,,,,,,,,,,,,,,,,,,
161,PT01M19.00S,2025-01-16T02:35:17.9Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612762,26,22,2025-01-16T02:35:19Z,1590000,False,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612762.0,UTA,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Center,,,,,,,,,,,160.0,1.0,1.0,0.0,,,,,,
162,PT01M01.00S,2025-01-16T02:35:35.0Z,1,REGULAR,3pt,Jump Shot,[],1642271,94.56307490144546,95.83333333333334,1610612762,29,22,2025-01-16T02:35:39Z,1600000,False,229.0,-1.0,1,right,K. Filipowski 3PT  (3 PTS) (I. Collier 3 AST),"[1642271, 1642268]",1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Right Corner 3,24+ Right,22.92,Made,3.0,I. Collier,1642268.0,3.0,,,,,,,,,,,,,,
164,PT00M46.40S,2025-01-16T02:35:53.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,10.33180026281209,45.34313725490196,1610612766,29,24,2025-01-16T02:37:12Z,1620000,False,23.0,45.0,1,left,M. Williams alley-oop DUNK (8 PTS) (N. Smith Jr. 1 AST),"[1631109, 1641733]",1610612766.0,CHA,alley-oop,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,5.03,Made,8.0,N. Smith Jr.,1641733.0,1.0,,,,,,,,,,,,,,
166,PT00M36.10S,2025-01-16T02:36:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,92.72339027595268,54.166666666666664,1610612762,31,24,2025-01-16T02:36:18Z,1640000,False,21.0,16.0,1,right,I. Collier driving Layup (2 PTS),[1642268],1610612762.0,UTA,driving,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,,,,,,,,,,,,,,,,,
167,PT00M17.30S,2025-01-16T02:36:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,13.748357424441524,39.46078431372549,1610612766,31,26,2025-01-16T02:36:37Z,1650000,False,53.0,77.0,1,left,B. Miller 9' pullup Jump Shot (7 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Right,9.31,Made,7.0,,,,,,,,,,,,,,,,,
168,PT00M02.30S,2025-01-16T02:36:51.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,93.38042049934296,43.872549019607845,1610612762,33,26,2025-01-16T02:36:55Z,1660000,False,-31.0,10.0,1,right,D. Eubanks alley-oop DUNK (2 PTS) (I. Collier 4 AST),"[1629234, 1642268]",1610612762.0,UTA,alley-oop,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,3.21,Made,2.0,I. Collier,1642268.0,4.0,,,,,,,,,,,,,,
170,PT00M00.00S,2025-01-16T02:37:02.6Z,1,REGULAR,3pt,Jump Shot,[],1641706,51.0676741130092,39.46078431372549,1610612766,33,26,2025-01-16T02:38:25Z,1680000,False,53.0,428.0,1,left,MISS B. Miller 43' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,43.07,Missed,,,,,,,,,,,,,,,,,,
171,PT00M00.00S,2025-01-16T02:37:02.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,33,26,2025-01-16T02:37:06Z,1690000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,170.0,,,,,,,,,
