actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
93,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,in,[],1630192,,,1610612743,25,23,2022-01-16T02:28:30Z,930000,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
94,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,in,[],1630267,,,1610612743,25,23,2022-01-16T02:28:30Z,940000,,,0,,SUB in: F. Campazzo,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,,,,,,,,,,,,
95,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,in,[],1630559,,,1610612743,25,23,2022-01-16T02:28:30Z,950000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,
96,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,in,[],2544,,,1610612743,25,23,2022-01-16T02:28:30Z,960000,,,0,,SUB in: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
97,PT02M57.00S,2022-01-16T02:28:04.3Z,1,REGULAR,substitution,in,[],1629659,,,1610612743,25,23,2022-01-16T02:28:30Z,970000,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
98,PT02M57.00S,2022-01-16T02:28:31.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203115,,,1610612743,26,23,2022-01-16T02:28:31Z,980000,,,0,,W. Barton Free Throw 2 of 2 (7 PTS),[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
99,PT02M47.00S,2022-01-16T02:28:50.3Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612747,26,23,2022-01-16T02:29:05Z,990000,,,0,,N. Jokic defensive-3-second technical FOUL (1 Tech),[203999],1610612743.0,DEN,defensive-3-second,,,Jokic,N. Jokic,,,,,202053.0,0.0,1.0,,,,,,,,,,,,,,,,,
100,PT02M47.00S,2022-01-16T02:29:05.4Z,1,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,26,24,2022-01-16T02:29:05Z,1000000,,,0,,L. James technical Free Throw 1 of 1 (5 PTS),[2544],1610612747.0,LAL,technical,,,James,L. James,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
101,PT02M47.00S,2022-01-16T02:29:06.5Z,1,REGULAR,substitution,out,[],203115,,,1610612747,26,24,2022-01-16T02:29:10Z,1010000,,,0,,SUB out: W. Barton,[203115],1610612743.0,DEN,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M47.00S,2022-01-16T02:29:06.5Z,1,REGULAR,substitution,in,[],1628432,,,1610612747,26,24,2022-01-16T02:29:10Z,1020000,,,0,,SUB in: D. Reed,[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M37.00S,2022-01-16T02:29:28.6Z,1,REGULAR,2pt,Jump Shot,[],1630559,8.623521681997373,17.647058823529413,1610612747,26,24,2022-01-16T02:29:33Z,1030000,162.0,29.0,1,left,MISS A. Reaves 16' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,,,,,,Missed,,16.43,,,,,,,,,,,,
104,PT02M35.00S,2022-01-16T02:29:30.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,26,24,2022-01-16T02:29:33Z,1040000,,,0,,N. Jokic REBOUND (Off:1 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,103.0,3.0,2.0,1.0,,,,,,,,
105,PT02M26.00S,2022-01-16T02:29:40.0Z,1,REGULAR,3pt,Jump Shot,[],1628432,74.85216819973719,85.5392156862745,1610612743,29,24,2022-01-16T02:29:43Z,1050000,178.0,184.0,1,right,D. Reed 25' 3PT  (3 PTS) (N. Jokic 3 AST),"[1628432, 203999]",1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,Made,3.0,25.57,,,,,N. Jokic,203999.0,3.0,,,,,
107,PT02M06.00S,2022-01-16T02:29:59.9Z,1,REGULAR,3pt,Jump Shot,[],1629659,27.54599211563732,22.058823529411764,1610612747,29,24,2022-01-16T02:30:06Z,1070000,140.0,206.0,1,left,MISS T. Horton-Tucker 24' 3PT,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,Missed,,24.92,,,,,,,,,,,,
108,PT02M04.00S,2022-01-16T02:30:01.9Z,1,REGULAR,rebound,offensive,[],2544,,,1610612747,29,24,2022-01-16T02:30:06Z,1080000,,,0,,L. James REBOUND (Off:1 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,107.0,3.0,2.0,1.0,,,,,,,,
109,PT02M03.00S,2022-01-16T02:30:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1628432,,,1610612747,29,24,2022-01-16T02:30:14Z,1090000,,,0,,D. Reed shooting personal FOUL (1 PF) (Howard 2 FT),"[1628432, 2730]",1610612743.0,DEN,shooting,,,Reed,D. Reed,,,,,101284.0,1.0,0.0,Howard,2730.0,,,,,,,,,,,,,,,
111,PT02M03.00S,2022-01-16T02:30:30.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2730,,,1610612747,29,25,2022-01-16T02:30:30Z,1110000,,,0,,D. Howard Free Throw 1 of 2 (11 PTS),[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,Made,11.0,,,,,,,,,,,,,
112,PT02M03.00S,2022-01-16T02:30:30.9Z,1,REGULAR,substitution,out,[],203999,,,1610612747,29,25,2022-01-16T02:30:34Z,1120000,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M03.00S,2022-01-16T02:30:30.9Z,1,REGULAR,substitution,in,[],201145,,,1610612747,29,25,2022-01-16T02:30:34Z,1130000,,,0,,SUB in: J. Green,[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M03.00S,2022-01-16T02:30:53.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2730,,,1610612747,29,25,2022-01-16T02:30:53Z,1140000,,,0,,MISS D. Howard Free Throw 2 of 2,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,Missed,,,,,,,,,,,,,,
115,PT02M01.00S,2022-01-16T02:30:54.5Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,29,25,2022-01-16T02:30:54Z,1150000,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,
116,PT01M48.00S,2022-01-16T02:31:08.9Z,1,REGULAR,violation,kicked ball,[],1629659,,,1610612743,29,25,2022-01-16T02:31:18Z,1160000,,,0,,T. Horton-Tucker kicked ball VIOLATION,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,202053.0,,,,,,,,,,,,,,,,,,,
117,PT01M48.00S,2022-01-16T02:31:14.4Z,1,REGULAR,substitution,out,[],2730,,,1610612743,29,25,2022-01-16T02:31:18Z,1170000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M48.00S,2022-01-16T02:31:14.4Z,1,REGULAR,substitution,in,[],201961,,,1610612743,29,25,2022-01-16T02:31:18Z,1180000,,,0,,SUB in: W. Ellington,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M41.00S,2022-01-16T02:31:31.8Z,1,REGULAR,3pt,Jump Shot,[],1630538,66.83639947437582,35.53921568627451,1610612743,32,25,2022-01-16T02:31:36Z,1190000,-72.0,259.0,1,right,B. Hyland 26' 3PT step back (6 PTS),[1630538],1610612743.0,DEN,step back,,,Hyland,B. Hyland,,,,,,,,,,Made,6.0,26.91,,,,,,,,,,,,
120,PT01M20.00S,2022-01-16T02:31:52.4Z,1,REGULAR,3pt,Jump Shot,[],2544,9.937582128777924,3.431372549019608,1610612747,32,28,2022-01-16T02:32:11Z,1200000,233.0,41.0,1,left,L. James 3PT fadeaway (8 PTS) (T. Ariza 2 AST),"[2544, 2772]",1610612747.0,LAL,fadeaway,,,James,L. James,,,,,,,,,,Made,8.0,23.64,,,,,T. Ariza,2772.0,2.0,,,,,
122,PT01M06.00S,2022-01-16T02:32:06.6Z,1,REGULAR,2pt,Jump Shot,[],1630538,76.5604467805519,31.61764705882353,1610612743,34,28,2022-01-16T02:32:13Z,1220000,-92.0,168.0,1,right,B. Hyland 19' pullup Jump Shot (8 PTS) (J. Green 2 AST),"[1630538, 201145]",1610612743.0,DEN,pullup,,,Hyland,B. Hyland,,,,,,,,,,Made,8.0,19.13,,,,,J. Green,201145.0,2.0,,,,,
124,PT00M44.00S,2022-01-16T02:32:34.0Z,1,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612747,34,28,2022-01-16T02:32:42Z,1240000,,,0,,Z. Nnaji shooting personal FOUL (1 PF) (Horton-Tucker 2 FT),"[1630192, 1629659]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,202053.0,1.0,0.0,Horton-Tucker,1629659.0,,,,,,,,,,,,,,,
126,PT00M44.00S,2022-01-16T02:32:58.0Z,1,REGULAR,freethrow,1 of 2,[],1629659,,,1610612747,34,28,2022-01-16T02:32:58Z,1260000,,,0,,MISS T. Horton-Tucker Free Throw 1 of 2,[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,Missed,,,,,,,,,,,,,,
127,PT00M44.00S,2022-01-16T02:32:58.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,34,28,2022-01-16T02:32:58Z,1270000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,
128,PT00M44.00S,2022-01-16T02:33:13.4Z,1,REGULAR,freethrow,2 of 2,[],1629659,,,1610612747,34,29,2022-01-16T02:33:13Z,1280000,,,0,,T. Horton-Tucker Free Throw 2 of 2 (1 PTS),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
129,PT00M33.30S,2022-01-16T02:33:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630538,66.83639947437582,57.35294117647059,1610612743,34,29,2022-01-16T02:33:33Z,1290000,37.0,259.0,1,right,MISS B. Hyland 26' step back 3PT,[1630538],1610612743.0,DEN,step back,,,Hyland,B. Hyland,,,,,,,,,,Missed,,26.18,,,,,,,,,,,,
130,PT00M29.40S,2022-01-16T02:33:31.2Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,34,29,2022-01-16T02:33:33Z,1300000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,129.0,1.0,1.0,0.0,,,,,,,,
131,PT00M05.90S,2022-01-16T02:33:56.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,34,29,2022-01-16T02:34:04Z,1310000,,,0,,LAL shot clock Team TURNOVER,[],1610612747.0,LAL,,,,,,,,,,202053.0,,,,,,,,,,,,,,,,,,,
132,PT00M01.00S,2022-01-16T02:34:22.6Z,1,REGULAR,turnover,lost ball,[],1630538,,,1610612743,34,29,2022-01-16T02:34:28Z,1320000,,,0,,B. Hyland lost ball TURNOVER (1 TO),"[1630538, 201961]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,1.0,Ellington,201961.0,,
133,PT00M01.00S,2022-01-16T02:34:22.6Z,1,REGULAR,steal,,[],201961,,,1610612747,34,29,2022-01-16T02:34:24Z,1330000,,,0,,W. Ellington STEAL (1 STL),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,
134,PT00M00.00S,2022-01-16T02:34:39.6Z,1,REGULAR,period,end,[],0,,,1610612747,34,29,2022-01-16T02:34:39Z,1340000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT12M00.00S,2022-01-16T02:36:45.5Z,2,REGULAR,substitution,out,['startperiod'],2772,,,1610612747,34,29,2022-01-16T02:37:15Z,1350000,,,0,,SUB out: T. Ariza,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,
136,PT12M00.00S,2022-01-16T02:36:45.5Z,2,REGULAR,substitution,in,['startperiod'],1626169,,,1610612747,34,29,2022-01-16T02:37:15Z,1360000,,,0,,SUB in: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2022-01-16T02:37:20.7Z,2,REGULAR,period,start,[],0,,,1610612747,34,29,2022-01-16T02:37:20Z,1370000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT11M48.00S,2022-01-16T02:37:32.0Z,2,REGULAR,3pt,Jump Shot,[],201961,26.231931668856767,12.5,1610612747,34,32,2022-01-16T02:37:39Z,1380000,188.0,194.0,1,left,W. Ellington 26' 3PT  (3 PTS) (T. Horton-Tucker 1 AST),"[201961, 1629659]",1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,Made,3.0,26.99,,,,,T. Horton-Tucker,1629659.0,1.0,,,,,
140,PT11M33.00S,2022-01-16T02:37:46.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201145,92.72339027595268,53.18627450980392,1610612743,36,32,2022-01-16T02:37:52Z,1400000,16.0,16.0,1,right,J. Green cutting DUNK (4 PTS) (F. Campazzo 1 AST),"[201145, 1630267]",1610612743.0,DEN,cutting,,,Green,J. Green,,,,,,,,,,Made,4.0,2.25,,,,,F. Campazzo,1630267.0,1.0,,,,,
142,PT11M24.00S,2022-01-16T02:37:57.7Z,2,REGULAR,foul,personal,['2freethrow'],1630192,,,1610612747,36,32,2022-01-16T02:38:17Z,1420000,,,0,,Z. Nnaji shooting personal FOUL (2 PF) (Reaves 2 FT),"[1630192, 1630559]",1610612743.0,DEN,shooting,,,Nnaji,Z. Nnaji,,,,,202053.0,2.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
144,PT11M24.00S,2022-01-16T02:38:18.5Z,2,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,36,33,2022-01-16T02:38:18Z,1440000,,,0,,A. Reaves Free Throw 1 of 2 (1 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
145,PT11M24.00S,2022-01-16T02:38:31.4Z,2,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,36,34,2022-01-16T02:38:31Z,1450000,,,0,,A. Reaves Free Throw 2 of 2 (2 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
146,PT11M14.00S,2022-01-16T02:38:41.3Z,2,REGULAR,3pt,Jump Shot,[],1630267,76.5604467805519,85.7843137254902,1610612743,36,34,2022-01-16T02:38:46Z,1460000,179.0,168.0,1,right,MISS F. Campazzo 24' pullup 3PT,[1630267],1610612743.0,DEN,pullup,,,Campazzo,F. Campazzo,,,,,,,,,,Missed,,24.53,,,,,,,,,,,,
147,PT11M11.00S,2022-01-16T02:38:44.3Z,2,REGULAR,rebound,defensive,[],1626169,,,1610612747,36,34,2022-01-16T02:38:46Z,1470000,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,146.0,1.0,1.0,0.0,,,,,,,,
148,PT10M59.00S,2022-01-16T02:38:56.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,6.915243101182654,45.09803921568628,1610612747,36,34,2022-01-16T02:39:04Z,1480000,25.0,13.0,1,left,MISS L. James driving reverse Layup - blocked,"[2544, 1630192]",1610612747.0,LAL,driving reverse,,,James,L. James,,,,,,,,,,Missed,,2.75,,,,,,,,,,,Nnaji,1630192.0
170,PT10M59.00S,2022-01-16T02:38:56.0Z,2,REGULAR,block,,[],1630192,,,1610612747,36,34,2022-01-16T02:41:51Z,1485000,,,0,,Z. Nnaji BLOCK (1 BLK),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
149,PT10M58.00S,2022-01-16T02:38:57.0Z,2,REGULAR,rebound,defensive,[],1630267,,,1610612743,36,34,2022-01-16T02:39:04Z,1490000,,,0,,F. Campazzo REBOUND (Off:0 Def:1),[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,
150,PT10M55.00S,2022-01-16T02:39:02.7Z,2,REGULAR,foul,personal,['2freethrow'],1626169,,,1610612743,36,34,2022-01-16T02:39:10Z,1500000,,,0,,S. Johnson shooting personal FOUL (1 PF) (Campazzo 2 FT),"[1626169, 1630267]",1610612747.0,LAL,shooting,,,Johnson,S. Johnson,,,,,202053.0,1.0,0.0,Campazzo,1630267.0,,,,,,,,,,,,,,,
152,PT10M55.00S,2022-01-16T02:39:25.6Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1630267,,,1610612743,37,34,2022-01-16T02:39:25Z,1520000,,,0,,F. Campazzo Free Throw 1 of 2 (1 PTS),[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
153,PT10M55.00S,2022-01-16T02:39:37.7Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1630267,,,1610612743,38,34,2022-01-16T02:39:37Z,1530000,,,0,,F. Campazzo Free Throw 2 of 2 (2 PTS),[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
154,PT10M32.00S,2022-01-16T02:40:02.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,8.623521681997373,42.40196078431372,1610612747,38,34,2022-01-16T02:40:08Z,1540000,38.0,29.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,,,,,,Missed,,4.76,,,,,,,,,,,,
155,PT10M30.00S,2022-01-16T02:40:04.8Z,2,REGULAR,rebound,defensive,[],201145,,,1610612743,38,34,2022-01-16T02:40:08Z,1550000,,,0,,J. Green REBOUND (Off:0 Def:2),[201145],1610612743.0,DEN,,,,Green,J. Green,,,,,,,,,,,,,154.0,2.0,2.0,0.0,,,,,,,,
156,PT10M26.00S,2022-01-16T02:40:09.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630267,77.21747700394218,86.51960784313727,1610612743,38,34,2022-01-16T02:40:17Z,1560000,183.0,162.0,1,right,MISS F. Campazzo 24' 3PT,[1630267],1610612743.0,DEN,,,,Campazzo,F. Campazzo,,,,,,,,,,Missed,,24.39,,,,,,,,,,,,
157,PT10M23.00S,2022-01-16T02:40:12.2Z,2,REGULAR,rebound,defensive,[],1626169,,,1610612747,38,34,2022-01-16T02:40:17Z,1570000,,,0,,S. Johnson REBOUND (Off:0 Def:2),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,156.0,2.0,2.0,0.0,,,,,,,,
158,PT10M17.00S,2022-01-16T02:40:22.7Z,2,REGULAR,foul,personal,[],201145,,,1610612747,38,34,2022-01-16T02:40:49Z,1580000,,,0,,J. Green personal FOUL (1 PF),"[201145, 2544]",1610612743.0,DEN,,,,Green,J. Green,,,,,202053.0,1.0,0.0,James,2544.0,,,,,,,,,,,,,,,
160,PT10M07.00S,2022-01-16T02:40:46.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,8.886333771353483,53.67647058823529,1610612747,38,34,2022-01-16T02:40:54Z,1600000,-18.0,31.0,1,left,MISS T. Horton-Tucker driving reverse Layup,[1629659],1610612747.0,LAL,driving reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,Missed,,3.6,,,,,,,,,,,,
161,PT10M05.00S,2022-01-16T02:40:48.4Z,2,REGULAR,rebound,defensive,[],1628432,,,1610612743,38,34,2022-01-16T02:40:48Z,1610000,,,0,,D. Reed REBOUND (Off:0 Def:1),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,160.0,1.0,1.0,0.0,,,,,,,,
162,PT09M51.00S,2022-01-16T02:41:03.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630192,92.06636005256242,39.46078431372549,1610612743,38,34,2022-01-16T02:41:07Z,1620000,-53.0,22.0,1,right,MISS Z. Nnaji Jump Shot,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,Missed,,5.71,,,,,,,,,,,,
163,PT09M48.00S,2022-01-16T02:41:06.1Z,2,REGULAR,rebound,defensive,[],2544,,,1610612747,38,34,2022-01-16T02:41:07Z,1630000,,,0,,L. James REBOUND (Off:1 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,162.0,4.0,3.0,1.0,,,,,,,,
164,PT09M42.00S,2022-01-16T02:41:11.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,9.411957950065702,60.29411764705882,1610612747,38,34,2022-01-16T02:41:17Z,1640000,-51.0,36.0,1,left,MISS L. James 6' driving Layup - blocked,"[2544, 1628432]",1610612747.0,LAL,driving,,,James,L. James,,,,,,,,,,Missed,,6.28,,,,,,,,,,,Reed,1628432.0
165,PT09M42.00S,2022-01-16T02:41:11.8Z,2,REGULAR,block,,[],1628432,,,1610612747,38,34,2022-01-16T02:41:14Z,1650000,,,0,,D. Reed BLOCK (1 BLK),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,
166,PT09M39.00S,2022-01-16T02:41:14.8Z,2,REGULAR,rebound,defensive,[],1628432,,,1610612743,38,34,2022-01-16T02:41:17Z,1660000,,,0,,D. Reed REBOUND (Off:0 Def:2),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,
167,PT09M34.00S,2022-01-16T02:41:19.6Z,2,REGULAR,3pt,Jump Shot,[],1628432,67.36202365308804,33.82352941176471,1610612743,41,34,2022-01-16T02:42:00Z,1670000,-81.0,254.0,1,right,D. Reed 26' 3PT  (6 PTS) (J. Green 3 AST),"[1628432, 201145]",1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,Made,6.0,26.69,,,,,J. Green,201145.0,3.0,,,,,
169,PT09M32.00S,2022-01-16T02:41:33.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,41,34,2022-01-16T02:41:33Z,1690000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT09M10.00S,2022-01-16T02:44:45.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],2544,5.863994743758213,55.88235294117647,1610612747,41,36,2022-01-16T02:44:52Z,1700000,-29.0,3.0,1,left,L. James driving Layup (10 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,,,,,,Made,10.0,2.95,,,,,,,,,,,,
172,PT08M56.00S,2022-01-16T02:44:59.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630192,91.80354796320631,48.77450980392157,1610612743,41,36,2022-01-16T02:45:09Z,1710000,-6.0,25.0,1,right,MISS Z. Nnaji cutting DUNK - blocked,"[1630192, 2544]",1610612743.0,DEN,cutting,,,Nnaji,Z. Nnaji,,,,,,,,,,Missed,,2.52,,,,,,,,,,,James,2544.0
173,PT08M56.00S,2022-01-16T02:44:59.3Z,2,REGULAR,block,,[],2544,,,1610612743,41,36,2022-01-16T02:45:01Z,1720000,,,0,,L. James BLOCK (1 BLK),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,
174,PT08M54.00S,2022-01-16T02:45:01.3Z,2,REGULAR,rebound,defensive,[],2544,,,1610612747,41,36,2022-01-16T02:45:09Z,1730000,,,0,,L. James REBOUND (Off:1 Def:4),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,172.0,5.0,4.0,1.0,,,,,,,,
175,PT08M52.00S,2022-01-16T02:45:03.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201961,26.363337713534822,82.1078431372549,1610612747,41,36,2022-01-16T02:45:16Z,1740000,-161.0,195.0,1,left,MISS W. Ellington 25' 3PT,[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,Missed,,25.28,,,,,,,,,,,,
176,PT08M48.00S,2022-01-16T02:45:07.8Z,2,REGULAR,rebound,defensive,[],1630192,,,1610612743,41,36,2022-01-16T02:45:16Z,1750000,,,0,,Z. Nnaji REBOUND (Off:0 Def:2),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,175.0,2.0,2.0,0.0,,,,,,,,
177,PT08M40.00S,2022-01-16T02:45:15.7Z,2,REGULAR,3pt,Jump Shot,[],1630538,64.33968462549278,28.676470588235293,1610612743,44,36,2022-01-16T02:45:19Z,1760000,-107.0,283.0,1,right,B. Hyland 30' 3PT  (11 PTS) (J. Green 4 AST),"[1630538, 201145]",1610612743.0,DEN,,,,Hyland,B. Hyland,,,,,,,,,,Made,11.0,30.21,,,,,J. Green,201145.0,4.0,,,,,
179,PT08M23.00S,2022-01-16T02:45:32.2Z,2,REGULAR,turnover,bad pass,[],1630559,,,1610612747,44,36,2022-01-16T02:45:43Z,1780000,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1628432]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,1.0,Reed,1628432.0,,
180,PT08M23.00S,2022-01-16T02:45:32.2Z,2,REGULAR,steal,,[],1628432,,,1610612743,44,36,2022-01-16T02:45:33Z,1790000,,,0,,D. Reed STEAL (1 STL),[1628432],1610612743.0,DEN,,,,Reed,D. Reed,,,,,,,,,,,,,,,,,,,,,,,,
181,PT08M20.00S,2022-01-16T02:45:38.8Z,2,REGULAR,foul,personal,[],1629659,,,1610612743,44,36,2022-01-16T02:46:16Z,1800000,,,0,,T. Horton-Tucker personal FOUL (1 PF),"[1629659, 1628432]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,202053.0,1.0,0.0,Reed,1628432.0,,,,,,,,,,,,,,,
