actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
49,PT07M00.00S,2022-03-25T01:17:27.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,62.5,26.225490196078432,1610612756,13,13,2022-03-25T01:17:31Z,490000,-119.0,300.0,1,right,D. Booker 32' 3PT  (11 PTS) (C. Paul 3 AST),"[1626164, 101108]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,32.27,Made,11.0,,,,,C. Paul,101108.0,3.0,,,,,,,,,,,
51,PT06M47.00S,2022-03-25T01:17:39.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,6.521024967148489,43.13725490196079,1610612743,13,13,2022-03-25T01:17:44Z,510000,34.0,9.0,1,left,MISS M. Morris driving Layup,[1628420],1610612743.0,DEN,driving,,,Morris,M. Morris,,,,,3.54,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M45.00S,2022-03-25T01:17:41.8Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,13,13,2022-03-25T01:17:52Z,520000,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,,
53,PT06M45.00S,2022-03-25T01:17:42.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,5.590000152587891,50.0,1610612743,15,13,2022-03-25T01:17:50Z,530000,0.0,0.0,1,left,A. Gordon tip Layup (2 PTS),[203932],1610612743.0,DEN,tip,,,Gordon,A. Gordon,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
54,PT06M35.00S,2022-03-25T01:17:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,81.553876478318,62.00980392156863,1610612756,15,15,2022-03-25T01:17:58Z,540000,60.0,121.0,1,right,C. Paul 13' fadeaway Jump Shot (2 PTS),[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,13.5,Made,2.0,,,,,,,,,,,,,,,,,,
55,PT06M33.00S,2022-03-25T01:17:58.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,15,15,2022-03-25T01:17:58Z,550000,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M15.00S,2022-03-25T01:21:19.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,16.245072273324574,49.754901960784316,1610612743,17,15,2022-03-25T01:21:45Z,570000,1.0,100.0,1,left,N. Jokic 10' turnaround Jump Shot (8 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,10.02,Made,8.0,,,,,,,,,,,,,,,,,,
58,PT05M52.00S,2022-03-25T01:21:43.2Z,1,REGULAR,turnover,lost ball,[],101108,,,1610612756,17,15,2022-03-25T01:21:48Z,580000,,,0,,C. Paul lost ball TURNOVER (1 TO),"[101108, 203999]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,1.0,Jokic,203999.0,,,,,,,,
59,PT05M52.00S,2022-03-25T01:21:43.2Z,1,REGULAR,steal,,[],203999,,,1610612743,17,15,2022-03-25T01:21:44Z,590000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT05M52.00S,2022-03-25T01:21:46.2Z,1,REGULAR,foul,personal,[],1629028,,,1610612743,17,15,2022-03-25T01:22:36Z,600000,,,0,,D. Ayton take personal FOUL (1 PF),"[1629028, 203999]",1610612756.0,PHX,take,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Jokic,203999.0,,,
62,PT05M37.00S,2022-03-25T01:22:11.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,17,15,2022-03-25T01:22:17Z,620000,,,0,,N. Jokic bad pass TURNOVER (3 TO),"[203999, 203109]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,3.0,Crowder,203109.0,,,,,,,,
