actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,area,areaDetail,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
86,PT05M08.00S,2024-11-30T23:22:56.2Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,17,18,2024-11-30T23:22:56Z,840000,False,,,0,,M. Diabaté REBOUND (Off:4 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,Above the Break 3,24+ Right Center,,85.0,4.0,0.0,4.0,,,,,,,,,,
87,PT05M07.00S,2024-11-30T23:22:57.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642354,68.54467805519053,70.83333333333334,1610612766,20,18,2024-11-30T23:23:01Z,850000,False,104.0,243.0,1,right,K. Simpson 26' 3PT  (5 PTS) (M. Diabaté 3 AST),"[1642354, 1631217]",1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Made,5.0,Above the Break 3,24+ Right Center,26.46,,,,,M. Diabaté,1631217.0,3.0,,,,,,,
89,PT04M55.00S,2024-11-30T23:23:08.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,28.465834428383708,16.911764705882355,1610612737,20,18,2024-11-30T23:23:12Z,870000,False,165.0,215.0,1,left,MISS D. Hunter 27' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Missed,,Above the Break 3,24+ Right Center,27.13,,,,,,,,,,,,,,
90,PT04M52.00S,2024-11-30T23:23:11.4Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,20,18,2024-11-30T23:23:12Z,880000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,Above the Break 3,24+ Right Center,,89.0,1.0,1.0,0.0,,,,,,,,,,
91,PT04M38.00S,2024-11-30T23:23:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,86.41590013140605,43.13725490196079,1610612766,22,18,2024-11-30T23:27:16Z,890000,False,-34.0,75.0,1,right,B. Miller 8' pullup Jump Shot (8 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Made,8.0,In The Paint (Non-RA),8-16 Center,8.27,,,,,,,,,,,,,,
92,PT04M28.00S,2024-11-30T23:23:38.3Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,22,18,2024-11-30T23:23:53Z,900000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (4 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,1626300.0,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,4.0,,,,,,
93,PT04M14.00S,2024-11-30T23:23:59.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642354,66.83639947437582,53.431372549019606,1610612766,22,18,2024-11-30T23:27:49Z,910000,False,17.0,259.0,1,right,MISS K. Simpson 25' 3PT,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,Missed,,Above the Break 3,24+ Center,25.98,,,,,,,,,,,,,,
94,PT04M12.00S,2024-11-30T23:24:01.0Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,22,18,2024-11-30T23:27:49Z,920000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,Above the Break 3,24+ Center,,93.0,2.0,2.0,0.0,,,,,,,,,,
95,PT04M03.00S,2024-11-30T23:24:09.4Z,1,REGULAR,turnover,out-of-bounds,[],1629726,,,1610612737,22,18,2024-11-30T23:24:19Z,930000,False,,,0,,G. Mathews bad pass out-of-bounds TURNOVER (1 TO),[1629726],1610612737.0,ATL,bad pass,,,Mathews,G. Mathews,,,,,1626300.0,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,
96,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,out,[],1631217,,,1610612766,22,18,2024-11-30T23:24:36Z,940000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,out,[],1630700,,,1610612766,22,18,2024-11-30T23:24:36Z,950000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,out,[],1629027,,,1610612766,22,18,2024-11-30T23:24:36Z,960000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,out,[],1629726,,,1610612766,22,18,2024-11-30T23:24:36Z,970000,False,,,0,,SUB out: G. Mathews,[1629726],1610612737.0,ATL,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,22,18,2024-11-30T23:24:36Z,980000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,in,[],1641723,,,1610612766,22,18,2024-11-30T23:24:36Z,990000,False,,,0,,SUB in: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,in,[],1630249,,,1610612766,22,18,2024-11-30T23:24:36Z,1000000,False,,,0,,SUB in: V. Krejčí,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M03.00S,2024-11-30T23:24:11.8Z,1,REGULAR,substitution,in,[],1630552,,,1610612766,22,18,2024-11-30T23:24:36Z,1010000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M41.00S,2024-11-30T23:24:55.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628998,77.7431011826544,27.696078431372552,1610612766,24,18,2024-11-30T23:25:01Z,1020000,False,-112.0,157.0,1,right,C. Martin 19' step back Jump Shot (2 PTS) (B. Miller 1 AST),"[1628998, 1641706]",1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,,,,Made,2.0,Mid-Range,16-24 Left Center,19.23,,,,,B. Miller,1641706.0,1.0,,,,,,,
106,PT03M31.00S,2024-11-30T23:25:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641723,6.783837056504599,49.50980392156863,1610612737,24,18,2024-11-30T23:28:45Z,1040000,False,2.0,11.0,1,left,MISS K. Bufkin driving finger roll Layup - blocked,"[1641723, 1630208]",1610612737.0,ATL,driving finger roll,,,Bufkin,K. Bufkin,,,,,,,,Missed,,Restricted Area,0-8 Center,1.16,,,,,,,,,,,,,Richards,1630208.0
107,PT03M31.00S,2024-11-30T23:25:08.7Z,1,REGULAR,block,,[],1630208,,,1610612737,24,18,2024-11-30T23:25:11Z,1050000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,
108,PT03M30.00S,2024-11-30T23:25:09.7Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,24,18,2024-11-30T23:28:45Z,1060000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:0),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,Restricted Area,0-8 Center,,106.0,1.0,0.0,1.0,,,,,,,,,,
109,PT03M29.00S,2024-11-30T23:25:13.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,5.590000152587891,50.0,1610612737,24,20,2024-11-30T23:29:00Z,1070000,False,0.0,0.0,1,left,O. Okongwu tip Layup (2 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,,,,Made,2.0,Restricted Area,0-8 Center,0.0,,,,,,,,,,,,,,
110,PT03M16.00S,2024-11-30T23:25:20.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,71.17279894875165,20.098039215686274,1610612766,27,20,2024-11-30T23:29:18Z,1080000,False,-150.0,218.0,1,right,B. Miller 26' 3PT pullup (11 PTS),[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Made,11.0,Above the Break 3,24+ Left Center,26.47,,,,,,,,,,,,,,
111,PT03M02.00S,2024-11-30T23:25:35.5Z,1,REGULAR,3pt,Jump Shot,[],1641723,29.122864651773984,21.568627450980394,1610612737,27,20,2024-11-30T23:29:42Z,1090000,False,142.0,221.0,1,left,MISS K. Bufkin 26' pullup 3PT,[1641723],1610612737.0,ATL,pullup,,,Bufkin,K. Bufkin,,,,,,,,Missed,,Above the Break 3,24+ Right Center,26.3,,,,,,,,,,,,,,
112,PT03M00.00S,2024-11-30T23:25:37.5Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,27,20,2024-11-30T23:29:42Z,1100000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,Above the Break 3,24+ Right Center,,111.0,1.0,1.0,0.0,,,,,,,,,,
113,PT02M52.00S,2024-11-30T23:25:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,92.19776609724047,50.245098039215684,1610612766,29,20,2024-11-30T23:25:50Z,1110000,False,1.0,21.0,1,right,C. Martin driving Layup (4 PTS),[1628998],1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,,,,Made,4.0,Restricted Area,0-8 Center,2.08,,,,,,,,,,,,,,
114,PT02M52.00S,2024-11-30T23:25:48.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,29,20,2024-11-30T23:25:48Z,1120000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M52.00S,2024-11-30T23:28:10.9Z,1,REGULAR,substitution,out,[],1630182,,,1610612737,29,20,2024-11-30T23:28:51Z,1130000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M52.00S,2024-11-30T23:28:10.9Z,1,REGULAR,substitution,in,[],1641733,,,1610612737,29,20,2024-11-30T23:28:51Z,1140000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M35.00S,2024-11-30T23:29:13.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,6.521024967148489,51.225490196078425,1610612737,29,20,2024-11-30T23:30:58Z,1150000,False,-6.0,9.0,1,left,MISS D. Hunter pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,,,,Missed,,Restricted Area,0-8 Center,1.07,,,,,,,,,,,,,,
118,PT02M33.00S,2024-11-30T23:29:15.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,29,20,2024-11-30T23:30:58Z,1160000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,Restricted Area,0-8 Center,,117.0,,,,,,,,,,,,,
119,PT02M33.00S,2024-11-30T23:29:21.8Z,1,REGULAR,foul,personal,[],1642354,,,1610612737,29,20,2024-11-30T23:29:37Z,1170000,False,,,0,,K. Simpson loose ball personal FOUL (1 PF),"[1642354, 1630168]",1610612766.0,CHA,loose ball,,,Simpson,K. Simpson,,,,,200834.0,1.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Okongwu,1630168.0,,
121,PT02M26.00S,2024-11-30T23:29:38.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641723,13.666228646517737,44.424019607843135,1610612737,29,22,2024-11-30T23:31:36Z,1190000,False,28.0,76.0,1,left,K. Bufkin 8' pullup Jump Shot (2 PTS),[1641723],1610612737.0,ATL,pullup,,,Bufkin,K. Bufkin,,,,,,,,Made,2.0,In The Paint (Non-RA),8-16 Center,8.1,,,,,,,,,,,,,,
122,PT02M19.00S,2024-11-30T23:29:49.5Z,1,REGULAR,foul,offensive,[],1630208,,,1610612766,29,22,2024-11-30T23:29:57Z,1200000,False,,,0,,N. Richards offensive FOUL (1 PF),"[1630208, 1629631]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,1628481.0,1.0,0.0,,,Above the Break 3,24+ Center,,,,,,,,,,,,Hunter,1629631.0,,
124,PT02M19.00S,2024-11-30T23:29:49.5Z,1,REGULAR,turnover,offensive foul,[],1630208,,,1610612766,29,22,2024-11-30T23:29:49Z,1220000,False,,,0,,N. Richards offensive foul TURNOVER (1 TO),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,1628481.0,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,
125,PT02M06.00S,2024-11-30T23:30:09.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629631,6.258212877792378,50.0,1610612737,29,24,2024-11-30T23:30:13Z,1230000,False,0.0,6.0,1,left,D. Hunter driving Layup (2 PTS) (K. Bufkin 1 AST),"[1629631, 1641723]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,,,,Made,2.0,Restricted Area,0-8 Center,0.63,,,,,K. Bufkin,1641723.0,1.0,,,,,,,
127,PT01M50.00S,2024-11-30T23:30:28.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,89.22470433639947,55.75980392156863,1610612766,29,24,2024-11-30T23:32:46Z,1250000,False,29.0,49.0,1,right,MISS B. Miller driving floating bank Shot,[1641706],1610612766.0,CHA,driving floating bank,,,Miller,B. Miller,,,,,,,,Missed,,In The Paint (Non-RA),0-8 Center,5.67,,,,,,,,,,,,,,
128,PT01M50.00S,2024-11-30T23:30:28.0Z,1,REGULAR,rebound,defensive,[],1630249,,,1610612737,29,24,2024-11-30T23:32:46Z,1260000,False,,,0,,V. Krejčí REBOUND (Off:0 Def:1),[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,127.0,1.0,1.0,0.0,,,,,,,,,,
129,PT01M31.00S,2024-11-30T23:30:46.2Z,1,REGULAR,foul,personal,['2freethrow'],1642354,,,1610612737,29,24,2024-11-30T23:31:02Z,1270000,False,,,0,,K. Simpson shooting personal FOUL (2 PF) (Bufkin 2 FT),"[1642354, 1641723]",1610612766.0,CHA,shooting,,,Simpson,K. Simpson,,,,,1628481.0,2.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Bufkin,1641723.0,,
131,PT01M31.00S,2024-11-30T23:31:19.3Z,1,REGULAR,freethrow,1 of 2,[],1641723,,,1610612737,29,24,2024-11-30T23:31:19Z,1290000,False,,,0,,MISS K. Bufkin Free Throw 1 of 2,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
132,PT01M31.00S,2024-11-30T23:31:19.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,29,24,2024-11-30T23:31:19Z,1300000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,
133,PT01M31.00S,2024-11-30T23:31:21.2Z,1,REGULAR,substitution,out,[],1642354,,,1610612737,29,24,2024-11-30T23:31:23Z,1310000,False,,,0,,SUB out: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M31.00S,2024-11-30T23:31:21.2Z,1,REGULAR,substitution,in,[],203552,,,1610612737,29,24,2024-11-30T23:31:23Z,1320000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M31.00S,2024-11-30T23:31:37.6Z,1,REGULAR,freethrow,2 of 2,[],1641723,,,1610612737,29,25,2024-11-30T23:31:37Z,1330000,False,,,0,,K. Bufkin Free Throw 2 of 2 (3 PTS),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
136,PT01M24.00S,2024-11-30T23:31:49.5Z,1,REGULAR,foul,personal,[],1630249,,,1610612766,29,25,2024-11-30T23:32:03Z,1340000,False,,,0,,V. Krejčí personal FOUL (1 PF),"[1630249, 1641706]",1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,200834.0,1.0,0.0,,,Above the Break 3,24+ Center,,,,,,,,,,,,Miller,1641706.0,,
138,PT01M14.00S,2024-11-30T23:32:16.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,66.17936925098554,52.69607843137255,1610612766,32,25,2024-11-30T23:33:48Z,1360000,False,13.0,265.0,1,right,B. Miller 26' 3PT pullup (14 PTS) (C. Martin 1 AST),"[1641706, 1628998]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Made,14.0,Above the Break 3,24+ Center,26.57,,,,,C. Martin,1628998.0,1.0,,,,,,,
139,PT00M57.50S,2024-11-30T23:32:32.7Z,1,REGULAR,turnover,out-of-bounds,[],1630552,,,1610612737,32,25,2024-11-30T23:32:44Z,1370000,False,,,0,,J. Johnson bad pass out-of-bounds TURNOVER (2 TO),[1630552],1610612737.0,ATL,bad pass,,,Johnson,J. Johnson,,,,,1626300.0,,,,,Restricted Area,0-8 Center,,,,,,,,,2.0,,,,,,
141,PT00M38.80S,2024-11-30T23:33:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641733,92.19776609724047,50.0,1610612766,32,25,2024-11-30T23:33:04Z,1380000,False,0.0,21.0,1,right,MISS N. Smith Jr. driving Layup,[1641733],1610612766.0,CHA,driving,,,Smith Jr.,N. Smith Jr.,,,,,,,,Missed,,Restricted Area,0-8 Center,2.08,,,,,,,,,,,,,,
142,PT00M37.30S,2024-11-30T23:33:01.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,32,25,2024-11-30T23:33:04Z,1390000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,Restricted Area,0-8 Center,,141.0,2.0,1.0,1.0,,,,,,,,,,
143,PT00M26.70S,2024-11-30T23:33:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,16.665982260183966,52.02205882352941,1610612737,32,27,2024-11-30T23:35:01Z,1400000,False,-10.0,104.0,1,left,J. Johnson 10' driving floating Jump Shot (5 PTS),[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,,,,Made,5.0,In The Paint (Non-RA),8-16 Center,10.47,,,,,,,,,,,,,,
144,PT00M09.50S,2024-11-30T23:33:36.5Z,1,REGULAR,turnover,lost ball,[],1641706,,,1610612766,32,27,2024-11-30T23:35:50Z,1410000,False,,,0,,B. Miller lost ball TURNOVER (1 TO),"[1641706, 1630168]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Okongwu,1630168.0,,,,
145,PT00M09.50S,2024-11-30T23:33:36.5Z,1,REGULAR,steal,,[],1630168,,,1610612737,32,27,2024-11-30T23:33:38Z,1420000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,
146,PT00M05.60S,2024-11-30T23:33:39.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629631,6.915243101182654,51.71568627450981,1610612737,32,29,2024-11-30T23:33:46Z,1430000,False,-9.0,13.0,1,left,D. Hunter running DUNK (4 PTS) (O. Okongwu 1 AST),"[1629631, 1630168]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,,,,Made,4.0,Restricted Area,0-8 Center,1.52,,,,,O. Okongwu,1630168.0,1.0,,,,,,,
148,PT00M02.50S,2024-11-30T23:33:47.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,64.47109067017082,74.75490196078431,1610612766,32,29,2024-11-30T23:36:19Z,1450000,False,124.0,281.0,1,right,MISS B. Miller 30' pullup 3PT,[1641706],1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,,,,Missed,,Above the Break 3,24+ Right Center,30.75,,,,,,,,,,,,,,
149,PT00M00.10S,2024-11-30T23:33:50.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,32,29,2024-11-30T23:36:19Z,1460000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,Above the Break 3,24+ Right Center,,148.0,,,,,,,,,,,,,
150,PT00M00.00S,2024-11-30T23:33:55.1Z,1,REGULAR,period,end,[],0,,,1610612766,32,29,2024-11-30T23:33:55Z,1470000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-11-30T23:35:32.7Z,2,REGULAR,substitution,out,['startperiod'],1641706,,,1610612766,32,29,2024-11-30T23:36:32Z,1480000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2024-11-30T23:35:32.7Z,2,REGULAR,substitution,out,['startperiod'],1629631,,,1610612766,32,29,2024-11-30T23:36:32Z,1490000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2024-11-30T23:35:32.7Z,2,REGULAR,substitution,in,['startperiod'],203995,,,1610612766,32,29,2024-11-30T23:36:32Z,1500000,False,,,0,,SUB in: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2024-11-30T23:35:32.7Z,2,REGULAR,substitution,in,['startperiod'],1642258,,,1610612766,32,29,2024-11-30T23:36:32Z,1510000,False,,,0,,SUB in: Z. Risacher,[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2024-11-30T23:36:35.2Z,2,REGULAR,period,start,[],0,,,1610612737,32,29,2024-11-30T23:36:35Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M47.00S,2024-11-30T23:36:49.6Z,2,REGULAR,3pt,Jump Shot,[],1630168,7.178055190538765,3.6764705882352944,1610612737,32,29,2024-11-30T23:37:04Z,1530000,False,232.0,15.0,1,left,MISS O. Okongwu 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Missed,,Right Corner 3,24+ Right,23.21,,,,,,,,,,,,,,
157,PT11M45.00S,2024-11-30T23:36:51.6Z,2,REGULAR,rebound,defensive,[],1628998,,,1610612766,32,29,2024-11-30T23:37:04Z,1540000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,Right Corner 3,24+ Right,,156.0,2.0,2.0,0.0,,,,,,,,,,
158,PT11M38.00S,2024-11-30T23:36:56.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1641733,95.87713534822602,94.6078431372549,1610612766,35,29,2024-11-30T23:37:03Z,1550000,False,223.0,-14.0,1,right,N. Smith Jr. 3PT running (3 PTS) (S. Curry 1 AST),"[1641733, 203552]",1610612766.0,CHA,running,,,Smith Jr.,N. Smith Jr.,,,,,,,,Made,3.0,Right Corner 3,24+ Right,22.34,,,,,S. Curry,203552.0,1.0,,,,,,,
160,PT11M25.00S,2024-11-30T23:37:11.7Z,2,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612737,35,29,2024-11-30T23:37:17Z,1570000,False,,,0,,N. Richards shooting personal FOUL (2 PF) (Okongwu 2 FT),"[1630208, 1630168]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,1626300.0,2.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Okongwu,1630168.0,,
162,PT11M25.00S,2024-11-30T23:37:38.5Z,2,REGULAR,freethrow,1 of 2,[],1630168,,,1610612737,35,30,2024-11-30T23:37:38Z,1590000,False,,,0,,O. Okongwu Free Throw 1 of 2 (3 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
163,PT11M25.00S,2024-11-30T23:37:57.4Z,2,REGULAR,freethrow,2 of 2,[],1630168,,,1610612737,35,31,2024-11-30T23:37:57Z,1600000,False,,,0,,O. Okongwu Free Throw 2 of 2 (4 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
164,PT11M10.00S,2024-11-30T23:38:15.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,93.24901445466492,52.69607843137255,1610612766,37,31,2024-11-30T23:38:39Z,1610000,False,13.0,11.0,1,right,N. Richards cutting DUNK (2 PTS) (N. Smith Jr. 1 AST),"[1630208, 1641733]",1610612766.0,CHA,cutting,,,Richards,N. Richards,,,,,,,,Made,2.0,Restricted Area,0-8 Center,1.74,,,,,N. Smith Jr.,1641733.0,1.0,,,,,,,
166,PT11M10.00S,2024-11-30T23:38:20.3Z,2,REGULAR,foul,personal,['1freethrow'],1630249,,,1610612766,37,31,2024-11-30T23:38:29Z,1630000,False,,,0,,V. Krejčí shooting personal FOUL (2 PF) (Richards 1 FT),"[1630249, 1630208]",1610612737.0,ATL,shooting,,,Krejčí,V. Krejčí,,,,,200834.0,2.0,0.0,,,Restricted Area,0-8 Center,,,,,,,,,,,,Richards,1630208.0,,
168,PT11M10.00S,2024-11-30T23:38:46.5Z,2,REGULAR,freethrow,1 of 1,[],1630208,,,1610612766,38,31,2024-11-30T23:38:46Z,1650000,False,,,0,,N. Richards Free Throw 1 of 1 (3 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
