actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
93,PT04M35.00S,2024-10-26T23:31:00.1Z,1,REGULAR,turnover,lost ball,[],1629684,,,1610612766,14,10,2024-10-26T23:31:06Z,920000,False,,,0,,G. Williams lost ball TURNOVER (1 TO),"[1629684, 1629639]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,,,,,,,,,,,,Herro,1629639.0
94,PT04M35.00S,2024-10-26T23:31:00.1Z,1,REGULAR,steal,,[],1629639,,,1610612748,14,10,2024-10-26T23:31:02Z,930000,False,,,0,,T. Herro STEAL (1 STL),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
95,PT04M29.00S,2024-10-26T23:31:04.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631107,4.944152431011826,51.470588235294116,1610612748,14,12,2024-10-26T23:31:12Z,940000,False,-7.0,-6.0,1,left,N. Jović running Layup (5 PTS) (T. Herro 1 AST),"[1631107, 1629639]",1610612748.0,MIA,running,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,,,,,,5.0,T. Herro,1629639.0,1.0,,
97,PT04M21.00S,2024-10-26T23:31:13.0Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612766,14,12,2024-10-26T23:31:17Z,960000,False,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 1631107]",1610612766.0,CHA,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,,,,,,,,,,,,Jović,1631107.0
98,PT04M21.00S,2024-10-26T23:31:13.0Z,1,REGULAR,steal,,[],1631107,,,1610612748,14,12,2024-10-26T23:31:15Z,970000,False,,,0,,N. Jović STEAL (1 STL),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
99,PT04M17.00S,2024-10-26T23:31:17.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629639,5.601182654402102,48.03921568627451,1610612748,14,14,2024-10-26T23:31:24Z,980000,False,10.0,0.0,1,left,T. Herro running DUNK (5 PTS) (N. Jović 1 AST),"[1629639, 1631107]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,,,,,,,5.0,N. Jović,1631107.0,1.0,,
101,PT04M17.00S,2024-10-26T23:31:29.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612766,14,14,2024-10-26T23:31:29Z,1000000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M17.00S,2024-10-26T23:32:55.1Z,1,REGULAR,substitution,out,[],1630208,,,1610612766,14,14,2024-10-26T23:33:22Z,1010000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M17.00S,2024-10-26T23:32:55.1Z,1,REGULAR,substitution,in,[],1631217,,,1610612766,14,14,2024-10-26T23:33:22Z,1020000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M56.00S,2024-10-26T23:34:25.7Z,1,REGULAR,foul,personal,['2freethrow'],1631170,,,1610612766,14,14,2024-10-26T23:35:08Z,1030000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Williams 2 FT),"[1631170, 1629684]",1610612748.0,MIA,shooting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,1.0,0.0,Williams,1629684.0,,,,,,,,
106,PT03M56.00S,2024-10-26T23:35:14.4Z,1,REGULAR,freethrow,1 of 2,[],1629684,,,1610612766,15,14,2024-10-26T23:35:14Z,1050000,False,,,0,,G. Williams Free Throw 1 of 2 (1 PTS),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
107,PT03M56.00S,2024-10-26T23:35:14.4Z,1,REGULAR,freethrow,2 of 2,[],1629684,,,1610612766,15,14,2024-10-26T23:35:41Z,1060000,False,,,0,,MISS G. Williams Free Throw 2 of 2,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
108,PT03M53.00S,2024-10-26T23:35:17.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,14,2024-10-26T23:35:41Z,1070000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,107.0,2.0,1.0,1.0,,,,,,,,,,,,,,
109,PT03M43.00S,2024-10-26T23:35:50.3Z,1,REGULAR,3pt,Jump Shot,[],1631107,20.71287779237845,90.93137254901961,1610612748,15,14,2024-10-26T23:35:54Z,1080000,False,-205.0,142.0,1,left,MISS N. Jović 24' 3PT,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Above the Break 3,24+ Left Center,24.92,Missed,,,,,,,,,,,,,,,,,,
110,PT03M40.00S,2024-10-26T23:35:53.3Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612766,15,14,2024-10-26T23:35:54Z,1090000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,109.0,1.0,1.0,0.0,,,,,,,,,,,,,,
111,PT03M31.00S,2024-10-26T23:36:02.3Z,1,REGULAR,3pt,Jump Shot,[],1630544,75.1149802890933,85.5392156862745,1610612766,15,14,2024-10-26T23:36:06Z,1100000,False,178.0,181.0,1,right,MISS T. Mann 25' step back 3PT,[1630544],1610612766.0,CHA,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.39,Missed,,,,,,,,,,,,,,,,,,
112,PT03M28.00S,2024-10-26T23:36:05.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,15,14,2024-10-26T23:36:06Z,1110000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,111.0,3.0,2.0,1.0,,,,,,,,,,,,,,
113,PT03M19.00S,2024-10-26T23:36:14.3Z,1,REGULAR,3pt,Jump Shot,[],1631170,6.389618922470433,95.34313725490196,1610612748,15,17,2024-10-26T23:36:18Z,1120000,False,-227.0,8.0,1,left,J. Jaquez Jr. 3PT  (3 PTS) (N. Jović 2 AST),"[1631170, 1631107]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Left Corner 3,24+ Left,22.68,Made,,,,,,,,,,,,,3.0,N. Jović,1631107.0,2.0,,
115,PT03M09.00S,2024-10-26T23:36:28.1Z,1,REGULAR,foul,offensive,[],1631217,,,1610612766,15,17,2024-10-26T23:36:38Z,1140000,False,,,0,,M. Diabaté offensive FOUL (1 PF),"[1631217, 1626179]",1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,16-24 Center,,,,,,,,1629178.0,1.0,0.0,Rozier,1626179.0,,,,,,,,
117,PT03M09.00S,2024-10-26T23:36:28.1Z,1,REGULAR,turnover,offensive foul,[],1631217,,,1610612766,15,17,2024-10-26T23:36:28Z,1160000,False,,,0,,M. Diabaté offensive foul TURNOVER (1 TO),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,16-24 Center,,,,,,,1.0,1629178.0,,,,,,,,,,,,
118,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],203995,,,1610612748,15,17,2024-10-26T23:36:49Z,1170000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],1642275,,,1610612748,15,17,2024-10-26T23:36:49Z,1180000,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],1626179,,,1610612748,15,17,2024-10-26T23:36:49Z,1190000,False,,,0,,SUB out: T. Rozier,[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],1631107,,,1610612748,15,17,2024-10-26T23:36:49Z,1200000,False,,,0,,SUB out: N. Jović,[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,15,17,2024-10-26T23:36:49Z,1210000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,15,17,2024-10-26T23:36:49Z,1220000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],1628970,,,1610612748,15,17,2024-10-26T23:36:49Z,1230000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],1630163,,,1610612748,15,17,2024-10-26T23:36:49Z,1240000,False,,,0,,SUB in: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],202710,,,1610612748,15,17,2024-10-26T23:36:49Z,1250000,False,,,0,,SUB in: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],1630696,,,1610612748,15,17,2024-10-26T23:36:49Z,1260000,False,,,0,,SUB in: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,15,17,2024-10-26T23:36:49Z,1270000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M09.00S,2024-10-26T23:36:36.8Z,1,REGULAR,substitution,in,[],1628418,,,1610612748,15,17,2024-10-26T23:36:49Z,1280000,False,,,0,,SUB in: T. Bryant,[1628418],1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M56.00S,2024-10-26T23:37:25.8Z,1,REGULAR,foul,technical,['1freethrow'],1631217,,,1610612748,15,17,2024-10-26T23:37:37Z,1290000,False,,,0,,M. Diabaté defensive-3-second technical FOUL (1 Tech),[1631217],1610612766.0,CHA,defensive-3-second,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,202026.0,1.0,1.0,,,,,,,,,,
131,PT02M56.00S,2024-10-26T23:37:42.1Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,15,17,2024-10-26T23:37:42Z,1300000,False,,,0,,MISS J. Butler technical Free Throw 1 of 1,[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
132,PT02M56.00S,2024-10-26T23:37:42.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,15,17,2024-10-26T23:37:42Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,
133,PT02M49.00S,2024-10-26T23:38:05.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629130,29.122864651773984,71.32352941176471,1610612748,15,17,2024-10-26T23:38:14Z,1320000,False,-107.0,221.0,1,left,MISS D. Robinson 24' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,24.56,Missed,,,,,,,,,,,,,,,,,,
134,PT02M42.00S,2024-10-26T23:38:12.6Z,1,REGULAR,rebound,offensive,[],1631170,,,1610612748,15,17,2024-10-26T23:38:14Z,1330000,False,,,0,,J. Jaquez Jr. REBOUND (Off:1 Def:0),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,,,133.0,1.0,0.0,1.0,,,,,,,,,,,,,,
135,PT02M42.00S,2024-10-26T23:38:13.7Z,1,REGULAR,turnover,bad pass,[],1631170,,,1610612748,15,17,2024-10-26T23:39:29Z,1340000,False,,,0,,J. Jaquez Jr. bad pass TURNOVER (1 TO),"[1631170, 1629684]",1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,,,,,,,,,,,,Williams,1629684.0
136,PT02M42.00S,2024-10-26T23:38:13.7Z,1,REGULAR,steal,,[],1629684,,,1610612766,15,17,2024-10-26T23:38:18Z,1350000,False,,,0,,G. Williams STEAL (1 STL),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
137,PT02M42.00S,2024-10-26T23:38:21.7Z,1,REGULAR,turnover,out-of-bounds,[],1629684,,,1610612766,15,17,2024-10-26T23:38:32Z,1360000,False,,,0,,G. Williams bad pass out-of-bounds TURNOVER (2 TO),[1629684],1610612766.0,CHA,bad pass,,,Williams,G. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,2.0,1626300.0,,,,,,,,,,,,
138,PT02M31.00S,2024-10-26T23:38:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628418,6.389618922470433,51.9607843137255,1610612748,15,19,2024-10-26T23:38:39Z,1370000,False,-10.0,8.0,1,left,T. Bryant alley-oop Layup (2 PTS) (J. Jaquez Jr. 2 AST),"[1628418, 1631170]",1610612748.0,MIA,alley-oop,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,1.24,Made,,,,,,,,,,,,,2.0,J. Jaquez Jr.,1631170.0,2.0,,
140,PT02M22.00S,2024-10-26T23:38:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,71.30420499342969,79.65686274509804,1610612766,15,19,2024-10-26T23:38:48Z,1390000,False,148.0,217.0,1,right,MISS L. Ball 26' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,26.3,Missed,,,,,,,,,,,,,,,,,,
141,PT02M19.00S,2024-10-26T23:38:46.6Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,15,19,2024-10-26T23:38:46Z,1400000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Above the Break 3,24+ Right Center,,,140.0,1.0,0.0,1.0,,,,,,,,,,,,,,
142,PT02M13.00S,2024-10-26T23:38:57.2Z,1,REGULAR,foul,personal,[],1630696,,,1610612766,15,19,2024-10-26T23:39:20Z,1410000,False,,,0,,D. Smith personal FOUL (1 PF),"[1630696, 1630163]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,202026.0,1.0,0.0,Ball,1630163.0,,,,,,,,
145,PT02M13.00S,2024-10-26T23:39:24.5Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,15,19,2024-10-26T23:39:27Z,1440000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT02M13.00S,2024-10-26T23:39:24.5Z,1,REGULAR,substitution,out,[],1630544,,,1610612766,15,19,2024-10-26T23:41:26Z,1445000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT02M09.00S,2024-10-26T23:39:44.1Z,1,REGULAR,foul,personal,[],1628418,,,1610612766,15,19,2024-10-26T23:39:58Z,1450000,False,,,0,,T. Bryant personal FOUL (1 PF),"[1628418, 1630163]",1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Left Center,,,,,,,,1626300.0,1.0,0.0,Ball,1630163.0,,,,,,,,
148,PT02M00.00S,2024-10-26T23:40:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631217,91.93495400788436,42.15686274509804,1610612766,17,19,2024-10-26T23:40:13Z,1470000,False,-39.0,23.0,1,right,M. Diabaté reverse Layup (2 PTS) (M. Bridges 1 AST),"[1631217, 1628970]",1610612766.0,CHA,reverse,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,4.56,Made,,,,,,,,,,,,,2.0,M. Bridges,1628970.0,1.0,,
150,PT01M50.00S,2024-10-26T23:40:17.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,23.209592641261498,10.294117647058822,1610612748,17,19,2024-10-26T23:40:23Z,1490000,False,199.0,166.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
151,PT01M46.00S,2024-10-26T23:40:22.5Z,1,REGULAR,rebound,offensive,[],1630696,,,1610612748,17,19,2024-10-26T23:40:22Z,1500000,False,,,0,,D. Smith REBOUND (Off:1 Def:0),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Above the Break 3,24+ Right Center,,,150.0,1.0,0.0,1.0,,,,,,,,,,,,,,
152,PT01M34.00S,2024-10-26T23:40:34.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629130,5.995400788436268,43.38235294117647,1610612748,17,21,2024-10-26T23:40:38Z,1510000,False,33.0,4.0,1,left,D. Robinson driving Layup (2 PTS) (D. Smith 1 AST),"[1629130, 1630696]",1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,3.33,Made,,,,,,,,,,,,,2.0,D. Smith,1630696.0,1.0,,
154,PT01M17.00S,2024-10-26T23:40:52.1Z,1,REGULAR,2pt,Jump Shot,[],1629684,93.11760840998686,76.7156862745098,1610612766,17,21,2024-10-26T23:41:01Z,1530000,False,134.0,12.0,1,right,MISS G. Williams 13' fadeaway Shot,[1629684],1610612766.0,CHA,fadeaway,,,Williams,G. Williams,,,,,Mid-Range,8-16 Right,13.42,Missed,,,,,,,,,,,,,,,,,,
155,PT01M13.00S,2024-10-26T23:40:55.5Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,17,21,2024-10-26T23:40:55Z,1540000,False,,,0,,M. Diabaté REBOUND (Off:2 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Mid-Range,8-16 Right,,,154.0,2.0,0.0,2.0,,,,,,,,,,,,,,
156,PT01M11.00S,2024-10-26T23:40:57.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631217,91.40932982917214,49.50980392156863,1610612766,19,21,2024-10-26T23:41:03Z,1550000,False,-2.0,28.0,1,right,M. Diabaté Layup (4 PTS),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,2.84,Made,,,,,,,,,,,,,4.0,,,,,
157,PT01M05.00S,2024-10-26T23:41:14.3Z,1,REGULAR,foul,personal,[],1630163,,,1610612748,19,21,2024-10-26T23:44:09Z,1560000,False,,,0,,L. Ball personal FOUL (2 PF),"[1630163, 202710]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,202026.0,2.0,0.0,Butler,202710.0,,,,,,,,
160,PT00M57.50S,2024-10-26T23:41:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628418,5.863994743758213,51.470588235294116,1610612748,19,23,2024-10-26T23:41:39Z,1580000,False,-7.0,3.0,1,left,T. Bryant Layup (4 PTS) (J. Butler 2 AST),"[1628418, 202710]",1610612748.0,MIA,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,,,,,,,,,4.0,J. Butler,202710.0,2.0,,
162,PT00M39.30S,2024-10-26T23:41:59.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,84.05059132720105,49.754901960784316,1610612766,21,23,2024-10-26T23:45:09Z,1600000,False,-1.0,97.0,1,right,L. Ball 9' driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,9.74,Made,,,,,,,,,,,,,2.0,,,,,
163,PT00M39.30S,2024-10-26T23:42:03.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630696,,,1610612766,21,23,2024-10-26T23:42:15Z,1610000,False,,,0,,D. Smith shooting personal FOUL (2 PF) (Ball 1 FT),"[1630696, 1630163]",1610612748.0,MIA,shooting,,,Smith,D. Smith,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202026.0,2.0,0.0,Ball,1630163.0,,,,,,,,
165,PT00M39.30S,2024-10-26T23:42:32.2Z,1,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,22,23,2024-10-26T23:42:32Z,1630000,False,,,0,,L. Ball Free Throw 1 of 1 (3 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,Made,,,,,,,,,,,,,3.0,,,,,
166,PT00M30.90S,2024-10-26T23:42:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,7.30946123521682,39.705882352941174,1610612748,22,23,2024-10-26T23:42:51Z,1640000,False,51.0,16.0,1,left,MISS D. Robinson driving Layup - blocked,"[1629130, 1628998]",1610612748.0,MIA,driving,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,Martin,1628998.0,,,,,,
167,PT00M30.90S,2024-10-26T23:42:44.5Z,1,REGULAR,block,,[],1628998,,,1610612748,22,23,2024-10-26T23:42:47Z,1650000,False,,,0,,C. Martin BLOCK (1 BLK),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
168,PT00M27.20S,2024-10-26T23:42:48.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,22,23,2024-10-26T23:42:48Z,1660000,False,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,166.0,3.0,2.0,1.0,,,,,,,,,,,,,,
169,PT00M23.40S,2024-10-26T23:42:51.9Z,1,REGULAR,turnover,bad pass,[],1630696,,,1610612748,22,23,2024-10-26T23:42:59Z,1670000,False,,,0,,D. Smith bad pass TURNOVER (1 TO),"[1630696, 1628998]",1610612748.0,MIA,,,,Smith,D. Smith,,,,,Mid-Range,16-24 Right,,,,,,,1.0,,,,,,,,,,,,Martin,1628998.0
170,PT00M23.40S,2024-10-26T23:42:51.9Z,1,REGULAR,steal,,[],1628998,,,1610612766,22,23,2024-10-26T23:42:54Z,1680000,False,,,0,,C. Martin STEAL (1 STL),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
171,PT00M18.20S,2024-10-26T23:42:58.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630696,,,1610612766,22,23,2024-10-26T23:43:18Z,1690000,False,,,0,,D. Smith shooting personal FOUL (3 PF) (Diabaté 2 FT),"[1630696, 1631217]",1610612748.0,MIA,shooting,,,Smith,D. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,1629178.0,3.0,0.0,Diabaté,1631217.0,,,,,,,,
173,PT00M18.20S,2024-10-26T23:43:26.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631217,,,1610612766,22,23,2024-10-26T23:43:26Z,1710000,False,,,0,,MISS M. Diabaté Free Throw 1 of 2,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
174,PT00M18.20S,2024-10-26T23:43:26.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,22,23,2024-10-26T23:43:26Z,1720000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,
175,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,out,[],1629684,,,1610612766,22,23,2024-10-26T23:43:50Z,1730000,False,,,0,,SUB out: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,22,23,2024-10-26T23:43:50Z,1740000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,out,[],1630696,,,1610612766,22,23,2024-10-26T23:43:50Z,1750000,False,,,0,,SUB out: D. Smith,[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,22,23,2024-10-26T23:43:50Z,1760000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT00M18.20S,2024-10-26T23:43:29.7Z,1,REGULAR,substitution,in,[],203552,,,1610612766,22,23,2024-10-26T23:43:50Z,1770000,False,,,0,,SUB in: S. Curry,[203552],1610612766.0,CHA,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,,
