actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
284,PT01M38.00S,2025-02-01T01:03:09.6Z,2,REGULAR,turnover,bad pass,[],1629006,,,1610612766,44,46,2025-02-01T01:03:15Z,2780000,False,,,0,,J. Okogie bad pass TURNOVER (1 TO),"[1629006, 201935]",1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Harden,201935.0,,
285,PT01M38.00S,2025-02-01T01:03:09.6Z,2,REGULAR,steal,,[],201935,,,1610612746,44,46,2025-02-01T01:03:11Z,2790000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
286,PT01M33.00S,2025-02-01T01:03:14.8Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201935,92.9862023653088,51.225490196078425,1610612746,44,46,2025-02-01T01:04:40Z,2800000,False,6.0,13.0,1,right,MISS J. Harden running reverse Layup - blocked,"[201935, 1629006]",1610612746.0,LAC,running reverse,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,Okogie,1629006.0
287,PT01M33.00S,2025-02-01T01:03:14.8Z,2,REGULAR,block,,[],1629006,,,1610612746,44,46,2025-02-01T01:03:16Z,2810000,False,,,0,,J. Okogie BLOCK (1 BLK),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
288,PT01M31.00S,2025-02-01T01:03:16.8Z,2,REGULAR,rebound,defensive,[],1630182,,,1610612766,44,46,2025-02-01T01:03:31Z,2820000,False,,,0,,J. Green REBOUND (Off:0 Def:4),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,286.0,4.0,4.0,0.0,,,,,,,,,,
289,PT01M27.00S,2025-02-01T01:03:21.0Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628970,6.521024967148489,52.450980392156865,1610612766,46,46,2025-02-01T01:05:06Z,2830000,False,-12.0,9.0,1,left,M. Bridges running alley-oop DUNK (10 PTS) (J. Green 1 AST),"[1628970, 1630182]",1610612766.0,CHA,running alley-oop,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.51,Made,10.0,J. Green,1630182.0,1.0,,,,,,,,,,,,,,
291,PT01M00.00S,2025-02-01T01:03:48.9Z,2,REGULAR,3pt,Jump Shot,[],1629611,75.1149802890933,83.82352941176471,1610612746,46,49,2025-02-01T01:05:31Z,2850000,False,169.0,181.0,1,right,T. Mann 24' 3PT pullup (5 PTS) (J. Harden 4 AST),"[1629611, 201935]",1610612746.0,LAC,pullup,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,24.8,Made,5.0,J. Harden,201935.0,4.0,,,,,,,,,,,,,,
293,PT00M50.30S,2025-02-01T01:04:01.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631217,7.5722733245729295,47.794117647058826,1610612766,46,49,2025-02-01T01:04:06Z,2870000,False,11.0,19.0,1,left,MISS M. Diabaté alley-oop Layup,[1631217],1610612766.0,CHA,alley-oop,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
294,PT00M47.30S,2025-02-01T01:04:04.3Z,2,REGULAR,rebound,defensive,[],1629645,,,1610612746,46,49,2025-02-01T01:04:04Z,2880000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:2),[1629645],1610612746.0,LAC,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,293.0,2.0,2.0,0.0,,,,,,,,,,
295,PT00M25.20S,2025-02-01T01:04:26.4Z,2,REGULAR,2pt,Jump Shot,[],1629645,84.83902759526939,27.205882352941174,1610612746,46,49,2025-02-01T01:06:06Z,2890000,False,-114.0,90.0,1,right,MISS K. Porter Jr. 14' turnaround fadeaway Shot,[1629645],1610612746.0,LAC,turnaround fadeaway,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,8-16 Left,14.52,Missed,,,,,,,,,,,,,,,,,,
296,PT00M24.00S,2025-02-01T01:04:29.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612746,46,49,2025-02-01T01:04:29Z,2900000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,295.0,,,,,,,,,,,,,
298,PT00M15.70S,2025-02-01T01:04:53.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201935,94.56307490144546,95.83333333333334,1610612746,46,49,2025-02-01T01:06:45Z,2920000,False,229.0,-1.0,1,right,MISS J. Harden step back 3PT - blocked,"[201935, 1629006]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,Okogie,1629006.0
299,PT00M15.70S,2025-02-01T01:04:53.1Z,2,REGULAR,block,,[],1629006,,,1610612746,46,49,2025-02-01T01:04:55Z,2930000,False,,,0,,J. Okogie BLOCK (2 BLK),[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
300,PT00M15.70S,2025-02-01T01:04:53.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612746,46,49,2025-02-01T01:05:29Z,2940000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,298.0,,,,,,,,,,,,,
303,PT00M12.40S,2025-02-01T01:05:42.9Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],201935,93.64323258869908,76.47058823529412,1610612746,46,51,2025-02-01T01:05:48Z,2970000,False,132.0,7.0,1,right,J. Harden 13' step back Jump Shot (6 PTS) (K. Porter Jr. 2 AST),"[201935, 1629645]",1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,13.26,Made,6.0,K. Porter Jr.,1629645.0,2.0,,,,,,,,,,,,,,
305,PT00M01.70S,2025-02-01T01:05:59.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,5.732588699080158,54.166666666666664,1610612766,48,51,2025-02-01T01:07:25Z,2990000,False,-21.0,1.0,1,left,M. Bridges driving floating bank Jump Shot (12 PTS),[1628970],1610612766.0,CHA,driving floating bank,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.08,Made,12.0,,,,,,,,,,,,,,,,,
306,PT00M00.00S,2025-02-01T01:06:12.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627884,94.1688567674113,49.754901960784316,1610612746,48,53,2025-02-01T01:06:17Z,3000000,False,-1.0,2.0,1,right,D. Jones Jr. Layup (6 PTS),[1627884],1610612746.0,LAC,,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,0.26,Made,6.0,,,,,,,,,,,,,,,,,
307,PT00M00.00S,2025-02-01T01:06:19.4Z,2,REGULAR,period,end,[],0,,,1610612766,48,53,2025-02-01T01:06:19Z,3010000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,out,['startperiod'],1629006,,,1610612766,48,53,2025-02-01T01:21:22Z,3040000,False,,,0,,SUB out: J. Okogie,[1629006],1610612766.0,CHA,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,out,['startperiod'],1642354,,,1610612766,48,53,2025-02-01T01:21:22Z,3050000,False,,,0,,SUB out: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,out,['startperiod'],1631217,,,1610612766,48,53,2025-02-01T01:21:22Z,3060000,False,,,0,,SUB out: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,out,['startperiod'],1629611,,,1610612766,48,53,2025-02-01T01:21:22Z,3070000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,out,['startperiod'],1629645,,,1610612766,48,53,2025-02-01T01:21:22Z,3080000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612746.0,LAC,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
315,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,in,['startperiod'],201959,,,1610612766,48,53,2025-02-01T01:21:22Z,3090000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
316,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,in,['startperiod'],1641733,,,1610612766,48,53,2025-02-01T01:21:22Z,3100000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
317,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,in,['startperiod'],203995,,,1610612766,48,53,2025-02-01T01:21:22Z,3110000,False,,,0,,SUB in: V. Micić,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,,,,,,,,,
318,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,in,['startperiod'],1626181,,,1610612766,48,53,2025-02-01T01:21:22Z,3120000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PT12M00.00S,2025-02-01T01:08:36.1Z,3,REGULAR,substitution,in,['startperiod'],202695,,,1610612766,48,53,2025-02-01T01:21:22Z,3130000,False,,,0,,SUB in: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT12M00.00S,2025-02-01T01:21:28.1Z,3,REGULAR,foul,technical,['1freethrow'],1628970,,,1610612766,48,53,2025-02-01T01:21:36Z,3140000,False,,,0,,M. Bridges technical FOUL (1 Tech),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,202007.0,1.0,1.0,,,,,,,
321,PT12M00.00S,2025-02-01T01:21:46.2Z,3,REGULAR,freethrow,1 of 1,[],201935,,,1610612766,48,54,2025-02-01T01:21:46Z,3150000,False,,,0,,J. Harden technical Free Throw 1 of 1 (7 PTS),[201935],1610612746.0,LAC,technical,,,Harden,J. Harden,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
322,PT12M00.00S,2025-02-01T01:22:14.5Z,3,REGULAR,period,start,[],0,,,1610612746,48,54,2025-02-01T01:22:14Z,3160000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
