actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
574,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,in,[],1629018,,,1610612766,101,105,2024-11-16T22:04:19Z,5550000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
575,PT05M48.00S,2024-11-16T22:03:09.7Z,4,REGULAR,substitution,in,[],203507,,,1610612766,101,105,2024-11-16T22:04:19Z,5560000,False,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
576,PT05M33.00S,2024-11-16T22:04:45.6Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,6.915243101182654,49.01960784313725,1610612766,103,105,2024-11-16T22:09:46Z,5570000,False,5.0,13.0,1,left,L. Ball driving Layup (19 PTS) (J. Green 5 AST),"[1630163, 1630182]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.34,Made,19.0,J. Green,1630182.0,5.0,,,,,,,,,,,,,,
577,PT05M15.00S,2024-11-16T22:05:03.8Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.59198423127464,47.549019607843135,1610612749,103,107,2024-11-16T22:07:39Z,5580000,False,-12.0,17.0,1,right,G. Antetokounmpo alley-oop Layup (20 PTS) (A. Jackson Jr. 1 AST),"[203507, 1641748]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.11,Made,20.0,A. Jackson Jr.,1641748.0,1.0,,,,,,,,,,,,,,
579,PT04M55.00S,2024-11-16T22:05:26.4Z,4,REGULAR,foul,personal,['2freethrow'],201572,,,1610612766,103,107,2024-11-16T22:05:33Z,5600000,False,,,0,,B. Lopez shooting personal FOUL (4 PF) (Martin 2 FT),"[201572, 1628998]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628171.0,4.0,0.0,Martin,1628998.0,,,,,,
581,PT04M55.00S,2024-11-16T22:05:47.8Z,4,REGULAR,freethrow,1 of 2,[],1628998,,,1610612766,104,107,2024-11-16T22:05:47Z,5620000,False,,,0,,C. Martin Free Throw 1 of 2 (5 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
584,PT04M55.00S,2024-11-16T22:06:00.9Z,4,REGULAR,freethrow,2 of 2,[],1628998,,,1610612766,105,107,2024-11-16T22:06:00Z,5630000,False,,,0,,C. Martin Free Throw 2 of 2 (6 PTS),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
585,PT04M45.00S,2024-11-16T22:06:17.9Z,4,REGULAR,2pt,Jump Shot,[],203507,73.66951379763469,55.63725490196079,1610612749,105,107,2024-11-16T22:08:09Z,5640000,False,28.0,195.0,1,right,MISS G. Antetokounmpo 19' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,19.7,Missed,,,,,,,,,,,,,,,,,,
586,PT04M43.00S,2024-11-16T22:06:19.9Z,4,REGULAR,rebound,defensive,[],1630163,,,1610612766,105,107,2024-11-16T22:08:09Z,5650000,False,,,0,,L. Ball REBOUND (Off:2 Def:5),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,585.0,7.0,5.0,2.0,,
587,PT04M37.00S,2024-11-16T22:06:25.3Z,4,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628998,4.944152431011826,46.32352941176471,1610612766,105,107,2024-11-16T22:08:55Z,5660000,False,18.0,-6.0,1,left,MISS C. Martin running DUNK,[1628998],1610612766.0,CHA,running,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
588,PT04M36.00S,2024-11-16T22:06:26.3Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612749,105,107,2024-11-16T22:09:08Z,5670000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,587.0,,,,,
590,PT04M20.00S,2024-11-16T22:06:52.0Z,4,REGULAR,3pt,Jump Shot,[],1629018,73.27529566360053,80.3921568627451,1610612749,105,107,2024-11-16T22:10:11Z,5690000,False,152.0,199.0,1,right,MISS G. Trent Jr. 25' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,25.02,Missed,,,,,,,,,,,,,,,,,,
591,PT04M16.00S,2024-11-16T22:06:56.0Z,4,REGULAR,rebound,defensive,[],1630182,,,1610612766,105,107,2024-11-16T22:10:11Z,5700000,False,,,0,,J. Green REBOUND (Off:1 Def:4),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,590.0,5.0,4.0,1.0,,
592,PT04M08.00S,2024-11-16T22:07:02.5Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,4.681340341655716,50.245098039215684,1610612766,107,107,2024-11-16T22:07:07Z,5710000,False,-1.0,-8.0,1,left,L. Ball driving Layup (21 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.86,Made,21.0,,,,,,,,,,,,,,,,,
593,PT03M57.00S,2024-11-16T22:07:18.2Z,4,REGULAR,foul,personal,[],1629684,,,1610612749,107,107,2024-11-16T22:07:30Z,5720000,False,,,0,,G. Williams personal FOUL (4 PF),"[1629684, 203507]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,200832.0,4.0,0.0,Antetokounmpo,203507.0,,,,,,
595,PT03M54.00S,2024-11-16T22:07:49.3Z,4,REGULAR,turnover,out-of-bounds,[],1641748,,,1610612749,107,107,2024-11-16T22:07:57Z,5740000,False,,,0,,A. Jackson Jr. bad pass out-of-bounds TURNOVER (3 TO),[1641748],1610612749.0,MIL,bad pass,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,3.0,,,200833.0,,,,,,,,,,
596,PT03M45.00S,2024-11-16T22:08:14.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629684,7.178055190538765,49.26470588235294,1610612766,107,107,2024-11-16T22:10:51Z,5750000,False,4.0,15.0,1,left,MISS G. Williams cutting Layup - blocked,"[1629684, 201572]",1610612766.0,CHA,cutting,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,1.54,Missed,,,,,,,,,,,,,,,,,Lopez,201572.0
597,PT03M45.00S,2024-11-16T22:08:14.5Z,4,REGULAR,block,,[],201572,,,1610612766,107,107,2024-11-16T22:08:17Z,5760000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
598,PT03M43.00S,2024-11-16T22:08:16.5Z,4,REGULAR,rebound,defensive,[],1641748,,,1610612749,107,107,2024-11-16T22:10:51Z,5770000,False,,,0,,A. Jackson Jr. REBOUND (Off:0 Def:2),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,596.0,2.0,2.0,0.0,,
599,PT03M36.00S,2024-11-16T22:08:23.4Z,4,REGULAR,3pt,Jump Shot,[],1629018,79.71419185282524,4.901960784313726,1610612749,107,107,2024-11-16T22:11:15Z,5780000,False,-225.0,138.0,1,right,MISS G. Trent Jr. 26' 3PT,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
600,PT03M34.00S,2024-11-16T22:08:25.4Z,4,REGULAR,rebound,defensive,[],1641706,,,1610612766,107,107,2024-11-16T22:11:15Z,5790000,False,,,0,,B. Miller REBOUND (Off:0 Def:4),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,599.0,4.0,4.0,0.0,,
601,PT03M22.00S,2024-11-16T22:08:37.3Z,4,REGULAR,3pt,Jump Shot,[],1641706,29.122864651773984,20.098039215686274,1610612766,107,107,2024-11-16T22:11:45Z,5800000,False,150.0,221.0,1,left,MISS B. Miller 26' step back 3PT,[1641706],1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,26.71,Missed,,,,,,,,,,,,,,,,,,
602,PT03M20.00S,2024-11-16T22:08:39.3Z,4,REGULAR,rebound,defensive,[],203507,,,1610612749,107,107,2024-11-16T22:11:45Z,5810000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:13),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,601.0,15.0,13.0,2.0,,
603,PT03M19.00S,2024-11-16T22:08:44.9Z,4,REGULAR,timeout,full,['team'],0,,,1610612749,107,107,2024-11-16T22:08:44Z,5820000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,PT03M19.00S,2024-11-16T22:09:30.6Z,4,REGULAR,substitution,out,[],1628998,,,1610612749,107,107,2024-11-16T22:10:20Z,5830000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
606,PT03M19.00S,2024-11-16T22:09:30.6Z,4,REGULAR,substitution,out,[],201572,,,1610612749,107,107,2024-11-16T22:10:20Z,5840000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
