actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
64,PT07M09.00S,2025-02-22T02:53:02.2Z,1,REGULAR,foul,technical,['1freethrow'],1630162,,,1610612750,19,14,2025-02-22T02:53:14Z,630000,False,,,0,,A. Edwards technical FOUL (1 Tech),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,1627534.0,0.0,1.0,,,,,,,,,,,,,,
65,PT07M09.00S,2025-02-22T02:53:20.9Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612750,20,14,2025-02-22T02:53:20Z,640000,False,,,0,,J. Green technical Free Throw 1 of 1 (4 PTS),[1630224],1610612745.0,HOU,technical,,,Green,J. Green,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
66,PT07M09.00S,2025-02-22T02:53:24.2Z,1,REGULAR,substitution,out,[],201144,,,1610612750,20,14,2025-02-22T02:53:31Z,650000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M09.00S,2025-02-22T02:53:24.2Z,1,REGULAR,substitution,in,[],1641740,,,1610612750,20,14,2025-02-22T02:53:31Z,660000,False,,,0,,SUB in: J. Clark,[1641740],1610612750.0,MIN,,,,Clark,J. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M57.00S,2025-02-22T02:53:51.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,91.5407358738502,44.85294117647059,1610612750,20,16,2025-02-22T02:53:55Z,670000,False,-26.0,27.0,1,right,N. Alexander-Walker driving Layup (5 PTS),[1629638],1610612750.0,MIN,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,3.73,Made,5.0,,,,,,,,,,,,,,,,,
69,PT06M41.00S,2025-02-22T02:54:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,14.011169513797633,97.05882352941177,1610612745,23,16,2025-02-22T02:54:15Z,680000,False,-235.0,79.0,1,left,D. Brooks 24' 3PT  (8 PTS) (A. Thompson 2 AST),"[1628415, 1641708]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,24.83,Made,8.0,,,,,,A. Thompson,1641708.0,2.0,,,,,,,,,
71,PT06M22.00S,2025-02-22T02:54:28.1Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612750,23,16,2025-02-22T02:54:35Z,700000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Edwards 2 FT),"[1631095, 1630162]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,202007.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,
73,PT06M22.00S,2025-02-22T02:54:37.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,23,16,2025-02-22T02:54:37Z,720000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M22.00S,2025-02-22T02:58:11.4Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,23,16,2025-02-22T02:58:11Z,730000,False,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
75,PT06M22.00S,2025-02-22T02:58:11.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,23,16,2025-02-22T02:58:11Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,
