actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
86,PT05M30.00S,2022-11-02T23:59:23.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629731,,,1610612739,21,13,2022-11-03T00:07:04Z,860000,,,0,,D. Wade Free Throw 1 of 1 (3 PTS),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
87,PT05M17.00S,2022-11-02T23:59:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,12.040078843626807,41.911764705882355,1610612738,21,13,2022-11-03T00:02:43Z,870000,40.0,61.0,1,left,MISS A. Horford 7' floating Shot,[201143],1610612738.0,BOS,floating,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,7.29,Missed,,,,,,,,,,,,,,,,,,
88,PT05M13.00S,2022-11-02T23:59:43.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,21,13,2022-11-02T23:59:47Z,880000,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,87.0,2.0,2.0,0.0,,,,,,,,,,,,,
89,PT05M01.00S,2022-11-02T23:59:55.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,88.64980289093299,41.911764705882355,1610612739,21,13,2022-11-02T23:59:59Z,890000,-40.0,54.0,1,right,MISS J. Allen 6' driving Hook,[1628386],1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.76,Missed,,,,,,,,,,,,,,,,,,
90,PT04M57.00S,2022-11-02T23:59:59.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,13,2022-11-02T23:59:59Z,900000,,,0,,A. Horford REBOUND (Off:1 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,89.0,2.0,1.0,1.0,,,,,,,,,,,,,
91,PT04M51.00S,2022-11-03T00:00:05.5Z,1,REGULAR,turnover,lost ball,[],1627759,,,1610612738,21,13,2022-11-03T00:00:11Z,910000,,,0,,J. Brown lost ball TURNOVER (1 TO),"[1627759, 1628378]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Mitchell,1628378.0
92,PT04M51.00S,2022-11-03T00:00:05.5Z,1,REGULAR,steal,,[],1628378,,,1610612739,21,13,2022-11-03T00:06:01Z,920000,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
93,PT04M44.00S,2022-11-03T00:00:12.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,73.66951379763469,12.254901960784313,1610612739,21,13,2022-11-03T00:00:17Z,930000,-189.0,195.0,1,right,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,27.14,Missed,,,,,,,,,,,,,,,,,,
94,PT04M40.00S,2022-11-03T00:00:15.9Z,1,REGULAR,rebound,offensive,[],1627747,,,1610612739,21,13,2022-11-03T00:00:15Z,940000,,,0,,C. LeVert REBOUND (Off:1 Def:0),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,93.0,1.0,0.0,1.0,,,,,,,,,,,,,
95,PT04M31.00S,2022-11-03T00:00:24.1Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1627747,88.12417871222075,31.61764705882353,1610612739,21,13,2022-11-03T00:00:32Z,950000,-92.0,59.0,1,right,MISS C. LeVert 10' turnaround Shot,[1627747],1610612739.0,CLE,turnaround,,,LeVert,C. LeVert,,,,,Mid-Range,8-16 Left,10.93,Missed,,,,,,,,,,,,,,,,,,
96,PT04M29.00S,2022-11-03T00:00:26.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,13,2022-11-03T00:00:26Z,960000,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Mid-Range,8-16 Left,,,,95.0,3.0,2.0,1.0,,,,,,,,,,,,,
97,PT04M25.00S,2022-11-03T00:00:30.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,28.86005256241787,75.49019607843137,1610612738,21,13,2022-11-03T00:08:26Z,970000,-127.0,219.0,1,left,MISS M. Smart 25' running pullup 3PT,[203935],1610612738.0,BOS,running pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
98,PT04M20.00S,2022-11-03T00:00:35.3Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,21,13,2022-11-03T00:00:35Z,980000,,,0,,J. Allen REBOUND (Off:0 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,97.0,3.0,3.0,0.0,,,,,,,,,,,,,
99,PT04M04.00S,2022-11-03T00:00:53.9Z,1,REGULAR,foul,personal,[],1628401,,,1610612739,21,13,2022-11-03T00:01:01Z,990000,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629731]",1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627961.0,1.0,0.0,Wade,1629731.0,,,,,
101,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,out,[],1627747,,,1610612739,21,13,2022-11-03T00:01:14Z,1010000,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,out,[],1628378,,,1610612739,21,13,2022-11-03T00:01:14Z,1020000,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,out,[],203935,,,1610612739,21,13,2022-11-03T00:01:14Z,1030000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,21,13,2022-11-03T00:01:14Z,1040000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,in,[],1629636,,,1610612739,21,13,2022-11-03T00:01:14Z,1050000,,,0,,SUB in: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M04.00S,2022-11-03T00:01:03.3Z,1,REGULAR,substitution,in,[],1627763,,,1610612739,21,13,2022-11-03T00:01:14Z,1060000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M55.00S,2022-11-03T00:01:32.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,82.47371879106439,50.98039215686274,1610612739,21,13,2022-11-03T00:01:38Z,1070000,5.0,112.0,1,right,MISS K. Love 11' turnaround fadeaway Shot,[201567],1610612739.0,CLE,turnaround fadeaway,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,11.23,Missed,,,,,,,,,,,,,,,,,,
108,PT03M53.00S,2022-11-03T00:01:34.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,21,13,2022-11-03T00:01:34Z,1080000,,,0,,J. Allen REBOUND (Off:1 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,107.0,4.0,3.0,1.0,,,,,,,,,,,,,
109,PT03M46.00S,2022-11-03T00:01:41.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201567,82.47371879106439,3.6764705882352944,1610612739,21,13,2022-11-03T00:01:46Z,1090000,-232.0,112.0,1,right,MISS K. Love 25' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Left Center,25.73,Missed,,,,,,,,,,,,,,,,,,
110,PT03M42.00S,2022-11-03T00:01:45.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,13,2022-11-03T00:01:46Z,1100000,,,0,,A. Horford REBOUND (Off:1 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,109.0,4.0,3.0,1.0,,,,,,,,,,,,,
111,PT03M35.00S,2022-11-03T00:01:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,13.222733245729303,35.294117647058826,1610612738,21,15,2022-11-03T00:01:56Z,1110000,74.0,72.0,1,left,G. Williams 10' turnaround Jump Shot (2 PTS),[1629684],1610612738.0,BOS,turnaround,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Right,10.27,Made,2.0,,,,,,,,,,,,,,,,,
112,PT03M17.00S,2022-11-03T00:02:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,92.9862023653088,51.9607843137255,1610612739,21,15,2022-11-03T00:02:17Z,1120000,10.0,13.0,1,right,MISS J. Allen Layup,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,1.66,Missed,,,,,,,,,,,,,,,,,,
113,PT03M15.00S,2022-11-03T00:02:12.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,15,2022-11-03T00:02:17Z,1130000,,,0,,A. Horford REBOUND (Off:1 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,112.0,5.0,4.0,1.0,,,,,,,,,,,,,
114,PT03M12.00S,2022-11-03T00:02:15.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,27.54599211563732,80.63725490196079,1610612738,21,18,2022-11-03T00:10:21Z,1140000,-153.0,206.0,1,left,M. Brogdon 25' 3PT running pullup (3 PTS) (D. White 2 AST),"[1627763, 1628401]",1610612738.0,BOS,running pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,25.7,Made,3.0,,,,,D. White,1628401.0,2.0,,,,,,,,,,
116,PT03M03.00S,2022-11-03T00:02:32.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,21,18,2022-11-03T00:02:32Z,1160000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612739,21,18,2022-11-03T00:05:41Z,1170000,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,out,[],1627759,,,1610612739,21,18,2022-11-03T00:05:41Z,1180000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612739,21,18,2022-11-03T00:05:41Z,1190000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,out,[],201143,,,1610612739,21,18,2022-11-03T00:05:41Z,1200000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,in,[],201577,,,1610612739,21,18,2022-11-03T00:05:41Z,1210000,,,0,,SUB in: R. Lopez,[201577],1610612739.0,CLE,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,in,[],1628369,,,1610612739,21,18,2022-11-03T00:05:41Z,1220000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612739,21,18,2022-11-03T00:05:41Z,1230000,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M03.00S,2022-11-03T00:02:50.7Z,1,REGULAR,substitution,in,[],1628436,,,1610612739,21,18,2022-11-03T00:05:41Z,1240000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M44.00S,2022-11-03T00:06:19.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,86.15308804204993,42.40196078431372,1610612739,23,18,2022-11-03T00:06:24Z,1250000,-38.0,78.0,1,right,R. Lopez 8' turnaround Hook (2 PTS),[201577],1610612739.0,CLE,turnaround,,,Lopez,R. Lopez,,,,,In The Paint (Non-RA),8-16 Center,8.65,Made,2.0,,,,,,,,,,,,,,,,,
126,PT02M36.00S,2022-11-03T00:06:28.7Z,1,REGULAR,3pt,Jump Shot,[],1629684,7.30946123521682,3.6764705882352944,1610612738,23,18,2022-11-03T00:06:33Z,1260000,232.0,16.0,1,left,MISS G. Williams 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,23.22,Missed,,,,,,,,,,,,,,,,,,
127,PT02M33.00S,2022-11-03T00:06:32.0Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,23,18,2022-11-03T00:06:32Z,1270000,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,
130,PT02M31.00S,2022-11-03T00:06:35.7Z,1,REGULAR,foul,personal,['3freethrow'],1629684,,,1610612739,23,18,2022-11-03T00:06:55Z,1280000,,,0,,G. Williams shooting personal FOUL (1 PF) (Garland 3 FT),"[1629684, 1629636]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1179.0,1.0,0.0,Garland,1629636.0,,,,,
134,PT02M31.00S,2022-11-03T00:07:08.2Z,1,REGULAR,freethrow,1 of 3,[],1629636,,,1610612739,24,18,2022-11-03T00:07:08Z,1300000,,,0,,D. Garland Free Throw 1 of 3 (10 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
135,PT02M31.00S,2022-11-03T00:07:22.6Z,1,REGULAR,freethrow,2 of 3,[],1629636,,,1610612739,25,18,2022-11-03T00:07:22Z,1310000,,,0,,D. Garland Free Throw 2 of 3 (11 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
136,PT02M31.00S,2022-11-03T00:07:38.0Z,1,REGULAR,freethrow,3 of 3,[],1629636,,,1610612739,26,18,2022-11-03T00:07:38Z,1320000,,,0,,D. Garland Free Throw 3 of 3 (12 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
137,PT02M18.00S,2022-11-03T00:07:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.440867279894875,52.20588235294118,1610612738,26,18,2022-11-03T00:07:57Z,1330000,-11.0,17.0,1,left,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
138,PT02M16.00S,2022-11-03T00:07:54.3Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,26,18,2022-11-03T00:07:57Z,1340000,,,0,,K. Love REBOUND (Off:1 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,137.0,2.0,1.0,1.0,,,,,,,,,,,,,
139,PT02M10.00S,2022-11-03T00:07:59.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629636,87.07293035479631,49.50980392156863,1610612739,28,18,2022-11-03T00:12:31Z,1350000,-2.0,69.0,1,right,D. Garland 6' driving floating Jump Shot (14 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,6.9,Made,14.0,,,,,,,,,,,,,,,,,
140,PT01M57.00S,2022-11-03T00:08:17.6Z,1,REGULAR,foul,personal,['2freethrow'],1629731,,,1610612738,28,18,2022-11-03T00:08:30Z,1360000,,,0,,D. Wade shooting personal FOUL (1 PF) (Williams 2 FT),"[1629731, 1629684]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1179.0,1.0,0.0,Williams,1629684.0,,,,,
142,PT01M57.00S,2022-11-03T00:08:39.9Z,1,REGULAR,freethrow,1 of 2,[],1629684,,,1610612738,28,19,2022-11-03T00:08:39Z,1380000,,,0,,G. Williams Free Throw 1 of 2 (3 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
143,PT01M57.00S,2022-11-03T00:08:55.3Z,1,REGULAR,freethrow,2 of 2,[],1629684,,,1610612738,28,20,2022-11-03T00:08:55Z,1390000,,,0,,G. Williams Free Throw 2 of 2 (4 PTS),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
144,PT01M35.00S,2022-11-03T00:09:20.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201577,86.41590013140605,42.15686274509804,1610612739,28,20,2022-11-03T00:09:24Z,1400000,-39.0,75.0,1,right,MISS R. Lopez 8' Hook - blocked,"[201577, 1628436]",1610612739.0,CLE,,,,Lopez,R. Lopez,,,,,In The Paint (Non-RA),8-16 Center,8.48,Missed,,,,,,,,,,,,,,Kornet,1628436.0,,,
145,PT01M35.00S,2022-11-03T00:09:20.0Z,1,REGULAR,block,,[],1628436,,,1610612739,28,20,2022-11-03T00:09:23Z,1410000,,,0,,L. Kornet BLOCK (1 BLK),[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
146,PT01M31.00S,2022-11-03T00:09:24.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,28,20,2022-11-03T00:09:24Z,1420000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,144.0,3.0,3.0,0.0,,,,,,,,,,,,,
147,PT01M31.00S,2022-11-03T00:09:26.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627763,21.76412614980289,8.088235294117647,1610612738,28,20,2022-11-03T00:16:06Z,1430000,210.0,152.0,1,left,MISS M. Brogdon 25' running 3PT,[1627763],1610612738.0,BOS,running,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,,
148,PT01M29.00S,2022-11-03T00:09:28.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,28,20,2022-11-03T00:15:54Z,1440000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,147.0,,,,,,,,,,,,,,,,
150,PT01M07.00S,2022-11-03T00:10:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201567,87.59855453350855,46.07843137254902,1610612739,30,20,2022-11-03T00:10:30Z,1460000,-20.0,64.0,1,right,K. Love 6' turnaround Jump Shot (2 PTS),[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,2.0,,,,,,,,,,,,,,,,,
151,PT01M02.00S,2022-11-03T00:10:32.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626224,,,1610612738,30,20,2022-11-03T00:10:43Z,1470000,,,0,,C. Osman personal FOUL (1 PF) (Brogdon 2 FT),"[1626224, 1627763]",1610612739.0,CLE,,,,Osman,C. Osman,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627962.0,1.0,0.0,Brogdon,1627763.0,,,,,
153,PT01M02.00S,2022-11-03T00:10:56.0Z,1,REGULAR,freethrow,1 of 2,[],1627763,,,1610612738,30,21,2022-11-03T00:10:56Z,1490000,,,0,,M. Brogdon Free Throw 1 of 2 (4 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
154,PT01M02.00S,2022-11-03T00:11:09.7Z,1,REGULAR,freethrow,2 of 2,[],1627763,,,1610612738,30,22,2022-11-03T00:11:09Z,1500000,,,0,,M. Brogdon Free Throw 2 of 2 (5 PTS),[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
155,PT00M50.80S,2022-11-03T00:11:29.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201567,93.9060446780552,51.225490196078425,1610612739,32,22,2022-11-03T00:11:35Z,1510000,6.0,5.0,1,right,K. Love cutting DUNK (4 PTS) (D. Garland 3 AST),"[201567, 1629636]",1610612739.0,CLE,cutting,,,Love,K. Love,,,,,Restricted Area,0-8 Center,0.78,Made,4.0,,,,,D. Garland,1629636.0,3.0,,,,,,,,,,
157,PT00M50.80S,2022-11-03T00:11:35.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1628436,,,1610612739,32,22,2022-11-03T00:11:45Z,1530000,,,0,,L. Kornet shooting personal FOUL (1 PF) (Love 1 FT),"[1628436, 201567]",1610612738.0,BOS,shooting,,,Kornet,L. Kornet,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627961.0,1.0,0.0,Love,201567.0,,,,,
159,PT00M50.80S,2022-11-03T00:12:07.1Z,1,REGULAR,freethrow,1 of 1,[],201567,,,1610612739,33,22,2022-11-03T00:12:07Z,1550000,,,0,,K. Love Free Throw 1 of 1 (5 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
160,PT00M38.20S,2022-11-03T00:12:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,16.376478318002626,61.029411764705884,1610612738,33,24,2022-11-03T00:12:28Z,1560000,-55.0,101.0,1,left,M. Brogdon 11' driving floating Jump Shot (7 PTS) (L. Kornet 1 AST),"[1627763, 1628436]",1610612738.0,BOS,driving floating,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,11.54,Made,7.0,,,,,L. Kornet,1628436.0,1.0,,,,,,,,,,
162,PT00M32.80S,2022-11-03T00:12:32.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612739,33,24,2022-11-03T00:12:43Z,1580000,,,0,,G. Williams personal FOUL (2 PF) (Love 2 FT),"[1629684, 201567]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627962.0,2.0,0.0,Love,201567.0,,,,,
164,PT00M32.80S,2022-11-03T00:13:02.6Z,1,REGULAR,freethrow,1 of 2,[],201567,,,1610612739,34,24,2022-11-03T00:13:02Z,1600000,,,0,,K. Love Free Throw 1 of 2 (6 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
165,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,34,24,2022-11-03T00:13:32Z,1610000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,out,[],201577,,,1610612739,34,24,2022-11-03T00:13:32Z,1620000,,,0,,SUB out: R. Lopez,[201577],1610612739.0,CLE,,,,Lopez,R. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,out,[],1628436,,,1610612739,34,24,2022-11-03T00:13:32Z,1630000,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,in,[],1627747,,,1610612739,34,24,2022-11-03T00:13:32Z,1640000,,,0,,SUB in: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,in,[],1628378,,,1610612739,34,24,2022-11-03T00:13:32Z,1650000,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT00M32.80S,2022-11-03T00:13:03.4Z,1,REGULAR,substitution,in,[],203935,,,1610612739,34,24,2022-11-03T00:13:32Z,1660000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT00M32.80S,2022-11-03T00:13:40.8Z,1,REGULAR,freethrow,2 of 2,[],201567,,,1610612739,35,24,2022-11-03T00:13:40Z,1670000,,,0,,K. Love Free Throw 2 of 2 (7 PTS),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
172,PT00M12.70S,2022-11-03T00:14:04.9Z,1,REGULAR,3pt,Jump Shot,[],203935,7.046649145860711,95.09803921568627,1610612738,35,27,2022-11-03T00:14:09Z,1680000,-225.0,14.0,1,left,M. Smart 3PT  (3 PTS) (J. Tatum 2 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,22.59,Made,3.0,,,,,J. Tatum,1628369.0,2.0,,,,,,,,,,
