actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,area,areaDetail,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
86,PT04M18.00S,2023-01-16T20:24:33.6Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,13,16,2023-01-16T20:24:50Z,820000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M18.00S,2023-01-16T20:24:56.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",202685,,,1610612740,13,17,2023-01-16T20:24:56Z,830000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (6 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,,
88,PT04M00.00S,2023-01-16T20:25:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,14.4053876478318,47.549019607843135,1610612739,13,17,2023-01-16T20:29:43Z,840000,False,12.0,83.0,1,left,MISS J. Allen 8' floating Shot,[1628386],1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,8.38,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
89,PT03M58.00S,2023-01-16T20:25:17.3Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,13,17,2023-01-16T20:25:19Z,850000,False,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,88.0,1.0,1.0,0.0,,,,,,,,,,
90,PT03M43.00S,2023-01-16T20:25:32.5Z,1,REGULAR,2pt,Jump Shot,[],202685,92.06636005256242,27.941176470588236,1610612740,13,17,2023-01-16T20:25:37Z,860000,False,-110.0,22.0,1,right,MISS J. Valanciunas 11' turnaround fadeaway Shot,[202685],1610612740.0,NOP,turnaround fadeaway,,,Valanciunas,J. Valanciunas,,,,,11.25,Missed,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,
91,PT03M41.00S,2023-01-16T20:25:34.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,13,17,2023-01-16T20:25:37Z,870000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,Mid-Range,8-16 Left,90.0,2.0,1.0,1.0,,,,,,,,,,
92,PT03M33.00S,2023-01-16T20:25:43.5Z,1,REGULAR,3pt,Jump Shot,[],201567,32.276609724047304,32.84313725490196,1610612739,13,17,2023-01-16T20:25:47Z,880000,False,86.0,251.0,1,left,MISS K. Love 26' 3PT,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,26.52,Missed,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
93,PT03M30.00S,2023-01-16T20:25:46.5Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,13,17,2023-01-16T20:25:47Z,890000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,Above the Break 3,24+ Right Center,92.0,1.0,1.0,0.0,,,,,,,,,,
94,PT03M13.00S,2023-01-16T20:26:02.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,87.59855453350855,47.05882352941176,1610612740,13,19,2023-01-16T20:26:07Z,900000,False,-15.0,64.0,1,right,J. Valanciunas 6' driving Hook (8 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,6.58,Made,8.0,D. Graham,1628984.0,1.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
96,PT03M01.00S,2023-01-16T20:26:15.7Z,1,REGULAR,2pt,Jump Shot,[],1627747,21.76412614980289,31.372549019607842,1610612739,13,19,2023-01-16T20:26:29Z,920000,False,93.0,152.0,1,left,MISS C. LeVert 17' pullup Shot,[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,17.83,Missed,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,
97,PT03M00.00S,2023-01-16T20:26:16.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,13,19,2023-01-16T20:26:29Z,930000,False,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,Mid-Range,16-24 Right Center,96.0,,,,,,,,,,,,,
98,PT03M00.00S,2023-01-16T20:26:28.1Z,1,REGULAR,foul,personal,[],1628386,,,1610612740,13,19,2023-01-16T22:55:00Z,940000,False,,,0,,J. Allen loose ball personal FOUL (1 PF),"[1628386, 202685]",1610612739.0,CLE,loose ball,,,Allen,J. Allen,,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,2530.0,1.0,0.0,Valanciunas,202685.0
100,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,out,[],1628386,,,1610612740,13,19,2023-01-16T20:26:51Z,960000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,out,[],1630171,,,1610612740,13,19,2023-01-16T20:26:51Z,970000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,out,[],202685,,,1610612740,13,19,2023-01-16T20:26:51Z,980000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,in,[],1626224,,,1610612740,13,19,2023-01-16T20:26:51Z,990000,False,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,in,[],1630596,,,1610612740,13,19,2023-01-16T20:26:51Z,1000000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M00.00S,2023-01-16T20:26:36.7Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,13,19,2023-01-16T20:26:51Z,1010000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M45.00S,2023-01-16T20:27:05.2Z,1,REGULAR,foul,personal,[],201937,,,1610612740,13,19,2023-01-16T20:27:19Z,1020000,False,,,0,,R. Rubio personal FOUL (1 PF),"[201937, 203468]",1610612739.0,CLE,,,,Rubio,R. Rubio,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,1628480.0,1.0,0.0,McCollum,203468.0
108,PT02M45.00S,2023-01-16T20:27:24.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,13,19,2023-01-16T20:27:24Z,1040000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT02M45.00S,2023-01-16T20:28:28.6Z,1,REGULAR,substitution,out,[],203468,,,1610612740,13,19,2023-01-16T20:29:45Z,1050000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M45.00S,2023-01-16T20:28:28.6Z,1,REGULAR,substitution,in,[],1630230,,,1610612740,13,19,2023-01-16T20:29:45Z,1060000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M37.00S,2023-01-16T20:30:15.0Z,1,REGULAR,foul,personal,['2freethrow'],201567,,,1610612740,13,19,2023-01-16T20:30:25Z,1070000,False,,,0,,K. Love shooting personal FOUL (1 PF) (Hayes 2 FT),"[201567, 1629637]",1610612739.0,CLE,shooting,,,Love,K. Love,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Hayes,1629637.0
113,PT02M37.00S,2023-01-16T20:30:39.8Z,1,REGULAR,freethrow,1 of 2,[],1629637,,,1610612740,13,20,2023-01-16T20:30:55Z,1090000,False,,,0,,J. Hayes Free Throw 1 of 2 (1 PTS),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,,
114,PT02M37.00S,2023-01-16T20:30:39.8Z,1,REGULAR,freethrow,2 of 2,[],1629637,,,1610612740,13,20,2023-01-16T20:30:55Z,1100000,False,,,0,,MISS J. Hayes Free Throw 2 of 2,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
115,PT02M35.00S,2023-01-16T20:30:41.8Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,13,20,2023-01-16T20:30:55Z,1110000,False,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,
116,PT02M23.00S,2023-01-16T20:31:08.0Z,1,REGULAR,foul,personal,[],1628984,,,1610612739,13,20,2023-01-16T20:31:14Z,1120000,False,,,0,,D. Graham personal FOUL (1 PF),"[1628984, 1626224]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,2530.0,1.0,0.0,Osman,1626224.0
118,PT02M22.00S,2023-01-16T20:31:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1628984,,,1610612739,13,20,2023-01-16T20:31:35Z,1140000,False,,,0,,D. Graham shooting personal FOUL (2 PF) (Osman 2 FT),"[1628984, 1626224]",1610612740.0,NOP,shooting,,,Graham,D. Graham,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628480.0,2.0,0.0,Osman,1626224.0
120,PT02M22.00S,2023-01-16T20:31:57.2Z,1,REGULAR,freethrow,1 of 2,[],1626224,,,1610612739,13,20,2023-01-16T20:31:57Z,1160000,False,,,0,,MISS C. Osman Free Throw 1 of 2,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
121,PT02M22.00S,2023-01-16T20:31:57.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,13,20,2023-01-16T20:31:57Z,1170000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,,
122,PT02M22.00S,2023-01-16T20:32:14.5Z,1,REGULAR,freethrow,2 of 2,[],1626224,,,1610612739,14,20,2023-01-16T20:32:14Z,1180000,False,,,0,,C. Osman Free Throw 2 of 2 (1 PTS),[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,,
123,PT02M09.00S,2023-01-16T20:32:28.6Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1626224,,,1610612740,14,20,2023-01-16T20:32:49Z,1190000,False,,,0,,C. Osman shooting personal FOUL (1 PF) (Graham 3 FT),"[1626224, 1628984]",1610612739.0,CLE,shooting,,,Osman,C. Osman,,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1626300.0,1.0,0.0,Graham,1628984.0
125,PT02M09.00S,2023-01-16T20:33:00.7Z,1,REGULAR,freethrow,1 of 3,[],1628984,,,1610612740,14,21,2023-01-16T20:33:00Z,1210000,False,,,0,,D. Graham Free Throw 1 of 3 (1 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,,
126,PT02M09.00S,2023-01-16T20:33:20.4Z,1,REGULAR,freethrow,2 of 3,[],1628984,,,1610612740,14,22,2023-01-16T20:33:20Z,1220000,False,,,0,,D. Graham Free Throw 2 of 3 (2 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,,
127,PT02M09.00S,2023-01-16T20:33:36.0Z,1,REGULAR,freethrow,3 of 3,[],1628984,,,1610612740,14,23,2023-01-16T20:33:36Z,1230000,False,,,0,,D. Graham Free Throw 3 of 3 (3 PTS),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,,
128,PT02M01.00S,2023-01-16T20:33:49.7Z,1,REGULAR,foul,personal,[],1629637,,,1610612739,14,23,2023-01-16T20:33:55Z,1240000,False,,,0,,J. Hayes personal FOUL (1 PF),"[1629637, 1626224]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,2530.0,1.0,0.0,Osman,1626224.0
130,PT01M52.00S,2023-01-16T20:34:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,7.046649145860711,52.20588235294118,1610612739,16,23,2023-01-16T20:34:17Z,1260000,False,-11.0,14.0,1,left,E. Mobley cutting DUNK (6 PTS) (K. Love 1 AST),"[1630596, 201567]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,1.76,Made,6.0,K. Love,201567.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
132,PT01M38.00S,2023-01-16T20:34:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,92.85479632063075,51.470588235294116,1610612740,16,23,2023-01-16T20:34:41Z,1280000,False,7.0,15.0,1,right,MISS J. Hayes driving reverse Layup - blocked,"[1629637, 1630596]",1610612740.0,NOP,driving reverse,,,Hayes,J. Hayes,,,,,1.65,Missed,,,,,Restricted Area,0-8 Center,,,,,,Mobley,1630596.0,,,,,,,
133,PT01M38.00S,2023-01-16T20:34:25.5Z,1,REGULAR,block,,[],1630596,,,1610612740,16,23,2023-01-16T20:34:31Z,1290000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
134,PT01M37.00S,2023-01-16T20:34:26.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,16,23,2023-01-16T20:34:41Z,1300000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,Restricted Area,0-8 Center,132.0,,,,,,,,,,,,,
136,PT01M25.00S,2023-01-16T20:34:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.5722733245729295,49.01960784313725,1610612739,18,23,2023-01-16T20:35:01Z,1320000,False,5.0,19.0,1,left,C. LeVert Layup (2 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,1.93,Made,2.0,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
137,PT01M08.00S,2023-01-16T20:35:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,86.67871222076215,55.14705882352941,1610612740,18,23,2023-01-16T20:35:26Z,1330000,False,26.0,73.0,1,right,MISS N. Marshall 7' driving floating Shot,[1630230],1610612740.0,NOP,driving floating,,,Marshall,N. Marshall,,,,,7.71,Missed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
138,PT01M06.00S,2023-01-16T20:35:04.2Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,18,23,2023-01-16T20:35:26Z,1340000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,In The Paint (Non-RA),0-8 Center,137.0,2.0,2.0,0.0,,,,,,,,,,
139,PT01M02.00S,2023-01-16T20:35:12.4Z,1,REGULAR,foul,personal,['3freethrow'],1629637,,,1610612739,18,23,2023-01-16T20:35:25Z,1350000,False,,,0,,J. Hayes shooting personal FOUL (2 PF) (LeVert 3 FT),"[1629637, 1627747]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1626300.0,2.0,0.0,LeVert,1627747.0
141,PT01M02.00S,2023-01-16T20:35:37.4Z,1,REGULAR,freethrow,1 of 3,[],1627747,,,1610612739,19,23,2023-01-16T20:35:37Z,1370000,False,,,0,,C. LeVert Free Throw 1 of 3 (3 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,,
142,PT01M02.00S,2023-01-16T20:35:54.6Z,1,REGULAR,freethrow,2 of 3,[],1627747,,,1610612739,19,23,2023-01-16T20:35:54Z,1380000,False,,,0,,MISS C. LeVert Free Throw 2 of 3,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
143,PT01M02.00S,2023-01-16T20:35:54.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,19,23,2023-01-16T20:35:54Z,1390000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,
144,PT01M02.00S,2023-01-16T20:36:08.0Z,1,REGULAR,freethrow,3 of 3,[],1627747,,,1610612739,20,23,2023-01-16T20:36:08Z,1400000,False,,,0,,C. LeVert Free Throw 3 of 3 (4 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,,
145,PT00M46.70S,2023-01-16T20:36:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,91.01511169513797,65.44117647058823,1610612740,20,25,2023-01-16T20:36:32Z,1410000,False,77.0,32.0,1,right,N. Marshall 8' driving floating bank Jump Shot (4 PTS),[1630230],1610612740.0,NOP,driving floating bank,,,Marshall,N. Marshall,,,,,8.36,Made,4.0,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,
146,PT00M36.00S,2023-01-16T20:36:39.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,10.463206307490145,60.049019607843135,1610612739,22,25,2023-01-16T20:36:46Z,1420000,False,-50.0,46.0,1,left,C. LeVert 6' driving floating Jump Shot (6 PTS),[1627747],1610612739.0,CLE,driving floating,,,LeVert,C. LeVert,,,,,6.8,Made,6.0,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,
148,PT00M21.70S,2023-01-16T20:36:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630631,83.78777923784494,46.07843137254902,1610612740,22,25,2023-01-16T20:37:02Z,1440000,False,-20.0,100.0,1,right,MISS J. Alvarado 10' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,10.18,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
149,PT00M19.30S,2023-01-16T20:36:57.9Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,22,25,2023-01-16T20:36:57Z,1450000,False,,,0,,K. Love REBOUND (Off:0 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,148.0,3.0,3.0,0.0,,,,,,,,,,
150,PT00M00.80S,2023-01-16T20:37:17.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,8.09789750328515,50.49019607843137,1610612739,24,25,2023-01-16T20:38:50Z,1460000,False,-2.0,24.0,1,left,E. Mobley DUNK (8 PTS) (C. LeVert 1 AST),"[1630596, 1627747]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,2.37,Made,8.0,C. LeVert,1627747.0,1.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,
152,PT00M00.00S,2023-01-16T20:37:23.1Z,1,REGULAR,period,end,[],0,,,1610612740,24,25,2023-01-16T20:37:23Z,1480000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2023-01-16T20:37:56.9Z,2,REGULAR,substitution,out,['startperiod'],1629637,,,1610612740,24,25,2023-01-16T20:39:57Z,1490000,False,,,0,,SUB out: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2023-01-16T20:37:56.9Z,2,REGULAR,substitution,in,['startperiod'],1630700,,,1610612740,24,25,2023-01-16T20:39:57Z,1500000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2023-01-16T20:40:13.7Z,2,REGULAR,period,start,[],0,,,1610612740,24,25,2023-01-16T20:40:13Z,1510000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT11M45.00S,2023-01-16T20:40:28.0Z,2,REGULAR,3pt,Jump Shot,[],1628984,77.87450722733246,90.44117647058823,1610612740,24,28,2023-01-16T20:40:34Z,1520000,False,202.0,155.0,1,right,D. Graham 25' 3PT  (6 PTS) (J. Alvarado 1 AST),"[1628984, 1630631]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,25.51,Made,6.0,J. Alvarado,1630631.0,1.0,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,
158,PT11M25.00S,2023-01-16T20:40:50.8Z,2,REGULAR,foul,personal,['2freethrow'],1630631,,,1610612739,24,28,2023-01-16T20:41:04Z,1540000,False,,,0,,J. Alvarado shooting personal FOUL (1 PF) (LeVert 2 FT),"[1630631, 1627747]",1610612740.0,NOP,shooting,,,Alvarado,J. Alvarado,,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1628480.0,1.0,0.0,LeVert,1627747.0
160,PT11M25.00S,2023-01-16T20:41:16.1Z,2,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,24,28,2023-01-16T20:41:34Z,1560000,False,,,0,,MISS C. LeVert Free Throw 1 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
161,PT11M25.00S,2023-01-16T20:41:16.1Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612739,24,28,2023-01-16T20:41:34Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,
162,PT11M25.00S,2023-01-16T20:41:16.1Z,2,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,24,28,2023-01-16T20:41:34Z,1580000,False,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,Missed,,,,,,,,,,,,,,,,,,,,
163,PT11M23.00S,2023-01-16T20:41:18.1Z,2,REGULAR,rebound,defensive,[],1630230,,,1610612740,24,28,2023-01-16T20:41:34Z,1590000,False,,,0,,N. Marshall REBOUND (Off:0 Def:2),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,
164,PT11M03.00S,2023-01-16T20:41:52.2Z,2,REGULAR,2pt,Jump Shot,[],1630631,93.38042049934296,67.15686274509804,1610612740,24,30,2023-01-16T20:41:59Z,1600000,False,86.0,10.0,1,right,J. Alvarado 8' driving floating Jump Shot (2 PTS) (L. Nance Jr. 1 AST),"[1630631, 1626204]",1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,8.63,Made,2.0,L. Nance Jr.,1626204.0,1.0,Mid-Range,8-16 Right,,,,,,,,,,,,,,
166,PT10M46.00S,2023-01-16T20:42:08.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626224,7.30946123521682,51.225490196078425,1610612739,24,30,2023-01-16T20:42:18Z,1620000,False,-6.0,16.0,1,left,MISS C. Osman driving Layup,[1626224],1610612739.0,CLE,driving,,,Osman,C. Osman,,,,,1.73,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
167,PT10M45.00S,2023-01-16T20:42:09.5Z,2,REGULAR,rebound,offensive,[],201567,,,1610612739,24,30,2023-01-16T20:43:01Z,1630000,False,,,0,,K. Love REBOUND (Off:1 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,Restricted Area,0-8 Center,166.0,4.0,3.0,1.0,,,,,,,,,,
168,PT10M45.00S,2023-01-16T20:42:16.2Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201567,5.590000152587891,50.0,1610612739,24,30,2023-01-16T20:42:34Z,1640000,False,0.0,0.0,1,left,MISS K. Love tip Layup,[201567],1610612739.0,CLE,tip,,,Love,K. Love,,,,,0.0,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
169,PT10M43.00S,2023-01-16T20:42:18.2Z,2,REGULAR,rebound,offensive,[],201567,,,1610612739,24,30,2023-01-16T20:43:24Z,1650000,False,,,0,,K. Love REBOUND (Off:2 Def:3),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,Restricted Area,0-8 Center,168.0,5.0,3.0,2.0,,,,,,,,,,
170,PT10M43.00S,2023-01-16T20:42:17.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201567,5.590000152587891,50.0,1610612739,24,30,2023-01-16T20:43:20Z,1660000,False,0.0,0.0,1,left,MISS K. Love tip Layup,[201567],1610612739.0,CLE,tip,,,Love,K. Love,,,,,0.0,Missed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,
171,PT10M39.00S,2023-01-16T20:42:21.9Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612740,24,30,2023-01-16T20:43:20Z,1670000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,Restricted Area,0-8 Center,170.0,1.0,1.0,0.0,,,,,,,,,,
172,PT10M30.00S,2023-01-16T20:42:25.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,85.75886990801577,41.42156862745098,1610612740,24,30,2023-01-16T20:45:05Z,1680000,False,-43.0,81.0,1,right,MISS N. Marshall 9' driving floating Shot,[1630230],1610612740.0,NOP,driving floating,,,Marshall,N. Marshall,,,,,9.2,Missed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,
173,PT10M28.00S,2023-01-16T20:42:27.1Z,2,REGULAR,rebound,defensive,[],201567,,,1610612739,24,30,2023-01-16T20:42:44Z,1690000,False,,,0,,K. Love REBOUND (Off:2 Def:4),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,172.0,6.0,4.0,2.0,,,,,,,,,,
