actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
41,PT08M38.00S,2022-10-23T23:18:08.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",203078,5.590000152587891,50.0,1610612764,3,10,2022-10-23T23:22:22Z,410000,0.0,0.0,1,left,MISS B. Beal tip Layup,[203078],1610612764.0,WAS,tip,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2022-10-23T23:18:08.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,3,10,2022-10-23T23:18:10Z,420000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,41.0,,,,,,,,,,,,,
44,PT08M34.00S,2022-10-23T23:18:32.4Z,1,REGULAR,foul,personal,[],1627747,,,1610612764,3,10,2022-10-23T23:18:39Z,440000,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 1628398]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627963.0,,1.0,0.0,Kuzma,1628398.0,,
47,PT08M23.00S,2022-10-23T23:19:00.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628420,11.251642575558476,38.970588235294116,1610612764,3,10,2022-10-23T23:22:22Z,460000,55.0,53.0,1,left,MISS M. Morris 7' driving floating Shot,[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,7.67,Missed,,,,,,,,,,,,,,,,,,
48,PT08M20.00S,2022-10-23T23:19:03.0Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,3,10,2022-10-23T23:19:04Z,470000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT08M10.00S,2022-10-23T23:19:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,89.17542706964521,47.30392156862745,1610612739,3,10,2022-10-23T23:19:17Z,480000,-13.0,49.0,1,right,MISS J. Allen Layup,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,5.11,Missed,,,,,,,,,,,,,,,,,,
50,PT08M08.00S,2022-10-23T23:19:14.1Z,1,REGULAR,rebound,defensive,[],203078,,,1610612764,3,10,2022-10-23T23:19:17Z,490000,,,0,,B. Beal REBOUND (Off:1 Def:2),[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,,
51,PT08M06.00S,2022-10-23T23:19:25.3Z,1,REGULAR,foul,technical,"['team', '1freethrow']",0,,,1610612764,3,10,2022-10-23T23:19:51Z,500000,,,0,,TEAM foul technical,[],1610612739.0,CLE,bench,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1627963.0,,,,,,,
52,PT08M06.00S,2022-10-23T23:19:52.0Z,1,REGULAR,freethrow,1 of 1,[],203078,,,1610612764,3,11,2022-10-23T23:19:52Z,510000,,,0,,B. Beal technical Free Throw 1 of 1 (3 PTS),[203078],1610612764.0,WAS,technical,,,Beal,B. Beal,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
53,PT07M54.00S,2022-10-23T23:20:14.4Z,1,REGULAR,3pt,Jump Shot,[],1630166,5.995400788436268,97.54901960784314,1610612764,3,11,2022-10-23T23:20:18Z,520000,-238.0,4.0,1,left,MISS D. Avdija 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Left Corner 3,24+ Left,23.77,Missed,,,,,,,,,,,,,,,,,,
54,PT07M51.00S,2022-10-23T23:20:17.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,3,11,2022-10-23T23:20:18Z,530000,,,0,,E. Mobley REBOUND (Off:1 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,
55,PT07M45.00S,2022-10-23T23:20:23.8Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,3,11,2022-10-23T23:20:27Z,540000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1630166]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,,,,,Avdija,1630166.0
56,PT07M45.00S,2022-10-23T23:20:23.8Z,1,REGULAR,steal,,[],1630166,,,1610612764,3,11,2022-10-23T23:20:25Z,550000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2022-10-23T23:20:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628398,7.5722733245729295,52.20588235294118,1610612764,3,11,2022-10-23T23:20:37Z,560000,-11.0,19.0,1,left,MISS K. Kuzma running Layup,[1628398],1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
58,PT07M40.00S,2022-10-23T23:20:28.1Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,3,11,2022-10-23T23:20:37Z,570000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,,
59,PT07M40.00S,2022-10-23T23:20:34.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",204001,5.590000152587891,50.0,1610612764,3,13,2022-10-23T23:20:34Z,580000,0.0,0.0,1,left,K. Porzingis tip DUNK (8 PTS),[204001],1610612764.0,WAS,tip,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,0.0,Made,8.0,,,,,,,,,,,,,,,,,
60,PT07M40.00S,2022-10-23T23:20:38.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,3,13,2022-10-23T23:20:38Z,590000,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M40.00S,2022-10-23T23:23:12.8Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,3,13,2022-10-23T23:24:00Z,600000,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M40.00S,2022-10-23T23:23:12.8Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,3,13,2022-10-23T23:24:00Z,610000,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M25.00S,2022-10-23T23:24:02.7Z,1,REGULAR,foul,personal,['2freethrow'],1630166,,,1610612739,3,13,2022-10-23T23:24:12Z,620000,,,0,,D. Avdija shooting personal FOUL (2 PF) (Mobley 2 FT),"[1630166, 1630596]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,203591.0,,2.0,0.0,Mobley,1630596.0,,
68,PT07M25.00S,2022-10-23T23:24:15.2Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,4,13,2022-10-23T23:24:15Z,640000,,,0,,E. Mobley Free Throw 1 of 2 (1 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
69,PT07M25.00S,2022-10-23T23:24:16.5Z,1,REGULAR,substitution,out,[],1630166,,,1610612739,4,13,2022-10-23T23:24:22Z,650000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M25.00S,2022-10-23T23:24:16.5Z,1,REGULAR,substitution,in,[],1629060,,,1610612739,4,13,2022-10-23T23:24:22Z,660000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
