actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
81,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],202330,,,1610612766,17,17,2023-12-16T00:24:07Z,810000,False,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],1630550,,,1610612766,17,17,2023-12-16T00:24:07Z,820000,False,,,0,,SUB out: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],1629627,,,1610612766,17,17,2023-12-16T00:24:07Z,830000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],203468,,,1610612766,17,17,2023-12-16T00:24:07Z,840000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,out,[],202685,,,1610612766,17,17,2023-12-16T00:24:07Z,850000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1628970,,,1610612766,17,17,2023-12-16T00:24:07Z,860000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1631121,,,1610612766,17,17,2023-12-16T00:24:07Z,870000,False,,,0,,SUB in: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1641877,,,1610612766,17,17,2023-12-16T00:24:07Z,880000,False,,,0,,SUB in: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1630530,,,1610612766,17,17,2023-12-16T00:24:07Z,890000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1630529,,,1610612766,17,17,2023-12-16T00:24:07Z,900000,False,,,0,,SUB in: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M46.00S,2023-12-16T00:23:46.0Z,1,REGULAR,substitution,in,[],1630631,,,1610612766,17,17,2023-12-16T00:24:07Z,910000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M26.00S,2023-12-16T00:24:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,5.732588699080158,46.07843137254902,1610612766,17,17,2023-12-16T00:31:09Z,920000,False,20.0,1.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.96,Missed,,,,,,,,,,,,,,,,,,
93,PT03M22.00S,2023-12-16T00:24:19.9Z,1,REGULAR,rebound,offensive,[],1641877,,,1610612766,17,17,2023-12-16T00:24:19Z,930000,False,,,0,,N. Mensah REBOUND (Off:1 Def:0),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,92.0,1.0,0.0,1.0,,,,,,,,,,,,,,
94,PT03M22.00S,2023-12-16T00:24:19.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641877,5.590000152587891,50.0,1610612766,17,17,2023-12-16T00:24:19Z,940000,False,0.0,0.0,1,left,MISS N. Mensah tip Layup,[1641877],1610612766.0,CHA,tip,,,Mensah,N. Mensah,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
95,PT03M21.00S,2023-12-16T00:24:20.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,17,17,2023-12-16T00:24:20Z,950000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,,,94.0,1.0,1.0,0.0,,,,,,,,,,,,,,
96,PT03M14.00S,2023-12-16T00:24:35.7Z,1,REGULAR,foul,personal,[],1641706,,,1610612740,17,17,2023-12-16T00:34:06Z,960000,False,,,0,,B. Miller personal FOUL (2 PF),"[1641706, 1630230]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2003.0,,,,,2.0,0.0,Marshall,1630230.0,,,,,
99,PT03M14.00S,2023-12-16T00:24:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,17,2023-12-16T00:34:06Z,990000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M14.00S,2023-12-16T00:24:50.7Z,1,REGULAR,substitution,out,[],1641706,,,1610612740,17,17,2023-12-16T00:34:06Z,1000000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT03M14.00S,2023-12-16T00:24:50.7Z,1,REGULAR,substitution,in,[],1626179,,,1610612740,17,17,2023-12-16T00:34:06Z,1010000,False,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT03M05.00S,2023-12-16T00:27:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.2910643889619,42.15686274509804,1610612740,17,17,2023-12-16T00:33:12Z,1030000,False,-39.0,123.0,1,right,MISS B. Ingram 12' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.95,Missed,,,,,,,,,,,,,,,,,,
104,PT03M02.00S,2023-12-16T00:27:56.6Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,17,17,2023-12-16T00:27:56Z,1040000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,103.0,1.0,1.0,0.0,,,,,,,,,,,,,,
105,PT02M44.00S,2023-12-16T00:28:15.0Z,1,REGULAR,2pt,Jump Shot,[],1628970,23.340998685939553,55.14705882352941,1610612766,17,17,2023-12-16T00:33:46Z,1050000,False,-26.0,167.0,1,left,MISS M. Bridges 16' pullup Shot,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,16.89,Missed,,,,,,,,,,,,,,,,,,
106,PT02M41.00S,2023-12-16T00:28:18.0Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612740,17,17,2023-12-16T00:28:24Z,1060000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,16-24 Center,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,,
107,PT02M34.00S,2023-12-16T00:28:24.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630230,82.7365308804205,43.38235294117647,1610612740,17,17,2023-12-16T00:34:30Z,1070000,False,-33.0,110.0,1,right,MISS N. Marshall 11' running pullup Shot,[1630230],1610612740.0,NOP,running pullup,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,11.47,Missed,,,,,,,,,,,,,,,,,,
108,PT02M32.00S,2023-12-16T00:28:26.4Z,1,REGULAR,rebound,defensive,[],1641877,,,1610612766,17,17,2023-12-16T00:28:26Z,1080000,False,,,0,,N. Mensah REBOUND (Off:1 Def:1),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,In The Paint (Non-RA),8-16 Center,,,107.0,2.0,1.0,1.0,,,,,,,,,,,,,,
109,PT02M26.00S,2023-12-16T00:28:32.9Z,1,REGULAR,3pt,Jump Shot,[],1626179,28.203022339027594,25.98039215686275,1610612766,17,17,2023-12-16T00:35:35Z,1090000,False,120.0,213.0,1,left,MISS T. Rozier 24' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,24.42,Missed,,,,,,,,,,,,,,,,,,
110,PT02M23.00S,2023-12-16T00:28:35.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,17,17,2023-12-16T00:28:37Z,1100000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,109.0,2.0,2.0,0.0,,,,,,,,,,,,,,
111,PT02M09.00S,2023-12-16T00:28:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630631,92.9862023653088,46.81372549019608,1610612740,17,17,2023-12-16T00:37:09Z,1110000,False,-16.0,13.0,1,right,MISS J. Alvarado driving reverse Layup,[1630631],1610612740.0,NOP,driving reverse,,,Alvarado,J. Alvarado,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
112,PT02M04.00S,2023-12-16T00:28:54.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,17,17,2023-12-16T00:28:55Z,1120000,False,,,0,,M. Bridges REBOUND (Off:1 Def:3),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,111.0,4.0,3.0,1.0,,,,,,,,,,,,,,
113,PT02M02.00S,2023-12-16T00:28:56.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,6.521024967148489,48.03921568627451,1610612766,19,17,2023-12-16T00:29:06Z,1130000,False,10.0,9.0,1,left,T. Rozier running Layup (4 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.32,Made,,,,,,,,,4.0,,,,,M. Bridges,1628970.0,1.0,,
114,PT01M45.00S,2023-12-16T00:29:16.0Z,1,REGULAR,foul,personal,['2freethrow'],1631121,,,1610612740,19,17,2023-12-16T00:29:33Z,1140000,False,,,0,,B. McGowens shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1631121, 1630530]",1610612766.0,CHA,shooting,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,,1204.0,,,,,1.0,0.0,Murphy III,1630530.0,,,,,
116,PT01M45.00S,2023-12-16T00:29:40.8Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,19,18,2023-12-16T00:29:40Z,1160000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
117,PT01M45.00S,2023-12-16T00:29:48.7Z,1,REGULAR,substitution,out,[],1627742,,,1610612740,19,18,2023-12-16T00:29:52Z,1170000,False,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT01M45.00S,2023-12-16T00:29:48.7Z,1,REGULAR,substitution,in,[],1629627,,,1610612740,19,18,2023-12-16T00:29:52Z,1180000,False,,,0,,SUB in: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M45.00S,2023-12-16T00:30:02.0Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,19,19,2023-12-16T00:30:02Z,1190000,False,,,0,,T. Murphy III Free Throw 2 of 2 (2 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
120,PT01M27.00S,2023-12-16T00:30:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,14.799605781865965,52.94117647058824,1610612766,19,19,2023-12-16T00:38:21Z,1200000,False,-15.0,87.0,1,left,MISS M. Bridges 8' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,8.78,Missed,,,,,,,,,,,,,,,,,,
121,PT01M26.00S,2023-12-16T00:30:23.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,19,19,2023-12-16T00:30:30Z,1210000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,120.0,,,,,,,,,,,,,,,,,
123,PT01M20.00S,2023-12-16T00:30:48.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626179,7.703679369250986,50.73529411764706,1610612766,19,19,2023-12-16T00:38:42Z,1230000,False,-4.0,20.0,1,left,MISS T. Rozier driving finger roll Layup,[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,,
124,PT01M18.00S,2023-12-16T00:30:50.5Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,19,19,2023-12-16T00:30:50Z,1240000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:3),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,123.0,3.0,3.0,0.0,,,,,,,,,,,,,,
125,PT01M15.00S,2023-12-16T00:30:52.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,68.01905387647832,83.82352941176471,1610612740,19,19,2023-12-16T00:39:16Z,1250000,False,169.0,248.0,1,right,MISS T. Murphy III 30' running 3PT,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,30.02,Missed,,,,,,,,,,,,,,,,,,
126,PT01M11.00S,2023-12-16T00:30:56.9Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,19,19,2023-12-16T00:31:16Z,1260000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Right Center,,,125.0,2.0,1.0,1.0,,,,,,,,,,,,,,
127,PT01M10.00S,2023-12-16T00:30:58.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629627,92.32917214191852,53.431372549019606,1610612740,19,19,2023-12-16T00:39:37Z,1270000,False,17.0,20.0,1,right,MISS Z. Williamson putback Layup,[1629627],1610612740.0,NOP,putback,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,2.61,Missed,,,,,,,,,,,,,,,,,,
128,PT01M08.00S,2023-12-16T00:31:00.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,19,19,2023-12-16T00:31:21Z,1280000,False,,,0,,M. Bridges REBOUND (Off:1 Def:4),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,127.0,5.0,4.0,1.0,,,,,,,,,,,,,,
129,PT01M00.00S,2023-12-16T00:31:08.8Z,1,REGULAR,3pt,Jump Shot,[],1631121,16.63929040735874,95.58823529411765,1610612766,19,19,2023-12-16T00:31:24Z,1290000,False,-228.0,104.0,1,left,MISS B. McGowens 25' 3PT,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
130,PT00M58.40S,2023-12-16T00:31:10.4Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,19,19,2023-12-16T00:31:24Z,1300000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:4),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,129.0,4.0,4.0,0.0,,,,,,,,,,,,,,
131,PT00M44.60S,2023-12-16T00:31:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,92.85479632063075,48.03921568627451,1610612740,19,21,2023-12-16T00:40:04Z,1310000,False,-10.0,15.0,1,right,T. Murphy III driving Layup (4 PTS),[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,1.77,Made,,,,,,,,,4.0,,,,,,,,,
132,PT00M36.10S,2023-12-16T00:31:40.6Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612766,19,21,2023-12-16T00:31:56Z,1320000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (McGowens 2 FT),"[1629627, 1631121]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,1.0,0.0,McGowens,1631121.0,,,,,
134,PT00M36.10S,2023-12-16T00:32:04.3Z,1,REGULAR,freethrow,1 of 2,[],1631121,,,1610612766,19,21,2023-12-16T00:32:04Z,1340000,False,,,0,,MISS B. McGowens Free Throw 1 of 2,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
135,PT00M36.10S,2023-12-16T00:32:04.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,19,21,2023-12-16T00:32:04Z,1350000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,
136,PT00M36.10S,2023-12-16T00:32:17.4Z,1,REGULAR,freethrow,2 of 2,[],1631121,,,1610612766,20,21,2023-12-16T00:32:17Z,1360000,False,,,0,,B. McGowens Free Throw 2 of 2 (1 PTS),[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
137,PT00M28.30S,2023-12-16T00:32:28.7Z,1,REGULAR,3pt,Jump Shot,[],1630230,67.49342969776609,67.64705882352942,1610612740,20,21,2023-12-16T00:32:34Z,1370000,False,88.0,253.0,1,right,MISS N. Marshall 26' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,26.8,Missed,,,,,,,,,,,,,,,,,,
138,PT00M24.30S,2023-12-16T00:32:32.7Z,1,REGULAR,rebound,defensive,[],1641877,,,1610612766,20,21,2023-12-16T00:32:34Z,1380000,False,,,0,,N. Mensah REBOUND (Off:1 Def:2),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Above the Break 3,24+ Right Center,,,137.0,3.0,2.0,1.0,,,,,,,,,,,,,,
139,PT00M03.90S,2023-12-16T00:32:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,31.09395532194481,63.23529411764706,1610612766,20,21,2023-12-16T00:41:02Z,1390000,False,-66.0,240.0,1,left,MISS M. Bridges 24' step back 3PT,[1628970],1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,24.88,Missed,,,,,,,,,,,,,,,,,,
140,PT00M01.20S,2023-12-16T00:32:55.6Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,20,21,2023-12-16T00:32:57Z,1400000,False,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Center,,,139.0,1.0,1.0,0.0,,,,,,,,,,,,,,
143,PT00M00.00S,2023-12-16T00:33:04.2Z,1,REGULAR,period,end,[],0,,,1610612740,20,21,2023-12-16T00:33:04Z,1430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,out,['startperiod'],202397,,,1610612740,20,21,2023-12-16T00:36:01Z,1440000,False,,,0,,SUB out: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612740,20,21,2023-12-16T00:36:01Z,1450000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,out,['startperiod'],1630230,,,1610612740,20,21,2023-12-16T00:36:01Z,1460000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,out,['startperiod'],1629627,,,1610612740,20,21,2023-12-16T00:36:01Z,1470000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,in,['startperiod'],1641706,,,1610612740,20,21,2023-12-16T00:36:01Z,1480000,False,,,0,,SUB in: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,in,['startperiod'],203468,,,1610612740,20,21,2023-12-16T00:36:01Z,1490000,False,,,0,,SUB in: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,in,['startperiod'],202685,,,1610612740,20,21,2023-12-16T00:36:01Z,1500000,False,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2023-12-16T00:33:08.8Z,2,REGULAR,substitution,in,['startperiod'],1630700,,,1610612740,20,21,2023-12-16T00:36:01Z,1510000,False,,,0,,SUB in: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2023-12-16T00:35:56.8Z,2,REGULAR,period,start,[],0,,,1610612766,20,21,2023-12-16T00:36:01Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT11M48.00S,2023-12-16T00:36:12.1Z,2,REGULAR,foul,offensive,[],1641877,,,1610612766,20,21,2023-12-16T00:36:24Z,1530000,False,,,0,,N. Mensah offensive FOUL (1 PF),"[1641877, 203468]",1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Above the Break 3,24+ Right Center,,,,,,,2003.0,,,,,1.0,0.0,McCollum,203468.0,,,,,
155,PT11M48.00S,2023-12-16T00:36:12.1Z,2,REGULAR,turnover,offensive foul,[],1641877,,,1610612766,20,21,2023-12-16T00:36:12Z,1550000,False,,,0,,N. Mensah offensive foul TURNOVER (1 TO),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Above the Break 3,24+ Right Center,,,,,,,2003.0,1.0,,,,,,,,,,,,
156,PT11M33.00S,2023-12-16T00:36:40.4Z,2,REGULAR,foul,personal,['2freethrow'],1641877,,,1610612740,20,21,2023-12-16T00:36:51Z,1560000,False,,,0,,N. Mensah shooting personal FOUL (2 PF) (Valanciunas 2 FT),"[1641877, 202685]",1610612766.0,CHA,shooting,,,Mensah,N. Mensah,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628953.0,,,,,2.0,0.0,Valanciunas,202685.0,,,,,
158,PT11M33.00S,2023-12-16T00:37:07.6Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],202685,,,1610612740,20,22,2023-12-16T00:37:07Z,1580000,False,,,0,,J. Valanciunas Free Throw 1 of 2 (3 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
159,PT11M33.00S,2023-12-16T00:37:26.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],202685,,,1610612740,20,23,2023-12-16T00:37:26Z,1590000,False,,,0,,J. Valanciunas Free Throw 2 of 2 (4 PTS),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
160,PT11M12.00S,2023-12-16T00:37:58.5Z,2,REGULAR,foul,personal,[],1630631,,,1610612766,20,23,2023-12-16T00:38:23Z,1600000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1631121]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628953.0,,,,,1.0,0.0,McGowens,1631121.0,,,,,
163,PT11M04.00S,2023-12-16T00:38:19.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,9.937582128777924,38.23529411764706,1610612766,20,23,2023-12-16T00:43:45Z,1620000,False,59.0,41.0,1,left,MISS T. Rozier 7' driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
164,PT11M02.00S,2023-12-16T00:38:21.4Z,2,REGULAR,rebound,defensive,[],202685,,,1610612740,20,23,2023-12-16T00:43:45Z,1630000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,163.0,5.0,5.0,0.0,,,,,,,,,,,,,,
165,PT10M51.00S,2023-12-16T00:38:32.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],202685,90.88370565045992,46.81372549019608,1610612740,20,25,2023-12-16T00:44:09Z,1640000,False,-16.0,33.0,1,right,J. Valanciunas driving Hook (6 PTS),[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.68,Made,,,,,,,,,6.0,,,,,,,,,
