actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
88,PT04M53.00S,2023-12-24T00:24:06.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,27.94021024967148,23.03921568627451,1610612743,16,15,2023-12-24T00:24:11Z,850000,False,135.0,210.0,1,left,M. Porter Jr. 24' 3PT  (3 PTS) (N. Jokic 3 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.96,Made,3.0,,,,,,,,N. Jokic,203999.0,3.0,,,,,,,
90,PT04M39.00S,2023-12-24T00:24:21.8Z,1,REGULAR,2pt,Jump Shot,[],1641706,83.65637319316689,74.26470588235294,1610612766,18,15,2023-12-24T00:24:26Z,870000,False,121.0,101.0,1,right,B. Miller 15' step back Jump Shot (4 PTS),[1641706],1610612766.0,CHA,step back,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,15.79,Made,4.0,,,,,,,,,,,,,,,,,
92,PT04M15.00S,2023-12-24T00:24:59.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,27.808804204993432,79.90196078431373,1610612743,18,18,2023-12-24T00:25:03Z,890000,False,-150.0,209.0,1,left,M. Porter Jr. 25' 3PT  (6 PTS) (N. Jokic 4 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.69,Made,6.0,,,,,,,,N. Jokic,203999.0,4.0,,,,,,,
94,PT04M05.00S,2023-12-24T00:25:11.1Z,1,REGULAR,turnover,bad pass,[],1641706,,,1610612766,18,18,2023-12-24T00:25:19Z,910000,False,,,0,,B. Miller bad pass TURNOVER (3 TO),"[1641706, 1627750]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,3.0,Murray,1627750.0,,,,
95,PT04M05.00S,2023-12-24T00:25:11.1Z,1,REGULAR,steal,,[],1627750,,,1610612743,18,18,2023-12-24T00:25:13Z,920000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
96,PT03M55.00S,2023-12-24T00:25:20.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629008,5.732588699080158,50.245098039215684,1610612743,18,20,2023-12-24T00:25:26Z,930000,False,-1.0,1.0,1,left,M. Porter Jr. alley-oop DUNK (8 PTS) (N. Jokic 5 AST),"[1629008, 203999]",1610612743.0,DEN,alley-oop,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.18,Made,8.0,,,,,,,,N. Jokic,203999.0,5.0,,,,,,,
98,PT03M34.00S,2023-12-24T00:25:41.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,66.17936925098554,58.82352941176471,1610612766,21,20,2023-12-24T00:25:47Z,950000,False,44.0,265.0,1,right,P. Washington 26' 3PT  (3 PTS) (N. Richards 1 AST),"[1629023, 1630208]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,26.9,Made,3.0,,,,,,,,N. Richards,1630208.0,1.0,,,,,,,
100,PT03M09.00S,2023-12-24T00:26:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.149145860709593,56.86274509803921,1610612743,21,20,2023-12-24T00:26:11Z,970000,False,-34.0,34.0,1,left,MISS A. Gordon Layup - blocked,"[203932, 1630208]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,4.79,Missed,,Richards,1630208.0,,,,,,,,,,,,,,,
101,PT03M09.00S,2023-12-24T00:26:06.6Z,1,REGULAR,block,,[],1630208,,,1610612743,21,20,2023-12-24T00:26:09Z,980000,False,,,0,,N. Richards BLOCK (3 BLK),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
102,PT03M07.00S,2023-12-24T00:26:08.6Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,21,20,2023-12-24T00:26:38Z,990000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,100.0,1.0,0.0,1.0,,,,,,,,,,,
103,PT03M07.00S,2023-12-24T00:26:13.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,38.32128777923784,34.80392156862745,1610612743,21,20,2023-12-24T00:27:11Z,1000000,False,76.0,308.0,1,left,MISS J. Murray 31' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,31.69,Missed,,,,,,,,,,,,,,,,,,
104,PT03M07.00S,2023-12-24T00:26:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,21,20,2023-12-24T00:27:11Z,1010000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,103.0,,,,,,,,,,,,,,
105,PT03M07.00S,2023-12-24T00:26:21.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,21,20,2023-12-24T00:26:29Z,1020000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,200834.0,,,,,,,,,,
106,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,out,[],203484,,,1610612766,21,20,2023-12-24T00:26:36Z,1030000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,out,[],1627750,,,1610612766,21,20,2023-12-24T00:26:36Z,1040000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,out,[],203932,,,1610612766,21,20,2023-12-24T00:26:36Z,1050000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,in,[],202704,,,1610612766,21,20,2023-12-24T00:26:36Z,1060000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,in,[],1631128,,,1610612766,21,20,2023-12-24T00:26:36Z,1070000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M07.00S,2023-12-24T00:26:24.5Z,1,REGULAR,substitution,in,[],1631212,,,1610612766,21,20,2023-12-24T00:26:36Z,1080000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M58.00S,2023-12-24T00:26:43.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,74.32654402102497,11.519607843137255,1610612766,21,20,2023-12-24T00:26:48Z,1090000,False,-192.0,189.0,1,right,MISS P. Washington 26' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,26.96,Missed,,,,,,,,,,,,,,,,,,
113,PT02M55.00S,2023-12-24T00:26:46.9Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,21,20,2023-12-24T00:26:48Z,1100000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,112.0,1.0,1.0,0.0,,,,,,,,,,,
114,PT02M52.00S,2023-12-24T00:26:55.1Z,1,REGULAR,foul,offensive,[],202704,,,1610612743,21,20,2023-12-24T00:32:43Z,1110000,False,,,0,,R. Jackson charge offensive FOUL (1 PF),"[202704, 1641733]",1610612743.0,DEN,charge,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,200834.0,,,,,,,1.0,0.0,Smith Jr.,1641733.0
116,PT02M52.00S,2023-12-24T00:26:55.1Z,1,REGULAR,turnover,offensive foul,[],202704,,,1610612743,21,20,2023-12-24T00:26:55Z,1130000,False,,,0,,R. Jackson offensive foul TURNOVER (1 TO),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,200834.0,,,,1.0,,,,,,
117,PT02M52.00S,2023-12-24T00:27:10.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,21,20,2023-12-24T00:27:10Z,1140000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M52.00S,2023-12-24T00:27:12.0Z,1,REGULAR,substitution,out,[],1630208,,,1610612766,21,20,2023-12-24T00:29:57Z,1150000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M52.00S,2023-12-24T00:27:12.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612766,21,20,2023-12-24T00:29:57Z,1160000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M52.00S,2023-12-24T00:27:12.0Z,1,REGULAR,substitution,in,[],1628970,,,1610612766,21,20,2023-12-24T00:29:57Z,1170000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M52.00S,2023-12-24T00:27:12.0Z,1,REGULAR,substitution,in,[],1631124,,,1610612766,21,20,2023-12-24T00:29:57Z,1180000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M40.00S,2023-12-24T00:30:09.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628998,82.34231274638634,72.54901960784314,1610612766,21,20,2023-12-24T00:30:15Z,1190000,False,113.0,113.0,1,right,MISS C. Martin 15' Jump Shot,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,15.99,Missed,,,,,,,,,,,,,,,,,,
123,PT02M38.00S,2023-12-24T00:30:11.0Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,21,20,2023-12-24T00:30:15Z,1200000,False,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Right Center,,,,,,122.0,2.0,2.0,0.0,,,,,,,,,,,
124,PT02M30.00S,2023-12-24T00:30:19.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202704,7.046649145860711,47.30392156862745,1610612743,21,20,2023-12-24T00:30:28Z,1210000,False,13.0,14.0,1,left,MISS R. Jackson driving Layup,[202704],1610612743.0,DEN,driving,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,,,,,,,,,
125,PT02M28.00S,2023-12-24T00:30:21.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,21,20,2023-12-24T00:30:28Z,1220000,False,,,0,,M. Bridges REBOUND (Off:2 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,124.0,4.0,2.0,2.0,,,,,,,,,,,
126,PT02M17.00S,2023-12-24T00:30:32.4Z,1,REGULAR,2pt,Jump Shot,[],1641733,75.77201051248358,46.32352941176471,1610612766,21,20,2023-12-24T00:30:39Z,1230000,False,-18.0,175.0,1,right,MISS N. Smith Jr. 17' step back Shot,[1641733],1610612766.0,CHA,step back,,,Smith Jr.,N. Smith Jr.,,,,,Mid-Range,16-24 Center,17.62,Missed,,,,,,,,,,,,,,,,,,
127,PT02M14.00S,2023-12-24T00:30:35.4Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,21,20,2023-12-24T00:30:39Z,1240000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Center,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,
128,PT02M07.00S,2023-12-24T00:30:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,7.835085413929041,51.71568627450981,1610612743,21,20,2023-12-24T00:30:49Z,1250000,False,-9.0,21.0,1,left,MISS C. Braun driving Layup - blocked,"[1631128, 1629023]",1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.28,Missed,,Washington,1629023.0,,,,,,,,,,,,,,,
129,PT02M07.00S,2023-12-24T00:30:44.3Z,1,REGULAR,block,,[],1629023,,,1610612743,21,20,2023-12-24T00:30:47Z,1260000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
130,PT02M07.00S,2023-12-24T00:30:44.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,21,20,2023-12-24T00:30:49Z,1270000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,128.0,,,,,,,,,,,,,,
132,PT01M55.00S,2023-12-24T00:31:09.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,14.14257555847569,49.754901960784316,1610612743,21,22,2023-12-24T00:31:17Z,1290000,False,1.0,80.0,1,left,N. Jokic 8' driving floating Jump Shot (2 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,8.04,Made,2.0,,,,,,,,,,,,,,,,,
133,PT01M46.00S,2023-12-24T00:31:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,91.67214191852825,46.81372549019608,1610612766,21,22,2023-12-24T00:34:45Z,1300000,False,-16.0,26.0,1,right,MISS B. Miller driving Layup - blocked,"[1641706, 1631212]",1610612766.0,CHA,driving,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,3.03,Missed,,Watson,1631212.0,,,,,,,,,,,,,,,
134,PT01M46.00S,2023-12-24T00:31:21.3Z,1,REGULAR,block,,[],1631212,,,1610612766,21,22,2023-12-24T00:31:23Z,1310000,False,,,0,,P. Watson BLOCK (1 BLK),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT01M44.00S,2023-12-24T00:31:23.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,21,22,2023-12-24T00:34:45Z,1320000,False,,,0,,N. Jokic REBOUND (Off:1 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,133.0,4.0,3.0,1.0,,,,,,,,,,,
136,PT01M38.00S,2023-12-24T00:31:27.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202704,28.465834428383708,75.98039215686273,1610612743,21,22,2023-12-24T00:35:22Z,1330000,False,-130.0,215.0,1,left,MISS R. Jackson 25' pullup 3PT,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,25.13,Missed,,,,,,,,,,,,,,,,,,
137,PT01M36.00S,2023-12-24T00:31:29.7Z,1,REGULAR,rebound,offensive,[],1631128,,,1610612743,21,22,2023-12-24T00:35:22Z,1340000,False,,,0,,C. Braun REBOUND (Off:1 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,136.0,2.0,1.0,1.0,,,,,,,,,,,
138,PT01M32.00S,2023-12-24T00:31:32.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631124,27.94021024967148,20.833333333333336,1610612743,21,25,2023-12-24T00:31:43Z,1350000,False,146.0,210.0,1,left,J. Strawther 25' 3PT  (3 PTS) (C. Braun 1 AST),"[1631124, 1631128]",1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Right Center,25.57,Made,3.0,,,,,,,,C. Braun,1631128.0,1.0,,,,,,,
140,PT01M20.00S,2023-12-24T00:31:45.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,72.7496714848883,84.06862745098039,1610612766,21,25,2023-12-24T00:31:48Z,1370000,False,170.0,204.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
141,PT01M18.00S,2023-12-24T00:31:47.0Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,21,25,2023-12-24T00:31:48Z,1380000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Right Center,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,
142,PT01M15.00S,2023-12-24T00:31:53.0Z,1,REGULAR,turnover,out-of-bounds,[],1631212,,,1610612743,21,25,2023-12-24T00:31:58Z,1390000,False,,,0,,P. Watson bad pass out-of-bounds TURNOVER (1 TO),[1631212],1610612743.0,DEN,bad pass,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201638.0,,,,1.0,,,,,,
143,PT01M15.00S,2023-12-24T00:31:56.8Z,1,REGULAR,substitution,out,[],1641706,,,1610612766,21,25,2023-12-24T00:32:03Z,1400000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT01M15.00S,2023-12-24T00:31:56.8Z,1,REGULAR,substitution,out,[],203999,,,1610612766,21,25,2023-12-24T00:32:03Z,1410000,False,,,0,,SUB out: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M15.00S,2023-12-24T00:31:56.8Z,1,REGULAR,substitution,in,[],1631121,,,1610612766,21,25,2023-12-24T00:32:03Z,1420000,False,,,0,,SUB in: B. McGowens,[1631121],1610612766.0,CHA,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M15.00S,2023-12-24T00:31:56.8Z,1,REGULAR,substitution,in,[],1630192,,,1610612766,21,25,2023-12-24T00:32:03Z,1430000,False,,,0,,SUB in: Z. Nnaji,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M03.00S,2023-12-24T00:32:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,93.38042049934296,53.67647058823529,1610612766,23,25,2023-12-24T00:32:31Z,1440000,False,18.0,10.0,1,right,M. Bridges driving Layup (6 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.08,Made,6.0,,,,,,,,,,,,,,,,,
148,PT01M03.00S,2023-12-24T00:32:30.1Z,1,REGULAR,foul,personal,['1freethrow'],1631212,,,1610612766,23,25,2023-12-24T00:32:46Z,1450000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Bridges 1 FT),"[1631212, 1628970]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,200834.0,,,,,,,1.0,0.0,Bridges,1628970.0
150,PT01M03.00S,2023-12-24T00:32:52.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628970,,,1610612766,24,25,2023-12-24T00:32:52Z,1470000,False,,,0,,M. Bridges Free Throw 1 of 1 (7 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
151,PT00M49.30S,2023-12-24T00:33:09.7Z,1,REGULAR,3pt,Jump Shot,[],1631124,30.56833114323259,76.22549019607843,1610612743,24,25,2023-12-24T00:33:16Z,1480000,False,-131.0,235.0,1,left,MISS J. Strawther 26' 3PT,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Left Center,26.89,Missed,,,,,,,,,,,,,,,,,,
152,PT00M46.40S,2023-12-24T00:33:12.6Z,1,REGULAR,rebound,offensive,[],1630192,,,1610612743,24,25,2023-12-24T00:33:16Z,1490000,False,,,0,,Z. Nnaji REBOUND (Off:1 Def:0),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Above the Break 3,24+ Left Center,,,,,,151.0,1.0,0.0,1.0,,,,,,,,,,,
153,PT00M43.90S,2023-12-24T00:33:20.2Z,1,REGULAR,foul,personal,[],1628998,,,1610612743,24,25,2023-12-24T00:33:30Z,1500000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628998, 202704]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627524.0,,,,,,,1.0,0.0,Jackson,202704.0
155,PT00M31.10S,2023-12-24T00:33:48.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202704,27.414586070959263,58.08823529411765,1610612743,24,25,2023-12-24T00:33:53Z,1520000,False,-40.0,205.0,1,left,MISS R. Jackson 20' pullup Shot,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Center,20.91,Missed,,,,,,,,,,,,,,,,,,
156,PT00M27.70S,2023-12-24T00:33:51.4Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,24,25,2023-12-24T00:33:53Z,1530000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Center,,,,,,155.0,1.0,1.0,0.0,,,,,,,,,,,
157,PT00M05.10S,2023-12-24T00:34:14.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,71.04139290407359,78.92156862745098,1610612766,27,25,2023-12-24T00:34:20Z,1540000,False,145.0,220.0,1,right,M. Bridges 26' 3PT pullup (10 PTS) (N. Smith Jr. 1 AST),"[1628970, 1641733]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.3,Made,10.0,,,,,,,,N. Smith Jr.,1641733.0,1.0,,,,,,,
159,PT00M00.20S,2023-12-24T00:34:28.2Z,1,REGULAR,3pt,Jump Shot,[],202704,33.327858081471746,38.23529411764706,1610612743,27,25,2023-12-24T00:38:34Z,1560000,False,59.0,261.0,1,left,MISS R. Jackson 26' pullup 3PT,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,,
160,PT00M00.10S,2023-12-24T00:34:28.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,27,25,2023-12-24T00:38:34Z,1570000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,159.0,,,,,,,,,,,,,,
161,PT00M00.00S,2023-12-24T00:34:32.7Z,1,REGULAR,period,end,[],0,,,1610612743,27,25,2023-12-24T00:34:32Z,1580000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2023-12-24T00:34:37.7Z,2,REGULAR,substitution,out,['startperiod'],1641733,,,1610612743,27,25,2023-12-24T00:37:22Z,1590000,False,,,0,,SUB out: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2023-12-24T00:34:37.7Z,2,REGULAR,substitution,out,['startperiod'],1628998,,,1610612743,27,25,2023-12-24T00:37:22Z,1600000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2023-12-24T00:34:37.7Z,2,REGULAR,substitution,in,['startperiod'],202397,,,1610612743,27,25,2023-12-24T00:37:22Z,1610000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2023-12-24T00:34:37.7Z,2,REGULAR,substitution,in,['startperiod'],1641877,,,1610612743,27,25,2023-12-24T00:37:22Z,1620000,False,,,0,,SUB in: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2023-12-24T00:37:18.2Z,2,REGULAR,period,start,[],0,,,1610612743,27,25,2023-12-24T00:37:22Z,1630000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PT11M49.00S,2023-12-24T00:37:28.2Z,2,REGULAR,3pt,Jump Shot,[],1631124,32.933639947437584,52.20588235294118,1610612743,27,28,2023-12-24T00:37:33Z,1640000,False,-11.0,257.0,1,left,J. Strawther 25' 3PT  (6 PTS) (R. Jackson 1 AST),"[1631124, 202704]",1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Center,25.73,Made,6.0,,,,,,,,R. Jackson,202704.0,1.0,,,,,,,
169,PT11M30.00S,2023-12-24T00:37:46.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629023,89.04402102496715,50.49019607843137,1610612766,27,28,2023-12-24T00:37:50Z,1660000,False,2.0,50.0,1,right,MISS P. Washington driving Hook,[1629023],1610612766.0,CHA,driving,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,5.06,Missed,,,,,,,,,,,,,,,,,,
170,PT11M27.00S,2023-12-24T00:37:49.4Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,27,28,2023-12-24T00:37:49Z,1670000,False,,,0,,C. Braun REBOUND (Off:1 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,169.0,3.0,2.0,1.0,,,,,,,,,,,
