actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
44,PT07M09.00S,2024-01-30T00:18:58.0Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,9,8,2024-01-30T00:18:58Z,440000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,
46,PT07M02.00S,2024-01-30T00:19:05.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628973,8.09789750328515,50.73529411764706,1610612752,9,10,2024-01-30T00:19:09Z,460000,False,-4.0,24.0,1,left,J. Brunson driving finger roll Layup (4 PTS) (J. Hart 1 AST),"[1628973, 1628404]",1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,2.39,Made,,,,,,,4.0,J. Hart,1628404.0,1.0,,,
48,PT06M50.00S,2024-01-30T00:19:17.6Z,1,REGULAR,3pt,Jump Shot,[],1628998,81.553876478318,94.6078431372549,1610612766,12,10,2024-01-30T00:29:22Z,480000,False,223.0,121.0,1,right,C. Martin 25' 3PT step back (3 PTS),[1628998],1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,25.37,Made,,,,,,,3.0,,,,,,
49,PT06M29.00S,2024-01-30T00:19:38.5Z,1,REGULAR,3pt,Jump Shot,[],1628404,27.414586070959263,18.872549019607842,1610612752,12,10,2024-01-30T00:19:44Z,490000,False,156.0,205.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,25.75,Missed,,,,,,,,,,,,,
50,PT06M26.00S,2024-01-30T00:19:41.5Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,12,10,2024-01-30T00:19:44Z,500000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,
51,PT06M15.00S,2024-01-30T00:19:52.4Z,1,REGULAR,turnover,bad pass,[],1629023,,,1610612766,12,10,2024-01-30T00:19:57Z,510000,False,,,0,,P. Washington bad pass TURNOVER (1 TO),"[1629023, 1628392]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Hartenstein,1628392.0
52,PT06M15.00S,2024-01-30T00:19:52.4Z,1,REGULAR,steal,,[],1628392,,,1610612752,12,10,2024-01-30T00:20:47Z,520000,False,,,0,,I. Hartenstein STEAL (2 STL),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT06M05.00S,2024-01-30T00:20:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628404,6.389618922470433,46.32352941176471,1610612752,12,12,2024-01-30T00:20:07Z,530000,False,18.0,8.0,1,left,J. Hart driving Layup (2 PTS) (D. DiVincenzo 1 AST),"[1628404, 1628978]",1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,1.99,Made,,,,,,,2.0,D. DiVincenzo,1628978.0,1.0,,,
55,PT05M45.00S,2024-01-30T00:20:25.1Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612766,12,12,2024-01-30T00:20:44Z,550000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Miller 2 FT),"[1628392, 1641706]",1610612752.0,NYK,shooting,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Right,1151.0,1.0,0.0,Miller,1641706.0,,,,,,,,,,,,,,,
57,PT05M45.00S,2024-01-30T00:20:56.5Z,1,REGULAR,freethrow,1 of 2,[],1641706,,,1610612766,13,12,2024-01-30T00:20:56Z,570000,False,,,0,,B. Miller Free Throw 1 of 2 (5 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,Made,,,,,,,5.0,,,,,,
