actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
93,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,in,[],203469,,,1610612762,9,11,2021-11-30T02:24:47Z,920000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,in,[],1626204,,,1610612762,9,11,2021-11-30T02:24:47Z,930000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M36.00S,2021-11-30T02:24:30.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612762,9,11,2021-11-30T02:24:47Z,940000,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M24.00S,2021-11-30T02:24:59.9Z,1,REGULAR,jumpball,recovered,[],202355,,,1610612762,9,11,2021-11-30T02:24:59Z,950000,,,0,,Jump Ball B. Bogdanovic vs. D. Lillard: Tip to H. Whiteside,"[202355, 202711, 203081]",1610612762.0,UTA,heldball,H. Whiteside,202355.0,Whiteside,H. Whiteside,Bogdanovic,202711.0,Lillard,203081.0,,,,,,,,,,,,,,,,,,,,,
100,PT04M21.00S,2021-11-30T02:25:03.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203903,78.05519053876479,23.06219362745098,1610612762,9,11,2021-11-30T02:25:17Z,980000,-135.0,154.0,1,right,MISS J. Clarkson 20' Jump Shot,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,20.44,Missed,,,,,,,,,,,,,,,,,
101,PT04M16.00S,2021-11-30T02:25:08.5Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,9,11,2021-11-30T02:25:09Z,990000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,100.0,1.0,1.0,0.0,,,,,,,,,,,,,
102,PT04M10.00S,2021-11-30T02:25:26.0Z,1,REGULAR,foul,personal,['2freethrow'],200752,,,1610612757,9,11,2021-11-30T02:25:39Z,1000000,,,0,,R. Gay shooting personal FOUL (2 PF) (Nance Jr. 2 FT),"[200752, 1626204]",1610612762.0,UTA,shooting,,,Gay,R. Gay,,,,,201639.0,,,,,,,,,,2.0,0.0,Nance Jr.,1626204.0,,,,,,,
104,PT04M10.00S,2021-11-30T02:25:41.9Z,1,REGULAR,freethrow,1 of 2,[],1626204,,,1610612757,9,12,2021-11-30T02:25:42Z,1020000,,,0,,L. Nance Jr. Free Throw 1 of 2 (1 PTS),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,
105,PT04M10.00S,2021-11-30T02:25:41.9Z,1,REGULAR,freethrow,2 of 2,[],1626204,,,1610612757,9,12,2021-11-30T02:26:02Z,1030000,,,0,,MISS L. Nance Jr. Free Throw 2 of 2,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,
106,PT04M08.00S,2021-11-30T02:25:43.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,9,12,2021-11-30T02:26:02Z,1040000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,
107,PT03M53.00S,2021-11-30T02:26:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200752,88.12417871222075,47.30392156862745,1610612762,11,12,2021-11-30T02:26:24Z,1050000,-13.0,59.0,1,right,R. Gay 6' driving finger roll Layup (2 PTS) (B. Bogdanovic 1 AST),"[200752, 202711]",1610612762.0,UTA,driving finger roll,,,Gay,R. Gay,,,,,,,6.06,Made,,,,,,,,,,,2.0,B. Bogdanovic,202711.0,1.0,,,
109,PT03M42.00S,2021-11-30T02:26:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,8.09789750328515,50.49019607843137,1610612757,11,14,2021-11-30T02:26:30Z,1070000,-2.0,24.0,1,left,C. Zeller Layup (2 PTS) (D. Lillard 2 AST),"[203469, 203081]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,2.37,Made,,,,,,,,,,,2.0,D. Lillard,203081.0,2.0,,,
111,PT03M18.00S,2021-11-30T02:26:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,89.17542706964521,52.69607843137255,1610612762,11,14,2021-11-30T02:26:56Z,1090000,13.0,49.0,1,right,MISS J. Clarkson Jump Shot - blocked,"[203903, 1629014]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,5.11,Missed,,,,,,,,,,,,,,,Simons,1629014.0,
112,PT03M18.00S,2021-11-30T02:26:50.0Z,1,REGULAR,block,,[],1629014,,,1610612762,11,14,2021-11-30T02:26:52Z,1100000,,,0,,A. Simons BLOCK (1 BLK),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M15.00S,2021-11-30T02:26:53.0Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,11,14,2021-11-30T02:26:56Z,1110000,,,0,,N. Little REBOUND (Off:0 Def:1),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,111.0,1.0,1.0,0.0,,,,,,,,,,,,,
114,PT03M10.00S,2021-11-30T02:26:59.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,22.683968462549277,88.23529411764706,1610612757,11,14,2021-11-30T02:27:06Z,1120000,-191.0,161.0,1,left,MISS A. Simons 24' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,24.98,Missed,,,,,,,,,,,,,,,,,
115,PT03M08.00S,2021-11-30T02:27:01.0Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,11,14,2021-11-30T02:27:10Z,1130000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,114.0,2.0,2.0,0.0,,,,,,,,,,,,,
116,PT03M04.00S,2021-11-30T02:27:13.6Z,1,REGULAR,foul,personal,[],203469,,,1610612762,11,14,2021-11-30T02:27:26Z,1140000,,,0,,C. Zeller personal FOUL (1 PF),"[203469, 200752]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,202026.0,,,,,,,,,,1.0,0.0,Gay,200752.0,,,,,,,
118,PT02M55.00S,2021-11-30T02:27:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,81.68528252299606,59.068627450980394,1610612762,11,14,2021-11-30T02:27:37Z,1160000,45.0,120.0,1,right,MISS D. Mitchell 12' pullup Shot,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,,,12.8,Missed,,,,,,,,,,,,,,,,,
119,PT02M51.00S,2021-11-30T02:27:35.7Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,11,14,2021-11-30T02:27:37Z,1170000,,,0,,H. Whiteside REBOUND (Off:1 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,118.0,2.0,1.0,1.0,,,,,,,,,,,,,
120,PT02M51.00S,2021-11-30T02:27:35.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202355,90.88370565045992,55.88235294117647,1610612762,11,14,2021-11-30T02:27:41Z,1180000,29.0,33.0,1,right,MISS H. Whiteside Layup,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,4.43,Missed,,,,,,,,,,,,,,,,,
121,PT02M51.00S,2021-11-30T02:27:35.5Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,11,14,2021-11-30T02:27:41Z,1190000,,,0,,N. Little REBOUND (Off:0 Def:2),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,120.0,2.0,2.0,0.0,,,,,,,,,,,,,
122,PT02M43.00S,2021-11-30T02:27:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629642,9.017739816031538,46.568627450980394,1610612757,11,16,2021-11-30T02:27:49Z,1200000,17.0,32.0,1,left,N. Little driving Layup (2 PTS) (D. Lillard 3 AST),"[1629642, 203081]",1610612757.0,POR,driving,,,Little,N. Little,,,,,,,3.66,Made,,,,,,,,,,,2.0,D. Lillard,203081.0,3.0,,,
124,PT02M28.00S,2021-11-30T02:27:59.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202355,90.09526938239159,46.81372549019608,1610612762,13,16,2021-11-30T02:28:03Z,1220000,-16.0,41.0,1,right,H. Whiteside Layup (2 PTS) (D. Mitchell 2 AST),"[202355, 1628378]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,4.36,Made,,,,,,,,,,,2.0,D. Mitchell,1628378.0,2.0,,,
126,PT02M10.00S,2021-11-30T02:28:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203469,9.149145860709593,48.77450980392157,1610612757,13,18,2021-11-30T02:28:22Z,1240000,6.0,34.0,1,left,C. Zeller driving Layup (4 PTS) (N. Little 1 AST),"[203469, 1629642]",1610612757.0,POR,driving,,,Zeller,C. Zeller,,,,,,,3.41,Made,,,,,,,,,,,4.0,N. Little,1629642.0,1.0,,,
128,PT01M50.00S,2021-11-30T02:28:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202355,87.86136662286465,50.0,1610612762,13,18,2021-11-30T02:28:40Z,1260000,0.0,62.0,1,right,MISS H. Whiteside 6' floating Shot,[202355],1610612762.0,UTA,floating,,,Whiteside,H. Whiteside,,,,,,,6.16,Missed,,,,,,,,,,,,,,,,,
129,PT01M47.00S,2021-11-30T02:28:39.7Z,1,REGULAR,rebound,defensive,[],1629642,,,1610612757,13,18,2021-11-30T02:28:40Z,1270000,,,0,,N. Little REBOUND (Off:0 Def:3),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,128.0,3.0,3.0,0.0,,,,,,,,,,,,,
130,PT01M42.00S,2021-11-30T02:28:44.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629014,9.543363994743759,3.431372549019608,1610612757,13,21,2021-11-30T02:28:49Z,1280000,233.0,37.0,1,left,A. Simons 3PT  (3 PTS) (N. Little 2 AST),"[1629014, 1629642]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,23.58,Made,,,,,,,,,,,3.0,N. Little,1629642.0,2.0,,,
132,PT01M42.00S,2021-11-30T02:28:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,13,21,2021-11-30T02:28:50Z,1300000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,out,[],202355,,,1610612762,13,21,2021-11-30T02:31:32Z,1310000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,out,[],202711,,,1610612762,13,21,2021-11-30T02:31:32Z,1320000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,out,[],1628378,,,1610612762,13,21,2021-11-30T02:31:32Z,1330000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,out,[],203081,,,1610612762,13,21,2021-11-30T02:31:32Z,1340000,,,0,,SUB out: D. Lillard,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,in,[],201144,,,1610612762,13,21,2021-11-30T02:31:32Z,1350000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,in,[],204060,,,1610612762,13,21,2021-11-30T02:31:32Z,1360000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,in,[],203497,,,1610612762,13,21,2021-11-30T02:31:32Z,1370000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M42.00S,2021-11-30T02:30:26.6Z,1,REGULAR,substitution,in,[],203468,,,1610612762,13,21,2021-11-30T02:31:32Z,1380000,,,0,,SUB in: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT01M29.00S,2021-11-30T02:31:57.1Z,1,REGULAR,3pt,Jump Shot,[],204060,69.07030223390277,72.05882352941177,1610612762,16,21,2021-11-30T02:32:02Z,1390000,110.0,238.0,1,right,J. Ingles 26' 3PT  (3 PTS) (R. Gay 1 AST),"[204060, 200752]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,26.25,Made,,,,,,,,,,,3.0,R. Gay,200752.0,1.0,,,
143,PT01M04.00S,2021-11-30T02:32:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,7.046649145860711,55.88235294117647,1610612757,16,21,2021-11-30T02:32:26Z,1410000,-29.0,14.0,1,left,MISS A. Simons driving Layup,[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,,,3.24,Missed,,,,,,,,,,,,,,,,,
144,PT01M02.00S,2021-11-30T02:32:23.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,16,21,2021-11-30T02:32:26Z,1420000,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,143.0,5.0,5.0,0.0,,,,,,,,,,,,,
145,PT00M49.40S,2021-11-30T02:32:36.5Z,1,REGULAR,3pt,Jump Shot,[],203903,83.26215505913272,2.941176470588235,1610612762,19,21,2021-11-30T02:32:41Z,1430000,-235.0,105.0,1,right,J. Clarkson 25' 3PT  (3 PTS) (M. Conley 1 AST),"[203903, 201144]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,25.76,Made,,,,,,,,,,,3.0,M. Conley,201144.0,1.0,,,
147,PT00M39.00S,2021-11-30T02:32:50.1Z,1,REGULAR,3pt,Jump Shot,[],203468,24.78646517739816,86.27450980392157,1610612757,19,21,2021-11-30T02:32:54Z,1450000,-181.0,180.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,25.59,Missed,,,,,,,,,,,,,,,,,
148,PT00M37.20S,2021-11-30T02:32:51.9Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,19,21,2021-11-30T02:32:54Z,1460000,,,0,,R. Gay REBOUND (Off:0 Def:3),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,147.0,3.0,3.0,0.0,,,,,,,,,,,,,
149,PT00M29.40S,2021-11-30T02:32:59.6Z,1,REGULAR,3pt,Jump Shot,[],203903,58.820630749014455,50.73529411764706,1610612762,19,21,2021-11-30T02:33:05Z,1470000,4.0,335.0,1,right,MISS J. Clarkson 33' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,33.46,Missed,,,,,,,,,,,,,,,,,
150,PT00M27.20S,2021-11-30T02:33:01.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,19,21,2021-11-30T02:33:05Z,1480000,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,,,,
151,PT00M27.20S,2021-11-30T02:33:04.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,19,21,2021-11-30T02:33:04Z,1490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT00M07.30S,2021-11-30T02:33:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,15.456636005256241,37.99019607843137,1610612757,19,21,2021-11-30T02:38:21Z,1500000,60.0,93.0,1,left,MISS C. McCollum 11' driving floating Shot,[203468],1610612757.0,POR,driving floating,,,McCollum,C. McCollum,,,,,,,11.05,Missed,,,,,,,,,,,,,,,,,
153,PT00M05.80S,2021-11-30T02:33:35.4Z,1,REGULAR,rebound,offensive,[],203468,,,1610612757,19,21,2021-11-30T02:33:38Z,1510000,,,0,,C. McCollum REBOUND (Off:1 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,152.0,2.0,1.0,1.0,,,,,,,,,,,,,
154,PT00M05.80S,2021-11-30T02:33:36.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203468,7.178055190538765,45.34313725490196,1610612757,19,23,2021-11-30T02:33:43Z,1520000,23.0,15.0,1,left,C. McCollum putback Layup (9 PTS),[203468],1610612757.0,POR,putback,,,McCollum,C. McCollum,,,,,,,2.77,Made,,,,,,,,,,,9.0,,,,,,
155,PT00M02.70S,2021-11-30T02:33:45.3Z,1,REGULAR,foul,personal,[],1629014,,,1610612762,19,23,2021-11-30T02:33:58Z,1530000,,,0,,A. Simons take personal FOUL (1 PF),"[1629014, 201144]",1610612757.0,POR,take,,,Simons,A. Simons,,,,,201639.0,,,,,,,,,,1.0,0.0,Conley,201144.0,,,,,,,
157,PT00M00.60S,2021-11-30T02:34:09.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,90.3580814717477,50.0,1610612762,21,23,2021-11-30T02:34:15Z,1550000,0.0,38.0,1,right,R. Gobert cutting DUNK (6 PTS) (J. Clarkson 1 AST),"[203497, 203903]",1610612762.0,UTA,cutting,,,Gobert,R. Gobert,,,,,,,3.81,Made,,,,,,,,,,,6.0,J. Clarkson,203903.0,1.0,,,
159,PT00M00.00S,2021-11-30T02:34:19.0Z,1,REGULAR,period,end,[],0,,,1610612757,21,23,2021-11-30T02:34:19Z,1570000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2021-11-30T02:36:55.9Z,2,REGULAR,period,start,[],0,,,1610612762,21,23,2021-11-30T02:36:55Z,1580000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M45.00S,2021-11-30T02:37:10.8Z,2,REGULAR,3pt,Jump Shot,[],200752,93.24901445466492,96.56862745098039,1610612762,21,23,2021-11-30T02:37:16Z,1590000,233.0,11.0,1,right,MISS R. Gay 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,23.31,Missed,,,,,,,,,,,,,,,,,
162,PT11M42.00S,2021-11-30T02:37:13.8Z,2,REGULAR,rebound,defensive,[],203469,,,1610612757,21,23,2021-11-30T02:37:16Z,1600000,,,0,,C. Zeller REBOUND (Off:0 Def:1),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,161.0,1.0,1.0,0.0,,,,,,,,,,,,,
163,PT11M35.00S,2021-11-30T02:37:20.0Z,2,REGULAR,2pt,Jump Shot,[],1629014,10.33180026281209,15.441176470588236,1610612757,21,25,2021-11-30T02:37:26Z,1610000,173.0,45.0,1,left,A. Simons 17' pullup Jump Shot (5 PTS),[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,,,17.85,Made,,,,,,,,,,,5.0,,,,,,
164,PT11M27.00S,2021-11-30T02:37:30.1Z,2,REGULAR,foul,personal,[],203469,,,1610612762,21,25,2021-11-30T02:37:38Z,1620000,,,0,,C. Zeller personal FOUL (2 PF),"[203469, 203903]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,201639.0,,,,,,,,,,2.0,0.0,Clarkson,203903.0,,,,,,,
166,PT11M17.00S,2021-11-30T02:37:58.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,94.43166885676742,54.166666666666664,1610612762,23,25,2021-11-30T02:38:03Z,1640000,21.0,0.0,1,right,R. Gobert alley-oop DUNK (8 PTS) (M. Conley 2 AST),"[203497, 201144]",1610612762.0,UTA,alley-oop,,,Gobert,R. Gobert,,,,,,,2.08,Made,,,,,,,,,,,8.0,M. Conley,201144.0,2.0,,,
168,PT10M57.00S,2021-11-30T02:38:18.6Z,2,REGULAR,3pt,Jump Shot,[],1629642,10.85742444152431,2.941176470588235,1610612757,23,25,2021-11-30T02:38:22Z,1660000,235.0,50.0,1,left,MISS N. Little 24' 3PT,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,24.05,Missed,,,,,,,,,,,,,,,,,
169,PT10M54.00S,2021-11-30T02:38:21.6Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,23,25,2021-11-30T02:38:22Z,1670000,,,0,,R. Gobert REBOUND (Off:0 Def:6),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,168.0,6.0,6.0,0.0,,,,,,,,,,,,,
170,PT10M40.00S,2021-11-30T02:38:34.5Z,2,REGULAR,3pt,Jump Shot,[],200752,91.93495400788436,95.09803921568627,1610612762,23,25,2021-11-30T02:38:39Z,1680000,225.0,23.0,1,right,MISS R. Gay 3PT,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,22.67,Missed,,,,,,,,,,,,,,,,,
171,PT10M38.00S,2021-11-30T02:38:36.5Z,2,REGULAR,rebound,defensive,[],1629642,,,1610612757,23,25,2021-11-30T02:38:39Z,1690000,,,0,,N. Little REBOUND (Off:0 Def:4),[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,170.0,4.0,4.0,0.0,,,,,,,,,,,,,
172,PT10M22.00S,2021-11-30T02:38:53.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203469,7.5722733245729295,56.127450980392155,1610612757,23,25,2021-11-30T02:38:57Z,1700000,-31.0,19.0,1,left,MISS C. Zeller Layup,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,3.59,Missed,,,,,,,,,,,,,,,,,
173,PT10M20.00S,2021-11-30T02:38:55.1Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,23,25,2021-11-30T02:38:57Z,1710000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,
174,PT10M11.00S,2021-11-30T02:39:04.7Z,2,REGULAR,3pt,Jump Shot,[],201144,71.43561103810775,77.94117647058823,1610612762,23,25,2021-11-30T02:39:09Z,1720000,140.0,216.0,1,right,MISS M. Conley 25' step back 3PT,[201144],1610612762.0,UTA,step back,,,Conley,M. Conley,,,,,,,25.72,Missed,,,,,,,,,,,,,,,,,
175,PT10M08.00S,2021-11-30T02:39:07.7Z,2,REGULAR,rebound,defensive,[],203469,,,1610612757,23,25,2021-11-30T02:39:09Z,1730000,,,0,,C. Zeller REBOUND (Off:0 Def:2),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,174.0,2.0,2.0,0.0,,,,,,,,,,,,,
176,PT09M55.00S,2021-11-30T02:39:19.6Z,2,REGULAR,3pt,Jump Shot,[],1626204,7.835085413929041,95.58823529411765,1610612757,23,25,2021-11-30T02:39:24Z,1740000,-228.0,21.0,1,left,MISS L. Nance Jr. 3PT,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,22.89,Missed,,,,,,,,,,,,,,,,,
177,PT09M53.00S,2021-11-30T02:39:21.6Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,23,25,2021-11-30T02:39:24Z,1750000,,,0,,R. Gobert REBOUND (Off:0 Def:7),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,176.0,7.0,7.0,0.0,,,,,,,,,,,,,
178,PT09M44.00S,2021-11-30T02:39:31.3Z,2,REGULAR,3pt,Jump Shot,[],204060,93.24901445466492,96.56862745098039,1610612762,23,25,2021-11-30T02:39:36Z,1760000,233.0,11.0,1,right,MISS J. Ingles 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,23.31,Missed,,,,,,,,,,,,,,,,,
179,PT09M42.00S,2021-11-30T02:39:33.8Z,2,REGULAR,rebound,offensive,[],203497,,,1610612762,23,25,2021-11-30T02:39:33Z,1770000,,,0,,R. Gobert REBOUND (Off:1 Def:7),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,178.0,8.0,7.0,1.0,,,,,,,,,,,,,
180,PT09M40.00S,2021-11-30T02:39:35.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203903,75.1149802890933,10.049019607843137,1610612762,26,25,2021-11-30T02:39:41Z,1780000,-200.0,181.0,1,right,J. Clarkson 26' 3PT  (6 PTS) (R. Gobert 1 AST),"[203903, 203497]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,26.99,Made,,,,,,,,,,,6.0,R. Gobert,203497.0,1.0,,,
182,PT09M13.00S,2021-11-30T02:40:02.1Z,2,REGULAR,3pt,Jump Shot,[],1629014,26.363337713534822,18.38235294117647,1610612757,26,25,2021-11-30T02:40:07Z,1800000,158.0,195.0,1,left,MISS A. Simons 25' step back 3PT,[1629014],1610612757.0,POR,step back,,,Simons,A. Simons,,,,,,,25.13,Missed,,,,,,,,,,,,,,,,,
183,PT09M10.00S,2021-11-30T02:40:05.1Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,26,25,2021-11-30T02:40:07Z,1810000,,,0,,R. Gobert REBOUND (Off:1 Def:8),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,182.0,9.0,8.0,1.0,,,,,,,,,,,,,
184,PT09M05.00S,2021-11-30T02:40:11.7Z,2,REGULAR,foul,personal,['2freethrow'],203468,,,1610612762,26,25,2021-11-30T02:40:22Z,1820000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Gay 2 FT),"[203468, 200752]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,1628951.0,,,,,,,,,,1.0,0.0,Gay,200752.0,,,,,,,
186,PT09M05.00S,2021-11-30T02:40:40.7Z,2,REGULAR,freethrow,1 of 2,[],200752,,,1610612762,26,25,2021-11-30T02:40:43Z,1840000,,,0,,MISS R. Gay Free Throw 1 of 2,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,Missed,,,,,,,,,,,,,,,,,
