actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
96,PT04M19.00S,2021-12-04T02:26:59.4Z,1,REGULAR,turnover,out-of-bounds,[],1626220,,,1610612762,25,16,2021-12-04T02:27:07Z,950000,,,0,,R. O'Neale bad pass out-of-bounds TURNOVER (1 TO),[1626220],1610612762.0,UTA,bad pass,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,2004.0,,,,,1.0,,,,,
97,PT04M03.00S,2021-12-04T02:27:30.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203471,77.61169513797634,25.735294117647058,1610612738,25,18,2021-12-04T02:27:35Z,960000,-121.0,158.0,1,right,D. Schroder 19' pullup Jump Shot (5 PTS) (A. Horford 3 AST),"[203471, 201143]",1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,19.92,Made,5.0,,,,,A. Horford,201143.0,3.0,,,,,,,,,,,
98,PT03M51.00S,2021-12-04T02:27:40.9Z,1,REGULAR,3pt,Jump Shot,[],202711,7.966491458607096,3.9215686274509802,1610612762,28,18,2021-12-04T02:27:46Z,970000,230.0,22.0,1,left,B. Bogdanovic 3PT  (5 PTS) (D. Mitchell 2 AST),"[202711, 1628378]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,23.15,Made,5.0,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,,,,
101,PT03M29.00S,2021-12-04T02:28:02.6Z,1,REGULAR,3pt,Jump Shot,[],201143,67.49342969776609,48.03921568627451,1610612738,28,18,2021-12-04T02:28:07Z,990000,-10.0,253.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.33,Missed,,,,,,,,,,,,,,,,,,,
102,PT03M27.00S,2021-12-04T02:28:04.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,28,18,2021-12-04T02:28:07Z,1000000,,,0,,R. O'Neale REBOUND (Off:0 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,101.0,3.0,3.0,0.0,,,,,,,,,,,,,,
103,PT03M21.00S,2021-12-04T02:28:10.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,32.802233902759525,61.029411764705884,1610612762,28,18,2021-12-04T02:28:16Z,1010000,-55.0,256.0,1,left,MISS D. Mitchell 26' pullup 3PT,[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,,
104,PT03M19.00S,2021-12-04T02:28:12.7Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612762,28,18,2021-12-04T02:28:16Z,1020000,,,0,,R. O'Neale REBOUND (Off:1 Def:3),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,103.0,4.0,3.0,1.0,,,,,,,,,,,,,,
105,PT03M19.00S,2021-12-04T02:28:14.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626220,7.5722733245729295,49.26470588235294,1610612762,30,18,2021-12-04T02:28:23Z,1030000,4.0,19.0,1,left,R. O'Neale tip Layup (2 PTS),[1626220],1610612762.0,UTA,tip,,,O'Neale,R. O'Neale,,,,,1.91,Made,2.0,,,,,,,,,,,,,,,,,,
106,PT03M19.00S,2021-12-04T02:28:20.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,30,18,2021-12-04T02:28:20Z,1040000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,out,[],202355,,,1610612738,30,18,2021-12-04T02:31:16Z,1050000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,out,[],1626220,,,1610612738,30,18,2021-12-04T02:31:16Z,1060000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,out,[],202711,,,1610612738,30,18,2021-12-04T02:31:16Z,1070000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,out,[],1628378,,,1610612738,30,18,2021-12-04T02:31:16Z,1080000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,30,18,2021-12-04T02:31:16Z,1090000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,in,[],200752,,,1610612738,30,18,2021-12-04T02:31:16Z,1100000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,in,[],203903,,,1610612738,30,18,2021-12-04T02:31:16Z,1110000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,in,[],203497,,,1610612738,30,18,2021-12-04T02:31:16Z,1120000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,in,[],201144,,,1610612738,30,18,2021-12-04T02:31:16Z,1130000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT03M19.00S,2021-12-04T02:30:45.7Z,1,REGULAR,substitution,in,[],202683,,,1610612738,30,18,2021-12-04T02:31:16Z,1140000,,,0,,SUB in: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M59.00S,2021-12-04T02:31:32.7Z,1,REGULAR,turnover,bad pass,[],1626196,,,1610612738,30,18,2021-12-04T02:31:36Z,1150000,,,0,,J. Richardson bad pass TURNOVER (1 TO),"[1626196, 203497]",1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,1.0,Gobert,203497.0,,,
118,PT02M59.00S,2021-12-04T02:31:32.7Z,1,REGULAR,steal,,[],203497,,,1610612762,30,18,2021-12-04T02:31:34Z,1160000,,,0,,R. Gobert STEAL (1 STL),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M56.00S,2021-12-04T02:31:35.9Z,1,REGULAR,turnover,lost ball,[],203497,,,1610612762,30,18,2021-12-04T02:31:40Z,1170000,,,0,,R. Gobert lost ball TURNOVER (1 TO),"[203497, 203471]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,1.0,Schroder,203471.0,,,
120,PT02M56.00S,2021-12-04T02:31:35.9Z,1,REGULAR,steal,,[],203471,,,1610612738,30,18,2021-12-04T02:31:37Z,1180000,,,0,,D. Schroder STEAL (1 STL),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M56.00S,2021-12-04T02:31:40.2Z,1,REGULAR,foul,personal,[],204060,,,1610612738,30,18,2021-12-04T02:31:54Z,1190000,,,0,,J. Ingles take personal FOUL (2 PF),"[204060, 203471]",1610612762.0,UTA,take,,,Ingles,J. Ingles,,,,,,,,,,,,,,,1201.0,2.0,0.0,Schroder,203471.0,,,,,,
123,PT02M46.00S,2021-12-04T02:32:14.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,70.51576872536137,27.205882352941174,1610612738,30,21,2021-12-04T02:32:19Z,1210000,-114.0,225.0,1,right,D. Schroder 25' 3PT  (8 PTS),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,25.2,Made,8.0,,,,,,,,,,,,,,,,,,
124,PT02M28.00S,2021-12-04T02:32:31.8Z,1,REGULAR,3pt,Jump Shot,[],203903,32.013797634691194,56.372549019607845,1610612762,30,21,2021-12-04T02:32:36Z,1220000,-32.0,248.0,1,left,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
125,PT02M26.00S,2021-12-04T02:32:33.8Z,1,REGULAR,rebound,defensive,[],202683,,,1610612738,30,21,2021-12-04T02:32:36Z,1230000,,,0,,E. Freedom REBOUND (Off:0 Def:1),[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT02M17.00S,2021-12-04T02:32:43.5Z,1,REGULAR,3pt,Jump Shot,[],203471,66.96780551905388,49.26470588235294,1610612738,30,21,2021-12-04T02:33:57Z,1240000,-4.0,258.0,1,right,MISS D. Schroder 25' pullup 3PT,[203471],1610612738.0,BOS,pullup,,,Schroder,D. Schroder,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,,
127,PT02M14.00S,2021-12-04T02:32:46.5Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,30,21,2021-12-04T02:32:48Z,1250000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,126.0,1.0,1.0,0.0,,,,,,,,,,,,,,
128,PT02M04.00S,2021-12-04T02:32:55.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,12.959921156373195,49.26470588235294,1610612762,30,21,2021-12-04T02:33:00Z,1260000,4.0,69.0,1,left,MISS M. Conley 6' floating Shot,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,6.94,Missed,,,,,,,,,,,,,,,,,,,
129,PT02M03.00S,2021-12-04T02:32:56.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,30,21,2021-12-04T02:33:00Z,1270000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,
130,PT02M03.00S,2021-12-04T02:33:00.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,30,21,2021-12-04T02:33:00Z,1280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M03.00S,2021-12-04T02:33:04.3Z,1,REGULAR,substitution,out,[],1629684,,,1610612762,30,21,2021-12-04T02:33:11Z,1290000,,,0,,SUB out: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M03.00S,2021-12-04T02:33:04.3Z,1,REGULAR,substitution,out,[],203471,,,1610612762,30,21,2021-12-04T02:33:11Z,1300000,,,0,,SUB out: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M03.00S,2021-12-04T02:33:04.3Z,1,REGULAR,substitution,in,[],1628369,,,1610612762,30,21,2021-12-04T02:33:11Z,1310000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M03.00S,2021-12-04T02:33:04.3Z,1,REGULAR,substitution,in,[],203935,,,1610612762,30,21,2021-12-04T02:33:11Z,1320000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M56.00S,2021-12-04T02:33:30.2Z,1,REGULAR,turnover,traveling,[],203497,,,1610612762,30,21,2021-12-04T02:33:36Z,1330000,,,0,,R. Gobert traveling TURNOVER (2 TO),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,2004.0,,,,,2.0,,,,,
136,PT01M46.00S,2021-12-04T02:33:56.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,67.36202365308804,50.49019607843137,1610612738,30,21,2021-12-04T02:34:03Z,1340000,2.0,254.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
137,PT01M44.00S,2021-12-04T02:33:58.2Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,30,21,2021-12-04T02:34:03Z,1350000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
138,PT01M41.00S,2021-12-04T02:34:01.5Z,1,REGULAR,turnover,bad pass,[],200752,,,1610612762,30,21,2021-12-04T02:34:06Z,1360000,,,0,,R. Gay bad pass TURNOVER (1 TO),"[200752, 1626196]",1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,1.0,Richardson,1626196.0,,,
139,PT01M41.00S,2021-12-04T02:34:01.5Z,1,REGULAR,steal,,[],1626196,,,1610612738,30,21,2021-12-04T02:34:04Z,1370000,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT01M37.00S,2021-12-04T02:34:04.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626196,91.27792378449409,49.50980392156863,1610612738,30,23,2021-12-04T02:34:11Z,1380000,-2.0,29.0,1,right,J. Richardson DUNK (4 PTS),[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,2.96,Made,4.0,,,,,,,,,,,,,,,,,,
141,PT01M18.00S,2021-12-04T02:34:25.9Z,1,REGULAR,3pt,Jump Shot,[],203903,31.488173455978973,68.13725490196079,1610612762,33,23,2021-12-04T02:34:31Z,1390000,-91.0,243.0,1,left,J. Clarkson 25' 3PT  (3 PTS) (M. Conley 1 AST),"[203903, 201144]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,25.98,Made,3.0,,,,,M. Conley,201144.0,1.0,,,,,,,,,,,
143,PT01M04.00S,2021-12-04T02:34:38.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.30420499342969,25.0,1610612738,33,23,2021-12-04T02:37:02Z,1410000,-125.0,217.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,,
144,PT01M02.00S,2021-12-04T02:34:40.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,33,23,2021-12-04T02:34:43Z,1420000,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,143.0,4.0,3.0,1.0,,,,,,,,,,,,,,
145,PT00M50.70S,2021-12-04T02:34:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,11.383048620236531,54.90196078431373,1610612762,35,23,2021-12-04T02:34:57Z,1430000,-25.0,55.0,1,left,J. Clarkson turnaround Jump Shot (5 PTS),[203903],1610612762.0,UTA,turnaround,,,Clarkson,J. Clarkson,,,,,5.98,Made,5.0,,,,,,,,,,,,,,,,,,
146,PT00M39.20S,2021-12-04T02:35:07.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202683,89.17542706964521,46.568627450980394,1610612738,35,23,2021-12-04T02:35:10Z,1440000,-17.0,49.0,1,right,MISS E. Freedom Layup - blocked,"[202683, 203497]",1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,5.22,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0,
147,PT00M39.20S,2021-12-04T02:35:07.0Z,1,REGULAR,block,,[],203497,,,1610612738,35,23,2021-12-04T02:35:08Z,1450000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT00M36.50S,2021-12-04T02:35:09.7Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,35,23,2021-12-04T02:35:10Z,1460000,,,0,,J. Ingles REBOUND (Off:0 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,146.0,2.0,2.0,0.0,,,,,,,,,,,,,,
149,PT00M32.80S,2021-12-04T02:35:13.4Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,35,23,2021-12-04T02:35:18Z,1470000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203935]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
150,PT00M32.80S,2021-12-04T02:35:13.4Z,1,REGULAR,steal,,[],203935,,,1610612738,35,23,2021-12-04T02:35:15Z,1480000,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M27.30S,2021-12-04T02:35:19.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629641,91.27792378449409,51.71568627450981,1610612738,35,25,2021-12-04T02:35:24Z,1490000,9.0,29.0,1,right,R. Langford DUNK (2 PTS) (J. Richardson 1 AST),"[1629641, 1626196]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,3.07,Made,2.0,,,,,J. Richardson,1626196.0,1.0,,,,,,,,,,,
153,PT00M07.80S,2021-12-04T02:35:46.0Z,1,REGULAR,3pt,Jump Shot,[],200752,19.136005256241788,6.372549019607843,1610612762,38,25,2021-12-04T02:35:52Z,1510000,218.0,127.0,1,left,R. Gay 25' 3PT pullup (3 PTS) (J. Ingles 1 AST),"[200752, 204060]",1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,25.26,Made,3.0,,,,,J. Ingles,204060.0,1.0,,,,,,,,,,,
155,PT00M00.00S,2021-12-04T02:36:00.4Z,1,REGULAR,period,end,[],0,,,1610612738,38,25,2021-12-04T02:36:00Z,1530000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2021-12-04T02:37:54.0Z,2,REGULAR,substitution,out,['startperiod'],202683,,,1610612738,38,25,2021-12-04T02:38:40Z,1540000,,,0,,SUB out: E. Freedom,[202683],1610612738.0,BOS,,,,Freedom,E. Freedom,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2021-12-04T02:37:54.0Z,2,REGULAR,substitution,in,['startperiod'],201143,,,1610612738,38,25,2021-12-04T02:38:40Z,1550000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2021-12-04T02:38:46.6Z,2,REGULAR,period,start,[],0,,,1610612738,38,25,2021-12-04T02:38:46Z,1560000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT11M43.00S,2021-12-04T02:39:02.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,91.40932982917214,47.05882352941176,1610612738,38,27,2021-12-04T02:39:09Z,1570000,-15.0,28.0,1,right,R. Langford driving Layup (4 PTS) (J. Tatum 1 AST),"[1629641, 1628369]",1610612738.0,BOS,driving,,,Langford,R. Langford,,,,,3.19,Made,4.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,,
161,PT11M27.00S,2021-12-04T02:39:17.9Z,2,REGULAR,3pt,Jump Shot,[],203903,6.258212877792378,94.36274509803921,1610612762,41,27,2021-12-04T02:39:22Z,1590000,-222.0,6.0,1,left,J. Clarkson 3PT  (8 PTS) (R. Gay 1 AST),"[203903, 200752]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,22.19,Made,8.0,,,,,R. Gay,200752.0,1.0,,,,,,,,,,,
163,PT11M12.00S,2021-12-04T02:39:34.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,91.14651773981603,49.50980392156863,1610612738,41,29,2021-12-04T02:39:47Z,1610000,-2.0,31.0,1,right,R. Langford driving finger roll Layup (6 PTS) (A. Horford 4 AST),"[1629641, 201143]",1610612738.0,BOS,driving finger roll,,,Langford,R. Langford,,,,,3.08,Made,6.0,,,,,A. Horford,201143.0,4.0,,,,,,,,,,,
165,PT10M55.00S,2021-12-04T02:39:50.6Z,2,REGULAR,turnover,bad pass,[],203903,,,1610612762,41,29,2021-12-04T02:39:55Z,1630000,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 203935]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,,,
166,PT10M55.00S,2021-12-04T02:39:50.6Z,2,REGULAR,steal,,[],203935,,,1610612738,41,29,2021-12-04T02:39:52Z,1640000,,,0,,M. Smart STEAL (3 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
168,PT10M54.00S,2021-12-04T02:39:55.6Z,2,REGULAR,foul,personal,[],204060,,,1610612738,41,29,2021-12-04T02:40:03Z,1660000,,,0,,J. Ingles take personal FOUL (3 PF),"[204060, 203935]",1610612762.0,UTA,take,,,Ingles,J. Ingles,,,,,,,,,,,,,,,2002.0,3.0,0.0,Smart,203935.0,,,,,,
170,PT10M47.00S,2021-12-04T02:40:17.8Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,79.84559789750328,63.23529411764706,1610612738,41,29,2021-12-04T02:40:24Z,1680000,66.0,137.0,1,right,MISS M. Smart 15' pullup Shot,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,15.22,Missed,,,,,,,,,,,,,,,,,,,
171,PT10M44.00S,2021-12-04T02:40:20.8Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,41,29,2021-12-04T02:40:24Z,1690000,,,0,,J. Clarkson REBOUND (Off:0 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,170.0,2.0,2.0,0.0,,,,,,,,,,,,,,
172,PT10M33.00S,2021-12-04T02:40:31.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,12.828515111695138,49.26470588235294,1610612762,41,29,2021-12-04T02:40:35Z,1700000,4.0,68.0,1,left,MISS M. Conley 6' floating Shot,[201144],1610612762.0,UTA,floating,,,Conley,M. Conley,,,,,6.82,Missed,,,,,,,,,,,,,,,,,,,
173,PT10M32.00S,2021-12-04T02:40:32.1Z,2,REGULAR,rebound,defensive,[],1629641,,,1610612738,41,29,2021-12-04T02:40:35Z,1710000,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,,
174,PT10M24.00S,2021-12-04T02:40:40.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201143,92.59198423127464,54.90196078431373,1610612738,41,29,2021-12-04T02:40:44Z,1720000,25.0,17.0,1,right,MISS A. Horford Layup,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,2.99,Missed,,,,,,,,,,,,,,,,,,,
175,PT10M22.00S,2021-12-04T02:40:42.6Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,41,29,2021-12-04T02:40:44Z,1730000,,,0,,R. Gobert REBOUND (Off:1 Def:4),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,174.0,5.0,4.0,1.0,,,,,,,,,,,,,,
176,PT10M16.00S,2021-12-04T02:40:49.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,5.206964520367937,45.09803921568628,1610612762,43,29,2021-12-04T02:40:56Z,1740000,25.0,-4.0,1,left,R. Gobert alley-oop DUNK (5 PTS) (J. Clarkson 1 AST),"[203497, 203903]",1610612762.0,UTA,alley-oop,,,Gobert,R. Gobert,,,,,2.48,Made,5.0,,,,,J. Clarkson,203903.0,1.0,,,,,,,,,,,
178,PT10M01.00S,2021-12-04T02:41:03.2Z,2,REGULAR,3pt,Jump Shot,[],201143,67.36202365308804,49.50980392156863,1610612738,43,29,2021-12-04T02:41:08Z,1760000,-2.0,254.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
179,PT09M59.00S,2021-12-04T02:41:05.2Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,43,29,2021-12-04T02:41:08Z,1770000,,,0,,R. Gobert REBOUND (Off:1 Def:5),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,178.0,6.0,5.0,1.0,,,,,,,,,,,,,,
180,PT09M50.00S,2021-12-04T02:41:14.0Z,2,REGULAR,3pt,Jump Shot,[],204060,32.40801576872536,52.94117647058824,1610612762,43,29,2021-12-04T02:41:18Z,1780000,-15.0,252.0,1,left,MISS J. Ingles 25' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
181,PT09M48.00S,2021-12-04T02:41:16.0Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,43,29,2021-12-04T02:41:18Z,1790000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,180.0,3.0,3.0,0.0,,,,,,,,,,,,,,
182,PT09M33.00S,2021-12-04T02:41:33.9Z,2,REGULAR,foul,personal,[],200752,,,1610612738,43,29,2021-12-04T02:41:44Z,1800000,,,0,,R. Gay personal FOUL (1 PF),"[200752, 1628369]",1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,2004.0,1.0,0.0,Tatum,1628369.0,,,,,,
184,PT09M33.00S,2021-12-04T02:41:41.1Z,2,REGULAR,substitution,out,[],201144,,,1610612738,43,29,2021-12-04T02:41:47Z,1820000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M33.00S,2021-12-04T02:41:41.1Z,2,REGULAR,substitution,in,[],1630235,,,1610612738,43,29,2021-12-04T02:41:47Z,1830000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
