actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
179,PT10M00.00S,2021-11-17T03:39:42.8Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,38,28,2021-11-17T03:39:45Z,1750000,,,0,,R. Gobert REBOUND (Off:0 Def:7),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,178.0,7.0,7.0,0.0,,,
180,PT09M47.00S,2021-11-17T03:39:55.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203497,89.43823915900131,37.99019607843137,1610612762,38,28,2021-11-17T03:40:00Z,1760000,-60.0,47.0,1,right,MISS R. Gobert 7' Layup,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,7.61,Missed,,,,,,,,,,,,,,,,,,
181,PT09M44.00S,2021-11-17T03:39:58.2Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,38,28,2021-11-17T03:40:00Z,1770000,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,180.0,1.0,1.0,0.0,,,
182,PT09M39.00S,2021-11-17T03:40:02.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630198,30.436925098554536,76.47058823529412,1610612755,38,28,2021-11-17T03:40:09Z,1780000,-132.0,234.0,1,left,MISS I. Joe 26' 3PT,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,26.85,Missed,,,,,,,,,,,,,,,,,,
183,PT09M37.00S,2021-11-17T03:40:04.3Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,38,28,2021-11-17T03:40:09Z,1790000,,,0,,R. Gobert REBOUND (Off:0 Def:8),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,182.0,8.0,8.0,0.0,,,
184,PT09M24.00S,2021-11-17T03:40:20.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",201144,90.09526938239159,54.65686274509803,1610612762,40,28,2021-11-17T03:40:41Z,1800000,23.0,41.0,1,right,M. Conley driving floating Jump Shot (7 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,4.68,Made,7.0,,,,,,R. Gobert,203497.0,1.0,,,,,,,,,
185,PT09M24.00S,2021-11-17T03:40:24.1Z,2,REGULAR,violation,defensive goaltending,[],1629646,,,1610612762,40,28,2021-11-17T03:40:41Z,1810000,,,0,,C. Bassey defensive goaltending VIOLATION,[1629646],1610612755.0,PHI,,,,Bassey,C. Bassey,,,,,,,,1162.0,,,,,,,,,,,,,,,,
186,PT09M11.00S,2021-11-17T03:40:43.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627788,6.389618922470433,40.931372549019606,1610612755,40,28,2021-11-17T03:40:51Z,1820000,45.0,8.0,1,left,MISS F. Korkmaz driving Layup - blocked,"[1627788, 203497]",1610612755.0,PHI,driving,,,Korkmaz,F. Korkmaz,,,,,4.59,Missed,,,,,,,,,,Gobert,203497.0,,,,,,,
187,PT09M11.00S,2021-11-17T03:40:43.6Z,2,REGULAR,block,,[],203497,,,1610612755,40,28,2021-11-17T03:40:45Z,1830000,,,0,,R. Gobert BLOCK (4 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M11.00S,2021-11-17T03:40:43.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612755,40,28,2021-11-17T03:40:51Z,1840000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,
189,PT09M11.00S,2021-11-17T03:40:48.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,40,28,2021-11-17T03:40:48Z,1850000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M11.00S,2021-11-17T03:40:51.7Z,2,REGULAR,substitution,out,[],201144,,,1610612755,40,28,2021-11-17T03:40:54Z,1860000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M11.00S,2021-11-17T03:40:51.7Z,2,REGULAR,substitution,in,[],1630235,,,1610612755,40,28,2021-11-17T03:40:54Z,1870000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M02.00S,2021-11-17T03:41:15.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203552,14.4053876478318,36.51960784313725,1610612755,40,28,2021-11-17T03:43:31Z,1880000,67.0,83.0,1,left,MISS S. Curry 10' fadeaway Shot,[203552],1610612755.0,PHI,fadeaway,,,Curry,S. Curry,,,,,10.68,Missed,,,,,,,,,,,,,,,,,,
193,PT08M59.00S,2021-11-17T03:41:18.1Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,40,28,2021-11-17T03:41:20Z,1890000,,,0,,R. Gobert REBOUND (Off:0 Def:9),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,192.0,9.0,9.0,0.0,,,
194,PT08M42.00S,2021-11-17T03:41:34.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,88.51839684625493,49.01960784313725,1610612762,40,28,2021-11-17T03:41:41Z,1900000,-5.0,55.0,1,right,MISS J. Clarkson driving Layup,[203903],1610612762.0,UTA,driving,,,Clarkson,J. Clarkson,,,,,5.56,Missed,,,,,,,,,,,,,,,,,,
195,PT08M41.00S,2021-11-17T03:41:35.3Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,40,28,2021-11-17T03:41:35Z,1910000,,,0,,J. Clarkson REBOUND (Off:1 Def:0),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,194.0,1.0,0.0,1.0,,,
196,PT08M40.00S,2021-11-17T03:41:36.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,90.22667542706965,45.09803921568628,1610612762,40,28,2021-11-17T03:41:51Z,1920000,-25.0,39.0,1,right,MISS J. Clarkson putback Layup - blocked,"[203903, 1629646]",1610612762.0,UTA,putback,,,Clarkson,J. Clarkson,,,,,4.64,Missed,,,,,,,,,,Bassey,1629646.0,,,,,,,
197,PT08M40.00S,2021-11-17T03:41:36.6Z,2,REGULAR,block,,[],1629646,,,1610612762,40,28,2021-11-17T03:41:39Z,1930000,,,0,,C. Bassey BLOCK (1 BLK),[1629646],1610612755.0,PHI,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,
198,PT08M36.00S,2021-11-17T03:41:40.6Z,2,REGULAR,rebound,offensive,[],203903,,,1610612762,40,28,2021-11-17T03:41:45Z,1940000,,,0,,J. Clarkson REBOUND (Off:2 Def:0),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,196.0,2.0,0.0,2.0,,,
199,PT08M35.00S,2021-11-17T03:41:40.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,92.85479632063075,45.34313725490196,1610612762,42,28,2021-11-17T03:41:49Z,1950000,-23.0,15.0,1,right,J. Clarkson putback Layup (4 PTS),[203903],1610612762.0,UTA,putback,,,Clarkson,J. Clarkson,,,,,2.75,Made,4.0,,,,,,,,,,,,,,,,,
200,PT08M19.00S,2021-11-17T03:41:57.2Z,2,REGULAR,3pt,Jump Shot,[],1630198,20.18725361366623,92.15686274509804,1610612755,42,28,2021-11-17T03:42:02Z,1960000,-211.0,137.0,1,left,MISS I. Joe 25' step back 3PT,[1630198],1610612755.0,PHI,step back,,,Joe,I. Joe,,,,,25.16,Missed,,,,,,,,,,,,,,,,,,
201,PT08M17.00S,2021-11-17T03:41:59.2Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,42,28,2021-11-17T03:42:02Z,1970000,,,0,,J. Clarkson REBOUND (Off:2 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,200.0,3.0,1.0,2.0,,,
202,PT08M10.00S,2021-11-17T03:42:07.2Z,2,REGULAR,2pt,Jump Shot,[],203903,93.51182654402102,69.85294117647058,1610612762,44,28,2021-11-17T03:42:12Z,1980000,99.0,8.0,1,right,J. Clarkson 9' pullup Jump Shot (6 PTS),[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,9.97,Made,6.0,,,,,,,,,,,,,,,,,
203,PT07M56.00S,2021-11-17T03:42:20.1Z,2,REGULAR,2pt,Jump Shot,[],1627788,13.748357424441524,69.11764705882352,1610612755,44,30,2021-11-17T03:42:26Z,1990000,-96.0,77.0,1,left,F. Korkmaz 12' pullup Jump Shot (2 PTS),[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,12.26,Made,2.0,,,,,,,,,,,,,,,,,
204,PT07M40.00S,2021-11-17T03:42:36.3Z,2,REGULAR,turnover,bad pass,[],204060,,,1610612762,44,30,2021-11-17T03:42:40Z,2000000,,,0,,J. Ingles bad pass TURNOVER (1 TO),"[204060, 1627777]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,1.0,Niang,1627777.0
205,PT07M40.00S,2021-11-17T03:42:36.3Z,2,REGULAR,steal,,[],1627777,,,1610612755,44,30,2021-11-17T04:05:56Z,2010000,,,0,,G. Niang STEAL (2 STL),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M35.00S,2021-11-17T03:42:41.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627777,5.601182654402102,53.431372549019606,1610612755,44,32,2021-11-17T03:46:08Z,2020000,-17.0,0.0,1,left,G. Niang reverse Layup (5 PTS) (S. Curry 1 AST),"[1627777, 203552]",1610612755.0,PHI,reverse,,,Niang,G. Niang,,,,,1.72,Made,5.0,,,,,,S. Curry,203552.0,1.0,,,,,,,,,
208,PT07M35.00S,2021-11-17T03:42:45.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,44,32,2021-11-17T03:42:45Z,2040000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,out,[],1629672,,,1610612762,44,32,2021-11-17T03:45:54Z,2050000,,,0,,SUB out: E. Paschall,[1629672],1610612762.0,UTA,,,,Paschall,E. Paschall,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,out,[],203497,,,1610612762,44,32,2021-11-17T03:45:54Z,2060000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,out,[],1629646,,,1610612762,44,32,2021-11-17T03:45:54Z,2070000,,,0,,SUB out: C. Bassey,[1629646],1610612755.0,PHI,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,in,[],202711,,,1610612762,44,32,2021-11-17T03:45:54Z,2080000,,,0,,SUB in: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,in,[],202355,,,1610612762,44,32,2021-11-17T03:45:54Z,2090000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M35.00S,2021-11-17T03:45:35.6Z,2,REGULAR,substitution,in,[],202699,,,1610612762,44,32,2021-11-17T03:45:54Z,2100000,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M11.00S,2021-11-17T03:46:33.3Z,2,REGULAR,3pt,Jump Shot,[],203903,67.7562417871222,44.11764705882353,1610612762,44,32,2021-11-17T03:46:38Z,2110000,-29.0,251.0,1,right,MISS J. Clarkson 25' step back 3PT,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,25.23,Missed,,,,,,,,,,,,,,,,,,
217,PT07M08.00S,2021-11-17T03:46:36.3Z,2,REGULAR,rebound,defensive,[],1630198,,,1610612755,44,32,2021-11-17T03:46:38Z,2120000,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,216.0,1.0,1.0,0.0,,,
218,PT06M59.00S,2021-11-17T03:46:44.3Z,2,REGULAR,3pt,Jump Shot,[],203552,35.167542706964525,68.87254901960785,1610612755,44,32,2021-11-17T03:46:49Z,2130000,-94.0,278.0,1,left,MISS S. Curry 29' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,29.37,Missed,,,,,,,,,,,,,,,,,,
219,PT06M56.00S,2021-11-17T03:46:47.3Z,2,REGULAR,rebound,defensive,[],1630235,,,1610612762,44,32,2021-11-17T03:46:49Z,2140000,,,0,,T. Forrest REBOUND (Off:0 Def:1),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,218.0,1.0,1.0,0.0,,,
220,PT06M49.00S,2021-11-17T03:46:54.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],202355,91.5407358738502,50.98039215686274,1610612762,46,32,2021-11-17T03:46:58Z,2150000,5.0,27.0,1,right,H. Whiteside cutting DUNK (8 PTS) (J. Clarkson 1 AST),"[202355, 203903]",1610612762.0,UTA,cutting,,,Whiteside,H. Whiteside,,,,,2.74,Made,8.0,,,,,,J. Clarkson,203903.0,1.0,,,,,,,,,
222,PT06M39.00S,2021-11-17T03:47:07.6Z,2,REGULAR,foul,personal,[],204060,,,1610612755,46,32,2021-11-17T03:47:20Z,2170000,,,0,,J. Ingles personal FOUL (2 PF),"[204060, 1627788]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,201246.0,2.0,0.0,Korkmaz,1627788.0,,,,,,,,,,,,
224,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,out,[],204060,,,1610612755,46,32,2021-11-17T03:47:20Z,2190000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,out,[],1630235,,,1610612755,46,32,2021-11-17T03:47:20Z,2200000,,,0,,SUB out: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,out,[],1630198,,,1610612755,46,32,2021-11-17T03:47:20Z,2210000,,,0,,SUB out: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,in,[],1628378,,,1610612755,46,32,2021-11-17T03:47:20Z,2220000,,,0,,SUB in: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,in,[],1626220,,,1610612755,46,32,2021-11-17T03:47:20Z,2230000,,,0,,SUB in: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
229,PT06M39.00S,2021-11-17T03:47:11.5Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,46,32,2021-11-17T03:47:20Z,2240000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M32.00S,2021-11-17T03:47:35.2Z,2,REGULAR,2pt,Jump Shot,[],203552,25.04927726675427,51.9607843137255,1610612755,46,32,2021-11-17T03:47:42Z,2250000,-10.0,183.0,1,left,MISS S. Curry 18' Jump Shot,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,18.33,Missed,,,,,,,,,,,,,,,,,,
231,PT06M29.00S,2021-11-17T03:47:38.2Z,2,REGULAR,rebound,defensive,[],202355,,,1610612762,46,32,2021-11-17T03:47:42Z,2260000,,,0,,H. Whiteside REBOUND (Off:1 Def:2),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,230.0,3.0,2.0,1.0,,,
232,PT06M22.00S,2021-11-17T03:47:45.0Z,2,REGULAR,3pt,Jump Shot,[],203903,94.03745072273325,1.715686274509804,1610612762,49,32,2021-11-17T03:47:50Z,2270000,-241.0,4.0,1,right,J. Clarkson 24' 3PT  (9 PTS) (D. Mitchell 2 AST),"[203903, 1628378]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,24.14,Made,9.0,,,,,,D. Mitchell,1628378.0,2.0,,,,,,,,,
234,PT06M09.00S,2021-11-17T03:47:57.5Z,2,REGULAR,3pt,Jump Shot,[],202699,28.465834428383708,72.54901960784314,1610612755,49,32,2021-11-17T03:48:02Z,2290000,-113.0,215.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,
235,PT06M06.00S,2021-11-17T03:48:00.5Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612762,49,32,2021-11-17T03:48:02Z,2300000,,,0,,R. O'Neale REBOUND (Off:0 Def:5),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,234.0,5.0,5.0,0.0,,,
236,PT05M46.00S,2021-11-17T03:48:20.4Z,2,REGULAR,3pt,Jump Shot,[],202711,71.17279894875165,21.813725490196077,1610612762,52,32,2021-11-17T03:48:26Z,2310000,-141.0,218.0,1,right,B. Bogdanovic 26' 3PT step back (10 PTS),[202711],1610612762.0,UTA,step back,,,Bogdanovic,B. Bogdanovic,,,,,26.0,Made,10.0,,,,,,,,,,,,,,,,,
237,PT05M28.00S,2021-11-17T03:48:39.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.434296977660972,41.911764705882355,1610612755,52,34,2021-11-17T03:49:29Z,2320000,40.0,64.0,1,left,T. Maxey 7' turnaround fadeaway Jump Shot (7 PTS),[1630178],1610612755.0,PHI,turnaround fadeaway,,,Maxey,T. Maxey,,,,,7.6,Made,7.0,,,,,,,,,,,,,,,,,
238,PT05M08.00S,2021-11-17T03:48:58.3Z,2,REGULAR,turnover,bad pass,[],202711,,,1610612762,52,34,2021-11-17T03:49:02Z,2330000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 203552]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,1.0,Curry,203552.0
239,PT05M08.00S,2021-11-17T03:48:58.3Z,2,REGULAR,steal,,[],203552,,,1610612755,52,34,2021-11-17T03:48:59Z,2340000,,,0,,S. Curry STEAL (2 STL),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M08.00S,2021-11-17T03:49:02.6Z,2,REGULAR,foul,personal,[],1628378,,,1610612755,52,34,2021-11-17T03:49:10Z,2350000,,,0,,D. Mitchell take personal FOUL (1 PF),"[1628378, 203552]",1610612762.0,UTA,take,,,Mitchell,D. Mitchell,,,,,,,,201246.0,1.0,0.0,Curry,203552.0,,,,,,,,,,,,
242,PT04M56.00S,2021-11-17T03:49:26.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,5.469776609724048,3.431372549019608,1610612755,52,34,2021-11-17T03:49:32Z,2370000,233.0,-1.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,
243,PT04M53.00S,2021-11-17T03:49:29.3Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612762,52,34,2021-11-17T03:49:32Z,2380000,,,0,,R. O'Neale REBOUND (Off:0 Def:6),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,242.0,6.0,6.0,0.0,,,
244,PT04M49.00S,2021-11-17T03:49:34.8Z,2,REGULAR,foul,personal,[],203552,,,1610612762,52,34,2021-11-17T03:49:58Z,2390000,,,0,,S. Curry personal FOUL (3 PF),"[203552, 1628378]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,201246.0,3.0,0.0,Mitchell,1628378.0,,,,,,,,,,,,
246,PT04M49.00S,2021-11-17T03:49:51.0Z,2,REGULAR,substitution,out,[],203552,,,1610612762,52,34,2021-11-17T03:49:55Z,2410000,,,0,,SUB out: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,
247,PT04M49.00S,2021-11-17T03:49:51.0Z,2,REGULAR,substitution,in,[],1629003,,,1610612762,52,34,2021-11-17T03:49:55Z,2420000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
250,PT04M46.00S,2021-11-17T03:50:11.8Z,2,REGULAR,turnover,traveling,[],203903,,,1610612762,52,34,2021-11-17T03:50:27Z,2450000,,,0,,J. Clarkson traveling TURNOVER (1 TO),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,201246.0,,,,,,,,,,,,,,1.0,,
251,PT04M30.00S,2021-11-17T03:50:33.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627788,6.783837056504599,95.83333333333334,1610612755,52,34,2021-11-17T03:50:39Z,2460000,-229.0,11.0,1,left,MISS F. Korkmaz 3PT,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,
252,PT04M26.00S,2021-11-17T03:50:37.9Z,2,REGULAR,rebound,defensive,[],202711,,,1610612762,52,34,2021-11-17T04:06:16Z,2470000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:1),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,251.0,1.0,1.0,0.0,,,
253,PT04M18.00S,2021-11-17T03:50:45.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203903,92.72339027595268,45.588235294117645,1610612762,54,34,2021-11-17T03:50:54Z,2480000,-22.0,16.0,1,right,J. Clarkson driving reverse Layup (11 PTS),[203903],1610612762.0,UTA,driving reverse,,,Clarkson,J. Clarkson,,,,,2.72,Made,11.0,,,,,,,,,,,,,,,,,
254,PT04M02.00S,2021-11-17T03:51:01.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.178055190538765,43.13725490196079,1610612755,54,34,2021-11-17T03:51:05Z,2490000,34.0,15.0,1,left,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,3.74,Missed,,,,,,,,,,,,,,,,,,
256,PT04M00.00S,2021-11-17T03:51:03.1Z,2,REGULAR,rebound,defensive,[],203903,,,1610612762,54,34,2021-11-17T03:51:05Z,2510000,,,0,,J. Clarkson REBOUND (Off:2 Def:2),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,254.0,4.0,2.0,2.0,,,
258,PT03M51.00S,2021-11-17T03:51:13.0Z,2,REGULAR,3pt,Jump Shot,[],1628378,76.2976346911958,8.823529411764707,1610612762,57,34,2021-11-17T03:51:27Z,2530000,-206.0,170.0,1,right,D. Mitchell 26' 3PT pullup (9 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,26.72,Made,9.0,,,,,,,,,,,,,,,,,
259,PT03M32.00S,2021-11-17T03:51:34.7Z,2,REGULAR,foul,personal,[],1626220,,,1610612755,57,34,2021-11-17T03:51:39Z,2540000,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 202699]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,1162.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,
261,PT03M32.00S,2021-11-17T03:51:38.6Z,2,REGULAR,substitution,out,[],203903,,,1610612755,57,34,2021-11-17T03:51:46Z,2560000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
262,PT03M32.00S,2021-11-17T03:51:38.6Z,2,REGULAR,substitution,out,[],202355,,,1610612755,57,34,2021-11-17T03:51:46Z,2570000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
263,PT03M32.00S,2021-11-17T03:51:38.6Z,2,REGULAR,substitution,in,[],203497,,,1610612755,57,34,2021-11-17T03:51:46Z,2580000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
264,PT03M32.00S,2021-11-17T03:51:38.6Z,2,REGULAR,substitution,in,[],201144,,,1610612755,57,34,2021-11-17T03:51:46Z,2590000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
265,PT03M27.00S,2021-11-17T03:52:10.7Z,2,REGULAR,foul,personal,[],203497,,,1610612755,57,34,2021-11-17T03:52:17Z,2600000,,,0,,R. Gobert personal FOUL (1 PF),"[203497, 1629003]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,2005.0,1.0,0.0,Milton,1629003.0,,,,,,,,,,,,
267,PT03M18.00S,2021-11-17T03:52:38.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,11.777266754270697,45.34313725490196,1610612755,57,34,2021-11-17T03:52:43Z,2620000,23.0,58.0,1,left,MISS T. Harris 6' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,6.27,Missed,,,,,,,,,,,,,,,,,,
268,PT03M16.00S,2021-11-17T03:52:40.4Z,2,REGULAR,rebound,defensive,[],203497,,,1610612762,57,34,2021-11-17T04:06:27Z,2630000,,,0,,R. Gobert REBOUND (Off:0 Def:10),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,267.0,10.0,10.0,0.0,,,
