actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
95,PT05M39.00S,2022-01-01T02:26:33.9Z,1,REGULAR,substitution,in,[],202328,,,1610612750,13,12,2022-01-01T02:26:37Z,950000,,,0,,SUB in: G. Monroe,[202328],1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,,,,,,,,,,,,,,,,,
96,PT05M31.00S,2022-01-01T02:26:52.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630162,10.85742444152431,68.62745098039215,1610612750,13,14,2022-01-01T02:27:00Z,960000,-93.0,50.0,1,left,A. Edwards 10' bank Jump Shot (6 PTS),[1630162],1610612750.0,MIN,bank,,,Edwards,A. Edwards,,,,,,,,10.55,Made,6.0,,,,,,,,,,,,,,
97,PT05M17.00S,2022-01-01T02:27:05.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,70.77858081471747,12.990196078431374,1610612762,16,14,2022-01-01T02:27:11Z,970000,-185.0,222.0,1,right,D. Mitchell 28' 3PT  (7 PTS) (R. O'Neale 1 AST),"[1628378, 1626220]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,28.91,Made,7.0,,,,,,,,,,,,R. O'Neale,1626220.0,1.0
99,PT05M04.00S,2022-01-01T02:27:18.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,27.94021024967148,76.22549019607843,1610612750,16,14,2022-01-01T04:40:50Z,990000,-131.0,210.0,1,left,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,24.76,Missed,,,,,,,,,,,,,,,
100,PT05M01.00S,2022-01-01T02:27:21.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,16,14,2022-01-01T02:27:25Z,1000000,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,99.0,2.0,2.0,0.0,,,,,
101,PT04M58.00S,2022-01-01T02:27:25.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,76.69185282522996,8.57843137254902,1610612762,16,14,2022-01-01T02:27:34Z,1010000,-207.0,167.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,26.58,Missed,,,,,,,,,,,,,,,
102,PT04M55.00S,2022-01-01T02:27:28.0Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612750,16,14,2022-01-01T02:27:34Z,1020000,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,101.0,1.0,1.0,0.0,,,,,
103,PT04M46.00S,2022-01-01T02:27:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,11.12023653088042,35.294117647058826,1610612750,16,16,2022-01-01T02:27:45Z,1030000,74.0,52.0,1,left,M. Beasley 9' driving bank Jump Shot (8 PTS),[1627736],1610612750.0,MIN,driving bank,,,Beasley,M. Beasley,,,,,,,,9.0,Made,8.0,,,,,,,,,,,,,,
104,PT04M34.00S,2022-01-01T02:27:48.7Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612762,16,16,2022-01-01T02:27:53Z,1040000,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1628378, 1629162]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,2.0,McLaughlin,1629162.0,,,,,,,,,,,,,,,,,
105,PT04M34.00S,2022-01-01T02:27:48.7Z,1,REGULAR,steal,,[],1629162,,,1610612750,16,16,2022-01-01T02:27:50Z,1050000,,,0,,J. McLaughlin STEAL (2 STL),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
106,PT04M30.00S,2022-01-01T02:27:52.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627736,14.273981603153747,95.09803921568627,1610612750,16,16,2022-01-01T02:27:59Z,1060000,-225.0,82.0,1,left,MISS M. Beasley 3PT,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,23.98,Missed,,,,,,,,,,,,,,,
107,PT04M28.00S,2022-01-01T02:27:54.7Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,16,16,2022-01-01T02:27:59Z,1070000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,106.0,2.0,2.0,0.0,,,,,
108,PT04M19.00S,2022-01-01T02:28:04.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,92.32917214191852,45.588235294117645,1610612762,16,16,2022-01-01T02:28:09Z,1080000,-22.0,20.0,1,right,MISS D. Mitchell Layup,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,2.95,Missed,,,,,,,,,,,,,,,
109,PT04M17.00S,2022-01-01T02:28:06.4Z,1,REGULAR,rebound,defensive,[],202328,,,1610612750,16,16,2022-01-01T02:28:09Z,1090000,,,0,,G. Monroe REBOUND (Off:0 Def:1),[202328],1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,,,,,,,,,108.0,1.0,1.0,0.0,,,,,
110,PT04M10.00S,2022-01-01T02:28:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,8.229303547963205,55.88235294117647,1610612750,16,16,2022-01-01T04:41:09Z,1100000,-29.0,25.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,,,,3.85,Missed,,,,,,,,,,,,,,,
111,PT04M08.00S,2022-01-01T02:28:15.5Z,1,REGULAR,rebound,defensive,[],202711,,,1610612762,16,16,2022-01-01T02:28:17Z,1110000,,,0,,B. Bogdanovic REBOUND (Off:0 Def:3),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,110.0,3.0,3.0,0.0,,,,,
112,PT04M08.00S,2022-01-01T02:28:17.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627736,,,1610612762,16,16,2022-01-01T02:28:25Z,1120000,,,0,,M. Beasley take personal FOUL (1 PF) (Bogdanovic 2 FT),"[1627736, 202711]",1610612750.0,MIN,take,,,Beasley,M. Beasley,,,,,,,,,,,1628484.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,,
114,PT04M08.00S,2022-01-01T02:29:02.3Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612762,17,16,2022-01-01T02:29:02Z,1140000,,,0,,B. Bogdanovic Free Throw 1 of 2 (6 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
117,PT04M08.00S,2022-01-01T02:29:02.9Z,1,REGULAR,substitution,in,[],1627774,,,1610612762,17,16,2022-01-01T02:29:21Z,1170000,,,0,,SUB in: J. Layman,[1627774],1610612750.0,MIN,,,,Layman,J. Layman,,,,,,,,,,,,,,,,,,,,,,,,
118,PT04M08.00S,2022-01-01T02:29:02.9Z,1,REGULAR,substitution,in,[],1629669,,,1610612762,17,16,2022-01-01T02:29:21Z,1180000,,,0,,SUB in: J. Nowell,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,
127,PT04M08.00S,2022-01-01T02:29:02.9Z,1,REGULAR,substitution,out,[],1630162,,,1610612762,17,16,2022-01-01T02:30:30Z,1185000,,,0,,SUB out: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
128,PT04M08.00S,2022-01-01T02:29:02.9Z,1,REGULAR,substitution,out,[],1627736,,,1610612762,17,16,2022-01-01T02:30:30Z,1187500,,,0,,SUB out: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
119,PT04M08.00S,2022-01-01T02:29:24.2Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612762,18,16,2022-01-01T02:29:24Z,1190000,,,0,,B. Bogdanovic Free Throw 2 of 2 (7 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
120,PT03M48.00S,2022-01-01T02:29:47.3Z,1,REGULAR,3pt,Jump Shot,[],1630183,5.601182654402102,2.450980392156863,1610612750,18,16,2022-01-01T02:29:54Z,1200000,238.0,0.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,23.77,Missed,,,,,,,,,,,,,,,
121,PT03M44.00S,2022-01-01T02:29:51.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,18,16,2022-01-01T02:29:54Z,1210000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,120.0,1.0,1.0,0.0,,,,,
122,PT03M35.00S,2022-01-01T02:29:59.4Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612762,18,16,2022-01-01T02:30:48Z,1220000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1629162]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,1.0,McLaughlin,1629162.0,,,,,,,,,,,,,,,,,
123,PT03M35.00S,2022-01-01T02:29:59.4Z,1,REGULAR,steal,,[],1629162,,,1610612750,18,16,2022-01-01T02:30:03Z,1230000,,,0,,J. McLaughlin STEAL (3 STL),[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
124,PT03M31.00S,2022-01-01T02:30:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629162,7.440867279894875,51.225490196078425,1610612750,18,18,2022-01-01T02:30:54Z,1240000,-6.0,17.0,1,left,J. McLaughlin running Layup (2 PTS),[1629162],1610612750.0,MIN,running,,,McLaughlin,J. McLaughlin,,,,,,,,1.84,Made,2.0,,,,,,,,,,,,,,
358,PT03M19.00S,2022-01-01T02:30:12.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,18,18,2022-01-01T03:26:47Z,1245000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT03M19.00S,2022-01-01T02:30:21.2Z,1,REGULAR,substitution,out,[],202711,,,1610612762,18,18,2022-01-01T02:30:24Z,1250000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
126,PT03M19.00S,2022-01-01T02:30:21.2Z,1,REGULAR,substitution,in,[],200752,,,1610612762,18,18,2022-01-01T02:30:24Z,1260000,,,0,,SUB in: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M12.00S,2022-01-01T02:30:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203903,93.11760840998686,52.450980392156865,1610612762,20,18,2022-01-01T02:30:46Z,1270000,12.0,12.0,1,right,J. Clarkson Layup (2 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,1.73,Made,2.0,,,,,,,,,,,,,,
130,PT03M03.00S,2022-01-01T02:30:56.1Z,1,REGULAR,foul,personal,['2freethrow'],202355,,,1610612750,20,18,2022-01-01T02:31:01Z,1280000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Monroe 2 FT),"[202355, 202328]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,,,,,,,204059.0,1.0,0.0,Monroe,202328.0,,,,,,,,,
132,PT03M03.00S,2022-01-01T02:31:21.5Z,1,REGULAR,freethrow,1 of 2,[],202328,,,1610612750,20,18,2022-01-01T02:31:44Z,1300000,,,0,,MISS G. Monroe Free Throw 1 of 2,[202328],1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,,Missed,,,,,,,,,,,,,,,
133,PT03M03.00S,2022-01-01T02:31:21.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612750,20,18,2022-01-01T02:31:44Z,1310000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,
134,PT03M03.00S,2022-01-01T02:31:21.5Z,1,REGULAR,freethrow,2 of 2,[],202328,,,1610612750,20,18,2022-01-01T02:31:44Z,1320000,,,0,,MISS G. Monroe Free Throw 2 of 2,[202328],1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,,Missed,,,,,,,,,,,,,,,
135,PT03M01.00S,2022-01-01T02:31:23.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,20,18,2022-01-01T02:31:44Z,1330000,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,134.0,2.0,2.0,0.0,,,,,
136,PT02M37.00S,2022-01-01T02:32:07.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,87.46714848883047,61.274509803921575,1610612762,22,18,2022-01-01T02:32:17Z,1340000,56.0,65.0,1,right,J. Clarkson 8' driving floating bank Jump Shot (4 PTS),[203903],1610612762.0,UTA,driving floating bank,,,Clarkson,J. Clarkson,,,,,,,,8.63,Made,4.0,,,,,,,,,,,,,,
137,PT02M26.00S,2022-01-01T02:32:17.9Z,1,REGULAR,2pt,Jump Shot,[],1630183,12.171484888304862,29.901960784313726,1610612750,22,18,2022-01-01T02:32:23Z,1350000,100.0,62.0,1,left,MISS J. McDaniels 11' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,,,,11.8,Missed,,,,,,,,,,,,,,,
138,PT02M24.00S,2022-01-01T02:32:19.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,22,18,2022-01-01T02:32:23Z,1360000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,137.0,1.0,1.0,0.0,,,,,
140,PT02M11.00S,2022-01-01T02:32:33.3Z,1,REGULAR,3pt,Jump Shot,[],1628378,64.20827858081472,53.92156862745098,1610612762,25,18,2022-01-01T02:32:38Z,1370000,20.0,284.0,1,right,D. Mitchell 28' 3PT  (10 PTS) (J. Clarkson 1 AST),"[1628378, 203903]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,28.46,Made,10.0,,,,,,,,,,,,J. Clarkson,203903.0,1.0
142,PT01M54.00S,2022-01-01T02:32:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202328,7.5722733245729295,50.245098039215684,1610612750,25,20,2022-01-01T02:32:55Z,1390000,-1.0,19.0,1,left,G. Monroe Layup (2 PTS) (J. Nowell 1 AST),"[202328, 1629669]",1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,1.87,Made,2.0,,,,,,,,,,,,J. Nowell,1629669.0,1.0
144,PT01M51.00S,2022-01-01T02:32:58.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,25,20,2022-01-01T02:32:58Z,1410000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,out,[],1626220,,,1610612762,25,20,2022-01-01T02:35:44Z,1420000,,,0,,SUB out: R. O'Neale,[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,
146,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,out,[],1628378,,,1610612762,25,20,2022-01-01T02:35:44Z,1430000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
147,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,in,[],1630215,,,1610612762,25,20,2022-01-01T02:35:44Z,1440000,,,0,,SUB in: J. Butler,[1630215],1610612762.0,UTA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,
148,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,in,[],1630235,,,1610612762,25,20,2022-01-01T02:35:44Z,1450000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
171,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,out,[],202355,,,1610612762,25,20,2022-01-01T02:40:25Z,1455000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
172,PT01M51.00S,2022-01-01T02:35:09.0Z,1,REGULAR,substitution,in,[],203497,,,1610612762,25,20,2022-01-01T02:40:25Z,1457500,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
149,PT01M33.00S,2022-01-01T02:36:10.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200752,84.97043363994744,50.73529411764706,1610612762,27,20,2022-01-01T02:36:16Z,1460000,4.0,89.0,1,right,R. Gay 8' pullup Jump Shot (2 PTS),[200752],1610612762.0,UTA,pullup,,,Gay,R. Gay,,,,,,,,8.89,Made,2.0,,,,,,,,,,,,,,
151,PT01M16.00S,2022-01-01T02:36:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1627774,,,1610612750,27,20,2022-01-01T02:36:41Z,1480000,,,0,,J. Layman lost ball out-of-bounds TURNOVER (1 TO),[1627774],1610612750.0,MIN,lost ball,,,Layman,J. Layman,,,,,1.0,,,,,,1628484.0,,,,,,,,,,,,,
152,PT00M55.30S,2022-01-01T02:36:54.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203903,71.04139290407359,21.323529411764707,1610612762,27,20,2022-01-01T02:37:00Z,1490000,-143.0,220.0,1,right,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,26.24,Missed,,,,,,,,,,,,,,,
153,PT00M51.90S,2022-01-01T02:36:57.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,27,20,2022-01-01T02:37:00Z,1500000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,152.0,1.0,1.0,0.0,,,,,
154,PT00M40.20S,2022-01-01T02:37:10.6Z,1,REGULAR,turnover,out-of-bounds,[],1629162,,,1610612750,27,20,2022-01-01T02:37:20Z,1510000,,,0,,J. McLaughlin bad pass out-of-bounds TURNOVER (1 TO),[1629162],1610612750.0,MIN,bad pass,,,McLaughlin,J. McLaughlin,,,,,1.0,,,,,,204059.0,,,,,,,,,,,,,
155,PT00M28.10S,2022-01-01T02:37:30.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203903,83.13074901445466,60.5392156862745,1610612762,27,20,2022-01-01T02:37:40Z,1520000,53.0,106.0,1,right,MISS J. Clarkson 11' driving floating Shot,[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,,,,11.85,Missed,,,,,,,,,,,,,,,
156,PT00M26.40S,2022-01-01T02:37:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,27,20,2022-01-01T02:37:40Z,1530000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,
157,PT00M26.40S,2022-01-01T02:37:34.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,27,20,2022-01-01T02:37:34Z,1540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M12.70S,2022-01-01T02:38:05.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629162,,,1610612762,27,20,2022-01-01T02:43:34Z,1550000,,,0,,J. McLaughlin shooting personal FOUL (1 PF) (Gobert 2 FT),"[1629162, 203497]",1610612750.0,MIN,shooting,,,McLaughlin,J. McLaughlin,,,,,,,,,,,1627964.0,1.0,0.0,Gobert,203497.0,,,,,,,,,
160,PT00M12.70S,2022-01-01T02:38:34.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203497,,,1610612762,28,20,2022-01-01T02:39:05Z,1570000,,,0,,R. Gobert Free Throw 1 of 2 (5 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
163,PT00M12.70S,2022-01-01T02:38:45.4Z,1,REGULAR,substitution,out,[],1629162,,,1610612762,28,20,2022-01-01T02:38:49Z,1580000,,,0,,SUB out: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M12.70S,2022-01-01T02:38:45.4Z,1,REGULAR,substitution,in,[],1627736,,,1610612762,28,20,2022-01-01T02:38:49Z,1590000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M12.70S,2022-01-01T02:38:34.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203497,,,1610612762,29,20,2022-01-01T02:39:05Z,1600000,,,0,,R. Gobert Free Throw 2 of 2 (6 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
170,PT00M02.70S,2022-01-01T02:38:57.6Z,1,REGULAR,2pt,Jump Shot,[],1629669,18.00262812089356,22.571997549019606,1610612750,29,22,2022-01-01T02:40:05Z,1605000,137.0,117.0,1,left,J. Nowell 18' turnaround Jump Shot (2 PTS),[1629669],1610612750.0,MIN,turnaround,,,Nowell,J. Nowell,,,,,,,,18.0,Made,2.0,,,,,,,,,,,,,,
167,PT00M00.00S,2022-01-01T02:39:22.4Z,1,REGULAR,2pt,Jump Shot,[],203903,78.79434954007884,78.43137254901961,1610612762,29,22,2022-01-01T04:42:44Z,1620000,142.0,147.0,1,right,MISS J. Clarkson 20' pullup Shot,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,,,,20.44,Missed,,,,,,,,,,,,,,,
168,PT00M00.00S,2022-01-01T02:39:23.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,29,22,2022-01-01T02:39:23Z,1630000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,167.0,,,,,,,,
169,PT00M00.00S,2022-01-01T02:39:25.1Z,1,REGULAR,period,end,[],0,,,1610612762,29,22,2022-01-01T02:39:25Z,1640000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,out,['startperiod'],202328,,,1610612762,29,22,2022-01-01T02:42:00Z,1650000,,,0,,SUB out: G. Monroe,[202328],1610612750.0,MIN,,,,Monroe,G. Monroe,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,out,['startperiod'],1627774,,,1610612762,29,22,2022-01-01T02:42:00Z,1660000,,,0,,SUB out: J. Layman,[1627774],1610612750.0,MIN,,,,Layman,J. Layman,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,out,['startperiod'],1627736,,,1610612762,29,22,2022-01-01T02:42:00Z,1670000,,,0,,SUB out: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,in,['startperiod'],1630233,,,1610612762,29,22,2022-01-01T02:42:00Z,1680000,,,0,,SUB in: N. Knight,[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,in,['startperiod'],201976,,,1610612762,29,22,2022-01-01T02:42:00Z,1690000,,,0,,SUB in: P. Beverley,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2022-01-01T02:41:34.3Z,2,REGULAR,substitution,in,['startperiod'],1630162,,,1610612762,29,22,2022-01-01T02:42:00Z,1700000,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2022-01-01T02:42:09.1Z,2,REGULAR,period,start,[],0,,,1610612750,29,22,2022-01-01T02:42:09Z,1710000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2022-01-01T02:42:10.7Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612750,29,22,2022-01-01T02:50:32Z,1720000,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,204059.0,,,,,,,,,,,,,
181,PT11M43.00S,2022-01-01T02:42:25.1Z,2,REGULAR,2pt,Jump Shot,[],1629669,10.33180026281209,67.64705882352942,1610612750,29,22,2022-01-01T02:44:57Z,1730000,-88.0,45.0,1,left,MISS J. Nowell 9' driving floating Shot,[1629669],1610612750.0,MIN,driving floating,,,Nowell,J. Nowell,,,,,,,,9.88,Missed,,,,,,,,,,,,,,,
182,PT11M39.00S,2022-01-01T02:42:29.1Z,2,REGULAR,rebound,offensive,[],1630233,,,1610612750,29,22,2022-01-01T02:47:28Z,1740000,,,0,,N. Knight REBOUND (Off:1 Def:0),[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,181.0,1.0,0.0,1.0,,,,,
183,PT11M38.00S,2022-01-01T02:42:31.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201976,27.94021024967148,75.73529411764706,1610612750,29,22,2022-01-01T02:47:28Z,1750000,-129.0,210.0,1,left,MISS P. Beverley 24' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,24.64,Missed,,,,,,,,,,,,,,,
184,PT11M34.00S,2022-01-01T02:42:35.7Z,2,REGULAR,rebound,offensive,[],1630233,,,1610612750,29,22,2022-01-01T02:46:50Z,1760000,,,0,,N. Knight REBOUND (Off:2 Def:0),[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,183.0,2.0,0.0,2.0,,,,,
