actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
92,PT04M02.00S,2021-11-28T02:25:45.8Z,1,REGULAR,foul,offensive,[],1626195,,,1610612740,24,14,2021-11-28T02:25:54Z,920000,,,0,,W. Hernangomez offensive FOUL (2 PF),"[1626195, 200752]",1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,202049.0,2.0,0.0,Gay,200752.0,,,,,,,,
94,PT04M02.00S,2021-11-28T02:25:45.8Z,1,REGULAR,turnover,offensive foul,[],1626195,,,1610612740,24,14,2021-11-28T02:25:45Z,940000,,,0,,W. Hernangomez offensive foul TURNOVER (1 TO),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,202049.0,,,,,1.0,,,,,,,
95,PT04M02.00S,2021-11-28T02:25:54.4Z,1,REGULAR,substitution,out,[],1626195,,,1610612762,24,14,2021-11-28T02:26:07Z,950000,,,0,,SUB out: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M02.00S,2021-11-28T02:25:54.4Z,1,REGULAR,substitution,out,[],1627742,,,1610612762,24,14,2021-11-28T02:26:07Z,960000,,,0,,SUB out: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M02.00S,2021-11-28T02:25:54.4Z,1,REGULAR,substitution,in,[],202685,,,1610612762,24,14,2021-11-28T02:26:07Z,970000,,,0,,SUB in: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M02.00S,2021-11-28T02:25:54.4Z,1,REGULAR,substitution,in,[],202066,,,1610612762,24,14,2021-11-28T02:26:07Z,980000,,,0,,SUB in: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M54.00S,2021-11-28T02:26:19.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202711,8.623521681997373,36.27450980392157,1610612762,26,14,2021-11-28T02:26:24Z,990000,69.0,29.0,1,left,B. Bogdanovic 7' driving Layup (6 PTS) (D. Mitchell 4 AST),"[202711, 1628378]",1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,7.43,Made,6.0,D. Mitchell,1628378.0,4.0,,,,,,,,,,,,,,
101,PT03M54.00S,2021-11-28T02:26:22.9Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",202066,,,1610612762,26,14,2021-11-28T02:26:32Z,1010000,,,0,,G. Temple shooting personal FOUL (1 PF) (Bogdanovic 1 FT),"[202066, 202711]",1610612740.0,NOP,shooting,,,Temple,G. Temple,,,,,,,,,,,,2714.0,1.0,0.0,Bogdanovic,202711.0,,,,,,,,
103,PT03M54.00S,2021-11-28T02:26:38.5Z,1,REGULAR,substitution,out,[],1628404,,,1610612762,26,14,2021-11-28T02:26:41Z,1030000,,,0,,SUB out: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
104,PT03M54.00S,2021-11-28T02:26:38.5Z,1,REGULAR,substitution,in,[],1629638,,,1610612762,26,14,2021-11-28T02:26:41Z,1040000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
105,PT03M54.00S,2021-11-28T02:26:58.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202711,,,1610612762,27,14,2021-11-28T02:26:58Z,1050000,,,0,,B. Bogdanovic Free Throw 1 of 1 (7 PTS),[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
106,PT03M47.00S,2021-11-28T02:27:07.2Z,1,REGULAR,3pt,Jump Shot,[],202685,70.25295663600527,76.22549019607843,1610612740,27,14,2021-11-28T02:27:13Z,1060000,131.0,227.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,26.22,Missed,,,,,,,,,,,,,,,,,,
107,PT03M43.00S,2021-11-28T02:27:11.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,27,14,2021-11-28T02:27:13Z,1070000,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,106.0,,,,,,,2.0,1.0,1.0,,,,
108,PT03M37.00S,2021-11-28T02:27:16.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628378,30.962549277266753,69.36274509803921,1610612762,30,14,2021-11-28T02:28:18Z,1080000,-97.0,239.0,1,left,D. Mitchell 25' 3PT pullup (8 PTS),[1628378],1610612762.0,UTA,pullup,,,Mitchell,D. Mitchell,,,,,25.74,Made,8.0,,,,,,,,,,,,,,,,,
109,PT03M36.00S,2021-11-28T02:27:24.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,30,14,2021-11-28T02:27:24Z,1090000,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M18.00S,2021-11-28T02:30:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,87.46714848883047,44.6078431372549,1610612740,30,14,2021-11-28T02:30:36Z,1100000,-27.0,65.0,1,right,MISS H. Jones 7' floating Shot,[1630529],1610612740.0,NOP,floating,,,Jones,H. Jones,,,,,7.07,Missed,,,,,,,,,,,,,,,,,,
111,PT03M17.00S,2021-11-28T02:30:32.6Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,30,14,2021-11-28T02:30:36Z,1110000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,110.0,,,,,,,1.0,1.0,0.0,,,,
112,PT03M05.00S,2021-11-28T02:30:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202355,6.258212877792378,59.80392156862745,1610612762,30,14,2021-11-28T02:30:49Z,1120000,-49.0,6.0,1,left,MISS H. Whiteside Layup,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,4.94,Missed,,,,,,,,,,,,,,,,,,
113,PT03M03.00S,2021-11-28T02:30:47.0Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,30,14,2021-11-28T02:30:49Z,1130000,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,112.0,,,,,,,2.0,2.0,0.0,,,,
114,PT03M00.00S,2021-11-28T02:30:50.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630184,93.77463863337714,57.84313725490197,1610612740,30,16,2021-11-28T02:31:18Z,1140000,39.0,6.0,1,right,K. Lewis Jr. running Layup (2 PTS) (H. Jones 1 AST),"[1630184, 1630529]",1610612740.0,NOP,running,,,Lewis Jr.,K. Lewis Jr.,,,,,3.97,Made,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,
116,PT02M42.00S,2021-11-28T02:31:07.2Z,1,REGULAR,3pt,Jump Shot,[],203903,24.26084099868594,84.80392156862744,1610612762,33,16,2021-11-28T02:31:11Z,1160000,-174.0,176.0,1,left,J. Clarkson 24' 3PT  (6 PTS) (D. Mitchell 5 AST),"[203903, 1628378]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,24.72,Made,6.0,D. Mitchell,1628378.0,5.0,,,,,,,,,,,,,,
118,PT02M30.00S,2021-11-28T02:31:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629638,93.64323258869908,96.81372549019608,1610612740,33,16,2021-11-28T02:31:23Z,1180000,234.0,7.0,1,right,MISS N. Alexander-Walker 3PT,[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,
119,PT02M28.00S,2021-11-28T02:31:21.2Z,1,REGULAR,rebound,offensive,[],1629638,,,1610612740,33,16,2021-11-28T02:31:23Z,1190000,,,0,,N. Alexander-Walker REBOUND (Off:1 Def:0),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,118.0,,,,,,,1.0,0.0,1.0,,,,
120,PT02M24.00S,2021-11-28T02:31:26.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202066,72.22404730617609,18.872549019607842,1610612740,33,16,2021-11-28T02:31:31Z,1200000,-156.0,209.0,1,right,MISS G. Temple 26' 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,
121,PT02M21.00S,2021-11-28T02:31:29.3Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,33,16,2021-11-28T02:31:31Z,1210000,,,0,,D. Mitchell REBOUND (Off:1 Def:2),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,120.0,,,,,,,3.0,2.0,1.0,,,,
122,PT02M14.00S,2021-11-28T02:31:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,7.440867279894875,59.068627450980394,1610612762,33,16,2021-11-28T02:31:41Z,1220000,-45.0,17.0,1,left,MISS D. Mitchell driving Layup,[1628378],1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,4.85,Missed,,,,,,,,,,,,,,,,,,
123,PT02M12.00S,2021-11-28T02:31:38.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,33,16,2021-11-28T02:31:41Z,1230000,,,0,,J. Valanciunas REBOUND (Off:0 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,122.0,,,,,,,3.0,3.0,0.0,,,,
124,PT02M10.00S,2021-11-28T02:31:41.7Z,1,REGULAR,foul,personal,[],202711,,,1610612740,33,16,2021-11-28T02:31:49Z,1240000,,,0,,B. Bogdanovic take personal FOUL (1 PF),"[202711, 1630184]",1610612762.0,UTA,take,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,1627964.0,1.0,0.0,Lewis Jr.,1630184.0,,,,,,,,
126,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,out,[],202355,,,1610612740,33,16,2021-11-28T02:31:54Z,1260000,,,0,,SUB out: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,out,[],202711,,,1610612740,33,16,2021-11-28T02:31:54Z,1270000,,,0,,SUB out: B. Bogdanovic,[202711],1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,out,[],1628378,,,1610612740,33,16,2021-11-28T02:31:54Z,1280000,,,0,,SUB out: D. Mitchell,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,
129,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,in,[],203497,,,1610612740,33,16,2021-11-28T02:31:54Z,1290000,,,0,,SUB in: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
130,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,in,[],204060,,,1610612740,33,16,2021-11-28T02:31:54Z,1300000,,,0,,SUB in: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
131,PT02M10.00S,2021-11-28T02:31:48.2Z,1,REGULAR,substitution,in,[],201144,,,1610612740,33,16,2021-11-28T02:31:54Z,1310000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
133,PT01M57.00S,2021-11-28T02:32:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,92.46057818659659,42.40196078431372,1610612740,33,16,2021-11-28T02:32:27Z,1330000,-38.0,18.0,1,right,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,4.22,Missed,,,,,,,,,,,,,,,,,,
134,PT01M50.00S,2021-11-28T02:32:24.3Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,33,16,2021-11-28T02:32:24Z,1340000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,133.0,,,,,,,4.0,3.0,1.0,,,,
135,PT01M50.00S,2021-11-28T02:32:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,33,18,2021-11-28T02:32:24Z,1350000,0.0,0.0,1,right,J. Valanciunas tip Layup (4 PTS),[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,
136,PT01M39.00S,2021-11-28T02:32:38.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",202066,,,1610612762,33,18,2021-11-28T02:33:14Z,1360000,,,0,,G. Temple personal FOUL (2 PF) (Gobert 2 FT),"[202066, 203497]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,2714.0,2.0,0.0,Gobert,203497.0,,,,,,,,
138,PT01M39.00S,2021-11-28T02:33:15.8Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612762,34,18,2021-11-28T02:33:38Z,1380000,,,0,,R. Gobert Free Throw 1 of 2 (3 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
139,PT01M39.00S,2021-11-28T02:33:15.8Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612762,35,18,2021-11-28T02:33:38Z,1390000,,,0,,R. Gobert Free Throw 2 of 2 (4 PTS),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
140,PT01M22.00S,2021-11-28T02:33:43.8Z,1,REGULAR,2pt,Jump Shot,[],202685,89.30683311432325,12.990196078431374,1610612740,35,20,2021-11-28T02:33:48Z,1400000,-185.0,48.0,1,right,J. Valanciunas 19' Jump Shot (6 PTS) (K. Lewis Jr. 1 AST),"[202685, 1630184]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,19.11,Made,6.0,K. Lewis Jr.,1630184.0,1.0,,,,,,,,,,,,,,
142,PT01M14.00S,2021-11-28T02:33:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203903,13.222733245729303,51.225490196078425,1610612762,37,20,2021-11-28T02:34:01Z,1420000,-6.0,72.0,1,left,J. Clarkson 7' driving floating Jump Shot (8 PTS),[203903],1610612762.0,UTA,driving floating,,,Clarkson,J. Clarkson,,,,,7.21,Made,8.0,,,,,,,,,,,,,,,,,
143,PT01M02.00S,2021-11-28T02:34:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630184,94.1688567674113,58.08823529411765,1610612740,37,20,2021-11-28T02:34:09Z,1430000,40.0,2.0,1,right,MISS K. Lewis Jr. driving Layup - blocked,"[1630184, 203497]",1610612740.0,NOP,driving,,,Lewis Jr.,K. Lewis Jr.,,,,,4.05,Missed,,,,,,,,,,,,,,,,,Gobert,203497.0
144,PT01M02.00S,2021-11-28T02:34:04.5Z,1,REGULAR,block,,[],203497,,,1610612740,37,20,2021-11-28T02:34:06Z,1440000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
145,PT00M59.10S,2021-11-28T02:34:07.4Z,1,REGULAR,rebound,defensive,[],204060,,,1610612762,37,20,2021-11-28T02:34:09Z,1450000,,,0,,J. Ingles REBOUND (Off:0 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,143.0,,,,,,,1.0,1.0,0.0,,,,
146,PT00M54.20S,2021-11-28T02:34:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.492115637319317,39.705882352941174,1610612762,37,20,2021-11-28T02:34:19Z,1460000,51.0,27.0,1,left,MISS R. Gobert Layup - blocked,"[203497, 1629638]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,5.83,Missed,,,,,,,,,,,,,,,,,Alexander-Walker,1629638.0
162,PT00M54.20S,2021-11-28T02:34:13.5Z,1,REGULAR,block,,[],1629638,,,1610612762,37,20,2021-11-28T02:37:39Z,1465000,,,0,,N. Alexander-Walker BLOCK (1 BLK),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M52.00S,2021-11-28T02:34:15.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,37,20,2021-11-28T02:34:19Z,1470000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,146.0,,,,,,,5.0,4.0,1.0,,,,
148,PT00M48.30S,2021-11-28T02:34:19.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202066,91.40932982917214,59.068627450980394,1610612740,37,22,2021-11-28T02:34:27Z,1480000,45.0,28.0,1,right,G. Temple driving Layup (2 PTS) (J. Valanciunas 1 AST),"[202066, 202685]",1610612740.0,NOP,driving,,,Temple,G. Temple,,,,,5.34,Made,2.0,J. Valanciunas,202685.0,1.0,,,,,,,,,,,,,,
150,PT00M32.00S,2021-11-28T02:34:40.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,18.610381077529567,47.30392156862745,1610612762,37,22,2021-11-28T02:34:46Z,1500000,13.0,122.0,1,left,MISS M. Conley 12' turnaround Shot,[201144],1610612762.0,UTA,turnaround,,,Conley,M. Conley,,,,,12.31,Missed,,,,,,,,,,,,,,,,,,
151,PT00M30.10S,2021-11-28T02:34:42.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,37,22,2021-11-28T02:34:46Z,1510000,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,150.0,,,,,,,6.0,5.0,1.0,,,,
152,PT00M18.70S,2021-11-28T02:34:54.9Z,1,REGULAR,foul,personal,['2freethrow'],200752,,,1610612740,37,22,2021-11-28T02:35:18Z,1520000,,,0,,R. Gay shooting personal FOUL (1 PF) (Jones 2 FT),"[200752, 1630529]",1610612762.0,UTA,shooting,,,Gay,R. Gay,,,,,,,,,,,,2714.0,1.0,0.0,Jones,1630529.0,,,,,,,,
154,PT00M18.70S,2021-11-28T02:35:25.9Z,1,REGULAR,freethrow,1 of 2,[],1630529,,,1610612740,37,23,2021-11-28T02:35:49Z,1540000,,,0,,H. Jones Free Throw 1 of 2 (1 PTS),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
155,PT00M18.70S,2021-11-28T02:35:29.9Z,1,REGULAR,substitution,out,[],1630184,,,1610612740,37,23,2021-11-28T02:35:33Z,1550000,,,0,,SUB out: K. Lewis Jr.,[1630184],1610612740.0,NOP,,,,Lewis Jr.,K. Lewis Jr.,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M18.70S,2021-11-28T02:35:29.9Z,1,REGULAR,substitution,in,[],203107,,,1610612740,37,23,2021-11-28T02:35:33Z,1560000,,,0,,SUB in: T. Satoransky,[203107],1610612740.0,NOP,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,
157,PT00M18.70S,2021-11-28T02:35:25.9Z,1,REGULAR,freethrow,2 of 2,[],1630529,,,1610612740,37,23,2021-11-28T02:35:49Z,1570000,,,0,,MISS H. Jones Free Throw 2 of 2,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Missed,,,,,,,,,,,,,,,,,,
158,PT00M17.20S,2021-11-28T02:35:27.4Z,1,REGULAR,rebound,defensive,[],200752,,,1610612762,37,23,2021-11-28T02:35:49Z,1580000,,,0,,R. Gay REBOUND (Off:0 Def:1),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,157.0,,,,,,,1.0,1.0,0.0,,,,
159,PT00M00.90S,2021-11-28T02:36:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,10.5946123521682,64.4607843137255,1610612762,37,23,2021-11-28T02:36:31Z,1590000,-72.0,47.0,1,left,MISS R. Gobert 8' turnaround fadeaway Shot,[203497],1610612762.0,UTA,turnaround fadeaway,,,Gobert,R. Gobert,,,,,8.63,Missed,,,,,,,,,,,,,,,,,,
160,PT00M00.90S,2021-11-28T02:36:04.4Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,37,23,2021-11-28T02:36:10Z,1600000,,,0,,J. Valanciunas REBOUND (Off:1 Def:6),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,159.0,,,,,,,7.0,6.0,1.0,,,,
161,PT00M00.00S,2021-11-28T02:36:11.1Z,1,REGULAR,period,end,[],0,,,1610612740,37,23,2021-11-28T02:36:11Z,1610000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,out,['startperiod'],200752,,,1610612740,37,23,2021-11-28T02:38:33Z,1620000,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,out,['startperiod'],1630529,,,1610612740,37,23,2021-11-28T02:38:33Z,1630000,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,out,['startperiod'],202066,,,1610612740,37,23,2021-11-28T02:38:33Z,1640000,,,0,,SUB out: G. Temple,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,,,,,,,,,,,,,,,
166,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,in,['startperiod'],1630235,,,1610612740,37,23,2021-11-28T02:38:33Z,1650000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
167,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,in,['startperiod'],1628404,,,1610612740,37,23,2021-11-28T02:38:33Z,1660000,,,0,,SUB in: J. Hart,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,
168,PT12M00.00S,2021-11-28T02:37:55.9Z,2,REGULAR,substitution,in,['startperiod'],1627742,,,1610612740,37,23,2021-11-28T02:38:33Z,1670000,,,0,,SUB in: B. Ingram,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2021-11-28T02:38:45.9Z,2,REGULAR,period,start,[],0,,,1610612762,37,23,2021-11-28T02:38:45Z,1680000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT11M44.00S,2021-11-28T02:39:01.6Z,2,REGULAR,3pt,Jump Shot,[],201144,25.837713534822605,82.59803921568627,1610612762,37,23,2021-11-28T02:48:28Z,1690000,-163.0,190.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,
171,PT11M37.00S,2021-11-28T02:39:08.6Z,2,REGULAR,rebound,offensive,[],204060,,,1610612762,37,23,2021-11-28T02:39:08Z,1700000,,,0,,J. Ingles REBOUND (Off:1 Def:1),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,170.0,,,,,,,2.0,1.0,1.0,,,,
172,PT11M37.00S,2021-11-28T02:39:07.8Z,2,REGULAR,turnover,bad pass,[],204060,,,1610612762,37,23,2021-11-28T02:39:12Z,1710000,,,0,,J. Ingles bad pass TURNOVER (1 TO),"[204060, 1629638]",1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,1.0,,,,Alexander-Walker,1629638.0,,
173,PT11M37.00S,2021-11-28T02:39:07.8Z,2,REGULAR,steal,,[],1629638,,,1610612740,37,23,2021-11-28T02:39:09Z,1720000,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,
175,PT11M17.00S,2021-11-28T02:39:28.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202685,89.83245729303549,34.068627450980394,1610612740,37,25,2021-11-28T02:39:34Z,1740000,-80.0,43.0,1,right,J. Valanciunas 9' turnaround Hook (8 PTS) (J. Hart 2 AST),"[202685, 1628404]",1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,9.06,Made,8.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,,,
177,PT10M55.00S,2021-11-28T02:39:50.7Z,2,REGULAR,3pt,Jump Shot,[],204060,25.443495400788436,16.666666666666664,1610612762,40,25,2021-11-28T02:48:56Z,1760000,167.0,187.0,1,left,J. Ingles 25' 3PT pullup (3 PTS) (R. Gobert 1 AST),"[204060, 203497]",1610612762.0,UTA,pullup,,,Ingles,J. Ingles,,,,,25.03,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
179,PT10M36.00S,2021-11-28T02:40:08.7Z,2,REGULAR,3pt,Jump Shot,[],1628404,74.45795006570303,12.5,1610612740,40,25,2021-11-28T02:40:13Z,1780000,-188.0,188.0,1,right,MISS J. Hart 26' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,
180,PT10M34.00S,2021-11-28T02:40:10.7Z,2,REGULAR,rebound,defensive,[],204060,,,1610612762,40,25,2021-11-28T02:40:13Z,1790000,,,0,,J. Ingles REBOUND (Off:1 Def:2),[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,179.0,,,,,,,3.0,2.0,1.0,,,,
