actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
83,PT05M26.00S,2025-12-23T02:58:28.6Z,1,REGULAR,freethrow,2 of 2,[],1642377,,,1610612763,15,16,2025-12-23T02:58:28Z,830000,False,,,0,,J. Wells Free Throw 2 of 2 (2 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
84,PT05M09.00S,2025-12-23T02:58:47.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,20.844283837056505,63.23529411764706,1610612760,15,16,2025-12-23T02:59:42Z,840000,False,-66.0,143.0,1,left,MISS S. Gilgeous-Alexander 15' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Center,15.79,Missed,,,,,,,,,,,,,,,,,,
85,PT05M04.00S,2025-12-23T02:58:52.1Z,1,REGULAR,rebound,defensive,[],1642942,,,1610612763,15,16,2025-12-23T02:58:55Z,850000,False,,,0,,J. Mashack REBOUND (Off:0 Def:1),[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Mid-Range,8-16 Center,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT04M56.00S,2025-12-23T02:58:59.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,93.64323258869908,54.166666666666664,1610612763,15,18,2025-12-23T03:01:01Z,860000,False,21.0,7.0,1,right,J. Wells driving Layup (4 PTS) (J. Mashack 1 AST),"[1642377, 1642942]",1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,2.2,Made,,,,,4.0,J. Mashack,1642942.0,1.0,,,,,,,,,,
87,PT04M42.00S,2025-12-23T02:59:13.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,5.469776609724048,47.30392156862745,1610612760,17,18,2025-12-23T02:59:18Z,870000,False,13.0,-1.0,1,left,L. Dort cutting Layup (2 PTS) (S. Gilgeous-Alexander 2 AST),"[1629652, 1628983]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,
89,PT04M32.00S,2025-12-23T02:59:22.6Z,1,REGULAR,3pt,Jump Shot,[],1642377,93.24901445466492,3.9215686274509802,1610612763,17,18,2025-12-23T02:59:30Z,890000,False,-230.0,11.0,1,right,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
90,PT04M30.00S,2025-12-23T02:59:24.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,17,18,2025-12-23T02:59:30Z,900000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Left Corner 3,24+ Left,,,89.0,,,,,,,,,,,,,,,,,
92,PT04M30.00S,2025-12-23T02:59:30.1Z,1,REGULAR,substitution,out,[],1631114,,,1610612760,17,18,2025-12-23T02:59:34Z,920000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M30.00S,2025-12-23T02:59:30.1Z,1,REGULAR,substitution,in,[],1642964,,,1610612760,17,18,2025-12-23T02:59:34Z,930000,False,,,0,,SUB in: B. Barnhizer,[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M25.00S,2025-12-23T02:59:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,4.681340341655716,49.50980392156863,1610612760,19,18,2025-12-23T03:05:19Z,940000,False,2.0,-8.0,1,left,K. Williams driving finger roll Layup (2 PTS) (S. Gilgeous-Alexander 3 AST),"[1629026, 1628983]",1610612760.0,OKC,driving finger roll,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,2.0,S. Gilgeous-Alexander,1628983.0,3.0,,,,,,,,,,
96,PT04M12.00S,2025-12-23T03:00:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1630198,,,1610612763,19,18,2025-12-23T03:00:10Z,960000,False,,,0,,I. Joe shooting personal FOUL (1 PF) (Caldwell-Pope 2 FT),"[1630198, 203484]",1610612760.0,OKC,shooting,,,Joe,I. Joe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Caldwell-Pope,203484.0,,
98,PT04M12.00S,2025-12-23T03:00:28.8Z,1,REGULAR,freethrow,1 of 2,[],203484,,,1610612763,19,18,2025-12-23T03:00:28Z,980000,False,,,0,,MISS K. Caldwell-Pope Free Throw 1 of 2,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
99,PT04M12.00S,2025-12-23T03:00:28.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,19,18,2025-12-23T03:00:28Z,990000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,
100,PT04M12.00S,2025-12-23T03:00:29.7Z,1,REGULAR,substitution,out,[],1629652,,,1610612763,19,18,2025-12-23T03:00:33Z,1000000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M12.00S,2025-12-23T03:00:29.7Z,1,REGULAR,substitution,in,[],1642349,,,1610612763,19,18,2025-12-23T03:00:33Z,1010000,False,,,0,,SUB in: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M12.00S,2025-12-23T03:00:46.7Z,1,REGULAR,freethrow,2 of 2,[],203484,,,1610612763,19,19,2025-12-23T03:00:46Z,1020000,False,,,0,,K. Caldwell-Pope Free Throw 2 of 2 (4 PTS),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
103,PT03M56.00S,2025-12-23T03:01:02.8Z,1,REGULAR,2pt,Jump Shot,[],1628983,25.312089356110377,42.8921568627451,1610612760,19,19,2025-12-23T03:01:08Z,1030000,False,36.0,185.0,1,left,MISS S. Gilgeous-Alexander 18' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Center,18.88,Missed,,,,,,,,,,,,,,,,,,
104,PT03M54.00S,2025-12-23T03:01:04.8Z,1,REGULAR,rebound,defensive,[],1642942,,,1610612763,19,19,2025-12-23T03:01:08Z,1040000,False,,,0,,J. Mashack REBOUND (Off:0 Def:2),[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Mid-Range,16-24 Center,,,103.0,2.0,2.0,0.0,,,,,,,,,,,,,,
105,PT03M47.00S,2025-12-23T03:01:16.0Z,1,REGULAR,turnover,out-of-bounds,[],1642942,,,1610612763,19,19,2025-12-23T03:01:21Z,1050000,False,,,0,,J. Mashack bad pass out-of-bounds TURNOVER (1 TO),[1642942],1610612763.0,MEM,bad pass,,,Mashack,J. Mashack,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,1628484.0,,,,,,
106,PT03M35.00S,2025-12-23T03:01:30.0Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,19,19,2025-12-23T03:01:35Z,1060000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1642942]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,Mashack,1642942.0
107,PT03M35.00S,2025-12-23T03:01:30.0Z,1,REGULAR,steal,,[],1642942,,,1610612763,19,19,2025-12-23T03:01:31Z,1070000,False,,,0,,J. Mashack STEAL (1 STL),[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
108,PT03M31.00S,2025-12-23T03:01:33.6Z,1,REGULAR,turnover,bad pass,[],1642942,,,1610612763,19,19,2025-12-23T03:01:37Z,1080000,False,,,0,,J. Mashack bad pass TURNOVER (2 TO),"[1642942, 1642349]",1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2.0,,,,,,,,Mitchell,1642349.0
109,PT03M31.00S,2025-12-23T03:01:33.6Z,1,REGULAR,steal,,[],1642349,,,1610612760,19,19,2025-12-23T03:01:35Z,1090000,False,,,0,,A. Mitchell STEAL (1 STL),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
110,PT03M27.00S,2025-12-23T03:01:38.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,5.601182654402102,51.71568627450981,1610612760,21,19,2025-12-23T03:01:44Z,1100000,False,-9.0,0.0,1,left,S. Gilgeous-Alexander running alley-oop DUNK (6 PTS) (K. Williams 1 AST),"[1628983, 1629026]",1610612760.0,OKC,running alley-oop,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,6.0,K. Williams,1629026.0,1.0,,,,,,,,,,
112,PT03M07.00S,2025-12-23T03:01:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630583,85.23324572930355,52.450980392156865,1610612763,21,19,2025-12-23T03:02:03Z,1120000,False,12.0,86.0,1,right,MISS S. Aldama 8' driving floating Shot,[1630583],1610612763.0,MEM,driving floating,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Center,8.72,Missed,,,,,,,,,,,,,,,,,,
113,PT03M05.00S,2025-12-23T03:01:59.3Z,1,REGULAR,rebound,defensive,[],1642964,,,1610612760,21,19,2025-12-23T03:02:03Z,1130000,False,,,0,,B. Barnhizer REBOUND (Off:0 Def:1),[1642964],1610612760.0,OKC,,,,Barnhizer,B. Barnhizer,,,,,In The Paint (Non-RA),8-16 Center,,,112.0,1.0,1.0,0.0,,,,,,,,,,,,,,
202,PT02M54.00S,2025-12-23T03:02:03.9Z,1,REGULAR,turnover,lost ball,[],1642349,,,1610612760,21,19,2025-12-23T03:14:46Z,1135000,False,,,0,,A. Mitchell lost ball TURNOVER (1 TO),"[1642349, 1642377]",1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,Wells,1642377.0
203,PT02M54.00S,2025-12-23T03:02:03.9Z,1,REGULAR,steal,,[],1642377,,,1610612763,21,19,2025-12-23T03:14:46Z,1137500,False,,,0,,J. Wells STEAL (1 STL),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
117,PT02M50.00S,2025-12-23T03:02:16.9Z,1,REGULAR,foul,offensive,[],1642377,,,1610612763,21,19,2025-12-23T03:02:25Z,1170000,False,,,0,,J. Wells charge offensive FOUL (1 PF),"[1642377, 1629026]",1610612763.0,MEM,charge,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,101284.0,1.0,0.0,Williams,1629026.0,,
119,PT02M50.00S,2025-12-23T03:02:16.9Z,1,REGULAR,turnover,offensive foul,[],1642377,,,1610612763,21,19,2025-12-23T03:02:16Z,1190000,False,,,0,,J. Wells offensive foul TURNOVER (1 TO),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1.0,,,101284.0,,,,,,
120,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,out,[],1642377,,,1610612760,21,19,2025-12-23T03:02:40Z,1200000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,out,[],1642942,,,1610612760,21,19,2025-12-23T03:02:40Z,1210000,False,,,0,,SUB out: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,out,[],203484,,,1610612760,21,19,2025-12-23T03:02:40Z,1220000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,in,[],1642907,,,1610612760,21,19,2025-12-23T03:02:40Z,1230000,False,,,0,,SUB in: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,in,[],1642285,,,1610612760,21,19,2025-12-23T03:02:40Z,1240000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M50.00S,2025-12-23T03:02:23.7Z,1,REGULAR,substitution,in,[],1628991,,,1610612760,21,19,2025-12-23T03:02:40Z,1250000,False,,,0,,SUB in: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M37.00S,2025-12-23T03:02:51.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629026,32.802233902759525,38.23529411764706,1610612760,24,19,2025-12-23T03:02:56Z,1260000,False,59.0,256.0,1,left,K. Williams 26' 3PT  (5 PTS) (S. Gilgeous-Alexander 4 AST),"[1629026, 1628983]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Center,26.25,Made,,,,,5.0,S. Gilgeous-Alexander,1628983.0,4.0,,,,,,,,,,
128,PT02M25.00S,2025-12-23T03:03:07.8Z,1,REGULAR,foul,personal,[],1629026,,,1610612763,24,19,2025-12-23T03:03:14Z,1280000,False,,,0,,K. Williams personal FOUL (2 PF),"[1629026, 1628991]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,204058.0,2.0,0.0,Jackson Jr.,1628991.0,,
131,PT02M13.00S,2025-12-23T03:03:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641765,92.06636005256242,45.34313725490196,1610612763,24,21,2025-12-23T03:14:18Z,1300000,False,-23.0,22.0,1,right,O. Prosper driving Layup (2 PTS) (C. Spencer 4 AST),"[1641765, 1642285]",1610612763.0,MEM,driving,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,3.21,Made,,,,,2.0,C. Spencer,1642285.0,4.0,,,,,,,,,,
133,PT01M56.00S,2025-12-23T03:03:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629026,5.338370565045992,45.83333333333333,1610612760,24,21,2025-12-23T03:04:04Z,1320000,False,21.0,-2.0,1,left,MISS K. Williams driving Layup - blocked,"[1629026, 1628991]",1610612760.0,OKC,driving,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,Jackson Jr.,1628991.0,,,,,,,
134,PT01M56.00S,2025-12-23T03:03:58.9Z,1,REGULAR,block,,[],1628991,,,1610612760,24,21,2025-12-23T03:04:01Z,1330000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
135,PT01M53.00S,2025-12-23T03:04:01.9Z,1,REGULAR,rebound,defensive,[],1642285,,,1610612763,24,21,2025-12-23T03:04:04Z,1340000,False,,,0,,C. Spencer REBOUND (Off:0 Def:3),[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Restricted Area,0-8 Center,,,133.0,3.0,3.0,0.0,,,,,,,,,,,,,,
136,PT01M49.00S,2025-12-23T03:04:06.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641765,96.27135348226018,94.85294117647058,1610612763,24,21,2025-12-23T03:15:06Z,1350000,False,224.0,-17.0,1,right,MISS O. Prosper running 3PT,[1641765],1610612763.0,MEM,running,,,Prosper,O. Prosper,,,,,Right Corner 3,24+ Right,22.5,Missed,,,,,,,,,,,,,,,,,,
137,PT01M45.00S,2025-12-23T03:04:10.1Z,1,REGULAR,rebound,defensive,[],1630198,,,1610612760,24,21,2025-12-23T03:04:11Z,1360000,False,,,0,,I. Joe REBOUND (Off:0 Def:1),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Right Corner 3,24+ Right,,,136.0,1.0,1.0,0.0,,,,,,,,,,,,,,
138,PT01M38.00S,2025-12-23T03:04:17.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1642349,7.440867279894875,55.88235294117647,1610612760,24,21,2025-12-23T03:16:37Z,1370000,False,-29.0,17.0,1,left,MISS A. Mitchell driving bank Shot - blocked,"[1642349, 1642907]",1610612760.0,OKC,driving bank,,,Mitchell,A. Mitchell,,,,,Restricted Area,0-8 Center,3.42,Missed,,,,,,,,,,Coward,1642907.0,,,,,,,
139,PT01M38.00S,2025-12-23T03:04:17.0Z,1,REGULAR,block,,[],1642907,,,1610612760,24,21,2025-12-23T03:04:19Z,1380000,False,,,0,,C. Coward BLOCK (1 BLK),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
140,PT01M35.00S,2025-12-23T03:04:20.0Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,24,21,2025-12-23T03:04:22Z,1390000,False,,,0,,C. Coward REBOUND (Off:0 Def:3),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,,,138.0,3.0,3.0,0.0,,,,,,,,,,,,,,
141,PT01M33.00S,2025-12-23T03:04:22.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642285,79.58278580814718,5.88235294117647,1610612763,24,24,2025-12-23T03:04:28Z,1400000,False,-221.0,139.0,1,right,C. Spencer 26' 3PT running (3 PTS) (C. Coward 2 AST),"[1642285, 1642907]",1610612763.0,MEM,running,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,26.1,Made,,,,,3.0,C. Coward,1642907.0,2.0,,,,,,,,,,
143,PT01M23.00S,2025-12-23T03:04:35.5Z,1,REGULAR,foul,personal,['2freethrow'],1641765,,,1610612760,24,24,2025-12-23T03:04:45Z,1420000,False,,,0,,O. Prosper shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1641765, 1628983]",1610612763.0,MEM,shooting,,,Prosper,O. Prosper,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,204058.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,
145,PT01M23.00S,2025-12-23T03:05:04.1Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,25,24,2025-12-23T03:05:04Z,1440000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (7 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
146,PT01M23.00S,2025-12-23T03:05:25.1Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,26,24,2025-12-23T03:05:25Z,1450000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
147,PT01M07.00S,2025-12-23T03:05:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,92.46057818659659,63.970588235294116,1610612763,26,24,2025-12-23T03:05:48Z,1460000,False,70.0,18.0,1,right,MISS J. Jackson Jr. 7' driving bank Shot,[1628991],1610612763.0,MEM,driving bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.23,Missed,,,,,,,,,,,,,,,,,,
148,PT01M06.00S,2025-12-23T03:05:43.0Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,26,24,2025-12-23T03:05:48Z,1470000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:3),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,147.0,3.0,3.0,0.0,,,,,,,,,,,,,,
149,PT00M54.50S,2025-12-23T03:05:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,13.091327201051248,51.470588235294116,1610612760,26,24,2025-12-23T03:17:39Z,1480000,False,-7.0,71.0,1,left,MISS A. Mitchell 7' driving floating Shot,[1642349],1610612760.0,OKC,driving floating,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.1,Missed,,,,,,,,,,,,,,,,,,
150,PT00M52.40S,2025-12-23T03:05:57.5Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,26,24,2025-12-23T03:06:01Z,1490000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,149.0,1.0,1.0,0.0,,,,,,,,,,,,,,
151,PT00M47.70S,2025-12-23T03:06:02.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630583,67.23061760840999,35.049019607843135,1610612763,26,24,2025-12-23T03:18:06Z,1500000,False,-75.0,256.0,1,right,MISS S. Aldama 26' running 3PT,[1630583],1610612763.0,MEM,running,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,26.62,Missed,,,,,,,,,,,,,,,,,,
152,PT00M44.70S,2025-12-23T03:06:05.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,26,24,2025-12-23T03:06:17Z,1510000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Center,,,151.0,,,,,,,,,,,,,,,,,
153,PT00M44.70S,2025-12-23T03:06:08.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641765,,,1610612760,26,24,2025-12-23T03:06:44Z,1520000,False,,,0,,O. Prosper loose ball personal FOUL (2 PF) (Joe 2 FT),"[1641765, 1630198]",1610612763.0,MEM,loose ball,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,204058.0,2.0,0.0,Joe,1630198.0,,
155,PT00M44.70S,2025-12-23T03:06:44.8Z,1,REGULAR,freethrow,1 of 2,[],1630198,,,1610612760,27,24,2025-12-23T03:06:44Z,1540000,False,,,0,,I. Joe Free Throw 1 of 2 (1 PTS),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
156,PT00M44.70S,2025-12-23T03:07:00.7Z,1,REGULAR,freethrow,2 of 2,[],1630198,,,1610612760,28,24,2025-12-23T03:07:00Z,1550000,False,,,0,,I. Joe Free Throw 2 of 2 (2 PTS),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
157,PT00M36.20S,2025-12-23T03:07:11.0Z,1,REGULAR,turnover,bad pass,[],1642285,,,1610612763,28,24,2025-12-23T03:07:16Z,1560000,False,,,0,,C. Spencer bad pass TURNOVER (2 TO),"[1642285, 1642349]",1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,,,,,,Mitchell,1642349.0
158,PT00M36.20S,2025-12-23T03:07:11.0Z,1,REGULAR,steal,,[],1642349,,,1610612760,28,24,2025-12-23T03:07:12Z,1570000,False,,,0,,A. Mitchell STEAL (2 STL),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
159,PT00M35.70S,2025-12-23T03:07:14.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641765,,,1610612760,28,24,2025-12-23T03:34:55Z,1580000,False,,,0,,O. Prosper personal FOUL (3 PF) (Mitchell 2 FT),"[1641765, 1642349]",1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,101284.0,3.0,0.0,Mitchell,1642349.0,,
161,PT00M35.70S,2025-12-23T03:07:42.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642349,,,1610612760,28,24,2025-12-23T03:34:55Z,1605000,False,,,0,,MISS A. Mitchell Free Throw 1 of 2,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
162,PT00M35.70S,2025-12-23T03:07:42.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,28,24,2025-12-23T03:34:55Z,1612500,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,
165,PT00M35.70S,2025-12-23T03:07:42.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642349,,,1610612760,29,24,2025-12-23T03:34:55Z,1616250,False,,,0,,A. Mitchell Free Throw 2 of 2 (1 PTS),[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
163,PT00M35.70S,2025-12-23T03:07:45.0Z,1,REGULAR,substitution,out,[],1629026,,,1610612763,29,24,2025-12-23T03:34:37Z,1620000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT00M35.70S,2025-12-23T03:07:45.0Z,1,REGULAR,substitution,in,[],1642382,,,1610612763,29,24,2025-12-23T03:34:37Z,1630000,False,,,0,,SUB in: B. Carlson,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M22.20S,2025-12-23T03:08:24.5Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1642382,,,1610612763,29,24,2025-12-23T03:22:54Z,1635000,False,,,0,,B. Carlson shooting personal FOUL (1 PF) (Jackson Jr. 3 FT),"[1642382, 1628991]",1610612760.0,OKC,shooting,,,Carlson,B. Carlson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,101284.0,1.0,0.0,Jackson Jr.,1628991.0,,
