actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
89,PT04M19.00S,2025-12-28T20:55:04.6Z,1,REGULAR,steal,,[],1628983,,,1610612760,20,18,2025-12-28T21:02:49Z,880000,False,,,0,,S. Gilgeous-Alexander STEAL (2 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
90,PT04M14.00S,2025-12-28T20:55:11.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1627936,6.652431011826544,50.98039215686274,1610612760,22,18,2025-12-28T20:55:23Z,890000,False,-5.0,10.0,1,left,A. Caruso cutting Layup (2 PTS) (C. Wallace 1 AST),"[1627936, 1641717]",1610612760.0,OKC,cutting,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,,,,1.11,Made,2.0,,,,,,C. Wallace,1641717.0,1.0,,,,,,
92,PT04M14.00S,2025-12-28T20:55:13.7Z,1,REGULAR,violation,defensive goaltending,[],1641737,,,1610612760,22,18,2025-12-28T20:55:23Z,910000,False,,,0,,A. Bona defensive goaltending VIOLATION,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,1155.0,,,,,,,,,
93,PT03M55.00S,2025-12-28T20:55:44.3Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612755,22,18,2025-12-28T20:56:26Z,920000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Bona 2 FT),"[1629652, 1641737]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Bona,1641737.0,,
95,PT03M55.00S,2025-12-28T20:56:27.4Z,1,REGULAR,freethrow,1 of 2,[],1641737,,,1610612755,22,19,2025-12-28T20:56:27Z,940000,False,,,0,,A. Bona Free Throw 1 of 2 (3 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
96,PT03M55.00S,2025-12-28T20:56:28.0Z,1,REGULAR,substitution,out,[],1629652,,,1610612755,22,19,2025-12-28T20:56:30Z,950000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT03M55.00S,2025-12-28T20:56:28.0Z,1,REGULAR,substitution,in,[],1628392,,,1610612755,22,19,2025-12-28T20:56:30Z,960000,False,,,0,,SUB in: I. Hartenstein,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT03M55.00S,2025-12-28T20:56:40.9Z,1,REGULAR,substitution,out,[],1642845,,,1610612755,22,19,2025-12-28T20:56:48Z,970000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT03M55.00S,2025-12-28T20:56:40.9Z,1,REGULAR,substitution,in,[],1642272,,,1610612755,22,19,2025-12-28T20:56:48Z,980000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT03M55.00S,2025-12-28T20:57:05.7Z,1,REGULAR,freethrow,2 of 2,[],1641737,,,1610612755,22,20,2025-12-28T20:57:05Z,990000,False,,,0,,A. Bona Free Throw 2 of 2 (4 PTS),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
101,PT03M45.00S,2025-12-28T20:57:19.0Z,1,REGULAR,3pt,Jump Shot,[],1630198,30.436925098554536,69.6078431372549,1610612760,22,20,2025-12-28T20:57:25Z,1000000,False,-98.0,234.0,1,left,MISS I. Joe 25' 3PT,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,,,,25.33,Missed,,,,,,,,,,,,,,,
102,PT03M42.00S,2025-12-28T20:57:22.0Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,22,20,2025-12-28T20:57:39Z,1010000,False,,,0,,D. Barlow REBOUND (Off:0 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Left Center,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,
103,PT03M33.00S,2025-12-28T20:57:32.8Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,22,20,2025-12-28T20:57:37Z,1020000,False,,,0,,T. Maxey lost ball out-of-bounds TURNOVER (2 TO),[1630178],1610612755.0,PHI,lost ball,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,2.0,,,,,,,,,,1155.0,,,,,,,,,
104,PT03M22.00S,2025-12-28T20:57:47.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628392,7.178055190538765,31.372549019607842,1610612760,22,20,2025-12-28T20:58:16Z,1030000,False,93.0,15.0,1,left,MISS I. Hartenstein 9' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Right,,,,9.43,Missed,,,,,,,,,,,,,,,
105,PT03M19.00S,2025-12-28T20:57:50.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,22,20,2025-12-28T20:57:50Z,1040000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,104.0,1.0,1.0,0.0,,,,,,,,,,
106,PT03M13.00S,2025-12-28T20:57:55.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,92.72339027595268,52.20588235294118,1610612755,22,22,2025-12-28T20:59:03Z,1050000,False,11.0,16.0,1,right,T. Maxey driving Layup (11 PTS),[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,1.93,Made,11.0,,,,,,,,,,,,,,
107,PT03M13.00S,2025-12-28T20:57:59.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,22,22,2025-12-28T20:57:59Z,1060000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M56.00S,2025-12-28T21:01:10.0Z,1,REGULAR,2pt,Jump Shot,[],1628983,14.931011826544022,17.15686274509804,1610612760,24,22,2025-12-28T21:01:15Z,1070000,False,164.0,88.0,1,left,S. Gilgeous-Alexander 18' fadeaway Jump Shot (8 PTS),[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right,,,,18.62,Made,8.0,,,,,,,,,,,,,,
109,PT02M36.00S,2025-12-28T21:01:29.0Z,1,REGULAR,3pt,Jump Shot,[],1629656,86.94152431011827,4.166666666666666,1610612755,24,25,2025-12-28T21:01:33Z,1080000,False,-229.0,70.0,1,right,Q. Grimes 3PT  (3 PTS) (J. McCain 1 AST),"[1629656, 1642272]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,,23.97,Made,3.0,,,,,,J. McCain,1642272.0,1.0,,,,,,
112,PT02M26.00S,2025-12-28T21:01:43.0Z,1,REGULAR,substitution,out,[],1630198,,,1610612760,24,25,2025-12-28T21:01:51Z,1110000,False,,,0,,SUB out: I. Joe,[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M26.00S,2025-12-28T21:01:43.0Z,1,REGULAR,substitution,in,[],1642349,,,1610612760,24,25,2025-12-28T21:01:51Z,1120000,False,,,0,,SUB in: A. Mitchell,[1642349],1610612760.0,OKC,,,,Mitchell,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M21.00S,2025-12-28T21:02:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.748357424441524,47.549019607843135,1610612760,24,25,2025-12-28T21:02:12Z,1130000,False,12.0,77.0,1,left,MISS S. Gilgeous-Alexander 7' turnaround fadeaway Shot,[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,7.77,Missed,,,,,,,,,,,,,,,
115,PT02M18.00S,2025-12-28T21:02:10.3Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612755,24,25,2025-12-28T21:02:12Z,1140000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,
116,PT02M13.00S,2025-12-28T21:02:15.2Z,1,REGULAR,3pt,Jump Shot,[],1642272,68.01905387647832,18.872549019607842,1610612755,24,25,2025-12-28T21:02:20Z,1150000,False,-156.0,248.0,1,right,MISS J. McCain 29' 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,,,,29.29,Missed,,,,,,,,,,,,,,,
117,PT02M11.00S,2025-12-28T21:02:17.2Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612760,24,25,2025-12-28T21:02:20Z,1160000,False,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,,
118,PT02M07.00S,2025-12-28T21:02:21.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642349,4.28712220762155,94.85294117647058,1610612760,27,25,2025-12-28T21:02:29Z,1170000,False,-224.0,-12.0,1,left,A. Mitchell 3PT running (3 PTS) (C. Wallace 2 AST),"[1642349, 1641717]",1610612760.0,OKC,running,,,Mitchell,A. Mitchell,,,,,Left Corner 3,24+ Left,,,,22.46,Made,3.0,,,,,,C. Wallace,1641717.0,2.0,,,,,,
120,PT01M56.00S,2025-12-28T21:02:34.4Z,1,REGULAR,turnover,out-of-bounds,[],1631230,,,1610612755,27,25,2025-12-28T21:02:38Z,1190000,False,,,0,,D. Barlow bad pass out-of-bounds TURNOVER (1 TO),[1631230],1610612755.0,PHI,bad pass,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,,203591.0,,,,,,,,,
121,PT01M38.00S,2025-12-28T21:03:02.8Z,1,REGULAR,foul,offensive,[],1628392,,,1610612760,27,25,2025-12-28T21:03:10Z,1200000,False,,,0,,I. Hartenstein offensive FOUL (2 PF),"[1628392, 1641737]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627964.0,,,,2.0,0.0,Bona,1641737.0,,
123,PT01M38.00S,2025-12-28T21:03:02.8Z,1,REGULAR,turnover,offensive foul,[],1628392,,,1610612760,27,25,2025-12-28T21:03:02Z,1220000,False,,,0,,I. Hartenstein offensive foul TURNOVER (1 TO),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,1627964.0,,,,,,,,,
124,PT01M38.00S,2025-12-28T21:03:09.0Z,1,REGULAR,substitution,out,[],1631230,,,1610612755,27,25,2025-12-28T21:03:14Z,1230000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M38.00S,2025-12-28T21:03:09.0Z,1,REGULAR,substitution,in,[],202331,,,1610612755,27,25,2025-12-28T21:03:14Z,1240000,False,,,0,,SUB in: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT01M26.00S,2025-12-28T21:03:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,91.93495400788436,47.30392156862745,1610612755,27,27,2025-12-28T21:03:56Z,1250000,False,-13.0,23.0,1,right,T. Maxey cutting Layup (13 PTS) (P. George 2 AST),"[1630178, 202331]",1610612755.0,PHI,cutting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,2.69,Made,13.0,,,,,,P. George,202331.0,2.0,,,,,,
128,PT01M14.00S,2025-12-28T21:03:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,7.046649145860711,41.17647058823529,1610612760,29,27,2025-12-28T21:03:42Z,1270000,False,44.0,14.0,1,left,A. Mitchell turnaround Jump Shot (5 PTS),[1642349],1610612760.0,OKC,turnaround,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,4.62,Made,5.0,,,,,,,,,,,,,,
129,PT00M53.00S,2025-12-28T21:04:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,92.06636005256242,52.69607843137255,1610612755,29,29,2025-12-28T21:04:04Z,1280000,False,13.0,22.0,1,right,T. Maxey driving Layup (15 PTS) (P. George 3 AST),"[1630178, 202331]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,2.59,Made,15.0,,,,,,P. George,202331.0,3.0,,,,,,
131,PT00M36.60S,2025-12-28T21:04:18.8Z,1,REGULAR,3pt,Jump Shot,[],1641717,3.3672798948751645,95.83333333333334,1610612760,32,29,2025-12-28T21:04:23Z,1300000,False,-229.0,-21.0,1,left,C. Wallace 3PT  (3 PTS) (A. Mitchell 1 AST),"[1641717, 1642349]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Left Corner 3,24+ Left,,,,23.01,Made,3.0,,,,,,A. Mitchell,1642349.0,1.0,,,,,,
133,PT00M19.70S,2025-12-28T21:04:40.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,65.39093298291722,18.38235294117647,1610612755,32,29,2025-12-28T21:04:45Z,1320000,False,-158.0,273.0,1,right,MISS T. Maxey 31' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,31.53,Missed,,,,,,,,,,,,,,,
134,PT00M16.20S,2025-12-28T21:04:43.9Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,32,29,2025-12-28T21:04:43Z,1330000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Left Center,,,,,,,133.0,1.0,1.0,0.0,,,,,,,,,,
135,PT00M06.10S,2025-12-28T21:04:56.2Z,1,REGULAR,foul,personal,[],1629656,,,1610612760,32,29,2025-12-28T21:05:06Z,1340000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1628983]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1155.0,,,,1.0,0.0,Gilgeous-Alexander,1628983.0,,
137,PT00M06.10S,2025-12-28T21:05:03.5Z,1,REGULAR,substitution,out,[],1630178,,,1610612760,32,29,2025-12-28T21:05:15Z,1360000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT00M06.10S,2025-12-28T21:05:03.5Z,1,REGULAR,substitution,out,[],1642272,,,1610612760,32,29,2025-12-28T21:05:15Z,1370000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT00M06.10S,2025-12-28T21:05:03.5Z,1,REGULAR,substitution,in,[],1631230,,,1610612760,32,29,2025-12-28T21:05:15Z,1380000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT00M06.10S,2025-12-28T21:05:03.5Z,1,REGULAR,substitution,in,[],1642845,,,1610612760,32,29,2025-12-28T21:05:15Z,1390000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT00M01.60S,2025-12-28T21:05:27.7Z,1,REGULAR,2pt,Jump Shot,[],1642349,8.754927726675426,33.33333333333333,1610612760,32,29,2025-12-28T21:11:03Z,1400000,False,83.0,30.0,1,left,MISS A. Mitchell 8' driving floating Shot - blocked,"[1642349, 1641737]",1610612760.0,OKC,driving floating,,,Mitchell,A. Mitchell,,,,,Mid-Range,8-16 Right,,,,8.85,Missed,,,,,,,,,,,,,,Bona,1641737.0
142,PT00M01.60S,2025-12-28T21:05:27.7Z,1,REGULAR,block,,[],1641737,,,1610612760,32,29,2025-12-28T21:05:32Z,1410000,False,,,0,,A. Bona BLOCK (1 BLK),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
143,PT00M01.60S,2025-12-28T21:05:27.7Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,32,29,2025-12-28T21:05:56Z,1420000,False,,,0,,C. Wallace REBOUND (Off:1 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,8-16 Right,,,,,,,141.0,2.0,1.0,1.0,,,,,,,,,,
154,PT00M00.30S,2025-12-28T21:05:48.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641717,17.69053876478318,36.51960784313725,1610612760,32,29,2025-12-28T21:10:13Z,1425000,False,67.0,114.0,1,left,MISS C. Wallace 13' floating Shot,[1641717],1610612760.0,OKC,floating,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,13.23,Missed,,,,,,,,,,,,,,,
155,PT00M00.10S,2025-12-28T21:05:48.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,32,29,2025-12-28T21:08:49Z,1427500,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,154.0,,,,,,,,,,,,,
144,PT00M00.00S,2025-12-28T21:06:08.7Z,1,REGULAR,period,end,[],0,,,1610612760,32,29,2025-12-28T21:06:08Z,1430000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,out,['startperiod'],1628983,,,1610612760,32,29,2025-12-28T21:08:02Z,1440000,False,,,0,,SUB out: S. Gilgeous-Alexander,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,
146,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,out,['startperiod'],1627936,,,1610612760,32,29,2025-12-28T21:08:02Z,1450000,False,,,0,,SUB out: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,out,['startperiod'],1631230,,,1610612760,32,29,2025-12-28T21:08:02Z,1460000,False,,,0,,SUB out: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,in,['startperiod'],1630598,,,1610612760,32,29,2025-12-28T21:08:02Z,1470000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,in,['startperiod'],1631114,,,1610612760,32,29,2025-12-28T21:08:02Z,1480000,False,,,0,,SUB in: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-12-28T21:06:11.9Z,2,REGULAR,substitution,in,['startperiod'],1642272,,,1610612760,32,29,2025-12-28T21:08:02Z,1490000,False,,,0,,SUB in: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-12-28T21:08:20.2Z,2,REGULAR,period,start,[],0,,,1610612760,32,29,2025-12-28T21:08:20Z,1500000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M50.00S,2025-12-28T21:08:33.2Z,2,REGULAR,foul,personal,[],1642272,,,1610612760,32,29,2025-12-28T21:08:57Z,1510000,False,,,0,,J. McCain personal FOUL (1 PF),"[1642272, 1630598]",1610612755.0,PHI,,,,McCain,J. McCain,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,203591.0,,,,1.0,0.0,Wiggins,1630598.0,,
156,PT11M41.00S,2025-12-28T21:08:56.0Z,2,REGULAR,foul,personal,['2freethrow'],1641737,,,1610612760,32,29,2025-12-28T21:09:05Z,1530000,False,,,0,,A. Bona shooting personal FOUL (1 PF) (Williams 2 FT),"[1641737, 1631114]",1610612755.0,PHI,shooting,,,Bona,A. Bona,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627964.0,,,,1.0,0.0,Williams,1631114.0,,
158,PT11M41.00S,2025-12-28T21:09:21.8Z,2,REGULAR,freethrow,1 of 2,[],1631114,,,1610612760,33,29,2025-12-28T21:09:21Z,1550000,False,,,0,,J. Williams Free Throw 1 of 2 (3 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
159,PT11M41.00S,2025-12-28T21:09:38.2Z,2,REGULAR,freethrow,2 of 2,[],1631114,,,1610612760,34,29,2025-12-28T21:09:38Z,1560000,False,,,0,,J. Williams Free Throw 2 of 2 (4 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
161,PT11M18.00S,2025-12-28T21:10:23.0Z,2,REGULAR,2pt,Jump Shot,[],1642845,80.76544021024968,27.941176470588236,1610612755,34,29,2025-12-28T21:10:29Z,1580000,False,-110.0,128.0,1,right,MISS V. Edgecombe 16' pullup Shot,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Left Center,,,,16.92,Missed,,,,,,,,,,,,,,,
162,PT11M15.00S,2025-12-28T21:10:26.0Z,2,REGULAR,rebound,offensive,[],1641737,,,1610612755,34,29,2025-12-28T21:10:29Z,1590000,False,,,0,,A. Bona REBOUND (Off:1 Def:0),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,16-24 Left Center,,,,,,,161.0,1.0,0.0,1.0,,,,,,,,,,
163,PT11M14.00S,2025-12-28T21:10:26.5Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641737,93.38042049934296,49.754901960784316,1610612755,34,31,2025-12-28T21:10:35Z,1600000,False,-1.0,10.0,1,right,A. Bona putback DUNK (6 PTS),[1641737],1610612755.0,PHI,putback,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,0.98,Made,6.0,,,,,,,,,,,,,,
164,PT11M05.00S,2025-12-28T21:10:35.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642349,19.267411300919843,37.99019607843137,1610612760,36,31,2025-12-28T21:10:41Z,1610000,False,60.0,129.0,1,left,A. Mitchell 14' pullup Jump Shot (7 PTS),[1642349],1610612760.0,OKC,pullup,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,14.19,Made,7.0,,,,,,,,,,,,,,
165,PT10M50.00S,2025-12-28T21:10:53.9Z,2,REGULAR,foul,offensive,[],1642845,,,1610612755,36,31,2025-12-28T21:11:00Z,1620000,False,,,0,,V. Edgecombe offensive FOUL (1 PF),"[1642845, 1631114]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1627964.0,,,,1.0,0.0,Williams,1631114.0,,
167,PT10M50.00S,2025-12-28T21:10:53.9Z,2,REGULAR,turnover,offensive foul,[],1642845,,,1610612755,36,31,2025-12-28T21:10:53Z,1640000,False,,,0,,V. Edgecombe offensive foul TURNOVER (1 TO),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,1627964.0,,,,,,,,,
168,PT10M38.00S,2025-12-28T21:11:18.6Z,2,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612760,36,31,2025-12-28T21:11:24Z,1650000,False,,,0,,Q. Grimes shooting personal FOUL (2 PF) (Williams 2 FT),"[1629656, 1631114]",1610612755.0,PHI,shooting,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627964.0,,,,2.0,0.0,Williams,1631114.0,,
170,PT10M38.00S,2025-12-28T21:11:43.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1631114,,,1610612760,37,31,2025-12-28T21:11:43Z,1670000,False,,,0,,J. Williams Free Throw 1 of 2 (5 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
171,PT10M38.00S,2025-12-28T21:12:01.9Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1631114,,,1610612760,38,31,2025-12-28T21:12:01Z,1680000,False,,,0,,J. Williams Free Throw 2 of 2 (6 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
172,PT10M27.00S,2025-12-28T21:12:14.3Z,2,REGULAR,2pt,Jump Shot,[],202331,92.32917214191852,20.833333333333336,1610612755,38,31,2025-12-28T21:12:18Z,1690000,False,-146.0,20.0,1,right,MISS P. George 14' pullup Shot,[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,8-16 Left,,,,14.71,Missed,,,,,,,,,,,,,,,
173,PT10M24.00S,2025-12-28T21:12:17.3Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612760,38,31,2025-12-28T21:12:18Z,1700000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,
174,PT10M17.00S,2025-12-28T21:12:28.0Z,2,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612760,38,31,2025-12-28T21:12:35Z,1710000,False,,,0,,Q. Grimes shooting personal FOUL (3 PF) (Wiggins 2 FT),"[1629656, 1630598]",1610612755.0,PHI,shooting,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203591.0,,,,3.0,0.0,Wiggins,1630598.0,,
