actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
90,PT07M02.00S,2024-11-28T00:22:27.1Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,19,8,2024-11-28T00:22:47Z,900000,False,,,0,,D. Daniels REBOUND (Off:1 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,89.0,2.0,1.0,1.0,,,,,,,,,,,
91,PT06M46.00S,2024-11-28T00:23:03.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,6.258212877792378,47.794117647058826,1610612737,19,8,2024-11-28T00:24:28Z,910000,False,11.0,6.0,1,left,MISS D. Daniels Layup,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,1.27,Missed,,,,,,,,,,,,,,,
92,PT06M43.00S,2024-11-28T00:23:06.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,19,8,2024-11-28T00:23:14Z,920000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,91.0,3.0,2.0,1.0,,,,,,,,,,,
93,PT06M36.00S,2024-11-28T00:23:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,94.56307490144546,50.73529411764706,1610612739,21,8,2024-11-28T00:25:11Z,930000,False,4.0,-1.0,1,right,J. Allen driving Layup (8 PTS) (T. Jerome 1 AST),"[1628386, 1629660]",1610612739.0,CLE,driving,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,0.4,Made,,,,,,,,,,8.0,,,T. Jerome,1629660.0,1.0
95,PT06M21.00S,2024-11-28T00:23:26.7Z,1,REGULAR,3pt,Jump Shot,[],1629631,32.670827858081466,47.30392156862745,1610612737,21,8,2024-11-28T00:23:31Z,950000,False,13.0,255.0,1,left,MISS D. Hunter 25' pullup 3PT,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,25.5,Missed,,,,,,,,,,,,,,,
96,PT06M19.00S,2024-11-28T00:23:28.7Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,21,8,2024-11-28T00:23:31Z,960000,False,,,0,,G. Niang REBOUND (Off:0 Def:1),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,,,,,95.0,1.0,1.0,0.0,,,,,,,,,,,
98,PT06M03.00S,2024-11-28T00:24:00.4Z,1,REGULAR,3pt,Jump Shot,[],1629660,68.41327201051249,73.2843137254902,1610612739,24,8,2024-11-28T00:24:04Z,980000,False,116.0,244.0,1,right,T. Jerome 27' 3PT  (3 PTS) (D. Garland 2 AST),"[1629660, 1629636]",1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Right Center,,,,27.07,Made,,,,,,,,,,3.0,,,D. Garland,1629636.0,2.0
100,PT05M55.00S,2024-11-28T00:24:13.0Z,1,REGULAR,foul,personal,[],1629660,,,1610612737,24,8,2024-11-28T00:24:58Z,1000000,False,,,0,,T. Jerome personal FOUL (1 PF),"[1629660, 1629027]",1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,202041.0,1.0,0.0,Young,1629027.0,,,,,,
102,PT05M49.00S,2024-11-28T00:25:01.0Z,1,REGULAR,3pt,Jump Shot,[],1630700,33.590670170827856,56.127450980392155,1610612737,24,8,2024-11-28T00:25:04Z,1020000,False,-31.0,263.0,1,left,MISS D. Daniels 26' 3PT,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,26.51,Missed,,,,,,,,,,,,,,,
103,PT05M45.00S,2024-11-28T00:25:05.0Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,24,8,2024-11-28T00:25:04Z,1030000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,
104,PT05M36.00S,2024-11-28T00:25:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630171,80.1084099868594,94.6078431372549,1610612739,27,8,2024-11-28T00:25:16Z,1040000,False,223.0,134.0,1,right,I. Okoro 26' 3PT  (8 PTS) (T. Jerome 2 AST),"[1630171, 1629660]",1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,,,,26.04,Made,,,,,,,,,,8.0,,,T. Jerome,1629660.0,2.0
106,PT05M26.00S,2024-11-28T00:25:26.5Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,27,8,2024-11-28T00:25:33Z,1060000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (2 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,16-24 Left,2.0,,,,,,,,,1628951.0,,,,,,,,,,
107,PT05M26.00S,2024-11-28T00:25:32.2Z,1,REGULAR,substitution,out,[],1630171,,,1610612739,27,8,2024-11-28T00:25:38Z,1070000,False,,,0,,SUB out: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT05M26.00S,2024-11-28T00:25:32.2Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,27,8,2024-11-28T00:25:38Z,1080000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT05M06.00S,2024-11-28T00:25:57.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630241,77.7431011826544,8.57843137254902,1610612739,27,8,2024-11-28T00:26:00Z,1090000,False,-207.0,157.0,1,right,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,,,,25.97,Missed,,,,,,,,,,,,,,,
110,PT05M03.00S,2024-11-28T00:25:59.4Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,27,8,2024-11-28T00:25:59Z,1100000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,,,,109.0,1.0,1.0,0.0,,,,,,,,,,,
111,PT04M56.00S,2024-11-28T00:26:06.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,30.17411300919842,23.52941176470588,1610612737,27,11,2024-11-28T00:26:10Z,1110000,False,132.0,231.0,1,left,D. Hunter 26' 3PT  (3 PTS) (T. Young 2 AST),"[1629631, 1629027]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,26.63,Made,,,,,,,,,,3.0,,,T. Young,1629027.0,2.0
113,PT04M55.00S,2024-11-28T00:26:14.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,27,11,2024-11-28T00:26:14Z,1130000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PT04M39.00S,2024-11-28T00:29:18.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,95.0886990801577,95.09803921568627,1610612739,30,11,2024-11-28T00:29:24Z,1140000,False,225.0,-6.0,1,right,G. Niang 3PT  (3 PTS) (T. Jerome 3 AST),"[1627777, 1629660]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,,,,22.56,Made,,,,,,,,,,3.0,,,T. Jerome,1629660.0,3.0
116,PT04M27.00S,2024-11-28T00:29:30.2Z,1,REGULAR,3pt,Jump Shot,[],203992,3.630091984231275,97.79411764705883,1610612737,30,14,2024-11-28T00:29:33Z,1160000,False,-239.0,-18.0,1,left,B. Bogdanović 3PT  (3 PTS) (T. Young 3 AST),"[203992, 1629027]",1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Left Corner 3,24+ Left,,,,23.97,Made,,,,,,,,,,3.0,,,T. Young,1629027.0,3.0
118,PT04M15.00S,2024-11-28T00:29:41.7Z,1,REGULAR,3pt,Jump Shot,[],1629660,91.5407358738502,3.431372549019608,1610612739,30,14,2024-11-28T00:29:46Z,1180000,False,-233.0,27.0,1,right,MISS T. Jerome 3PT,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Left Corner 3,24+ Left,,,,23.44,Missed,,,,,,,,,,,,,,,
119,PT04M13.00S,2024-11-28T00:29:43.7Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,30,14,2024-11-28T00:29:46Z,1190000,False,,,0,,B. Bogdanović REBOUND (Off:0 Def:1),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,Left Corner 3,24+ Left,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,,
120,PT04M05.00S,2024-11-28T00:29:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,7.178055190538765,51.470588235294116,1610612737,30,14,2024-11-28T00:33:01Z,1200000,False,-7.0,15.0,1,left,MISS T. Young driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,1.67,Missed,,,,,,,,,,,,,,,
121,PT04M05.00S,2024-11-28T00:29:58.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,30,14,2024-11-28T00:30:04Z,1210000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,120.0,,,,,,,,,,,,,,
124,PT04M05.00S,2024-11-28T00:30:01.0Z,1,REGULAR,foul,personal,[],1628386,,,1610612737,30,14,2024-11-28T00:30:08Z,1220000,False,,,0,,J. Allen loose ball personal FOUL (2 PF),"[1628386, 1630700]",1610612739.0,CLE,loose ball,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627524.0,2.0,0.0,Daniels,1630700.0,,,,,,
126,PT04M05.00S,2024-11-28T00:30:08.7Z,1,REGULAR,substitution,out,[],1630700,,,1610612737,30,14,2024-11-28T00:30:17Z,1240000,False,,,0,,SUB out: D. Daniels,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT04M05.00S,2024-11-28T00:30:08.7Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,30,14,2024-11-28T00:30:17Z,1250000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT03M58.00S,2024-11-28T00:30:27.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629631,20.318659658344284,36.76470588235294,1610612737,30,16,2024-11-28T00:33:53Z,1260000,False,66.0,138.0,1,left,D. Hunter 15' step back Jump Shot (5 PTS) (O. Okongwu 1 AST),"[1629631, 1630168]",1610612737.0,ATL,step back,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,15.35,Made,,,,,,,,,,5.0,,,O. Okongwu,1630168.0,1.0
130,PT03M46.00S,2024-11-28T00:30:38.3Z,1,REGULAR,3pt,Jump Shot,[],1627777,69.59592641261499,71.81372549019608,1610612739,30,16,2024-11-28T00:30:42Z,1280000,False,109.0,233.0,1,right,MISS G. Niang 25' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,,,,25.75,Missed,,,,,,,,,,,,,,,
131,PT03M44.00S,2024-11-28T00:30:41.2Z,1,REGULAR,rebound,offensive,[],1630241,,,1610612739,30,16,2024-11-28T00:30:41Z,1290000,False,,,0,,S. Merrill REBOUND (Off:1 Def:0),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,,,130.0,1.0,0.0,1.0,,,,,,,,,,,
132,PT03M41.00S,2024-11-28T00:30:43.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629660,71.82982917214193,17.892156862745097,1610612739,30,16,2024-11-28T00:30:47Z,1300000,False,-161.0,212.0,1,right,MISS T. Jerome 26' 3PT,[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,,,,26.61,Missed,,,,,,,,,,,,,,,
133,PT03M38.00S,2024-11-28T00:30:46.5Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,30,16,2024-11-28T00:30:47Z,1310000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,,,,132.0,1.0,1.0,0.0,,,,,,,,,,,
134,PT03M36.00S,2024-11-28T00:30:53.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627777,,,1610612737,30,16,2024-11-28T00:30:59Z,1320000,False,,,0,,G. Niang personal FOUL (1 PF) (Bogdanović 2 FT),"[1627777, 203992]",1610612739.0,CLE,,,,Niang,G. Niang,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1628951.0,1.0,0.0,Bogdanović,203992.0,,,,,,
136,PT03M36.00S,2024-11-28T00:31:19.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203992,,,1610612737,30,17,2024-11-28T00:34:49Z,1340000,False,,,0,,B. Bogdanović Free Throw 1 of 2 (4 PTS),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,Made,,,,,,,,,,4.0,,,,,
137,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,out,[],1629636,,,1610612737,30,17,2024-11-28T00:31:37Z,1350000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,out,[],1628386,,,1610612737,30,17,2024-11-28T00:31:37Z,1360000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,30,17,2024-11-28T00:31:37Z,1370000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,in,[],1630596,,,1610612737,30,17,2024-11-28T00:31:37Z,1380000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,in,[],1628378,,,1610612737,30,17,2024-11-28T00:31:37Z,1390000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT03M36.00S,2024-11-28T00:31:19.9Z,1,REGULAR,substitution,in,[],1641723,,,1610612737,30,17,2024-11-28T00:31:37Z,1400000,False,,,0,,SUB in: K. Bufkin,[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT03M36.00S,2024-11-28T00:31:19.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203992,,,1610612737,30,18,2024-11-28T00:34:49Z,1410000,False,,,0,,B. Bogdanović Free Throw 2 of 2 (5 PTS),[203992],1610612737.0,ATL,,,,Bogdanović,B. Bogdanović,,,,,,,,,,,Made,,,,,,,,,,5.0,,,,,
144,PT03M17.00S,2024-11-28T00:32:11.9Z,1,REGULAR,3pt,Jump Shot,[],1627777,67.09921156373193,56.372549019607845,1610612739,30,18,2024-11-28T00:32:15Z,1420000,False,32.0,257.0,1,right,MISS G. Niang 25' 3PT,[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,,,25.88,Missed,,,,,,,,,,,,,,,
145,PT03M15.00S,2024-11-28T00:32:13.9Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,30,18,2024-11-28T00:32:15Z,1430000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,,
146,PT03M03.00S,2024-11-28T00:32:27.1Z,1,REGULAR,turnover,bad pass,[],1629631,,,1610612737,30,18,2024-11-28T00:32:30Z,1440000,False,,,0,,D. Hunter bad pass TURNOVER (1 TO),"[1629631, 1630596]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Right,1.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,
147,PT03M03.00S,2024-11-28T00:32:27.1Z,1,REGULAR,steal,,[],1630596,,,1610612739,30,18,2024-11-28T00:32:29Z,1450000,False,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
148,PT02M58.00S,2024-11-28T00:32:31.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628378,75.24638633377135,8.823529411764707,1610612739,30,18,2024-11-28T00:32:38Z,1460000,False,-206.0,180.0,1,right,MISS D. Mitchell 27' running 3PT,[1628378],1610612739.0,CLE,running,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,27.36,Missed,,,,,,,,,,,,,,,
149,PT02M52.00S,2024-11-28T00:32:37.8Z,1,REGULAR,rebound,defensive,[],1641723,,,1610612737,30,18,2024-11-28T00:32:38Z,1470000,False,,,0,,K. Bufkin REBOUND (Off:0 Def:1),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Left Center,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,,,
150,PT02M52.00S,2024-11-28T00:32:40.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628378,,,1610612737,30,18,2024-11-28T00:32:50Z,1480000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Bufkin 2 FT),"[1628378, 1641723]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,202041.0,1.0,0.0,Bufkin,1641723.0,,,,,,
152,PT02M52.00S,2024-11-28T00:32:59.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612737,30,18,2024-11-28T00:34:53Z,1500000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT02M52.00S,2024-11-28T00:35:10.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641723,,,1610612737,30,19,2024-11-28T00:35:10Z,1530000,False,,,0,,K. Bufkin Free Throw 1 of 2 (1 PTS),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,Made,,,,,,,,,,1.0,,,,,
156,PT02M52.00S,2024-11-28T00:35:27.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641723,,,1610612737,30,20,2024-11-28T00:35:27Z,1540000,False,,,0,,K. Bufkin Free Throw 2 of 2 (2 PTS),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,,,,,,,Made,,,,,,,,,,2.0,,,,,
157,PT02M42.00S,2024-11-28T00:35:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,94.1688567674113,50.245098039215684,1610612739,32,20,2024-11-28T00:35:45Z,1550000,False,1.0,2.0,1,right,E. Mobley driving Layup (6 PTS) (T. Jerome 4 AST),"[1630596, 1629660]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,0.26,Made,,,,,,,,,,6.0,,,T. Jerome,1629660.0,4.0
158,PT02M30.00S,2024-11-28T00:35:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629631,29.25427069645204,22.54901960784314,1610612737,32,23,2024-11-28T00:36:03Z,1560000,False,137.0,222.0,1,left,D. Hunter 26' 3PT step back (8 PTS) (O. Okongwu 2 AST),"[1629631, 1630168]",1610612737.0,ATL,step back,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,,,,26.15,Made,,,,,,,,,,8.0,,,O. Okongwu,1630168.0,2.0
160,PT02M30.00S,2024-11-28T00:36:00.8Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1629660,,,1610612737,32,23,2024-11-28T00:36:12Z,1580000,False,,,0,,T. Jerome shooting personal FOUL (2 PF) (Hunter 1 FT),"[1629660, 1629631]",1610612739.0,CLE,shooting,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1627524.0,2.0,0.0,Hunter,1629631.0,,,,,,
162,PT02M30.00S,2024-11-28T00:36:21.1Z,1,REGULAR,freethrow,1 of 1,[],1629631,,,1610612737,32,24,2024-11-28T00:36:21Z,1600000,False,,,0,,D. Hunter Free Throw 1 of 1 (9 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,Made,,,,,,,,,,9.0,,,,,
163,PT02M21.00S,2024-11-28T00:36:32.5Z,1,REGULAR,3pt,Jump Shot,[],1630596,67.09921156373193,38.72549019607843,1610612739,32,24,2024-11-28T00:38:12Z,1610000,False,-56.0,257.0,1,right,MISS E. Mobley 26' pullup 3PT,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,26.29,Missed,,,,,,,,,,,,,,,
164,PT02M21.00S,2024-11-28T00:36:32.5Z,1,REGULAR,rebound,defensive,[],1641723,,,1610612737,32,24,2024-11-28T00:36:37Z,1620000,False,,,0,,K. Bufkin REBOUND (Off:0 Def:2),[1641723],1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Center,,,,,,163.0,2.0,2.0,0.0,,,,,,,,,,,
166,PT02M08.00S,2024-11-28T00:36:44.8Z,1,REGULAR,3pt,Jump Shot,[],1641723,21.50131406044678,2.941176470588235,1610612737,32,27,2024-11-28T00:36:49Z,1630000,False,235.0,150.0,1,left,K. Bufkin 27' 3PT  (5 PTS) (O. Okongwu 3 AST),"[1641723, 1630168]",1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Right Center,,,,27.88,Made,,,,,,,,,,5.0,,,O. Okongwu,1630168.0,3.0
168,PT01M55.00S,2024-11-28T00:36:57.9Z,1,REGULAR,2pt,Jump Shot,[],1628378,92.46057818659659,24.019607843137255,1610612739,34,27,2024-11-28T00:37:01Z,1650000,False,-130.0,18.0,1,right,D. Mitchell 13' pullup Jump Shot (2 PTS) (E. Mobley 2 AST),"[1628378, 1630596]",1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,13.12,Made,,,,,,,,,,2.0,,,E. Mobley,1630596.0,2.0
170,PT01M43.00S,2024-11-28T00:37:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630552,8.09789750328515,1.9607843137254901,1610612737,34,27,2024-11-28T00:37:12Z,1670000,False,240.0,24.0,1,left,MISS J. Johnson 24' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,24.14,Missed,,,,,,,,,,,,,,,
171,PT01M41.00S,2024-11-28T00:37:10.8Z,1,REGULAR,rebound,defensive,[],1627777,,,1610612739,34,27,2024-11-28T00:37:12Z,1680000,False,,,0,,G. Niang REBOUND (Off:0 Def:2),[1627777],1610612739.0,CLE,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,,,,,,170.0,2.0,2.0,0.0,,,,,,,,,,,
172,PT01M34.00S,2024-11-28T00:37:18.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,87.07293035479631,53.431372549019606,1610612739,34,27,2024-11-28T00:37:22Z,1690000,False,17.0,69.0,1,right,MISS D. Mitchell 7' driving floating Shot - blocked,"[1628378, 1630168]",1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,7.11,Missed,,,,,,,,,,,Okongwu,1630168.0,,,
173,PT01M34.00S,2024-11-28T00:37:18.7Z,1,REGULAR,block,,[],1630168,,,1610612739,34,27,2024-11-28T00:37:21Z,1700000,False,,,0,,O. Okongwu BLOCK (1 BLK),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
174,PT01M31.00S,2024-11-28T00:37:21.7Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,34,27,2024-11-28T00:37:22Z,1710000,False,,,0,,E. Mobley REBOUND (Off:1 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,172.0,4.0,3.0,1.0,,,,,,,,,,,
175,PT01M29.00S,2024-11-28T00:37:23.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630596,93.77463863337714,50.98039215686274,1610612739,34,27,2024-11-28T00:39:45Z,1720000,False,5.0,6.0,1,right,MISS E. Mobley driving bank Hook,[1630596],1610612739.0,CLE,driving bank,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,0.77,Missed,,,,,,,,,,,,,,,
176,PT01M27.00S,2024-11-28T00:37:25.6Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,34,27,2024-11-28T00:37:28Z,1730000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,175.0,2.0,2.0,0.0,,,,,,,,,,,
177,PT01M23.00S,2024-11-28T00:37:29.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630168,6.783837056504599,49.26470588235294,1610612737,34,29,2024-11-28T00:41:38Z,1740000,False,4.0,11.0,1,left,O. Okongwu running Layup (2 PTS) (J. Johnson 2 AST),"[1630168, 1630552]",1610612737.0,ATL,running,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,1.19,Made,,,,,,,,,,2.0,,,J. Johnson,1630552.0,2.0
179,PT01M07.00S,2024-11-28T00:37:49.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1641723,,,1610612739,34,29,2024-11-28T00:38:02Z,1760000,False,,,0,,K. Bufkin personal FOUL (1 PF) (Mitchell 2 FT),"[1641723, 1628378]",1610612737.0,ATL,,,,Bufkin,K. Bufkin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,202041.0,1.0,0.0,Mitchell,1628378.0,,,,,,
