actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
85,PT04M25.00S,2026-03-25T23:55:29.0Z,1,REGULAR,3pt,Jump Shot,[],1630558,4.812746386333772,99.50980392156863,1610612748,13,16,2026-03-25T23:55:34Z,840000,False,-248.0,-7.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,24.76,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
86,PT04M23.00S,2026-03-25T23:55:31.0Z,1,REGULAR,rebound,defensive,[],203471,,,1610612739,13,16,2026-03-25T23:55:34Z,850000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612739.0,CLE,,,,,,,Left Corner 3,24+ Left,,,Schröder,D. Schröder,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
87,PT04M15.00S,2026-03-25T23:55:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,93.64323258869908,50.245098039215684,1610612739,13,16,2026-03-25T23:57:57Z,860000,False,1.0,7.0,1,right,MISS D. Schröder driving finger roll Layup,[203471],1610612739.0,CLE,driving finger roll,,,,,,Restricted Area,0-8 Center,0.74,Missed,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,
88,PT04M14.00S,2026-03-25T23:55:42.9Z,1,REGULAR,rebound,offensive,[],1641772,,,1610612739,13,16,2026-03-25T23:57:57Z,870000,False,,,0,,N. Tomlin REBOUND (Off:1 Def:0),[1641772],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Tomlin,N. Tomlin,87.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
89,PT04M14.00S,2026-03-25T23:55:45.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1641772,94.40999984741211,50.0,1610612739,13,16,2026-03-25T23:58:13Z,880000,False,0.0,0.0,1,right,MISS N. Tomlin tip DUNK,[1641772],1610612739.0,CLE,tip,,,,,,Restricted Area,0-8 Center,0.0,Missed,Tomlin,N. Tomlin,,,,,,,,,,,,,,,,,,,
90,PT04M14.00S,2026-03-25T23:55:45.4Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612748,13,16,2026-03-25T23:58:13Z,890000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612748.0,MIA,,,,,,,Restricted Area,0-8 Center,,,Powell,N. Powell,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
91,PT04M05.00S,2026-03-25T23:55:54.1Z,1,REGULAR,foul,personal,[],1641772,,,1610612748,13,16,2026-03-25T23:56:12Z,900000,False,,,0,,N. Tomlin personal FOUL (1 PF),"[1641772, 1631170]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Tomlin,N. Tomlin,,,,,,,,,2004.0,1.0,0.0,Jaquez Jr.,1631170.0,,,,,,
95,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,13,16,2026-03-25T23:56:23Z,940000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,,,,,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,
96,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,in,[],1628378,,,1610612748,13,16,2026-03-25T23:56:23Z,950000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
97,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,in,[],1628418,,,1610612748,13,16,2026-03-25T23:56:23Z,960000,False,,,0,,SUB in: T. Bryant,[1628418],1610612739.0,CLE,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
98,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,in,[],1642276,,,1610612748,13,16,2026-03-25T23:56:23Z,970000,False,,,0,,SUB in: K. Ware,[1642276],1610612748.0,MIA,,,,,,,,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,
102,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,out,[],1631165,,,1610612748,13,16,2026-03-25T23:56:50Z,975000,False,,,0,,SUB out: K. Ellis,[1631165],1610612739.0,CLE,,,,,,,,,,,Ellis,K. Ellis,,,,,,,,,,,,,,,,,,,
105,PT04M05.00S,2026-03-25T23:56:05.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612748,13,16,2026-03-25T23:57:17Z,977500,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,,,,,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,
100,PT03M53.00S,2026-03-25T23:56:44.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,24.52365308804205,83.57843137254902,1610612748,13,16,2026-03-25T23:59:57Z,990000,False,-168.0,178.0,1,left,MISS N. Powell 24' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Left Center,24.47,Missed,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
101,PT03M50.00S,2026-03-25T23:56:47.8Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612739,13,16,2026-03-25T23:59:57Z,1000000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Bryant,T. Bryant,100.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
103,PT03M43.00S,2026-03-25T23:56:54.2Z,1,REGULAR,foul,personal,['2freethrow'],1631170,,,1610612739,13,16,2026-03-25T23:57:15Z,1010000,False,,,0,,J. Jaquez Jr. shooting personal FOUL (1 PF) (Harden 2 FT),"[1631170, 201935]",1610612748.0,MIA,shooting,,,,,,In The Paint (Non-RA),8-16 Right,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,2004.0,1.0,0.0,Harden,201935.0,,,,,,
106,PT03M43.00S,2026-03-25T23:57:21.7Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612739,14,16,2026-03-25T23:57:21Z,1030000,False,,,0,,J. Harden Free Throw 1 of 2 (4 PTS),[201935],1610612739.0,CLE,,,,,,,,,,Made,Harden,J. Harden,,,,,,,,4.0,,,,,,,,,,,
107,PT03M43.00S,2026-03-25T23:57:38.9Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612739,15,16,2026-03-25T23:57:38Z,1040000,False,,,0,,J. Harden Free Throw 2 of 2 (5 PTS),[201935],1610612739.0,CLE,,,,,,,,,,Made,Harden,J. Harden,,,,,,,,5.0,,,,,,,,,,,
108,PT03M28.00S,2026-03-25T23:57:55.8Z,1,REGULAR,3pt,Jump Shot,[],1642276,8.229303547963205,4.411764705882353,1610612748,15,19,2026-03-25T23:58:04Z,1050000,False,228.0,25.0,1,left,K. Ware 3PT  (3 PTS) (P. Larsson 1 AST),"[1642276, 1641796]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,22.93,Made,Ware,K. Ware,,,,,,,,3.0,,,,,,P. Larsson,1641796.0,1.0,,,
110,PT03M10.00S,2026-03-25T23:58:14.0Z,1,REGULAR,2pt,Jump Shot,[],1628418,82.86793692509855,74.01960784313727,1610612739,15,19,2026-03-25T23:58:19Z,1070000,False,120.0,109.0,1,right,MISS T. Bryant 16' Jump Shot,[1628418],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Right Center,16.19,Missed,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
111,PT03M08.00S,2026-03-25T23:58:16.0Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,15,19,2026-03-25T23:58:19Z,1080000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,,,,Mid-Range,16-24 Right Center,,,Ware,K. Ware,110.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
112,PT03M04.00S,2026-03-25T23:58:23.3Z,1,REGULAR,turnover,traveling,[],1641796,,,1610612748,15,19,2026-03-25T23:58:32Z,1090000,False,,,0,,P. Larsson traveling TURNOVER (1 TO),[1641796],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,Larsson,P. Larsson,,,,,1.0,,,,201246.0,,,,,,,,,,
113,PT02M48.00S,2026-03-25T23:58:54.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628418,67.23061760840999,58.82352941176471,1610612739,15,19,2026-03-25T23:58:59Z,1100000,False,44.0,256.0,1,right,MISS T. Bryant 25' 3PT,[1628418],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,25.93,Missed,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
114,PT02M45.00S,2026-03-25T23:58:57.5Z,1,REGULAR,rebound,defensive,[],1631170,,,1610612748,15,19,2026-03-25T23:58:57Z,1110000,False,,,0,,J. Jaquez Jr. REBOUND (Off:0 Def:1),[1631170],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Center,,,Jaquez Jr.,J. Jaquez Jr.,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
115,PT02M43.00S,2026-03-25T23:59:03.3Z,1,REGULAR,foul,personal,[],203471,,,1610612748,15,19,2026-03-25T23:59:12Z,1120000,False,,,0,,D. Schröder personal FOUL (1 PF),"[203471, 1626181]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,,,Schröder,D. Schröder,,,,,,,,,201246.0,1.0,0.0,Powell,1626181.0,,,,,,
117,PT02M43.00S,2026-03-25T23:59:12.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,15,19,2026-03-25T23:59:12Z,1140000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M43.00S,2026-03-25T23:59:14.1Z,1,REGULAR,substitution,out,[],1626181,,,1610612748,15,19,2026-03-26T00:02:18Z,1150000,False,,,0,,SUB out: N. Powell,[1626181],1610612748.0,MIA,,,,,,,,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,
119,PT02M43.00S,2026-03-25T23:59:14.1Z,1,REGULAR,substitution,out,[],1630558,,,1610612748,15,19,2026-03-26T00:02:18Z,1160000,False,,,0,,SUB out: D. Mitchell,[1630558],1610612748.0,MIA,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
120,PT02M43.00S,2026-03-25T23:59:14.1Z,1,REGULAR,substitution,in,[],1629639,,,1610612748,15,19,2026-03-26T00:02:18Z,1170000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,,,,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,
121,PT02M43.00S,2026-03-25T23:59:14.1Z,1,REGULAR,substitution,in,[],1642857,,,1610612748,15,19,2026-03-26T00:02:18Z,1180000,False,,,0,,SUB in: K. Jakučionis,[1642857],1610612748.0,MIA,,,,,,,,,,,Jakučionis,K. Jakučionis,,,,,,,,,,,,,,,,,,,
123,PT02M32.00S,2026-03-26T00:02:34.5Z,1,REGULAR,3pt,Jump Shot,[],1641796,30.17411300919842,68.38235294117648,1610612748,15,19,2026-03-26T00:02:41Z,1200000,False,-92.0,231.0,1,left,MISS P. Larsson 24' pullup 3PT,[1641796],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Left Center,24.87,Missed,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
124,PT02M28.00S,2026-03-26T00:02:38.5Z,1,REGULAR,rebound,defensive,[],203471,,,1610612739,15,19,2026-03-26T00:02:41Z,1210000,False,,,0,,D. Schröder REBOUND (Off:0 Def:2),[203471],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Schröder,D. Schröder,123.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
125,PT02M21.00S,2026-03-26T00:02:50.5Z,1,REGULAR,foul,offensive,[],1628418,,,1610612739,15,19,2026-03-26T00:02:59Z,1220000,False,,,0,,T. Bryant offensive FOUL (1 PF),"[1628418, 1629639]",1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Bryant,T. Bryant,,,,,,,,,2004.0,1.0,0.0,Herro,1629639.0,,,,,,
127,PT02M21.00S,2026-03-26T00:02:50.5Z,1,REGULAR,turnover,offensive foul,[],1628418,,,1610612739,15,19,2026-03-26T00:02:50Z,1240000,False,,,0,,T. Bryant offensive foul TURNOVER (1 TO),[1628418],1610612739.0,CLE,,,,,,,Mid-Range,8-16 Left,,,Bryant,T. Bryant,,,,,1.0,,,,2004.0,,,,,,,,,,
128,PT02M09.00S,2026-03-26T00:03:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,26.888961892247043,86.02941176470588,1610612748,15,22,2026-03-26T00:03:16Z,1250000,False,-180.0,200.0,1,left,T. Herro 26' 3PT  (6 PTS) (K. Jakučionis 1 AST),"[1629639, 1642857]",1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,26.94,Made,Herro,T. Herro,,,,,,,,6.0,,,,,,K. Jakučionis,1642857.0,1.0,,,
130,PT02M00.00S,2026-03-26T00:03:24.1Z,1,REGULAR,violation,kicked ball,[],1642276,,,1610612739,15,22,2026-03-26T00:03:29Z,1270000,False,,,0,,K. Ware kicked ball VIOLATION,[1642276],1610612748.0,MIA,,,,,,,,,,,Ware,K. Ware,,,,,,,,,201246.0,,,,,,,,,,
131,PT01M49.00S,2026-03-26T00:03:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,84.83902759526939,65.68627450980392,1610612739,15,22,2026-03-26T00:04:28Z,1280000,False,78.0,90.0,1,right,MISS D. Schröder 11' driving floating Shot - blocked,"[203471, 1641796]",1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Right,11.94,Missed,Schröder,D. Schröder,,,,,,,,,,,,,,,,,Larsson,1641796.0,
132,PT01M49.00S,2026-03-26T00:03:47.6Z,1,REGULAR,block,,[],1641796,,,1610612739,15,22,2026-03-26T00:03:50Z,1290000,False,,,0,,P. Larsson BLOCK (1 BLK),[1641796],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Right,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,
133,PT01M48.00S,2026-03-26T00:03:48.6Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,15,22,2026-03-26T00:04:28Z,1300000,False,,,0,,K. Ware REBOUND (Off:0 Def:2),[1642276],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Right,,,Ware,K. Ware,131.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
134,PT01M33.00S,2026-03-26T00:04:01.6Z,1,REGULAR,3pt,Jump Shot,[],1631170,10.068988173455978,4.411764705882353,1610612748,15,22,2026-03-26T00:04:06Z,1310000,False,228.0,42.0,1,left,MISS J. Jaquez Jr. 3PT,[1631170],1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,23.18,Missed,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,
135,PT01M31.00S,2026-03-26T00:04:03.6Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612739,15,22,2026-03-26T00:04:06Z,1320000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612739.0,CLE,,,,,,,Right Corner 3,24+ Right,,,Bryant,T. Bryant,134.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
136,PT01M15.00S,2026-03-26T00:04:23.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642857,,,1610612739,15,22,2026-03-26T00:04:36Z,1330000,False,,,0,,K. Jakučionis personal FOUL (1 PF) (Harden 2 FT),"[1642857, 201935]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,Jakučionis,K. Jakučionis,,,,,,,,,2004.0,1.0,0.0,Harden,201935.0,,,,,,
138,PT01M15.00S,2026-03-26T00:04:54.2Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612739,16,22,2026-03-26T00:04:54Z,1350000,False,,,0,,J. Harden Free Throw 1 of 2 (6 PTS),[201935],1610612739.0,CLE,,,,,,,,,,Made,Harden,J. Harden,,,,,,,,6.0,,,,,,,,,,,
139,PT01M15.00S,2026-03-26T00:05:13.5Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612739,17,22,2026-03-26T00:05:13Z,1360000,False,,,0,,J. Harden Free Throw 2 of 2 (7 PTS),[201935],1610612739.0,CLE,,,,,,,,,,Made,Harden,J. Harden,,,,,,,,7.0,,,,,,,,,,,
140,PT01M06.00S,2026-03-26T00:05:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641796,10.726018396846255,52.20588235294118,1610612748,17,24,2026-03-26T00:05:47Z,1370000,False,-11.0,48.0,1,left,P. Larsson driving floating Jump Shot (2 PTS),[1641796],1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,4.95,Made,Larsson,P. Larsson,,,,,,,,2.0,,,,,,,,,,,
141,PT01M06.00S,2026-03-26T00:05:29.9Z,1,REGULAR,foul,personal,['1freethrow'],1641772,,,1610612748,17,24,2026-03-26T00:05:40Z,1380000,False,,,0,,N. Tomlin shooting personal FOUL (2 PF) (Larsson 1 FT),"[1641772, 1641796]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,,,Tomlin,N. Tomlin,,,,,,,,,2004.0,2.0,0.0,Larsson,1641796.0,,,,,,
143,PT01M06.00S,2026-03-26T00:05:53.3Z,1,REGULAR,freethrow,1 of 1,[],1641796,,,1610612748,17,25,2026-03-26T00:05:53Z,1400000,False,,,0,,P. Larsson Free Throw 1 of 1 (3 PTS),[1641796],1610612748.0,MIA,,,,,,,,,,Made,Larsson,P. Larsson,,,,,,,,3.0,,,,,,,,,,,
144,PT00M50.60S,2026-03-26T00:06:11.0Z,1,REGULAR,3pt,Jump Shot,[],201935,80.1084099868594,95.83333333333334,1610612739,17,25,2026-03-26T00:06:15Z,1410000,False,229.0,134.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,26.57,Missed,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
145,PT00M48.50S,2026-03-26T00:06:13.1Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,17,25,2026-03-26T00:06:15Z,1420000,False,,,0,,K. Ware REBOUND (Off:0 Def:3),[1642276],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,Ware,K. Ware,144.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
146,PT00M41.60S,2026-03-26T00:06:22.0Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,17,25,2026-03-26T00:06:30Z,1430000,False,,,0,,T. Herro lost ball out-of-bounds TURNOVER (2 TO),[1629639],1610612748.0,MIA,lost ball,,,,,,Mid-Range,16-24 Left,,,Herro,T. Herro,,,,,2.0,,,,2004.0,,,,,,,,,,
147,PT00M23.30S,2026-03-26T00:06:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641772,92.9862023653088,53.18627450980392,1610612739,19,25,2026-03-26T00:07:20Z,1440000,False,16.0,13.0,1,right,N. Tomlin driving Layup (2 PTS) (D. Mitchell 1 AST),"[1641772, 1628378]",1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,2.08,Made,Tomlin,N. Tomlin,,,,,,,,2.0,,,,,,D. Mitchell,1628378.0,1.0,,,
149,PT00M03.30S,2026-03-26T00:07:08.8Z,1,REGULAR,3pt,Jump Shot,[],1629639,32.933639947437584,51.470588235294116,1610612748,19,28,2026-03-26T00:09:22Z,1460000,False,-7.0,257.0,1,left,T. Herro 25' 3PT pullup (9 PTS) (J. Jaquez Jr. 1 AST),"[1629639, 1631170]",1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Center,25.72,Made,Herro,T. Herro,,,,,,,,9.0,,,,,,J. Jaquez Jr.,1631170.0,1.0,,,
150,PT00M00.00S,2026-03-26T00:07:19.1Z,1,REGULAR,heave,,[],0,,,1610612739,19,28,2026-03-26T00:09:47Z,1470000,False,,,0,,CLE Heave,[],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,47.21,,,,,,,,,,,,,,,,,,,,,,
151,PT00M00.00S,2026-03-26T00:07:19.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,19,28,2026-03-26T00:09:47Z,1480000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Center,,,,,150.0,,,,,,,,,,,,,,,,,,
152,PT00M00.00S,2026-03-26T00:07:22.9Z,1,REGULAR,period,end,[],0,,,1610612739,19,28,2026-03-26T00:07:22Z,1490000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2026-03-26T00:07:38.1Z,2,REGULAR,substitution,out,['startperiod'],201935,,,1610612739,19,28,2026-03-26T00:10:05Z,1500000,False,,,0,,SUB out: J. Harden,[201935],1610612739.0,CLE,,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2026-03-26T00:07:38.1Z,2,REGULAR,substitution,in,['startperiod'],1630241,,,1610612739,19,28,2026-03-26T00:10:05Z,1510000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2026-03-26T00:10:16.2Z,2,REGULAR,period,start,[],0,,,1610612739,19,28,2026-03-26T00:10:16Z,1520000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT11M42.00S,2026-03-26T00:10:33.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630241,87.33574244415243,65.44117647058823,1610612739,21,28,2026-03-26T00:10:45Z,1530000,False,77.0,67.0,1,right,S. Merrill 10' driving floating bank Jump Shot (5 PTS) (D. Schröder 1 AST),"[1630241, 203471]",1610612739.0,CLE,driving floating bank,,,,,,In The Paint (Non-RA),8-16 Right,10.19,Made,Merrill,S. Merrill,,,,,,,,5.0,,,,,,D. Schröder,203471.0,1.0,,,
159,PT11M23.00S,2026-03-26T00:10:56.8Z,2,REGULAR,turnover,traveling,[],1641796,,,1610612748,21,28,2026-03-26T00:11:05Z,1550000,False,,,0,,P. Larsson traveling TURNOVER (2 TO),[1641796],1610612748.0,MIA,,,,,,,Mid-Range,8-16 Left,,,Larsson,P. Larsson,,,,,2.0,,,,1627526.0,,,,,,,,,,
160,PT11M12.00S,2026-03-26T00:11:15.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,72.88107752956637,16.176470588235293,1610612739,21,28,2026-03-26T00:11:23Z,1560000,False,-169.0,202.0,1,right,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,26.37,Missed,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
161,PT11M09.00S,2026-03-26T00:11:18.5Z,2,REGULAR,rebound,defensive,[],1629639,,,1610612748,21,28,2026-03-26T00:11:23Z,1570000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Left Center,,,Herro,T. Herro,160.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
162,PT10M49.00S,2026-03-26T00:11:37.8Z,2,REGULAR,3pt,Jump Shot,[],1642276,8.229303547963205,3.6764705882352944,1610612748,21,31,2026-03-26T00:11:44Z,1580000,False,232.0,25.0,1,left,K. Ware 3PT  (6 PTS) (J. Jaquez Jr. 2 AST),"[1642276, 1631170]",1610612748.0,MIA,,,,,,,Right Corner 3,24+ Right,23.29,Made,Ware,K. Ware,,,,,,,,6.0,,,,,,J. Jaquez Jr.,1631170.0,2.0,,,
164,PT10M27.00S,2026-03-26T00:12:00.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,84.70762155059133,58.333333333333336,1610612739,23,31,2026-03-26T00:12:49Z,1600000,False,42.0,91.0,1,right,D. Schröder 10' floating Jump Shot (2 PTS) (D. Mitchell 2 AST),"[203471, 1628378]",1610612739.0,CLE,floating,,,,,,In The Paint (Non-RA),8-16 Center,10.03,Made,Schröder,D. Schröder,,,,,,,,2.0,,,,,,D. Mitchell,1628378.0,2.0,,,
166,PT10M19.00S,2026-03-26T00:12:08.2Z,2,REGULAR,2pt,Jump Shot,[],1629639,4.155716162943495,80.63725490196079,1610612748,23,33,2026-03-26T00:12:14Z,1620000,False,-153.0,-13.0,1,left,T. Herro 15' step back Jump Shot (11 PTS) (K. Jakučionis 2 AST),"[1629639, 1642857]",1610612748.0,MIA,step back,,,,,,Mid-Range,8-16 Left,15.38,Made,Herro,T. Herro,,,,,,,,11.0,,,,,,K. Jakučionis,1642857.0,2.0,,,
168,PT10M05.00S,2026-03-26T00:12:26.0Z,2,REGULAR,violation,kicked ball,[],1642276,,,1610612739,23,33,2026-03-26T00:12:33Z,1640000,False,,,0,,K. Ware kicked ball VIOLATION,[1642276],1610612748.0,MIA,,,,,,,,,,,Ware,K. Ware,,,,,,,,,201246.0,,,,,,,,,,
170,PT09M53.00S,2026-03-26T00:12:55.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630241,82.21090670170827,53.92156862745098,1610612739,23,33,2026-03-26T00:13:52Z,1650000,False,20.0,115.0,1,right,MISS S. Merrill 11' driving floating Shot,[1630241],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,11.64,Missed,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
171,PT09M51.00S,2026-03-26T00:12:57.9Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,23,33,2026-03-26T00:13:06Z,1660000,False,,,0,,K. Ware REBOUND (Off:0 Def:4),[1642276],1610612748.0,MIA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Ware,K. Ware,170.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
172,PT09M41.00S,2026-03-26T00:13:07.2Z,2,REGULAR,3pt,Jump Shot,[],1631170,4.944152431011826,97.30392156862744,1610612748,23,36,2026-03-26T00:13:12Z,1670000,False,-237.0,-6.0,1,left,J. Jaquez Jr. 3PT  (3 PTS) (K. Ware 1 AST),"[1631170, 1642276]",1610612748.0,MIA,,,,,,,Left Corner 3,24+ Left,23.66,Made,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,3.0,,,,,,K. Ware,1642276.0,1.0,,,
174,PT09M28.00S,2026-03-26T00:13:20.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,85.49605781865965,58.82352941176471,1610612739,25,36,2026-03-26T00:13:24Z,1690000,False,44.0,84.0,1,right,D. Mitchell 9' driving floating Jump Shot (6 PTS),[1628378],1610612739.0,CLE,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,9.47,Made,Mitchell,D. Mitchell,,,,,,,,6.0,,,,,,,,,,,
