actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
94,PT05M51.00S,2025-12-23T00:28:02.6Z,1,REGULAR,2pt,Jump Shot,[],1629636,7.835085413929041,30.14705882352941,1610612739,22,19,2025-12-23T00:28:08Z,920000,False,99.0,21.0,1,left,MISS D. Garland 10' fadeaway bank Shot,[1629636],1610612739.0,CLE,fadeaway bank,,,,,,Mid-Range,8-16 Right,,,Garland,D. Garland,10.15,Missed,,,,,,,,,,,,,,,,,
95,PT05M49.00S,2025-12-23T00:28:04.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,22,19,2025-12-23T00:28:08Z,930000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,,,Bridges,M. Bridges,,,94.0,2.0,2.0,0.0,,,,,,,,,,,,,
96,PT05M44.00S,2025-12-23T00:28:09.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628970,93.51182654402102,51.71568627450981,1610612766,22,21,2025-12-23T00:28:14Z,940000,False,9.0,8.0,1,right,M. Bridges running Layup (3 PTS),[1628970],1610612766.0,CHA,running,,,,,,Restricted Area,0-8 Center,,,Bridges,M. Bridges,1.21,Made,,,,,,,,,3.0,,,,,,,,
97,PT05M24.00S,2025-12-23T00:28:31.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'defensivegoaltending']",1629631,10.726018396846255,57.107843137254896,1610612739,24,21,2025-12-23T00:30:46Z,950000,False,-36.0,48.0,1,left,D. Hunter floating Jump Shot (2 PTS) (D. Garland 2 AST),"[1629631, 1629636]",1610612739.0,CLE,floating,,,,,,In The Paint (Non-RA),0-8 Center,,,Hunter,D. Hunter,5.99,Made,,,,,,,,,2.0,D. Garland,1629636.0,2.0,,,,,
99,PT05M24.00S,2025-12-23T00:28:38.9Z,1,REGULAR,violation,defensive goaltending,[],1631217,,,1610612739,24,21,2025-12-23T00:28:44Z,970000,False,,,0,,M. Diabaté defensive goaltending VIOLATION,[1631217],1610612766.0,CHA,,,,,,,,,202058.0,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,
100,PT05M02.00S,2025-12-23T00:29:09.3Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612766,24,21,2025-12-23T00:29:23Z,980000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (James 2 FT),"[1628386, 1642883]",1610612739.0,CLE,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1627541.0,,Allen,J. Allen,,,,,,,1.0,0.0,James,1642883.0,,,,,,,,,
102,PT05M02.00S,2025-12-23T00:29:37.0Z,1,REGULAR,freethrow,1 of 2,[],1642883,,,1610612766,24,21,2025-12-23T00:29:37Z,1000000,False,,,0,,MISS S. James Free Throw 1 of 2,[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,Missed,,,,,,,,,,,,,,,,,
103,PT05M02.00S,2025-12-23T00:29:37.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,24,21,2025-12-23T00:29:37Z,1010000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,
104,PT05M02.00S,2025-12-23T00:29:37.9Z,1,REGULAR,substitution,out,[],1642281,,,1610612766,24,21,2025-12-23T00:29:50Z,1020000,False,,,0,,SUB out: J. Tyson,[1642281],1610612739.0,CLE,,,,,,,,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,
105,PT05M02.00S,2025-12-23T00:29:37.9Z,1,REGULAR,substitution,out,[],1628386,,,1610612766,24,21,2025-12-23T00:29:50Z,1030000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,,,,,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,
106,PT05M02.00S,2025-12-23T00:29:37.9Z,1,REGULAR,substitution,in,[],1628366,,,1610612766,24,21,2025-12-23T00:29:50Z,1040000,False,,,0,,SUB in: L. Ball,[1628366],1610612739.0,CLE,,,,,,,,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
107,PT05M02.00S,2025-12-23T00:29:37.9Z,1,REGULAR,substitution,in,[],1628418,,,1610612766,24,21,2025-12-23T00:29:50Z,1050000,False,,,0,,SUB in: T. Bryant,[1628418],1610612739.0,CLE,,,,,,,,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,
109,PT05M02.00S,2025-12-23T00:31:11.5Z,1,REGULAR,freethrow,2 of 2,[],1642883,,,1610612766,24,22,2025-12-23T00:31:11Z,1070000,False,,,0,,S. James Free Throw 2 of 2 (3 PTS),[1642883],1610612766.0,CHA,,,,,,,,,,,James,S. James,,Made,,,,,,,,,3.0,,,,,,,,
110,PT04M55.00S,2025-12-23T00:31:20.6Z,1,REGULAR,3pt,Jump Shot,[],1629631,19.66162943495401,93.38235294117648,1610612739,27,22,2025-12-23T00:31:25Z,1080000,False,-217.0,132.0,1,left,D. Hunter 25' 3PT  (5 PTS) (D. Garland 3 AST),"[1629631, 1629636]",1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,Hunter,D. Hunter,25.41,Made,,,,,,,,,5.0,D. Garland,1629636.0,3.0,,,,,
112,PT04M39.00S,2025-12-23T00:31:40.6Z,1,REGULAR,turnover,out-of-bounds,[],1642851,,,1610612766,27,22,2025-12-23T00:31:47Z,1100000,False,,,0,,K. Knueppel step out-of-bounds TURNOVER (1 TO),[1642851],1610612766.0,CHA,step,,,,,,Above the Break 3,24+ Right Center,1627541.0,1.0,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
113,PT04M22.00S,2025-12-23T00:32:00.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628418,6.652431011826544,61.029411764705884,1610612739,29,22,2025-12-23T00:32:07Z,1110000,False,-55.0,10.0,1,left,T. Bryant bank Hook (2 PTS) (L. Ball 1 AST),"[1628418, 1628366]",1610612739.0,CLE,bank,,,,,,In The Paint (Non-RA),0-8 Center,,,Bryant,T. Bryant,5.6,Made,,,,,,,,,2.0,L. Ball,1628366.0,1.0,,,,,
115,PT04M14.00S,2025-12-23T00:32:12.8Z,1,REGULAR,foul,personal,[],1629631,,,1610612766,29,22,2025-12-23T00:32:18Z,1130000,False,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 1642851]",1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,1629178.0,,Hunter,D. Hunter,,,,,,,1.0,0.0,Knueppel,1642851.0,,,,,,,,,
117,PT04M14.00S,2025-12-23T00:32:18.0Z,1,REGULAR,substitution,out,[],1629636,,,1610612766,29,22,2025-12-23T00:32:35Z,1150000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,,,,,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,
118,PT04M14.00S,2025-12-23T00:32:18.0Z,1,REGULAR,substitution,out,[],1642851,,,1610612766,29,22,2025-12-23T00:32:35Z,1160000,False,,,0,,SUB out: K. Knueppel,[1642851],1610612766.0,CHA,,,,,,,,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
119,PT04M14.00S,2025-12-23T00:32:18.0Z,1,REGULAR,substitution,in,[],1628378,,,1610612766,29,22,2025-12-23T00:32:35Z,1170000,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,,,,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,
120,PT04M14.00S,2025-12-23T00:32:18.0Z,1,REGULAR,substitution,in,[],1630544,,,1610612766,29,22,2025-12-23T00:32:35Z,1180000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
121,PT04M08.00S,2025-12-23T00:33:02.7Z,1,REGULAR,turnover,bad pass,[],1631217,,,1610612766,29,22,2025-12-23T00:33:14Z,1190000,False,,,0,,M. Diabaté bad pass TURNOVER (1 TO),"[1631217, 1630241]",1610612766.0,CHA,,,,,,,Mid-Range,16-24 Left Center,,1.0,Diabaté,M. Diabaté,,,,,,,,,,,,,,,Merrill,1630241.0,,,
122,PT04M08.00S,2025-12-23T00:33:02.7Z,1,REGULAR,steal,,[],1630241,,,1610612739,29,22,2025-12-23T00:33:06Z,1200000,False,,,0,,S. Merrill STEAL (1 STL),[1630241],1610612739.0,CLE,,,,,,,Mid-Range,16-24 Left Center,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
123,PT04M02.00S,2025-12-23T00:33:08.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629631,6.915243101182654,50.0,1610612739,31,22,2025-12-23T00:33:28Z,1210000,False,0.0,13.0,1,left,D. Hunter running finger roll Layup (7 PTS) (S. Merrill 1 AST),"[1629631, 1630241]",1610612739.0,CLE,running finger roll,,,,,,Restricted Area,0-8 Center,,,Hunter,D. Hunter,1.25,Made,,,,,,,,,7.0,S. Merrill,1630241.0,1.0,,,,,
125,PT03M49.00S,2025-12-23T00:33:21.1Z,1,REGULAR,3pt,Jump Shot,[],1630182,94.30026281208936,97.54901960784314,1610612766,31,25,2025-12-23T00:33:24Z,1230000,False,238.0,1.0,1,right,J. Green 3PT  (3 PTS) (S. James 1 AST),"[1630182, 1642883]",1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,Green,J. Green,23.77,Made,,,,,,,,,3.0,S. James,1642883.0,1.0,,,,,
127,PT03M33.00S,2025-12-23T00:33:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,8.623521681997373,37.254901960784316,1610612739,31,25,2025-12-23T00:36:07Z,1250000,False,64.0,29.0,1,left,MISS D. Hunter 6' Layup,[1629631],1610612739.0,CLE,,,,,,,In The Paint (Non-RA),0-8 Center,,,Hunter,D. Hunter,6.98,Missed,,,,,,,,,,,,,,,,,
128,PT03M30.00S,2025-12-23T00:33:40.0Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,31,25,2025-12-23T00:33:47Z,1260000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:1),[1631217],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Diabaté,M. Diabaté,,,127.0,1.0,1.0,0.0,,,,,,,,,,,,,
129,PT03M14.00S,2025-12-23T00:33:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1642883,91.93495400788436,61.51960784313726,1610612766,31,27,2025-12-23T00:34:01Z,1270000,False,58.0,23.0,1,right,S. James 6' driving Hook (5 PTS),[1642883],1610612766.0,CHA,driving,,,,,,In The Paint (Non-RA),0-8 Center,,,James,S. James,6.21,Made,,,,,,,,,5.0,,,,,,,,
130,PT02M59.00S,2025-12-23T00:34:12.3Z,1,REGULAR,3pt,Jump Shot,[],1630241,25.706307490144546,15.931372549019606,1610612739,31,27,2025-12-23T00:34:15Z,1280000,False,170.0,189.0,1,left,MISS S. Merrill 25' 3PT,[1630241],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Merrill,S. Merrill,25.45,Missed,,,,,,,,,,,,,,,,,
131,PT02M56.00S,2025-12-23T00:34:15.3Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,31,27,2025-12-23T00:34:15Z,1290000,False,,,0,,M. Diabaté REBOUND (Off:0 Def:2),[1631217],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Diabaté,M. Diabaté,,,130.0,2.0,2.0,0.0,,,,,,,,,,,,,
132,PT02M46.00S,2025-12-23T00:34:24.7Z,1,REGULAR,3pt,Jump Shot,[],1630544,65.1281208935611,69.36274509803921,1610612766,31,30,2025-12-23T00:34:29Z,1300000,False,97.0,275.0,1,right,T. Mann 29' 3PT  (3 PTS) (M. Bridges 1 AST),"[1630544, 1628970]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Mann,T. Mann,29.18,Made,,,,,,,,,3.0,M. Bridges,1628970.0,1.0,,,,,
134,PT02M43.00S,2025-12-23T00:34:31.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,31,30,2025-12-23T00:34:31Z,1320000,False,,,0,,CLE Timeout,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M28.00S,2025-12-23T00:38:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,4.681340341655716,48.03921568627451,1610612739,31,30,2025-12-23T00:38:17Z,1330000,False,10.0,-8.0,1,left,MISS D. Mitchell driving Layup - blocked,"[1628378, 1630544]",1610612739.0,CLE,driving,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,1.3,Missed,,,,,,,,,,,,,,,Mann,1630544.0,
136,PT02M28.00S,2025-12-23T00:38:10.2Z,1,REGULAR,block,,[],1630544,,,1610612739,31,30,2025-12-23T00:38:12Z,1340000,False,,,0,,T. Mann BLOCK (1 BLK),[1630544],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
137,PT02M27.00S,2025-12-23T00:38:11.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,31,30,2025-12-23T00:38:17Z,1350000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,,,,,135.0,,,,,,,,,,,,,,,,
139,PT02M14.00S,2025-12-23T00:38:51.2Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612766,31,30,2025-12-23T00:38:51Z,1370000,False,,,0,,Jump Ball D. Hunter vs. T. Mann: Tip to D. Mitchell,"[1628378, 1629631, 1630544]",1610612739.0,CLE,heldball,D. Mitchell,Hunter,1629631.0,Mann,1630544.0,,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,1628378.0
142,PT02M14.00S,2025-12-23T00:38:51.2Z,1,REGULAR,turnover,lost ball,[],1630544,,,1610612766,31,30,2025-12-23T00:38:51Z,1400000,False,,,0,,T. Mann lost ball TURNOVER (1 TO),"[1630544, 1629631]",1610612766.0,CHA,,,,,,,,,,1.0,Mann,T. Mann,,,,,,,,,,,,,,,Hunter,1629631.0,,,
143,PT02M14.00S,2025-12-23T00:38:51.2Z,1,REGULAR,steal,,[],1629631,,,1610612739,31,30,2025-12-23T00:38:51Z,1410000,False,,,0,,D. Hunter STEAL (1 STL),[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,
144,PT02M08.00S,2025-12-23T00:38:57.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,26.62614980289093,17.401960784313726,1610612739,31,30,2025-12-23T00:39:04Z,1420000,False,163.0,198.0,1,left,MISS D. Hunter 25' 3PT,[1629631],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Right Center,,,Hunter,D. Hunter,25.63,Missed,,,,,,,,,,,,,,,,,
145,PT02M05.00S,2025-12-23T00:39:00.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,31,30,2025-12-23T00:39:04Z,1430000,False,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628970],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Bridges,M. Bridges,,,144.0,3.0,3.0,0.0,,,,,,,,,,,,,
146,PT01M57.00S,2025-12-23T00:39:08.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,72.09264126149803,77.94117647058823,1610612766,31,30,2025-12-23T00:39:12Z,1440000,False,140.0,210.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Bridges,M. Bridges,25.21,Missed,,,,,,,,,,,,,,,,,
147,PT01M54.00S,2025-12-23T00:39:12.1Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,31,30,2025-12-23T00:39:12Z,1450000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:2),[1631217],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Diabaté,M. Diabaté,,,146.0,3.0,2.0,1.0,,,,,,,,,,,,,
148,PT01M50.00S,2025-12-23T00:39:15.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630544,88.91261498028909,30.637254901960787,1610612766,31,30,2025-12-23T00:39:20Z,1460000,False,-97.0,52.0,1,right,MISS T. Mann 10' driving floating Shot,[1630544],1610612766.0,CHA,driving floating,,,,,,Mid-Range,8-16 Left,,,Mann,T. Mann,10.97,Missed,,,,,,,,,,,,,,,,,
149,PT01M47.00S,2025-12-23T00:39:18.8Z,1,REGULAR,rebound,offensive,[],1630544,,,1610612766,31,30,2025-12-23T00:39:20Z,1470000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1630544],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,,Mann,T. Mann,,,148.0,1.0,0.0,1.0,,,,,,,,,,,,,
150,PT01M45.00S,2025-12-23T00:39:22.8Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628418,,,1610612766,31,30,2025-12-23T00:39:32Z,1480000,False,,,0,,T. Bryant shooting personal FOUL (1 PF) (Green 2 FT),"[1628418, 1630182]",1610612739.0,CLE,shooting,,,,,,Restricted Area,0-8 Center,202058.0,,Bryant,T. Bryant,,,,,,,1.0,0.0,Green,1630182.0,,,,,,,,,
152,PT01M45.00S,2025-12-23T00:39:47.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630182,,,1610612766,31,30,2025-12-23T00:39:47Z,1500000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,Missed,,,,,,,,,,,,,,,,,
153,PT01M45.00S,2025-12-23T00:39:47.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,31,30,2025-12-23T00:39:47Z,1510000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,152.0,,,,,,,,,,,,,,,,
154,PT01M45.00S,2025-12-23T00:39:47.9Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,31,30,2025-12-23T00:39:59Z,1520000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,
155,PT01M45.00S,2025-12-23T00:39:47.9Z,1,REGULAR,substitution,out,[],1630544,,,1610612766,31,30,2025-12-23T00:39:59Z,1530000,False,,,0,,SUB out: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
156,PT01M45.00S,2025-12-23T00:39:47.9Z,1,REGULAR,substitution,in,[],1642275,,,1610612766,31,30,2025-12-23T00:39:59Z,1540000,False,,,0,,SUB in: T. Salaün,[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,,
157,PT01M45.00S,2025-12-23T00:39:47.9Z,1,REGULAR,substitution,in,[],1642851,,,1610612766,31,30,2025-12-23T00:39:59Z,1550000,False,,,0,,SUB in: K. Knueppel,[1642851],1610612766.0,CHA,,,,,,,,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,
158,PT01M45.00S,2025-12-23T00:40:06.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630182,,,1610612766,31,31,2025-12-23T00:40:06Z,1560000,False,,,0,,J. Green Free Throw 2 of 2 (4 PTS),[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,Made,,,,,,,,,4.0,,,,,,,,
159,PT01M37.00S,2025-12-23T00:40:21.5Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1631217,,,1610612739,31,31,2025-12-23T00:40:27Z,1570000,False,,,0,,M. Diabaté personal FOUL (1 PF) (Hunter 2 FT),"[1631217, 1629631]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,1627541.0,,Diabaté,M. Diabaté,,,,,,,1.0,0.0,Hunter,1629631.0,,,,,,,,,
161,PT01M37.00S,2025-12-23T00:40:55.9Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612739,32,31,2025-12-23T00:40:55Z,1590000,False,,,0,,D. Hunter Free Throw 1 of 2 (8 PTS),[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,Made,,,,,,,,,8.0,,,,,,,,
162,PT01M37.00S,2025-12-23T00:40:56.5Z,1,REGULAR,substitution,out,[],1630182,,,1610612739,32,31,2025-12-23T00:41:02Z,1600000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,
163,PT01M37.00S,2025-12-23T00:40:56.5Z,1,REGULAR,substitution,in,[],1630544,,,1610612739,32,31,2025-12-23T00:41:02Z,1610000,False,,,0,,SUB in: T. Mann,[1630544],1610612766.0,CHA,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,
164,PT01M37.00S,2025-12-23T00:41:15.3Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612739,33,31,2025-12-23T00:41:15Z,1620000,False,,,0,,D. Hunter Free Throw 2 of 2 (9 PTS),[1629631],1610612739.0,CLE,,,,,,,,,,,Hunter,D. Hunter,,Made,,,,,,,,,9.0,,,,,,,,
165,PT01M22.00S,2025-12-23T00:41:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642275,94.30026281208936,48.529411764705884,1610612766,33,33,2025-12-23T00:41:39Z,1630000,False,-7.0,1.0,1,right,T. Salaün driving Layup (2 PTS) (T. Mann 1 AST),"[1642275, 1630544]",1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,,,Salaün,T. Salaün,0.75,Made,,,,,,,,,2.0,T. Mann,1630544.0,1.0,,,,,
167,PT01M12.00S,2025-12-23T00:41:44.8Z,1,REGULAR,3pt,Jump Shot,[],1628378,33.327858081471746,66.17647058823529,1610612739,33,33,2025-12-23T00:44:47Z,1650000,False,-81.0,261.0,1,left,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Center,,,Mitchell,D. Mitchell,27.31,Missed,,,,,,,,,,,,,,,,,
168,PT01M08.00S,2025-12-23T00:41:48.8Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,33,33,2025-12-23T00:41:49Z,1660000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,,,,Mid-Range,16-24 Center,,,Salaün,T. Salaün,,,167.0,1.0,1.0,0.0,,,,,,,,,,,,,
169,PT00M49.20S,2025-12-23T00:42:07.3Z,1,REGULAR,3pt,Jump Shot,[],1642851,72.61826544021025,12.254901960784313,1610612766,33,36,2025-12-23T00:42:11Z,1670000,False,-189.0,205.0,1,right,K. Knueppel 27' 3PT  (5 PTS) (S. James 2 AST),"[1642851, 1642883]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Knueppel,K. Knueppel,27.86,Made,,,,,,,,,5.0,S. James,1642883.0,2.0,,,,,
171,PT00M29.10S,2025-12-23T00:42:40.0Z,1,REGULAR,2pt,Jump Shot,[],1628378,9.017739816031538,29.166666666666668,1610612739,33,36,2025-12-23T00:42:44Z,1690000,False,104.0,32.0,1,left,MISS D. Mitchell 10' turnaround fadeaway Shot,[1628378],1610612739.0,CLE,turnaround fadeaway,,,,,,Mid-Range,8-16 Right,,,Mitchell,D. Mitchell,10.91,Missed,,,,,,,,,,,,,,,,,
172,PT00M27.00S,2025-12-23T00:42:42.1Z,1,REGULAR,rebound,defensive,[],1631217,,,1610612766,33,36,2025-12-23T00:42:42Z,1700000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:3),[1631217],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,,,Diabaté,M. Diabaté,,,171.0,4.0,3.0,1.0,,,,,,,,,,,,,
173,PT00M05.10S,2025-12-23T00:43:04.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,94.69448094612353,51.9607843137255,1610612766,33,36,2025-12-23T00:44:14Z,1710000,False,10.0,-3.0,1,right,MISS T. Mann driving finger roll Layup,[1630544],1610612766.0,CHA,driving finger roll,,,,,,Restricted Area,0-8 Center,,,Mann,T. Mann,1.01,Missed,,,,,,,,,,,,,,,,,
174,PT00M04.20S,2025-12-23T00:43:04.9Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,33,36,2025-12-23T00:46:41Z,1720000,False,,,0,,M. Diabaté REBOUND (Off:2 Def:3),[1631217],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Diabaté,M. Diabaté,,,173.0,5.0,3.0,2.0,,,,,,,,,,,,,
178,PT00M03.80S,2025-12-23T00:43:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631217,95.0886990801577,50.245098039215684,1610612766,33,36,2025-12-23T00:46:41Z,1725000,False,1.0,-6.0,1,right,MISS M. Diabaté tip Layup,[1631217],1610612766.0,CHA,tip,,,,,,Restricted Area,0-8 Center,,,Diabaté,M. Diabaté,0.64,Missed,,,,,,,,,,,,,,,,,
179,PT00M03.10S,2025-12-23T00:43:07.9Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,33,36,2025-12-23T00:46:29Z,1727500,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,,,,Restricted Area,0-8 Center,,,Mitchell,D. Mitchell,,,178.0,1.0,1.0,0.0,,,,,,,,,,,,,
175,PT00M00.00S,2025-12-23T00:43:10.5Z,1,REGULAR,3pt,Jump Shot,[],1628366,25.969119579500656,85.5392156862745,1610612739,33,36,2025-12-23T00:47:28Z,1730000,False,-178.0,192.0,1,left,MISS L. Ball 26' pullup 3PT,[1628366],1610612739.0,CLE,pullup,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,26.13,Missed,,,,,,,,,,,,,,,,,
176,PT00M00.00S,2025-12-23T00:43:10.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,33,36,2025-12-23T00:43:19Z,1740000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,Above the Break 3,24+ Left Center,,,,,,,175.0,,,,,,,,,,,,,,,,
177,PT00M00.00S,2025-12-23T00:43:15.5Z,1,REGULAR,period,end,[],0,,,1610612739,33,36,2025-12-23T00:43:15Z,1750000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2025-12-23T00:43:32.0Z,2,REGULAR,substitution,out,['startperiod'],1630241,,,1610612739,33,36,2025-12-23T00:46:34Z,1760000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,,,,,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,
