actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
88,PT03M21.00S,2022-01-04T03:55:05.7Z,1,REGULAR,steal,,[],1629006,,,1610612750,15,19,2022-01-04T03:55:07Z,880000,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT03M17.00S,2022-01-04T03:55:09.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629669,7.013797634691201,43.627450980392155,1610612750,15,19,2022-01-04T03:56:43Z,890000,32.0,13.0,1,left,MISS J. Nowell running Layup,[1629669],1610612750.0,MIN,running,,,Nowell,J. Nowell,,,,,,,3.46,Missed,,,,,,,,,,,,,,,,,
90,PT03M13.00S,2022-01-04T03:55:13.7Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,15,19,2022-01-04T03:55:16Z,900000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,89.0,,,,,,,1.0,1.0,0.0,,,,,,,
91,PT03M09.00S,2022-01-04T03:55:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629875,72.45400788436268,81.37254901960785,1610612746,15,19,2022-01-04T03:56:09Z,910000,157.0,206.0,1,right,MISS X. Moon 25' running 3PT,[1629875],1610612746.0,LAC,running,,,Moon,X. Moon,,,,,,,25.93,Missed,,,,,,,,,,,,,,,,,
92,PT03M09.00S,2022-01-04T03:55:16.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,15,19,2022-01-04T03:56:09Z,920000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,
93,PT03M06.00S,2022-01-04T03:55:24.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,15,19,2022-01-04T03:55:24Z,930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT02M57.00S,2022-01-04T03:55:34.1Z,1,REGULAR,3pt,Jump Shot,[],1629675,26.72470433639947,85.7843137254902,1610612750,15,22,2022-01-04T03:55:42Z,940000,-179.0,199.0,1,left,N. Reid 26' 3PT  (9 PTS) (J. McDaniels 2 AST),"[1629675, 1630183]",1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,26.74,Made,,,,9.0,J. McDaniels,1630183.0,2.0,,,,,,,,,,
96,PT02M37.00S,2022-01-04T03:55:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629117,90.19382391590013,55.14705882352941,1610612746,15,22,2022-01-04T03:56:00Z,960000,26.0,40.0,1,right,MISS W. Gabriel driving floating Shot - blocked,"[1629117, 1629006]",1610612746.0,LAC,driving floating,,,Gabriel,W. Gabriel,,,,,,,4.73,Missed,,,,,,,,,,,Okogie,1629006.0,,,,,
97,PT02M37.00S,2022-01-04T03:55:53.9Z,1,REGULAR,block,,[],1629006,,,1610612746,15,22,2022-01-04T03:56:49Z,970000,,,0,,J. Okogie BLOCK (1 BLK),[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT02M34.00S,2022-01-04T03:55:56.9Z,1,REGULAR,rebound,defensive,[],1629669,,,1610612750,15,22,2022-01-04T03:56:00Z,980000,,,0,,J. Nowell REBOUND (Off:0 Def:1),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,96.0,,,,,,,1.0,1.0,0.0,,,,,,,
99,PT02M32.00S,2022-01-04T03:55:59.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630183,5.436925098554539,47.30392156862745,1610612750,15,24,2022-01-04T03:59:31Z,990000,13.0,-1.0,1,left,J. McDaniels running DUNK (2 PTS) (M. Beasley 2 AST),"[1630183, 1627736]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,,,1.36,Made,,,,2.0,M. Beasley,1627736.0,2.0,,,,,,,,,,
101,PT02M31.00S,2022-01-04T03:56:05.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,15,24,2022-01-04T03:56:05Z,1010000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,out,[],202704,,,1610612746,15,24,2022-01-04T03:59:00Z,1020000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,15,24,2022-01-04T03:59:00Z,1030000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,out,[],1627736,,,1610612746,15,24,2022-01-04T03:59:00Z,1040000,,,0,,SUB out: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,in,[],1630553,,,1610612746,15,24,2022-01-04T03:59:00Z,1050000,,,0,,SUB in: K. Johnson,[1630553],1610612746.0,LAC,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,in,[],1629599,,,1610612746,15,24,2022-01-04T03:59:00Z,1060000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M31.00S,2022-01-04T03:58:44.9Z,1,REGULAR,substitution,in,[],1627752,,,1610612746,15,24,2022-01-04T03:59:00Z,1070000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT02M14.00S,2022-01-04T03:59:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,83.09789750328515,39.4607843137255,1610612746,17,24,2022-01-04T03:59:18Z,1080000,-53.0,106.0,1,right,M. Morris Sr. 11' turnaround fadeaway Jump Shot (4 PTS),[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,,,11.87,Made,,,,4.0,,,,,,,,,,,,,
109,PT01M57.00S,2022-01-04T03:59:27.8Z,1,REGULAR,3pt,Jump Shot,[],1629669,32.24375821287779,42.892156862745104,1610612750,17,24,2022-01-04T03:59:35Z,1090000,36.0,251.0,1,left,MISS J. Nowell 25' 3PT,[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,,
110,PT01M54.00S,2022-01-04T03:59:30.8Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,17,24,2022-01-04T03:59:35Z,1100000,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,109.0,,,,,,,1.0,1.0,0.0,,,,,,,
111,PT01M50.00S,2022-01-04T03:59:36.2Z,1,REGULAR,turnover,bad pass,[],1629599,,,1610612746,17,24,2022-01-04T03:59:41Z,1110000,,,0,,A. Coffey bad pass TURNOVER (1 TO),"[1629599, 1629669]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,1.0,,,,Nowell,1629669.0,,,,,,,,,,,,,,
112,PT01M50.00S,2022-01-04T03:59:36.2Z,1,REGULAR,steal,,[],1629669,,,1610612750,17,24,2022-01-04T03:59:37Z,1120000,,,0,,J. Nowell STEAL (1 STL),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT01M45.00S,2022-01-04T03:59:40.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630183,7.539421813403408,47.30392156862745,1610612750,17,24,2022-01-04T04:01:46Z,1130000,13.0,18.0,1,left,MISS J. McDaniels running finger roll Layup,[1630183],1610612750.0,MIN,running finger roll,,,McDaniels,J. McDaniels,,,,,,,2.28,Missed,,,,,,,,,,,,,,,,,
114,PT01M42.00S,2022-01-04T03:59:43.4Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,17,24,2022-01-04T03:59:43Z,1140000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,113.0,,,,,,,1.0,0.0,1.0,,,,,,,
115,PT01M42.00S,2022-01-04T03:59:43.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1630183,5.590000152587891,50.0,1610612750,17,24,2022-01-04T03:59:56Z,1150000,0.0,0.0,1,left,MISS J. McDaniels tip Layup,[1630183],1610612750.0,MIN,tip,,,McDaniels,J. McDaniels,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
116,PT01M42.00S,2022-01-04T03:59:43.4Z,1,REGULAR,rebound,defensive,[],1629117,,,1610612746,17,24,2022-01-04T03:59:53Z,1160000,,,0,,W. Gabriel REBOUND (Off:0 Def:2),[1629117],1610612746.0,LAC,,,,Gabriel,W. Gabriel,,,,,,,,,115.0,,,,,,,2.0,2.0,0.0,,,,,,,
117,PT01M29.00S,2022-01-04T03:59:56.5Z,1,REGULAR,foul,personal,['2freethrow'],1629006,,,1610612746,17,24,2022-01-04T04:00:04Z,1170000,,,0,,J. Okogie shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[1629006, 202694]",1610612750.0,MIN,shooting,,,Okogie,J. Okogie,,,,,2002.0,,,,,,,,,,,,,,,,1.0,0.0,Morris Sr.,202694.0,
119,PT01M29.00S,2022-01-04T04:00:33.6Z,1,REGULAR,freethrow,1 of 2,[],202694,,,1610612746,18,24,2022-01-04T04:00:33Z,1190000,,,0,,M. Morris Sr. Free Throw 1 of 2 (5 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,
120,PT01M29.00S,2022-01-04T04:00:35.8Z,1,REGULAR,substitution,out,[],1629675,,,1610612746,18,24,2022-01-04T04:00:41Z,1200000,,,0,,SUB out: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M29.00S,2022-01-04T04:00:35.8Z,1,REGULAR,substitution,in,[],1630233,,,1610612746,18,24,2022-01-04T04:00:41Z,1210000,,,0,,SUB in: N. Knight,[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M29.00S,2022-01-04T04:00:52.4Z,1,REGULAR,freethrow,2 of 2,[],202694,,,1610612746,19,24,2022-01-04T04:00:52Z,1220000,,,0,,M. Morris Sr. Free Throw 2 of 2 (6 PTS),[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,Made,,,,6.0,,,,,,,,,,,,,
123,PT01M14.00S,2022-01-04T04:01:09.1Z,1,REGULAR,turnover,bad pass,[],1627752,,,1610612750,19,24,2022-01-04T04:01:16Z,1230000,,,0,,T. Prince bad pass TURNOVER (1 TO),"[1627752, 1630553]",1610612750.0,MIN,,,,Prince,T. Prince,,,,,,1.0,,,,Johnson,1630553.0,,,,,,,,,,,,,,
124,PT01M14.00S,2022-01-04T04:01:09.1Z,1,REGULAR,steal,,[],1630553,,,1610612746,19,24,2022-01-04T04:01:10Z,1240000,,,0,,K. Johnson STEAL (1 STL),[1630553],1610612746.0,LAC,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT01M09.00S,2022-01-04T04:01:15.2Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1627752,,,1610612746,19,24,2022-01-04T04:01:23Z,1250000,,,0,,T. Prince shooting personal FOUL (1 PF) (Johnson 2 FT),"[1627752, 1630553]",1610612750.0,MIN,shooting,,,Prince,T. Prince,,,,,203054.0,,,,,,,,,,,,,,,,1.0,0.0,Johnson,1630553.0,
127,PT01M09.00S,2022-01-04T04:01:43.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630553,,,1610612746,20,24,2022-01-04T04:01:43Z,1270000,,,0,,K. Johnson Free Throw 1 of 2 (1 PTS),[1630553],1610612746.0,LAC,,,,Johnson,K. Johnson,,,,,,,,Made,,,,1.0,,,,,,,,,,,,,
128,PT01M09.00S,2022-01-04T04:01:44.6Z,1,REGULAR,substitution,out,[],202694,,,1610612746,20,24,2022-01-04T04:01:50Z,1280000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M09.00S,2022-01-04T04:01:44.6Z,1,REGULAR,substitution,in,[],1626159,,,1610612746,20,24,2022-01-04T04:01:50Z,1290000,,,0,,SUB in: J. Winslow,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT01M09.00S,2022-01-04T04:02:02.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630553,,,1610612746,21,24,2022-01-04T04:02:02Z,1300000,,,0,,K. Johnson Free Throw 2 of 2 (2 PTS),[1630553],1610612746.0,LAC,,,,Johnson,K. Johnson,,,,,,,,Made,,,,2.0,,,,,,,,,,,,,
131,PT00M49.10S,2022-01-04T04:02:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629006,8.722076215505908,97.79411764705883,1610612750,21,24,2022-01-04T04:02:32Z,1310000,-239.0,29.0,1,left,MISS J. Okogie 24' 3PT,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,24.08,Missed,,,,,,,,,,,,,,,,,
132,PT00M46.00S,2022-01-04T04:02:26.5Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612746,21,24,2022-01-04T04:02:32Z,1320000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612746.0,LAC,,,,Johnson,K. Johnson,,,,,,,,,131.0,,,,,,,1.0,1.0,0.0,,,,,,,
133,PT00M26.50S,2022-01-04T04:02:46.2Z,1,REGULAR,3pt,Jump Shot,[],1629599,67.7233902759527,33.57843137254902,1610612746,21,24,2022-01-04T04:02:51Z,1330000,-82.0,251.0,1,right,MISS A. Coffey 26' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,26.4,Missed,,,,,,,,,,,,,,,,,
134,PT00M23.00S,2022-01-04T04:02:49.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612750,21,24,2022-01-04T04:02:51Z,1340000,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,133.0,,,,,,,1.0,1.0,0.0,,,,,,,
135,PT00M03.60S,2022-01-04T04:03:09.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629669,10.430354796320628,45.09803921568627,1610612750,21,26,2022-01-04T04:03:16Z,1350000,25.0,46.0,1,left,J. Nowell driving Layup (4 PTS),[1629669],1610612750.0,MIN,driving,,,Nowell,J. Nowell,,,,,,,5.17,Made,,,,4.0,,,,,,,,,,,,,
139,PT00M00.00S,2022-01-04T04:03:26.8Z,1,REGULAR,period,end,[],0,,,1610612746,21,26,2022-01-04T04:03:26Z,1390000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-01-04T04:06:13.0Z,2,REGULAR,period,start,[],0,,,1610612750,21,26,2022-01-04T04:06:13Z,1400000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT11M44.00S,2022-01-04T04:06:28.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,8.853482260183966,45.09803921568627,1610612750,21,28,2022-01-04T04:06:34Z,1410000,25.0,31.0,1,left,T. Prince driving Layup (2 PTS) (N. Knight 1 AST),"[1627752, 1630233]",1610612750.0,MIN,driving,,,Prince,T. Prince,,,,,,,3.93,Made,,,,2.0,N. Knight,1630233.0,1.0,,,,,,,,,,
143,PT11M27.00S,2022-01-04T04:06:46.1Z,2,REGULAR,2pt,Jump Shot,[],1629875,91.50788436268068,79.41176470588235,1610612746,21,28,2022-01-04T04:14:22Z,1430000,147.0,27.0,1,right,MISS X. Moon 14' pullup Shot,[1629875],1610612746.0,LAC,pullup,,,Moon,X. Moon,,,,,,,14.96,Missed,,,,,,,,,,,,,,,,,
144,PT11M25.00S,2022-01-04T04:06:48.1Z,2,REGULAR,rebound,offensive,[],1629117,,,1610612746,21,28,2022-01-04T04:14:22Z,1440000,,,0,,W. Gabriel REBOUND (Off:1 Def:2),[1629117],1610612746.0,LAC,,,,Gabriel,W. Gabriel,,,,,,,,,143.0,,,,,,,3.0,2.0,1.0,,,,,,,
208,PT11M25.00S,2022-01-04T04:06:48.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629117,91.98423127463863,49.486825980392155,1610612746,21,28,2022-01-04T04:13:16Z,1445000,-3.0,23.0,1,right,MISS W. Gabriel tip Layup,[1629117],1610612746.0,LAC,tip,,,Gabriel,W. Gabriel,,,,,,,2.29,Missed,,,,,,,,,,,,,,,,,
209,PT11M24.00S,2022-01-04T04:06:49.9Z,2,REGULAR,rebound,offensive,[],1626159,,,1610612746,21,28,2022-01-04T04:13:16Z,1447500,,,0,,J. Winslow REBOUND (Off:1 Def:0),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,208.0,,,,,,,1.0,0.0,1.0,,,,,,,
145,PT11M22.00S,2022-01-04T04:06:51.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626159,90.8508541392904,49.754901960784316,1610612746,23,28,2022-01-04T04:13:16Z,1450000,-1.0,34.0,1,right,J. Winslow putback Layup (2 PTS),[1626159],1610612746.0,LAC,putback,,,Winslow,J. Winslow,,,,,,,3.35,Made,,,,2.0,,,,,,,,,,,,,
146,PT11M22.00S,2022-01-04T04:06:58.7Z,2,REGULAR,foul,personal,['1freethrow'],1630183,,,1610612746,23,28,2022-01-04T04:07:04Z,1460000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Winslow 1 FT),"[1630183, 1626159]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,1627962.0,,,,,,,,,,,,,,,,1.0,0.0,Winslow,1626159.0,
148,PT11M22.00S,2022-01-04T04:07:14.4Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1626159,,,1610612746,24,28,2022-01-04T04:13:16Z,1480000,,,0,,J. Winslow Free Throw 1 of 1 (3 PTS),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,
149,PT11M08.00S,2022-01-04T04:07:30.2Z,2,REGULAR,2pt,Jump Shot,[],1627752,21.468462549277262,66.42156862745098,1610612750,24,28,2022-01-04T04:07:37Z,1490000,-82.0,149.0,1,left,MISS T. Prince 17' step back Shot,[1627752],1610612750.0,MIN,step back,,,Prince,T. Prince,,,,,,,17.04,Missed,,,,,,,,,,,,,,,,,
150,PT11M03.00S,2022-01-04T04:07:35.2Z,2,REGULAR,rebound,offensive,[],1630233,,,1610612750,24,28,2022-01-04T04:07:37Z,1500000,,,0,,N. Knight REBOUND (Off:1 Def:0),[1630233],1610612750.0,MIN,,,,Knight,N. Knight,,,,,,,,,149.0,,,,,,,1.0,0.0,1.0,,,,,,,
151,PT11M03.00S,2022-01-04T04:07:35.1Z,2,REGULAR,turnover,bad pass,[],1630233,,,1610612750,24,28,2022-01-04T04:07:40Z,1510000,,,0,,N. Knight bad pass TURNOVER (1 TO),"[1630233, 1626159]",1610612750.0,MIN,,,,Knight,N. Knight,,,,,,1.0,,,,Winslow,1626159.0,,,,,,,,,,,,,,
152,PT11M03.00S,2022-01-04T04:07:35.1Z,2,REGULAR,steal,,[],1626159,,,1610612746,24,28,2022-01-04T04:07:37Z,1520000,,,0,,J. Winslow STEAL (1 STL),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT10M59.00S,2022-01-04T04:07:39.0Z,2,REGULAR,turnover,bad pass,[],1626159,,,1610612746,24,28,2022-01-04T04:07:43Z,1530000,,,0,,J. Winslow bad pass TURNOVER (1 TO),"[1626159, 1627752]",1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,1.0,,,,Prince,1627752.0,,,,,,,,,,,,,,
154,PT10M59.00S,2022-01-04T04:07:39.0Z,2,REGULAR,steal,,[],1627752,,,1610612750,24,28,2022-01-04T04:07:41Z,1540000,,,0,,T. Prince STEAL (1 STL),[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT10M50.00S,2022-01-04T04:07:47.1Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,21.994086727989497,92.15686274509804,1610612750,24,28,2022-01-04T04:07:51Z,1550000,-211.0,154.0,1,left,MISS T. Prince 26' 3PT,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,26.12,Missed,,,,,,,,,,,,,,,,,
156,PT10M48.00S,2022-01-04T04:07:49.1Z,2,REGULAR,rebound,defensive,[],1629599,,,1610612746,24,28,2022-01-04T04:07:51Z,1560000,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,155.0,,,,,,,2.0,2.0,0.0,,,,,,,
157,PT10M36.00S,2022-01-04T04:08:01.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,86.38304862023654,53.431372549019606,1610612746,26,28,2022-01-04T04:08:10Z,1570000,17.0,75.0,1,right,J. Winslow 7' driving Layup (5 PTS),[1626159],1610612746.0,LAC,driving,,,Winslow,J. Winslow,,,,,,,7.74,Made,,,,5.0,,,,,,,,,,,,,
158,PT10M26.00S,2022-01-04T04:08:10.9Z,2,REGULAR,3pt,Jump Shot,[],1630183,20.41721419185282,94.6078431372549,1610612750,26,31,2022-01-04T04:08:16Z,1580000,-223.0,139.0,1,left,J. McDaniels 26' 3PT  (5 PTS) (T. Prince 1 AST),"[1630183, 1627752]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,26.3,Made,,,,5.0,T. Prince,1627752.0,1.0,,,,,,,,,,
160,PT10M14.00S,2022-01-04T04:08:23.1Z,2,REGULAR,3pt,Jump Shot,[],1626159,69.30026281208936,23.774509803921575,1610612746,26,31,2022-01-04T04:08:28Z,1600000,-131.0,236.0,1,right,MISS J. Winslow 27' 3PT,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,27.01,Missed,,,,,,,,,,,,,,,,,
161,PT10M11.00S,2022-01-04T04:08:26.1Z,2,REGULAR,rebound,defensive,[],1629669,,,1610612750,26,31,2022-01-04T04:08:28Z,1610000,,,0,,J. Nowell REBOUND (Off:0 Def:2),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,160.0,,,,,,,2.0,2.0,0.0,,,,,,,
162,PT10M03.00S,2022-01-04T04:08:34.4Z,2,REGULAR,3pt,Jump Shot,[],1629006,10.298948751642584,96.56862745098039,1610612750,26,31,2022-01-04T04:08:40Z,1620000,-233.0,44.0,1,left,MISS J. Okogie 3PT,[1629006],1610612750.0,MIN,,,,Okogie,J. Okogie,,,,,,,23.7,Missed,,,,,,,,,,,,,,,,,
163,PT09M59.00S,2022-01-04T04:08:38.4Z,2,REGULAR,rebound,defensive,[],1626159,,,1610612746,26,31,2022-01-04T04:08:40Z,1630000,,,0,,J. Winslow REBOUND (Off:1 Def:1),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,162.0,,,,,,,2.0,1.0,1.0,,,,,,,
164,PT09M53.00S,2022-01-04T04:08:44.9Z,2,REGULAR,2pt,Jump Shot,[],1629875,79.68134034165571,67.15686274509804,1610612746,26,31,2022-01-04T04:08:50Z,1640000,86.0,138.0,1,right,MISS X. Moon 16' pullup Shot,[1629875],1610612746.0,LAC,pullup,,,Moon,X. Moon,,,,,,,16.29,Missed,,,,,,,,,,,,,,,,,
165,PT09M53.00S,2022-01-04T04:08:48.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612746,26,31,2022-01-04T04:08:48Z,1650000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,164.0,,,,,,,,,,,,,,,,
166,PT09M53.00S,2022-01-04T04:08:49.7Z,2,REGULAR,foul,personal,[],1630183,,,1610612746,26,31,2022-01-04T04:09:31Z,1660000,,,0,,J. McDaniels loose ball personal FOUL (2 PF),"[1630183, 1629117]",1610612750.0,MIN,loose ball,,,McDaniels,J. McDaniels,,,,,2002.0,,,,,,,,,,,,,,,,2.0,0.0,Gabriel,1629117.0,
169,PT09M53.00S,2022-01-04T04:09:00.6Z,2,REGULAR,substitution,in,[],1630162,,,1610612746,26,31,2022-01-04T04:09:07Z,1690000,,,0,,SUB in: A. Edwards,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT09M53.00S,2022-01-04T04:09:00.6Z,2,REGULAR,substitution,out,[],1630183,,,1610612746,26,31,2022-01-04T04:10:02Z,1695000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M44.00S,2022-01-04T04:09:26.2Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1626159,86.38304862023654,74.26470588235294,1610612746,26,31,2022-01-04T04:09:38Z,1700000,121.0,75.0,1,right,MISS J. Winslow 14' pullup Shot,[1626159],1610612746.0,LAC,pullup,,,Winslow,J. Winslow,,,,,,,14.29,Missed,,,,,,,,,,,,,,,,,
171,PT09M37.00S,2022-01-04T04:09:33.2Z,2,REGULAR,rebound,defensive,[],1629669,,,1610612750,26,31,2022-01-04T04:09:38Z,1710000,,,0,,J. Nowell REBOUND (Off:0 Def:3),[1629669],1610612750.0,MIN,,,,Nowell,J. Nowell,,,,,,,,,170.0,,,,,,,3.0,3.0,0.0,,,,,,,
172,PT09M36.00S,2022-01-04T04:09:38.6Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,26,31,2022-01-04T04:09:38Z,1720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
