actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
68,PT06M23.00S,2021-12-28T03:52:24.8Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,23,16,2021-12-28T03:52:36Z,670000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M23.00S,2021-12-28T03:52:24.8Z,1,REGULAR,substitution,out,[],1627761,,,1610612751,23,16,2021-12-28T03:52:36Z,680000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M23.00S,2021-12-28T03:52:24.8Z,1,REGULAR,substitution,in,[],201933,,,1610612751,23,16,2021-12-28T03:52:36Z,690000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M23.00S,2021-12-28T03:52:24.8Z,1,REGULAR,substitution,in,[],201949,,,1610612751,23,16,2021-12-28T03:52:36Z,700000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M13.00S,2021-12-28T03:52:47.2Z,1,REGULAR,3pt,Jump Shot,[],1628975,16.475032851511173,94.8529411764706,1610612751,23,19,2021-12-28T03:52:52Z,710000,-224.0,102.0,1,left,J. Carter 24' 3PT  (3 PTS) (B. Griffin 1 AST),"[1628975, 201933]",1610612751.0,BKN,,,,Carter,J. Carter,,,,,24.66,Made,,,,,3.0,B. Griffin,201933.0,1.0,,,,,,,,,,,
74,PT05M46.00S,2021-12-28T03:53:13.6Z,1,REGULAR,3pt,Jump Shot,[],202339,68.11760840998686,59.80392156862745,1610612746,23,19,2021-12-28T03:53:17Z,730000,49.0,247.0,1,right,MISS E. Bledsoe 25' 3PT,[202339],1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,25.2,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M45.00S,2021-12-28T03:53:14.6Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,23,19,2021-12-28T03:53:17Z,740000,,,0,,I. Zubac REBOUND (Off:2 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,74.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
76,PT05M45.00S,2021-12-28T03:53:43.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612746,23,19,2021-12-28T03:54:48Z,750000,,,0,,LAC shot clock Team TURNOVER,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,,,,,
77,PT05M30.00S,2021-12-28T03:53:51.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628975,19.8915900131406,93.38235294117646,1610612751,23,19,2021-12-28T03:53:57Z,760000,-217.0,134.0,1,left,MISS J. Carter 25' 3PT,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2021-12-28T03:53:54.1Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,23,19,2021-12-28T03:53:54Z,770000,,,0,,B. Griffin REBOUND (Off:1 Def:0),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,77.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
