actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
50,PT07M40.00S,2022-04-10T01:49:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,8.459264126149804,43.38235294117647,1610612758,12,2,2022-04-10T01:49:15Z,500000,33.0,27.0,1,left,MISS H. Barnes cutting Layup,[203084],1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,,,,4.27,Missed,,,,,,,,,,,,,,,,
51,PT07M38.00S,2022-04-10T01:49:14.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,12,2,2022-04-10T01:49:15Z,510000,,,0,,R. Jackson REBOUND (Off:0 Def:3),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,50.0,3.0,3.0,0.0,,,,,,,,
52,PT07M32.00S,2022-04-10T01:49:20.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202694,94.26741130091985,2.941176470588232,1610612746,12,2,2022-04-10T01:49:25Z,520000,-235.0,1.0,1,right,MISS M. Morris Sr. running 3PT,[202694],1610612746.0,LAC,running,,,Morris Sr.,M. Morris Sr.,,,,,,,,23.53,Missed,,,,,,,,,,,,,,,,
53,PT07M31.00S,2022-04-10T01:49:21.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,12,2,2022-04-10T01:49:25Z,530000,,,0,,I. Zubac REBOUND (Off:2 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,52.0,5.0,3.0,2.0,,,,,,,,
54,PT07M29.00S,2022-04-10T01:49:24.1Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612746,12,2,2022-04-10T01:49:28Z,540000,,,0,,R. Jackson bad pass TURNOVER (2 TO),"[202704, 1627745]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,2.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2022-04-10T01:49:24.1Z,1,REGULAR,steal,,[],1627745,,,1610612758,12,2,2022-04-10T01:49:25Z,550000,,,0,,D. Jones STEAL (2 STL),[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2022-04-10T01:49:37.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627745,7.276609724047319,49.26470588235294,1610612758,12,4,2022-04-10T01:49:46Z,560000,4.0,16.0,1,left,D. Jones cutting DUNK (2 PTS) (D. Mitchell 1 AST),"[1627745, 1630558]",1610612758.0,SAC,cutting,,,Jones,D. Jones,,,,,,,,1.63,Made,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,,,
58,PT06M58.00S,2022-04-10T01:49:54.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.08475689881735,50.49019607843137,1610612746,14,4,2022-04-10T01:49:57Z,580000,2.0,13.0,1,right,I. Zubac cutting DUNK (4 PTS) (P. George 2 AST),"[1627826, 202331]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,,,,1.27,Made,4.0,P. George,202331.0,2.0,,,,,,,,,,,,
60,PT06M45.00S,2022-04-10T01:50:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626168,7.013797634691201,51.71568627450981,1610612758,14,6,2022-04-10T01:50:13Z,600000,-9.0,13.0,1,left,T. Lyles driving Layup (2 PTS) (D. Mitchell 2 AST),"[1626168, 1630558]",1610612758.0,SAC,driving,,,Lyles,T. Lyles,,,,,,,,1.59,Made,2.0,D. Mitchell,1630558.0,2.0,,,,,,,,,,,,
62,PT06M32.00S,2022-04-10T01:50:20.4Z,1,REGULAR,3pt,Jump Shot,[],201587,72.33902759526939,21.545649509803923,1610612746,14,6,2022-04-10T01:50:29Z,620000,-142.0,208.0,1,right,MISS N. Batum 25' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,25.16,Missed,,,,,,,,,,,,,,,,
63,PT06M28.00S,2022-04-10T01:50:24.4Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,14,6,2022-04-10T01:50:29Z,630000,,,0,,H. Barnes REBOUND (Off:0 Def:3),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,62.0,3.0,3.0,0.0,,,,,,,,
64,PT06M22.00S,2022-04-10T01:50:30.5Z,1,REGULAR,3pt,Jump Shot,[],203200,26.330486202365307,16.911764705882348,1610612758,14,6,2022-04-10T01:50:35Z,640000,165.0,195.0,1,left,MISS J. Holiday 25' 3PT,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,25.57,Missed,,,,,,,,,,,,,,,,
65,PT06M19.00S,2022-04-10T01:50:33.5Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,14,6,2022-04-10T01:50:35Z,650000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,
