actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
87,PT03M25.00S,2022-04-11T01:55:06.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.61038107752957,47.30392156862745,1610612746,28,15,2022-04-11T01:55:09Z,870000,-13.0,8.0,1,right,I. Zubac DUNK (4 PTS) (A. Coffey 2 AST),"[1627826, 1629599]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,1.55,Made,4.0,,,,,,,A. Coffey,1629599.0,2.0,,,,,,,,
89,PT03M12.00S,2022-04-11T01:55:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630285,6.4881734559789805,53.18627450980392,1610612760,28,15,2022-04-11T01:55:28Z,890000,-16.0,8.0,1,left,MISS Z. Simpson driving Layup - blocked,"[1630285, 1627826]",1610612760.0,OKC,driving,,,Simpson,Z. Simpson,,,,,1.8,Missed,,,,,,,,,,,,,,,,,Zubac,1627826.0
90,PT03M12.00S,2022-04-11T01:55:18.3Z,1,REGULAR,block,,[],1627826,,,1610612760,28,15,2022-04-11T01:55:21Z,900000,,,0,,I. Zubac BLOCK (2 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M12.00S,2022-04-11T01:55:18.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,28,15,2022-04-11T01:55:28Z,910000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,
92,PT03M12.00S,2022-04-11T01:55:26.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612746,28,15,2022-04-11T01:55:26Z,920000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT02M55.00S,2022-04-11T01:55:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629599,88.87976346911958,96.56862745098039,1610612746,31,15,2022-04-11T01:55:52Z,930000,233.0,52.0,1,right,A. Coffey 3PT  (8 PTS) (I. Zubac 1 AST),"[1629599, 1627826]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,23.85,Made,8.0,,,,,,,I. Zubac,1627826.0,1.0,,,,,,,,
95,PT02M42.00S,2022-04-11T01:56:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630686,16.080814717476997,36.51960784313726,1610612760,31,15,2022-04-11T01:56:05Z,950000,67.0,99.0,1,left,MISS G. Kalaitzakis 11' pullup Shot,[1630686],1610612760.0,OKC,pullup,,,Kalaitzakis,G. Kalaitzakis,,,,,11.95,Missed,,,,,,,,,,,,,,,,,,
96,PT02M39.00S,2022-04-11T01:56:03.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,31,15,2022-04-11T01:56:05Z,960000,,,0,,I. Zubac REBOUND (Off:1 Def:4),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,95.0,5.0,4.0,1.0,,,,,,,,,,,,,
97,PT02M32.00S,2022-04-11T01:56:09.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203496,92.82194480946123,44.607843137254896,1610612746,31,15,2022-04-11T01:56:22Z,970000,-27.0,15.0,1,right,MISS R. Covington running alley-oop DUNK,[203496],1610612746.0,LAC,running alley-oop,,,Covington,R. Covington,,,,,3.09,Missed,,,,,,,,,,,,,,,,,,
98,PT02M29.00S,2022-04-11T01:56:12.5Z,1,REGULAR,rebound,defensive,[],1629658,,,1610612760,31,15,2022-04-11T01:56:22Z,980000,,,0,,J. Hoard REBOUND (Off:1 Def:2),[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,97.0,3.0,2.0,1.0,,,,,,,,,,,,,
99,PT02M24.00S,2022-04-11T01:56:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628982,14.109724047306173,4.656862745098039,1610612760,31,15,2022-04-11T01:56:25Z,990000,227.0,80.0,1,left,MISS M. Frazier Jr. 24' 3PT,[1628982],1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,24.04,Missed,,,,,,,,,,,,,,,,,,
100,PT02M21.00S,2022-04-11T01:56:21.0Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,31,15,2022-04-11T01:56:25Z,1000000,,,0,,R. Covington REBOUND (Off:1 Def:3),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,99.0,4.0,3.0,1.0,,,,,,,,,,,,,
101,PT02M17.00S,2022-04-11T01:56:30.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,31,15,2022-04-11T01:56:30Z,1010000,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M17.00S,2022-04-11T01:58:52.4Z,1,REGULAR,substitution,out,[],203496,,,1610612746,31,15,2022-04-11T01:59:10Z,1020000,,,0,,SUB out: R. Covington,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M17.00S,2022-04-11T01:58:52.4Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,31,15,2022-04-11T01:59:10Z,1030000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,
105,PT02M17.00S,2022-04-11T01:58:52.4Z,1,REGULAR,substitution,in,[],1630527,,,1610612746,31,15,2022-04-11T01:59:10Z,1040000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,
106,PT02M17.00S,2022-04-11T01:58:52.4Z,1,REGULAR,substitution,in,[],1628392,,,1610612746,31,15,2022-04-11T01:59:10Z,1050000,,,0,,SUB in: I. Hartenstein,[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
107,PT02M05.00S,2022-04-11T01:59:31.9Z,1,REGULAR,3pt,Jump Shot,[],1629599,84.93758212877792,95.83333333333333,1610612746,31,15,2022-04-11T01:59:36Z,1060000,229.0,89.0,1,right,MISS A. Coffey 24' 3PT,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,
108,PT02M02.00S,2022-04-11T01:59:34.9Z,1,REGULAR,rebound,defensive,[],1630285,,,1610612760,31,15,2022-04-11T01:59:36Z,1070000,,,0,,Z. Simpson REBOUND (Off:0 Def:2),[1630285],1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,,,,107.0,2.0,2.0,0.0,,,,,,,,,,,,,
109,PT01M55.00S,2022-04-11T01:59:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629658,10.298948751642584,56.127450980392155,1610612760,31,15,2022-04-11T01:59:52Z,1080000,-31.0,44.0,1,left,MISS J. Hoard driving floating Shot - blocked,"[1629658, 1629599]",1610612760.0,OKC,driving floating,,,Hoard,J. Hoard,,,,,5.38,Missed,,,,,,,,,,,,,,,,,Coffey,1629599.0
110,PT01M55.00S,2022-04-11T01:59:41.8Z,1,REGULAR,block,,[],1629599,,,1610612760,31,15,2022-04-11T01:59:44Z,1090000,,,0,,A. Coffey BLOCK (1 BLK),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,
111,PT01M52.00S,2022-04-11T01:59:44.8Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,31,15,2022-04-11T01:59:52Z,1100000,,,0,,A. Coffey REBOUND (Off:0 Def:2),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,109.0,2.0,2.0,0.0,,,,,,,,,,,,,
112,PT01M42.00S,2022-04-11T01:59:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,92.82194480946123,44.607843137254896,1610612746,33,15,2022-04-11T02:00:01Z,1110000,-27.0,15.0,1,right,I. Hartenstein floating Jump Shot (2 PTS) (L. Kennard 2 AST),"[1628392, 1628379]",1610612746.0,LAC,floating,,,Hartenstein,I. Hartenstein,,,,,3.09,Made,2.0,,,,,,,L. Kennard,1628379.0,2.0,,,,,,,,
114,PT01M26.00S,2022-04-11T02:00:10.6Z,1,REGULAR,3pt,Jump Shot,[],1630285,26.067674113009204,83.57843137254902,1610612760,33,18,2022-04-11T02:00:16Z,1130000,-168.0,193.0,1,left,Z. Simpson 25' 3PT  (5 PTS) (J. Hoard 2 AST),"[1630285, 1629658]",1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,25.54,Made,5.0,,,,,,,J. Hoard,1629658.0,2.0,,,,,,,,
116,PT01M09.00S,2022-04-11T02:00:30.6Z,1,REGULAR,foul,personal,[],1630285,,,1610612746,33,18,2022-04-11T02:00:36Z,1150000,,,0,,Z. Simpson personal FOUL (1 PF),"[1630285, 1629611]",1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,,,,,,,,1363.0,,,,,1.0,0.0,Mann,1629611.0,,,,
118,PT01M09.00S,2022-04-11T02:00:43.2Z,1,REGULAR,substitution,out,[],1628379,,,1610612746,33,18,2022-04-11T02:00:47Z,1170000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
119,PT01M09.00S,2022-04-11T02:00:43.2Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,33,18,2022-04-11T02:00:47Z,1180000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
120,PT01M09.00S,2022-04-11T02:00:43.2Z,1,REGULAR,substitution,in,[],203918,,,1610612746,33,18,2022-04-11T02:00:47Z,1190000,,,0,,SUB in: R. Hood,[203918],1610612746.0,LAC,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,
121,PT01M09.00S,2022-04-11T02:00:43.2Z,1,REGULAR,substitution,in,[],1629875,,,1610612746,33,18,2022-04-11T02:00:47Z,1200000,,,0,,SUB in: X. Moon,[1629875],1610612746.0,LAC,,,,Moon,X. Moon,,,,,,,,,,,,,,,,,,,,,,,,
122,PT01M04.00S,2022-04-11T02:01:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629599,93.2161629434954,46.07843137254902,1610612746,35,18,2022-04-11T02:01:14Z,1210000,-20.0,11.0,1,right,A. Coffey driving Layup (10 PTS) (I. Hartenstein 1 AST),"[1629599, 1628392]",1610612746.0,LAC,driving,,,Coffey,A. Coffey,,,,,2.26,Made,10.0,,,,,,,I. Hartenstein,1628392.0,1.0,,,,,,,,
124,PT00M48.90S,2022-04-11T02:01:25.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630285,10.95597897503285,42.40196078431373,1610612760,35,18,2022-04-11T02:01:31Z,1230000,38.0,50.0,1,left,MISS Z. Simpson 6' driving Hook,[1630285],1610612760.0,OKC,driving,,,Simpson,Z. Simpson,,,,,6.32,Missed,,,,,,,,,,,,,,,,,,
125,PT00M46.40S,2022-04-11T02:01:28.1Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612746,35,18,2022-04-11T02:01:31Z,1240000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,
126,PT00M42.60S,2022-04-11T02:01:31.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630527,70.87713534822602,26.960784313725497,1610612746,35,18,2022-04-11T02:19:15Z,1250000,-115.0,221.0,1,right,MISS B. Boston Jr. 24' running pullup 3PT,[1630527],1610612746.0,LAC,running pullup,,,Boston Jr.,B. Boston Jr.,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,
127,PT00M40.70S,2022-04-11T02:01:33.8Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612746,35,18,2022-04-11T02:01:52Z,1260000,,,0,,I. Hartenstein REBOUND (Off:1 Def:0),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,126.0,1.0,0.0,1.0,,,,,,,,,,,,,
128,PT00M40.70S,2022-04-11T02:01:39.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628982,,,1610612746,35,18,2022-04-11T02:01:44Z,1270000,,,0,,M. Frazier Jr. personal FOUL (1 PF) (Hartenstein 2 FT),"[1628982, 1628392]",1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,,,,,,,,201246.0,,,,,1.0,0.0,Hartenstein,1628392.0,,,,
130,PT00M40.70S,2022-04-11T02:01:58.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628392,,,1610612746,36,18,2022-04-11T02:01:58Z,1290000,,,0,,I. Hartenstein Free Throw 1 of 2 (3 PTS),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
131,PT00M40.70S,2022-04-11T02:02:11.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628392,,,1610612746,37,18,2022-04-11T02:02:11Z,1300000,,,0,,I. Hartenstein Free Throw 2 of 2 (4 PTS),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
132,PT00M25.80S,2022-04-11T02:02:28.0Z,1,REGULAR,3pt,Jump Shot,[],1630285,30.929697766097235,31.127450980392155,1610612760,37,18,2022-04-11T02:02:32Z,1310000,94.0,238.0,1,left,MISS Z. Simpson 25' step back 3PT,[1630285],1610612760.0,OKC,step back,,,Simpson,Z. Simpson,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,
133,PT00M23.30S,2022-04-11T02:02:30.5Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,37,18,2022-04-11T02:02:32Z,1320000,,,0,,A. Coffey REBOUND (Off:0 Def:3),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,132.0,3.0,3.0,0.0,,,,,,,,,,,,,
134,PT00M03.20S,2022-04-11T02:02:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,81.25821287779237,62.00980392156863,1610612746,39,18,2022-04-11T02:02:59Z,1330000,60.0,124.0,1,right,B. Boston Jr. 13' turnaround fadeaway Jump Shot (2 PTS) (X. Moon 1 AST),"[1630527, 1629875]",1610612746.0,LAC,turnaround fadeaway,,,Boston Jr.,B. Boston Jr.,,,,,13.75,Made,2.0,,,,,,,X. Moon,1629875.0,1.0,,,,,,,,
136,PT00M00.00S,2022-04-11T02:03:07.2Z,1,REGULAR,period,end,[],0,,,1610612760,39,18,2022-04-11T02:03:07Z,1350000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT12M00.00S,2022-04-11T02:05:22.8Z,2,REGULAR,substitution,out,['startperiod'],1629658,,,1610612760,39,18,2022-04-11T02:05:35Z,1360000,,,0,,SUB out: J. Hoard,[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,,,,,,,,,,,,,,,,,
138,PT12M00.00S,2022-04-11T02:05:22.8Z,2,REGULAR,substitution,in,['startperiod'],1629676,,,1610612760,39,18,2022-04-11T02:05:35Z,1370000,,,0,,SUB in: I. Roby,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2022-04-11T02:05:41.1Z,2,REGULAR,period,start,[],0,,,1610612760,39,18,2022-04-11T02:05:41Z,1380000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT11M46.00S,2022-04-11T02:05:53.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628982,7.670827858081481,55.3921568627451,1610612760,39,18,2022-04-11T02:05:59Z,1390000,-27.0,20.0,1,left,MISS M. Frazier Jr. driving Layup - blocked,"[1628982, 1628392]",1610612760.0,OKC,driving,,,Frazier Jr.,M. Frazier Jr.,,,,,3.34,Missed,,,,,,,,,,,,,,,,,Hartenstein,1628392.0
141,PT11M46.00S,2022-04-11T02:05:53.9Z,2,REGULAR,block,,[],1628392,,,1610612760,39,18,2022-04-11T02:05:56Z,1400000,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
142,PT11M43.00S,2022-04-11T02:05:56.9Z,2,REGULAR,rebound,defensive,[],203918,,,1610612746,39,18,2022-04-11T02:05:59Z,1410000,,,0,,R. Hood REBOUND (Off:0 Def:1),[203918],1610612746.0,LAC,,,,Hood,R. Hood,,,,,,,,140.0,1.0,1.0,0.0,,,,,,,,,,,,,
143,PT11M34.00S,2022-04-11T02:06:07.1Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628392,92.42772667542707,44.85294117647059,1610612746,39,18,2022-04-11T02:06:12Z,1420000,-26.0,19.0,1,right,MISS I. Hartenstein bank Hook,[1628392],1610612746.0,LAC,bank,,,Hartenstein,I. Hartenstein,,,,,3.18,Missed,,,,,,,,,,,,,,,,,,
144,PT11M31.00S,2022-04-11T02:06:10.1Z,2,REGULAR,rebound,defensive,[],1629676,,,1610612760,39,18,2022-04-11T02:06:12Z,1430000,,,0,,I. Roby REBOUND (Off:1 Def:2),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,143.0,3.0,2.0,1.0,,,,,,,,,,,,,
145,PT11M21.00S,2022-04-11T02:06:19.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628982,9.329829172141928,60.70006127450981,1610612760,39,18,2022-04-11T02:21:57Z,1440000,-54.0,35.0,1,left,MISS M. Frazier Jr. 6' driving floating bank Shot,[1628982],1610612760.0,OKC,driving floating bank,,,Frazier Jr.,M. Frazier Jr.,,,,,6.4,Missed,,,,,,,,,,,,,,,,,,
146,PT11M19.00S,2022-04-11T02:06:21.1Z,2,REGULAR,rebound,offensive,[],1628982,,,1610612760,39,18,2022-04-11T02:21:57Z,1450000,,,0,,M. Frazier Jr. REBOUND (Off:1 Def:0),[1628982],1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,,,,145.0,1.0,0.0,1.0,,,,,,,,,,,,,
147,PT11M17.00S,2022-04-11T02:06:23.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628982,12.927069645203687,96.56862745098039,1610612760,39,18,2022-04-11T02:06:28Z,1460000,-233.0,69.0,1,left,MISS M. Frazier Jr. 24' 3PT,[1628982],1610612760.0,OKC,,,,Frazier Jr.,M. Frazier Jr.,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,
148,PT11M13.00S,2022-04-11T02:06:27.2Z,2,REGULAR,rebound,defensive,[],203918,,,1610612746,39,18,2022-04-11T02:06:28Z,1470000,,,0,,R. Hood REBOUND (Off:0 Def:2),[203918],1610612746.0,LAC,,,,Hood,R. Hood,,,,,,,,147.0,2.0,2.0,0.0,,,,,,,,,,,,,
149,PT11M00.00S,2022-04-11T02:06:39.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630527,82.70367936925098,49.26470588235294,1610612746,39,18,2022-04-11T02:06:43Z,1480000,-4.0,110.0,1,right,MISS B. Boston Jr. 11' pullup Shot,[1630527],1610612746.0,LAC,pullup,,,Boston Jr.,B. Boston Jr.,,,,,11.02,Missed,,,,,,,,,,,,,,,,,,
150,PT10M58.00S,2022-04-11T02:06:41.5Z,2,REGULAR,rebound,defensive,[],1630686,,,1610612760,39,18,2022-04-11T02:06:43Z,1490000,,,0,,G. Kalaitzakis REBOUND (Off:0 Def:2),[1630686],1610612760.0,OKC,,,,Kalaitzakis,G. Kalaitzakis,,,,,,,,149.0,2.0,2.0,0.0,,,,,,,,,,,,,
151,PT10M47.00S,2022-04-11T02:06:53.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630249,11.695137976346913,50.56678921568628,1610612760,39,18,2022-04-11T02:07:03Z,1500000,-3.0,57.0,1,left,MISS V. Krejci turnaround Shot - blocked,"[1630249, 1630527]",1610612760.0,OKC,turnaround,,,Krejci,V. Krejci,,,,,5.75,Missed,,,,,,,,,,,,,,,,,Boston Jr.,1630527.0
152,PT10M47.00S,2022-04-11T02:06:53.7Z,2,REGULAR,block,,[],1630527,,,1610612760,39,18,2022-04-11T02:06:56Z,1510000,,,0,,B. Boston Jr. BLOCK (1 BLK),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,
153,PT10M43.00S,2022-04-11T02:06:57.7Z,2,REGULAR,rebound,offensive,[],1630249,,,1610612760,39,18,2022-04-11T02:07:03Z,1520000,,,0,,V. Krejci REBOUND (Off:1 Def:0),[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,,,,151.0,1.0,0.0,1.0,,,,,,,,,,,,,
154,PT10M41.00S,2022-04-11T02:06:59.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630249,20.41721419185282,8.57843137254902,1610612760,39,18,2022-04-11T02:07:06Z,1530000,207.0,139.0,1,left,MISS V. Krejci 24' 3PT,[1630249],1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,
155,PT10M38.00S,2022-04-11T02:07:02.2Z,2,REGULAR,rebound,defensive,[],1629875,,,1610612746,39,18,2022-04-11T02:07:06Z,1540000,,,0,,X. Moon REBOUND (Off:0 Def:1),[1629875],1610612746.0,LAC,,,,Moon,X. Moon,,,,,,,,154.0,1.0,1.0,0.0,,,,,,,,,,,,,
156,PT10M36.00S,2022-04-11T02:07:04.4Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630527,94.13600525624179,45.34313725490197,1610612746,41,18,2022-04-11T02:07:12Z,1550000,-23.0,3.0,1,right,B. Boston Jr. running Layup (4 PTS) (X. Moon 2 AST),"[1630527, 1629875]",1610612746.0,LAC,running,,,Boston Jr.,B. Boston Jr.,,,,,2.34,Made,4.0,,,,,,,X. Moon,1629875.0,2.0,,,,,,,,
158,PT10M26.00S,2022-04-11T02:07:16.2Z,2,REGULAR,foul,personal,[],203918,,,1610612760,41,18,2022-04-11T02:07:23Z,1570000,,,0,,R. Hood personal FOUL (1 PF),"[203918, 1630686]",1610612746.0,LAC,,,,Hood,R. Hood,,,,,,,,,,,,2534.0,,,,,1.0,0.0,Kalaitzakis,1630686.0,,,,
160,PT10M19.00S,2022-04-11T02:07:38.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630249,11.169513797634693,55.572150735294116,1610612760,41,20,2022-04-11T02:28:14Z,1590000,-28.0,52.0,1,left,V. Krejci turnaround bank Jump Shot (4 PTS) (Z. Simpson 3 AST),"[1630249, 1630285]",1610612760.0,OKC,turnaround bank,,,Krejci,V. Krejci,,,,,5.95,Made,4.0,,,,,,,Z. Simpson,1630285.0,3.0,,,,,,,,
162,PT10M04.00S,2022-04-11T02:07:53.3Z,2,REGULAR,2pt,Jump Shot,[],1629875,87.51642575558475,70.6609987745098,1610612746,43,20,2022-04-11T02:29:09Z,1610000,103.0,65.0,1,right,X. Moon 12' driving floating Jump Shot (2 PTS) (R. Hood 1 AST),"[1629875, 203918]",1610612746.0,LAC,driving floating,,,Moon,X. Moon,,,,,12.19,Made,2.0,,,,,,,R. Hood,203918.0,1.0,,,,,,,,
164,PT09M51.00S,2022-04-11T02:08:06.5Z,2,REGULAR,2pt,Jump Shot,[],1629676,27.250328515111704,45.58823529411765,1610612760,43,22,2022-04-11T02:08:12Z,1630000,22.0,204.0,1,left,I. Roby 20' step back Jump Shot (9 PTS),[1629676],1610612760.0,OKC,step back,,,Roby,I. Roby,,,,,20.49,Made,9.0,,,,,,,,,,,,,,,,,
165,PT09M27.00S,2022-04-11T02:08:30.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630527,93.34756898817345,52.94117647058824,1610612746,45,22,2022-04-11T02:08:36Z,1640000,15.0,10.0,1,right,B. Boston Jr. driving Layup (6 PTS),[1630527],1610612746.0,LAC,driving,,,Boston Jr.,B. Boston Jr.,,,,,1.78,Made,6.0,,,,,,,,,,,,,,,,,
166,PT09M13.00S,2022-04-11T02:08:49.2Z,2,REGULAR,foul,personal,[],1630527,,,1610612760,45,22,2022-04-11T02:09:01Z,1650000,,,0,,B. Boston Jr. personal FOUL (1 PF),"[1630527, 1628982]",1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,1363.0,,,,,1.0,0.0,Frazier Jr.,1628982.0,,,,
168,PT09M13.00S,2022-04-11T02:08:59.8Z,2,REGULAR,substitution,out,[],1630285,,,1610612760,45,22,2022-04-11T02:09:11Z,1670000,,,0,,SUB out: Z. Simpson,[1630285],1610612760.0,OKC,,,,Simpson,Z. Simpson,,,,,,,,,,,,,,,,,,,,,,,,
169,PT09M13.00S,2022-04-11T02:08:59.8Z,2,REGULAR,substitution,in,[],1629658,,,1610612760,45,22,2022-04-11T02:09:11Z,1680000,,,0,,SUB in: J. Hoard,[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,,,,,,,,,,,,,,,,,
170,PT09M04.00S,2022-04-11T02:09:23.1Z,2,REGULAR,3pt,Jump Shot,[],1630249,26.987516425755587,83.33333333333334,1610612760,45,25,2022-04-11T02:09:29Z,1690000,-167.0,201.0,1,left,V. Krejci 26' 3PT  (7 PTS) (M. Frazier Jr. 1 AST),"[1630249, 1628982]",1610612760.0,OKC,,,,Krejci,V. Krejci,,,,,26.13,Made,7.0,,,,,,,M. Frazier Jr.,1628982.0,1.0,,,,,,,,
172,PT08M53.00S,2022-04-11T02:09:34.4Z,2,REGULAR,turnover,lost ball,[],1629599,,,1610612746,45,25,2022-04-11T02:09:37Z,1710000,,,0,,A. Coffey lost ball TURNOVER (2 TO),"[1629599, 1629658]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,2.0,,,,,,,,Hoard,1629658.0,,
173,PT08M53.00S,2022-04-11T02:09:34.4Z,2,REGULAR,steal,,[],1629658,,,1610612760,45,25,2022-04-11T02:33:30Z,1720000,,,0,,J. Hoard STEAL (1 STL),[1629658],1610612760.0,OKC,,,,Hoard,J. Hoard,,,,,,,,,,,,,,,,,,,,,,,,
174,PT08M49.00S,2022-04-11T02:09:38.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629676,6.356767411300922,48.28431372549019,1610612760,45,27,2022-04-11T02:09:44Z,1730000,9.0,7.0,1,left,I. Roby running Layup (11 PTS),[1629676],1610612760.0,OKC,running,,,Roby,I. Roby,,,,,1.13,Made,11.0,,,,,,,,,,,,,,,,,
