actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
92,PT04M28.00S,2021-12-11T20:54:15.3Z,1,REGULAR,2pt,Jump Shot,[],1630527,20.942838370565042,50.49019607843137,1610612746,13,19,2021-12-11T20:54:22Z,910000,-2.0,144.0,1,left,MISS B. Boston Jr. 14' pullup Shot,[1630527],1610612746.0,LAC,pullup,,,Boston Jr.,B. Boston Jr.,,,,,14.44,Missed,,,,,,,,,,,,,,,,,,
93,PT04M28.00S,2021-12-11T20:54:15.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,13,19,2021-12-11T20:54:22Z,920000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,
94,PT04M28.00S,2021-12-11T20:54:21.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,13,19,2021-12-11T20:54:21Z,930000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M08.00S,2021-12-11T20:54:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629021,74.68791064388962,15.196078431372555,1610612753,13,22,2021-12-11T20:54:45Z,940000,-174.0,185.0,1,right,M. Wagner 25' 3PT  (5 PTS) (C. Okeke 1 AST),"[1629021, 1629643]",1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,25.43,Made,,,,,5.0,C. Okeke,1629643.0,1.0,,,,,,,,,,
97,PT03M47.00S,2021-12-11T20:55:06.9Z,1,REGULAR,foul,personal,['2freethrow'],1629643,,,1610612746,13,22,2021-12-11T20:55:15Z,960000,,,0,,C. Okeke shooting personal FOUL (1 PF) (Mann 2 FT),"[1629643, 1629611]",1610612753.0,ORL,shooting,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,1628487.0,1.0,0.0,Mann,1629611.0,,,,
99,PT03M47.00S,2021-12-11T20:55:32.6Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612746,14,22,2021-12-11T20:55:32Z,980000,,,0,,T. Mann Free Throw 1 of 2 (1 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
100,PT03M47.00S,2021-12-11T20:55:51.5Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612746,15,22,2021-12-11T20:55:51Z,990000,,,0,,T. Mann Free Throw 2 of 2 (2 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
101,PT03M25.00S,2021-12-11T20:56:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,89.79960578186596,48.28431372549019,1610612753,15,22,2021-12-11T20:57:28Z,1000000,-9.0,43.0,1,right,MISS C. Anthony driving floating Shot,[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,4.42,Missed,,,,,,,,,,,,,,,,,,
102,PT03M23.00S,2021-12-11T20:56:13.9Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612746,15,22,2021-12-11T20:56:19Z,1010000,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,101.0,1.0,1.0,0.0,,,,,,,,,,,,,,
103,PT03M18.00S,2021-12-11T20:56:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630527,26.593298291721425,15.931372549019613,1610612746,15,22,2021-12-11T20:56:28Z,1020000,170.0,197.0,1,left,MISS B. Boston Jr. 26' 3PT,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,
104,PT03M15.00S,2021-12-11T20:56:22.4Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612746,15,22,2021-12-11T20:56:28Z,1030000,,,0,,T. Mann REBOUND (Off:1 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,103.0,2.0,1.0,1.0,,,,,,,,,,,,,,
105,PT03M03.00S,2021-12-11T20:56:34.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629611,11.875821287779246,95.09803921568627,1610612746,18,22,2021-12-11T20:56:39Z,1040000,-225.0,59.0,1,left,T. Mann 3PT  (5 PTS) (L. Kennard 1 AST),"[1629611, 1628379]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,23.31,Made,,,,,5.0,L. Kennard,1628379.0,1.0,,,,,,,,,,
107,PT02M44.00S,2021-12-11T20:56:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629643,67.19776609724047,39.950980392156865,1610612753,18,22,2021-12-11T20:57:03Z,1060000,-50.0,256.0,1,right,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,
108,PT02M43.00S,2021-12-11T20:56:56.9Z,1,REGULAR,rebound,offensive,[],1629021,,,1610612753,18,22,2021-12-11T20:56:56Z,1070000,,,0,,M. Wagner REBOUND (Off:1 Def:0),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,107.0,1.0,0.0,1.0,,,,,,,,,,,,,,
109,PT02M43.00S,2021-12-11T20:57:00.9Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612753,18,22,2021-12-11T20:57:00Z,1080000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT02M43.00S,2021-12-11T20:57:25.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,18,22,2021-12-11T20:57:25Z,1090000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,out,[],203914,,,1610612753,18,22,2021-12-11T21:00:19Z,1100000,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,out,[],1629021,,,1610612753,18,22,2021-12-11T21:00:19Z,1110000,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,out,[],1630175,,,1610612753,18,22,2021-12-11T21:00:19Z,1120000,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,
114,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,in,[],1630181,,,1610612753,18,22,2021-12-11T21:00:19Z,1130000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,in,[],1630532,,,1610612753,18,22,2021-12-11T21:00:19Z,1140000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M43.00S,2021-12-11T20:59:44.7Z,1,REGULAR,substitution,in,[],1628964,,,1610612753,18,22,2021-12-11T21:00:19Z,1150000,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M38.00S,2021-12-11T21:00:23.1Z,1,REGULAR,turnover,bad pass,[],203082,,,1610612753,18,22,2021-12-11T21:00:48Z,1160000,,,0,,T. Ross bad pass TURNOVER (1 TO),"[203082, 1628392]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,1.0,,,,,,,,Hartenstein,1628392.0
118,PT02M38.00S,2021-12-11T21:00:23.1Z,1,REGULAR,steal,,[],1628392,,,1610612746,18,22,2021-12-11T21:00:25Z,1170000,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M28.00S,2021-12-11T21:00:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630527,7.802233902759525,51.96078431372549,1610612746,18,22,2021-12-11T21:00:39Z,1180000,-10.0,21.0,1,left,MISS B. Boston Jr. driving reverse Layup,[1630527],1610612746.0,LAC,driving reverse,,,Boston Jr.,B. Boston Jr.,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,
120,PT02M24.00S,2021-12-11T21:00:37.4Z,1,REGULAR,rebound,defensive,[],1630181,,,1610612753,18,22,2021-12-11T21:04:50Z,1190000,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,119.0,1.0,1.0,0.0,,,,,,,,,,,,,,
123,PT02M07.00S,2021-12-11T21:00:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,71.7969776609724,73.52941176470588,1610612753,18,25,2021-12-11T21:01:01Z,1220000,118.0,213.0,1,right,F. Wagner 24' 3PT step back (7 PTS) (R. Hampton 1 AST),"[1630532, 1630181]",1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,24.3,Made,,,,,7.0,R. Hampton,1630181.0,1.0,,,,,,,,,,
125,PT01M49.00S,2021-12-11T21:01:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,12.13863337713535,36.76470588235294,1610612746,18,25,2021-12-11T21:01:19Z,1240000,66.0,62.0,1,left,MISS L. Kennard 9' fadeaway Shot,[1628379],1610612746.0,LAC,fadeaway,,,Kennard,L. Kennard,,,,,9.04,Missed,,,,,,,,,,,,,,,,,,
126,PT01M47.00S,2021-12-11T21:01:14.4Z,1,REGULAR,rebound,defensive,[],1629643,,,1610612753,18,25,2021-12-11T21:01:19Z,1250000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,,,,,,
127,PT01M33.00S,2021-12-11T21:01:29.1Z,1,REGULAR,3pt,Jump Shot,[],1628964,87.0400788436268,95.34313725490196,1610612753,18,25,2021-12-11T21:01:34Z,1260000,227.0,69.0,1,right,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,23.71,Missed,,,,,,,,,,,,,,,,,,
128,PT01M29.00S,2021-12-11T21:01:33.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,18,25,2021-12-11T21:01:34Z,1270000,,,0,,T. Mann REBOUND (Off:1 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,127.0,3.0,2.0,1.0,,,,,,,,,,,,,,
129,PT01M19.00S,2021-12-11T21:01:43.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630527,7.095926412614986,43.76914828431373,1610612746,18,25,2021-12-11T21:01:51Z,1280000,31.0,14.0,1,left,MISS B. Boston Jr. driving Layup,[1630527],1610612746.0,LAC,driving,,,Boston Jr.,B. Boston Jr.,,,,,3.43,Missed,,,,,,,,,,,,,,,,,,
130,PT01M14.00S,2021-12-11T21:01:48.1Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612746,18,25,2021-12-11T21:01:51Z,1290000,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,129.0,2.0,1.0,1.0,,,,,,,,,,,,,,
131,PT01M14.00S,2021-12-11T21:01:46.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628392,5.590000152587891,50.0,1610612746,20,25,2021-12-11T21:01:46Z,1300000,0.0,0.0,1,left,I. Hartenstein tip DUNK (2 PTS),[1628392],1610612746.0,LAC,tip,,,Hartenstein,I. Hartenstein,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
132,PT01M00.00S,2021-12-11T21:02:05.7Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612753,20,25,2021-12-11T21:02:13Z,1310000,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Ross 2 FT),"[1628392, 203082]",1610612746.0,LAC,shooting,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Ross,203082.0,,,,
134,PT01M00.00S,2021-12-11T21:02:47.7Z,1,REGULAR,freethrow,1 of 2,[],203082,,,1610612753,20,26,2021-12-11T21:02:47Z,1330000,,,0,,T. Ross Free Throw 1 of 2 (1 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
135,PT01M00.00S,2021-12-11T21:02:50.2Z,1,REGULAR,substitution,out,[],1629611,,,1610612753,20,26,2021-12-11T21:02:57Z,1340000,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,
136,PT01M00.00S,2021-12-11T21:02:50.2Z,1,REGULAR,substitution,in,[],1626159,,,1610612753,20,26,2021-12-11T21:02:57Z,1350000,,,0,,SUB in: J. Winslow,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,
137,PT01M00.00S,2021-12-11T21:03:10.7Z,1,REGULAR,freethrow,2 of 2,[],203082,,,1610612753,20,27,2021-12-11T21:03:10Z,1360000,,,0,,T. Ross Free Throw 2 of 2 (2 PTS),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
138,PT00M46.90S,2021-12-11T21:03:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628379,33.295006570302235,40.19607843137255,1610612746,23,27,2021-12-11T21:03:32Z,1370000,49.0,260.0,1,left,L. Kennard 26' 3PT  (11 PTS) (I. Hartenstein 1 AST),"[1628379, 1628392]",1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,26.51,Made,,,,,11.0,I. Hartenstein,1628392.0,1.0,,,,,,,,,,
140,PT00M31.20S,2021-12-11T21:03:46.7Z,1,REGULAR,3pt,Jump Shot,[],203082,67.7233902759527,65.68627450980392,1610612753,23,30,2021-12-11T21:06:10Z,1390000,78.0,251.0,1,right,T. Ross 26' 3PT pullup (5 PTS),[203082],1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,26.29,Made,,,,,5.0,,,,,,,,,,,,,
141,PT00M18.90S,2021-12-11T21:04:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630527,34.60906701708278,46.07843137254902,1610612746,23,30,2021-12-11T21:04:09Z,1400000,20.0,273.0,1,left,MISS B. Boston Jr. 27' 3PT,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,27.35,Missed,,,,,,,,,,,,,,,,,,
142,PT00M17.10S,2021-12-11T21:04:02.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,23,30,2021-12-11T21:04:17Z,1410000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,141.0,1.0,1.0,0.0,,,,,,,,,,,,,,
143,PT00M04.20S,2021-12-11T21:04:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630181,90.32522996057818,50.0,1610612753,23,30,2021-12-11T21:06:22Z,1420000,0.0,38.0,1,right,MISS R. Hampton driving Layup,[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,3.84,Missed,,,,,,,,,,,,,,,,,,
144,PT00M03.00S,2021-12-11T21:04:19.7Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612746,23,30,2021-12-11T21:06:22Z,1430000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,143.0,1.0,1.0,0.0,,,,,,,,,,,,,,
145,PT00M00.30S,2021-12-11T21:04:22.7Z,1,REGULAR,3pt,Jump Shot,[],1626159,53.482260183968464,50.38679534313725,1610612746,23,30,2021-12-11T21:06:54Z,1440000,-2.0,450.0,1,left,MISS J. Winslow 45' 3PT,[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,45.02,Missed,,,,,,,,,,,,,,,,,,
146,PT00M00.10S,2021-12-11T21:04:22.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,23,30,2021-12-11T21:06:54Z,1450000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,
147,PT00M00.00S,2021-12-11T21:04:27.0Z,1,REGULAR,period,end,[],0,,,1610612746,23,30,2021-12-11T21:04:27Z,1460000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2021-12-11T21:06:56.3Z,2,REGULAR,substitution,out,['startperiod'],1628379,,,1610612746,23,30,2021-12-11T21:07:08Z,1470000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2021-12-11T21:06:56.3Z,2,REGULAR,substitution,in,['startperiod'],202704,,,1610612746,23,30,2021-12-11T21:07:08Z,1480000,,,0,,SUB in: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2021-12-11T21:07:02.4Z,2,REGULAR,period,start,[],0,,,1610612753,23,30,2021-12-11T21:07:08Z,1490000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT11M38.00S,2021-12-11T21:07:23.5Z,2,REGULAR,3pt,Jump Shot,[],1629643,94.00459921156373,95.34313725490196,1610612753,23,30,2021-12-11T21:07:27Z,1500000,227.0,4.0,1,right,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,
152,PT11M36.00S,2021-12-11T21:07:25.5Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612746,23,30,2021-12-11T21:07:27Z,1510000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,151.0,1.0,1.0,0.0,,,,,,,,,,,,,,
153,PT11M30.00S,2021-12-11T21:07:32.2Z,2,REGULAR,3pt,Jump Shot,[],202704,33.295006570302235,48.774509803921575,1610612746,26,30,2021-12-11T21:07:37Z,1520000,6.0,260.0,1,left,R. Jackson 26' 3PT  (5 PTS) (B. Boston Jr. 1 AST),"[202704, 1630527]",1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,26.06,Made,,,,,5.0,B. Boston Jr.,1630527.0,1.0,,,,,,,,,,
155,PT11M13.00S,2021-12-11T21:07:48.5Z,2,REGULAR,3pt,Jump Shot,[],203082,68.24901445466492,62.254901960784316,1610612753,26,30,2021-12-11T21:07:54Z,1540000,61.0,246.0,1,right,MISS T. Ross 25' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,
156,PT11M11.00S,2021-12-11T21:07:50.5Z,2,REGULAR,rebound,defensive,[],1626159,,,1610612746,26,30,2021-12-11T21:07:54Z,1550000,,,0,,J. Winslow REBOUND (Off:0 Def:2),[1626159],1610612746.0,LAC,,,,Winslow,J. Winslow,,,,,,,155.0,2.0,2.0,0.0,,,,,,,,,,,,,,
157,PT11M01.00S,2021-12-11T21:08:00.0Z,2,REGULAR,3pt,Jump Shot,[],202339,28.95860709592641,21.568627450980387,1610612746,29,30,2021-12-11T21:08:08Z,1560000,142.0,220.0,1,left,E. Bledsoe 26' 3PT  (3 PTS) (J. Winslow 1 AST),"[202339, 1626159]",1610612746.0,LAC,,,,Bledsoe,E. Bledsoe,,,,,26.17,Made,,,,,3.0,J. Winslow,1626159.0,1.0,,,,,,,,,,
159,PT10M51.00S,2021-12-11T21:08:15.1Z,2,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612753,29,30,2021-12-11T21:08:20Z,1580000,,,0,,I. Hartenstein shooting personal FOUL (2 PF) (Hampton 2 FT),"[1628392, 1630181]",1610612746.0,LAC,shooting,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,204059.0,2.0,0.0,Hampton,1630181.0,,,,
161,PT10M51.00S,2021-12-11T21:08:45.0Z,2,REGULAR,freethrow,1 of 2,[],1630181,,,1610612753,29,31,2021-12-11T21:08:45Z,1600000,,,0,,R. Hampton Free Throw 1 of 2 (1 PTS),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
162,PT10M51.00S,2021-12-11T21:08:45.0Z,2,REGULAR,freethrow,2 of 2,[],1630181,,,1610612753,29,31,2021-12-11T21:09:05Z,1610000,,,0,,MISS R. Hampton Free Throw 2 of 2,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,Missed,,,,,,,,,,,,,,,,,,
163,PT10M47.00S,2021-12-11T21:08:49.0Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612746,29,31,2021-12-11T21:09:05Z,1620000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:2),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,162.0,2.0,2.0,0.0,,,,,,,,,,,,,,
164,PT10M32.00S,2021-12-11T21:09:17.1Z,2,REGULAR,2pt,Jump Shot,[],202339,22.2568988173456,66.42156862745098,1610612746,29,31,2021-12-11T21:09:22Z,1630000,-82.0,157.0,1,left,MISS E. Bledsoe 17' pullup Shot,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,17.69,Missed,,,,,,,,,,,,,,,,,,
165,PT10M28.00S,2021-12-11T21:09:21.1Z,2,REGULAR,rebound,defensive,[],1628964,,,1610612753,29,31,2021-12-11T21:09:22Z,1640000,,,0,,M. Bamba REBOUND (Off:0 Def:2),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,164.0,2.0,2.0,0.0,,,,,,,,,,,,,,
166,PT10M18.00S,2021-12-11T21:09:32.3Z,2,REGULAR,3pt,Jump Shot,[],1629643,72.84822601839684,15.196078431372555,1610612753,29,31,2021-12-11T21:09:37Z,1650000,-174.0,203.0,1,right,MISS C. Okeke 26' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,26.71,Missed,,,,,,,,,,,,,,,,,,
167,PT10M15.00S,2021-12-11T21:09:35.3Z,2,REGULAR,rebound,defensive,[],1628392,,,1610612746,29,31,2021-12-11T21:09:37Z,1660000,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612746.0,LAC,,,,Hartenstein,I. Hartenstein,,,,,,,166.0,3.0,2.0,1.0,,,,,,,,,,,,,,
168,PT10M09.00S,2021-12-11T21:09:40.7Z,2,REGULAR,2pt,Jump Shot,[],202339,24.096583442838366,65.44117647058823,1610612746,29,31,2021-12-11T21:10:03Z,1670000,-77.0,174.0,1,left,MISS E. Bledsoe 19' pullup Shot,[202339],1610612746.0,LAC,pullup,,,Bledsoe,E. Bledsoe,,,,,19.04,Missed,,,,,,,,,,,,,,,,,,
169,PT10M06.00S,2021-12-11T21:09:43.7Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,29,31,2021-12-11T21:09:51Z,1680000,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,168.0,2.0,2.0,0.0,,,,,,,,,,,,,,
170,PT09M55.00S,2021-12-11T21:10:00.2Z,2,REGULAR,turnover,out-of-bounds,[],1628964,,,1610612753,29,31,2021-12-11T21:10:05Z,1690000,,,0,,M. Bamba lost ball out-of-bounds TURNOVER (1 TO),[1628964],1610612753.0,ORL,lost ball,,,Bamba,M. Bamba,,,,,,,,,,,,,,,1.0,204059.0,,,,,,,,
171,PT09M55.00S,2021-12-11T21:10:05.2Z,2,REGULAR,substitution,out,[],1628964,,,1610612746,29,31,2021-12-11T21:10:08Z,1700000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,
172,PT09M55.00S,2021-12-11T21:10:05.2Z,2,REGULAR,substitution,in,[],1628976,,,1610612746,29,31,2021-12-11T21:10:08Z,1710000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
173,PT09M36.00S,2021-12-11T21:10:26.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],202704,30.404073587385014,71.07843137254902,1610612746,29,31,2021-12-11T21:10:30Z,1720000,-105.0,233.0,1,left,MISS R. Jackson 25' step back 3PT,[202704],1610612746.0,LAC,step back,,,Jackson,R. Jackson,,,,,25.6,Missed,,,,,,,,,,,,,,,,,,
174,PT09M34.00S,2021-12-11T21:10:28.6Z,2,REGULAR,rebound,defensive,[],1628976,,,1610612753,29,31,2021-12-11T21:10:30Z,1730000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,173.0,5.0,4.0,1.0,,,,,,,,,,,,,,
175,PT09M24.00S,2021-12-11T21:10:38.0Z,2,REGULAR,3pt,Jump Shot,[],1630181,68.51182654402103,62.745098039215684,1610612753,29,31,2021-12-11T21:10:55Z,1740000,64.0,243.0,1,right,MISS R. Hampton 25' pullup 3PT,[1630181],1610612753.0,ORL,pullup,,,Hampton,R. Hampton,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,
176,PT09M21.00S,2021-12-11T21:10:40.3Z,2,REGULAR,rebound,defensive,[],1630527,,,1610612746,29,31,2021-12-11T21:10:40Z,1750000,,,0,,B. Boston Jr. REBOUND (Off:0 Def:3),[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,175.0,3.0,3.0,0.0,,,,,,,,,,,,,,
177,PT09M13.00S,2021-12-11T21:10:49.5Z,2,REGULAR,2pt,Jump Shot,[],1630527,18.7910643889619,26.447610294117652,1610612746,29,31,2021-12-11T21:10:54Z,1760000,118.0,124.0,1,left,MISS B. Boston Jr. 17' pullup Shot,[1630527],1610612746.0,LAC,pullup,,,Boston Jr.,B. Boston Jr.,,,,,17.11,Missed,,,,,,,,,,,,,,,,,,
178,PT09M11.00S,2021-12-11T21:10:51.5Z,2,REGULAR,rebound,defensive,[],1628976,,,1610612753,29,31,2021-12-11T21:10:54Z,1770000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,177.0,6.0,5.0,1.0,,,,,,,,,,,,,,
