actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
82,PT05M24.00S,2025-03-01T00:59:17.2Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,25,7,2025-03-01T00:59:23Z,800000,False,,,0,,S. Hauser REBOUND (Off:1 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,81.0,3.0,2.0,1.0,,,,,,,,,,,,,
83,PT05M23.00S,2025-03-01T00:59:19.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630573,12.040078843626807,38.48039215686275,1610612738,25,7,2025-03-01T00:59:26Z,810000,False,58.0,61.0,1,left,MISS S. Hauser 8' Hook,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Right,8.37,Missed,,,,,,,,,,,,,,,,,,
84,PT05M21.00S,2025-03-01T00:59:21.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,25,7,2025-03-01T00:59:26Z,820000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Right,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,
85,PT05M10.00S,2025-03-01T00:59:34.3Z,1,REGULAR,foul,personal,[],1628436,,,1610612739,25,7,2025-03-01T00:59:46Z,830000,False,,,0,,L. Kornet personal FOUL (1 PF),"[1628436, 1629636]",1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,202049.0,1.0,0.0,Garland,1629636.0,,
87,PT05M10.00S,2025-03-01T00:59:42.1Z,1,REGULAR,substitution,out,[],1627759,,,1610612739,25,7,2025-03-01T00:59:45Z,850000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M10.00S,2025-03-01T00:59:42.1Z,1,REGULAR,substitution,out,[],1629622,,,1610612739,25,7,2025-03-01T00:59:45Z,860000,False,,,0,,SUB out: M. Strus,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M10.00S,2025-03-01T00:59:42.1Z,1,REGULAR,substitution,in,[],1630202,,,1610612739,25,7,2025-03-01T00:59:45Z,870000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M10.00S,2025-03-01T00:59:42.1Z,1,REGULAR,substitution,in,[],1630241,,,1610612739,25,7,2025-03-01T00:59:45Z,880000,False,,,0,,SUB in: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M03.00S,2025-03-01T01:00:05.4Z,1,REGULAR,2pt,Jump Shot,[],1629636,81.02825229960578,25.0,1610612739,25,9,2025-03-01T01:00:11Z,890000,False,-125.0,126.0,1,right,D. Garland 17' driving floating bank Jump Shot (4 PTS) (J. Allen 1 AST),"[1629636, 1628386]",1610612739.0,CLE,driving floating bank,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,17.73,Made,4.0,,,,,,J. Allen,1628386.0,1.0,,,,,,,,,
92,PT04M44.00S,2025-03-01T01:00:24.9Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612738,25,9,2025-03-01T01:00:30Z,900000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Tatum 2 FT),"[1628386, 1628369]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202049.0,1.0,0.0,Tatum,1628369.0,,
94,PT04M44.00S,2025-03-01T01:00:52.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,26,9,2025-03-01T01:00:52Z,920000,False,,,0,,J. Tatum Free Throw 1 of 2 (9 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
96,PT04M44.00S,2025-03-01T01:01:07.1Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,27,9,2025-03-01T01:01:07Z,930000,False,,,0,,J. Tatum Free Throw 2 of 2 (10 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
97,PT04M32.00S,2025-03-01T01:01:21.4Z,1,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612739,27,9,2025-03-01T01:01:32Z,940000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Hunter 2 FT),"[1630202, 1629631]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1628487.0,1.0,0.0,Hunter,1629631.0,,
99,PT04M32.00S,2025-03-01T01:01:53.3Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612739,27,10,2025-03-01T01:02:16Z,960000,False,,,0,,D. Hunter Free Throw 1 of 2 (1 PTS),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
100,PT04M32.00S,2025-03-01T01:01:54.6Z,1,REGULAR,substitution,out,[],1628401,,,1610612739,27,10,2025-03-01T01:01:57Z,970000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT04M32.00S,2025-03-01T01:01:54.6Z,1,REGULAR,substitution,in,[],1641809,,,1610612739,27,10,2025-03-01T01:01:57Z,980000,False,,,0,,SUB in: D. Peterson,[1641809],1610612738.0,BOS,,,,Peterson,D. Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT04M32.00S,2025-03-01T01:01:53.3Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612739,27,10,2025-03-01T01:02:16Z,990000,False,,,0,,MISS D. Hunter Free Throw 2 of 2,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
103,PT04M30.00S,2025-03-01T01:01:55.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,27,10,2025-03-01T01:02:16Z,1000000,False,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,102.0,6.0,5.0,1.0,,,,,,,,,,,,,
104,PT04M16.00S,2025-03-01T01:02:27.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,33.85348226018397,57.35294117647059,1610612738,27,10,2025-03-01T01:02:55Z,1010000,False,-37.0,266.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,26.82,Missed,,,,,,,,,,,,,,,,,,
105,PT04M15.00S,2025-03-01T01:02:28.7Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,27,10,2025-03-01T01:02:33Z,1020000,False,,,0,,S. Merrill REBOUND (Off:0 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,,,,104.0,1.0,1.0,0.0,,,,,,,,,,,,,
106,PT04M06.00S,2025-03-01T01:02:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630241,67.09921156373193,34.80392156862745,1610612739,27,13,2025-03-01T01:02:43Z,1030000,False,-76.0,257.0,1,right,S. Merrill 26' 3PT  (3 PTS) (T. Jerome 1 AST),"[1630241, 1629660]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,26.78,Made,3.0,,,,,,T. Jerome,1629660.0,1.0,,,,,,,,,
108,PT03M37.00S,2025-03-01T01:03:06.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,15.982260183968464,78.43137254901961,1610612738,29,13,2025-03-01T01:03:12Z,1050000,False,-142.0,98.0,1,left,J. Tatum 17' step back Jump Shot (12 PTS),[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,17.25,Made,12.0,,,,,,,,,,,,,,,,,
109,PT03M27.00S,2025-03-01T01:03:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,81.15965834428384,35.53921568627451,1610612739,29,13,2025-03-01T01:03:21Z,1060000,False,-72.0,125.0,1,right,MISS T. Jerome 14' driving floating Shot,[1629660],1610612739.0,CLE,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Center,14.41,Missed,,,,,,,,,,,,,,,,,,
110,PT03M26.00S,2025-03-01T01:03:17.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,13,2025-03-01T01:03:21Z,1070000,False,,,0,,J. Tatum REBOUND (Off:1 Def:6),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,,109.0,7.0,6.0,1.0,,,,,,,,,,,,,
111,PT03M19.00S,2025-03-01T01:03:26.0Z,1,REGULAR,3pt,Jump Shot,[],1630202,28.465834428383708,79.65686274509804,1610612738,29,13,2025-03-01T01:03:32Z,1080000,False,-148.0,215.0,1,left,MISS P. Pritchard 26' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
112,PT03M14.00S,2025-03-01T01:03:30.0Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,29,13,2025-03-01T01:03:30Z,1090000,False,,,0,,S. Hauser REBOUND (Off:2 Def:2),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,111.0,4.0,2.0,2.0,,,,,,,,,,,,,
113,PT03M05.00S,2025-03-01T01:03:41.2Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612738,29,13,2025-03-01T01:03:51Z,1100000,False,,,0,,J. Allen shooting personal FOUL (2 PF) (Tatum 2 FT),"[1628386, 1628369]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1628487.0,2.0,0.0,Tatum,1628369.0,,
115,PT03M05.00S,2025-03-01T01:04:14.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628369,,,1610612738,29,13,2025-03-01T01:04:14Z,1120000,False,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
116,PT03M05.00S,2025-03-01T01:04:14.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,29,13,2025-03-01T01:04:14Z,1130000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,
117,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,29,13,2025-03-01T01:04:24Z,1140000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,out,[],1641809,,,1610612738,29,13,2025-03-01T01:04:24Z,1150000,False,,,0,,SUB out: D. Peterson,[1641809],1610612738.0,BOS,,,,Peterson,D. Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,out,[],1628386,,,1610612738,29,13,2025-03-01T01:04:24Z,1160000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,in,[],1627759,,,1610612738,29,13,2025-03-01T01:04:24Z,1170000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,in,[],1628470,,,1610612738,29,13,2025-03-01T01:04:24Z,1180000,False,,,0,,SUB in: T. Craig,[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,in,[],1630596,,,1610612738,29,13,2025-03-01T01:04:24Z,1190000,False,,,0,,SUB in: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,out,[],1629636,,,1610612738,29,13,2025-03-01T01:05:54Z,1195000,False,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT03M05.00S,2025-03-01T01:04:15.4Z,1,REGULAR,substitution,in,[],1628378,,,1610612738,29,13,2025-03-01T01:05:54Z,1197500,False,,,0,,SUB in: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT03M05.00S,2025-03-01T01:04:45.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628369,,,1610612738,30,13,2025-03-01T01:04:45Z,1200000,False,,,0,,J. Tatum Free Throw 2 of 2 (13 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
124,PT02M57.00S,2025-03-01T01:04:54.0Z,1,REGULAR,3pt,Jump Shot,[],1629660,62.5,67.15686274509804,1610612739,30,16,2025-03-01T01:04:58Z,1210000,False,86.0,300.0,1,right,T. Jerome 31' 3PT pullup (3 PTS),[1629660],1610612739.0,CLE,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Center,31.2,Made,3.0,,,,,,,,,,,,,,,,,
125,PT02M30.00S,2025-03-01T01:05:20.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,15.588042049934298,49.01960784313725,1610612738,30,16,2025-03-01T01:05:33Z,1220000,False,5.0,94.0,1,left,MISS J. Tatum 9' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,turnaround fadeaway,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,9.41,Missed,,,,,,,,,,,,,,,,,,
126,PT02M24.00S,2025-03-01T01:05:26.7Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,30,16,2025-03-01T01:05:28Z,1230000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,
127,PT02M16.00S,2025-03-01T01:05:34.6Z,1,REGULAR,2pt,Jump Shot,[],1628378,83.78777923784494,73.52941176470588,1610612739,30,18,2025-03-01T01:05:48Z,1240000,False,118.0,100.0,1,right,D. Mitchell 15' pullup Jump Shot (3 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,15.43,Made,3.0,,,,,,,,,,,,,,,,,
128,PT01M57.00S,2025-03-01T01:05:53.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,9.724047306176084,37.388939950980394,1610612738,32,18,2025-03-01T01:06:54Z,1250000,False,63.0,39.0,1,left,J. Brown 7' driving floating Jump Shot (10 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.41,Made,10.0,,,,,,,,,,,,,,,,,
131,PT01M45.00S,2025-03-01T01:06:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,81.2910643889619,46.32352941176471,1610612739,32,20,2025-03-01T01:06:12Z,1260000,False,-18.0,123.0,1,right,T. Jerome 12' driving floating Jump Shot (5 PTS),[1629660],1610612739.0,CLE,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),8-16 Center,12.48,Made,5.0,,,,,,,,,,,,,,,,,
132,PT01M32.00S,2025-03-01T01:06:21.3Z,1,REGULAR,foul,offensive,[],1630202,,,1610612738,32,20,2025-03-01T01:06:29Z,1270000,False,,,0,,P. Pritchard offensive FOUL (2 PF),"[1630202, 1629631]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,202027.0,2.0,0.0,Hunter,1629631.0,,
134,PT01M32.00S,2025-03-01T01:06:21.3Z,1,REGULAR,turnover,offensive foul,[],1630202,,,1610612738,32,20,2025-03-01T01:06:21Z,1290000,False,,,0,,P. Pritchard offensive foul TURNOVER (1 TO),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,,202027.0,,,,,,
135,PT01M20.00S,2025-03-01T01:06:52.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629660,68.15045992115637,69.6078431372549,1610612739,32,23,2025-03-01T01:07:43Z,1300000,False,98.0,247.0,1,right,T. Jerome 26' 3PT pullup (8 PTS),[1629660],1610612739.0,CLE,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Right Center,26.56,Made,8.0,,,,,,,,,,,,,,,,,
136,PT01M00.00S,2025-03-01T01:07:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,12.089356110381077,44.87974877450981,1610612738,32,23,2025-03-01T01:07:19Z,1310000,False,26.0,61.0,1,left,MISS J. Brown 6' driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,6.62,Missed,,,,,,,,,,,,,,,,,,
137,PT00M59.30S,2025-03-01T01:07:13.1Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,32,23,2025-03-01T01:07:19Z,1320000,False,,,0,,J. Brown REBOUND (Off:2 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,136.0,2.0,0.0,2.0,,,,,,,,,,,,,
138,PT00M59.30S,2025-03-01T01:07:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1630241,,,1610612738,32,23,2025-03-01T01:07:27Z,1330000,False,,,0,,S. Merrill shooting personal FOUL (1 PF) (Brown 2 FT),"[1630241, 1627759]",1610612739.0,CLE,shooting,,,Merrill,S. Merrill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202049.0,1.0,0.0,Brown,1627759.0,,
140,PT00M59.30S,2025-03-01T01:07:50.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627759,,,1610612738,33,23,2025-03-01T01:08:18Z,1350000,False,,,0,,J. Brown Free Throw 1 of 2 (11 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
141,PT00M59.30S,2025-03-01T01:07:51.4Z,1,REGULAR,substitution,out,[],1628436,,,1610612738,33,23,2025-03-01T01:07:55Z,1360000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT00M59.30S,2025-03-01T01:07:51.4Z,1,REGULAR,substitution,in,[],201143,,,1610612738,33,23,2025-03-01T01:07:55Z,1370000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT00M59.30S,2025-03-01T01:07:50.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627759,,,1610612738,33,23,2025-03-01T01:08:18Z,1380000,False,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
144,PT00M57.70S,2025-03-01T01:07:52.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,33,23,2025-03-01T01:08:18Z,1390000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,143.0,2.0,2.0,0.0,,,,,,,,,,,,,
145,PT00M44.60S,2025-03-01T01:08:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629660,92.9862023653088,62.00980392156863,1610612739,33,23,2025-03-01T01:08:34Z,1400000,False,60.0,13.0,1,right,MISS T. Jerome 6' driving Layup - blocked,"[1629660, 1628369]",1610612739.0,CLE,driving,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,6.15,Missed,,,,,,,,,,,,,,,,,Tatum,1628369.0
146,PT00M44.60S,2025-03-01T01:08:29.2Z,1,REGULAR,block,,[],1628369,,,1610612739,33,23,2025-03-01T01:08:31Z,1410000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
147,PT00M44.40S,2025-03-01T01:08:29.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,33,23,2025-03-01T01:08:34Z,1420000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,145.0,,,,,,,,,,,,,,,,
149,PT00M44.40S,2025-03-01T01:08:36.3Z,1,REGULAR,substitution,out,[],1628470,,,1610612738,33,23,2025-03-01T01:08:44Z,1440000,False,,,0,,SUB out: T. Craig,[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT00M44.40S,2025-03-01T01:08:36.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,33,23,2025-03-01T01:08:44Z,1450000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT00M36.50S,2025-03-01T01:09:02.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,7.046649145860711,57.84313725490197,1610612738,35,23,2025-03-01T01:09:06Z,1460000,False,-39.0,14.0,1,left,J. Tatum driving Layup (15 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,4.15,Made,15.0,,,,,,,,,,,,,,,,,
152,PT00M36.50S,2025-03-01T01:09:03.7Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630596,,,1610612738,35,23,2025-03-01T01:09:16Z,1470000,False,,,0,,E. Mobley shooting personal FOUL (1 PF) (Tatum 1 FT),"[1630596, 1628369]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202027.0,1.0,0.0,Tatum,1628369.0,,
154,PT00M36.50S,2025-03-01T01:09:17.7Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,35,23,2025-03-01T01:10:14Z,1490000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT00M36.50S,2025-03-01T01:09:17.7Z,1,REGULAR,substitution,in,[],1628470,,,1610612738,35,23,2025-03-01T01:10:14Z,1500000,False,,,0,,SUB in: T. Craig,[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT00M36.50S,2025-03-01T01:09:37.8Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,36,23,2025-03-01T01:09:37Z,1510000,False,,,0,,J. Tatum Free Throw 1 of 1 (16 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,16.0,,,,,,,,,,,,,,,,,
157,PT00M24.00S,2025-03-01T01:09:50.1Z,1,REGULAR,3pt,Jump Shot,[],1629631,86.15308804204993,94.85294117647058,1610612739,36,26,2025-03-01T01:10:14Z,1520000,False,224.0,78.0,1,right,D. Hunter 3PT  (4 PTS) (D. Mitchell 1 AST),"[1629631, 1628378]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Right Corner 3,24+ Right,23.74,Made,4.0,,,,,,D. Mitchell,1628378.0,1.0,,,,,,,,,
159,PT00M01.90S,2025-03-01T01:10:15.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,9.937582128777924,70.58823529411765,1610612738,38,26,2025-03-01T01:10:21Z,1540000,False,-103.0,41.0,1,left,J. Tatum 11' fadeaway Jump Shot (18 PTS),[1628369],1610612738.0,BOS,fadeaway,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,11.07,Made,18.0,,,,,,,,,,,,,,,,,
160,PT00M00.00S,2025-03-01T01:10:23.6Z,1,REGULAR,period,end,[],0,,,1610612739,38,26,2025-03-01T01:10:23Z,1550000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612739,38,26,2025-03-01T01:13:56Z,1560000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
162,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,out,['startperiod'],1628470,,,1610612739,38,26,2025-03-01T01:13:56Z,1570000,False,,,0,,SUB out: T. Craig,[1628470],1610612738.0,BOS,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
163,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,out,['startperiod'],1629631,,,1610612739,38,26,2025-03-01T01:13:56Z,1580000,False,,,0,,SUB out: D. Hunter,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
164,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612739,38,26,2025-03-01T01:13:56Z,1590000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT12M00.00S,2025-03-01T01:13:12.0Z,2,REGULAR,substitution,in,['startperiod'],1628436,,,1610612739,38,26,2025-03-01T01:13:56Z,1600000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
