actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
89,PT05M11.00S,2024-11-17T01:29:17.2Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,17,14,2024-11-17T01:29:20Z,850000,False,,,0,,L. Kornet REBOUND (Off:1 Def:0),[1628436],1610612738.0,BOS,,,,,,,,Kornet,L. Kornet,Right Corner 3,24+ Right,,,,,,,88.0,1.0,0.0,1.0,,,,,,,,,,
90,PT05M09.00S,2024-11-17T01:29:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628369,32.40801576872536,67.8921568627451,1610612738,20,14,2024-11-17T01:29:23Z,860000,False,-89.0,252.0,1,left,J. Tatum 26' 3PT  (5 PTS) (L. Kornet 1 AST),"[1628369, 1628436]",1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,26.75,Made,5.0,,,,,,,,,,,,L. Kornet,1628436.0,1.0,,,
93,PT04M53.00S,2024-11-17T01:29:56.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,92.9862023653088,46.81372549019608,1610612761,20,16,2024-11-17T01:30:05Z,890000,False,-16.0,13.0,1,right,B. Fernando cutting Layup (2 PTS) (J. Shead 1 AST),"[1628981, 1642347]",1610612761.0,TOR,cutting,,,,,,,Fernando,B. Fernando,Restricted Area,0-8 Center,2.08,Made,2.0,,,,,,,,,,,,J. Shead,1642347.0,1.0,,,
95,PT04M35.00S,2024-11-17T01:30:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630202,28.86005256241787,83.33333333333334,1610612738,20,16,2024-11-17T01:30:22Z,910000,False,-167.0,219.0,1,left,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,,,,,Pritchard,P. Pritchard,Above the Break 3,24+ Left Center,27.51,Missed,,,,,,,,,,,,,,,,,,
96,PT04M30.00S,2024-11-17T01:30:19.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,20,16,2024-11-17T01:30:22Z,920000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,,,,,Barrett,R. Barrett,Above the Break 3,24+ Left Center,,,,,,,95.0,2.0,2.0,0.0,,,,,,,,,,
97,PT04M21.00S,2024-11-17T01:30:28.6Z,1,REGULAR,turnover,bad pass,[],1628981,,,1610612761,20,16,2024-11-17T01:30:34Z,930000,False,,,0,,B. Fernando bad pass TURNOVER (1 TO),"[1628981, 201143]",1610612761.0,TOR,,,,,,,,Fernando,B. Fernando,Above the Break 3,24+ Center,,,,1.0,Horford,201143.0,,,,,,,,,,,,,,
98,PT04M21.00S,2024-11-17T01:30:28.6Z,1,REGULAR,steal,,[],201143,,,1610612738,20,16,2024-11-17T01:30:31Z,940000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,,,,,Horford,A. Horford,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
99,PT04M16.00S,2024-11-17T01:30:36.1Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,20,16,2024-11-17T01:30:43Z,950000,False,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,,,,202041.0,Tatum,J. Tatum,Mid-Range,8-16 Right,,,,1.0,,,,,,,,,,,,,,,,
100,PT03M58.00S,2024-11-17T01:30:59.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628981,89.70105124835742,39.705882352941174,1610612761,20,16,2024-11-17T01:31:07Z,960000,False,-51.0,44.0,1,right,MISS B. Fernando 6' Layup,[1628981],1610612761.0,TOR,,,,,,,,Fernando,B. Fernando,In The Paint (Non-RA),0-8 Center,6.79,Missed,,,,,,,,,,,,,,,,,,
101,PT03M58.00S,2024-11-17T01:30:59.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,20,16,2024-11-17T01:31:07Z,970000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,100.0,,,,,,,,,,,,,
103,PT03M58.00S,2024-11-17T01:31:07.5Z,1,REGULAR,foul,personal,[],1630573,,,1610612761,20,16,2024-11-17T01:31:23Z,990000,False,,,0,,S. Hauser loose ball personal FOUL (1 PF),"[1630573, 1629628]",1610612738.0,BOS,loose ball,,,,,,1628481.0,Hauser,S. Hauser,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Barrett,1629628.0,,,,,,
105,PT03M45.00S,2024-11-17T01:31:34.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628449,68.41327201051249,24.019607843137255,1610612761,20,16,2024-11-17T01:31:41Z,1010000,False,-130.0,244.0,1,right,MISS C. Boucher 27' 3PT,[1628449],1610612761.0,TOR,,,,,,,,Boucher,C. Boucher,Above the Break 3,24+ Left Center,27.68,Missed,,,,,,,,,,,,,,,,,,
106,PT03M44.00S,2024-11-17T01:31:35.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,20,16,2024-11-17T01:31:41Z,1020000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,105.0,,,,,,,,,,,,,
108,PT03M29.00S,2024-11-17T01:32:01.4Z,1,REGULAR,3pt,Jump Shot,[],201143,13.222733245729303,2.450980392156863,1610612738,20,16,2024-11-17T01:32:07Z,1040000,False,238.0,72.0,1,left,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,,,,,Horford,A. Horford,Right Corner 3,24+ Right,24.83,Missed,,,,,,,,,,,,,,,,,,
109,PT03M26.00S,2024-11-17T01:32:04.4Z,1,REGULAR,rebound,defensive,[],1630534,,,1610612761,20,16,2024-11-17T01:32:12Z,1050000,False,,,0,,O. Agbaji REBOUND (Off:0 Def:2),[1630534],1610612761.0,TOR,,,,,,,,Agbaji,O. Agbaji,Right Corner 3,24+ Right,,,,,,,108.0,2.0,2.0,0.0,,,,,,,,,,
110,PT03M18.00S,2024-11-17T01:32:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628981,89.56964520367937,58.82352941176471,1610612761,20,16,2024-11-17T01:34:17Z,1060000,False,44.0,46.0,1,right,MISS B. Fernando 6' cutting Layup,[1628981],1610612761.0,TOR,cutting,,,,,,,Fernando,B. Fernando,In The Paint (Non-RA),0-8 Center,6.34,Missed,,,,,,,,,,,,,,,,,,
111,PT03M16.00S,2024-11-17T01:32:14.4Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,20,16,2024-11-17T01:33:01Z,1070000,False,,,0,,C. Boucher REBOUND (Off:1 Def:0),[1628449],1610612761.0,TOR,,,,,,,,Boucher,C. Boucher,In The Paint (Non-RA),0-8 Center,,,,,,,110.0,1.0,0.0,1.0,,,,,,,,,,
112,PT03M16.00S,2024-11-17T01:32:18.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628449,94.40999984741211,50.0,1610612761,20,18,2024-11-17T01:33:07Z,1080000,False,0.0,0.0,1,right,C. Boucher tip DUNK (2 PTS),[1628449],1610612761.0,TOR,tip,,,,,,,Boucher,C. Boucher,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
113,PT03M02.00S,2024-11-17T01:32:34.9Z,1,REGULAR,foul,personal,[],1642347,,,1610612738,20,18,2024-11-17T01:32:39Z,1090000,False,,,0,,J. Shead personal FOUL (1 PF),"[1642347, 1630202]",1610612761.0,TOR,,,,,,,202041.0,Shead,J. Shead,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Pritchard,1630202.0,,,,,,
115,PT03M02.00S,2024-11-17T01:32:43.9Z,1,REGULAR,substitution,out,[],201143,,,1610612738,20,18,2024-11-17T01:32:49Z,1110000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,
116,PT03M02.00S,2024-11-17T01:32:43.9Z,1,REGULAR,substitution,in,[],1641775,,,1610612738,20,18,2024-11-17T01:32:49Z,1120000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,
117,PT03M02.00S,2024-11-17T01:32:51.6Z,1,REGULAR,substitution,out,[],1629628,,,1610612738,20,18,2024-11-17T01:32:57Z,1130000,False,,,0,,SUB out: R. Barrett,[1629628],1610612761.0,TOR,,,,,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,
118,PT03M02.00S,2024-11-17T01:32:51.6Z,1,REGULAR,substitution,in,[],1641711,,,1610612738,20,18,2024-11-17T01:32:57Z,1140000,False,,,0,,SUB in: G. Dick,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,,,,,,,,,,,,,,,,,,,,,,
119,PT02M52.00S,2024-11-17T01:33:04.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1642347,,,1610612738,20,18,2024-11-17T01:33:18Z,1150000,False,,,0,,J. Shead shooting personal FOUL (2 PF) (Tatum 2 FT),"[1642347, 1628369]",1610612761.0,TOR,shooting,,,,,,202041.0,Shead,J. Shead,Mid-Range,16-24 Center,,,,,,,,,,,2.0,0.0,Tatum,1628369.0,,,,,,
121,PT02M52.00S,2024-11-17T01:33:37.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,21,18,2024-11-17T01:33:37Z,1170000,False,,,0,,J. Tatum Free Throw 1 of 2 (6 PTS),[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,,,,Made,6.0,,,,,,,,,,,,,,,,,
122,PT02M52.00S,2024-11-17T01:33:53.6Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,22,18,2024-11-17T01:33:53Z,1180000,False,,,0,,J. Tatum Free Throw 2 of 2 (7 PTS),[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,,,,Made,7.0,,,,,,,,,,,,,,,,,
123,PT02M30.00S,2024-11-17T01:34:15.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,91.40932982917214,47.05882352941176,1610612761,22,20,2024-11-17T01:34:22Z,1190000,False,-15.0,28.0,1,right,O. Agbaji driving Layup (8 PTS) (B. Fernando 1 AST),"[1630534, 1628981]",1610612761.0,TOR,driving,,,,,,,Agbaji,O. Agbaji,Restricted Area,0-8 Center,3.19,Made,8.0,,,,,,,,,,,,B. Fernando,1628981.0,1.0,,,
125,PT02M11.00S,2024-11-17T01:34:38.0Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,22,20,2024-11-17T01:34:44Z,1210000,False,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (2 TO),[1628369],1610612738.0,BOS,bad pass,,,,,,1628481.0,Tatum,J. Tatum,Above the Break 3,24+ Left Center,,,,2.0,,,,,,,,,,,,,,,,
126,PT01M58.00S,2024-11-17T01:35:02.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641711,75.3777923784494,50.0,1610612761,22,20,2024-11-17T01:35:13Z,1220000,False,0.0,179.0,1,right,MISS G. Dick 17' Jump Shot,[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,Mid-Range,16-24 Center,17.89,Missed,,,,,,,,,,,,,,,,,,
127,PT01M55.00S,2024-11-17T01:35:05.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,22,20,2024-11-17T01:35:13Z,1230000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,16-24 Center,,,,,,,126.0,,,,,,,,,,,,,
129,PT01M41.00S,2024-11-17T01:35:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,30.436925098554536,81.12745098039215,1610612738,25,20,2024-11-17T01:35:32Z,1250000,False,-156.0,234.0,1,left,J. Tatum 28' 3PT pullup (10 PTS),[1628369],1610612738.0,BOS,pullup,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,28.07,Made,10.0,,,,,,,,,,,,,,,,,
130,PT01M28.00S,2024-11-17T01:35:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630534,82.7365308804205,55.63725490196079,1610612761,25,20,2024-11-17T01:35:46Z,1260000,False,28.0,110.0,1,right,MISS O. Agbaji 11' floating Shot,[1630534],1610612761.0,TOR,floating,,,,,,,Agbaji,O. Agbaji,In The Paint (Non-RA),8-16 Center,11.34,Missed,,,,,,,,,,,,,,,,,,
131,PT01M26.00S,2024-11-17T01:35:42.3Z,1,REGULAR,rebound,defensive,[],1628436,,,1610612738,25,20,2024-11-17T01:35:46Z,1270000,False,,,0,,L. Kornet REBOUND (Off:1 Def:1),[1628436],1610612738.0,BOS,,,,,,,,Kornet,L. Kornet,In The Paint (Non-RA),8-16 Center,,,,,,,130.0,2.0,1.0,1.0,,,,,,,,,,
132,PT01M12.00S,2024-11-17T01:35:56.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,29.517082785808146,79.90196078431373,1610612738,28,20,2024-11-17T01:36:01Z,1280000,False,-150.0,225.0,1,left,J. Tatum 27' 3PT pullup (13 PTS),[1628369],1610612738.0,BOS,pullup,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,27.01,Made,13.0,,,,,,,,,,,,,,,,,
133,PT01M00.00S,2024-11-17T01:36:08.9Z,1,REGULAR,2pt,Jump Shot,[],1642347,88.78120893561103,79.90196078431373,1610612761,28,22,2024-11-17T01:36:12Z,1290000,False,150.0,53.0,1,right,J. Shead 15' pullup Jump Shot (2 PTS),[1642347],1610612761.0,TOR,pullup,,,,,,,Shead,J. Shead,Mid-Range,8-16 Right,15.86,Made,2.0,,,,,,,,,,,,,,,,,
134,PT00M51.50S,2024-11-17T01:36:19.5Z,1,REGULAR,2pt,Jump Shot,[],1630202,16.507884362680684,78.43137254901961,1610612738,28,22,2024-11-17T01:36:29Z,1300000,False,-142.0,103.0,1,left,MISS P. Pritchard 17' step back Shot,[1630202],1610612738.0,BOS,step back,,,,,,,Pritchard,P. Pritchard,Mid-Range,16-24 Left,17.54,Missed,,,,,,,,,,,,,,,,,,
135,PT00M50.40S,2024-11-17T01:36:23.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,28,22,2024-11-17T01:36:23Z,1310000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,134.0,,,,,,,,,,,,,
137,PT00M50.40S,2024-11-17T01:36:30.2Z,1,REGULAR,substitution,out,[],1628981,,,1610612738,28,22,2024-11-17T01:36:34Z,1330000,False,,,0,,SUB out: B. Fernando,[1628981],1610612761.0,TOR,,,,,,,,Fernando,B. Fernando,,,,,,,,,,,,,,,,,,,,,,
138,PT00M50.40S,2024-11-17T01:36:30.2Z,1,REGULAR,substitution,in,[],1627751,,,1610612738,28,22,2024-11-17T01:36:34Z,1340000,False,,,0,,SUB in: J. Pöltl,[1627751],1610612761.0,TOR,,,,,,,,Pöltl,J. Pöltl,,,,,,,,,,,,,,,,,,,,,,
139,PT00M47.40S,2024-11-17T01:36:47.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,11.514454664914586,3.6764705882352944,1610612738,28,22,2024-11-17T01:36:51Z,1350000,False,232.0,56.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,,,,,Hauser,S. Hauser,Right Corner 3,24+ Right,23.82,Missed,,,,,,,,,,,,,,,,,,
140,PT00M44.80S,2024-11-17T01:36:50.0Z,1,REGULAR,rebound,defensive,[],1628449,,,1610612761,28,22,2024-11-17T01:36:50Z,1360000,False,,,0,,C. Boucher REBOUND (Off:1 Def:1),[1628449],1610612761.0,TOR,,,,,,,,Boucher,C. Boucher,Right Corner 3,24+ Right,,,,,,,139.0,2.0,1.0,1.0,,,,,,,,,,
141,PT00M33.50S,2024-11-17T01:37:01.3Z,1,REGULAR,2pt,Jump Shot,[],1642347,81.94809461235218,65.93137254901961,1610612761,28,24,2024-11-17T01:37:24Z,1370000,False,80.0,117.0,1,right,J. Shead 14' driving floating Jump Shot (4 PTS) (O. Agbaji 1 AST),"[1642347, 1630534]",1610612761.0,TOR,driving floating,,,,,,,Shead,J. Shead,Mid-Range,8-16 Right,14.17,Made,4.0,,,,,,,,,,,,O. Agbaji,1630534.0,1.0,,,
142,PT00M17.50S,2024-11-17T01:37:21.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.013797634691194,77.20588235294117,1610612738,28,24,2024-11-17T01:37:37Z,1380000,False,-136.0,248.0,1,left,MISS J. Tatum 28' step back 3PT,[1628369],1610612738.0,BOS,step back,,,,,,,Tatum,J. Tatum,Above the Break 3,24+ Left Center,28.32,Missed,,,,,,,,,,,,,,,,,,
143,PT00M14.40S,2024-11-17T01:37:24.9Z,1,REGULAR,rebound,offensive,[],1628436,,,1610612738,28,24,2024-11-17T01:37:27Z,1390000,False,,,0,,L. Kornet REBOUND (Off:2 Def:1),[1628436],1610612738.0,BOS,,,,,,,,Kornet,L. Kornet,Above the Break 3,24+ Left Center,,,,,,,142.0,3.0,1.0,2.0,,,,,,,,,,
144,PT00M11.60S,2024-11-17T01:37:27.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,20.45006570302234,6.372549019607843,1610612738,28,24,2024-11-17T01:37:33Z,1400000,False,218.0,140.0,1,left,MISS P. Pritchard 25' 3PT,[1630202],1610612738.0,BOS,,,,,,,,Pritchard,P. Pritchard,Above the Break 3,24+ Right Center,25.9,Missed,,,,,,,,,,,,,,,,,,
145,PT00M09.80S,2024-11-17T01:37:29.6Z,1,REGULAR,rebound,defensive,[],1641711,,,1610612761,28,24,2024-11-17T01:38:04Z,1410000,False,,,0,,G. Dick REBOUND (Off:0 Def:1),[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,Above the Break 3,24+ Right Center,,,,,,,144.0,1.0,1.0,0.0,,,,,,,,,,
146,PT00M03.40S,2024-11-17T01:37:36.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628449,93.77463863337714,52.94117647058824,1610612761,28,26,2024-11-17T01:38:33Z,1420000,False,15.0,6.0,1,right,C. Boucher running Layup (4 PTS) (G. Dick 3 AST),"[1628449, 1641711]",1610612761.0,TOR,running,,,,,,,Boucher,C. Boucher,Restricted Area,0-8 Center,1.59,Made,4.0,,,,,,,,,,,,G. Dick,1641711.0,3.0,,,
148,PT00M00.50S,2024-11-17T01:37:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630202,53.30157687253614,68.13725490196079,1610612738,28,26,2024-11-17T01:38:52Z,1440000,False,-91.0,449.0,1,left,MISS P. Pritchard 45' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,,,,,Pritchard,P. Pritchard,Above the Break 3,24+ Center,45.76,Missed,,,,,,,,,,,,,,,,,,
149,PT00M00.10S,2024-11-17T01:37:42.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,28,26,2024-11-17T01:38:27Z,1450000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,148.0,,,,,,,,,,,,,
150,PT00M00.00S,2024-11-17T01:37:49.9Z,1,REGULAR,period,end,[],0,,,1610612738,28,26,2024-11-17T01:37:49Z,1460000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,28,26,2024-11-17T01:40:23Z,1470000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,out,['startperiod'],1641775,,,1610612738,28,26,2024-11-17T01:40:23Z,1480000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,out,['startperiod'],1628436,,,1610612738,28,26,2024-11-17T01:40:23Z,1490000,False,,,0,,SUB out: L. Kornet,[1628436],1610612738.0,BOS,,,,,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,out,['startperiod'],1630534,,,1610612738,28,26,2024-11-17T01:40:23Z,1500000,False,,,0,,SUB out: O. Agbaji,[1630534],1610612761.0,TOR,,,,,,,,Agbaji,O. Agbaji,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,in,['startperiod'],1629674,,,1610612738,28,26,2024-11-17T01:40:23Z,1510000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,28,26,2024-11-17T01:40:23Z,1520000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,in,['startperiod'],1628401,,,1610612738,28,26,2024-11-17T01:40:23Z,1530000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2024-11-17T01:39:38.4Z,2,REGULAR,substitution,in,['startperiod'],1642367,,,1610612738,28,26,2024-11-17T01:40:23Z,1540000,False,,,0,,SUB in: J. Mogbo,[1642367],1610612761.0,TOR,,,,,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2024-11-17T01:40:36.5Z,2,REGULAR,period,start,[],0,,,1610612738,28,26,2024-11-17T01:40:36Z,1550000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT11M46.00S,2024-11-17T01:40:50.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,7.046649145860711,53.92156862745098,1610612738,30,26,2024-11-17T01:40:56Z,1560000,False,-20.0,14.0,1,left,N. Queta alley-oop DUNK (4 PTS) (J. Brown 2 AST),"[1629674, 1627759]",1610612738.0,BOS,alley-oop,,,,,,,Queta,N. Queta,Restricted Area,0-8 Center,2.39,Made,4.0,,,,,,,,,,,,J. Brown,1627759.0,2.0,,,
162,PT11M33.00S,2024-11-17T01:41:02.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642347,91.01511169513797,55.63725490196079,1610612761,30,26,2024-11-17T01:41:07Z,1580000,False,28.0,32.0,1,right,MISS J. Shead driving Layup,[1642347],1610612761.0,TOR,driving,,,,,,,Shead,J. Shead,Restricted Area,0-8 Center,4.27,Missed,,,,,,,,,,,,,,,,,,
163,PT11M31.00S,2024-11-17T01:41:04.1Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,30,26,2024-11-17T01:41:07Z,1590000,False,,,0,,N. Queta REBOUND (Off:0 Def:3),[1629674],1610612738.0,BOS,,,,,,,,Queta,N. Queta,Restricted Area,0-8 Center,,,,,,,162.0,3.0,3.0,0.0,,,,,,,,,,
164,PT11M10.00S,2024-11-17T01:41:25.4Z,2,REGULAR,3pt,Jump Shot,[],1630573,35.00739159001314,18.405330882352942,1610612738,30,26,2024-11-17T01:41:32Z,1600000,False,158.0,277.0,1,left,MISS S. Hauser 31' 3PT,[1630573],1610612738.0,BOS,,,,,,,,Hauser,S. Hauser,Above the Break 3,24+ Right Center,31.85,Missed,,,,,,,,,,,,,,,,,,
165,PT11M06.00S,2024-11-17T01:41:29.4Z,2,REGULAR,rebound,defensive,[],1642347,,,1610612761,30,26,2024-11-17T01:41:32Z,1610000,False,,,0,,J. Shead REBOUND (Off:0 Def:1),[1642347],1610612761.0,TOR,,,,,,,,Shead,J. Shead,Above the Break 3,24+ Right Center,,,,,,,164.0,1.0,1.0,0.0,,,,,,,,,,
166,PT10M53.00S,2024-11-17T01:41:44.4Z,2,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612761,30,26,2024-11-17T01:41:54Z,1620000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Dick 2 FT),"[1627759, 1641711]",1610612738.0,BOS,shooting,,,,,,203593.0,Brown,J. Brown,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Dick,1641711.0,,,,,,
168,PT10M53.00S,2024-11-17T01:42:19.2Z,2,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,30,27,2024-11-17T01:42:19Z,1640000,False,,,0,,G. Dick Free Throw 1 of 2 (1 PTS),[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,,,,Made,1.0,,,,,,,,,,,,,,,,,
169,PT10M53.00S,2024-11-17T01:42:20.3Z,2,REGULAR,substitution,out,[],1628449,,,1610612761,30,27,2024-11-17T01:42:29Z,1650000,False,,,0,,SUB out: C. Boucher,[1628449],1610612761.0,TOR,,,,,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,
170,PT10M53.00S,2024-11-17T01:42:20.3Z,2,REGULAR,substitution,in,[],1642419,,,1610612761,30,27,2024-11-17T01:42:29Z,1660000,False,,,0,,SUB in: J. Battle,[1642419],1610612761.0,TOR,,,,,,,,Battle,J. Battle,,,,,,,,,,,,,,,,,,,,,,
171,PT10M53.00S,2024-11-17T01:42:40.2Z,2,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,30,28,2024-11-17T01:42:40Z,1670000,False,,,0,,G. Dick Free Throw 2 of 2 (2 PTS),[1641711],1610612761.0,TOR,,,,,,,,Dick,G. Dick,,,,Made,2.0,,,,,,,,,,,,,,,,,
172,PT10M36.00S,2024-11-17T01:42:58.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630573,18.74178712220762,62.5,1610612738,32,28,2024-11-17T01:43:03Z,1680000,False,-62.0,124.0,1,left,S. Hauser 13' pullup Jump Shot (2 PTS) (N. Queta 1 AST),"[1630573, 1629674]",1610612738.0,BOS,pullup,,,,,,,Hauser,S. Hauser,In The Paint (Non-RA),8-16 Center,13.86,Made,2.0,,,,,,,,,,,,N. Queta,1629674.0,1.0,,,
174,PT10M22.00S,2024-11-17T01:43:12.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642347,89.17542706964521,54.41176470588235,1610612761,32,28,2024-11-17T01:43:20Z,1700000,False,22.0,49.0,1,right,MISS J. Shead driving Layup - blocked,"[1642347, 1630573]",1610612761.0,TOR,driving,,,,,,,Shead,J. Shead,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,,,,,,Hauser,1630573.0,
