actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
48,PT08M48.00S,2025-02-13T00:18:25.4Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,7,6,2025-02-13T00:18:32Z,460000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,47.0,,,,,,,1.0,1.0,0.0,,,,,,,,
49,PT08M39.00S,2025-02-13T00:18:33.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,35.167542706964525,45.09803921568628,1610612738,7,6,2025-02-13T00:19:23Z,470000,False,25.0,278.0,1,left,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,27.92,Missed,,,,,,,,,,,,,,,,,,
50,PT08M37.00S,2025-02-13T00:18:35.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,7,6,2025-02-13T00:18:40Z,480000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:2),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,49.0,,,,,,,2.0,2.0,0.0,,,,,,,,
51,PT08M33.00S,2025-02-13T00:18:39.4Z,1,REGULAR,turnover,lost ball,[],1641705,,,1610612759,7,6,2025-02-13T00:18:42Z,490000,False,,,0,,V. Wembanyama lost ball TURNOVER (1 TO),"[1641705, 1628401]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,White,1628401.0
52,PT08M33.00S,2025-02-13T00:18:39.4Z,1,REGULAR,steal,,[],1628401,,,1610612738,7,6,2025-02-13T00:18:40Z,500000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT08M30.00S,2025-02-13T00:18:42.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,28.203022339027594,24.264705882352942,1610612738,10,6,2025-02-13T00:19:58Z,510000,False,129.0,213.0,1,left,J. Tatum 24' 3PT  (5 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.85,Made,,5.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,
55,PT08M29.00S,2025-02-13T00:18:48.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,6,2025-02-13T00:18:48Z,530000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M19.00S,2025-02-13T00:22:28.0Z,1,REGULAR,2pt,Jump Shot,[],1630170,75.1149802890933,62.745098039215684,1610612759,10,6,2025-02-13T00:22:35Z,540000,False,64.0,181.0,1,right,MISS D. Vassell 19' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,19.23,Missed,,,,,,,,,,,,,,,,,,
57,PT08M17.00S,2025-02-13T00:22:30.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,6,2025-02-13T00:22:35Z,550000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Right Center,,,56.0,,,,,,,2.0,2.0,0.0,,,,,,,,
58,PT08M06.00S,2025-02-13T00:22:40.8Z,1,REGULAR,2pt,Jump Shot,[],204001,11.383048620236531,72.54901960784314,1610612738,12,6,2025-02-13T00:22:45Z,560000,False,-113.0,55.0,1,left,K. Porziņģis 12' turnaround bank Jump Shot (4 PTS) (A. Horford 2 AST),"[204001, 201143]",1610612738.0,BOS,turnaround bank,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,8-16 Left,12.52,Made,,4.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,
60,PT07M52.00S,2025-02-13T00:22:54.1Z,1,REGULAR,2pt,Jump Shot,[],1628368,76.69185282522996,30.392156862745097,1610612759,12,8,2025-02-13T00:22:57Z,580000,False,-98.0,167.0,1,right,D. Fox 19' step back Jump Shot (2 PTS),[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,19.33,Made,,2.0,,,,,,,,,,,,,,,,
61,PT07M35.00S,2025-02-13T00:23:11.0Z,1,REGULAR,3pt,Jump Shot,[],201143,32.14520367936925,67.64705882352942,1610612738,12,8,2025-02-13T00:23:17Z,590000,False,-88.0,250.0,1,left,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
62,PT07M34.00S,2025-02-13T00:23:12.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,12,8,2025-02-13T00:23:17Z,600000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,,,61.0,,,,,,,1.0,1.0,0.0,,,,,,,,
63,PT07M26.00S,2025-02-13T00:23:20.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,78.53153745072274,32.35294117647059,1610612759,12,10,2025-02-13T00:23:40Z,610000,False,-88.0,149.0,1,right,D. Fox 17' step back Jump Shot (4 PTS),[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,17.34,Made,,4.0,,,,,,,,,,,,,,,,
64,PT07M11.00S,2025-02-13T00:23:35.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628369,6.783837056504599,50.0,1610612738,14,10,2025-02-13T00:23:38Z,620000,False,0.0,11.0,1,left,J. Tatum driving DUNK (7 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.13,Made,,7.0,D. White,1628401.0,2.0,,,,,,,,,,,,,
66,PT06M56.00S,2025-02-13T00:23:49.8Z,1,REGULAR,2pt,Jump Shot,[],1628368,76.34691195795007,25.513174019607842,1610612759,14,10,2025-02-13T00:23:56Z,640000,False,-122.0,170.0,1,right,MISS D. Fox 20' pullup Shot,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,20.93,Missed,,,,,,,,,,,,,,,,,,
67,PT06M55.00S,2025-02-13T00:23:50.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612738,14,10,2025-02-13T00:23:56Z,650000,False,,,0,,K. Porziņģis REBOUND (Off:1 Def:1),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Left Center,,,66.0,,,,,,,2.0,1.0,1.0,,,,,,,,
68,PT06M39.00S,2025-02-13T00:24:07.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,7.703679369250986,53.92156862745098,1610612738,16,10,2025-02-13T00:24:41Z,660000,False,-20.0,20.0,1,left,K. Porziņģis floating Jump Shot (6 PTS),[204001],1610612738.0,BOS,floating,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,2.79,Made,,6.0,,,,,,,,,,,,,,,,
69,PT06M30.00S,2025-02-13T00:24:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,91.27792378449409,54.65686274509803,1610612759,16,10,2025-02-13T00:25:01Z,670000,False,23.0,29.0,1,right,MISS H. Barnes driving reverse Layup - blocked,"[203084, 204001]",1610612759.0,SAS,driving reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,Porziņģis,204001.0,,,,,,,,,,,
70,PT06M30.00S,2025-02-13T00:24:16.4Z,1,REGULAR,block,,[],204001,,,1610612759,16,10,2025-02-13T00:24:18Z,680000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M29.00S,2025-02-13T00:24:17.4Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612759,16,10,2025-02-13T00:24:23Z,690000,False,,,0,,D. Fox REBOUND (Off:1 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,69.0,,,,,,,2.0,1.0,1.0,,,,,,,,
72,PT06M28.00S,2025-02-13T00:24:20.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628368,94.03745072273325,54.41176470588235,1610612759,16,12,2025-02-13T00:24:27Z,700000,False,22.0,4.0,1,right,D. Fox putback Layup (6 PTS),[1628368],1610612759.0,SAS,putback,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.24,Made,,6.0,,,,,,,,,,,,,,,,
74,PT06M23.00S,2025-02-13T00:24:27.7Z,1,REGULAR,substitution,out,[],201143,,,1610612738,16,12,2025-02-13T00:24:39Z,720000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M23.00S,2025-02-13T00:24:27.7Z,1,REGULAR,substitution,out,[],1630573,,,1610612738,16,12,2025-02-13T00:24:39Z,730000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M23.00S,2025-02-13T00:24:27.7Z,1,REGULAR,substitution,out,[],1630170,,,1610612738,16,12,2025-02-13T00:24:39Z,740000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2025-02-13T00:24:27.7Z,1,REGULAR,substitution,out,[],1641705,,,1610612738,16,12,2025-02-13T00:24:39Z,750000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
