actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
93,PT06M21.00S,2024-10-28T23:54:29.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,9.280551905387648,40.68627450980392,1610612749,12,15,2024-10-28T23:54:36Z,920000,False,47.0,35.0,1,left,G. Antetokounmpo running Layup (5 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,5.81,Made,,,,,,,5.0,,,,,,,,,,,
95,PT06M04.00S,2024-10-28T23:54:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.1688567674113,48.77450980392157,1610612738,14,15,2024-10-28T23:54:52Z,940000,False,-6.0,2.0,1,right,J. Tatum driving Layup (2 PTS) (D. White 2 AST),"[1628369, 1628401]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.65,Made,,,,,,,2.0,,,,,,,,,D. White,1628401.0,2.0
97,PT05M49.00S,2024-10-28T23:55:03.9Z,1,REGULAR,turnover,traveling,[],203507,,,1610612749,14,15,2024-10-28T23:55:10Z,960000,False,,,0,,G. Antetokounmpo traveling TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,,,202056.0,,,,,,,
98,PT05M49.00S,2024-10-28T23:55:07.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,14,15,2024-10-28T23:55:28Z,970000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT05M49.00S,2024-10-28T23:55:07.4Z,1,REGULAR,substitution,out,[],203081,,,1610612738,14,15,2024-10-28T23:55:28Z,980000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M49.00S,2024-10-28T23:55:07.4Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,14,15,2024-10-28T23:55:28Z,990000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M49.00S,2024-10-28T23:55:07.4Z,1,REGULAR,substitution,in,[],1626153,,,1610612738,14,15,2024-10-28T23:55:28Z,1000000,False,,,0,,SUB in: D. Wright,[1626153],1610612749.0,MIL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT05M36.00S,2024-10-28T23:55:48.6Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,14,15,2024-10-28T23:56:01Z,1020000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M36.00S,2024-10-28T23:55:48.6Z,1,REGULAR,substitution,in,[],1641775,,,1610612738,14,15,2024-10-28T23:56:01Z,1030000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PT05M30.00S,2024-10-28T23:56:08.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,77.4802890932983,89.70588235294117,1610612738,14,15,2024-10-28T23:58:17Z,1040000,False,199.0,159.0,1,right,MISS P. Pritchard 25' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
106,PT05M25.00S,2024-10-28T23:56:13.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,14,15,2024-10-28T23:56:14Z,1050000,False,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,105.0,2.0,1.0,1.0,,,,,,,,,,,,,,
107,PT05M16.00S,2024-10-28T23:56:22.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201572,7.30946123521682,52.450980392156865,1610612749,14,17,2024-10-28T23:56:28Z,1060000,False,-12.0,16.0,1,left,B. Lopez turnaround Hook (2 PTS) (G. Antetokounmpo 2 AST),"[201572, 203507]",1610612749.0,MIL,turnaround,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,,,2.0,,,,,,,,,G. Antetokounmpo,203507.0,2.0
109,PT04M56.00S,2024-10-28T23:56:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.9862023653088,51.470588235294116,1610612738,16,17,2024-10-28T23:56:45Z,1080000,False,7.0,13.0,1,right,J. Tatum driving Layup (4 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.53,Made,,,,,,,4.0,,,,,,,,,,,
110,PT04M50.00S,2024-10-28T23:56:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.046649145860711,43.38235294117647,1610612749,16,19,2024-10-28T23:56:58Z,1090000,False,33.0,14.0,1,left,G. Antetokounmpo driving Layup (7 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.58,Made,,,,,,,7.0,,,,,,,,,,,
111,PT04M50.00S,2024-10-28T23:56:53.4Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612749,16,19,2024-10-28T23:57:01Z,1100000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[201143, 203507]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1146.0,1.0,0.0,Antetokounmpo,203507.0,,,
113,PT04M50.00S,2024-10-28T23:57:23.3Z,1,REGULAR,freethrow,1 of 1,[],203507,,,1610612749,16,19,2024-10-28T23:57:28Z,1120000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 1,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
114,PT04M48.00S,2024-10-28T23:57:25.3Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,16,19,2024-10-28T23:57:53Z,1130000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,113.0,1.0,1.0,0.0,,,,,,,,,,,,,,
115,PT04M42.00S,2024-10-28T23:57:29.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,86.5473061760841,96.81372549019608,1610612738,19,19,2024-10-28T23:59:31Z,1140000,False,234.0,74.0,1,right,P. Pritchard 24' 3PT running (3 PTS) (J. Holiday 1 AST),"[1630202, 201950]",1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,Right Corner 3,24+ Right,24.55,Made,,,,,,,3.0,,,,,,,,,J. Holiday,201950.0,1.0
117,PT04M15.00S,2024-10-28T23:57:56.6Z,1,REGULAR,3pt,Jump Shot,[],1627752,22.815374507227332,12.745098039215685,1610612749,19,19,2024-10-28T23:58:05Z,1160000,False,186.0,162.0,1,left,MISS T. Prince 24' 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,24.69,Missed,,,,,,,,,,,,,,,,,,
118,PT04M15.00S,2024-10-28T23:57:56.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,19,19,2024-10-28T23:58:05Z,1170000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Right Center,,,117.0,,,,,,,,,,,,,,,,,
119,PT04M15.00S,2024-10-28T23:58:05.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,19,19,2024-10-28T23:58:15Z,1180000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1155.0,,,,,,,
120,PT04M15.00S,2024-10-28T23:58:09.2Z,1,REGULAR,substitution,out,[],201572,,,1610612738,19,19,2024-10-28T23:58:22Z,1190000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT04M15.00S,2024-10-28T23:58:09.2Z,1,REGULAR,substitution,in,[],1626171,,,1610612738,19,19,2024-10-28T23:58:22Z,1200000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT03M55.00S,2024-10-28T23:58:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,91.80354796320631,41.66666666666667,1610612738,19,19,2024-10-28T23:58:54Z,1210000,False,-42.0,25.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,,
123,PT03M52.00S,2024-10-28T23:58:50.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,19,19,2024-10-28T23:58:54Z,1220000,False,,,0,,T. Prince REBOUND (Off:0 Def:3),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,122.0,3.0,3.0,0.0,,,,,,,,,,,,,,
124,PT03M47.00S,2024-10-28T23:58:55.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,26.62614980289093,16.42156862745098,1610612749,19,19,2024-10-29T00:00:28Z,1230000,False,168.0,198.0,1,left,MISS G. Trent Jr. 25' running 3PT,[1629018],1610612749.0,MIL,running,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,25.95,Missed,,,,,,,,,,,,,,,,,,
125,PT03M43.00S,2024-10-28T23:58:59.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,19,19,2024-10-28T23:59:01Z,1240000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,124.0,1.0,1.0,0.0,,,,,,,,,,,,,,
126,PT03M31.00S,2024-10-28T23:59:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,93.77463863337714,48.03921568627451,1610612738,21,19,2024-10-28T23:59:16Z,1250000,False,-10.0,6.0,1,right,P. Pritchard driving Layup (5 PTS),[1630202],1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,,,5.0,,,,,,,,,,,
127,PT03M19.00S,2024-10-28T23:59:23.3Z,1,REGULAR,2pt,Jump Shot,[],203507,12.565703022339028,73.2843137254902,1610612749,21,21,2024-10-28T23:59:30Z,1260000,False,-116.0,66.0,1,left,G. Antetokounmpo 13' turnaround fadeaway Jump Shot (9 PTS),[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,13.36,Made,,,,,,,9.0,,,,,,,,,,,
128,PT03M09.00S,2024-10-28T23:59:33.1Z,1,REGULAR,3pt,Jump Shot,[],1641775,91.01511169513797,4.901960784313726,1610612738,21,21,2024-10-28T23:59:38Z,1270000,False,-225.0,32.0,1,right,MISS J. Walsh 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,22.78,Missed,,,,,,,,,,,,,,,,,,
129,PT03M06.00S,2024-10-28T23:59:36.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,21,21,2024-10-28T23:59:38Z,1280000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,128.0,2.0,2.0,0.0,,,,,,,,,,,,,,
130,PT02M50.00S,2024-10-28T23:59:57.7Z,1,REGULAR,turnover,out-of-bounds,[],1627752,,,1610612749,21,21,2024-10-29T00:00:07Z,1290000,False,,,0,,T. Prince step out-of-bounds TURNOVER (1 TO),[1627752],1610612749.0,MIL,step,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,,,1146.0,,,,,,,
131,PT02M50.00S,2024-10-29T00:00:02.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,21,21,2024-10-29T00:00:02Z,1300000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,out,[],201950,,,1610612738,21,21,2024-10-29T00:02:37Z,1310000,False,,,0,,SUB out: J. Holiday,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,out,[],201143,,,1610612738,21,21,2024-10-29T00:02:37Z,1320000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,out,[],1629018,,,1610612738,21,21,2024-10-29T00:02:37Z,1330000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,21,21,2024-10-29T00:02:37Z,1340000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,in,[],1630214,,,1610612738,21,21,2024-10-29T00:02:37Z,1350000,False,,,0,,SUB in: X. Tillman,[1630214],1610612738.0,BOS,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M50.00S,2024-10-29T00:02:18.2Z,1,REGULAR,substitution,in,[],1626192,,,1610612738,21,21,2024-10-29T00:02:37Z,1360000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M34.00S,2024-10-29T00:03:05.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641775,84.70762155059133,95.58823529411765,1610612738,21,21,2024-10-29T00:03:09Z,1370000,False,228.0,91.0,1,right,MISS J. Walsh 24' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right,24.55,Missed,,,,,,,,,,,,,,,,,,
139,PT02M30.00S,2024-10-29T00:03:09.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,21,21,2024-10-29T00:03:09Z,1380000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Right,,,138.0,1.0,1.0,0.0,,,,,,,,,,,,,,
140,PT02M23.00S,2024-10-29T00:03:16.5Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,21,21,2024-10-29T00:03:21Z,1390000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (2 TO),"[203507, 1628369]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Right,,,,,,,,,,2.0,Tatum,1628369.0,,,,,,,,
141,PT02M23.00S,2024-10-29T00:03:16.5Z,1,REGULAR,steal,,[],1628369,,,1610612738,21,21,2024-10-29T00:13:20Z,1400000,False,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
142,PT02M17.00S,2024-10-29T00:03:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,92.72339027595268,52.20588235294118,1610612738,23,21,2024-10-29T00:03:32Z,1410000,False,11.0,16.0,1,right,J. Tatum running Layup (6 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,1.93,Made,,,,,,,6.0,,,,,,,,,,,
143,PT02M05.00S,2024-10-29T00:03:33.2Z,1,REGULAR,turnover,lost ball,[],1626153,,,1610612749,23,21,2024-10-29T00:03:36Z,1420000,False,,,0,,D. Wright lost ball TURNOVER (1 TO),"[1626153, 1630202]",1610612749.0,MIL,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1.0,Pritchard,1630202.0,,,,,,,,
144,PT02M05.00S,2024-10-29T00:03:33.2Z,1,REGULAR,steal,,[],1630202,,,1610612738,23,21,2024-10-29T00:03:34Z,1430000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
145,PT02M00.00S,2024-10-29T00:03:41.2Z,1,REGULAR,foul,personal,[],1627752,,,1610612738,23,21,2024-10-29T00:03:55Z,1440000,False,,,0,,T. Prince personal FOUL (2 PF),"[1627752, 1628369]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,202056.0,2.0,0.0,Tatum,1628369.0,,,
147,PT01M53.00S,2024-10-29T00:04:14.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630202,70.77858081471747,22.058823529411764,1610612738,26,21,2024-10-29T00:05:00Z,1460000,False,-140.0,222.0,1,right,P. Pritchard 26' 3PT step back (8 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,26.25,Made,,,,,,,8.0,,,,,,,,,,,
149,PT01M35.00S,2024-10-29T00:04:31.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,27.414586070959263,77.20588235294117,1610612749,26,24,2024-10-29T00:04:38Z,1480000,False,-136.0,205.0,1,left,P. Connaughton 24' 3PT pullup (3 PTS) (G. Antetokounmpo 3 AST),"[1626192, 203507]",1610612749.0,MIL,pullup,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Left Center,24.62,Made,,,,,,,3.0,,,,,,,,,G. Antetokounmpo,203507.0,3.0
151,PT01M16.00S,2024-10-29T00:04:50.2Z,1,REGULAR,2pt,Jump Shot,[],1628369,76.5604467805519,42.40196078431372,1610612738,28,24,2024-10-29T00:05:31Z,1500000,False,-38.0,168.0,1,right,J. Tatum 17' Jump Shot (8 PTS) (P. Pritchard 1 AST),"[1628369, 1630202]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,17.2,Made,,,,,,,8.0,,,,,,,,,P. Pritchard,1630202.0,1.0
153,PT01M06.00S,2024-10-29T00:05:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.915243101182654,46.81372549019608,1610612749,28,26,2024-10-29T00:05:05Z,1520000,False,16.0,13.0,1,left,G. Antetokounmpo driving Layup (11 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.02,Made,,,,,,,11.0,,,,,,,,,,,
154,PT00M50.30S,2024-10-29T00:05:17.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,67.88764783180025,78.18627450980392,1610612738,28,26,2024-10-29T00:06:02Z,1530000,False,141.0,249.0,1,right,MISS J. Tatum 28' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,28.64,Missed,,,,,,,,,,,,,,,,,,
155,PT00M47.30S,2024-10-29T00:05:20.7Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,28,26,2024-10-29T00:05:20Z,1540000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,154.0,2.0,1.0,1.0,,,,,,,,,,,,,,
156,PT00M41.40S,2024-10-29T00:05:29.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612738,28,26,2024-10-29T00:05:58Z,1550000,False,,,0,,BOS shot clock Team TURNOVER,[],1610612738.0,BOS,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,202056.0,,,,,,,
157,PT00M41.40S,2024-10-29T00:05:34.9Z,1,REGULAR,substitution,out,[],1627752,,,1610612749,28,26,2024-10-29T00:05:41Z,1560000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT00M41.40S,2024-10-29T00:05:34.9Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,28,26,2024-10-29T00:05:41Z,1570000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT00M30.70S,2024-10-29T00:05:56.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626171,13.748357424441524,44.36274509803921,1610612749,28,26,2024-10-29T00:06:49Z,1580000,False,28.0,77.0,1,left,MISS B. Portis 8' turnaround Hook,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,8.17,Missed,,,,,,,,,,,,,,,,,,
160,PT00M28.70S,2024-10-29T00:05:58.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,28,26,2024-10-29T00:06:03Z,1590000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,159.0,3.0,3.0,0.0,,,,,,,,,,,,,,
161,PT00M09.10S,2024-10-29T00:06:18.4Z,1,REGULAR,3pt,Jump Shot,[],1628401,68.80749014454665,74.50980392156863,1610612738,28,26,2024-10-29T00:06:23Z,1600000,False,123.0,241.0,1,right,MISS D. White 27' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,27.01,Missed,,,,,,,,,,,,,,,,,,
162,PT00M06.20S,2024-10-29T00:06:21.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,28,26,2024-10-29T00:06:23Z,1610000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,161.0,3.0,3.0,0.0,,,,,,,,,,,,,,
164,PT00M00.40S,2024-10-29T00:06:34.4Z,1,REGULAR,substitution,out,[],1641775,,,1610612749,28,26,2024-10-29T00:06:39Z,1630000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT00M00.40S,2024-10-29T00:06:34.4Z,1,REGULAR,substitution,in,[],1628436,,,1610612749,28,26,2024-10-29T00:06:39Z,1640000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT00M00.00S,2024-10-29T00:06:51.9Z,1,REGULAR,3pt,Jump Shot,[],1629018,23.078186596583443,13.480392156862745,1610612749,28,29,2024-10-29T00:07:01Z,1650000,False,183.0,164.0,1,left,G. Trent Jr. 24' 3PT  (3 PTS) (D. Wright 1 AST),"[1629018, 1626153]",1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,24.57,Made,,,,,,,3.0,,,,,,,,,D. Wright,1626153.0,1.0
169,PT00M00.00S,2024-10-29T00:07:09.5Z,1,REGULAR,period,end,[],0,,,1610612738,28,29,2024-10-29T00:07:09Z,1680000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,out,['startperiod'],1628369,,,1610612738,28,29,2024-10-29T00:09:23Z,1690000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,out,['startperiod'],203507,,,1610612738,28,29,2024-10-29T00:09:23Z,1710000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,in,['startperiod'],1627759,,,1610612738,28,29,2024-10-29T00:09:23Z,1720000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,in,['startperiod'],203081,,,1610612738,28,29,2024-10-29T00:09:23Z,1730000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,in,['startperiod'],201572,,,1610612738,28,29,2024-10-29T00:09:23Z,1740000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2024-10-29T00:09:03.9Z,2,REGULAR,substitution,out,['startperiod'],1626153,,,1610612738,28,29,2024-10-29T00:10:57Z,1745000,False,,,0,,SUB out: D. Wright,[1626153],1610612749.0,MIL,,,,Wright,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2024-10-29T00:09:31.3Z,2,REGULAR,period,start,[],0,,,1610612738,28,29,2024-10-29T00:09:31Z,1750000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M52.00S,2024-10-29T00:09:39.0Z,2,REGULAR,2pt,Jump Shot,[],1627759,78.0059132720105,41.66666666666667,1610612738,30,29,2024-10-29T00:09:48Z,1760000,False,-42.0,154.0,1,right,J. Brown 15' driving floating Jump Shot (4 PTS),[1627759],1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Mid-Range,8-16 Center,15.97,Made,,,,,,,4.0,,,,,,,,,,,
