actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
362,PT10M48.00S,2026-02-12T03:23:49.9Z,3,REGULAR,3pt,Jump Shot,[],1642269,66.96780551905388,51.470588235294116,1610612758,77,49,2026-02-12T03:24:37Z,3560000,False,7.0,258.0,1,right,MISS D. Carter 25' pullup 3PT,[1642269],1610612758.0,SAC,pullup,,,Carter,D. Carter,,,,,Above the Break 3,24+ Center,,,,25.81,Missed,,,,,,,,,,,,,,,
363,PT10M45.00S,2026-02-12T03:23:52.9Z,3,REGULAR,rebound,defensive,[],1628991,,,1610612762,77,49,2026-02-12T03:23:55Z,3570000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612762.0,UTA,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,362.0,2.0,2.0,0.0,,,,,,,,,,,
364,PT10M37.00S,2026-02-12T03:24:01.1Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,13.222733245729303,60.049019607843135,1610612762,77,49,2026-02-12T03:24:54Z,3580000,False,-50.0,72.0,1,left,MISS J. Jackson Jr. 8' driving floating Shot,[1628991],1610612762.0,UTA,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,8.76,Missed,,,,,,,,,,,,,,,
365,PT10M35.00S,2026-02-12T03:24:03.1Z,3,REGULAR,rebound,defensive,[],1642928,,,1610612758,77,49,2026-02-12T03:24:06Z,3590000,False,,,0,,D. Cardwell REBOUND (Off:0 Def:3),[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,In The Paint (Non-RA),8-16 Left,,,,,,364.0,3.0,3.0,0.0,,,,,,,,,,,
366,PT10M27.00S,2026-02-12T03:24:12.4Z,3,REGULAR,2pt,Hook,['pointsinthepaint'],1642928,86.67871222076215,52.20588235294118,1610612758,77,49,2026-02-12T03:25:35Z,3600000,False,11.0,73.0,1,right,MISS D. Cardwell 7' driving Hook,[1642928],1610612758.0,SAC,driving,,,Cardwell,D. Cardwell,,,,,In The Paint (Non-RA),0-8 Center,,,,7.35,Missed,,,,,,,,,,,,,,,
367,PT10M26.00S,2026-02-12T03:24:13.4Z,3,REGULAR,rebound,defensive,[],203994,,,1610612762,77,49,2026-02-12T03:25:35Z,3610000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:7),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,366.0,7.0,7.0,0.0,,,,,,,,,,,
368,PT10M20.00S,2026-02-12T03:24:18.3Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628374,10.33180026281209,63.23529411764706,1610612762,79,49,2026-02-12T03:24:25Z,3620000,False,-66.0,45.0,1,left,L. Markkanen 7' running Layup (15 PTS) (I. Collier 10 AST),"[1628374, 1642268]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,7.98,Made,,,,,,,15.0,I. Collier,1642268.0,10.0,,,,,
370,PT10M01.00S,2026-02-12T03:24:39.7Z,3,REGULAR,foul,personal,['2freethrow'],1642846,,,1610612758,79,49,2026-02-12T03:24:45Z,3640000,False,,,0,,A. Bailey shooting personal FOUL (2 PF) (Cardwell 2 FT),"[1642846, 1642928]",1610612762.0,UTA,shooting,,,Bailey,A. Bailey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2534.0,2.0,0.0,Cardwell,1642928.0
372,PT10M01.00S,2026-02-12T03:25:04.3Z,3,REGULAR,freethrow,1 of 2,[],1642928,,,1610612758,79,49,2026-02-12T03:25:04Z,3660000,False,,,0,,MISS D. Cardwell Free Throw 1 of 2,[1642928],1610612758.0,SAC,,,,Cardwell,D. Cardwell,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
373,PT10M01.00S,2026-02-12T03:25:04.3Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,79,49,2026-02-12T03:25:04Z,3670000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,372.0,,,,,,,,,,,,,,
