actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
91,PT05M43.00S,2026-01-11T02:54:04.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641706,87.46714848883047,57.35294117647059,1610612766,8,25,2026-01-11T02:54:10Z,910000,False,37.0,65.0,1,right,MISS B. Miller 7' driving floating Shot,[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,,In The Paint (Non-RA),0-8 Center,7.5,Missed,,,,,,,,,,,,,,,,,
92,PT05M39.00S,2026-01-11T02:54:08.3Z,1,REGULAR,rebound,offensive,[],1641750,,,1610612766,8,25,2026-01-11T02:54:10Z,920000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:0),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,91.0,1.0,0.0,1.0,,,,,,,,,
93,PT05M39.00S,2026-01-11T02:54:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641750,94.40999984741211,50.0,1610612766,8,27,2026-01-11T02:54:07Z,930000,False,0.0,0.0,1,right,R. Kalkbrenner tip Layup (2 PTS),[1641750],1610612766.0,CHA,tip,,,Kalkbrenner,R. Kalkbrenner,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,
94,PT05M26.00S,2026-01-11T02:54:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642268,18.347568988173457,45.34313725490196,1610612762,8,27,2026-01-11T02:54:25Z,940000,False,23.0,120.0,1,left,MISS I. Collier 12' pullup Shot,[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,,In The Paint (Non-RA),8-16 Center,12.22,Missed,,,,,,,,,,,,,,,,,
95,PT05M24.00S,2026-01-11T02:54:22.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,27,2026-01-11T02:54:25Z,950000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,94.0,1.0,1.0,0.0,,,,,,,,,
96,PT05M16.00S,2026-01-11T02:54:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612766,8,27,2026-01-11T02:54:54Z,960000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Ball 2 FT),"[1642268, 1630163]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,1627534.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Ball,1630163.0,,
98,PT05M16.00S,2026-01-11T02:55:02.0Z,1,REGULAR,freethrow,1 of 2,[],1630163,,,1610612766,8,28,2026-01-11T02:55:02Z,980000,False,,,0,,L. Ball Free Throw 1 of 2 (10 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,
99,PT05M16.00S,2026-01-11T02:55:03.7Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,8,28,2026-01-11T02:55:10Z,990000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PT05M16.00S,2026-01-11T02:55:03.7Z,1,REGULAR,substitution,in,[],1629684,,,1610612766,8,28,2026-01-11T02:55:10Z,1000000,False,,,0,,SUB in: G. Williams,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT05M16.00S,2026-01-11T02:55:24.4Z,1,REGULAR,freethrow,2 of 2,[],1630163,,,1610612766,8,29,2026-01-11T02:55:24Z,1010000,False,,,0,,L. Ball Free Throw 2 of 2 (11 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,
102,PT05M03.00S,2026-01-11T02:55:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,12.171484888304862,59.31372549019608,1610612762,8,29,2026-01-11T02:55:45Z,1020000,False,-47.0,62.0,1,left,MISS K. Filipowski 7' pullup Shot,[1642271],1610612762.0,UTA,pullup,,,Filipowski,K. Filipowski,,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,
103,PT05M00.00S,2026-01-11T02:55:44.1Z,1,REGULAR,rebound,offensive,[],203937,,,1610612762,8,29,2026-01-11T02:55:44Z,1030000,False,,,0,,K. Anderson REBOUND (Off:1 Def:0),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,102.0,1.0,0.0,1.0,,,,,,,,,
104,PT05M00.00S,2026-01-11T02:55:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203937,12.565703022339028,47.05882352941176,1610612762,8,29,2026-01-11T02:56:27Z,1040000,False,15.0,66.0,1,left,MISS K. Anderson 6' putback Layup - blocked,"[203937, 1641750]",1610612762.0,UTA,putback,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,Kalkbrenner,1641750.0,,,,,,,
105,PT05M00.00S,2026-01-11T02:55:44.8Z,1,REGULAR,block,,[],1641750,,,1610612762,8,29,2026-01-11T02:55:46Z,1050000,False,,,0,,R. Kalkbrenner BLOCK (1 BLK),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
106,PT05M00.00S,2026-01-11T02:55:44.8Z,1,REGULAR,rebound,defensive,[],1642883,,,1610612766,8,29,2026-01-11T02:55:48Z,1060000,False,,,0,,S. James REBOUND (Off:0 Def:3),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,104.0,3.0,3.0,0.0,,,,,,,,,
107,PT04M56.00S,2026-01-11T02:55:49.5Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612766,8,29,2026-01-11T02:56:05Z,1070000,False,,,0,,I. Collier shooting personal FOUL (2 PF) (Miller 2 FT),"[1642268, 1641706]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,202026.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2.0,0.0,Miller,1641706.0,,
109,PT04M56.00S,2026-01-11T02:56:12.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641706,,,1610612766,8,30,2026-01-11T02:56:12Z,1090000,False,,,0,,B. Miller Free Throw 1 of 2 (6 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,
110,PT04M56.00S,2026-01-11T02:56:12.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641706,,,1610612766,8,31,2026-01-11T02:56:56Z,1100000,False,,,0,,B. Miller Free Throw 2 of 2 (7 PTS),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,
111,PT04M47.00S,2026-01-11T02:56:38.5Z,1,REGULAR,3pt,Jump Shot,[],1642271,9.937582128777924,3.431372549019608,1610612762,8,31,2026-01-11T02:56:42Z,1110000,False,233.0,41.0,1,left,MISS K. Filipowski 3PT,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,Right Corner 3,24+ Right,23.64,Missed,,,,,,,,,,,,,,,,,
112,PT04M44.00S,2026-01-11T02:56:41.5Z,1,REGULAR,rebound,defensive,[],1642883,,,1610612766,8,31,2026-01-11T03:01:03Z,1120000,False,,,0,,S. James REBOUND (Off:0 Def:4),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,Right Corner 3,24+ Right,,,,,,,111.0,4.0,4.0,0.0,,,,,,,,,
113,PT04M29.00S,2026-01-11T02:56:56.9Z,1,REGULAR,3pt,Jump Shot,[],1641706,69.72733245729303,73.0392156862745,1610612766,8,31,2026-01-11T02:57:01Z,1130000,False,115.0,232.0,1,right,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,
114,PT04M27.00S,2026-01-11T02:56:58.9Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612766,8,31,2026-01-11T02:57:01Z,1140000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Right Center,,,,,,,113.0,1.0,0.0,1.0,,,,,,,,,
115,PT04M18.00S,2026-01-11T02:57:08.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641706,88.12417871222075,37.99019607843137,1610612766,8,33,2026-01-11T02:59:01Z,1150000,False,-60.0,59.0,1,right,B. Miller 8' driving floating Jump Shot (9 PTS),[1641706],1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,,In The Paint (Non-RA),8-16 Left,8.42,Made,9.0,,,,,,,,,,,,,,,,
116,PT04M03.00S,2026-01-11T02:57:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642262,9.280551905387648,37.5,1610612762,8,33,2026-01-11T02:57:26Z,1160000,False,62.0,35.0,1,left,MISS C. Williams 7' driving Layup,[1642262],1610612762.0,UTA,driving,,,Williams,C. Williams,,,,,,In The Paint (Non-RA),0-8 Center,7.15,Missed,,,,,,,,,,,,,,,,,
117,PT04M01.00S,2026-01-11T02:57:25.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,33,2026-01-11T02:57:26Z,1170000,False,,,0,,L. Ball REBOUND (Off:0 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,116.0,3.0,3.0,0.0,,,,,,,,,
118,PT03M55.00S,2026-01-11T02:57:31.2Z,1,REGULAR,3pt,Jump Shot,[],1629684,89.96386333771353,94.85294117647058,1610612766,8,33,2026-01-11T02:57:35Z,1180000,False,224.0,42.0,1,right,MISS G. Williams 3PT,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Right Corner 3,24+ Right,22.82,Missed,,,,,,,,,,,,,,,,,
119,PT03M53.00S,2026-01-11T02:57:34.1Z,1,REGULAR,rebound,offensive,[],1642883,,,1610612766,8,33,2026-01-11T02:57:34Z,1190000,False,,,0,,S. James REBOUND (Off:1 Def:4),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,Right Corner 3,24+ Right,,,,,,,118.0,5.0,4.0,1.0,,,,,,,,,
120,PT03M49.00S,2026-01-11T02:57:37.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,91.27792378449409,94.36274509803921,1610612766,8,36,2026-01-11T02:57:41Z,1200000,False,222.0,29.0,1,right,G. Williams 3PT  (3 PTS) (L. Ball 2 AST),"[1629684, 1630163]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Right Corner 3,24+ Right,22.38,Made,3.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,
122,PT03M25.00S,2026-01-11T02:58:00.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,31.882391590013142,33.33333333333333,1610612762,8,36,2026-01-11T02:58:06Z,1220000,False,83.0,247.0,1,left,MISS K. George 26' pullup 3PT,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,,Above the Break 3,24+ Right Center,26.09,Missed,,,,,,,,,,,,,,,,,
123,PT03M22.00S,2026-01-11T02:58:03.7Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,8,36,2026-01-11T02:58:06Z,1230000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:1),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,Above the Break 3,24+ Right Center,,,,,,,122.0,2.0,1.0,1.0,,,,,,,,,
124,PT03M14.00S,2026-01-11T02:58:11.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,67.36202365308804,12.5,1610612766,8,36,2026-01-11T03:01:43Z,1240000,False,-188.0,254.0,1,right,MISS L. Ball 31' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,,Above the Break 3,24+ Left Center,31.6,Missed,,,,,,,,,,,,,,,,,
125,PT03M11.00S,2026-01-11T02:58:14.7Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612766,8,36,2026-01-11T02:58:14Z,1250000,False,,,0,,G. Williams REBOUND (Off:2 Def:0),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Above the Break 3,24+ Left Center,,,,,,,124.0,2.0,0.0,2.0,,,,,,,,,
126,PT03M08.00S,2026-01-11T02:58:18.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629684,91.01511169513797,3.431372549019608,1610612766,8,39,2026-01-11T02:58:21Z,1260000,False,-233.0,32.0,1,right,G. Williams 3PT  (6 PTS) (B. Miller 4 AST),"[1629684, 1641706]",1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Left Corner 3,24+ Left,23.5,Made,6.0,B. Miller,1641706.0,4.0,,,,,,,,,,,,,
128,PT02M47.00S,2026-01-11T02:58:39.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203937,11.777266754270697,37.00980392156863,1610612762,8,39,2026-01-11T03:02:49Z,1280000,False,65.0,58.0,1,left,MISS K. Anderson 8' driving bank Hook,[203937],1610612762.0,UTA,driving bank,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),8-16 Right,8.72,Missed,,,,,,,,,,,,,,,,,
129,PT02M45.00S,2026-01-11T02:58:41.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,39,2026-01-11T02:58:43Z,1290000,False,,,0,,L. Ball REBOUND (Off:0 Def:4),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,128.0,4.0,4.0,0.0,,,,,,,,,
130,PT02M41.00S,2026-01-11T02:58:47.4Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,8,39,2026-01-11T02:58:53Z,1300000,False,,,0,,L. Ball lost ball out-of-bounds TURNOVER (3 TO),[1630163],1610612766.0,CHA,lost ball,,,Ball,L. Ball,,,,,1627526.0,Above the Break 3,24+ Left Center,,,,,,,,,,,,,3.0,,,,,,
131,PT02M41.00S,2026-01-11T02:58:53.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,8,39,2026-01-11T02:58:53Z,1310000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612762,8,39,2026-01-11T03:01:29Z,1320000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,out,[],1641706,,,1610612762,8,39,2026-01-11T03:01:29Z,1330000,False,,,0,,SUB out: B. Miller,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
134,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,8,39,2026-01-11T03:01:29Z,1340000,False,,,0,,SUB in: C. Sexton,[1629012],1610612766.0,CHA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,in,[],1642851,,,1610612762,8,39,2026-01-11T03:01:29Z,1350000,False,,,0,,SUB in: K. Knueppel,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,out,[],1642262,,,1610612762,8,39,2026-01-11T03:01:38Z,1360000,False,,,0,,SUB out: C. Williams,[1642262],1610612762.0,UTA,,,,Williams,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
137,PT02M41.00S,2026-01-11T03:01:14.7Z,1,REGULAR,substitution,in,[],1641729,,,1610612762,8,39,2026-01-11T03:01:38Z,1370000,False,,,0,,SUB in: B. Sensabaugh,[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,,
138,PT02M33.00S,2026-01-11T03:01:58.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641718,10.5946123521682,63.23529411764706,1610612762,8,39,2026-01-11T03:03:26Z,1380000,False,-66.0,47.0,1,left,MISS K. George 8' driving floating Shot - blocked,"[1641718, 1642883]",1610612762.0,UTA,driving floating,,,George,K. George,,,,,,In The Paint (Non-RA),8-16 Left,8.12,Missed,,,,,,,,,James,1642883.0,,,,,,,
139,PT02M33.00S,2026-01-11T03:01:58.5Z,1,REGULAR,block,,[],1642883,,,1610612762,8,39,2026-01-11T03:02:01Z,1390000,False,,,0,,S. James BLOCK (1 BLK),[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,
140,PT02M33.00S,2026-01-11T03:01:58.5Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,8,39,2026-01-11T03:05:31Z,1400000,False,,,0,,K. George REBOUND (Off:1 Def:0),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,138.0,1.0,0.0,1.0,,,,,,,,,
166,PT02M33.00S,2026-01-11T03:02:00.9Z,1,REGULAR,turnover,out-of-bounds,[],1641718,,,1610612762,8,39,2026-01-11T03:05:27Z,1405000,False,,,0,,K. George step out-of-bounds TURNOVER (2 TO),[1641718],1610612762.0,UTA,step,,,George,K. George,,,,,202026.0,Mid-Range,8-16 Left,,,,,,,,,,,,,2.0,,,,,,
142,PT02M18.00S,2026-01-11T03:02:21.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1641750,88.12417871222075,48.77450980392157,1610612766,8,39,2026-01-11T03:05:27Z,1420000,False,-6.0,59.0,1,right,MISS R. Kalkbrenner Hook,[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,
143,PT02M16.00S,2026-01-11T03:02:23.3Z,1,REGULAR,rebound,defensive,[],203937,,,1610612762,8,39,2026-01-11T03:02:26Z,1430000,False,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,142.0,2.0,1.0,1.0,,,,,,,,,
144,PT02M08.00S,2026-01-11T03:02:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,12.040078843626807,50.49019607843137,1610612762,8,39,2026-01-11T03:02:35Z,1440000,False,-2.0,61.0,1,left,MISS K. Filipowski 6' driving Layup,[1642271],1610612762.0,UTA,driving,,,Filipowski,K. Filipowski,,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,
145,PT02M06.00S,2026-01-11T03:02:33.5Z,1,REGULAR,rebound,offensive,[],1642271,,,1610612762,8,39,2026-01-11T03:02:33Z,1450000,False,,,0,,K. Filipowski REBOUND (Off:1 Def:0),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,144.0,1.0,0.0,1.0,,,,,,,,,
146,PT02M03.00S,2026-01-11T03:02:36.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1642271,7.178055190538765,60.5392156862745,1610612762,8,39,2026-01-11T03:02:40Z,1460000,False,-53.0,15.0,1,left,MISS K. Filipowski turnaround Hook,[1642271],1610612762.0,UTA,turnaround,,,Filipowski,K. Filipowski,,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,,,,,,,,,,,,,,,,,
147,PT02M01.00S,2026-01-11T03:02:38.4Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,8,39,2026-01-11T03:02:40Z,1470000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:2),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,146.0,3.0,2.0,1.0,,,,,,,,,
148,PT01M52.00S,2026-01-11T03:02:46.8Z,1,REGULAR,3pt,Jump Shot,[],1629684,88.25558475689881,3.6764705882352944,1610612766,8,39,2026-01-11T03:02:51Z,1480000,False,-232.0,58.0,1,right,MISS G. Williams 3PT,[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,Left Corner 3,24+ Left,23.87,Missed,,,,,,,,,,,,,,,,,
149,PT01M50.00S,2026-01-11T03:02:48.8Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,8,39,2026-01-11T03:02:51Z,1490000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,Left Corner 3,24+ Left,,,,,,,148.0,1.0,1.0,0.0,,,,,,,,,
150,PT01M46.00S,2026-01-11T03:02:54.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642268,12.171484888304862,50.73529411764706,1610612762,10,39,2026-01-11T03:05:37Z,1500000,False,-4.0,62.0,1,left,I. Collier 6' running Layup (2 PTS),[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,,In The Paint (Non-RA),0-8 Center,6.2,Made,2.0,,,,,,,,,,,,,,,,
151,PT01M29.00S,2026-01-11T03:03:09.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641750,91.40932982917214,48.28431372549019,1610612766,10,41,2026-01-11T03:06:13Z,1510000,False,-9.0,28.0,1,right,R. Kalkbrenner cutting DUNK (4 PTS) (S. James 1 AST),"[1641750, 1642883]",1610612766.0,CHA,cutting,,,Kalkbrenner,R. Kalkbrenner,,,,,,Restricted Area,0-8 Center,2.96,Made,4.0,S. James,1642883.0,1.0,,,,,,,,,,,,,
153,PT01M18.00S,2026-01-11T03:03:20.7Z,1,REGULAR,2pt,Jump Shot,[],1641718,21.23850197109067,27.450980392156865,1610612762,10,41,2026-01-11T03:03:24Z,1530000,False,113.0,147.0,1,left,MISS K. George 18' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,,Mid-Range,16-24 Right Center,18.53,Missed,,,,,,,,,,,,,,,,,
154,PT01M16.00S,2026-01-11T03:03:22.7Z,1,REGULAR,rebound,defensive,[],1641750,,,1610612766,10,41,2026-01-11T03:03:24Z,1540000,False,,,0,,R. Kalkbrenner REBOUND (Off:1 Def:3),[1641750],1610612766.0,CHA,,,,Kalkbrenner,R. Kalkbrenner,,,,,,Mid-Range,16-24 Right Center,,,,,,,153.0,4.0,3.0,1.0,,,,,,,,,
155,PT01M10.00S,2026-01-11T03:03:29.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,90.48948751642575,44.6078431372549,1610612766,10,43,2026-01-11T03:07:12Z,1550000,False,-27.0,37.0,1,right,C. Sexton running Layup (2 PTS),[1629012],1610612766.0,CHA,running,,,Sexton,C. Sexton,,,,,,In The Paint (Non-RA),0-8 Center,4.57,Made,2.0,,,,,,,,,,,,,,,,
156,PT00M56.20S,2026-01-11T03:03:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642268,7.440867279894875,44.36274509803921,1610612762,12,43,2026-01-11T03:03:49Z,1560000,False,28.0,17.0,1,left,I. Collier driving reverse Layup (4 PTS) (K. Anderson 1 AST),"[1642268, 203937]",1610612762.0,UTA,driving reverse,,,Collier,I. Collier,,,,,,Restricted Area,0-8 Center,3.31,Made,4.0,K. Anderson,203937.0,1.0,,,,,,,,,,,,,
157,PT00M35.30S,2026-01-11T03:04:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642851,84.97043363994744,48.28431372549019,1610612766,12,45,2026-01-11T03:04:12Z,1570000,False,-9.0,89.0,1,right,K. Knueppel 8' floating Jump Shot (7 PTS) (C. Sexton 1 AST),"[1642851, 1629012]",1610612766.0,CHA,floating,,,Knueppel,K. Knueppel,,,,,,In The Paint (Non-RA),8-16 Center,8.92,Made,7.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,
159,PT00M10.30S,2026-01-11T03:04:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,11.514454664914586,49.50980392156863,1610612762,12,45,2026-01-11T03:04:41Z,1590000,False,2.0,56.0,1,left,MISS K. George driving floating Shot,[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,,In The Paint (Non-RA),0-8 Center,5.58,Missed,,,,,,,,,,,,,,,,,
160,PT00M09.50S,2026-01-11T03:04:37.8Z,1,REGULAR,rebound,offensive,[],203937,,,1610612762,12,45,2026-01-11T03:04:41Z,1600000,False,,,0,,K. Anderson REBOUND (Off:2 Def:1),[203937],1610612762.0,UTA,,,,Anderson,K. Anderson,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,159.0,3.0,1.0,2.0,,,,,,,,,
161,PT00M09.50S,2026-01-11T03:04:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203937,5.590000152587891,50.0,1610612762,14,45,2026-01-11T03:04:39Z,1610000,False,0.0,0.0,1,left,K. Anderson tip Layup (2 PTS),[203937],1610612762.0,UTA,tip,,,Anderson,K. Anderson,,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,
162,PT00M00.80S,2026-01-11T03:04:51.0Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612766,14,45,2026-01-11T03:04:54Z,1620000,False,,,0,,C. Sexton bad pass out-of-bounds TURNOVER (1 TO),[1629012],1610612766.0,CHA,bad pass,,,Sexton,C. Sexton,,,,,202026.0,Mid-Range,16-24 Left,,,,,,,,,,,,,1.0,,,,,,
163,PT00M00.00S,2026-01-11T03:05:05.2Z,1,REGULAR,heave,,['fromturnover'],0,,,1610612762,14,45,2026-01-11T03:10:35Z,1630000,False,,,0,,UTA Heave,[],1610612762.0,UTA,,,,,,,,,,,Mid-Range,8-16 Right,77.24,,,,,,,,,,,,,,,,,,
164,PT00M00.00S,2026-01-11T03:05:05.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,14,45,2026-01-11T03:10:35Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,163.0,,,,,,,,,,,,
