actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
81,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,out,[],1631095,,,1610612745,16,15,2022-11-01T02:54:50Z,810000,,,0,,SUB out: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,out,[],1630224,,,1610612745,16,15,2022-11-01T02:54:50Z,820000,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,in,[],1630231,,,1610612745,16,15,2022-11-01T02:54:50Z,830000,,,0,,SUB in: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,in,[],1631106,,,1610612745,16,15,2022-11-01T02:54:50Z,840000,,,0,,SUB in: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2022-11-01T02:54:40.1Z,1,REGULAR,substitution,in,[],1629726,,,1610612745,16,15,2022-11-01T02:54:50Z,850000,,,0,,SUB in: G. Mathews,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2022-11-01T02:55:02.1Z,1,REGULAR,3pt,Jump Shot,[],1629726,28.95860709592641,21.07843137254902,1610612745,16,18,2022-11-01T02:55:10Z,860000,145.0,220.0,1,left,G. Mathews 26' 3PT pullup (3 PTS) (A. Sengun 1 AST),"[1629726, 1630578]",1610612745.0,HOU,pullup,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,26.3,Made,3.0,,,,,,,,,,,,,,,A. Sengun,1630578.0,1.0
88,PT04M33.00S,2022-11-01T02:55:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,82.17805519053877,44.36274509803921,1610612746,18,18,2022-11-01T02:57:39Z,880000,-28.0,115.0,1,right,M. Morris Sr. 11' turnaround fadeaway Jump Shot (6 PTS) (L. Kennard 1 AST),"[202694, 1628379]",1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,11.84,Made,6.0,,,,,,,,,,,,,,,L. Kennard,1628379.0,1.0
90,PT04M16.00S,2022-11-01T02:55:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630231,33.55781865965835,63.72549019607843,1610612745,18,18,2022-11-01T02:55:43Z,900000,-69.0,263.0,1,left,MISS K. Martin Jr. 27' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Center,27.17,Missed,,,,,,,,,,,,,,,,,,
91,PT04M12.00S,2022-11-01T02:55:39.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,18,18,2022-11-01T02:55:43Z,910000,,,0,,I. Zubac REBOUND (Off:1 Def:5),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,,,,90.0,6.0,5.0,1.0,,,,,,,,,,,
92,PT04M00.00S,2022-11-01T02:55:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628379,77.18462549277267,10.294117647058826,1610612746,18,18,2022-11-01T02:55:57Z,920000,-199.0,162.0,1,right,MISS L. Kennard 25' 3PT,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,Above the Break 3,24+ Left Center,25.62,Missed,,,,,,,,,,,,,,,,,,
93,PT03M56.00S,2022-11-01T02:55:55.6Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612745,18,18,2022-11-01T02:55:57Z,930000,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,92.0,1.0,1.0,0.0,,,,,,,,,,,
94,PT03M47.00S,2022-11-01T02:56:04.6Z,1,REGULAR,turnover,lost ball,[],1631106,,,1610612745,18,18,2022-11-01T02:56:11Z,940000,,,0,,T. Eason lost ball TURNOVER (1 TO),"[1631106, 202331]",1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,George,202331.0,,,,,,,,
95,PT03M47.00S,2022-11-01T02:56:04.6Z,1,REGULAR,steal,,[],202331,,,1610612746,18,18,2022-11-01T02:56:06Z,950000,,,0,,P. George STEAL (2 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
96,PT03M43.00S,2022-11-01T02:56:10.2Z,1,REGULAR,foul,personal,['2freethrow'],1630578,,,1610612746,18,18,2022-11-01T02:56:18Z,960000,,,0,,A. Sengun shooting personal FOUL (1 PF) (Zubac 2 FT),"[1630578, 1627826]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202007.0,1.0,0.0,Zubac,1627826.0,,,
98,PT03M43.00S,2022-11-01T02:56:34.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627826,,,1610612746,19,18,2022-11-01T02:56:34Z,980000,,,0,,I. Zubac Free Throw 1 of 2 (2 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
99,PT03M43.00S,2022-11-01T02:56:53.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627826,,,1610612746,20,18,2022-11-01T02:56:53Z,990000,,,0,,I. Zubac Free Throw 2 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
100,PT03M29.00S,2022-11-01T02:57:10.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629645,15.686596583442835,52.69607843137255,1610612745,20,18,2022-11-01T02:57:18Z,1000000,-13.0,95.0,1,left,MISS K. Porter Jr. 9' driving floating Shot,[1629645],1610612745.0,HOU,driving floating,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.6,Missed,,,,,,,,,,,,,,,,,,
101,PT03M28.00S,2022-11-01T02:57:12.0Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,20,18,2022-11-01T02:57:12Z,1010000,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,,,100.0,1.0,0.0,1.0,,,,,,,,,,,
102,PT03M26.00S,2022-11-01T02:57:13.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630231,11.218791064388967,54.90196078431372,1610612745,20,18,2022-11-01T02:59:36Z,1020000,-25.0,53.0,1,left,MISS K. Martin Jr. cutting Layup,[1630231],1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,,
103,PT03M23.00S,2022-11-01T02:57:16.9Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,20,18,2022-11-01T02:57:22Z,1030000,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,102.0,1.0,1.0,0.0,,,,,,,,,,,
104,PT03M17.00S,2022-11-01T02:57:25.3Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630231,,,1610612746,20,18,2022-11-01T02:57:38Z,1040000,,,0,,K. Martin Jr. shooting personal FOUL (1 PF) (Zubac 2 FT),"[1630231, 1627826]",1610612745.0,HOU,shooting,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1201.0,1.0,0.0,Zubac,1627826.0,,,
106,PT03M17.00S,2022-11-01T02:58:02.8Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,20,18,2022-11-01T02:58:02Z,1060000,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
107,PT03M17.00S,2022-11-01T02:58:02.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,20,18,2022-11-01T02:58:02Z,1070000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,
108,PT03M17.00S,2022-11-01T02:58:03.7Z,1,REGULAR,substitution,out,[],1628379,,,1610612746,20,18,2022-11-01T02:58:08Z,1080000,,,0,,SUB out: L. Kennard,[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M17.00S,2022-11-01T02:58:03.7Z,1,REGULAR,substitution,in,[],1626181,,,1610612746,20,18,2022-11-01T02:58:08Z,1090000,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M17.00S,2022-11-01T02:58:27.7Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,21,18,2022-11-01T02:58:27Z,1100000,,,0,,I. Zubac Free Throw 2 of 2 (4 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
111,PT02M54.00S,2022-11-01T02:58:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,8.459264126149804,45.833333333333336,1610612745,21,18,2022-11-01T02:59:00Z,1110000,21.0,27.0,1,left,MISS T. Eason driving Layup,[1631106],1610612745.0,HOU,driving,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,3.41,Missed,,,,,,,,,,,,,,,,,,
112,PT02M52.00S,2022-11-01T02:58:53.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,21,18,2022-11-01T02:59:00Z,1120000,,,0,,P. George REBOUND (Off:0 Def:3),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,111.0,3.0,3.0,0.0,,,,,,,,,,,
113,PT02M49.00S,2022-11-01T02:58:56.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,68.77463863337714,73.2843137254902,1610612746,24,18,2022-11-01T02:59:05Z,1130000,116.0,241.0,1,right,P. George 26' 3PT running pullup (8 PTS),[202331],1610612746.0,LAC,running pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.76,Made,8.0,,,,,,,,,,,,,,,,,
114,PT02M48.00S,2022-11-01T02:59:05.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,24,18,2022-11-01T02:59:05Z,1140000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,out,[],202704,,,1610612745,24,18,2022-11-01T03:01:55Z,1150000,,,0,,SUB out: R. Jackson,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,out,[],1627826,,,1610612745,24,18,2022-11-01T03:01:55Z,1160000,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,out,[],1629645,,,1610612745,24,18,2022-11-01T03:01:55Z,1170000,,,0,,SUB out: K. Porter Jr.,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,out,[],1630578,,,1610612745,24,18,2022-11-01T03:01:55Z,1180000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,in,[],201587,,,1610612745,24,18,2022-11-01T03:01:55Z,1190000,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,in,[],1629611,,,1610612745,24,18,2022-11-01T03:01:55Z,1200000,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,in,[],1630586,,,1610612745,24,18,2022-11-01T03:01:55Z,1210000,,,0,,SUB in: U. Garuba,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT02M48.00S,2022-11-01T03:01:31.1Z,1,REGULAR,substitution,in,[],201569,,,1610612745,24,18,2022-11-01T03:01:55Z,1220000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PT02M43.00S,2022-11-01T03:01:58.8Z,1,REGULAR,turnover,out-of-bounds,[],201569,,,1610612745,24,18,2022-11-01T03:02:13Z,1230000,,,0,,E. Gordon lost ball out-of-bounds TURNOVER (1 TO),[201569],1610612745.0,HOU,lost ball,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,,,2534.0,,,,,,,
125,PT02M32.00S,2022-11-01T03:02:54.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,80.99540078843627,70.34313725490196,1610612746,26,18,2022-11-01T03:02:59Z,1250000,102.0,126.0,1,right,P. George 16' Jump Shot (10 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,16.2,Made,10.0,,,,,,,,,,,,,,,,,
126,PT02M05.00S,2022-11-01T03:03:20.7Z,1,REGULAR,3pt,Jump Shot,[],201569,35.92312746386334,64.4607843137255,1610612745,26,21,2022-11-01T03:03:28Z,1260000,-72.0,285.0,1,left,E. Gordon 29' 3PT  (10 PTS),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,29.42,Made,10.0,,,,,,,,,,,,,,,,,
127,PT01M50.00S,2022-11-01T03:03:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,82.04664914586071,65.44117647058823,1610612746,28,21,2022-11-01T03:03:42Z,1270000,77.0,116.0,1,right,P. George 13' turnaround fadeaway Jump Shot (12 PTS) (N. Batum 1 AST),"[202331, 201587]",1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Right,13.96,Made,12.0,,,,,,,,,,,,,,,N. Batum,201587.0,1.0
129,PT01M31.00S,2022-11-01T03:03:55.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630231,7.539421813403408,57.1078431372549,1610612745,28,23,2022-11-01T03:04:04Z,1290000,-36.0,18.0,1,left,K. Martin Jr. turnaround bank Hook (2 PTS),[1630231],1610612745.0,HOU,turnaround bank,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,4.0,Made,2.0,,,,,,,,,,,,,,,,,
130,PT01M07.00S,2022-11-01T03:04:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,92.55913272010513,46.32352941176471,1610612746,30,23,2022-11-01T03:04:25Z,1300000,-18.0,17.0,1,right,T. Mann cutting Layup (2 PTS) (P. George 1 AST),"[1629611, 202331]",1610612746.0,LAC,cutting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,2.53,Made,2.0,,,,,,,,,,,,,,,P. George,202331.0,1.0
132,PT01M01.00S,2022-11-01T03:04:27.8Z,1,REGULAR,foul,personal,[],201587,,,1610612745,30,23,2022-11-01T03:04:35Z,1320000,,,0,,N. Batum personal FOUL (1 PF),"[201587, 201569]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1201.0,1.0,0.0,Gordon,201569.0,,,
134,PT01M01.00S,2022-11-01T03:04:33.5Z,1,REGULAR,substitution,out,[],202694,,,1610612745,30,23,2022-11-01T03:04:38Z,1340000,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT01M01.00S,2022-11-01T03:04:33.5Z,1,REGULAR,substitution,in,[],1629599,,,1610612745,30,23,2022-11-01T03:04:38Z,1350000,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M46.80S,2022-11-01T03:05:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201569,7.670827858081481,43.627450980392155,1610612745,30,23,2022-11-01T03:05:07Z,1360000,32.0,20.0,1,left,MISS E. Gordon driving Layup,[201569],1610612745.0,HOU,driving,,,Gordon,E. Gordon,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
137,PT00M45.50S,2022-11-01T03:05:02.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,30,23,2022-11-01T03:05:07Z,1370000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Restricted Area,0-8 Center,,,,,,136.0,,,,,,,,,,,,,,
139,PT00M31.80S,2022-11-01T03:05:41.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630586,12.270039421813408,57.35294117647059,1610612745,30,23,2022-11-01T03:05:50Z,1390000,-37.0,63.0,1,left,MISS U. Garuba 7' Hook,[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),0-8 Center,7.28,Missed,,,,,,,,,,,,,,,,,,
140,PT00M31.40S,2022-11-01T03:05:42.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,30,23,2022-11-01T03:05:50Z,1400000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,139.0,,,,,,,,,,,,,,
141,PT00M31.40S,2022-11-01T03:05:49.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612745,30,23,2022-11-01T03:05:58Z,1410000,,,0,,HOU shot clock Team TURNOVER,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1201.0,,,,,,,
142,PT00M26.20S,2022-11-01T03:06:04.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,68.64323258869908,74.75490196078431,1610612746,30,23,2022-11-01T03:06:13Z,1420000,124.0,242.0,1,right,MISS P. George 27' pullup 3PT - blocked,"[202331, 201569]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,27.21,Missed,,Gordon,201569.0,,,,,,,,,,,,,,,
143,PT00M26.20S,2022-11-01T03:06:04.9Z,1,REGULAR,block,,[],201569,,,1610612746,30,23,2022-11-01T03:06:07Z,1430000,,,0,,E. Gordon BLOCK (1 BLK),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
144,PT00M25.60S,2022-11-01T03:06:05.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,30,23,2022-11-01T03:06:13Z,1440000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,142.0,,,,,,,,,,,,,,
146,PT00M25.60S,2022-11-01T03:06:36.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612746,30,23,2022-11-01T03:06:36Z,1460000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT00M11.80S,2022-11-01T03:08:26.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",202331,81.91524310118265,60.78431372549019,1610612746,30,23,2022-11-01T03:08:31Z,1470000,54.0,117.0,1,right,MISS P. George 12' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,12.93,Missed,,,,,,,,,,,,,,,,,,
148,PT00M08.00S,2022-11-01T03:08:29.9Z,1,REGULAR,rebound,defensive,[],1630586,,,1610612745,30,23,2022-11-01T03:14:02Z,1480000,,,0,,U. Garuba REBOUND (Off:0 Def:1),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,In The Paint (Non-RA),8-16 Center,,,,,,147.0,1.0,1.0,0.0,,,,,,,,,,,
149,PT00M01.40S,2022-11-01T03:08:37.6Z,1,REGULAR,3pt,Jump Shot,[],1630231,35.26609724047306,27.696078431372555,1610612745,30,23,2022-11-01T03:08:49Z,1490000,112.0,279.0,1,left,MISS K. Martin Jr. 30' 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,Above the Break 3,24+ Right Center,30.05,Missed,,,,,,,,,,,,,,,,,,
150,PT00M00.10S,2022-11-01T03:08:38.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612745,30,23,2022-11-01T03:08:49Z,1500000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,149.0,,,,,,,,,,,,,,
151,PT00M00.00S,2022-11-01T03:08:42.0Z,1,REGULAR,period,end,[],0,,,1610612745,30,23,2022-11-01T03:08:42Z,1510000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,out,['startperiod'],202331,,,1610612745,30,23,2022-11-01T03:11:29Z,1520000,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
153,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,out,['startperiod'],1630231,,,1610612745,30,23,2022-11-01T03:11:29Z,1530000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
154,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,out,['startperiod'],201569,,,1610612745,30,23,2022-11-01T03:11:29Z,1540000,,,0,,SUB out: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
155,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,out,['startperiod'],1631106,,,1610612745,30,23,2022-11-01T03:11:29Z,1550000,,,0,,SUB out: T. Eason,[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,,,,,,,,,,,,,,,,,,,,,,
156,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,in,['startperiod'],1630527,,,1610612745,30,23,2022-11-01T03:11:29Z,1560000,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,in,['startperiod'],1631095,,,1610612745,30,23,2022-11-01T03:11:29Z,1570000,,,0,,SUB in: J. Smith Jr.,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
158,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,in,['startperiod'],1630224,,,1610612745,30,23,2022-11-01T03:11:29Z,1580000,,,0,,SUB in: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
159,PT12M00.00S,2022-11-01T03:11:13.8Z,2,REGULAR,substitution,in,['startperiod'],1630227,,,1610612745,30,23,2022-11-01T03:11:29Z,1590000,,,0,,SUB in: D. Nix,[1630227],1610612745.0,HOU,,,,Nix,D. Nix,,,,,,,,,,,,,,,,,,,,,,,,,,
160,PT12M00.00S,2022-11-01T03:11:23.8Z,2,REGULAR,period,start,[],0,,,1610612746,30,23,2022-11-01T03:11:29Z,1600000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,PT11M48.00S,2022-11-01T03:11:34.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,93.2161629434954,52.450980392156865,1610612746,32,23,2022-11-01T03:11:40Z,1610000,12.0,11.0,1,right,N. Powell driving Layup (2 PTS) (N. Batum 2 AST),"[1626181, 201587]",1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,,,,,,,,,,,,,,,N. Batum,201587.0,2.0
163,PT11M30.00S,2022-11-01T03:11:54.5Z,2,REGULAR,foul,personal,[],1626181,,,1610612745,32,23,2022-11-01T03:12:01Z,1630000,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1631095]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,2534.0,1.0,0.0,Smith Jr.,1631095.0,,,
165,PT11M23.00S,2022-11-01T03:12:20.4Z,2,REGULAR,foul,personal,[],201587,,,1610612745,32,23,2022-11-01T03:12:26Z,1650000,,,0,,N. Batum personal FOUL (2 PF),"[201587, 1631095]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,202007.0,2.0,0.0,Smith Jr.,1631095.0,,,
170,PT11M17.00S,2022-11-01T03:12:38.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,6.750985545335084,41.17647058823529,1610612745,32,23,2022-11-01T03:12:49Z,1670000,44.0,11.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 201587]",1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.55,Missed,,Batum,201587.0,,,,,,,,,,,,,,,
171,PT11M17.00S,2022-11-01T03:12:38.7Z,2,REGULAR,block,,[],201587,,,1610612745,32,23,2022-11-01T03:12:40Z,1680000,,,0,,N. Batum BLOCK (1 BLK),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
